#漢字	音標	解釋
㪗	tʰou2	~气
預	y5	
領	liŋ3	
頗	pʰo1	~多
頸	tɕiŋ3	
頰	ɕia2	
頻	pʰin2	~繁
頽	tʰuei1	
穎	iŋ3	
顆	kʰɤ1	一~珠
題	tʰi2	
顔	ian2	
額	nɤ5	
顛	tian1	
顫	tʂan5	1~栗
顫	tʂʰan5	2~动
顴	tɕʰyan2	~骨
風	fəŋ1	
風	fəŋ5	
颼	sou1	
飄	pʰiɔ1	
飛	fei1	
食	ʂʅ2	
餐	tsʰan1	
饥	tɕi1	
飩	tuən5	馄~
飭	tʂʰʅ5	整~
飯	fan5	
飲	in3	1~酒
飲	in5	2~马
餞	tɕian5	~行
飾	ʂʅ5	
飽	pɔ3	
飼	sɿ1	
飴	i5	高梁~
餌	ɚ3	
饒	ʐɔ2	
餉	ɕiaŋ3	
餃	tɕiɔ3	~子
餅	piŋ2	
餑	po2	香~~
餓	nɤ5	
餛	xuən2	~饨
餡	ɕian5	
館	kuan3	
餿	sou1	饭~了
饞	tʂʰan2	
饃	mo2	
餾	liou5	~馒头
饅	man2	~头
饊	san3	~子
首	ʂou3	
香	ɕiaŋ1	
馨	ɕin1	温~
馬	ma3	
馱	tʰuo2	1
馱	tuo5	2~子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	po1	
驢	ly2	
駛	ʂʅ3	
駙	fu5	
駒	tɕy1	马~
駐	tʂu5	
駝	tʰuo2	
駕	tɕia5	
駡	ma5	
驕	tɕiɔ1	
駱	luo5	
駭	xæ5	
驗	ian5	
駿	tsuən5	
騎	tɕʰi2	
騙	pʰian5	
騷	sɔ1	
騸	ʂan5	~马
騾	luo2	~子
驟	tʂou5	
驥	tɕi5	按图索~
骨	ku3	
骼	kɤ1	
髓	suei2	
高	kɔ1	
髻	tɕi5	发~
髽	tʂua1	~髻
鬃	tsuŋ1	马~
鬏	tɕiou1	梳个~儿
鬢	pin5	
鬼	kuei3	
魁	kʰuei1	
魂	xuən2	
魄	pʰo5	
魘	ian3	梦~
魏	uei5	
魔	mo2	
鰥	kuan1	~寡
鰭	tɕʰi2	背~
魚	y2	
魷	iou1	
魯	lu3	
鮎	nian2	~鱼
鱸	lu2	
鮑	pɔ5	~鱼
鮭	kuei1	~鱼
鮮	ɕian1	1新~
鮮	ɕian3	2~少
鰱	lian2	
鯉	li3	
鰣	ʂʅ2	~鱼
鯊	ʂa1	
鯽	tɕi5	
鯧	tʂʰaŋ1	~鱼
鯨	tɕiŋ1	
鰓	sæ1	
鱷	nɤ5	
鰍	tɕʰiou1	
鯿	pian1	~鱼
鰾	piɔ5	鱼~
鱉	piɛ1	
鰻	man5	
鱖	kuei5	~鱼
鱔	ʂan5	
鱗	lin2	
鷺	lu5	~鸶
鳥	niɔ3	1飞禽
鳥	tiɔ3	2
鳩	tɕiou1	斑~
雞	tɕi1	
鳴	miŋ2	
鷗	ou1	
鴉	ia1	
鴣	ku1	
鸕	lu2	~鹚
鴨	ia1	
鴦	iaŋ1	
鴛	yan1	
鴿	kɤ1	
鸞	luan2	
鴻	xuŋ2	
鵑	tɕyan1	
鵝	nɤ2	
鵡	u3	鹦~
鵲	tɕʰyɛ5	喜~
鵪	nan1	~鹑
鵬	pʰəŋ2	
鵮	tɕʰian1	鸟啄食
鶉	tʂʰuən2	
鷀	tsʰɿ2	鸬~
鷂	iɔ5	~鹰
鶴	xɤ5	
鸚	iŋ1	~鵡
鷓	tʂɤ5	~鸪
鷹	iŋ1	
鹿	lu5	
麒	tɕʰi2	
麝	ʂɤ5	~香
麥	mæ5	
麩	fu1	麦~子
麻	ma2	
麾	xuei1	~下
黃	xuaŋ2	
黍	ʂu3	
黎	li2	
黑	xei1	
默	mo5	
黢	tɕʰy1	~黑
鼎	tiŋ3	
鼓	ku3	
鼠	ʂu3	
鼬	iou5	黄~
鼻	pi2	~子
鼾	xan1	睡时~声
齁	xou1	~声
齊	tɕʰi2	
齒	tʂʰʅ3	
齡	liŋ2	
齪	tʂʰuo5	
齷	uo5	
龍	luŋ2	
龔	kuŋ3	
龕	kʰan1	佛~
龜	kuei1	
