#漢字	音標	解釋
愷	kʰa5	～背椅
惱	nʌ3	
悔	xue3	
慳	kʰɛx5	皮肤上的污渍
慚	dzæx2	
慣	kuæx5	
想	ɕiex3	
愁	ze2	
憤	vɛx6	
愧	kʰue5	
慷	kʰɑŋ3	
懊	ŋʌ1	～燥
懶	læx3	
戍	ɕuoʔ7	
戎	ioŋ2	
戲	ɕi5	
我	ŋɷ3	
戧	tɕʰiex5	关闭、支撑：把鸡窝门～住
戴	ta5	
戶	ɣu6	
戽	xu5	
扁	piɪx	
手	se3	
扎	tsɑʔ7	
打	tɑ3	
托	tʰoʔ7	
扛	ɡɑŋ2	
扣	kʰe5	
扮	pæx5	
扯	tsʰɑ3	
扶	vu2	
抄	tsʰʌ1	
抓	tɕyo1	
投	de2	
抛	pʰʌ1	
摳	kʰe1	
披	pʰi1	
抱	bʌ6	
抹	mɑʔ8	
押	ŋɑʔ7	
抽	tsʰe1	
拈	ȵiɪx1	
拉	lɑ1	～拢
拉	lɑ2	～尿：尿床
拍	pʰoʔ7	
拎	lin1	
拔	bɑʔ8	
拖	tʰɷ1	
攏	loŋ3	
揀	kæx3	
擁	ioŋ5	
拷	kʰʌ3	～打
拼	pʰin1	
拽	tɕya5	
拿	nɑ2	
挂	kuo5	
挑	tʰiʌ1	
挖	uɑʔ7	
撓	nʌ2	
挺	tʰin3	
挽	uæx3	
捆	kʰuɛx3	
捉	tɕyoʔ7	
捋	luoʔ8	
撈	lʌ1	～好处
換	ɷx6	
捧	pʰoŋ3	
捺	nɑʔ8	
掐	kʰɑʔ7	
排	ba2	
掘	dʑyoʔ8	
探	tʰɷx5	
控	kʰoŋ5	
推	tʰa1	
推	tʰe1	又读
掭	tʰiɪx5	
摜	ɡuæx3	
提	di2	
揪	tɕʰiɷ3	
揹	pa1	
搓	tsʰɷ1	
搜	se1	
搞	kʌ3	
搬	pɷx1	
摁	ŋɛx2	推搡
摆	pa3	
撇	pʰiʔ7	
攀	pʰæx5	
攮	nɑŋ3	～刀子
改	ka3	
放	fɑŋ5	
故	ku5	
敏	min3	
教	tɕiʌ5	文读
敢	kɷx3	
散	sæx5	又读
數	su3	点
數	su5	～目
敲	kʰʌ1	
整	tsɛx3	
文	uɛx2	
斗	te3	升～
料	liʌ6	
斜	tɕʰiɑ1	又读
斬	tsæx3	
斷	dɷx5	折～
方	fɑŋ1	
旁	bɑŋ2	
日	ieʔ8	又读
旦	tæx5	
舊	dʑiɷ6	
早	tsʌ3	
旱	ɣɷx6	
旺	uɑŋ5	
昂	ŋɑŋ2	
昆	kʰuɛx1	
昌	tsʰɑŋ1	
昏	xuɛx1	
昨	ʤyo6	文读
昨	ʑyo6	白读
晝	tse5	
顯	ɕiɪx3	
晃	xuɑŋ5	
晏	ŋæx5	迟：他来～了
曬	sa5	
曬	ɕyo5	白读
晦	xue5	
暫	dzæx6	
暖	nɷx3	
暗	ɷx5	
暴	pʌ5	文读
曰	yɑʔ8	
更	kɛx5	～加
曹	zʌ2	
曼	mæx6	
替	tʰi5	
最	tɕye5	
月	yoʔ8	
有	iɷ3	
朋	boŋ2	
服	voʔ8	
朗	lɑŋ3	
朝	dzʌ2	
木	moʔ8	
本	pɛx3	
术	ʑyəʔ8	
朵	tɷ3	
机	tɕi1	
朽	ɕiɷ3	
殺	sɑʔ8	
李	li3	
村	tɕʰyɛx1	
杠	kɑŋ5	
來	la2	
松	soŋ1	
板	pæx3	
構	ke5	
果	kɷ3	
枯	kʰu1	
柔	ɿe2	
查	dʑyo2	
樹	zu6	
校	ʑiʌ6	
样	iex6	
核	ɣəʔ8	
根	kɛx1	
格	kəʔ7	
桑	sɑŋ1	
椏	ŋuo6	
檔	tɑŋ5	～次
桶	tʰoŋ3	
梅	me2	
梭	sɷ1	
梯	tʰi1	
棉	miɪx2	
棍	kuɛx5	
楚	tsʰu3	
榜	pɑŋ3	
檻	kʰæx3	
欠	tɕʰiɪx4	
次	tsʰɿ5	
歡	xɷx1	
歐	ŋe6	
欸	e2	惊异
欸	e5	赞同
欸	e6	应答
