#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。~一脚过来
假	tɕiɑ3	真~，放~
偏	pʰiɑ̃1	
做	tsou5	
停	tʰiẽ2	
偢	tʂʰv5	指不怀好意地打量
健	tɕiɑ̃5	
偶	ŋou3	
偶	ŋou5	
偸	tʰou1	
償	tʂʰɑŋ2	
傀	kʰue3	
傅	fu5	
傍	pɑŋ5	
儲	tʂʰu2	
催	tsʰe1	
傲	ŋɔ5	
像	ɕiɑŋ5	
僧	sẽ1	
僵	tɕiɑŋ1	
僻	pʰi7	
儒	ʐʯ2	
儡	ne3	
兒	ɚ2	
允	yẽ3	
元	yɑ̃2	
兄	ɕiuŋ1	
兆	tʂɔ5	
先	ɕiɑ̃1	
光	kuɑŋ1	
克	kʰɛ7	
免	miɑ̃3	
兌	tue5	
兔	tʰou5	
兗	iɑ̃3	
黨	tɑŋ3	
兜	tou1	
入	ʐʯ3	
入	ʐʯ7	
全	tɕʰyɑ̃2	
八	pɑ7	
公	kuŋ1	
六	nou7	
兮	ɕi2	
蘭	nɑ̃2	
共	kuŋ5	
關	kuɑ̃1	
興	ɕiẽ1	
興	ɕiẽ5	
兵	piẽ1	
其	tɕʰi2	
具	tɕy5	
典	tiɑ̃3	
養	iɑŋ3	
兼	tɕiɑ̃1	
獸	ʂou5	
冀	tɕi5	
內	ne5	
岡	kɑŋ1	
冉	ʐɑ̃3	
冊	tsʰɛ7	
再	tsɛ5	
冒	mɔ5	
寫	ɕiɛ3	
軍	tɕyẽ1	
農	nuŋ2	
冠	kuɑ̃1	
冠	kuɑ̃5	
冤	yɑ̃1	
冬	tuŋ1	
馮	xuŋ2	
冰	piẽ1	
決	tɕyɛ7	
況	kʰuɑŋ5	
冷	nẽ3	
凍	tuŋ5	
淨	tɕiẽ5	
準	tʂuẽ3	
涼	niɑŋ2	
凌	niẽ2	
凌	niẽ5	指物体温度低，使人感觉到寒冷。冬天水好~
減	kɑ̃3	
湊	tsʰou5	
凝	niẽ2	
凝	niẽ5	
几	tɕi1	
几	tɕi3	
凡	xuɑ̃2	
鳳	xuŋ5	
凭	pʰiẽ2	
凱	kʰɛ3	
凳	tẽ5	
凶	ɕiuŋ1	吉~，~恶
出	tʂʰu7	
擊	tɕi7	
函	xɑ̃2	
函	ɕiɑ2	~子，指婴幼儿过世所用的棺材。
鑿	tsɔ7	
刀	tɔ1	
刁	tiɔ1	
刃	ʐẽ5	
分	xuẽ1	
切	tɕʰyɛ7	
刈	i5	
刊	kʰɑ̃1	
刎	uẽ3	
刑	ɕiẽ2	
划	xuɑ2	
划	uɑ7	
列	niɛ7	
劉	niou2	
則	tsɛ7	
剛	kɑŋ1	
創	tʂʰuɑŋ5	
初	tsʰou1	
刪	ʂɑ̃1	
判	pʰɑ̃5	
刨	pʰɔ2	
刨	pʰɔ5	
利	ni5	
別	piɛ7	
刮	kuɑ7	
到	tɔ5	
制	tʂʅ5	~度，~造
刷	ʂuɑ7	
券	tɕyɑ̃5	
刺	tsʰɿ5	
刻	kʰɛ7	
劊	kuɛ5	
劊	kʰuɛ5	
劊	kʰue5	
剁	tv5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
削	ɕiɔ7	
前	tɕʰiɑ̃2	
剮	kuɑ3	
劍	tɕiɑ̃5	
剔	tʰi7	
剖	pʰɔ3	
剜	uɑ̃1	
剝	po7	
劇	tɕy7	
剩	ʂẽ5	
剪	tɕiɑ̃3	
副	fu5	
割	kv7	
剿	tɕiɔ3	
劈	pʰi7	
劐	xuo7	
力	ni7	
勸	tɕʰyɑ̃5	
辦	pɑ̃5	
功	kuŋ1	
加	tɕiɑ1	
務	vu5	
劣	nyɛ7	
動	tuŋ5	
助	tsou5	
努	nou3	
劫	tɕiɛ7	
勵	ni5	
勁	tɕiẽ5	
勞	nɔ2	
勢	ʂʅ5	
勃	po7	
勇	iuŋ3	
勉	miɑ̃3	
勳	ɕyẽ1	
勒	ne1	
勘	kɑ̃5	
募	mu5	
勤	tɕʰiẽ2	
勺	ʂɔ7	
勾	kou1	
勾	kou5	
勿	vu7	
勻	yẽ2	
包	pɔ1	
匍	pʰu2	指把碗口向下摆放。把碗~到去。
化	xuɑ5	
北	pɛ7	
匙	ʂʅ2	
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕiɑ7	
匪	xue3	
匹	pʰi7	
區	tɕʰy1	
醫	i1	
匾	piɑ̃3	
匿	ni7	
十	ʂʅ7	
千	tɕʰiɑ̃1	
升	ʂẽ1	
午	vu3	
半	pɑ̃5	
華	xuɑ5	~山
華	xuɑ2	中~
協	ɕiɛ7	
卑	pe1	
卒	tsou7	
卓	tʂuo7	
單	tɑ̃1	
單	ʂɑ̃5	
賣	mɛ5	
南	nɑ̃2	
博	po7	
卜	pu7	
占	tʂɑ̃1	
占	tʂɑ̃5	
盧	nou2	
卤	nou3	
臥	uo5	
衛	ue5	
卯	mɔ3	
印	iẽ5	
危	ue2	
即	tɕi7	
卻	tɕʰio7	
卵	nuɑ̃3	
卷	tɕyɑ̃3	
卷	tɕyɑ̃5	
卸	ɕiɛ5	
卿	tɕʰiẽ1	
廠	tʂʰɑŋ3	
廳	tʰiẽ1	
历	ni7	
厲	ni5	
壓	n̩7	
厭	iɑ̃5	
廁	tsʰɛ7	
厘	ni2	
厚	xou5	
原	yɑ̃2	
廂	ɕiɑŋ1	
厥	tɕʰyɛ7	
廈	ɕiɑ5	偏~，~门
廚	tʂʰʯ2	
廝	sɿ1	
去	tɕʰy5	
縣	ɕiɑ̃5	
参	tsʰɑ̃1	
参	tsʰẽ1	
又	iou5	
叉	tʂʰɑ1	
及	tɕi7	
友	iou3	
雙	ʂuɑŋ1	
雙	ʂuɑŋ5	
反	xuɑ̃3	
发	xuɑ7	~财
发	xuɑ7	头~
叔	ʂʯ7	
取	tɕʰy3	
受	ʂou5	
變	piɑ̃5	
敍	ɕy5	
叛	pʰɑ̃5	
疊	tiɛ7	
口	kʰou3	
古	ku3	
句	tɕy5	
另	niẽ5	
叨	tɔ1	
叩	kʰou3	
只	tʂʅ3	
只	tʂʅ7	
叫	tɕiɔ5	
召	tʂɔ1	
召	tʂɔ5	
可	kʰuo3	
台	tʰɛ1	
台	tʰɛ2	
右	iou5	
葉	iɛ7	
號	xɔ5	~码
號	xɔ2	呼~
司	sɿ1	
嘆	tʰɑ̃5	
吁	y1	指驱赶牲畜发出的喊声
吃	tʂʰʅ7	
各	kuo3	
各	kuo7	
吆	iɔ1	
合	xuo7	
吉	tɕi7	
吊	tiɔ5	
同	tʰuŋ2	
名	miẽ2	
后	xou5	
吏	ni5	
吐	tʰou3	~痰
吐	tʰou5	呕~
向	ɕiɑŋ5	
嚇	xɛ5	~一跳
嚇	xɛ7	恐~
呂	ny3	
君	tɕyẽ1	
吝	ni5	
吞	tʰuẽ1	
吟	iẽ2	
吠	xue5	
否	fou3	
含	xɑ̃2	
聽	tʰiẽ1	
聽	tʰiẽ5	
啓	tɕʰi3	
吳	vu2	
吵	tʂʰɔ3	
吸	ɕi7	
吹	tʂʰue1	
吻	uẽ3	
吾	vu2	
吾	vu3	
呆	tɛ1	
呆	ŋɛ2	
呈	tʂʰẽ2	
吿	kɔ5	
嘔	ou3	
員	yɑ̃2	
周	tʂou1	
味	ue5	
呼	fu1	
命	miẽ5	
和	xuo2	~气
和	xuo5	~面
咎	tɕiou5	
詠	iuŋ5	
咒	tʂou5	
咬	ŋɔ5	
咳	kʰɛ5	
咸	xɑ̃2	
咸	ɕiɑ̃2	
咽	iɑ̃5	
哀	ŋɛ1	
品	pʰiẽ3	
哈	xŋ1	~腰
啞	n̩3	
哥	kv1	
哪	nɑ3	
哭	kʰu7	
哲	tʂɛ7	
哽	kẽ3	
唆	suo1	
唐	tʰɑŋ2	
嘮	nɔ2	
喚	xuɑ̃5	
售	ʂou5	
唯	ue3	
唱	tʂʰɑŋ5	
唾	tʰuo5	
啄	tʂuo7	
商	ʂɑŋ1	
嗇	niẽ7	
囉	nv2	
囉	nv3	打~。指人说话时断时续，不连贯。
啼	tʰi2	
喀	kʰɑ1	
善	ʂɑ̃5	
喉	xou2	
喘	tʂʰuɑ̃3	
喝	xuo3	
喝	xuo7	
喧	ɕyɑ̃1	
噴	pʰẽ1	~水
噴	pʰẽ5	~香
喩	y5	
嗅	ɕiou5	
嗉	sou5	
嗍	suɛ2	指吸食粉面的动作。~粉
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗽	sou5	
嘉	tɕiɑ1	
噓	ɕy1	
囑	tʂu7	
嘴	tsue3	
噍	tɕʰiɔ5	
噎	iɛ7	
器	tɕʰi5	
囂	ɕiɔ1	
嚷	ʐɑŋ3	
嚼	tɕiɔ7	
囊	nɑŋ3	
囚	tɕʰiou2	
四	sɿ5	
回	xue2	
因	iẽ1	
团	tʰuɑ̃2	~队，面~
囤	tʰẽ5	
園	yɑ̃2	
困	kʰuẽ5	
圍	ue2	
固	ku5	
國	kuɛ7	
圖	tʰou2	
圓	yɑ̃2	
圈	tɕʰyɑ̃1	
圈	tɕyɑ̃5	
土	tʰou3	
聖	ʂẽ5	
在	tsɛ5	
圭	kue1	
地	ti5	
場	tʂʰɑŋ2	
圿	kɑ3	人体表面皮屑、油脂、汗以及灰尘的混合物，可在洗浴时脱落，利圿子
址	tʂʅ3	
均	tɕyẽ1	
坍	tʰɑ̃1	
坍	tʰɑ̃7	
坎	kʰɑ̃3	
壞	xuɛ5	
坐	tsuo5	
坑	kʰẽ1	
塊	kʰuɛ5	队韵
堅	tɕiɑ̃1	
坛	tʰɑ̃2	
壩	pɑ5	
塢	vu3	
墳	xuẽ2	
墜	tʂue5	
坡	pʰo1	
坤	kʰuẽ1	
坦	tʰɑ̃3	
坪	pʰiẽ2	
坯	pʰɛ1	
坳	ŋɔ1	
坳	iou7	地势较低的丘陵
垂	tʂʰue2	
型	ɕiẽ2	
垒	ne3	
垛	tv5	
墾	kʰẽ3	
墊	tiɑ̃5	
垮	kʰuɑ3	
埂	kẽ3	
埃	ŋɛ1	
埋	mɛ2	
城	tʂʰẽ2	
域	y7	
埠	pu5	
埯	ŋɑ̃3	指种菜时挖的小坑，小洞
培	pʰɛ2	
基	tɕi1	
堂	tʰɑŋ2	
堆	te1	
堡	pɔ3	
堤	ti1	
堪	kʰɑ̃1	
堰	iɑ̃5	
堵	tou3	
塌	tʰɑ7	
塍	ʂẽ2	
塑	sou5	
塔	tʰɑ7	
塘	tʰɑŋ2	
塞	sɛ7	
塡	tʰiɑ̃2	
塺	mɑ3	指把砖石或麻将等堆叠在一起。
境	tɕiẽ3	
墓	mo3	
墓	mu5	
牆	tɕʰiɑŋ2	
增	tsẽ1	
墟	ɕy1	
墨	mo7	
墨	mɛ7	
墩	tẽ1	
壁	pi7	
壕	xɔ2	
壠	nuŋ3	
壤	ʐɑŋ3	
士	sɿ5	
壬	ʐẽ2	
壯	tʂuɑŋ5	
聲	ʂẽ1	
壺	fu2	
處	tʂʰu5	~所
處	tʂʰu3	相~
備	pe5	
复	fu5	
复	fu7	
夏	ɕiɑ5	姓~，春~
夕	ɕi7	
外	uɛ5	
多	tv1	
夜	iɛ5	
够	kou5	~不着
够	kou5	足~
大	tɑ5	~小
大	tɛ5	~夫
天	tʰiɑ̃1	
太	tʰɛ5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	
失	ʂʅ7	
頭	tʰou2	
夷	i2	
夸	kʰuɑ1	
夾	kɑ7	
奪	tuo7	
奇	tɕʰi2	
奈	nɛ5	
奉	xuŋ5	
奮	xuẽ5	
奎	kʰue1	
奏	tsou5	
契	tɕʰi5	
奔	pẽ1	~跑
奔	pẽ5	投~
獎	tɕiɑŋ3	
套	tʰɔ5	
奚	ɕi2	
奠	tiɑ̃5	
奢	ʂɛ1	
奧	ŋɔ5	
女	ny3	
奴	nou2	
奶	nɛ3	
奸	tɕiɑ̃1	
好	xɔ5	
如	ʐu2	
妃	xue1	
妄	uɑŋ5	
婦	fu5	
媽	mɑ1	
妓	tɕi5	
妖	iɔ1	
妗	tɕiẽ5	
妙	miɔ5	
妥	tʰuo3	
妨	xuɑŋ1	
妬	tou5	
妹	me5	
妻	tɕʰi1	
妾	tɕʰiɛ7	
姊	tsɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiẽ5	
委	ue3	
姘	pʰiẽ1	
姚	iɔ2	
姜	tɕiɑŋ1	
姨	i2	
姻	iẽ1	
威	ue1	
嬌	tɕiɔ1	
娘	niɑŋ2	
娠	ʂẽ1	
娩	miɑ̃3	
娛	y2	
娶	tɕʰy3	
婆	pʰo2	
婚	xuẽ1	
婢	pi5	
嬰	iẽ1	
婿	ɕy5	
婿	ɕi7	
媒	me2	
媚	me5	
媳	ɕi7	
嫁	tɕiɑ5	
嫌	ɕiɑ̃2	
嫖	pʰiɔ2	
嫡	ti7	
嫩	nẽ5	
嬉	ɕi1	
孀	ʂuɑŋ1	
子	tsɿ3	
孕	yẽ5	
字	tsɿ5	
存	tsʰẽ2	
孫	sẽ1	
孝	ɕiɔ5	
孟	muŋ5	
季	tɕi5	
孤	ku1	
學	ɕio7	
孩	xɛ2	
孬	nɔ1	指用手触碰物体
孵	fu1	
孽	niɛ7	
寧	niẽ2	
寧	niẽ5	
宅	tʂɛ7	
宇	y3	
安	ŋɑ̃1	
宋	suŋ5	
完	uɑ̃1	
宏	xuŋ2	
宕	tɑŋ5	
宗	tsuŋ1	
官	kuɑ̃1	
宙	tʂou5	
定	tiẽ5	
宛	uɑ̃3	
宜	i2	
寶	pɔ3	
實	ʂʅ7	
客	kʰɛ7	
宣	ɕyɑ̃1	
室	ʂʅ7	
宦	xuɑ̃5	
宪	ɕiɑ̃5	
宮	kuŋ1	
宰	tsɛ3	
害	xɛ5	
宴	iɑ̃5	
宵	ɕiɔ1	
家	kɑ1	
家	tɕiɑ1	
寬	kʰuɑ̃1	
賓	piẽ1	
宿	ɕiou2	
宿	ɕiou5	
寂	tɕi7	
寄	tɕi5	
寅	iɑ̃2	
密	mi7	
寇	kʰou5	
富	fu5	
寐	me5	
寒	xɑ̃2	
寓	y5	
寢	tɕʰiẽ3	
寞	mo7	
察	tʂʰɑ7	
寡	kuɑ3	
寥	niɔ2	
寨	tʂɛ5	
寸	tsʰẽ5	
對	te5	
寺	sɿ5	
尋	ɕiẽ2	
導	tɔ3	
導	tɔ5	
壽	ʂou5	
封	xuŋ1	
射	ʂɛ5	
射	ʂiɛ7	
將	tɕiɑŋ1	
將	tɕiɑŋ5	
尊	tsẽ1	
少	ʂɔ5	~年
少	ʂɔ3	多~
尔	ɚ3	
尖	tɕiɑ̃1	
塵	tʂʰẽ2	
尙	ʂɑŋ5	
嘗	tʂʰɑŋ2	
尤	iou2	
尥	niɔ5	指马、驴等动物用腿向后踢，也称“弹蹄”
堯	iɔ2	
尬	kɑ5	
就	tɕiou5	
尷	kɑ̃1	
屍	ʂʅ1	~体，~位素餐
尹	iẽ3	
尺	tʂʰʅ7	
尼	ni2	
尽	tɕiẽ3	
尽	tɕiẽ5	
尾	ue3	
尿	niɔ5	
局	tɕy7	
屁	pʰi5	
層	tsʰẽ2	
居	tɕy1	
屈	tɕʰy1	
屈	tɕʰy7	
屉	tʰi5	
屆	kɛ5	
屋	vu7	
屛	pʰiẽ2	
屐	tɕi7	
屑	ɕiɛ7	
展	tʂɑ̃3	
屬	ʂʯ7	
屠	tʰou2	
屢	ny5	
履	ny3	
屯	tʰẽ2	
山	ʂɑ̃1	
歲	se5	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰẽ2	
岔	tʂʰɑ5	
崗	kɑŋ1	
島	tɔ3	
巖	ŋɛ2	
嶺	niẽ3	
岳	io7	五~，~父
岸	ŋɑ̃5	
峽	ɕiɑ7	
峯	xuŋ1	
崑	kʰuẽ1	
崔	tsʰe1	
崖	n̩2	
崩	puŋ1	
嵌	tɕʰiɑ̃1	
嵩	suŋ1	
川	tʂʰuɑ̃1	
州	tʂou1	
巡	ɕyẽ2	
巢	tʂʰɔ2	
工	kuŋ1	
左	tsuo3	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	kuŋ3	
巫	vu2	
差	tʂʰɛ1	
差	tʂʰɑ1	~錯
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pɑ1	
巷	xɑŋ5	
巷	ɕiɑŋ5	
巾	tɕiẽ1	
幣	pi5	
市	ʂʅ5	
布	pu5	棉~，~匹
帥	ʂuɛ5	
帆	xuɑ̃2	
師	sɿ1	
希	ɕi1	
帳	tʂɑŋ5	
帕	pʰɑ5	
帖	tʰiɛ7	
帘	niɑ̃2	
帚	tʂou3	
帚	tʂu5	
帛	po7	
帝	ti5	
帶	tɛ5	
席	ɕi7	
幫	pɑŋ1	
常	tʂʰɑŋ2	
帽	mɔ5	
幅	fu7	
幔	mɑ̃5	
幕	mu7	
干	kɑ̃1	
干	tɕʰiɑ̃2	
干	kɑ̃1	~涉，~湿
干	kɑ̃5	树~
平	pʰiẽ2	
年	niɑ̃2	
幷	piẽ5	
幸	ɕiẽ5	
幻	xuɑ̃5	
幼	iou5	
幽	iou1	
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tɕʰiẽ5	
庇	pi5	
牀	tʂʰuɑŋ2	
序	ɕy5	
廬	nou2	
庫	kʰu5	
應	iẽ1	
應	iẽ5	
底	ti3	
店	tiɑ̃5	
廟	miɔ5	
庚	kẽ1	
府	fu3	
龐	pʰɑŋ2	
廢	xue5	
度	tou5	
座	tsuo5	
庭	tʰiẽ2	
庵	ŋɑ̃1	
庶	ʂu5	
康	kʰɑŋ1	
庸	iuŋ2	
廉	niɑ̃2	
廊	nɑŋ2	
廓	kʰuo7	
延	iɑ̃2	
廷	tʰiẽ2	
建	tɕiɑ̃5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ7	
弓	kuŋ1	
引	iẽ3	
弘	xuŋ2	
弟	ti5	
張	tʂɑŋ1	
弥	mi2	
弦	ɕiɑ̃2	
彎	uɑ̃1	
弱	ʐuo7	
彈	tʰɑ̃2	
彈	tɑ̃5	
强	tɕʰiɑŋ2	~弱
强	tɕʰiɑŋ5	勉~
弼	pi7	
歸	kue1	
當	tɑŋ1	
當	tɑŋ5	
录	nou7	
形	ɕiẽ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piẽ1	
彭	pʰuŋ2	
影	iẽ3	
彷	xuɑŋ3	
役	i7	
徹	tʂʰɛ7	
彼	pi3	
彿	fu7	
往	uɑŋ3	
征	tʂẽ1	
徑	tɕiẽ5	
待	tɛ5	
很	xẽ5	
律	ny7	
徐	ɕy2	
徒	tʰou2	
得	tɛ7	
徛	i5	
御	y5	
循	ɕyẽ2	
微	ue1	
微	ue2	
德	tɛ7	
徽	xue1	
心	ɕiẽ1	
必	pi7	
憶	i7	
忌	tɕi5	
忍	ʐẽ3	
忖	tsʰẽ3	
志	tʂʅ5	~气，标~
忘	uɑŋ5	
忙	mɑŋ2	
憂	iou1	
快	kʰuɛ5	
念	niɑ̃5	
忽	fu7	
忿	xuẽ5	
懷	xuɛ2	
態	tʰɛ5	
慪	ou5	
怒	nou5	
怕	pʰɑ5	
怖	pu5	
憐	niɑ̃2	
思	sɿ1	
怠	tɛ5	
急	tɕi7	
性	ɕiẽ5	
怨	yɑ̃5	
怪	kuɛ5	
怯	tɕʰiɛ7	
怱	tsʰuŋ1	
總	tsuŋ3	
恃	ʂʅ5	
恄	ɕi1	指声音或动作令人恐惧或不适。她哭得~惶人
戀	niɑ̃5	
恆	xẽ2	
恕	ʂu5	
恢	xue1	
恤	ɕy7	
恨	xẽ7	
恩	ŋẽ1	
恭	kuŋ1	
息	ɕi7	
恰	tɕʰiɑ7	
懇	kʰẽ3	
恶	ŋuo7	
惱	nɔ3	
悄	tɕʰiɔ3	
悉	ɕi7	
悟	vu5	
悠	iou2	
患	xuɑ̃5	
悅	yɛ7	
懸	ɕyɑ̃2	
憫	miẽ3	
悲	pe1	
情	tɕʰiẽ2	
驚	tɕiẽ1	
惑	xuo7	
惜	ɕi7	
惟	ue2	
惠	xue5	
懼	tɕy5	
慘	tsʰɑ̃3	
懲	tʂʰẽ2	
慚	tsʰɑ̃2	
慣	kuɑ̃5	
惰	tv5	
惹	ʐɛ3	
愁	tʂʰou2	
愈	y3	
愈	y5	
愉	y2	
意	i5	
愚	y2	
感	kɑ̃3	
憤	xuẽ5	
愧	kʰue5	
願	yɑ̃5	
慈	tsʰɿ2	
慌	xuɑŋ1	
愼	ʂẽ5	
慕	mu5	
慢	mɑ̃5	
慧	xue5	
慨	kʰɛ5	
慰	ue5	
憋	piɛ7	
憎	tsẽ5	
憠	tɕyɛ7	
憨	xɑ̃1	
憾	xɑ̃5	
懂	tuŋ3	
懈	ɕiɛ5	
懊	ŋɔ3	
懊	ŋɔ5	
懶	nɑ̃3	
懵	muŋ3	
戈	kuo1	
戊	u5	
戌	ɕy7	
戍	ʂʯ5	
戲	ɕi5	
成	tʂʰẽ2	
我	uo3	
戒	kɛ5	
或	kuɛ7	
戰	tʂɑ̃5	
戚	tɕʰi7	
戟	tɕi7	
截	tɕiɛ7	
戳	tʂʰuo7	
戴	tɛ5	
戶	fu5	
戽	fu5	
房	xuɑŋ2	
扁	piɑ̃3	
扇	ʂɑ̃5	
才	tsʰɛ2	
扎	tʂɑ7	
扑	pʰu7	
打	tɑ3	
扔	ʐẽ2	
托	tʰuo7	
扛	kʰɑŋ1	
扣	kʰou5	
執	tʂʅ7	
擴	kʰuo7	
掃	sɔ5	
揚	iɑŋ2	
扭	niou3	
扮	pɑ̃5	
扯	tʂʰɛ3	
擾	ʐɔ3	
扳	pɑ̃1	
扶	fu2	
批	pʰi1	
扼	ŋɛ7	
扼	uo7	
找	tʂɔ3	
承	tʂʰẽ2	
技	tɕi5	
抄	tʂʰɔ1	
把	pɑ3	~握，刀~
抑	i7	
抓	tʂʰuɑ1	
投	tʰou2	
抖	tou3	
抗	kʰɑŋ5	
折	tʂɛ7	
折	ʂɛ7	
撫	fu3	
拋	pʰɔ1	
摳	kʰou1	
搶	tɕʰiɑŋ3	
護	fu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	mɑ7	
抹	mo7	
押	n̩7	
抽	tʂʰou1	
抿	miẽ3	
拄	tʂu3	
擔	tɑ̃1	
擔	tɑ̃5	
拆	tʂʰɛ7	
拇	mu3	
拈	tiɑ̃2	
拉	nɑ7	
拌	pɑ̃5	
拍	pʰɛ7	
拎	niẽ2	
拒	tɕy5	
拔	pɑ7	
拖	tʰv1	
拘	tɕy1	
拙	tʂuo7	
拚	pʰiẽ1	
招	tʂɔ1	
拜	pɛ5	
擬	ni3	
攏	nuŋ3	
揀	tɕiɑ̃3	
擁	iuŋ3	
攔	nɑ̃2	
撥	po7	
擇	tsɛ7	
