#漢字	音標	解釋
□	kuɑʔ7	kuɑʔ7開,表示“裂開”
乳	nɑ4	
乾	kø̃1	1揩乾
乾	kʏ̃1	2揩乾
亂	lø̃6	1
亂	lʏ̃6	2淫亂
亂	lø̃2	3撓亂
了	liɔ4	
事	zɿ6	1
事	zɿ4	2
二	ɲi6	1十二
二	əɹ6	2二十八宿
于	y1	
云	yn1	
互	ŋu6	
五	ŋ̍4	1
五	ɦu4	2
五	ŋ̍3	3
五	ŋ̍2	4
井	tsiŋ3	
些	si1	1
些	si3	2
些	si5	3
亞	iɑ3	
亡	mɒŋ2	1
亡	vɒŋ2	2
交	ciɔ1	
亥	ɦe6	
亨	hʌŋ1	
享	çiɑŋ3	
京	ciʌŋ1	
亭	diŋ2	
亮	liɑŋ6	
人	ɲiʌn2	1
人	ɲiʌŋ2	2
人	zʌn2	3
人	ɲiʌn4	4
人	ɲiʌn6	5
什	zəʔ8	1什蓋能;另作“拾”
什	səʔ7	2什蓋
仁	ɲiʌn2	1杏仁
仁	zʌn2	2仁義道德
仄	tsɑʔ7	1
仄	tsʌʔ7	2
仇	ɟiɤ2	報仇
今	ciʌn1	
介	kɑ5	程度副詞
仍	zʌŋ2	
仔	tsɿ3	
仗	dzɑŋ6	1
仗	tsɑŋ5	2
付	fu5	
仙	siẽ1	
代	de6	1代替
代	de2	2代替
令	liŋ6	1命令
令	liŋ2	2令尊
以	i3	1
以	i5	2
仰	ɲiɑŋ4	
件	ɟiẽ4	1量詞
件	ɟiẽ6	2量詞
件	ɟiẽ2	3案件
任	ɲiʌŋ2	1任憑
任	zʌn2	2任憑
任	zʌn6	3留任
任	zʌŋ6	4任用
仿	fɒŋ1	
伊	i1	1
伊	i5	2
伍	ɦu4	
伏	voʔ8	
伐	væʔ8	
休	ɕiɤ1	
伙	hu3	
伯	pɑʔ7	1伯伯
伯	pʌʔ7	2公侯伯子男
估	ku3	
伲	ɲi4	1我伲
伲	ɲi6	2我伲
伴	bẽ6	1同伴
伴	bẽ6	1偷伴子
伴	bẽ2	2同伴
伴	bẽ2	2偷伴子,釋義爲“secretly”
伶	liŋ2	
伸	sʌn1	
伺	zɿ6	
似	zɿ6	
但	dæ̃6	1但是
但	dæ̃4	2但憑儂
但	dæ̃2	3但是
佈	pu3	量詞
位	ɦue6	1
位	ue5	2
低	ti1	
住	dzʮ6	
佑	ɦiɤ6	
佔	tsiẽ1	
何	ɦu2	
佛	vəʔ8	1
佛	fəʔ7	2仿佛
作	tsɒk7	1作主
作	tsɒʔ7	2木作
你	ɲi4	1
你	ne4	2
佯	ɦiɑŋ2	1假佯頭
佯	ɦiɑ2	2假佯頭
佳	ɟiɑ2	
使	sɿ3	1
使	sɿ5	2若使,倘使
使	sɿ1	3按察使
來	le2	1出來
來	le4	2舉起來
侈	tsʰɿ3	
例	li6	
供	kuŋ1	
依	i1	1
依	i5	2
侯	ɦɤ2	
侵	tsʰiŋ1	
便	biẽ6	
係	ɦi6	
俐	li6	
俗	zoʔ8	
保	pɔ3	
俠	ɡæʔ8	擠咾俠,釋義爲“throng {to}”
信	siŋ5	1
信	siŋ1	2失信
修	siɤ1	
俯	fu3	
俸	fuŋ5	1俸祿
俸	foŋ1	2俸祿
俸	fuŋ1	3罰俸
併	piŋ3	
倉	tsʰɒŋ1	
個	ku5	1一个一个
個	kɤ5	2一个一个
個	ko5	3諂媚別人個人
個	kʌʔ7	4一個
個	ku1	5種田個事體
倍	be6	
們	mʌn2	
倒	tɔ3	
倖	ɦiʌŋ4	1
倖	ɦiʌŋ6	2
倘	tʰɒŋ3	
候	ɦɤ6	
倚	i3	
借	tsiɑ5	
值	dzʌk8	1値價錢
值	dzʌʔ8	2
倦	ɟiø̃6	
倫	lʌn2	
偃	ɦiẽ4	
假	kɑ3	1
假	kɑ5	2
假	ciɑ3	3假如
偉	ue5	
偏	pʰiẽ1	
做	tsu5	1
做	tsu3	2
停	diŋ2	
健	ɟiẽ6	
偶	ŋɤ4	1偶然
偶	ŋɤ2	2偶然
偷	tʰɤ1	1
偷	tʰɤ5	2
傅	fu5	
傑	ɟiʔ8	
傘	sæ̃3	1
傘	sæ̃5	2
備	be6	1責備
備	be2	2預備
傢	kɑ1	
催	tsʰʮe1	
傲	ŋɔ6	
傳	zẽ2	1傳下來
傳	dzẽ2	2傳下來
傳	zẽ6	3傳道
傳	dzẽ6	4言行傳
債	tsɑ5	
傷	sɒŋ1	
僅	ciʌn3	1僅彀,釋義爲“scarcely {enough}”
僅	ɟiʌn6	2僅彀,釋義爲“sufficient {barely}”
僊	siẽ1	
像	ziɑŋ4	1
像	ziɑŋ6	2
僞	ŋue6	
僣	tsiẽ1	
僧	sʌŋ1	
僱	ku5	
價	kɑ5	1價錢
價	ciɑ5	2無價之寶
價	kɑ3	3價値
僻	pʰiʔ7	1邪僻
僻	piʔ7	2邪僻
儀	i1	
儂	noŋ6	1
儂	nuŋ6	2
儂	nuŋ2	3
儆	ciʌŋ1	
儉	ɟiẽ6	1省儉
儉	ciẽ5	2溫良恭儉讓
儒	zʮ2	
儘	ziẽ2	
償	zɒŋ2	1償還
償	dzɒŋ2	2償還
允	yn3	1
允	iʌn3	2
元	ɲiø̃2	1
元	iø̃1	2
兄	ɕiuŋ1	1
兄	ɕiʌŋ1	2
充	tsʰuŋ1	
兆	dzɔ6	1
兆	zɔ6	2
兇	ɕiuŋ1	
先	siẽ1	
光	kuɒŋ1	1辰光
光	kuɒŋ5	2辰光
克	kʰʌʔ7	
兑	de6	
免	miẽ4	1
免	miẽ6	2
兎	tʰu5	
兒	ŋ̍2	1兒子
兒	ɲi2	2兒子
兒	əɹ2	3兒子
兒	ŋ̍1	4兒子
兒	ɲi6	5兒子
兜	tɤ1	
入	zəʔ8	
内	ne6	
全	zẽ2	1
全	ziẽ2	2
全	dzẽ2	3
全	dziẽ2	4兩版均ds聲母
兩	liɑŋ4	
八	pæʔ7	
公	koŋ1	1相公
公	kuŋ1	2公道
公	kɒŋ1	3相公
六	lok8	1五顏六色
六	loʔ8	2
共	ɡoŋ6	1
共	ɡuŋ6	2
兵	piŋ1	
兵	piŋ1	擬聲詞,兵兵浜浜
其	ɟi2	
具	ɟy6	1才具
具	ɟy2	2器具
典	tiẽ3	
册	tsʰɑʔ7	
再	tse5	
冒	mɔ6	
冠	kuẽ5	1李下不整冠
冠	kue1	2衣冠楚楚
冤	iø̃1	
冬	toŋ1	
冬	toŋ1	1
冬	tuŋ1	2
冰	piŋ1	
冶	ɦiẽ4	
冷	lɑŋ4	1
冷	lɑŋ2	2冷落
準	tsʌn3	1
準	tsʌn3	2
凋	tiɔ1	
凌	liŋ2	
凍	tuŋ5	1
凍	tʌŋ5	2冰凍
減	kæ̃3	1
減	kæ̃1	2减脫
凙	dɒʔ8	
凝	ɲiʌŋ2	
凡	væ̃2	
凰	ɦuɒŋ2	1鳳凰
凰	ɦuɒŋ6	2鳳凰
凱	kʰe5	
凳	tʌŋ5	1板凳
凳	tʌŋ1	2板凳
凸	dəʔ8	
凹	ɔ1	
出	tsʰəʔ7	
刀	tɔ1	
刁	tiɔ1	
分	fʌn1	1分別
分	vʌn6	2過分
分	vʌn2	3過分
切	tsʰiʔ7	
刋	tsʰiẽ1	
刑	iʌŋ1	
划	uo1	
列	liʔ8	
初	tsʰu1	
判	pʰẽ5	
别	biʔ8	1別人
别	piʔ7	2分別
刨	bɔ6	
利	li6	1利害
利	li2	2利息
删	sæ̃1	
刮	kuæʔ7	
刮	ɡuæʔ8	刮法子,釋義爲“machinery”
刮	kuæʔ7	擬聲詞,刮臘刮臘
到	tɔ5	1
到	tɔ1	2到裏向
制	tsɿ5	1
制	tsɿ1	2制服
刷	søʔ7	1刷印
刷	səʔ7	2
刺	tsʰɿ5	1
刺	tsʰɿ1	2
刻	kʰʌk7	1
刻	kʰʌʔ7	2立刻
剃	tʰi5	
則	tsʌʔ7	
削	siɑk7	1削指甲
削	siɑʔ7	2削平
前	ziẽ2	1前兩日
前	dziẽ2	2前世冤
剔	tʰiʌʔ7	
剖	pʰɤ5	
剛	kɒŋ1	
剜	uẽ1	
剝	pok7	1剝脫苹菓皮
剝	poʔ7	2剝皮
剩	zʌŋ6	1剩下來
剩	dzʌŋ2	2餘剩錢物
剩	zʌŋ2	3剩頭
剪	tsiẽ3	
副	fu5	
割	køʔ7	1担刀來割
割	kuəʔ7	2担刀來割
剳	tsʰæʔ7	
創	tsʰɒŋ5	1創造
創	tsʰɒŋ1	2創造
剸	tsæ̃1	
剿	tsiɔ3	1
剿	tsiɔ5	2
劃	ɦuɑʔ8	
劈	pʰiʔ7	
劊	kʰue1	
劍	ciẽ5	
劑	tsi3	
力	liʌk8	1出力
力	liʌʔ8	2幷心竭力
力	liʔ8	3出力
功	koŋ1	1成功
功	kuŋ1	2功勞
功	koŋ5	3成功
加	kɑ1	
助	zu4	1
助	dzu4	2
助	dzu6	3
助	dzʮ6	4
劫	ciʔ7	
敕	tsʰʌʔ7	
勇	iuŋ3	
勉	miẽ4	1
勉	miẽ6	2
勒	lʌʔ8	勒索
勒	ləʔ8	表示“在”
動	doŋ4	1勿動
動	duŋ4	2
動	doŋ6	3跑得動
動	duŋ6	4
動	duŋ2	5勿動干戈
務	vu6	
勝	sʌŋ5	1
勝	sʌŋ1	2得勝
勞	lɔ2	
募	mu6	
勢	sɿ5	
勤	ɟiʌn2	1慇懃
勤	ɟiʌŋ2	2
勤	ɟiʌn4	3懃勞
勵	li6	
勸	cʰiø̃5	1
勸	cʰiø̃1	2解勸
勺	zɒʔ8	
匀	yn1	
勾	kɤ1	
勿	vəʔ8	
包	pɔ1	1一包花
包	pɔ3	2包庇
化	hɔ5	1塲化,另作“好”
化	huo5	1造化
化	he5	2一氣勒化altogether
化	ho5	2造化
化	huo1	3造化主
化	hɤ5	3一氣勒化altogether
北	poʔ7	1北門
北	pɒʔ7	2
匙	zɿ2	
匠	ziɑŋ6	1木匠
匠	dziɑŋ6	2木匠
匣	ɦæʔ8	
匪	fi5	1賊匪
匪	fi1	2賊匪
匯	ɦue6	
匱	kue5	
匹	pʰiʔ7	
匾	piẽ3	
匿	ɲiʌʔ8	
十	so5	1十五
十	zəʔ8	2
十	səʔ7	3
千	tsʰiẽ1	
升	sʌŋ1	
午	ŋ̍4	1
午	ɦu4	2
午	ŋ̍3	3
午	ɦu2	4中午線
卉	hue3	
半	pẽ5	1東半爿
半	pẽ1	2北半爿
半	pæ̃5	3南半爿
卑	pe1	1卑賤
卑	pe5	2卑賤
卒	tsəʔ7	
南	nẽ2	
博	poʔ7	
卜	poʔ7	
占	tsẽ1	
卡	kʰɑ5	
卦	kuo5	1占卦
卦	kuo1	2占卦
卯	mɔ4	
印	iʌn5	1
印	iʌŋ5	2印花布
印	ɦiʌŋ5	3
危	ŋue2	1危險
危	ɦue2	2危險
危	ue5	3危險
卻	cʰiɑʔ7	
卷	ciø̃3	1
卷	ciø̃5	2卷軸
卸	siɑ5	1卸船
卸	ziɑ6	2卸貨
卸	ziɑ2	3卸脫
卻	cʰiɑʔ7	
卽	tsiʌk7	1隨卽
卽	tsiʔ7	2遂卽,卽“隨卽”
厚	ɦɤ4	1
厚	ɦɤ6	2厚實
原	ɲiø̃2	1
原	iø̃1	2
原	ɲiø̃4	3
厭	ɦiẽ6	1
厭	ɦiẽ2	2討厭
去	cʰi5	1
去	cʰy5	2
去	cʰi1	3
厾	tɒʔ7	
參	sʌn1	1海參
參	sʌŋ1	2人參
參	tsʰẽ1	3弹劾
又	ɦi6	1
又	ɦiɤ6	2
又	i5	3
叉	tsʰo1	
及	ɟiʔ8	1及勿到
及	ɟi2	2來勿及
友	ɦiɤ4	1
友	ɦiɤ6	2
友	iɤ3	3
反	fæ̃3	1反轉來
反	fæ̃1	2了反勿得
叔	soʔ7	
取	tsʰʮ3	1
取	tsʰy3	2
受	zɤ4	1
受	zɤ6	2
叛	bẽ6	1叛逆
叛	bẽ2	2叛逆
口	kʰɤ3	1口才
口	kʰɤ1	2口氣
古	ku3	1古今
古	ku5	2古時間
句	cy5	
另	liŋ6	
叨	tʰɔ1	
叩	kʰɤ5	
只	tsəʔ1	
叫	kɔ5	1
叫	ciɔ5	2
叫	kɔ1	3
召	zɔ2	
叭	pæʔ7	
叮	tiŋ1	
可	kʰɔ3	1可以
可	kʰo3	2可以
可	kʰo1	3勿可相信
台	de2	1道台
台	tʰe1	2
史	sɿ3	
右	ɦiɤ4	1
右	ɦiɤ6	2
右	iɤ3	3
司	sɿ1	1
司	sɿ5	2
吃	cʰiʌk7	1吃粥
吃	cʰiʌʔ7	2吃茶
吃	tɕʰiʌʔ7	3吃飯
各	kɒk7	1各處
各	kɒʔ7	2各處
合	ɦəʔ8	1
合	kəʔ7	2合做生意
吉	ciʔ7	
吊	tiɔ5	1吊死
吊	tiɔ3	2吊桶
同	doŋ2	1
同	duŋ2	2
名	miŋ2	
后	ɦɤ4	1王后
后	ɦɤ6	2皇太后
吐	tʰu5	
向	ɕiɑŋ5	1裏向
向	ɕiɑŋ1	2裏向
君	cyn1	1
君	ciʌn1	2
吝	liŋ6	1吝惜
吝	liŋ2	2吝惜
否	vɑ4	
吩	fʌn1	
含	ɦẽ2	1包含
含	ɦæ̃2	2包含
吳	ŋ̍2	1
吳	ɦu2	2
吵	tsʰɔ3	1吵鬧
吵	tsʰɔ1	2吵鬧
吸	ɕiʔ7	
吹	tsʰɿ1	
吾	ŋu2	
呀	ɑ1	是呀,語氣詞
呆	ŋe2	
呈	zʌŋ2	
告	kɔ5	
吞	tʰʌn1	1
吞	tʰʌŋ1	2
呔	tʰe1	
呢	ɲi2	1用於選擇問,表示{還是}
呢	ɲi2	
呢	ɲi4	2用於選擇問,表示{還是}
呢	ɲi2	大呢broad-cloth
周	tsɤ1	1
周	tsɤ3	2
味	mi6	1
味	vi6	2
呸	pʰe3	
呼	hu1	1呼兄喊弟
呼	hu5	2稱呼
命	miŋ6	1算命
命	miŋ2	2算命先生
咆	bɔ2	
和	ɦu2	1和尙
和	ɦu6	2調和
咐	fu5	1吩咐
咐	fu1	2吩咐
咒	tsɤ3	1
咒	tsɤ5	2
咨	tsɿ1	
咬	ŋɔ4	1
咬	ŋɔ6	2
咯	loʔ7	
咳	kʰəʔ7	
咸	ɦiæ̃2	
咽	iẽ5	1
咽	ɦiẽ6	2咽喉
咾	lɔ2	1
咾	lɔ4	2
哀	e1	
品	pʰiŋ3	1
品	pʰiŋ1	2品行
哄	hoŋ5	1
哄	huŋ5	2
哆	tu1	
哇	vɑ2	
哈	he1	
哉	tse1	
員	iø̃1	
哥	ku1	
哩	li4	
哪	nɑ4	
哭	kʰoʔ7	
哮	hɤ1	1哮病,原文釋義爲“asthma”
哮	ɕiɔ1	2咆哮
哰	lɔ2	
哼	hɑŋ1	
唆	su1	1
唆	su3	2挑唆
唆	su5	3做唆
脣	zʌn2	
唐	dɒŋ2	1
唐	doŋ2	2唐詩
唔	m̩2	
唱	tsʰɒŋ5	1唱喏
唱	tsʰɒŋ1	2唱戱個
唷	ioʔ7	
唾	tʰu5	
啄	tsɒʔ7	
商	sɒŋ1	
問	mʌn6	1
問	vʌn6	2
問	vʌn2	3
啓	cʰi3	
啞	ɔ3	1
啞	o3	2
啥	sɑ5	1
啥	sɑ3	2
啥	sɑ1	3
啼	di2	
喂	ue1	
善	zẽ4	1
善	zẽ6	2
喇	læʔ8	
喉	ɦɤ2	1喉嚨
喉	ɦɤ6	2咽喉
喊	hæ̃3	
喏	zo4	1
喏	zo6	2
喘	tsʰẽ3	1
喘	tsʰẽ1	2氣喘
喜	ɕi3	
喝	høʔ7	
喧	ɕiø̃1	
喻	y5	
喪	sɒŋ1	1喪事
喪	sɒŋ5	2喪脫,表示“{東西}丟了”
單	tæ̃1	
喲	iɑ1	1
喲	iɑʔ7	2語氣詞,是喲
嗄	ɔ1	
嗇	sʌʔ7	1吝嗇
嗇	siʔ7	2吝嗇
嗣	zɿ4	1立嗣兒子
嗣	zɿ2	2嗣子
嗶	piʔ7	嗶嘰,釋義爲“long ells”
嗶	bi2	當是“啤”字
嗽	sɤ5	
嘆	tʰæ̃5	
嘉	kɑ1	
嘔	ɦɤ4	
嘗	dzɑŋ2	
嘰	ci3	
嘴	tsɿ3	1
嘴	tsɿ5	2
嘴	tsɿ1	3
嘵	nɔ4	
嘸	m̩2	1
嘸	m̩1	2
嘻	ɕi1	
噏	ɕiʔ7	
器	cʰi5	
噯	e1	
噴	pʰʌn1	
嚇	hɑk7	1嚇殺
嚇	hɑʔ7	2嚇昏
嚨	luŋ2	
嚴	ɲiæ̃2	1威嚴
嚴	ɲiẽ2	2威嚴
嚷	zɑŋ4	1鬧嚷嚷
嚷	zɑŋ2	2鬧嚷嚷
嚼	ziɑʔ8	
囂	ɕiɔ1	
囉	lu2	
囊	nɒŋ2	
囑	tsoʔ7	
囚	dziɤ2	
四	sɿ5	
囝	nø̃2	1小囝;今俗作“囡”
囝	nø̃4	2小囝;今俗作“囡”
回	ɦue2	1
回	ɦue6	2
因	iʌn1	1因果
因	iʌŋ1	2因爲
因	ɦiʌŋ2	3因爲
因	iʌŋ5	4因此
囥	kʰɒŋ5	
囱	tsʰoŋ1	原作“冲”
囫	ɦuəʔ8	1囫圇
囫	uəʔ7	2囫圇
困	kʰuʌn5	1困乏
困	kʰʌn1	2圍困
固	ku5	1堅固
固	ku3	2堅固
圇	lʌn2	
圈	cʰiø̃1	1
圈	cʰyẽ1	2
國	kok7	1國家
國	koʔ7	2國家
國	kuoʔ7	3
國	kuəʔ7	4
國	kuɒʔ7	5
圍	ɦue2	1
圍	ɦue4	2
圍	ɦue6	3
園	ɦiø̃2	1
園	iø̃1	2
圓	ɦiø̃2	1
圓	yẽ1	2
圖	du2	
團	dø̃2	
土	tʰu3	
在	ze4	1現在
在	dze4	2現在
在	ze6	3實在
在	dze6	4實在
在	ze2	5實在
圭	kue1	
地	di6	1地方
地	di2	2地方
圾	siʔ7	
均	cyn1	
坍	tʰæ̃1	
坎	kʰẽ3	
坐	zu4	1
坐	zu6	2
坐	zʮ4	3坐江山
坑	kʰɑŋ1	
坭	ɲi2	
坯	pʰi1	
垂	dzʮe2	1垂線
垂	dzʮe6	2垂線
垃	lɑ2	1
垃	lɑʔ8	2垃圾
垃	læʔ8	3當是“邋”
垜	tu3	1橫垜裏
垜	tu1	2橫垜裏
垢	kɤ5	
埃	e1	
埋	mɑ2	
城	zʌŋ2	1進城
城	dzʌŋ2	2進城
埠	bu6	
執	tsəʔ7	
培	be2	
基	ci1	
堂	dɒŋ2	
堅	kiẽ1	
堆	te1	
堤	di2	
堪	kʰẽ1	
堯	ɦiɔ2	
報	pɔ5	
場	dzɑŋ2	
堵	tʰu3	一堵墻
塊	kʰue5	1冰塊
塊	kʰue1	2第塊
塌	tʰæʔ7	
塑	su5	
塔	tʰæʔ7	1
塔	tʰɑʔ7	2
塔	tæʔ7	一塔括子
塗	du2	
塘	dɒŋ2	
塞	sʌʔ7	
填	diẽ2	
塵	zʌŋ2	1烟塵
塵	dzʌn2	2蓬塵
境	ciʌŋ3	1對境
境	ciʌŋ1	2國度境界
墊	diẽ6	
墓	mu6	1
墓	m̩6	2
墜	dzʮe6	
增	tsʌŋ1	
墨	mʌʔ8	
墩	tʌŋ1	
墳	vʌn2	
牆	ziɑŋ2	1
牆	dziɑŋ2	2
壁	piʔ7	
壇	dæ̃2	
壓	æʔ7	1
壓	iæʔ7	2
壕	ɦɔ2	
壗	hæ̃5	1壗頭,表示處所
壗	hæ̃1	2壗頭,表示處所
壘	le6	
壙	kʰuɒŋ3	
壞	ɦuɑ6	1弄壞
壞	uɑ5	2燒壞
士	zɿ4	
壯	tsɒŋ5	1
壯	tsɒŋ1	2
壺	ɦu2	
壻	siʔ1	
壽	zɤ4	1
壽	zɤ6	2
夏	ɦɔ4	1夏至
夏	ɦɔ6	2夏至
夏	ɦiɑ4	3無冬無夏
夏	ɔ3	4夏天
夏	iɑ3	5
外	ŋɑ6	1外公
外	ŋɑ2	2外婆
外	ue5	3心往象外
多	tɑ1	1多囘
多	tu1	2多少
夜	ɦiɑ6	本爲陽調
夢	mɒŋ6	1
夢	moŋ6	2
夥	hu3	
大	du6	1膽大
大	du2	2膽大
大	dɑ6	3大黃
大	dɑ2	4高大無比
天	tʰiẽ1	
太	tʰɑ5	1太平
太	tʰe5	2太陽
夫	fu1	
夯	hɒŋ1	擬聲詞,興興夯夯,表示喘氣聲
失	səʔ7	
夷	i1	
夾	kæʔ7	1
夾	ciæʔ7	2眼夾毛
奇	ɟi2	1
奇	ci1	2奇偶
奈	ne6	1嘸奈何
奈	ne4	2無奈何
奉	voŋ4	1
奉	vuŋ6	2奉承
奉	fuŋ3	3奉獻
奏	tsɤ5	
契	cʰi5	
套	tʰɔ5	
奢	se1	
奧	ɔ5	
奪	døʔ7	
奮	fʌn3	1
奮	fʌn5	2
女	ɲy4	1
女	ɲy2	2
奴	nu2	
奶	nɑ4	
奸	kæ̃1	
好	hɔ3	1
好	hɔ1	2相好
如	zʮ2	
妄	vɒŋ6	1
妄	vɒŋ2	2
妒	tu5	
妓	ɟi6	
妖	iɔ1	
妙	miɔ6	
妥	tʰu3	
妨	fɒŋ1	
妯	dzɤ2	
妹	me6	1妹妹
妹	mi6	2妹妹
妻	tsʰi1	
妾	tsʰiʔ7	
姆	m̩2	
姊	tsi3	1
姊	tsi5	2
姊	tsi1	3
始	sɿ3	
姐	tsiɑ3	
姑	ku1	1姑媽
姑	ku3	2姑姑
姓	siŋ5	1
姓	siŋ1	2
委	ue3	1
委	ue1	2
姜	ciɑŋ1	
姦	kæ̃1	
姨	ɦi2	1
姨	i5	2
姪	dzəʔ8	
姻	iʌn1	
威	ue1	1威風
威	ue5	2威風
威	ɦue2	3虎威
娌	li4	
娑	su1	
娘	ɲiɑŋ2	1娘娘
娘	ɲiɑŋ4	2娘娘aunt
娜	nu4	
娶	tsʰʮ5	1
娶	tsʰy3	2
娼	tsʰɑŋ1	
婆	bu2	
婚	huʌn1	
婢	bi6	
婦	vu4	1婦女
婦	vu6	2新婦
婦	vu2	3新婦
婪	læ̃2	1貪婪
婪	lø̃2	2貪婪
婿	si5	
媒	me2	
媚	me6	
媽	mɑ1	1媽媽
媽	mɑ3	2阿媽
媽	mo1	3姑媽
嫁	kɑ5	
嫂	sɔ3	1
嫂	sɔ5	2
嫂	sɔ1	3
嫉	ziʔ8	1嫉妒
嫉	dziʔ8	2嫉妒
嫌	ɦiẽ6	
嫌	ɦiẽ2	原作“慊”
嫖	biɔ4	
嫩	nʌŋ6	1嫩黃
嫩	nʌn4	2
嬈	zɔ2	妖妖嬈嬈
嬉	ɕi1	
嬝	ɲiɔ4	
嬰	iʌŋ1	
嬸	sʌn1	
孀	sɒŋ1	
子	tsɿ3	1
子	tsɿ5	2
子	tsɿ1	3
孔	kʰoŋ3	
孕	yn5	
字	zɿ6	
存	dzʌn2	
孛	bəʔ8	
孝	çiɔ5	1
孝	ɕiɔ5	2
季	ci5	1月季花
季	ci1	2月季花
孤	ku1	
孫	sʌn1	
孬	cʰiɤ1	
學	ɦɒk8	1學生子
學	ɦɒʔ8	2學習
學	hɒʔ7	3
學	ɦiɑʔ8	3博學
學	iɑʔ7	4博學
孽	ɲiʔ8	
宅	dzɑʔ8	
守	sɤ3	
安	ø̃1	1安分
安	ø̃3	2安穩
完	ɦuẽ2	1
完	uẽ1	2
宏	ɦuŋ2	
宕	dɑŋ6	1
宕	dɒŋ6	2
宗	tsoŋ1	1
宗	tsuŋ1	2
官	kuẽ1	
定	diŋ6	1一定
定	diŋ2	2勿定
宛	ɦuẽ2	
宜	ɲi2	
客	kʰɑk7	1客氣
客	kʰɑʔ7	2客人
宣	siẽ1	
室	sʌʔ7	
宮	cioŋ1	1
宮	koŋ1	2
宮	kuŋ1	3
宰	tse5	
害	ɦe6	1利害
害	he5	2
宴	ɦiẽ6	
家	kɑ1	1自家
家	ciɑ1	2國家
容	ɦioŋ2	1容易
容	ɦiuŋ2	2容易
容	iuŋ1	3容易
容	iʌŋ1	4容易
宿	soʔ7	1
宿	siɤ3	2二十八宿
宿	siɤ1	3
寂	ziʔ8	
寄	ci5	1寄信
寄	ci1	2寄信
寅	iʌn1	
密	miʔ8	
寇	kʰɤ5	
富	fu5	
寒	ɦø̃2	1寒門
寒	ø̃3	2寒熱
寓	ɲy4	
察	tsʰæʔ7	
寡	kuo1	
寤	ŋu6	
實	zəʔ8	
寧	ɲiʌŋ2	
審	sʌn3	
寫	siɑ3	
寬	kʰuẽ1	
寵	tsʰuŋ3	
寶	pɔ3	
寸	tsʰʌn5	1尺寸
寸	tsʰʌn1	2方寸
寺	zɿ6	
封	foŋ1	1
封	fuŋ1	2
射	zɑʔ8	1射角,釋義爲“across”
射	dzɑk8	2射角
射	zɒk8	3射箭
射	zɒʔ8	4射着
射	zok8	5射箭
射	ze6	6射光個,原文釋義爲“radiant”
射	zo6	7日頭射個光
將	tsiɑŋ1	1
將	tsiɑŋ5	2將官
專	tsẽ1	
尊	tsʌn1	1
尊	tsʌŋ1	2
尊	tsʌn5	3
尋	ziŋ2	1
尋	dziŋ2	2
對	ɗe5	1對面
對	te5	2勿對
導	dɔ4	
小	siɔ3	1
小	siɔ1	2小心
小	siɤ3	3養育小囝
少	sɔ3	
尖	tsiẽ1	
尚	zɒŋ6	1和尙
尚	zɑŋ6	2尚且
尚	zɒŋ2	3和尙
就	dziɤ6	1
就	ziɤ6	2
尺	tsʰɑk7	1尺巴,即“尺把”
尺	tsʰɑʔ7	2量詞
尼	ɲi2	
尾	ɲi4	1尾把
尾	ɲi6	2尾杷
尾	vi4	3尾杷
尾	vi6	4尾杷
局	ɟioʔ8	1
局	dʑioʔ8	2
