#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪,地名
伴	pʰun5	白讀
伶	lɪŋ4	
伸	sɜn1	
伺	si1	
伺	tsi6	窺伺
似	tsʰi5	
似	si5	老派
伽	kɑ1	瑜伽
伽	kʰiɑ4	伽藍
佃	tin6	佃農
佃	hin4	佃作
但	tɑn6	
佇	tsʰui5	
佈	pɜu1	
位	ʋei6	
低	tɑi1	
住	tsi6	
佐	tsuɔ1	
佑	jɜu6	
佔	tsim1	
何	huɔ4	
佗	huɔ4	
余	ji4	
佚	jɜt8	
佛	fɜt8	佛教
佛	fɜt7a	仿佛
作	tsɔk7a	
作	tsɔk7b	
你	nei1	
佣	jəŋ2	
佩	pʰui1	
佳	kɑi1	
併	pʰɪŋ1	
使	sɑi2	
使	si1	使者
侃	hun2	
來	lui4	
侈	tsʰi2	
例	lɑi6	
侍	si6	
侏	tsi5	
供	kəŋ1	
依	ji1	
侮	mɜu5	
侯	hɑu4	
侵	tsʰɜm1	
侶	lui5	
便	pin6	便利
便	pʰin4	大腹便便
係	hɑi6	
促	tsʰək7a	
俄	ŋuɔ4	
俊	tsɜn1	
俎	tsuɔ2	
俏	tsʰiu1	
俐	lɑi6	
俐	lei6	
俑	jəŋ2	
俗	tsək8	
俘	fu1	
保	pou2	
俠	hɑp8	
信	sɜn1	
修	sɜu1	
俯	fu2	
俱	kʰui1	
俸	fəŋ2	
俺	jim2	
倆	liøŋ2	姓氏
倉	tsʰɔŋ1	
個	kə1	語流變讀
個	kuɔ1	
倌	kun1	
倍	pʰui5	
倏	sək7a	
們	mun4	
倒	tou1	
倒	tou2	
倔	kuɜt8	
倖	hɑŋ6	
倘	hɔŋ2	
候	hɑu6	
倚	ji2	
借	tsiɑ1	
倡	tsʰiøŋ1	
倦	kin6	
倩	sin6	
倪	ŋɑi4	
倫	lɜn4	
值	tsɪk8	
假	kɑ1	假如
假	kɑ2	放假
偉	ʋei2	
偉	ʋei5	
偎	ʋui1	
偏	pʰin1	
偕	kɑi1	
做	tsɜu6	
停	hɪŋ4	
健	kin6	
側	sɑk7a	邊側,地方
側	tsɑk7a	
偵	tsɪŋ1	
偶	ŋɑu5	
偷	hɑu1	
僞	ŋɑi6	
傀	fɑi1	傀儡
傀	kuei1	傀偉
傅	fu6	傅粉施朱
傍	pɔŋ6	依山傍水
傍	pɔŋ6	傍晚
傍	pʰɔŋ4	傍晚
傑	kit8	
傘	sɑn1	
備	pei6	
傢	kɑ1	
催	tsʰui1	
傭	jəŋ4	
傲	ŋou6	
傳	tsʰin4	傳播
傳	tsin6	傳奇
債	tsɑi1	
傷	siøŋ1	
傻	suɔ4	
傾	kʰɪŋ1	
僅	kɜn2	
像	tsiøŋ6	
僑	kʰiu4	
僕	pək8	
僚	liu4	
僥	hiu1	僥倖
僥	ŋiu4	僬僥,短人,西南夷別名
僧	tsɑŋ1	
僮	həŋ4	書僮
僮	tsɔŋ6	僮族
僱	ku1	
僵	kiøŋ1	
價	kɑ1	
僻	pʰɪk7a	
儀	ŋi4	
億	jɪk7a	
儉	kim6	
儒	ŋi4	
儘	tsɜn6	
償	siøŋ4	
儡	lui5	
優	jɜu1	
儲	tsʰui5	
儸	luɔ4	
儼	ŋim4	
兀	ŋɑt8	
允	ʋɜn5	
元	ŋin4	
兄	hɪŋ1	
充	tsʰəŋ1	
兆	siu6	
兇	həŋ1	
先	sin1	
光	kɔŋ1	
克	hɑk7a	
兑	tui1	
免	min5	
兒	ŋi4	
兔	hɜu1	
兜	tɑu1	
兢	kɪŋ1	
入	jɜp8	
内	nui6	
全	tsʰin4	
兩	liøŋ2	
八	pɑt7a	八卦
八	pɑt7b	數字八
公	kəŋ1	
六	lək8	
兮	hɑi4	
共	kəŋ6	
兵	pɪŋ1	
其	kʰei4	
具	kui6	
典	tin2	
兼	kim1	
冀	kʰei1	
冇	mou5	沒有
冉	ŋim5	
册	tsʰɑk7b	
再	tsui1	
冑	tsɜu6	
冒	mɑk8	冒頓
冒	mou6	冒犯
冕	min5	
冚	hɑm6	全部
冚	hɑm5	冚家鏟
冠	kun1	
冢	tsʰəŋ2	
冤	jin1	
冥	mɪŋ4	
冬	təŋ1	
冰	pɪŋ1	
冶	jiɑ5	
冷	lɑŋ5	
冽	lit8	
准	tsɜn2	
凋	tiu1	
凌	liɑŋ4	雪凌,冰錐
凌	lɪŋ4	
凍	təŋ1	
凜	lɜm1	
凝	ŋɪŋ4	
几	kei1	
凡	fɑn4	
凰	ʋɔŋ4	
凱	hui2	
凳	tɑŋ1	
凶	həŋ1	
凸	tɜt8	
凹	nɜp7a	
出	tsʰɜt7a	
函	hɑm4	
刀	tou1	
刁	tiu1	
刃	ŋɜn6	
分	fɜn1	分開
分	fɜn6	本分
切	tsʰɑi1	一切
切	tsʰit7b	急切
刊	hun1	
刎	mɜn5	
刑	jɪŋ4	
划	ʋɑ1	划船
列	lit8	
初	tsʰuɔ1	
判	pʰun1	
别	pit8	
刨	pʰɑu4	
利	lɑi6	
利	lei6	
删	sɑn1	
刮	kuɑt7b	
到	tou1	
制	tsɑi1	
刷	tsʰɑt9	名詞,變調
刷	tsʰɑt7b	
券	kin5	
券	hin5	老派
券	kʰin1	
刺	tsʰi1	
刻	hɑk7a	
剃	hɑi1	
則	tsɑk7a	
削	siøk7b	
剋	hɑk7a	
前	tsʰin4	
刹	sɑt7b	
剔	hɪk7a	
剖	fɑu2	
剛	kɔŋ1	
剝	mɔk7a	
剩	sɪŋ6	文讀
剩	tsɪŋ6	
剪	tsin2	
副	fu1	
割	kut7b	
創	tsʰɔŋ1	
剷	tsʰɑn2	
劃	ʋɑk8	
劇	kʰiɑk8	
劇	kʰiɑk9	
劈	pʰɪk7a	
劉	lɜu4	
劍	kim1	
劑	tsɑi2	
力	lɪk8	
功	kəŋ1	
加	kɑ1	
劣	lit8	
助	tsuɔ6	
努	nɜu2	
劫	kip7b	
劭	siu6	
劾	hɑt8	
勁	kɪŋ6	
勃	put8	
勇	jəŋ5	
勉	min5	
勒	lɑk8	
動	təŋ6	
勘	hɑm1	
務	mɜu6	
勛	fɜn1	
勝	sɪŋ1	
勞	lou4	
募	mɜu6	
勢	sɑi1	
勢	sɑi5	手勢,變調
勤	kʰɜn4	
勵	lɑi6	
勸	hin1	
勺	tsiøk7b	
匀	jɜn4	老派
匀	ʋɜn4	
勾	kɑu1	勾當
勾	ŋɑu1	勾劃
勿	mɜt8	
包	pɑu1	動詞
包	pɑu5	名詞,量詞,變調
匆	tsʰəŋ1	
匈	həŋ1	
匍	pʰɜu4	
匐	fək8	
化	fɑ1	
北	pɑk7a	
匙	si4	茶匙,湯匙,一本作“瓷”
匙	si4	鑰匙
匠	tsiøŋ6	
匣	hɑp8	
匪	fei2	
匯	ʋui6	
匱	kuei6	
匹	pʰɜt7a	
匾	pin2	
匿	nei2	
匿	nɪk7a	躲藏
匿	nɪk7a	匿名
區	kʰui1	區別
區	ʔɑu1	姓區
十	sɜp8	
千	tsʰin1	
卅	sɑ1	
升	sɪŋ1	
午	m̩2	
卉	ʋei2	
半	pun1	
卑	pei1	
卒	tsɜt7a	士卒
卓	tsʰiøk7b	
協	hip7b	
南	nɑm4	
博	pɔk7a	
博	pɔk7b	
卜	pɑk8	萝卜
卜	pək7a	
卜	pɔk7a	
占	tsim1	
卡	kʰɑ2	
卦	kuɑ1	
卬	ŋɔk9	我哋
卯	mɑu5	
印	jɜn1	
危	ŋɑi4	
即	tsɪk7a	
即	tsɪk7b	又音
卵	lɜn2	
卷	kin2	卷曲
卷	kin6	試卷
卸	siɑ1	
卻	kʰiøk7b	
卿	hɪŋ1	
厄	ʔɑk7a	
厘	lei4	
厚	hɑu5	
厝	tsʰɜu1	
原	ŋin4	
厥	kʰiɑk9	佢哋
厭	jim1	
厲	lɑi6	
去	hui1	
參	tsʰɑm1	參加
參	tsʰɑm1	參差
參	sɑm1	三的大寫
參	sɜm1	人參
又	jɜu6	
叉	tsʰɑ1	
叉	tsʰɑ5	變調
及	kʰɜp8	
友	jɜu5	
反	fɑn2	
叒	jiøk8	
叔	sək7a	
叕	tsit7b	
取	tsʰui2	
受	sɜu6	
叛	pun6	
叟	sɑu2	
叢	tsʰəŋ4	
口	hɑu2	
古	ku2	
句	kui1	
另	lɪŋ6	
叨	tou1	嘮叨
叨	hou1	叨擾
叩	kʰɑu1	
只	tsi2	
叫	kiu1	
召	siu6	召南
召	tsiu6	召喚
叭	pɑt7b	
叮	tiɑŋ1	
叮	tɪŋ1	
可	hɑk7a	可汗
可	huɔ2	可以
台	hui1	天台,地名
台	hui4	台山,地名
台	ji4	
叱	tsʰɪk7a	叱石,地名
史	si2	
右	jɜu6	
司	si1	
叻	liɑk7a	聰明
叼	tiu1	
吁	hui1	
吃	kɜt8	口吃
吃	hiɑk7b	吃飯
各	kɔk7a	
各	kɔk7b	
吆	jiu1	
合	kɑp8	一合
合	hɑp8	合格
吉	kɜt7a	
吊	tiu1	
同	həŋ4	
名	miɑŋ2	你叫乜名?
名	miɑŋ4	名聲,白讀
名	mɪŋ4	
后	hɑu6	
吏	lɑi6	
吏	lei6	
吐	hɜu1	
向	hiøŋ1	
吒	tsʰɑk7a	叱吒
吒	tsɑ1	哪吒
吔	jɑ1	
君	kuɜn1	
吝	lɜn6	
吞	hɜn1	
吟	ŋɜm4	
吠	fei6	
否	fɑu2	否定
否	pʰei2	否極泰來
吧	pɑ6	
吩	fɜn1	
含	hɑm4	
吭	hɔŋ1	吭聲
吭	hɔŋ4	引吭高歌
吱	tsi1	
吳	m̩4	
吵	tsʰɑu2	
呐	nɑp8	
吸	kʰɜp7a	
吹	tsʰui1	
吻	mɜn5	
吼	hɑu1	
吾	m̩4	
呀	ʔɑ1	
呂	lui5	
呃	ʔɑk7a	
呆	ŋui4	
呈	tsʰɪŋ4	
告	kou1	報告
呢	nɛ1	語氣助詞
呢	nɛ5	語氣助詞
呢	nei4	呢喃
周	tsɜu1	
呱	kuɑ1	
味	mei6	
呵	huɔ1	
呻	sɜn1	
呼	fu1	
命	miɑŋ6	一條命
命	mɪŋ6	
咀	tsui2	
咄	tɜt7a	
咆	pʰɑu4	
和	ʋɔ4	和諧
和	ʋɔ6	唱和
咎	kɜu1	
咐	fu1	
咒	tsɑu1	
咕	ku1	
咖	kɑ1	
咚	təŋ1	
咦	ji2	
咩	miɑ1	
咪	mei1	
咫	tsi2	
咬	ŋɑu2	
咯	kɔk7b	咯咯笑
咯	hɑk7b	咯血
咯	luɔ1	
咱	tsɑ1	
咳	hui4	
咳	kʰɑt7a	咳嗽
咸	hɑm4	
咻	hɜu1	一傅眾咻
咻	hui2	噢咻
咽	jin1	
咽	jit7b	哽咽
哀	ʔui1	
品	pɜn2	
哄	həŋ1	
哇	ʋɑ1	
哈	hɑ1	
哉	tsui1	
哎	ʔɑi2	
哞	mɜu4	
員	jin4	
哥	kuɔ1	
哦	ŋuɔ4	
哦	ʔɔ4	
哨	sɑu1	
哩	lei1	哩嚕
哩	lei4	
哪	nɑ1	天哪
哪	nɑ5	哪吒
哪	nɑi5	哪,哪裏
哭	hək7a	
哮	hɑu1	
哲	tsit7b	
哺	pɜu6	
哼	hɑŋ1	哼歌
哼	ŋ̍1	
哽	kɑŋ2	
唉	ʔɑi2	
唐	hɔŋ4	
唔	m̩5	
唥	lɑŋ2	唥衫,羊毛衫
唥	lɑŋ6	
唧	tsɪk7a	
唬	fu2	
售	sɜu6	
唯	ʋei4	
唱	tsʰiøŋ1	
唷	jɔ1	
唸	tin1	
唸	nim6	吟誦
唾	huɔ1	
啁	tsɜu1	
啃	hɑŋ2	
啄	tiøk7b	
商	siøŋ1	
啊	ʔɑ1	
問	mɜn6	
啕	hou4	
啜	tsit7b	
啞	ʔɑ1	嘔啞
啞	ʔɑ2	聾啞
啞	ʔɑk7a	啞然而笑
啟	kʰɑi2	
啡	fiɑ2	
啤	piɑ1	
啦	lɑ1	
啪	pʰɑk7a	
啲	nit7a	一些
啼	hɑi4	
啾	tsɜu1	
喀	hɑk7a	
喂	ʋei1	
喃	nɑm4	
善	sin6	
喇	lɑ5	喇叭
喇	lɑ4	語氣詞
喇	lɑ5	喇嘛
喉	hɑu4	
喊	hɑm1	
喋	tip8	
喔	ʋɔ1	
喘	tsʰin2	
喙	fui1	
喚	ʋun6	
喜	hei2	
喝	hut7b	
喟	ʋei2	
喧	hin1	
喪	sɔŋ1	
喫	hiɑk7b	喫飯
喬	kʰiu4	
單	tɑn1	單純
單	sin4	單于
單	sin6	姓單
喲	jɔ1	
喳	tsɑ1	
喵	miu2	
喻	ji6	
嗅	tsʰɜu1	
嗆	tsʰiøŋ1	
嗇	sɪk7a	
嗎	mɑ5	
嗑	hɑp7a	
嗓	sɔŋ2	
嗖	sɑu1	
嗚	ʋu1	
嗜	si1	
嗡	jəŋ1	
嗣	tsi6	
嗤	tsʰi1	
嗦	suɔ1	
嗨	hui1	
嗯	m̩1	
嗯	m̩2	
嗶	pɜt7a	
嗽	sɑu1	
嘀	tɪk8	
嘅	kɛ1	
嘅	kə1	語流變讀
嘆	hɑn1	
嘈	tsʰou4	
嘉	kɑ1	
嘍	lɑu4	
嘎	kɑt7b	
嘔	ʔɑu1	嘔氣
嘔	ʔɑu2	嘔啞
嘔	ʔɑu2	嘔吐
嘖	tsɑk7a	
嘗	siøŋ4	
嘛	mɑ5	嗎啡
嘟	tɜu1	
嘩	ʋɑ1	
嘩	ʋɑ4	
嘮	lou4	
嘯	siu1	
嘰	kei1	
嘲	tsɑu2	
嘴	tsui2	
嘶	sɑi1	
嘹	liu4	
嘻	hei1	
嘿	hɑk7a	嘿嘿
嘿	mɑk8	通「默」
噎	jit7b	
嘘	hui1	噓寒問暖
噢	ʔou1	
器	hei1	
噩	ŋɔk8	
噪	tsʰou1	
噬	sɑi6	
噴	pʰɜn1	
噸	tɜn1	
噹	tɔŋ1	
嚀	nɪŋ4	
嚅	ŋi4	
嚇	hɑk7b	
嚎	hou4	
嚏	hɑi1	
嚐	siøŋ4	
嚕	lɜu1	
嚟	lei4	
嚥	jin1	
嚨	ləŋ4	
嚮	hiøŋ1	
嚮	hiøŋ2	
嚴	ŋim4	
嚷	jiøŋ6	
嚼	tsiøk7b	
囁	tsip7b	
囂	hiu1	
囉	luɔ1	囉嗦
囉	luɔ4	嘍囉
囊	nɔŋ4	
囊	nɔŋ5	腳髀囊
囑	tsək7a	
囚	tsʰɜu4	
四	sei1	
回	ʋui4	
因	jɜn1	
囡	nɑm5	困難
囱	tsʰəŋ1	
囫	fɜt7a	
困	kʰuɜn1	
固	ku1	
圃	pʰɜu2	
圇	lɜn4	
圈	kin6	豬圈
圈	hin2	圓圈
國	kɔk7b	
圍	ʋei4	
園	jin4	
圓	jin4	
圖	hɜu4	
團	hun4	
土	hɜu2	
在	tsui6	
在	tsui5	介詞,白讀
圭	kuei1	
圮	pʰei2	
地	tei6	
圳	tsɜn1	
圾	sɑp7a	
址	tsi2	
均	kuɜn1	
坊	fɔŋ1	街坊
坊	fɔŋ4	堤坊
坎	hɑm2	
坏	pʰui1	
坐	tsʰuɔ5	
坐	tsuɔ6	
坑	hɑŋ1	
坡	puɔ1	
坤	kʰuɜn1	
坦	hɑn2	
坪	pʰɪŋ4	
坭	nɑi4	紫坭,地名
坷	huɔ2	
坼	tsʰɑk7b	
垂	sui4	
垃	lɑp8	
型	jɪŋ4	
垠	ŋɑn4	
垢	kɑu1	
垣	fun4	
垮	kʰuɑ1	
埂	kɑŋ2	
埃	ʔui1	
埋	mɑi4	
城	siɑŋ4	白讀
城	sɪŋ4	
埔	pɜu1	
埕	tsʰɪŋ4	
域	ʋɪk8	
埠	pɜu6	埠頭
埠	fɑu6	商埠
埡	ʔɑ1	
執	tsɜp7a	
培	pʰui4	
基	kei1	
堂	hɔŋ4	
堅	kin1	
堆	tui1	
堆	tui5	變調;沙堆,地名
堊	ʔɔk7b	
堡	pou2	
堤	hɑi4	
堪	hɑm1	
堯	ŋiu4	
堰	jin2	
報	pou1	
場	tsʰiøŋ4	
堵	tɜu2	
塊	fɑi1	
塌	hɑp7b	
塑	sɜu1	塑造
塑	sɔk7b	塑料
塔	hɑp7b	
塗	hɜu4	
塘	hɔŋ4	
塚	tsʰəŋ2	
塞	tsʰui1	塞外
塞	sɑk7a	塞車
塢	ʋu2	山塢
塢	ʔɜu1	船塢
填	hin4	
塭	ʋɜn1	
塵	tsʰɜn4	
塹	tsʰim1	
塾	sək8	
境	kɪŋ2	
墅	jiɑ5	
墅	sui6	
墊	tin1	
墊	tsin1	白讀
墓	mɜu6	
墜	tsui6	
增	tsɑŋ1	
墟	hui1	
墟	hui4	
墨	mɑk8	
墩	tɜn1	
墮	tuɔ6	
墳	fɜn4	
墾	hɑn2	
壁	pɪk7b	
壇	hɑn4	
壑	hɔk7b	
壑	kʰɔk7b	
壓	ʔɑt7b	
壘	lɜt8	神荼鬱壘
壘	lui2	深壘,地名
壘	lui5	堡壘
壞	ʋɑi6	
壟	ləŋ5	
壤	ŋiøŋ6	
壩	pɑ1	
士	si6	
士	si2	芝士
壬	ŋɜm4	
壯	tsɔŋ1	
壹	jɜt7a	
壺	ʋu4	
壼	kʰuɜn2	
壽	sɜu6	
夏	hɑ6	
夕	tsɪk8	
外	ŋui6	
夙	sək7a	
多	tuɔ1	
夜	jiɑ6	
够	kɑu1	
夢	məŋ6	
夥	fuɔ2	
大	tɑi6	
天	hin1	
太	hɑi1	
夫	fu1	農夫
夫	fu4	
夭	jiu1	
央	jiøŋ1	
失	sɜt7a	
夷	ji4	
夸	kʰuɑ1	
夾	kip7b	
夾	kip9	變調
奄	jim1	奄有
奄	jim2	奄奄一息
奇	kei1	奇數
奇	kʰei4	奇怪
奈	nɑi6	老派
奈	nui6	
奉	fəŋ6	
奏	tsɑu1	
奐	ʋun6	
契	kʰɑi1	契約
契	kʰit7b	契丹
契	sit7b	
奔	pɜn1	
奕	jɪk8	
套	hou1	
奘	tsɔŋ6	
奚	hɑi4	
奠	tin6	
奢	tsʰiɑ1	
奧	ʔou1	
奪	tut8	
奮	fɜn1	
奮	fɜn6	
女	nui2	
奴	nɜu4	
奶	nɑi5	
奸	kɑn1	
她	hɑ1	
奼	tsʰɑ1	
好	hou1	好客
好	hou2	友好
如	ŋi4	古代第一人稱
妃	fei1	
妄	mɔŋ6	
妍	ŋin4	
妒	tɜu6	
妓	kei6	
妖	jiu2	
妙	miu6	
妝	tsɔŋ1	
妞	nɑu2	
妣	pei2	
妥	huɔ5	
妨	fɔŋ4	
妮	nei4	
妳	nei1	
妹	mui6	
妹	mui5	
妹	mui2	
妻	tsʰɑi1	
妾	tsʰip7b	
姆	mɜu5	
姊	tsei2	姐姐,白讀
姊	tsi2	
始	tsʰi2	
始	si2	老派
姗	sɑn1	
姐	tsiɑ2	
姑	ku1	
姒	tsʰi5	
姓	sɪŋ1	
委	ʋei1	虛與委蛇,委委佗佗
委	ʋei2	委託
姚	jiu4	
姜	kiøŋ1	
姦	kɑn1	
姨	ji4	
姪	tsɜt8	
姬	kei1	
姻	jɜn1	
姿	tsi1	
威	ʋei1	
娃	ʋɑ1	
娑	suɔ1	
娓	mei2	
娘	niøŋ4	
娛	ŋi4	
娜	nɑ4	
娜	nuɔ5	
娟	kin1	
娥	ŋuɔ4	
娶	tsʰɜu2	娶老婆、娶新婦
娶	tsʰui2	
婆	pʰuɔ4	
婉	jin2	
婚	fɜn1	
婢	pʰei1	
婢	pʰei2	
婦	fu5	
婦	pʰɜu5	新婦,新娘
婪	lɑm4	
婷	hɪŋ4	
婺	mɜu6	
婿	sɑi1	
媒	mui4	
媚	mei6	
媧	ʋɔ1	
媲	pʰei1	
媳	sɪk7a	
媽	mɑ2	
嫁	kɑ1	
嫂	sou2	
嫉	tsɜt8	
嫌	jim4	
嫗	ji2	
嫣	jin1	
嫦	siøŋ4	
嫩	nɜn6	
嫻	hɑn4	
嬉	hei1	
嬌	kiu1	
嬛	hin1	便嬛
嬛	kʰɪŋ4	美好
嬛	ʋɑn4	嫏嬛
嬷	mɑ1	
嬰	jɪŋ1	
嬸	sɜm2	
子	tsi2	
孔	həŋ2	
孔	kʰəŋ2	老派
孕	jɜn6	
字	tsi6	
存	tsʰɜn4	
孜	tsi1	
孝	hɑu1	
孟	mɑŋ6	
孢	pɑu1	
季	kuei1	
孤	ku1	
孩	hɑi4	
孫	sɜn1	
孰	sək8	
孵	fu1	
學	hɔk8	
孺	ŋi4	
它	hɑ1	
宅	tsɑk8	
宇	ji5	
守	sɜu2	
安	ʔun1	
宋	səŋ1	
完	jin4	
宏	ʋɑŋ4	
宕	tɔŋ6	
宗	tsəŋ1	
官	kun1	
宙	tsɜu6	
定	tiɑŋ6	落定,白讀
定	tɪŋ6	安定
宛	jin1	大宛
宛	jin2	宛然
宜	ŋi4	
客	hɑk7a	
宣	sin1	
室	sɜt7a	
宮	kəŋ1	
宰	tsui2	
害	hui6	
宴	jin1	
宵	siu1	
家	kɑ1	家人
家	ku1	曹大家
宸	sɜn4	
容	jəŋ4	
宿	sək7a	住宿
宿	sɜu1	星宿
寂	tsɪk8	
寄	kei1	
寅	jɜn4	
密	mɜt8	
寇	kʰɑu1	
富	fu1	
寐	mei6	
寒	hun4	
寓	ŋi6	
寞	mɔk8	
察	tsʰɑt7b	
寡	kuɑ2	
寢	tsʰɜm2	
寤	m̩6	
寥	liu4	
實	sɜt8	
寧	nɪŋ4	
寨	tsɑi6	
審	sɜm2	
寫	siɑ2	
寬	fun1	
寮	liu4	
寰	ʋɑn4	
寵	tsʰəŋ2	
寶	pou2	
寸	tsʰɜn1	
寺	tsi6	
封	fəŋ1	
射	jiɑ6	僕射
射	jɪk8	
射	siɑ6	發射
射	sɪk8	
將	tsiøŋ1	將來
專	tsin1	
尉	ji6	尉遲
尉	ʋɜt7a	
尉	ʋei1	
尊	tsɜn1	
尋	tsʰɜm4	
對	tui1	
導	tou6	
小	siu2	
少	siu1	年少
少	siu2	多少
尖	tsim1	
尚	siøŋ6	
尤	jɜu4	
尬	kɑi1	
就	tsɜu6	
就	ʔə2	
尷	kɑm1	
尹	ʋɜn5	
尺	tsʰiɑk7b	
尺	tsʰiɑk9	變調
尼	nei4	
尾	mei2	
尿	niu6	
局	kək8	
屁	pʰei1	
居	kui1	
屆	kɑi1	
屈	ʋɜt7a	
屋	ʔək7a	
屋	ʔək7b	
屍	si1	
屎	si2	
屏	pɪŋ2	屏除
屏	pʰɪŋ4	屏幕
屑	sit7b	
展	tsin2	
屜	hɑi1	
屠	hɜu4	
屢	lui5	
層	tsʰɑŋ4	
履	lui5	
屬	sək8	屬於
屬	tsək8	屬文
屯	hɜn4	
屯	tsɜn1	
山	sɑn1	
山	sɑn5	變調
屹	ŋɑt8	
岌	kʰɜp7a	
岑	sɜm4	
岔	tsʰɑ1	
岡	kɔŋ1	
岡	kɔŋ5	變調
巖	ŋɑm4	
岱	tui6	
岳	ŋɔk8	
岷	mɜn4	
岸	ŋun6	
峇	pɑ1	
峙	si6	
峨	ŋuɔ4	
峪	jək8	
峭	tsʰiu1	
峰	fəŋ1	
島	tou2	
峻	tsɜn1	
峽	hɑp8	
崁	hɑm1	
崇	səŋ4	
崎	kʰei1	崎嶇
崎	kʰei4	長崎
崑	kʰuɜn1	
崔	tsʰui1	
崖	ŋɑi4	
崗	kɔŋ1	
崗	kɔŋ5	變調
崙	lɜn4	
崛	kuɜt8	
崢	tsɑŋ1	
崩	pɑŋ1	
嵌	hɑm6	
嵐	lɑm4	
嵩	səŋ1	
嵬	ŋɑi4	
嶄	tsɑm2	
嶇	kʰui1	
嶸	ʋɪŋ4	
嶺	liɑŋ5	南嶺,白讀
嶺	lɪŋ5	嶺澳
嶺	lɪŋ5	嶺南
嶼	ji5	大嶼山,山名
嶼	tsui6	島嶼
嶽	ŋɔk8	
巉	tsʰɑm4	
巍	ŋɑi4	
巒	lun4	
巔	tin1	
巖	ŋɑm4	
川	tsʰin1	
州	tsɜu1	
巡	tsʰɜn4	
巢	tsʰɑu4	
工	kəŋ1	
左	tsuɔ2	
巧	hɑu2	
巨	kui6	
巫	mɜu4	
差	tsʰɑ1	差別
差	tsʰɑi1	出差
差	tsʰi1	參差
己	kei2	
已	ji5	
巳	tsi6	
巴	pɑ2	
巷	hɔŋ6	
巷	hɔŋ5	變調
巾	kɜn1	
市	si5	
布	pɜu1	
帆	fɑn4	
希	hei1	
帕	pʰɑk7b	
帖	hip7b	
帛	pɑk8	
帝	tɑi1	
帥	sɜt7a	
帥	sui1	
師	si1	
席	tsiɑk8	涼席
席	tsiɑk9	又音
席	tsɪk8	席位
帳	tsiøŋ1	
帶	tɑi1	
帶	tɑi5	絲帶,變調
帷	ʋei4	
常	siøŋ4	
