#漢字	音標	解釋
㞞	ɕyŋ2	(精液)
吵	tsʰɔ3	
吸	ɕi1	
吹	pfʰe1	
吻	uẽ3	
吼	xo3	
呆	ɛ2	(~板)
呆	tɛ1	
呈	tsʰəŋ2	
告	kɔ5	
呐	na1	
嘔	o1	
員	yæ̃2	
嗆	tɕʰiaŋ1	
周	tso1	
呱	kua1	
味	ue5	
呻	sẽ1	
呼	xu1	
命	miŋ5	
咂	tsa1	
咆	pʰɔ2	
咋	tsa3	
和	xuə2	
和	xuə5	
詠	yŋ3	
咒	tso5	
咕	ku2	
咖	kʰa3	
嚀	niŋ2	
咧	liə1	
咨	tsɿ1	
咪	mi1	
咬	iɔ3	
咯	kə2	
咱	tsæ̃3	
咳	xɛ1	
咳	kʰə1	
咸	ɕiæ̃2	
哀	ɛ1	
品	pʰiẽ3	
哄	xuŋ3	
哆	tsʰɿ1	
哆	tuə2	
哇	ua1	
哈	xa3	(~达)
哈	xa1	
哉	tsɛ3	
響	ɕiaŋ3	
哎	ɛ2	
哎	ɛ5	
啞	ia3	
噦	yə3	
譁	xua1	
譁	xua2	
哥	kə3	
哧	tsʰɿ1	
哨	sɔ5	
哪	na3	
哭	kʰu1	
哲	tsə1	
哺	pu3	
哺	pʰu3	
哼	xəŋ1	
哽	kəŋ3	
唁	iæ̃5	
唆	ɕyə1	
脣	pfʰẽ2	
唉	ɛ5	
唐	tʰaŋ2	
唔	u5	
嘮	lɔ2	
唧	tɕi1	
售	so5	
唯	ue2	
唱	tsʰaŋ5	
啃	kʰẽ3	
啄	pfə2	
商	saŋ1	
啊	a1	
啊	a2	
啊	a3	
啊	a5	
啖	tæ̃5	
啤	pʰi2	
啥	sa2	
嗇	se1	
嘯	ɕiɔ5	
啼	tʰi2	
喂	uɛ2	
喂	ue5	
善	sæ̃5	
喇	la3	
喉	xo2	
喊	xæ̃3	
喘	pfʰæ̃3	
喜	ɕi3	
喝	xə1	
喧	ɕyæ̃1	
喳	tsa1	
噴	pʰẽ5	(~香)
噴	pʰẽ1	
喻	y5	
嘍	lo2	
嗑	kʰə5	
嗓	saŋ3	
嗜	sɿ5	
嗝	kə2	
嗡	uŋ1	
嗤	tsʰɿ1	
嗯	ẽ1	
噯	ɛ1	
噯	ɛ3	
噯	ɛ5	
嘉	tɕia1	
嘎	ka2	
嘘	ɕy1	
嘟	tu1	
囑	pfu1	
嘲	tsʰɔ2	
嘴	tɕye3	
嘹	liɔ2	
嘿	xe1	
噎	iə1	
噗	pʰu1	
噙	tɕʰiẽ2	
器	tɕʰi5	
嚎	xɔ2	
嚏	tʰi5	
囂	ɕiɔ1	
嚷	zaŋ3	
嚼	tɕyə2	
囊	naŋ2	
囔	naŋ1	
囚	tɕʰio2	
四	sɿ5	
回	xue2	
因	iẽ1	
团	tʰuæ̃2	
囤	tuẽ5	
園	yæ̃2	
困	kʰuẽ5	
囱	tɕʰyŋ1	
圍	ue2	
圇	luẽ2	
固	ku5	
國	kuə3	
圖	tʰu2	
圃	pʰu3	
圓	yæ̃2	
圈	tɕʰyæ̃1	
圈	tɕyæ̃5	
土	tʰu3	
聖	səŋ5	
在	tsɛ5	
圭	kue1	
地	ti5	
場	tsʰaŋ2	
場	tsʰaŋ3	
圾	tɕi1	
址	tsɿ3	
均	tɕyẽ1	
坊	faŋ1	
坊	faŋ2	
坍	tʰæ̃1	
坎	kʰæ̃3	
壞	xuɛ5	
坐	tɕyə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕiæ̃1	
坛	tʰæ̃2	
壩	pa5	
墳	fẽ2	
坡	pʰə1	
坤	kʰuẽ1	
坦	tʰæ̃3	
坩	kæ̃1	
坪	pʰiŋ2	
坷	kʰə3	
垂	pfʰe2	
垃	la1	
壠	luŋ3	
型	ɕiŋ2	
垒	le3	
垜	tuə5	
垠	iẽ2	
垡	fa2	
墾	kʰẽ3	
垧	saŋ3	
垮	kʰua3	
埂	kəŋ3	
埃	iɛ2	
埋	mɛ2	
城	tsʰəŋ2	
域	y1	
埠	pu2	
埠	pʰu5	
培	pʰe2	
基	tɕi1	
堂	tʰaŋ2	
堆	tɕye1	
墮	tuə5	
堡	pɔ3	
堡	pʰu5	
堤	ti1	
堪	kʰæ̃1	
堰	iæ̃5	
堵	tu3	
塌	tʰa1	
塑	ɕy5	
塔	tʰa1	
塘	tʰaŋ2	
塞	se1	
填	tʰiæ̃2	
塾	fu2	
境	tɕiŋ3	
墅	fu3	
墒	saŋ1	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsəŋ1	
墟	ɕy1	
墨	me1	
壁	pi5	
壑	xuə1	
壕	xɔ2	
壤	zaŋ3	
士	sɿ5	
壯	pfaŋ5	
聲	səŋ1	
殼	kʰə1	
壺	xu2	
壹	i1	
處	pfʰu5	
備	pi5	
复	fu1	
夏	ɕia5	
夕	ɕi1	
外	uɛ5	
多	tuə1	
夜	iə5	
够	ko5	
大	tɛ5	(~夫)
大	ta5	
天	tʰiæ̃1	
太	tʰɛ5	
夫	fu1	
夭	iɔ1	
央	iaŋ1	
夯	xaŋ1	
失	sɿ1	
頭	tʰo2	
夷	i2	
夸	kʰua1	
夾	tɕia1	
奪	tuə2	
奇	tɕʰi2	
奈	nɛ5	
奉	fəŋ5	
奮	fẽ5	
奎	kʰue2	
奏	tso5	
契	tɕʰi5	
奔	pẽ1	
奔	pẽ5	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	ɕi2	
奢	sə1	
奧	ɔ5	
女	ny3	
奴	nu2	
奶	nɛ3	
奸	tɕiæ̃1	
她	tʰa1	
好	xɔ3	
好	xɔ5	
如	vu2	
妃	fi3	
妄	uaŋ5	
妝	pfaŋ1	
婦	fu1	
媽	ma1	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
妗	tɕiẽ5	
妙	miɔ5	
妥	tʰuə3	
妨	faŋ2	
妮	ni1	
妯	pfu2	
妹	me5	
妻	tɕʰi1	
妾	tɕʰiə5	
姆	mu3	
姊	tsɿ3	
始	sɿ3	
姐	tɕiə3	
姑	ku2	
姓	ɕiŋ5	
委	ue3	
姗	sæ̃1	
姚	iɔ2	
姜	tɕiaŋ1	
姣	tɕiɔ1	
姥	lɔ3	
姨	i2	
姬	tɕi1	
姹	tsʰa5	
姻	iẽ1	
姿	tsɿ1	
威	ue1	
娃	ua2	
婁	lo2	
嬈	zɔ2	
娌	li3	
娓	ue3	
娘	niaŋ2	
娟	tɕyæ̃1	
娥	ə2	
娩	miæ̃3	
媧	ua1	
娴	ɕiæ̃2	
娶	tɕʰy3	
娼	tsʰaŋ1	
婆	pʰə2	
婉	uæ̃3	
婊	piɔ3	
婚	xuẽ1	
婪	læ̃3	
嬰	iŋ1	
嬸	sẽ3	
婷	tʰiŋ2	
婿	ɕy5	
媒	me2	
媚	me5	
媛	yæ̃2	
媳	ɕi1	
嫁	tɕia5	
嫂	sɔ3	
嫉	tɕi2	
嫌	ɕiæ̃2	
嫖	pʰiɔ2	
嫡	ti3	
嫦	tsʰaŋ2	
嫩	luẽ5	
嬴	iŋ2	
孀	faŋ1	
子	tsɿ3	
孑	tɕiə1	
孓	tɕyə1	
孔	kʰuŋ3	
孕	yẽ5	
字	tsɿ5	
存	tɕʰyẽ2	
孫	ɕyẽ1	
孚	fu2	
孜	tsɿ1	
孝	ɕiɔ5	
孟	məŋ5	
季	tɕi5	
孤	ku2	
學	ɕyə2	
孩	xɛ2	
孿	luæ̃2	
孬	nɔ1	
孵	fu2	
孺	vu3	
孽	iə1	
寧	niŋ2	
它	tʰa1	
宅	tse2	
宇	y3	
守	so3	
安	æ̃1	
宋	ɕyŋ5	
完	uæ̃2	
宏	xuŋ2	
宗	tɕyŋ1	
官	kuæ̃1	
宙	tso5	
定	tiŋ5	
宛	uæ̃3	
宜	i2	
寶	pɔ3	
實	sɿ2	
寵	pfʰəŋ3	
審	sẽ3	
客	kʰe1	
宣	ɕyæ̃1	
室	sɿ1	
宦	xuæ̃5	
宪	ɕiæ̃5	
宮	kuŋ1	
宰	tsɛ3	
害	xɛ5	
宵	ɕiɔ1	
家	tɕia1	
寬	kʰuæ̃1	
賓	piẽ1	
宿	ɕy1	
寂	tɕi1	
寄	tɕi5	
寅	iẽ2	
密	mi1	
寇	kʰo5	
富	fu5	
寐	me5	
寒	xæ̃2	
寓	y5	
寢	tɕʰiẽ2	
寞	mə1	
察	tsʰa1	
寡	kua3	
寥	liɔ3	
寨	tsɛ5	
寸	tɕʰyẽ5	
對	tue5	
寺	sɿ5	
尋	ɕiẽ2	
尋	ɕyẽ2	
導	tɔ3	
壽	so5	
封	fəŋ1	
射	sə3	
將	tɕiaŋ1	
將	tɕiaŋ5	
尉	ue5	
尊	tɕyẽ1	
小	ɕiɔ3	
少	sɔ3	
少	sɔ5	
尔	ɭɨ3	
尖	tɕiæ̃1	
塵	tsʰẽ2	
尚	saŋ5	
嘗	tsʰaŋ2	
尤	io2	
尥	liɔ5	
堯	iɔ2	
就	tɕio5	
尷	kæ̃1	
屍	sɿ1	
尹	iẽ3	
尺	tsʰɿ1	
尻	kʰɔ1	
尼	ni2	
尽	tɕiẽ3	
尽	tɕiẽ5	
尾	ue3	
尿	ɕye1	
尿	niɔ5	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	tɕiɛ5	
屋	u1	
屎	sɿ3	
屏	pʰiŋ2	
屑	ɕiə1	
展	tsæ̃3	
屙	ə1	
屬	fu2	
屠	tʰu2	
屢	lu3	
山	sæ̃1	
屹	i5	
歲	ɕye5	
豈	tɕʰi2	
岔	tsʰa5	
崗	kaŋ3	
島	tɔ3	
巖	iæ̃2	
岬	tɕia1	
嶺	liŋ3	
岳	yə1	
岷	miẽ3	
岸	æ̃5	
嶧	i1	
峽	ɕia2	
崢	tsəŋ1	
巒	luæ̃2	
峨	ə2	
峭	tɕʰiɔ5	
峰	fəŋ2	
峻	tɕyẽ5	
崇	pfʰəŋ3	
崎	tɕʰi2	
崔	tɕʰye1	
崖	iɛ2	
崩	pəŋ1	
嶄	tsæ̃3	
崮	ku5	
崽	tsɛ3	
嵋	me2	
嵌	tɕʰiæ̃5	
嶸	vəŋ2	
嶂	tsaŋ1	
嶂	tsaŋ5	
嶷	i2	
巔	tiæ̃1	
巍	ue5	
川	pfʰæ̃1	
州	tso1	
巡	ɕyẽ2	
巢	tsʰɔ2	
工	kuŋ1	
左	tɕyə3	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	kuŋ3	
巫	u1	
差	tsʰa1	
差	tsʰɛ1	
己	tɕi1	
巳	sɿ5	
巴	pa1	
巷	ɕiaŋ5	
巾	tɕiẽ1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	fɛ5	
帆	fæ̃1	
師	sɿ1	
希	ɕi1	
帖	tʰiə1	
帘	liæ̃2	
帝	ti5	
帶	tɛ5	
席	ɕi2	
幫	paŋ1	
常	tsʰaŋ2	
帽	mɔ5	
幅	fu1	
幔	mæ̃5	
幕	mu5	
幛	tsaŋ5	
幡	fæ̃1	
幢	pfaŋ5	
干	kæ̃1	
干	kæ̃5	
平	pʰiŋ2	
年	niæ̃2	
并	piŋ5	
幸	ɕiŋ5	
幺	iɔ1	
幻	xuæ̃5	
幼	io5	
幽	io1	
廣	kuaŋ3	
莊	pfaŋ1	
莊	faŋ3	
慶	tɕʰiŋ5	
庇	pʰi1	
牀	pfʰaŋ2	
序	ɕy5	
廬	lu2	
庫	kʰu5	
應	iŋ1	
應	iŋ5	
底	ti3	
店	tiæ̃5	
廟	miɔ5	
府	fu3	
龐	pʰaŋ2	
廢	fi5	
庠	ɕiaŋ2	
度	tu5	
座	tɕyə5	
庭	tʰiŋ2	
庵	æ̃1	
庶	fu5	
康	kʰaŋ1	
庸	yŋ2	
庹	tʰuə1	
廉	liæ̃2	
廓	kuə1	
廖	liɔ5	
延	iæ̃2	
廷	tʰiŋ2	
建	tɕiæ̃5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	nəŋ5	
弈	i5	
弊	pi5	
式	sɿ1	
弓	kuŋ1	
引	iẽ3	
弗	fu2	
弛	tsʰɿ2	
弟	ti5	
張	tsaŋ1	
弦	ɕiæ̃2	
弧	xu3	
彎	uæ̃1	
弱	və1	
彈	tʰæ̃2	
彈	tæ̃5	
强	tɕʰiaŋ2	
强	tɕiaŋ5	
弼	pi5	
歸	kue1	
當	taŋ1	
當	taŋ5	
录	lu1	
形	ɕiŋ2	
彤	tʰuŋ2	
彦	iæ̃5	
彩	tsʰɛ3	
彪	piɔ1	
彬	piẽ1	
彭	pʰəŋ2	
彰	tsaŋ1	
影	iŋ3	
役	i5	
徹	tsʰə1	
彼	pi3	
往	uaŋ3	
征	tsəŋ1	
徑	tɕiŋ5	
待	tɛ5	
很	xẽ3	
徊	xuɛ2	
律	lu1	
徐	ɕy2	
徒	tʰu2	
得	te1	
徘	pʰɛ2	
徙	ɕi1	
御	y5	
徨	xuaŋ2	
循	ɕyẽ2	
微	ue2	
德	te1	
徽	xue1	
心	ɕiẽ1	
必	pi1	
憶	i5	
忌	tɕi5	
忍	zẽ3	
忏	tsʰæ̃5	
忒	tʰue1	
忖	tɕʰyẽ3	
志	tsɿ5	
忘	uaŋ5	
忙	maŋ2	
忠	pfəŋ1	
憂	io1	
快	kʰuɛ5	
忱	tsʰẽ2	
念	niæ̃5	
忽	xu1	
忽	tɕʰyŋ1	
忾	kʰɛ5	
忿	fẽ5	
懷	xuɛ2	
態	tʰɛ5	
慫	ɕyŋ3	
慪	o5	
悵	tsʰaŋ5	
怎	tsʰẽ3	
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	liæ̃2	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕi1	
急	tɕi2	
怦	pʰəŋ1	
性	ɕiŋ5	
怨	yæ̃5	
怪	kuɛ5	
怯	tɕʰiə5	
總	tɕyŋ3	
恃	sɿ5	
戀	liæ̃5	
恍	xuaŋ3	
恍	kuaŋ5	
恐	kʰuŋ3	
恆	xəŋ2	
恕	fu5	
恙	iaŋ5	
恢	xue1	
恣	tsɿ5	
恤	ɕy1	
恨	xẽ5	
恩	ẽ1	
恬	tʰiæ̃2	
恭	kuŋ1	
息	ɕi1	
恰	tɕʰia2	
懇	kʰẽ3	
恶	ə1	
慟	tʰuŋ5	
惱	nɔ3	
恿	yŋ3	
悄	tɕʰiɔ1	
悉	ɕi1	
悍	xæ̃5	
悔	xue3	
悟	u5	
悠	io1	
患	xuæ̃5	
悦	yə1	
您	ne3	
懸	ɕyæ̃2	
憫	miẽ3	
悲	pe1	
悸	tɕi5	
悼	tɔ3	
情	tɕʰiŋ2	
惆	tsʰo2	
驚	tɕiŋ1	
惑	xue3	
惕	tʰi5	
惜	ɕi1	
惟	ue2	
惠	xue5	
惦	tiæ̃5	
懼	tɕy5	
慘	tsʰæ̃1	
懲	tsʰəŋ3	
憊	pi5	
慚	tsʰæ̃2	
憚	tæ̃5	
慣	kuæ̃5	
惰	tuə5	
想	ɕiaŋ3	
惶	xuaŋ2	
惹	zə3	
惺	ɕiŋ1	
愁	tsʰo2	
愈	y5	
愉	y5	
意	i5	
愕	ə2	
愚	y2	
感	kæ̃3	
憤	fẽ5	
愧	kʰue5	
願	yæ̃5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	sẽ5	
慕	mu5	
慢	mæ̃5	
慧	xue5	
慨	kʰɛ3	
慰	ue5	
慷	kʰaŋ3	
憋	piə1	
憎	tsəŋ5	
憔	tɕʰiɔ2	
憨	xæ̃1	
憬	tɕiŋ3	
憾	xæ̃5	
懂	tuŋ3	
懈	ɕiɛ5	
懊	ɔ5	
懋	mɔ5	
懶	læ̃3	
懦	nuə5	
懵	məŋ3	
戊	u5	
戍	fu5	
戎	vəŋ2	
戲	ɕi5	
成	tsʰəŋ2	
我	uə3	
戒	tɕiɛ5	
或	xue3	
戰	tsæ̃5	
戚	tɕʰi1	
戟	tɕi1	
戡	kʰæ̃1	
戥	təŋ3	
截	tɕiə2	
戮	lu3	
戳	pfʰə1	
戳	pfʰə2	
戴	tɛ5	
戶	xu5	
房	faŋ2	
所	fə3	
扁	piæ̃3	
扇	sæ̃1	
扇	sæ̃5	
扉	fi1	
手	so3	
才	tsʰɛ2	
扎	tsa1	
扒	pa1	
打	ta3	
扔	zəŋ1	
托	tʰuə1	
扛	kʰaŋ5	
扣	kʰo5	
扦	tɕʰiæ̃1	
執	tsɿ1	
擴	kʰuə1	
捫	mẽ2	
掃	sɔ3	
揚	iaŋ2	
扭	nio3	
扮	pæ̃5	
扯	tsʰə3	
擾	zɔ3	
扳	pæ̃1	
扶	fu2	
批	pʰi1	
扼	e3	
找	tsɔ3	
承	tsʰəŋ2	
技	tɕi5	
抄	tsʰɔ1	
抉	tɕyə1	
把	pa3	
抑	i1	
抒	fu1	
抓	pfa1	
投	tʰo2	
抖	to3	
抗	kʰaŋ5	
折	tsə1	
折	sə2	
撫	fu2	
抛	pʰɔ1	
摶	tʰuæ̃2	
摳	kʰo1	
掄	luẽ2	
搶	tɕʰiaŋ3	
護	xu5	
報	pɔ5	
抨	pʰəŋ1	
披	pʰi1	
