#漢字	音標	解釋
□	tɛ3	无此字,字意为多
旌	tɕin1	
族	tsʰuˀ7	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ʐʅˀ7	
旦	tã5	
舊	tɕiəɯ5	
旨	tʂʅ3	
早	tsɔ3	
旬	ɕin2	
旭	ɕiˀ7	
旱	xã5	
時	ʂʅ2	
曠	kʰuã5	
旺	uã5	
昂	ã2	
昆	kʰuən1	
昌	tʂʰã1	
明	min2	
昏	xuən1	
易	i5	
易	iˀ7	交~
昔	ɕiˀ7	
曇	tʰã2	
星	ɕin1	
映	in3	
春	tʂʰuən1	
昧	məi5	
昨	tsʰʊ2	
昭	tʂɔ1	
是	ʂʅ5	
顯	ɕiẽ3	
晃	xuã2	
晉	tɕin5	
曬	ʂɛ5	
暈	in5	
晚	uã3	
晤	u5	
晦	məi2	
晨	tʂʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tʂʅ5	
暫	tʂã5	
暑	tʂʰu3	
暖	lõ3	
暗	ã5	
暮	mʊ5	
暴	pɔ5	
曰	ieˀ7	
曲	tɕʰiˀ7	
更	kən1	
更	kən5	~加
曹	tsʰɔ2	
曼	mã5	
曾	tsən1	~祖
曾	tsʰən2	~经
替	tʰi5	
最	tsuəi5	
月	ieˀ7	
有	iəɯ3	
朋	pʰən2	
服	fuˀ7	
朔	ʂʊˀ7	
朗	lã2	
望	uã5	
朝	tʂɔ1	~夕
朝	tʂʰɔ2	一代
期	tɕʰi1	
朦	mən2	
木	muˀ7	
未	uəi5	
末	mʊˀ7	
本	pən3	
札	tʂoˀ7	
术	ʂuˀ7	
朱	tʂu1	
朶	tʊ3	
機	tɕi1	
朽	ɕiəɯ3	
雜	tsoˀ7	
權	tɕʰiẽ2	
杆	kã1	
杈	tʂʰo1	
杉	ʂã1	
李	li3	
材	tsʰɛ2	
村	tsʰən1	
杖	tʂã5	
杜	tu5	
束	suˀ7	
杠	kã5	
條	tʰiɔ2	
來	lɛ2	
楊	iã2	
杭	xã2	
杯	pəi1	
杰	tɕieˀ7	
松	soŋ1	
板	pã3	
極	tɕiˀ7	
構	kəɯ5	
枇	piˀ7	
枉	uã3	
析	ɕiˀ7	
枕	tʂən3	
林	lin2	
枚	məi2	
果	kʊ3	
枝	tʂʅ1	
樞	ʂu1	
樞	liəɯ3	
棗	tsɔ3	
槍	tɕʰiã1	
楓	fən1	
枯	kʰu1	
架	tɕio5	
枷	tɕio1	
柄	pin5	
柏	pɛˀ7	
某	məi3	
柑	kã1	
染	ʐã3	
柔	iəɯ2	
檸	lin2	
查	tʂʰo2	
查	tʂo1	山~
柩	tɕiəɯ5	
柱	tʂu5	
柳	liəɯ3	
柴	tʂʰɛ2	
柿	sɿ5	
梔	tʂʅ1	
標	piɔ1	
棟	toŋ5	
欄	lã2	
樹	ʂu5	
栖	tɕʰi1	
栗	liˀ7	
栩	ɕi3	
株	tʂu1	
樣	iã5	
核	xɛˀ7	
根	kən1	
格	kɛˀ7	
栽	tʂɛ1	
欒	lõ2	
桃	tʰɔ2	
桅	uəi2	
框	kʰuã1	
案	ã5	
桌	tʂʊˀ7	
桑	sã1	
桔	tɕiˀ7	
桕	tɕiəɯ5	
槳	tɕiã3	
樁	tʂuã1	
桶	tʰoŋ3	
梁	liã2	
梅	məi2	
梆	pã1	
梗	kən3	
梢	ʂɔ1	
夢	mən5	
梧	u2	
梨	li2	
梭	sʊ1	
梯	tʰi1	
梳	sʊ1	
檢	tɕiẽ3	
欞	lin2	
棉	miẽ2	
棋	tɕʰi2	
棍	kuən5	
棒	pã5	
棕	tsoŋ1	
棘	tɕiˀ7	
棚	pʰən2	
棠	tʰã2	
森	sən1	
棱	lin2	
棵	kʰʊ1	
棺	kõ1	
椅	i3	
椎	tʂuəi1	
椒	tɕiɔ1	
橢	tʰʊ3	
椰	io1	
椽	tʂʰõ2	
椿	tʂʰuən1	
楚	tsʰu3	
楠	lã2	
楦	ɕiẽ5	
楷	kʰɛ3	
樓	ləɯ2	
概	kɛ5	
榆	i2	
榔	lã2	
榛	tʂən1	
榧	fəi1	
榨	tʂo5	
榫	sən3	
榴	liəɯ2	
榻	tʰoˀ7	
槌	tʂʰuəi2	
槐	xuɛ2	
檻	kʰã3	
檳	pin1	
槽	tsʰɔ2	
樊	fã2	
樟	tʂã1	
橫	xuən2	
櫻	in1	
樵	tɕʰiɔ2	
橄	kã3	
橙	tʂʰən2	
橡	ɕiã5	
櫥	tʂʰu2	
檐	iẽ2	
檁	lin3	
檬	mən2	
欠	tɕʰiẽ5	
次	tsʰɿ5	
歡	xõ1	
欣	ɕin1	
歐	əɯ1	
欺	tɕʰi1	
款	kʰõ3	
歉	tɕʰiẽ5	
歌	kʊ1	
止	tʂʅ3	
正	tʂən5	
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殲	tsʰiẽ1	
殃	iã1	
殉	ɕin5	
殊	tʂʰu2	
殘	tsʰã2	
殖	tʂʅˀ7	
殯	pin1	
段	tõ5	
殷	in1	
殿	tiẽ5	
毋	u2	
母	mu3	
每	məi3	
毒	tuˀ7	
比	pi3	
斃	pi5	
毛	mɔ2	
毡	tʂã1	
毫	xɔ2	
毯	tʰã3	
毽	tɕiẽ5	
氏	ʂʅ5	
民	min2	
氓	mã2	
气	tɕʰi5	
氫	tɕʰin1	
氧	iã3	
氨	ã1	
氮	tã5	
水	ʂuəi3	
永	ioŋ3	
汁	tʂʅˀ7	
求	tɕʰiəɯ2	
汆	tʂʰõ1	
漢	xã5	
汊	tʂʰo5	
汗	xã5	
汛	ɕin5	
汞	koŋ3	
江	tɕiã1	
池	tʂʰʅ2	
污	u1	
湯	tʰã1	
汪	uã1	
汰	tʰɛ5	
汴	piẽ5	
汽	tɕʰi5	
沈	ʂən3	
沉	tʂʰən2	
沐	muˀ7	
沓	tʰoˀ7	
沙	ʂo1	
沛	pʰəi5	
溝	kəɯ1	
漚	əɯ5	~麻
漚	əɯ1	浮~
瀝	li5	
滄	tsʰã1	
滬	xu5	
沫	mʊˀ7	
河	xʊ2	
油	iəɯ2	
治	tʂʅ5	
治	tsʰɿ2	~鱼
沾	tʂã5	
沿	iẽ2	
泄	sie5	
泅	tɕʰiəɯ2	
泉	tɕʰiẽ2	
泊	pʰɛˀ7	
泓	xoŋ2	
法	foˀ7	
泗	sɿ5	
泛	fã5	
泡	pʰɔ5	
泡	pʰɔ1	水~
波	pʊ1	
泣	tɕʰiˀ7	
泥	li2	
注	tʂu5	
淚	luəi5	
泰	tʰɛ5	
泳	ioŋ3	
泵	pã5	
瀉	sie5	
潑	pʰʊˀ7	
澤	tsɛˀ7	
涇	tɕin1	
洋	iã2	
洒	so3	
洗	ɕi3	
洛	lʊˀ7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tʂəɯ1	
洵	ɕin2	
活	xʊˀ7	
洽	tɕʰioˀ7	
派	pʰɛ5	
流	liəɯ2	
淺	tsʰiẽ3	
漿	tɕiã1	
澆	ɕiɔ1	薄
濁	tʂuˀ7	
濟	tɕi5	
瀏	liəɯ2	
渾	xuən2	
滸	xu3	
濃	loŋ2	
浙	tʂɛˀ7	
浚	tɕin5	
浜	pã1	
浦	pʰu3	
浩	xɔ5	
浮	fu2	
海	xɛ3	
浸	tɕin5	
涂	tʰu2	
涅	lieˀ7	
消	ɕiɔ1	
涕	tʰi5	
濤	tʰɔ2	
澇	lɔ2	
滌	tiˀ7	
潤	ʐuən5	
澗	tɕiẽ1	
漲	tʂã3	
澀	sɛˀ7	
涯	ie2	
液	iˀ7	
涵	xã2	
淋	lin2	
淌	tʰã3	
淘	tʰɔ2	
淞	soŋ1	
淡	tã5	
淤	i1	
淫	in2	
淮	xuɛ2	
深	ʂən1	
淳	ʂuən2	
混	xuən2	
混	xuən5	~日子
淹	iẽ1	
添	tʰiẽ1	
清	tɕʰin1	
淵	iẽ1	
漸	tsiẽ5	
漁	i2	
渚	tʂu3	
渠	tɕʰi2	
渡	tu5	
渣	tʂo1	
渤	pʰʊˀ7	
溫	uən1	
渭	uəi5	
港	kã3	
游	iəɯ2	
渺	miɔ3	
湖	xu2	
湘	ɕiã1	
湫	tɕʰiəɯ1	
灣	uã1	
溼	ʂʅˀ7	
濺	tsiẽ5	
溉	kɛ5	
源	iẽ2	
溜	liəɯ1	
溢	iˀ7	
溧	liˀ7	
溪	ɕi1	
溺	liˀ7	
滂	pʰã2	
滇	tʰiẽ2	
滋	tsɿ1	
滑	xuoˀ7	
滔	tʰɔ5	
滕	tʰən2	
潷	piˀ7	
滚	kuən3	
滯	tʂʅ5	
濾	li5	
灤	lõ2	
灘	tʰã1	
滴	tiˀ7	
漂	pʰiɔ1	~流
漂	pʰiɔ5	~白
漆	tɕʰiˀ7	
漏	ləɯ5	
演	iẽ3	
漕	tsʰɔ2	
漠	mʊˀ7	
漫	mõ2	
漳	tʂã1	
漾	iã5	
潘	pʰã1	
潛	tsʰiẽ3	
潭	tʰã2	
潼	tʰoŋ2	
澄	tʂʰən2	
澎	pʰən2	
瀾	lã2	
澡	tsɔ3	
澳	ɔ5	
澹	tã5	
激	tɕiˀ7	
濮	pʰuˀ7	
瀑	pʰʊˀ7	
灌	kuã5	
火	xʊ3	
滅	mieˀ7	
燈	tən1	
靈	lin2	
竈	tsɔ5	
灸	tɕiəɯ1	
災	tsɛ1	
燦	tʂʰã3	
爐	lu2	
炊	tsʰuəi1	
炎	iẽ2	
炒	tʂʰɔ3	
炕	kʰã5	
炫	ɕiẽ2	
炭	tʰã5	
炮	pʰɔ5	
炸	tʂoˀ7	
點	tiẽ3	
煉	liẽ5	
爍	ʂʊˀ7	
爛	lã5	
烈	lieˀ7	
烊	iã5	
烘	xoŋ1	
烙	lʊˀ7	
燭	tʂuˀ7	
烟	iẽ1	
烤	kʰɔ3	
煩	fã2	
燒	sɔ1	
燙	tʰã5	
燼	tɕin5	
烹	pʰən1	
烽	fən1	
焊	xã5	
煥	xõ5	
燜	mən5	
焙	u5	
焚	fən2	
焦	tɕiɔ1	
焰	iẽ5	
然	ʐã2	
煅	tõ5	
煌	xuã2	
煎	tsiẽ1	
煤	məi2	
照	tʂɔ5	
煨	uəi1	
煮	tʂu3	
熄	ɕiˀ7	
熊	ɕioŋ2	
熏	ɕin1	
熙	ɕi1	
熟	ʂuˀ7	
熬	ɔ2	
熹	ɕi1	
燃	ʐã2	
燕	iẽ5	
燥	tʂʰɔ5	
爆	pɔ5	
爪	tʂuo3	
爬	pʰo2	
愛	ɛ5	
爵	tʂʊˀ7	
父	fu5	
爺	ie2	
爸	po5	
爽	ʂuã3	
片	pʰiẽ5	
版	pã3	
牌	pʰɛ2	
牒	tʰieˀ7	
牙	io2	
牛	liəɯ2	
牝	pʰin3	
牡	mu3	
牢	lɔ2	
牲	sən1	
牽	tɕʰiẽ1	
特	tʰɛˀ7	
犧	ɕi1	
犁	li2	
犬	tɕʰiẽ3	
犯	fã5	
狀	tʂuã5	
猶	iəɯ2	
狂	kʰuã2	
狄	tiˀ7	
狐	xu2	
狗	kəɯ3	
狠	xən3	
狹	ɕioˀ7	
獅	sɿ1	
猻	sən1	
狸	li2	
狼	lã2	
獵	lieˀ7	
猖	tʂʰã1	
猛	mən3	
猜	tsʰɛ1	
猝	tsʰuˀ7	
猩	ɕin1	
豬	tʂu1	
猫	mɔ2	
獻	ɕiẽ5	
猴	xəɯ2	
猾	xuoˀ7	
猿	iẽ2	
獐	tʂã1	
獺	tʰoˀ7	
玄	ɕiẽ2	
率	liˀ7	效~
玉	i5	
王	uã2	
玖	tɕiəɯ3	
瑪	mo3	
玩	uã2	
玫	məi2	
環	xuã2	
現	ɕiẽ5	
璽	ɕi3	
玻	pʊ1	
珂	kʰʊ1	
珊	ʂã1	
珍	tʂən1	
珠	tʂu1	
班	pã1	
璫	tã1	
球	tɕʰiəɯ2	
理	li3	
琉	liəɯ2	
瑣	sʊ3	
琥	xu3	
琨	kʰuən1	
琪	tɕʰi2	
琳	lin2	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰo2	
瑕	ɕio2	
瑞	ʐuəi5	
瑟	sɛˀ7	
瑶	iɔ2	
璃	li2	
瓜	kuo1	
瓠	xu5	
瓢	pʰiɔ2	
瓣	pã5	
瓤	ʐã2	
瓦	uo3	
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kã1	
甚	ʂən5	
甜	tʰiẽ2	
生	sən1	
甥	sən1	
用	ioŋ5	
甫	pʰu3	
田	tʰiẽ2	
由	iəɯ2	
甲	tɕioˀ7	
申	ʂən1	
電	tiẽ5	
男	lã2	
甸	tiẽ5	
畫	xuo5	
暢	tʂʰã5	
界	tɕie5	
畏	uəi5	
畔	põ5	
留	liəɯ2	
畜	ɕiˀ7	
畜	tsʰuˀ7	~牲
略	lʊˀ7	
番	fã1	
疆	tɕiã1	
疑	i2	
療	tin1	
療	liɔ2	
疚	tɕiəɯ5	
瘧	lʊˀ7	
疤	po1	
瘡	tʂʰuã1	
瘋	fən1	
疲	pʰi2	
疵	tsʰɿ1	
疸	tã3	
疹	tʂən3	
疼	tʰən2	
疽	tɕi1	
病	pin5	
症	tʂən5	
痙	tɕin5	
痊	tɕʰiẽ2	
痒	iã3	
痔	tʂʅ5	
痕	xən2	
痘	təɯ5	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痣	tʂʅ5	
瘓	xəɯ2	
痰	tʰã2	
痱	fəi5	
癡	tʂʰʅ1	
瘁	tsʰuəi5	
瘻	ləɯ5	
瘟	uən1	
瘤	liəɯ2	
瘦	səɯ5	
瘩	toˀ7	
癟	pieˀ7	
癱	tʰã1	
瘴	tʂã5	
瘸	tɕʰie2	
癮	in3	
癌	ɛ2	
癖	pʰiˀ7	
癩	lɛ5	
癬	siẽ3	
癲	tiẽ1	
登	tən1	
白	pɛˀ7	
百	pɛˀ7	
皂	tsɔ5	
的	tiˀ7	
皆	tɕie1	
皇	xuã2	
皖	õ3	
皮	pʰi2	
皺	tsəɯ5	
皴	tsʰən1	
皿	min3	
盂	i2	
盅	tʂoŋ1	
盆	pʰən2	
盈	in2	
益	iˀ7	
鹽	iẽ2	
監	tɕiẽ1	
盒	xʊˀ7	
盖	kɛ5	
盜	tɔ5	
盛	ʂən5	
盛	tʂʰən2	~饭
目	muˀ7	
盯	tin1	
盱	ɕi1	
盲	mã2	
直	tʂʅˀ7	
相	ɕiã1	
相	ɕiã5	~貌
盹	tʂən1	
盹	tən3	
盼	pʰã5	
省	sən3	
眈	tã1	
眉	məi2	
看	kʰã5	
看	kʰã1	~守
眙	i2	
真	tʂən1	
眠	miẽ2	
眨	tʂoˀ7	
眩	ɕiẽ2	
眯	mi1	
眷	tɕiẽ5	
眼	iẽ3	
着	tʂʊˀ7	
睜	tsən1	
睛	tɕin1	
睡	ʂuəi5	
督	tuˀ7	
睦	muˀ7	
睫	tɕieˀ7	
睬	tsʰɛ3	
睹	tu3	
瞄	miɔ1	
瞌	kʰʊˀ7	
瞎	ɕioˀ7	
瞑	min3	
瞥	pʰieˀ7	
瞧	tɕʰiɔ2	
瞬	ʂuən5	
瞭	liɔ3	
瞳	tʰoŋ2	
瞿	tɕʰi2	
矛	mɔ2	~盾
矜	tɕin1	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tɕi1	
短	tõ3	
矮	ɛ3	
石	ʂʅˀ7	
磯	tɕi1	
礬	fã2	
礦	kʰuã5	
碼	mo3	
砂	ʂo1	
砌	tɕʰi5	
砍	kʰã3	
砒	pʰi1	
研	iẽ2	
磚	tʂõ1	
砧	tʂən1	
破	pʰʊ5	
砸	tsoˀ7	
碩	ʂʊˀ7	
硝	ɕiɔ1	
硫	liəɯ2	
硬	ən5	
確	tɕʰiʊˀ7	
碉	tiɔ1	
碌	luˀ7	
礙	ɛ5	
碎	suəi5	
碑	pəi1	
碗	õ3	
碘	tiẽ3	
碟	tieˀ7	
碧	piˀ7	
碰	pʰən5	
鹼	tɕiẽ3	
碾	liẽ3	
磁	tsʰɿ2	
磊	luəi3	
磕	kʰʊˀ7	
磨	mʊ2	
磨	mʊ5	石~
磷	lin2	
磺	xuã2	
禮	li3	
社	ʂe5	
祀	sɿ5	
祁	tɕʰi2	
祐	iəɯ5	
祖	tsu3	
祝	tʂuˀ7	
神	ʂən2	
祟	suəi5	
祠	tsʰɿ2	
祥	tɕʰiã2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xʊ5	
稟	pin3	
禁	tɕin5	
禁	tɕin1	~不住
祿	luˀ7	
福	fuˀ7	
禹	i5	
禺	i2	
离	li2	
禽	tɕʰin2	
禾	xʊ2	
秀	ɕiəɯ5	
私	sɿ1	
秃	tʰuˀ7	
稈	kã3	
秉	pin3	
秋	tɕʰiəɯ1	
秋	tsʰiẽ1	
種	tʂoŋ5	
種	tʂoŋ3	~类
科	kʰʊ1	
秒	miɔ3	
秕	pi3	
秘	pi5	
租	tsu1	
秦	tɕʰin2	
秧	iã1	
積	tɕiˀ7	
稱	tʂʰən1	~呼
秸	tɕie1	
移	i2	
稀	ɕi1	
程	tʂʰən2	
稍	ʂɔ1	
税	ʂuəi5	
稗	pɛ5	
稚	tʂʅ5	
稞	kʰʊ1	
稠	tʂʰəɯ2	
穩	uən2	
稻	tɔ5	
稼	tɕio1	
稽	tɕi1	
稿	kɔ3	
穆	muˀ7	
穡	sɛˀ7	
穗	suəi5	
究	tɕiəɯ5	
空	kʰoŋ1	
空	kʰoŋ5	~闲
穿	tʂʰõ1	
突	tʰuˀ7	
竊	tɕʰieˀ7	
窄	tsɛˀ7	
窈	iɔ2	
窯	iɔ2	
窒	tʂʅˀ7	
窖	kɔ5	
窗	tʂʰuã1	
窘	tʂoŋ3	
竄	tʂʰõ5	
窩	ʊ1	
窟	kʰuˀ7	
立	liˀ7	
豎	ʂu5	
站	tʂã5	
競	tɕin5	
竟	tɕin5	
章	tʂã1	
竣	tɕin5	
童	tʰoŋ2	
竭	tɕieˀ7	
端	tõ1	
竹	tʂuˀ7	
篤	tuˀ7	
笋	sən3	
笏	xuˀ7	~板,即烧饼
笑	ɕiɔ5	
筆	piˀ7	
笛	tiˀ7	
笠	liˀ7	
符	fu2	
笨	pən5	
第	ti5	
箋	tsʰiẽ1	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筏	foˀ7	
筐	kʰuã1	
筑	tʂuˀ7	
筒	tʰoŋ2	
答	toˀ7	
策	tsʰɛˀ7	
篩	ʂɛ1	
箏	tsən1	
筷	kʰuɛ5	
籌	tʂʰəɯ2	
簡	tɕiẽ3	
箍	ku1	
箔	pʊˀ7	
箕	tɕi1	
算	sõ5	
管	kõ3	
籮	lʊ2	
簞	tã1	
簫	ɕiɔ1	
箭	tsiẽ5	
箱	ɕiã1	
篇	pʰiẽ1	
簍	ləɯ3	
篙	kɔ1	
篦	pi5	
籃	lã2	
籬	li2	
篷	pʰən2	
篾	mieˀ7	
簇	tʂʰuˀ7	
簧	xuã2	
簸	pʊ1	
簿	pu5	
簿	pʊˀ7	
籍	tɕiˀ7	
米	mi3	
類	luəi5	
籽	tsɿ3	
粉	fən3	
粑	po1	
粒	liˀ7	
粗	tsʰu1	
粘	tʂã1	
粘	liẽ3	
糶	tʰiɔ5	
粟	suˀ7	
粤	ieˀ7	
粥	tʂuˀ7	
糞	fən5	
糧	liã2	
粱	liã2	
粹	tsʰuəi5	
糉	tsoŋ5	
精	tɕin1	
糊	xu2	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰã2	
糙	tʂʰɔ5	
糜	mi2	
糟	tsɔ1	
糠	kʰã1	
系	ɕi5	
系	tɕi5	~鞋带
紊	uən5	
索	sʊˀ7	
緊	tɕin3	
紫	tsɿ3	
累	luəi3	
累	luəi5	劳~
絮	ɕi5	
繁	fã2	
纂	tsʰõ5	
糾	tɕiəɯ1	
紅	xoŋ2	
紂	tʂəɯ5	
纤	tsʰiẽ1	
約	iʊˀ7	
級	tɕiˀ7	
紀	tɕi5	
紉	ʐən5	
純	ʂuən2	
紕	pʰi1	
紗	ʂo1	
綱	kã1	
納	loˀ7	
縱	tsoŋ5	
綸	lən2	
紛	fən1	
紙	tʂʅ3	
紋	uən2	
紡	fã3	
紐	liəɯ3	
線	siẽ5	
練	liẽ5	
組	tsu3	
紳	ʂən1	
細	ɕi5	
織	tʂʅˀ7	
終	tʂoŋ1	
縐	tsəɯ5	
絆	pʰã1	
經	tɕin1	
綁	pã3	
絨	ioŋ2	
結	tɕieˀ7	
繞	ʐɔ5	
給	kəi3	
給	tɕiˀ7	供~
絡	lʊˀ7	
絶	tɕieˀ7	
統	tʰoŋ3	
繡	ɕiəɯ5	
繼	tɕi5	
績	tɕiˀ7	
緒	ɕi5	
續	suˀ7	
綽	tʂʰʊˀ7	
繩	ʂən2	
維	uəi2	
綿	miẽ2	
繃	pən1	
綢	tʂʰəɯ2	
綜	tsoŋ5	
綠	luˀ7	
緘	tɕiẽ1	
緬	miẽ3	
纜	lã3	
緝	tɕʰiˀ7	
緞	tõ5	
緩	xõ3	
締	ti5	
縷	li3	
編	piẽ1	
緣	iẽ2	
縫	fən2	动词
縫	fən5	名词
纏	tʂʰã2	
繽	pin1	
纓	in1	
縮	sʊˀ7	
繆	miɔ5	
繮	tɕiã1	
繰	tɕʰiɔ1	
缸	kã1	
缺	tɕʰieˀ7	
罐	kuã5	
网	uã3	
罕	xã5	
羅	lʊ2	
羅	lʊ1	~唆
罰	foˀ7	
罡	kã1	
罷	po5	
罩	tʂɔ5	
罪	tsuəi5	
置	tʂʅ5	
署	ʂu5	
羊	iã2	
羌	tɕʰiã1	
美	məi3	
羔	kɔ1	
羞	ɕiəɯ1	
羡	siẽ5	
群	tɕʰin2	
羹	kən1	
翁	oŋ1	
翔	tɕʰiã2	
翠	tsʰuəi5	
翡	fəi1	
翦	tsiẽ3	
翩	pʰiẽ1	
翻	fã1	
翼	i5	
老	lɔ3	
考	kʰɔ3	
者	tʂe3	
耍	ʂo3	
耐	lɛ5	
耕	kən1	
耗	xɔ5	
耙	pʰo2	
耳	ɚ3	
耻	tʂʰʅ3	
耽	tã1	
耿	kən3	
聶	lieˀ7	
聆	lin2	
聊	liɔ2	
聾	loŋ2	
職	tʂʅˀ7	
聯	liẽ3	
聚	tɕi5	
聰	tsʰoŋ1	
肅	suˀ7	
肆	sɿ5	
肉	ʐəɯ5	
肌	tɕi1	
肏	ʐʅˀ7	
肓	xuã1	
肖	ɕiɔ1	
肘	tʂəɯ3	
肚	tu5	
肚	tu3	动物胃
肛	kã1	
肝	kã1	
腸	tʂʰã2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fəi2	
肩	tɕiẽ1	
骯	ã1	
肯	kʰən3	
肴	iɔ2	
肺	fəi5	
腎	ʂən5	
腫	tʂoŋ3	
脹	tʂã5	
胃	uəi5	
膽	tã3	
背	pəi5	
胎	tʰɛ1	
胖	pʰã5	
胚	pʰəi1	
胚	kʰəɯ1	
勝	ʂən5	
胞	pɔ1	
胡	xu2	
胥	ɕi1	
胭	iẽ1	
胯	kʰuo5	
胱	kuã1	
能	lən2	
脂	tʂʅ1	
脆	tsʰuəi5	
脉	mɛˀ7	
脊	tɕiˀ7	
脏	tsã1	
脏	tsã5	内~
臍	tɕʰi2	
腦	lɔ3	
膿	loŋ2	
脖	pʊˀ7	
脚	tɕiʊˀ7	
脯	pʰu3	
脱	tʰʊˀ7	
腡	lʊ2	
臉	liẽ3	
脾	pʰi2	
臘	loˀ7	
腋	iˀ7	
腐	fu3	
腑	fu3	
腔	tɕʰiã1	
腕	õ3	
腥	ɕin1	
腮	sɛ1	
腰	iɔ1	
腹	fuˀ7	
膩	li5	
騰	tʰən2	
腿	tʰuəi3	
膀	pʰã3	
膏	kɔ1	
膘	pʰɔ1	
膘	piɔ1	
膛	tʰã2	
膝	tɕʰiˀ7	
膻	ʂã1	
臀	tʰən2	
臂	pəi5	
臊	ʂɔ5	
臣	tʂʰən2	
自	tsɿ5	
臭	tʂʰəɯ5	
至	tʂʅ3	
致	tʂʅ5	
臻	tʂən1	
臼	tɕiəɯ5	
舀	iɔ3	
舂	tʂʰoŋ1	
舅	tɕiəɯ5	
舌	ʂɛˀ7	
舍	ʂe3	
舍	ʂe5	
舒	ʂu1	
舔	tʰiẽ3	
舜	ʂuən5	
舞	u3	
舟	tʂəɯ1	
舢	ʂã1	
舫	fã3	
般	pã1	
艦	tɕiẽ5	
艙	tsʰã1	
舵	tʊ5	
舶	pʰɛˀ7	
舷	ɕiẽ2	
船	tʂʰõ2	
艇	tʰin3	
艘	səɯ3	
良	liã2	
艱	tɕiẽ1	
色	sɛˀ7	
豔	iẽ5	
藝	i5	
艾	ɛ5	
芋	i5	
芒	mã2	
芙	fu2	
芝	tʂʅ1	
芡	tɕʰiẽ5	
蘆	lu2	
芬	fən1	
芭	po1	
花	xuo1	
芳	fã1	
芹	tɕʰin2	
芽	io2	
莧	ɕiẽ5	
蒼	tsʰã1	
苏	su1	
苔	tʰɛ1	
苗	miɔ1	
苟	kəɯ3	
若	iʊˀ7	
苦	kʰu2	
英	in1	
蘋	pʰin2	
范	fã5	
茄	tɕʰie2	
茅	mɔ2	
茉	mʊˀ7	
莖	tɕin1	
蘢	loŋ2	
茗	min2	
繭	tɕiẽ3	
茫	mã2	
茶	tʂʰo2	
茸	ioŋ2	
荀	ɕin2	
荆	tɕin1	
草	tsʰɔ3	
薦	tsiẽ5	
荒	xuã1	
薺	tɕi5	
薺	tɕʰi2	荸~
蕩	tã5	
榮	ioŋ2	
葷	xuən1	
蔭	in1	
藥	iʊˀ7	
荷	xʊ2	
荸	pʰuˀ7	
莫	mʊˀ7	
萊	lɛ2	
蓮	liẽ3	
获	xuˀ7	
瑩	in2	
鶯	in1	
莽	mã3	
菁	tɕin1	
菅	tɕiẽ1	
菊	tɕiˀ7	
菌	tɕin5	
菜	tsʰɛ5	
菠	pʊ1	
菩	pʰu2	
菲	fəi1	
萃	tsʰuəi5	
萌	mən2	
萍	pʰin2	
萎	uəi3	
螢	in2	
營	in2	
蕭	ɕiɔ1	
落	lʊˀ7	
著	tʂu5	
葡	pʰu2	
董	toŋ3	
葫	xu2	
葬	tsã5	
葱	tsʰoŋ1	
蒂	ti5	
蔣	tɕiã3	
蒙	mən2	
蒲	pʰu2	
蒸	tʂən1	
蓄	ɕiˀ7	
蓄	ɕieˀ7	
蓉	ioŋ2	
藍	lã2	
蓬	pʰən2	
蔑	mieˀ7	
蔓	mã5	
蔡	tsʰɛ5	
蔫	iẽ1	
薔	tɕʰiã2	
藺	lin5	
蔽	pi5	
蕉	tɕiɔ1	
蕊	ʐuəi3	
蘊	in5	
蕾	luəi3	
薛	ɕieˀ7	
薪	ɕin1	
薯	ʂu5	
薰	ɕin1	
藏	tsʰã2	
藏	tsã5	西~
藐	miɔ3	
藕	əɯ3	
藤	tʰən2	
藩	fã1	
藻	tsɔ3	
蘋	pʰin2	
蘸	tsã5	
虎	xu3	
虜	lʊ3	
虐	lʊˀ7	
慮	li5	
虔	tɕʰiẽ2	
虚	ɕi1	
蟲	tʂʰoŋ2	
虱	sɛˀ7	
虹	kã5	
雖	suəi1	
蝦	ɕio1	
蝕	ʂʅˀ7	
蟻	i3	
螞	mo3	
蚊	uən2	
蠶	tsʰã2	
蚣	koŋ1	
蚯	tɕʰiəɯ1	
蚰	iəɯ2	
蛀	tʂu5	
蛆	tɕʰi1	
蛇	ʂe2	
蛋	tã5	
蛐	tɕʰiˀ7	
蛙	uo1	
蛛	tʂu1	
蠻	mã2	
螄	sɿ1	
蛾	ʊ2	
蜂	fən1	
蜈	u2	
蜒	iẽ2	
蜘	tʂʅ1	
蜜	miˀ7	
