#漢字	音標	解釋
㕶	ʔŋ̍5	兒語屎
佐	tsaʊ3	
佔	tɕiɪ5	
何	ɦaʊ2	
佘	zo2	姓
余	ʑi2	姓
余	ɦy2	我
佛	vaʔ8	
作	tʃoʔ7	
佞	ȵiŋ6	
你	ʔȵi5	文讀
你	ŋ̍6	白讀
佩	bᴇɪ6	
佬	lɔ6	
佳	tɕia1	
併	piŋ3	合併
使	sɿ3	
侄	dʑieʔ8	
來	lᴇ2	
侈	tʃʰʯ1	
例	li6	
侍	zɿ6	
侏	tʃʯ1	
侖	ləŋ2	
供	koŋ5	
依	i1	
侮	vu6	
侯	ɦᴇɪ2	
侵	tɕʰiŋ1	
侶	li6	
便	biɪ2	便宜
便	biɪ6	便當
促	tʃʰoʔ7	
俄	ŋaʊ2	
俊	tʃøŋ1	
俏	tɕʰio1	
俐	li2	
俗	dʒoʔ8	
俘	fu1	
俚	li6	
保	pɔ3	
俟	zɿ6	
信	ɕiŋ5	
修	ɕiu1	
俯	fu3	
俱	dʑy6	
俸	foŋ5	
俾	bi2	
倉	tʃʰɔ̃1	
個	kaʊ1	幾個
個	kaʊ5	個子頭
倌	kuø3	
倍	bᴇɪ6	
們	məŋ2	
倒	tɔ3	倒塌
倒	tɔ5	倒立
倔	dʑyeʔ8	
倘	tʰɔ̃3	
候	ɦᴇɪ6	
倚	i3	
借	tɕia5	
倡	tʃʰɔ̃5	
倦	dʑyø6	
倪	ȵi2	姓
倫	ləŋ2	
倭	aʊ1	
值	dʑieʔ8	
假	ko3	真假
假	ko5	放假
偉	ɦuᴇɪ6	
偏	pʰiɪ1	
做	tsaʊ1	
停	dəŋ2	白讀
停	diŋ6	
健	dʑiɪ6	
側	tsʰaʔ7	
偵	tɕiŋ1	
偶	ŋᴇɪ6	
偷	tʰᴇɪ1	
僞	ɦuᴇɪ6	
傀	kʰuᴇɪ1	
傅	fu5	
傍	bɔ̃2	
傑	dʑieʔ8	
傘	sɛ1	
備	bᴇɪ6	
催	tsʰᴇɪ1	
傭	ɦyoŋ6	
傲	ŋɔ2	
傳	dʒø2	傳布
傳	dʒø6	傳念
債	tsa5	
傷	ʃɔ̃1	
傾	tɕʰiŋ1	
僅	dʑiŋ2	
像	ʑiã6	
僑	dʑio2	
僕	boʔ8	僕人
僚	lio2	
僞	ɦuᴇɪ6	
僥	io5	
僧	səŋ1	
僱	ku5	
僵	tɕiã1	
價	ko5	
僻	pʰieʔ7	
儀	ȵi6	
億	ieʔ7	
儆	dʑiŋ2	
儈	kuᴇɪ5	
儉	dʑiɪ6	
儒	ʒʯ2	
償	dʒɔ̃2	
儡	lᴇɪ2	
優	iu1	
儲	ʒʯ6	
儼	ȵiɪ2	
兀	ɦuaʔ8	
允	ɦyoŋ6	
元	ȵyø2	
兄	ɕyoŋ1	
充	tʃʰoŋ1	
兆	ʑio6	
兇	ɕyoŋ1	
先	ɕiɪ1	
光	kuã1	光火
光	kuɔ̃1	辰光
克	kʰaʔ7	
兌	dᴇɪ6	
免	miɪ6	
兌	dᴇɪ6	
兒	l̩2	文讀
兒	ŋ̍2	白讀
兔	tʰu5	
兜	tɛ1	兒化變讀 飯兜
兜	tᴇɪ1	
入	ʒøʔ8	
內	nᴇɪ6	
全	dʒø2	
兩	liã2	斤兩
兩	liã6	兩個
八	paʔ7	
公	koŋ1	
六	loŋ2	兒化變讀 十五六
六	loʔ8	
兮	ɦi2	
共	ɡoŋ3	
兵	piŋ1	
其	dʑi2	
具	dʑy6	
典	tiɪ3	
兼	tɕiɪ1	
冀	tɕi5	
冊	tsʰaʔ7	
再	tsᴇ5	
冒	mɔ6	
冠	kuø5	
冢	tʃoŋ1	
冤	yø1	
冥	miŋ6	
冪	mieʔ8	
冬	toŋ1	
冰	piŋ1	
冷	lã6	
凋	tio5	
凌	liŋ2	
凍	toŋ5	
凜	liŋ2	
凝	ȵiŋ2	
凡	vɛ6	
凱	kʰᴇ1	
凳	təŋ5	
凸	daʔ8	
凹	ɔ5	
出	tʃʰøʔ7	
函	ɦᴇɪ2	
刀	tɔ1	
刁	tio1	
刃	ȵiŋ6	白讀
刃	ʒøŋ6	文讀
分	fəŋ1	分別
分	vəŋ2	安分
切	tɕʰieʔ7	
刊	kʰɛ1	
刎	vəŋ2	
刑	ɦiŋ2	
划	uo1	划船
列	lieʔ8	
初	tsʰu1	
判	pʰø5	
別	bieʔ8	
刨	bɔ6	
利	li6	
刪	sɛ1	
刮	kuaʔ7	
刮	ɡuaʔ8	刮翼梢
到	tɔ5	
制	tʃʯ5	
刷	ʃøʔ7	
券	tɕʰyø5	
刺	tsʰɿ5	
刻	kʰaʔ7	
剁	to5	
剃	tʰi5	
則	tsaʔ7	
削	ɕieʔ7	
前	ʑiɪ2	
剎	saʔ7	
剔	tʰieʔ7	
剖	pʰaʊ1	
剛	kɔ̃1	
剝	poʔ7	
剩	dʑiŋ3	
剪	tɕiɪ3	
剮	kuo3	
副	fu5	
割	kaʔ7	
創	tʃʰɔ̃1	創傷
創	tʃʰɔ̃5	開創
剽	bio2	
劃	ɦuaʔ8	計劃
劇	dʑieʔ8	
劈	pʰieʔ7	
劉	liu2	
劊	kuᴇɪ5	
劍	tɕiɪ5	
劑	tɕi5	
力	lieʔ8	
功	koŋ1	
加	ko1	
劣	laʔ8	
劣	lieʔ8	
助	dzu6	
努	nu6	
劫	tɕieʔ7	
勁	tɕiŋ5	勁敵
勁	dʑiŋ3	勁道
勃	baʔ8	
勇	yoŋ3	
勉	miɪ6	
勒	laʔ8	
動	doŋ6	
勘	kʰɛ1	
務	vu6	
勝	ɕiŋ5	
勞	lɔ2	
募	maʊ6	
勢	ʃʯ5	
勤	dʑiŋ2	
勳	ɕyŋ1	
勳	ɕyoŋ1	yn韻字又讀yon韻
勵	li2	
勸	tɕʰyø5	
勺	ʒoʔ8	
勻	ɦyŋ2	
勻	ɦyoŋ2	yn韻字又讀yon韻
勾	kᴇɪ1	
勿	faʔ7	
包	pɔ1	
匆	tʃʰoŋ1	
匈	ɕyoŋ1	
匍	bu2	
匐	boʔ8	
化	huo5	
北	poʔ7	
匙	zɿ2	
匠	ʑiã6	
匡	kʰuɔ̃1	
匣	ɦaʔ8	
匪	fi1	
匯	ɦuᴇɪ6	
匹	pʰieʔ7	
匾	piɪ3	
匿	ȵieʔ8	
區	tɕʰy1	
十	ʒøʔ8	
千	tɕʰiɪ1	
升	ɕiŋ1	
午	vu6	
卉	huᴇɪ1	
半	pø5	
卑	pᴇɪ1	
卒	tsaʔ7	
卓	tʃoʔ7	
協	ɦieʔ8	
南	nᴇɪ2	
博	poʔ7	
卜	poʔ7	
卞	biɪ6	
卡	kʰa1	
卦	kuo5	
卯	mɔ6	
印	iŋ5	
危	ɦuᴇɪ6	
即	tɕieʔ7	
卵	lø6	卵袋
卵	laʊ2	
卷	tɕyø3	卷簾
卷	tɕyø5	書卷
卸	ɕia5	
卻	tɕʰieʔ7	
卿	tɕʰiŋ5	
厚	ɦᴇɪ6	
原	ȵyø2	
厭	iɪ5	
厲	li6	
去	tɕʰi5	白讀
去	tɕʰy5	文讀
參	tsʰɛ1	參加
參	səŋ1	人參
又	ɦi6	白讀 又來啦
又	ɦiu6	文讀
叉	tsʰo1	
及	dʑieʔ8	
友	ɦiu6	
反	fɛ3	
叔	ʃoŋ1	兒化變讀 阿叔
叔	ʃoʔ7	文讀
取	tʃʰʯ3	
受	ʑiu6	
叛	bø6	
叟	sᴇɪ5	
叢	dʒoŋ2	
口	kʰᴇɪ3	
古	ku3	
句	tɕy5	
另	liŋ2	
叨	tʰɔ5	叨光
叩	kʰᴇɪ5	
只	tsɿ3	文讀 只有
只	tɕieʔ7	白讀 只有
叫	tɕio5	
叫	kɔ5	叫化子
召	ʑio6	
叭	pa3	
叮	tiŋ5	
可	kʰaʊ3	
台	tʰᴇ1	台州
史	sɿ3	
右	ɦiu6	
司	sɿ1	
各	koʔ7	
吆	io5	吆喝
合	kaʔ7	合算
合	ɦaʔ8	合作
吉	tɕieʔ7	
吊	tio5	
同	doŋ2	
名	miŋ2	
吏	li2	
吐	tʰu3	吐痰
吐	tʰu5	嘔吐
向	ɕiã5	
君	tɕyŋ1	
君	tɕyoŋ1	yn韻字又讀yon韻
吝	liŋ6	
吞	tʰəŋ1	
吟	ȵiŋ2	
吠	vi6	
否	pʰi1	否極泰來
否	fᴇɪ3	
吧	bo2	
吩	fəŋ1	
含	ɦᴇɪ2	
吭	hɔ̃5	油吭氣
吳	vu2	文讀
吳	ŋ̍2	白讀
吵	tsʰɔ3	
吸	ɕieʔ7	
吹	tʃʰʯ1	白讀
吹	tsʰᴇɪ1	文讀
吻	vəŋ2	
吼	hᴇɪ3	
吾	nu6	
呀	ia1	
呂	li6	
呆	ŋᴇ2	
呈	dʑiŋ2	
告	kɔ5	
呢	ȵi2	
周	tɕiu1	
味	mi6	白讀
味	vi6	文讀
呵	ho5	呵癢
呸	pʰᴇɪ1	
呻	ʃøŋ1	
呼	fu1	
命	miŋ6	
咆	bɔ6	
咋	dza6	怎麼
咋	tsəŋ1	文讀 怎麼
和	ɦaʊ2	
咒	tɕiu5	
咕	ɡu2	咕咕鳥叫
咨	tsɿ1	
咬	ŋɔ6	
咳	kʰaʔ7	
咸	ɦiɪ2	咸豐
咽	iɪ5	
哀	ᴇ1	
品	pʰiŋ3	
哄	hoŋ3	哄騙
哄	hoŋ5	起哄
哇	ua1	
哈	ha5	
哉	tsᴇ1	
員	ɦyø2	
哥	kuø3	兒化變讀 阿哥
哥	kaʊ1	
哨	ɕio1	
哭	kʰoʔ7	
哮	ɕio1	文讀
哮	hɔ5	白讀
哲	tʃøʔ7	
哺	bu6	
哽	kəŋ1	
唆	saʊ1	
唐	dɔ̃2	
售	dʑiu2	
唯	vi6	
唱	tʃʰɔ̃5	
唾	tʰu3	涎唾
啃	kʰəŋ3	
啄	tʃoʔ7	
商	ɕiã5	白讀 商量
商	ʃɔ̃1	文讀
啊	ɦa2	
問	məŋ6	白讀
問	vəŋ6	文讀
啓	tɕʰi3	
啞	o3	
啟	tɕʰi3	
啥	saʊ1	什麼
啼	di2	
喂	y5	白讀 喂飯
喂	uᴇɪ5	文讀 喂飯
善	ʒø6	
喇	la6	
喉	ɦᴇɪ2	
喊	hɛ3	
喏	noʔ8	
喘	tʃʰø3	
喚	huø5	
喜	ɕi3	
喝	haʔ7	
喧	ʃø1	
喪	ʃɔ̃1	喪事
喪	ʃɔ̃5	喪失
喫	tɕʰieʔ7	文讀
喫	tɕʰyoʔ7	
喬	dʑio2	
單	tɛ1	
單	ʒø6	姓
喻	ɦy2	
嗅	ɕyoŋ5	
嗆	tɕʰiã5	咳嗽
嗎	mo2	
嗓	ʃɔ̃3	
嗚	u1	
嗜	zɿ6	
嗣	dzɿ2	
嗤	tʃʰʯ1	
嗷	ŋɔ2	
嗽	sᴇɪ5	
嘆	tʰɛ5	
嘉	tɕia1	文讀
嘉	ko1	白讀
嘎	ɡa2	
嘔	ᴇɪ1	
嘗	dʒɔ̃2	
嘞	ʔlaʔ7	嘞嘞響
嘯	ɕio1	
嘲	dʑio2	
嘴	tʃʯ3	
嘶	sɿ1	
噎	ieʔ7	
噓	ɕy1	
噙	dʑiŋ2	
器	tɕʰi5	
噴	pʰəŋ5	
噸	təŋ5	
嚇	haʔ7	
嚎	ɦɔ2	
嚏	tʰi1	
嚥	iɪ5	
嚴	ȵiɪ2	
嚼	ʑieʔ8	
囂	ɕio1	
囊	nɔ̃2	
囑	tʃoʔ7	
囚	dʑiu2	
四	sɿ5	
回	ɦuᴇɪ2	
因	iŋ1	
囡	nø2	
囤	dəŋ2	
囥	kʰɔ̃5	藏
囪	tʃʰoŋ1	
囫	ɦuaʔ8	囫圇吞
困	kʰuəŋ5	
固	ku5	
圃	pʰu3	
圇	ləŋ2	
圈	tɕʰyø1	
國	koʔ7	
圍	ɦy2	白讀
圍	ɦuᴇɪ2	文讀
園	ɦyø2	
圓	ɦyø2	
圖	du2	
團	dø2	
土	tʰu3	
在	dzᴇ6	
圭	kuᴇɪ1	
地	di6	
圾	saʔ7	
址	tsɿ3	
坂	pɛ3	田坂
均	tɕyŋ1	
均	tɕyoŋ1	yn韻字又讀yon韻
坊	fɔ̃5	
坍	tʰɛ1	
坎	kʰɛ1	
坐	zaʊ2	
坑	kʰã1	
坡	pʰaʊ1	
坤	kʰuəŋ1	
坦	tʰɛ3	
坪	biŋ2	
坯	pʰᴇɪ1	
垂	dʒʯ6	白讀 垂落
垂	zᴇɪ2	文讀
垃	laʔ8	
型	ɦiŋ2	
垛	to1	
垠	ȵiŋ2	
垣	ɦuø2	
垮	kʰuo1	
埂	kã1	
埃	a1	
埋	ma2	白讀
埋	mɛ2	文讀
城	dʑiŋ2	
埕	dʑiŋ2	
域	ɦyeʔ8	
埠	bu6	
埭	da2	走一埭
執	tɕieʔ7	
培	bᴇɪ2	
基	tɕi1	基礎
基	tɕi3	基地
堂	dɔ̃2	
堅	tɕiɪ1	
堆	tᴇɪ1	
堇	dʑiŋ2	
堍	tʰu5	堍頭
堡	pɔ3	
堤	di6	
堪	kʰɛ1	
堯	ȵio2	
堰	iɪ5	
報	pɔ5	
場	dʑiã2	
堵	tu3	
塊	kʰuᴇɪ1	
塋	ɦiŋ2	
塌	tʰaʔ7	
塍	ɦiŋ2	田塍
塑	su5	泥塑木雕
塔	tʰaʔ7	
塗	du2	
塘	dɔ̃2	
塞	saʔ7	
塢	u5	
填	diɪ2	
塵	dʑiŋ2	
境	tɕiŋ1	
墅	ʒʯ2	
墊	diɪ6	
墓	maʊ6	
牆	ʑiã2	
墜	dᴇɪ6	墜肚
增	tsəŋ1	
墟	ɕy1	
墨	moʔ8	
墩	təŋ1	
墮	daʊ2	
墳	vəŋ2	
墾	kʰəŋ5	
壁	pieʔ7	
壅	yoŋ1	壅泥
壇	dɛ2	
壓	aʔ7	
壕	ɦɔ2	
壘	lᴇɪ6	
壞	ua5	
壞	ɦuɛ2	文讀
壟	loŋ6	
壤	ȵiã2	
壩	po5	
士	zɿ6	
壬	ȵiŋ2	
壯	tʃɔ̃5	
壹	ieʔ7	
壺	vu2	
壽	ʑiu6	
夏	ɦo6	
夕	ʑieʔ8	
外	ŋa6	白讀
外	ɦuᴇ6	文讀
多	taʊ1	
夜	ɦia6	白讀
夜	ɦiᴇ6	文讀
够	kᴇɪ5	
夠	kᴇɪ5	
夢	mɔ̃6	
夤	ɦiŋ2	
夥	haʊ3	
大	da6	文讀
大	do6	大家
大	daʊ6	白讀
天	tʰiɪ1	
太	tʰa5	
夫	fu1	
夭	io1	
央	ȵiã2	白讀 中央
央	iã1	文讀
夯	hã5	
失	ʃøʔ7	
夷	ɦi2	
夾	kaʔ7	
奇	dʑi2	
奈	na6	白讀
奈	nɛ6	文讀
奉	voŋ6	
奎	kʰuᴇɪ1	
奏	tsᴇɪ5	
奐	huø1	
契	tɕʰi5	
奔	pəŋ5	
套	tʰɔ5	
奚	ɦi6	
奠	diɪ2	
奢	ʃø3	
奧	ɔ5	
奪	daʔ8	
奮	fəŋ5	
女	ȵy6	
女	no2	兒女
女	nø2	兒化變讀 現作囡
奴	nu6	
奶	na6	奶粉
奶	ʔnᴇ5	兒化變讀 奶奶脯
奸	kɛ1	
好	hɔ3	
如	ʒʯ2	
妃	fi1	
妄	mɔ̃6	白讀
妄	vɔ̃6	文讀
妒	tu5	
妓	dʑi6	
妖	io1	
妙	mio6	
妥	tʰaʊ3	
妨	fɔ̃1	
妹	mᴇɪ6	阿妹
妹	ʔmᴇɪ5	妹妹
妻	tɕʰi1	
妾	tɕʰieʔ7	
姆	m̩2	
姆	ʔm̩5	姆姆
姊	tɕi1	
始	sɿ3	
姐	tɕia1	
姑	ku1	
姓	ɕiŋ5	
委	uᴇɪ3	
姘	pʰiŋ1	
姚	ɦio6	
姜	tɕiã5	
姣	tɕio1	
姨	ɦi2	
姬	tɕi1	
姻	iŋ1	
姿	tsɿ1	
威	uᴇɪ1	
娃	uɛ1	兒化變讀 小娃
娌	li6	
娘	ȵiã2	
娛	nu6	
娟	tɕyø1	
娠	ɕiŋ1	
娥	ŋaʊ2	
娩	miɪ6	
娶	tʃʰʯ3	
婆	bø2	兒化變讀 老太婆
婆	baʊ2	
婉	uø3	
婊	pio3	
婚	huəŋ1	
婢	bi2	
婦	vu2	
婿	ɕi5	
媒	mᴇɪ2	
媚	mᴇɪ2	
媲	pi1	
媳	ɕieʔ7	
媸	tʃʰʯ1	
媽	ʔmo5	
媾	kᴇɪ5	
嫁	ko5	
嫂	sɔ3	
嫉	dʑi2	
嫌	iɪ1	
嫖	bio2	
嫡	tieʔ7	
嫩	nəŋ6	
嬉	ɕi1	
嬌	tɕio1	
嬰	iŋ1	
嬴	ɦiŋ2	
嬸	ɕiŋ1	
孀	ʃɔ̃1	
孃	ȵiã2	
子	tsɿ3	
孔	kʰoŋ3	
孕	ɦiŋ6	
字	zɿ6	
存	dzəŋ2	
孛	baʔ8	
孝	ɕio5	文讀
孝	hɔ5	白讀
孟	mã6	
季	tɕi5	
孤	ku1	
孥	no2	兒孥
孩	ɦᴇ2	
孫	səŋ1	
孰	ʒoʔ8	
孲	ʔŋ̍5	孲𤘅
孵	bu6	
學	ɦoʔ8	
孺	ʒʯ2	
孽	ȵieʔ8	
孿	lø2	
宅	dzaʔ8	
宇	ɦy2	
守	ɕiu3	
安	ᴇɪ1	
宋	ʃoŋ5	
完	ɦuø2	
宏	ɦoŋ2	
宕	dã6	延宕
宕	dɔ̃2	石宕
宗	tʃoŋ1	
官	kuø1	
宙	dʑiu2	
定	diŋ6	
宛	uø3	
宜	ȵi2	
客	kʰaʔ7	
宣	ʃø1	
室	ʃøʔ7	
宦	ɦuɛ2	
宮	koŋ1	
宰	tsᴇ1	
害	ɦᴇ6	
宴	iɪ5	
宵	ɕio1	
家	tɕia1	文讀
家	ko1	白讀
容	ɦyoŋ2	
宿	ɕiu5	星宿
宿	ʃoʔ7	宿夜
寂	dʑieʔ8	
寄	tɕi5	
寅	ɦiŋ2	
密	mieʔ8	
寇	kʰᴇɪ5	
寋	ɡiɪ2	寋門
富	fu5	
寐	mᴇɪ2	
寒	ɦᴇɪ2	
寓	ȵy6	
寞	moʔ8	
察	tsʰaʔ7	
寡	kuo1	
寢	tɕʰiŋ5	
寥	lio2	白讀
實	ʒøʔ8	
寧	nəŋ2	白讀 寧可
寧	ȵiŋ2	文讀
寨	za2	
審	ɕiŋ3	
寫	ɕia3	
寬	kʰuø1	
寵	tʃʰoŋ1	
寶	pɔ3	
寸	tsʰəŋ5	
寺	zɿ6	
封	foŋ1	
射	ʑieʔ8	
將	tɕiã1	將來
將	tɕiã5	將軍
專	tʃø1	
尉	uᴇɪ5	
尊	tsəŋ1	
尋	ʑiŋ2	
對	tᴇɪ5	
導	dɔ6	
小	ɕio3	
少	ɕio3	
尖	tɕiɪ1	
尚	ʒɔ̃6	
尤	ɦiu2	
尬	ka5	尷尬
就	dʑiu6	文讀
就	ʑiu6	白讀
尷	kɛ1	
尸	sɿ1	
尹	ɦyoŋ6	
尺	tsʰaʔ7	白讀
尺	tɕʰieʔ7	白讀
尼	ȵi2	
尾	mi2	白讀 尾巴
尾	vi6	文讀
尾	ȵi2	白讀 尾巴
尿	ʃʯ1	白讀
尿	sᴇɪ3	文讀
局	dʑyeʔ8	
屁	pʰi5	
居	tɕy1	
屆	ka5	白讀
屆	tɕiᴇ5	文讀
屈	tɕʰyeʔ7	
屉	tʰi5	
屋	oŋ1	兒化變讀 東新屋
屋	oʔ7	房屋
屋	uoʔ7	屋裏 家裏
屍	sɿ1	
屏	biŋ2	
屐	dʑieʔ8	
屑	ɕieʔ7	
展	tɕiɪ1	
屜	tʰi5	
屠	du2	
屢	lᴇɪ6	
層	zəŋ2	
履	li6	
屬	dʒoʔ8	
屯	dəŋ2	
山	sɛ1	
岑	dʑiŋ2	姓
岔	tsʰo5	
岡	kɔ̃1	
岩	ŋɛ2	
岸	ŋɛ2	白讀
岸	ŋiɪ2	
峙	dʑi2	
峯	foŋ1	
島	tɔ1	
峻	tʃøŋ1	
峽	tɕiaʔ7	
峽	ɦieʔ8	
崇	dʒoŋ2	
崎	dʑi6	
崔	tsʰᴇɪ1	姓
崖	ɦia2	
崗	kɔ̃1	
崢	tsəŋ1	
崩	poŋ1	
嵌	kʰɛ1	
嵩	ʃoŋ1	
嶴	ɔ5	
嶺	liŋ6	
嶽	ŋoʔ8	
巒	lø2	
巔	tiɪ1	
巖	ŋɛ2	
川	tʃʰø1	
州	tɕiu1	
巡	ʒøŋ2	
巢	dzɔ2	
工	koŋ1	
左	tsaʊ3	
巧	tɕʰio3	
巨	dʑy6	
巫	vu2	
差	tsʰɿ5	參差
差	tsʰa1	差使
差	tsʰo1	差別
己	tɕi3	
已	i3	
巳	zɿ6	
巴	po1	巴結
巴	bo2	下巴
巴	pø1	兒化變讀 尾巴
巷	ɦɔ̃2	
巹	dʑiŋ2	
巾	tɕiŋ1	
市	zɿ6	
布	pu5	
帆	vɛ2	
希	ɕi1	
帕	pʰɛ1	兒化變讀 絹帕
帕	pʰoʔ7	
帖	tʰieʔ7	
帚	tɕiu3	
帛	baʔ8	
帝	ti5	
帥	sᴇ1	
師	sɿ1	
席	ʑieʔ8	
帳	tɕiã5	
帶	ta5	
常	dʒɔ̃2	
帽	mɔ6	
幀	tɕiŋ1	
幅	foʔ7	
幌	huɔ̃5	
幔	mø2	
幕	maʊ6	
幟	tsɿ5	
幢	dʒɔ̃2	
幣	bi2	
幫	pɔ̃1	
干	kiɪ1	干涉
平	biŋ2	
年	ȵiɪ2	
并	piŋ3	合并
幸	ɦiŋ2	
幹	kiɪ3	幹部
幺	io1	幺二三
幻	ɦuɛ2	
幼	iu1	
幽	iu1	
幾	tɕi1	幾乎
幾	tɕi3	幾個
庇	pi5	包庇
牀	ʒɔ̃2	
序	ʒʯ6	
底	ti3	
庖	bɔ6	
店	tiɪ5	
庚	kã1	白讀
庚	kəŋ1	文讀
府	fu3	
度	du6	
座	zaʊ2	
庫	kʰu5	
庭	diŋ2	
庵	ᴇɪ1	
庶	ʃʯ5	
康	kʰɔ̃1	
庸	ɦyoŋ2	
庹	tʰoʔ7	一庹
廁	tsʰɿ5	
廂	ɕiã1	
廈	ɦo6	
廉	liɪ2	
廊	lɔ̃2	
廓	koʔ7	
廚	dʒʯ2	
廝	sɿ1	
廟	mio6	
廠	tɕʰiã3	
廢	fi5	
廣	kuɔ̃3	
廬	lu2	
廳	tʰiŋ1	
延	ɦiɪ2	
廷	diŋ2	
建	tɕiɪ5	
廿	nᴇ6	
弄	loŋ6	
弊	bi6	
式	ɕieʔ7	
弓	koŋ1	
引	ɦiŋ6	
弗	faʔ7	
弘	ɦoŋ2	
弛	dʒʯ2	
弟	di2	
弦	ɦiɪ2	
弧	vu2	
弩	nu6	
弱	ʑieʔ8	
張	tɕiã1	
強	tɕʰiã1	勉強
強	dʑiã6	強大
强	tɕʰiã1	勉强
强	dʑiã6	强大
弼	bieʔ8	
彈	dɛ2	彈性
彈	dɛ6	彈子
彌	mi2	
彎	uɛ1	
彗	ɦuᴇɪ2	
彙	ɦuᴇɪ6	
形	ɦiŋ2	
彤	doŋ2	
彥	ȵiɪ2	
彩	tsʰᴇ3	
彪	pio1	
彬	piŋ1	
彭	bã2	
影	iŋ3	
役	ɦyeʔ8	
彼	pᴇɪ1	
往	uɔ̃5	
征	tɕiŋ1	
待	dᴇ6	
很	həŋ3	
律	lieʔ8	
後	ɦᴇɪ6	
徐	ʑi2	
徑	tɕiŋ5	
徒	du2	
得	taʔ7	
徘	ba2	
徙	ɕi1	
從	dʒoŋ2	
御	ɦy6	
復	voʔ8	復原
循	ʒøŋ2	
微	ʔmi5	白讀 微微小
微	vi2	文讀
徵	tɕiŋ1	
德	taʔ7	
徹	tʃʰøʔ7	
徽	huᴇɪ1	
心	ɕiŋ1	
必	pieʔ7	
忌	dʑi6	
忍	ȵiŋ6	白讀
忍	ʒøŋ6	文讀
忒	tʰaʔ7	太
忖	tsʰəŋ3	思忖
志	tsɿ3	縣志
志	tsɿ5	志向
忘	mɔ̃6	白讀
忘	vɔ̃6	文讀
忙	mɔ̃2	
忠	tʃoŋ1	
快	kʰua5	
忱	dʑiŋ2	
念	nᴇ6	
忽	huaʔ7	
忿	vəŋ6	
怎	dza6	白讀
怎	tsəŋ1	文讀 怎麼
怒	nu6	
怔	tɕiŋ5	
怕	pʰo5	
怖	pu5	
怛	taʔ7	怛怛動
思	sɿ1	
怠	dᴇ6	
急	tɕieʔ7	
性	ɕiŋ5	
怨	yø5	
怪	kua3	奇怪
怪	kua5	怪罪
怯	tɕʰieʔ7	
恃	zɿ6	
恆	ɦəŋ2	
恍	huɔ̃1	
恐	kʰoŋ3	
恆	ɦəŋ2	
恕	ʃʯ5	
恙	iã5	安然無恙
恢	huᴇɪ1	
恤	ɕyeʔ7	
