#漢字	音標	解釋
□	kʰɪŋ2	凝結成凍了
奈	lɔi2	
奉	fuŋ2	
奎	kwʰɐi2	
奏	tsɐu5	
契	kʰɐi5	
奔	pɐn1	
套	tʰou5	
奚	kʰɐi1	
奠	tin2	
奧	ou5	
奪	tit8	
奬	tsɛŋ3	
奮	fɐn3	
女	lui3	
奴	lou2	
奶	lai3	
奸	kan1	
好	hou3	~坏
好	hou5	爱~
如	ji2	
妃	fei1	
妄	mɔŋ3	
妒	tou2	
妓	kei2	
妖	jiu1	
妗	kʰɐm3	
妙	miu2	
妥	tʰɔ2	
妨	fɔŋ2	
妹	mui2/mui1	
妻	tsʰɐi1	
妾	tsʰip7b	
姊	tsi3	
始	tsʰi3	
姐	tsɛ3	
姑	ku1	
姓	sɪŋ5	
委	wɐi3	
姘	pʰɪŋ5	
姚	jiu2	
姜	kɵŋ1	
姨	ji1	
姪	tsɐt8	
姻	jɐn1	
威	wɐi1	
娃	wa1	
娘	lɵŋ2	
娠	sɐn2	
娛	ŋ̍2	
娶	tsʰui3	
婆	pʰɔ2	
婚	fɐn1	
婢	pʰei3	
婦	fu3/fu2	
婬	jɐm2	
婿	sɐi5	
媒	mui2	
媳	sɪk7a	
媽	ma1	
嫁	ka5	
嫂	sou3	
嫌	him2	
嫖	pʰiu2	
嫩	lin2	
嬉	hei5	
嬌	kiu1	
嬰	jɪŋ1	
嬸	sɐm3	
孀	sɵŋ1/sɔŋ1	
孔	kʰuŋ3	
孕	jɐn2	
字	tsi2	
存	tsʰɐn2	
孝	hau5	
孟	maŋ3	
季	kwɐi5	
孤	ku1	
孩	hai2	
孫	sin1	
孵	pɔ2	
學	hɔk8	
宅	tsak7b	
宇	ji3	
守	sɐu3	
安	ɔn1	
宋	suŋ5	
完	jin2	
宏	huŋ2	
宗	tsuŋ1	
官	kun1	
宙	tsou2	
定	tɪŋ2	
宛	jin3/wun3	
宜	ji2	
客	hak7b	
宣	sin1	
室	sɐt7a	
宦	wan2	
宮	kuŋ1	
宰	tsɔi3	
害	hɔi2	
宴	jin5	
宵	siu1	
家	ka1	
容	juŋ2	
宿	suk7a	
寂	tsɪk8	
寄	kei5	
寅	jɐn2	
密	mɐt8	
寇	kʰɐu5	
富	fu5	
寒	hɔn2	
寓	ji2	
寞	mɔk7b	
察	tsʰat7b	
寡	kwa3	
寥	liu2	
實	sɐt8	
寧	lɪŋ2	
寨	tsai2	
審	sɐm3	
寫	sɛ3	
寬	fun1	
寵	tsʰuŋ3	
寶	pou3	
寸	tsʰin5	
寺	tsʰi2	
封	fuŋ1	
射	sɛ2	
將	tsɵŋ5	
將	tsɵŋ1	
專	tsin1	
尊	tsin1	
尋	tsʰɐm2	
對	tui5	
導	tou2	
小	siu3	
少	siu3	
少	siu5	
尖	tsim1	
尚	sɔŋ2	
尤	jɐu2	
尬	kai5	
就	tsɐu2	
尷	kam5	
尹	wɐn3	
尺	tsʰɛk7b	
尼	lɐi2	
尾	mei3	
尿	liu2	
局	kuk8	
屁	pʰei5	
居	kei1	
屈	wɐt7a	
屆	kai5	
屋	uk7a	
屍	si1	
屎	si3	
屏	pʰɪŋ2	
屐	kʰɛk8	
屑	sit7b	
展	tsin3	
屜	tʰɐi5	
屠	tʰu2	
屢	lui3	
層	tsʰɐn2	
履	lei3	
屬	suk8	
屯	tʰin2	
山	san1	
岐	kʰei2	
岑	sɐm2	
岔	tsʰa1	
岡	kɔŋ1	
岳	ŋɔk8	
岸	ŋɔn2	
峰	fuŋ1	
島	tɐu3	
峽	hap8	
崇	suŋ2	
崑	kwʰɐn1	
崔	tsʰui1	
崖	ŋai2	
崗	kɔŋ1	
崙	lɐn2	
崩	pɐŋ1	
嵩	suŋ1	
嶺	lɛŋ3	
嶽	ɔk8/ŋɔk8	
巖	ŋam2	
川	tsʰin1	
州	tsɐu1	
巡	tsʰɐn2	
巢	tsʰou2	
工	kuŋ1	
左	tsɔ3	
巧	hau3	
巫	mu1	
差	tsʰa1	
差	tsʰai1	出~
差	tsɐŋ1	
己	kei3	
已	ji3	
巳	tsi2	
巴	pa1	
巷	hɔŋ2	
巾	kɐn1	
市	si3	
布	pou5	
帆	fan2	
希	hei1	
帕	pʰak7b	
帖	tʰip7b	
帛	pak8	
帝	tɐi5	
帥	sui5	
師	si1	
席	tsɪk8	
帳	tsɵŋ5	
帶	tai5	
帷	wɐi2	
常	tsʰɵŋ2	
帽	mou2	
幅	fuk7a	
幔	man2	
幕	mɔk7b	
幣	pei2	
幫	pɔŋ1	
干	kɔn1	
平	pʰɪŋ2	
年	lin2	
幸	hɐŋ2	
幹	kɔn5	
幻	wan2	
幼	jɐu5	
幽	jɐu1	
幾	kei3	~个
幾	kei3	~乎
庇	pei5	
序	tsui2	
底	tɐi3	
店	tim5	
庚	kɐn1/kaŋ1	
府	fu3	
度	tu2	
座	tsɔ2	
庫	fu5	
庭	tʰɪŋ2	
庵	ɐm1	
庶	si5	
康	hɔŋ1	
庸	juŋ1	
廉	lim2	
廊	lɔŋ2	
廓	kʰɔk7b	
廖	liu2	
廟	miu2	
廠	tsʰɔŋ3	
廢	fɐi5	
廣	kɔŋ3	
廬	lu2	
廳	tʰɛŋ1	
延	jin2	
廷	tʰɪŋ2	
建	kin5	
弄	luŋ2	
弊	pei2	
式	sɪk7a	
弓	kuŋ1	
引	jɐn3	
弟	tɐi2	
弦	jin2	
弱	jɛk8	
張	tsɵŋ1	
强	kʰɵŋ2	~大
强	kʰɵŋ3	勉~
弼	pak7b	
彈	tan2	
彈	tʰan2	~琴
彌	li1	阿~陀佛
彎	wan1	
彙	wui2	
形	jɪŋ2	
彩	tsʰɔi3	
彪	piu1	
彫	tiu1	
彬	pɐn1	
彭	pʰaŋ2	
影	jɪŋ3	
彷	fɔŋ3	
役	jɪk8	
彼	pʰei3	
彿	fɐt7a	
往	wɔŋ3	
征	tsɪŋ1	
待	tɔi2	
很	hɐn3	
徊	wui2	
律	lɐt8	
後	hɐu2	
徐	tsʰui2/tsʰi2	
徑	kɪŋ5	
徒	tʰu2	
得	tɐk7a	
徛	kʰei3	
從	tsʰuŋ2	
御	ji2	
復	fuk7a	
循	tsʰɐn2	
微	mei2	
徵	tsɪŋ1	
德	tɐk7a	
徹	tsʰit7b	
徽	fei1	
心	sɐm1	
必	pit7a/pit7b	
忌	kei2	
忍	jɐn3	
志	tsi5	
忘	mɔŋ2	
忙	mɔŋ2	
忠	tsuŋ1	
快	fai5	
念	lim2	
忽	fɐt7a	
忿	fɐn2	
怒	lou2	
怕	pʰa5	
怖	pou5/pu5	
思	si1	
怠	tɔi2	
急	kɐp7a	
性	sɪŋ5	
怨	jin5	
怪	kwai5	
恐	huŋ3	
恆	hɐŋ2/hɐn2	
恕	si5	
恢	fui1	
恤	sɐt7a	
恤	sɔt7a	~衫
恨	hɐn2	
恩	jɐn1	
恭	kuŋ1	
息	sɪk7a	
悄	tsʰiu1	
悉	sɪk7a	
悔	fui5	
悟	ŋ̍2	
悠	jɐu1	
患	wan2	
悤	tsʰuŋ1	
悦	jit8	
悲	pei1	
悶	mun2	
情	tsʰɪŋ2	
惑	wak8	
惜	sɪk7a	
惟	wɐi2	
惠	wɐi2	
惡	wu5	
惡	ɔk7b	善~
惰	tɔ2	
惱	lou3	
想	sɛŋ3	
惹	jɛ3	
愁	sɐu2	
愈	ji2	
愉	ji3	
意	ji5	
愚	ji2	
愛	ɔi5	
感	kam3	
愧	kwʰɐi5	
慈	tsʰi2	
態	tʰai5	
慌	fɔŋ1	
慎	sɐn2	
慕	mou2	
慘	tsʰam3	
慚	tsʰan2	
慢	man2	
慣	kwan5	
慧	wɐi5	
慨	kʰɔi5	
慮	lui2	
慰	wɐi5	
慶	hɪŋ5	
慾	juk8	
憂	jɐu1	
憋	pɐi5	
憎	tsɐŋ1	
憐	lin2	
憑	pʰaŋ2	
憤	fɐn3	
憲	hin5	
憶	jɪk7a	
憾	hɐm2	
懂	tuŋ3	
懇	hɐn3	
懈	hai2	
應	jɪŋ5	答~
應	jɪŋ1	~當
懊	ou5	
懲	tsʰɪŋ2	
懵	muŋ3	
懶	lan3	
懷	wai2	
懸	jin2	
懼	kei2	
懿	ji5	
戀	lin3	
戈	kʰɔ1	
戊	mau3	
戌	sɐt7a	
戎	juŋ2	
成	sɪŋ2	
我	ŋɔ3	
戒	kai5	
或	wak8	
戚	tsʰɪk7a	
戟	kɪk7a	
戥	tɐŋ3	
截	tsit8	
戰	tsin5	
戲	hei5	
戳	tsʰɔk7b	
戴	tai5	
戶	wu2/fu2	
戽	fu5	
房	fɔŋ2	
所	sɔ3	
扁	pɛn3	
扇	sin5	
手	sɐu3	
才	tsʰɔi2	
打	ta3	
托	tʰɔk7b	
扣	kʰɐu5	
扭	lɐu3	
扮	pan2/pan5	
扯	tsʰɛ3	
扳	pan3	
扶	fu2	
批	pʰɐi1	
扽	tɐn5	
找	tsau3	
承	sɪŋ2	
技	kei2	
抄	tsʰau1	
把	pa3	
把	pa3	~柄
抓	tsa1	
投	tʰɐu2	
抖	sɐu3	
抗	kʰɔŋ5	
折	tsit7b	
披	pʰei1	
抱	pʰou3	
抵	tɐi3	
抹	mat7b/mut7b	
抹	mut7b	
押	ŋat7b/at7b	
抽	tsʰɐu1	
抿	mɐt8	~嘴
拆	tsʰak7b	
拇	mu3	
拈	lim1	
拉	lai1	
抛	pʰau1	
拌	pʰun3/pʰun2	
拍	pʰak7b	
拎	lɪŋ1	
拒	kʰei3	
拓	tʰɔk7b	
拔	pat7b/pat8	
拖	tʰɔ1	
拘	kʰei1	
拚	pʰɪŋ5	
招	tsiu1	
拜	pai5	
括	kʰut7b	
拯	tsʰɪŋ3	
拱	kuŋ3	
拳	kʰin2	
拴	tsʰin2	
拾	sɐp8	
拿	la2	
持	tsʰi2	
指	tsi3	
按	ɔn5	
挑	tʰiu1	
挖	wat7b	
挨	ŋai1	
挪	la2	
振	tsɐn5	
挺	tʰɪŋ2	
挽	wan3	
挾	kap8	
挾	kɛp7b	~菜
捅	tʰuŋ3	
捉	tsuk7a	
捋	lip7b	
捏	lin3	
捐	kin1	
捕	pʰu3	
換	wun2	
捧	puŋ3	
捨	sɛ3	
捱	ai2	
捲	kin3	
捷	tsit7b	
捺	lat7b	
掀	hin1	
掂	tim5	
掃	sou5	
授	sɐu2	
掉	tiu2	
掌	tsɵŋ3	
掏	tʰou2	
掘	kwɐt8	
掛	kwa5	
掠	lɵk8	
採	tsʰɔi5	
探	tʰam5	
接	tsip7b	
控	huŋ5	
推	tʰui1	
掩	jim3	
措	tsʰou5	
揀	kan3	
揈	wɐŋ1	
揉	jɐu2	
描	miu2	
提	tʰai2	
插	tsʰap7b	
揚	jɛŋ2	
揞	ŋɐm3	
握	ŋak7a	
揣	tsʰui3	
揭	kʰit7b	
揮	fei1	
援	wun2	
搉	kʰɔk7a	
損	sin3	
搓	tsʰai1	
搗	tou3	
搛	kim1	
搜	sɐu3	
搞	kau3	
搡	sɔŋ2	
搧	sin5	
搨	tap8	
搬	pun1	
搭	tap7b	
搶	tsʰɵŋ3	
搽	tsʰa2	
摇	jiu2	
摘	tsak8	
摟	lɐu2	
摩	mɔ1	
摳	kʰɐu1	
摸	mɔ1	
摹	mu1	
摺	tsip7b	
撇	pʰit5	
撈	lau1	
撑	tsʰaŋ1	
撒	sat7b	
撓	lau2	
撕	tsʰi1	
撞	tsɔŋ2	
撤	tsʰit7b	
撥	put7b	
撩	liu2	
撫	fu3	
播	pɔ5	
撮	tsɐp7a	訓
撲	pʰɔk7b	
撳	kɐm2	
撼	hɐm2	
擁	juŋ3	
擂	lui2	
擇	tsak8	
擊	kɪk7a	
擋	tɔŋ3	
操	tsʰou1	
擒	kʰɐm2	
擔	tam5	重~
擔	tam1	~當
擘	pʰɛk7b	
據	kei2	
擠	tsɐi5	
擡	tʰɔi2	
擦	tsʰat7b	
擬	ji3	
擲	tsak8	
擴	kʰɔŋ5	
擺	pai3	
擾	jiu3	
攀	pʰan3	
攏	luŋ3	
攔	lan2	
攜	kwʰɐi2	
攝	sip7b	
攤	tʰan1	
攪	kau3	
攬	lam3	
支	tsi1	
收	sɐu1	
改	kɔi3	
攻	kuŋ1	
放	fɔŋ5	
政	tsɪŋ5	
故	ku5	
效	hau2	
敏	mɐn3	
救	kɐu5	
敗	pai2	
教	kau5	
敝	pɐi2	
敢	kam3	
散	san3	松~
散	san5	~发
敦	tɐn1	
敬	kɪŋ5	
敲	hau1	
整	tsɪŋ3	
敵	tɪk8	
敷	fu1	
數	sou3/sou5/su3	
數	sou5/su5	
斂	lim3	
斃	pei2	
文	mɐn2	
斑	pan1	
斗	tɐu3	
料	liu2	
斜	tsʰɛ2	
斟	tsɐm1	
斤	kɐn1	
斥	tsʰɪk7a	
斧	pou3/fu3	
斬	tsam3	
斯	si1	
新	sɐn1	
斷	tʰin3	
方	fɔŋ1	
於	ji1	
施	si1	
旁	pʰɔŋ2	
旅	lui3	
旋	sin2	
族	tsuk8	
旗	kʰei2	
既	kei5	
日	jɐt8	
旦	tan5	
旨	tsi1	
早	tsou3	
旬	tsʰɐn2	
旱	hɔn3	
旺	wɔŋ2	
昂	ŋɔŋ2	
昆	kwʰɐn1	
昌	tsʰɵŋ1	
明	mɪŋ2	
昏	fɐn1	
易	ji2	
易	jɪk8	交~
昔	sɪk7a	
星	sɪŋ1	
映	jɪŋ3	
春	tsʰɐn1	
昨	tsɔk8	
昭	tsʰiu1	
是	si2	
時	si2	
晃	fɔŋ3	
晉	tsɐn5	
晌	hɵŋ3	
晏	an5/ŋan5	
晚	man3	
晝	tsɐu5	
晨	sɐn2	
普	pʰou3	
景	kɪŋ3	
晴	tsʰɪŋ2	
晶	tsɪŋ1	
智	tsi5	
暇	ha2	
暈	wɐn2	
暑	si3	
暖	lin3	
暗	ɐm5	
暢	tsʰɵŋ5	
暫	tsam2	
暮	mou2	
暴	pou2	
曆	lɪk8	
曉	hiu3	
曝	pou2	
曠	kʰɔŋ5	
曬	sai5	
曰	jɐt8	
曲	kʰuk7a	
更	kaŋ1	三~半夜
更	kɐŋ5	~加
書	si1	
曹	tsʰou2	
曾	tsʰɐn2	
曾	tsɐŋ1	
替	tʰɐi5	
最	tsui5	
會	wui2	开~
會	wui3	~不~
月	jit8	
有	jɐu3	
朋	pʰaŋ2	
服	fuk8	
朔	sɔk7b	
朗	lɔŋ3	
望	mɔŋ2	
朝	tsʰiu2	
朝	tsiu1	
期	kʰei2	
木	muk8	
未	mei2	
末	mut8	
本	pun3	
札	tsat7b	
朮	sɐt8	
朱	tsi1	
朶	tɔ3	
朽	kʰiu3/lɐu3	
杈	ŋa1	
杉	tsʰam5	
李	lei3	
杏	hɐŋ2	
材	tsʰɔi2	
村	tsʰin1	
杖	tsɵŋ2	
杜	tu2	
杞	kei3	
束	tsʰuk7a	
杭	hɔŋ2	
杯	pui1	
東	tuŋ1	
杳	liu3	
杵	tsʰi3	
杷	pʰa2	
松	tsʰuŋ2	
板	pan3	
枇	pʰei2	
枉	wɔŋ3	
析	sɪk1	
枕	tsɐm3	
林	lɐm2	
枚	mui1	
果	kɔ3	
枝	tsi1	
枯	kʰu1	
架	ka5	
柄	pɛŋ5	
柏	pʰak7b	
某	mou2/mau3	
柑	kɐm1	
染	jim3	
柔	jɐu2	
柚	jɐu2	
查	tsʰa2	
