#漢字	音標	解釋
㞞	soŋ2	精液
篷	pʰoŋ2	
篾	miɛ5	
簪	tsan1	
簿	pu6	
米	mi3	名词
粉	xun3	
粒	ni5	
粗	tsʰəu1	
粟	səu5	~子
糞	xun5	
糉	tsoŋ5	
糍	tsʰɿ2	
糖	tʰaŋ2	
糟	tsau1	
索	so5	
緊	tɕin3	
紫	tsɿ3	
紅	xoŋ2	
納	na5	
紙	tʂʅ3	
紡	xuaŋ3	
紐	ȵiu3	
線	ɕian5	
細	ɕi5	
經	tɕin1	
絨	ʐoŋ2	
結	tɕiɛ5	
絶	tɕiɛ6	
繩	ʂən2	
綠	nəu5	
縫	xoŋ2	动词
纏	tʂʰan2	盘~
縮	so5	
缸	kaŋ1	
缺	tʂʰʯɛ5	
网	uaŋ3	
罩	tʂau5	
罪	tsei6	
翁	uəŋ1	
翻	xuan1	
老	nau3	
耕	kən1	
耙	pa6	
耳	ɚ3	
聶	ȵiɛ5	
聾	noŋ2	
肉	ʐəu5	
肝	kan1	
腸	tʂʰaŋ2	
肩	tɕian1	
肯	kʰən3	
育	iəu5	
肺	xui5	
腫	tʂoŋ3	
膽	tan3	
胸	ɕioŋ1	
能	nən2	
脂	tʂʅ1	
脊	tɕi5	
腦	nau3	
脚	tɕio5	
脱	tʰo5	
腔	tɕʰiaŋ1	
腹	xu5	
臭	tʂʰəu5	
舀	iau3	~水
舂	tʂʰoŋ5	
舅	tɕiu6	
舌	ʂɛ6	
舞	u3	
船	tʂʰʯan2	
色	sɛ5	
藝	i6	
艾	ŋai6	~叶
節	tɕiɛ5	
芋	ʯ6	
芍	ʂo6	~药花
花	xua1	
苏	səu1	
苗	miau2	
苦	kʰu3	
范	xuan6	姓
茶	tʂʰa2	
草	tsʰau3	
榮	ioŋ2	
藥	io5	
荷	xo2	
蓮	ȵian2	
获	xuɛ6	
菜	tsʰai5	
蘿	no2	
營	in2	
蕭	ɕiau1	
落	no5	
葬	tsaŋ5	
葱	tsʰoŋ1	
蒸	tʂən1	
蔡	tsʰai5	
薄	po6	
薛	ɕiɛ5	
藕	ŋəu3	
藤	tʰən2	
蘸	tsan5	
虚	ʂʯ1	
蟲	tʂʰoŋ2	
虱	sɛ5	
蟻	ȵi3	
蚊	uən2	
蠶	tsʰan2	
蛆	tʂʰʯ1	
蛇	ʂɛ2	
蜂	xoŋ5	
蠟	na5	
蠅	in2	
螺	no2	
血	ɕiɛ5	
行	ɕin2	~为
術	ʂʯ6	
街	kai1	
表	piau3	
衫	ʂan1	
襖	ŋau3	
袋	tai6	
被	pi6	名词
裝	tʂʯaŋ1	
裙	tʂʰʯən2	
褲	kʰu5	
襪	ua5	
見	tɕian5	
角	tɕio5	牛~
解	kai3	~开
言	ian2	
認	ʐən6	
討	tʰau3	
讓	ʐaŋ6	
訓	ʂʯən5	
記	tɕi5	
講	tɕiaŋ3	
識	ʂʅ5	
話	xua6	
說	ʂʯɛ5	
請	tɕʰin3	
讀	təu6	
譜	pʰu3	
豆	təu6	
貌	mau6	
財	tsʰai2	
敗	pai6	
貨	xo5	
貪	tʰan1	
貧	pʰin2	
貼	tʰiɛ5	
貴	kui5	
賊	tsɛ6	
賭	təu3	
賠	pʰei2	
賺	tʂʯan6	
贏	in2	
走	tsəu3	
趙	tʂau6	
足	tsəu5	
跌	tiɛ5	
跑	pʰau2	
跪	kui6	
路	nəu6	
跳	tʰiau5	
踢	tʰi5	
身	ʂən1	
躱	to3	
車	tʂʰɛ1	汽~
轉	tʂʯan3	~身
輪	nən2	
軟	ʯan3	
輕	tɕʰin1	
轎	tɕiau6	
輸	ʂʯ1	~赢
辣	na5	
辱	ʐəu5	
邊	pian1	
達	ta5	
過	ko5	
迎	in2	
運	ʯən6	
近	tɕin6	
還	xuan2	动词
進	tɕin5	
遠	ʯan3	
連	ȵian2	
遲	tʂʰʅ2	
追	tʂʯei1	
退	tʰei5	
送	soŋ5	
選	ɕian3	
透	tʰəu5	
遞	ti6	
通	tʰoŋ1	
造	tsʰau6	
逼	pi5	
道	tau6	
遮	tʂɛ1	
避	pʰi6	
鄧	tən6	
邦	paŋ1	
鄰	nin2	
郎	naŋ2	
鄭	tʂən6	
郭	ko5	
配	pʰei5	
酒	tɕiu3	
醬	tɕiaŋ5	
酸	san1	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
重	tʂoŋ6	形容词
量	ȵiaŋ2	动词
金	tɕin1	
針	tʂən1	
釘	tin1	名词
釣	tiau5	
鉤	kəu1	
鉗	tɕʰian2	~子
鑽	tsan1	动词
鐵	tʰiɛ5	
鍘	tʂa6	
銀	in2	
鋪	pʰu1	
鎖	so3	
鋤	tsʰəu2	
錫	ɕi5	
鋸	tʂʯ5	
鎮	tʂən5	
鏡	tɕin5	
鐲	tʂo6	
長	tʂʰaŋ2	~短
門	mən2	
問	uən6	
閏	ʯən6	
闲	ɕian2	
間	kan1	一~房
閘	tsa5	
鬮	tɕiu1	
閲	ʯɛ5	
闊	kʰo5	
隊	tei6	
階	kai1	
阻	tsəu3	
陳	tʂʰən2	
降	tɕʰiaŋ2	投~
院	ʯan6	
除	tʂʰʯ2	
隱	in3	
隔	kɛ5	
隻	tʂʅ5	一~
難	nan2	形容词，~易
雀	tɕiau5	
雄	ɕioŋ2	
雌	tsɿ1	
雨	ʯ3	
雪	ɕiɛ5	
雷	nei2	
雹	pau6	
霧	u6	
霍	xo5	
霜	ʂʯaŋ1	
青	tɕʰin1	
靜	tɕin6	
靠	kʰau5	
面	mian6	
鞋	xai2	
音	in1	
頂	tin3	
順	ʂʯən6	
须	ʂʯ1	
頓	tən5	
頸	tɕin3	
顔	ian2	
額	ŋɛ5	
風	xoŋ1	
飛	xui1	
食	ʂʅ6	
饥	tɕi1	饿
飯	xuan6	
飽	pau3	
餅	pin3	
餓	ŋo6	
餿	səu1	
馬	ma3	
駡	ma6	
驗	ȵian6	
騎	tɕʰi2	
骨	ku5	
髓	sei3	
高	kau1	
鬼	kui3	
魂	xun2	
魚	ʯ2	
鱉	piɛ5	
鳥	ȵiau3	
雞	tɕi1	
鴨	ia1	
鴿	ko5	
鷂	iau6	~鹰
鷹	in1	
鹿	nəu5	
麥	mɛ5	
麯	tʂʰʯ5	
麻	ma2	
黃	xuaŋ2	
黑	xɛ5	
鼠	ʂʯ3	
鼻	pi6	
齊	tɕʰi2	
齒	tʂʰʅ3	
龍	noŋ2	
龜	kui1	
