#漢字	音標	解釋
㪗	hɛu3	~气
倉	tsʰɔŋ1	
仕	su5	
他	tʰa1	
仗	tɔŋ5	打~
付	fu5	
仙	ɕiɛn1	
代	tʰɔi5	
令	lɘn5	
以	i3	
儀	ȵi2	
仰	iɔŋ3	
仲	tʰuŋ5	
件	ɕiɛn5	
價	ka5	
任	lɘn5	责~
份	fɘn5	
仿	fɔŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	fuʔ7	
伐	faʔ7	
休	ɕiu1	
衆	tuŋ5	
優	iu1	
伙	fɔ3	
會	kʰuai5	
會	fi5	~不~
會	fi5	开~
傘	san3	
偉	ui3	
傳	tʰuɔn2	~达
傳	tʰuɔn5	~记
伢	ŋa2	
傷	sɔŋ1	
倫	lɘn2	
僞	ui3	
伯	pɛt7	
估	ku1	
伴	pʰɛn5	
伶	lɘn2	
伸	sɘn1	
伺	tsʰu5	
似	su5	
但	tʰan5	
位	ui5	
低	ti1	
住	tʰø5	
佐	tsuɔ3	
佑	iu5	
體	tʰi3	
何	hɔ2	
佘	sa2	姓
余	i2	剩~，多~
余	i2	姓
佛	fɘt7	
佛	fuʔ7	~像
作	tsɔʔ7	
你	ȵi3	
佩	pʰi5	
佳	tɕia1	
使	su3	
侄	tʂʰɘt7	
侉	kʰua1	
例	li5	
侍	ʂᴇ5	
供	kuŋ5	
依	i1	
俠	ɕia2	
僥	ɕiɛu3	
偵	tɘn1	
側	tsʰɛt7	
僑	tɕʰiɛu2	
侮	u3	
侯	hɛu2	
侵	tɕʰin1	
便	pʰiɛn2	~宜
便	pʰiɛn5	方~
促	tɕʰiuʔ7	
俄	ŋɔ2	
俊	tɕin5	
俏	tɕʰiɛu5	
俗	ɕiuʔ7	
俘	fu1	
保	pau3	
俞	i2	
信	ɕin5	
儉	tɕiɛn3	
修	ɕiu1	
俯	fu3	
俱	tɕʰi5	
俸	fuŋ5	
倍	pʰi5	
倒	tau3	
倔	tɕyɔt7	
倘	tʰɔŋ3	
候	hɛu5	
倚	i3	
借	tɕia5	
倡	tʰɔŋ1	提~
倦	tɕyɔn5	
倭	uɔ1	
債	tsai5	
值	tʂʰɘt7	
傾	tɕʰin1	
假	ka3	~期
假	ka3	真~
偏	pʰiɛn1	
偕	ɕiɛ2	
做	tsu5	
停	tʰin2	
健	tɕiɛn5	
偶	ŋiɛu3	
偷	hɛu1	
償	sɔŋ3	
傀	kʰui3	
傅	fu5	
傍	pʰɔŋ2	
儲	tʂʰø3	
催	tsʰuɘi1	
傲	ŋau5	
傻	sa3	
像	ɕiɔŋ5	
僚	liɛu2	
僧	sɛn1	
僵	tɕiɔŋ1	
僻	pʰi5	
儒	lu2	
儡	luɘi3	
兒	ɘ2	
允	in3	
元	ȵyɔn2	
兄	ɕiuŋ1	文
兄	ɕiaŋ1	白
充	tʰuŋ1	
兆	tʰau5	人名
先	ɕiɛn1	
光	kuɔŋ1	~线
克	kʰiɛt7	
免	miɛn3	
兑	tʰuɘi5	
兔	tʰu5	
黨	tɔŋ3	
兜	tɛu1	
入	lɘt7	
全	tɕʰyɔn2	
八	pat7	
公	kuŋ1	
六	liuʔ7	
兮	ɕi1	
蘭	lan2	
共	kʰuŋ5	
關	kuan1	~门
興	ɕin1	绍~
興	ɕin5	高~
兵	pɘn1	
其	ɕi2	
具	tɕʰi5	
典	tiɛn3	
兹	tsu1	
養	iɔŋ3	
兼	tɕiɛn1	
獸	sɘu5	
冀	tɕi5	
内	lɘi5	
岡	kɔŋ3	
冉	lɛn3	
册	tsʰaʔ7	
再	tsuɔi5	
冒	mau5	
冗	luŋ3	
寫	ɕia3	
軍	tɕin1	
農	luŋ2	
冠	kuɛn1	
冤	yɔn1	
冬	tuŋ1	~至
馮	fuŋ2	
冰	pɘn1	
冲	tʰuŋ1	
決	tɕyɔt7	
况	kʰɔŋ5	
冷	laŋ3	
凍	tuŋ5	
淨	tɕʰin5	
凄	tɕʰi1	
準	tɘn3	
涼	liɔŋ2	
凋	tiɛu1	
凌	lɘn2	
減	kan3	
湊	tsʰɛu5	
凜	lɘn3	
凝	ȵi2	
几	tɕi3	
几	tɕi1	~乎
几	tɕi3	~个
凡	fan2	
鳳	fuŋ5	
凭	pʰɘn2	
凱	kʰɔi3	
凰	fɔŋ2	
凳	tɛn5	
凶	ɕiuŋ1	~恶
凶	ɕiuŋ1	吉~
凸	tʰɘt7	
凹	ŋau1	
出	tʂʰɘt7	
擊	tɕit7	
函	hɔn2	
鑿	tsʰɔʔ7	
刀	tau1	
刁	tiɛu1	
刃	lɘn3	
分	fɘn1	动
切	tɕʰiɛt7	动
刊	kʰɔn1	
刎	uɘn3	
刑	ɕin2	
划	fa2	
划	fa5	计~
列	liɛt7	
劉	liu2	
則	tsɛt7	
剛	kɔŋ1	
創	tɕʰiɔŋ3	
初	tsʰu1	
删	sɛn1	
判	pʰɛn5	
刨	pʰau2	
利	li5	
别	pʰiɛt7	
别	pʰiɛt7	~人
刮	kuat7	
到	tau5	
制	tʂᴇ5	
刷	sɔt7	
券	tɕyɔn5	
刺	tsʰu5	
刻	kʰiɛt7	
劊	kʰui5	
刴	tɔ5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɔʔ7	
前	tɕʰiɛn2	
剮	kua3	
劍	tɕiɛn5	
剔	tʰit7	
剖	pʰiɛu3	
剝	pɔʔ7	
劇	tɕi5	戏~
剩	sɘn5	
剪	tɕiɛn3	
副	fu5	
割	kɔt7	
剿	tɕiɛu3	
劈	pʰiaʔ7	
力	lɘt7	
勸	tɕʰyɔn5	
辦	pan5	
功	kuŋ1	
加	tɕia1	
務	u5	
劣	liɛt7	
動	tʰuŋ5	
助	tsʰu5	
努	lu3	
劫	tɕiɛt7	
勵	lit7	
勁	tɕin5	有~
勞	lau2	
勢	sᴇ5	~力
勃	pɔʔ7	
勇	iuŋ3	
勉	miɛn3	
勳	ɕin1	
勒	lɛt7	
勘	kʰɔn1	
募	mu5	
勤	ɕin2	
勺	sɔʔ7	
勾	kiɛu1	
勿	uʔ7	
匀	in2	
包	pau1	
匈	ɕiuŋ1	
化	fa5	
北	pɛt7	
匙	ʂᴇ3	钥~
匠	tɕʰiɔŋ5	
匡	kʰuaŋ1	
匣	hat7	
匪	fi3	
匹	pʰɘt7	
區	tɕʰi1	
區	tɕʰi1	地~
醫	i1	
匾	piɛn3	
匿	mit7	
十	sɘt7	
千	tɕʰiɛn1	
升	sɘn1	
午	u3	
卉	fi5	
半	pɛn5	
華	fa5	
華	fa2	中~
協	ɕiɛt7	
卑	pi1	
卒	tsɘt7	兵~
卓	tsɔʔ7	
單	sɛn5	姓
單	tan1	简~
賣	mai5	
南	luɔn2	
博	pɔʔ7	
卜	pʰuʔ7	
占	tɛn1	~卜
占	tɛn5	~领
盧	lu2	
卤	lu3	
卦	kua5	
臥	ŋɔ5	
衛	ui5	
卯	mau3	
印	in5	
危	ui2	
即	tɕit7	
卻	tɕʰiɔʔ7	
卵	luɔ3	
卷	tɕyɔn3	~起
卷	tɕyɔn5	考~
卸	ɕia5	
卿	tɕʰin2	
廠	tʰɔŋ3	
厄	ŋɔʔ7	
廳	tʰiaŋ1	
历	lɘt7	农~
厲	li5	
壓	ŋat7	
厭	iɛn5	
廁	tsʰɛt7	
厘	li2	
厚	hɛu5	
原	ȵyɔn2	
廂	ɕiɔŋ1	
厦	sa5	
厦	ha5	~门
廚	tʂʰø2	
厮	su1	
去	ɕiɛ5	
縣	ɕyɔn5	
参	tsʰuɔn1	~加
参	sɛn1	人~
又	iu5	
叉	tsʰa1	
及	tɕit7	
友	iu3	
雙	sɔŋ1	
反	fan3	
发	fat7	~财
发	fat7	头~
叔	høʔ7	
取	tɕʰi3	
受	sɘu5	
變	piɛn5	
敍	ɕit7	
叛	pʰɛn5	
叟	sɛu5	
疊	tiɛt7	
口	kʰiɛu3	
古	ku3	
句	tɕi5	
另	lɘn5	
叨	tʰau5	
叩	kʰiɛu5	
只	tʂᴇ3	
只	tʂᴇ3	一~
叫	tɕiɛu5	
召	tʰɛu5	
叮	tiaŋ1	
可	kʰɔ3	
台	tʰɔi2	~湾
台	tʰɔi2	平~
台	tʰɔi2	戏~
史	su3	
右	iu5	
葉	iɛt7	树~
號	hau5	~叫
號	hau5	名
司	su1	
嘆	tʰan5	
吁	ɕi1	
吃	ɕiaʔ7	
各	kɔʔ7	
吆	iɛu1	
合	hɔt7	
吉	tɕit7	
吊	tiɛu5	
同	tʰuŋ2	
名	miaŋ2	
后	hɛu5	前~
后	hɛu5	皇~
吏	li5	
吐	tʰu3	
向	ɕiɔŋ5	
嚇	haʔ7	
呂	li3	
君	tɕin1	
吝	lɘn5	
吞	tʰɛn1	
吟	in2	
吠	fi5	
否	fɛu3	
吧	pa1	
吩	fɘn1	
含	tʰuɔn2	~一口水
聽	tʰiaŋ1	~见
啓	ɕi3	
吳	u2	
吵	tsʰau3	
吸	ɕit7	
吹	tʰuɘi1	
吻	uɘn3	
吼	hau3	
吾	u2	
呆	tai1	
呈	tʰɘn2	
告	kau5	
嘔	ŋiɛu3	
員	yɔn2	
嗆	tɕʰiɔŋ1	
周	tɘu1	
味	ui5	
呼	fu1	
命	miaŋ5	
和	fɔ2	
咎	tɕiu1	
詠	in3	
咐	fu5	
咒	tɘu5	
嚨	luŋ2	
咨	tsu1	
咬	iau3	
咳	kʰiɛt7	
咸	han2	
咸	han2	~淡
咽	iɛn1	
哀	ŋai1	
品	pʰɘn3	
哄	fuŋ5	
響	ɕiɔŋ3	
啞	ŋa3	
哥	kɔ1	
哨	sau5	
哪	la1	
哭	kʰuʔ7	
哮	ɕiau5	
哲	tɛt7	
哼	hɛn1	
哽	kiɛn3	
唆	sɔ1	
脣	tsʰɘn1	
唉	ŋai1	
唐	tʰɔŋ2	
嘮	lau1	
喚	fɛn5	
售	sɘu5	
唯	ui2	
唱	tʰɔŋ5	
唾	tʰɔ1	
啃	kʰiɛn3	
啄	tɔʔ7	~木鸟
商	sɔŋ1	
嗇	sɛt7	
囉	lɔ1	
啼	tʰi1	
喂	ui5	
善	sɛn5	
喉	hɛu2	
喊	han3	
喘	tʂʰuɔn3	~气
喜	ɕi3	
喝	hɔt7	
喧	ɕyɔn1	
噴	pʰɘn1	~香
喻	i5	
嗅	ɕiuŋ5	
嗓	sɔŋ3	
嗜	ʂᴇ5	~好
嗝	kɔʔ7	
嗣	su5	
嗽	sɛu5	
嘉	tɕia1	
嘘	ɕi1	
囑	tʂøʔ7	~托
嘴	tɕi3	
嘻	ɕi1	
器	ɕi5	
囂	ɕiau1	
嚷	lɔŋ3	
嚼	tɕʰiɛu5	
囊	lɔŋ2	
囚	tɕʰiu2	
四	su5	
回	fi2	
回	fɘi2	
因	in1	
团	tʰuɔn2	
園	yɔn2	
困	kʰuɘn5	
囱	tsʰuŋ1	
圍	ui2	
固	ku5	
國	kuɛt7	
圖	tʰu2	
圓	yɔn2	
圈	tɕʰyɔn1	圆~
土	tʰu3	
聖	sɘn5	
在	tsʰɔi5	
圭	kui1	
地	tʰi5	
場	tʰɔŋ3	
址	tʂᴇ3	
均	tɕin1	
坊	fɔŋ3	
坍	tʰan1	
坎	kʰɔn3	
壞	fai5	
坐	tsʰɔ5	
坑	kʰaŋ1	
塊	kʰuai5	
堅	tɕiɛn1	
坛	tʰan2	
壩	pa5	
塢	u1	
墳	fɘn2	
墜	tuɘi5	
坡	pɔ1	
坤	kʰuɘn1	
坦	tʰan3	
坪	pʰiaŋ2	
坯	pʰai1	
坳	ŋau5	
垂	suɘi2	~头丧气
垃	la1	
壟	luŋ3	
型	ɕin2	
垒	luɘi3	
垢	kiɛu5	
墾	kʰiɛn3	
墊	tʰiɛn5	
垮	kʰua3	
埂	kɔn5	
埃	ŋai1	
埋	mai2	
城	tʂʰɘn2	
域	i5	
埠	pʰuʔ7	
培	pʰi2	
基	tɕi1	
堂	tʰɔŋ2	
堆	tuɘi1	
墮	tɔ5	
堡	pau3	
堤	tʰi2	
堪	kʰɔn1	
堵	tu3	
塌	tʰat7	
塍	sɘn2	田~
塑	sɔʔ7	
塔	tʰat7	
塘	hɔŋ2	
塞	sɛt7	
塞	sɛt7	瓶~
填	tʰiɛn2	
境	tɕin5	
墅	ʂø3	
墓	mu5	
牆	tɕʰiɔŋ2	
增	tsɛn1	
墟	ɕi1	
墨	mɛt7	
墩	tɘn1	
壁	pit7	~纸
壁	piaʔ7	墙~
壕	hau2	
壤	lɔŋ3	
士	su5	
壬	lɘn5	
壯	tsɔŋ5	
聲	saŋ1	~音
殼	kʰɔʔ7	
壺	fu2	
處	tʂʰø3	~理
處	tʂʰø5	~所
備	pʰi5	
复	fu7	
复	fuʔ7	
夏	ha5	姓
夏	ha5	春~
夕	ɕit7	
外	ŋai5	
多	tɔ1	
夜	ia5	
够	kiɛu5	
够	kiɛu5	往上~
大	tʰai5	
大	hai5	
大	tʰai5	~小
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iɔŋ1	
夯	haŋ2	
失	sɘt7	
頭	tʰɛu2	
夷	i2	
夸	kʰua1	
夾	kat7	~子
奪	tʰɔt7	
奇	tɕʰi2	
奇	ɕi2	
奈	lai5	
奉	fuŋ5	
奮	fɘn5	
奎	kʰui2	
奏	tsɛu5	
契	tɕʰit7	
奔	pɘn1	
套	tʰau5	
奚	ɕi1	
奠	tʰiɛn5	
奢	sa1	
奧	ŋau5	
奬	tɕiɔŋ3	
女	ȵi3	
奴	lu2	
奶	lai3	
奸	kan1	
好	hau3	~坏
好	hau5	爱~
如	lu2	文
如	ɘ2	白
妃	fi1	
妄	uɔŋ5	
妝	tsɔŋ1	
婦	fu5	
媽	ma1	
妒	tu5	
妓	tɕʰi5	
妖	iɛu1	
妙	miɛu5	
妥	tʰɔ3	
妨	fɔŋ2	
妹	mai5	
妻	tɕʰi1	
妾	tɕiɛt7	
姆	m̩m̩22	~妈
姊	tsu3	
始	sᴇ3	
姐	tɕia3	
姑	ku1	
姓	ɕiaŋ5	
委	ui3	
姚	iɛu2	
姜	tɕiɔŋ1	姓
姜	tɕiɔŋ1	生~
姥	lau3	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsu1	
威	ui1	
娃	ua1	
嬌	tɕiɛu1	
娑	sɔ1	
娘	ȵiɔŋ2	
娠	sɘn2	妊~
娩	miɛn3	
娛	ȵi2	
娶	tɕʰi3	
婆	pʰɔ2	
婊	piɛu3	
婚	fɘn1	
婢	pʰi5	
婪	lan2	
嬰	in1	
嬸	sɘn3	
婿	ɕit7	
媒	mai2	
媚	mi5	
媳	ɕit7	
嫁	ka5	
嫂	sau3	
嫌	ɕiɛn2	
嫖	pʰiɛu2	
嫡	tit7	
嫩	lɘn5	
嬉	ɕi3	
孀	sɔŋ1	
子	tsu3	
孔	kʰuŋ3	
孕	in5	
字	tsʰu5	
存	tsʰɘn2	
孫	sɘn1	~子
孝	ɕiau5	
孟	muŋ5	
季	tɕi5	
孤	ku1	
學	ɕiɔʔ7	
孩	hɔi2	
孵	fu1	
孽	ȵiɛt7	
寧	lin2	文
寧	lɘn2	白
宅	tsai5	
宇	i3	
守	sɘu3	
安	ŋɔn1	
宋	suŋ5	
完	fɛn2	
宏	fuŋ2	
宕	tɔŋ5	
宗	tsuŋ1	
官	kuɛn1	
宙	tʂʰɘu5	
定	tʰin5	
宛	uan3	
宜	ȵi2	
寶	pau3	
實	sɘt7	
寵	tʰuŋ3	
審	sɘn3	
客	kʰaʔ7	
宣	ɕiɛn1	
室	sɘt7	
宦	fan5	
宪	ɕiɛn5	
宮	kuŋ1	
宰	tsɔi3	
害	hɔi5	
宴	iɛn5	
宵	ɕiɛu1	
家	tɕia1	
容	iuŋ2	
寬	kʰuɛn1	
賓	pɘn1	
宿	ɕiuʔ7	
宿	ɕiuʔ7	住~，~舍
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	mɘt7	
寇	kʰiɛu5	
富	fu5	
寐	mɛt7	
寒	hɔn2	
寓	ȵi5	
寢	tɕʰin3	
寞	mɔʔ7	
察	tsʰat7	
寡	kua3	
寥	liɛu2	
寨	tsʰai5	
寸	tsʰɘn5	
對	tɘi5	
寺	su5	
尋	tɕʰin2	
導	tau3	
壽	sɘu5	
封	fuŋ1	
射	sa5	
將	tɕiɔŋ1	~来
將	tɕiɔŋ5	大~
尊	tsɘn1	
小	ɕiɛu3	
少	sɛu3	
少	sɛu5	~年
尔	ɘ3	
尖	tɕiɛn1	
塵	tʂʰɘn1	
尚	sɔŋ5	高~
嘗	sɔŋ2	
尤	iu2	
堯	iɛu3	
尬	kai5	
就	tɕʰiu5	
尷	kan1	
屍	ʂᴇ1	
尹	in3	
尺	tʰaʔ7	
尼	ȵi2	
尽	tɕʰin5	
尾	ui3	
尿	ȵiɛu5	
局	ɕiuʔ7	
屁	pʰi5	
層	tsʰɛn2	
居	tɕi1	
屉	tʰi5	
屆	kai5	
屋	uʔ7	
屍	ʂᴇ1	~体
屎	sᴇ3	
屏	pʰin2	文
屏	pʰɘn2	白
屑	ɕiɛt7	
展	tɛn3	
屬	søʔ7	
屠	tʰu2	
屢	lɘi3	
履	li3	
屯	tʰɘn2	
山	san1	
歲	suɘi5	
豈	ɕi3	
岐	tɕʰi2	
岑	tsʰɛn2	
岔	tsʰa1	
崗	kɔŋ3	
島	tau3	
巖	ian2	
嶺	lɘn3	文
嶺	liaŋ3	白
岳	iɔʔ7	
岸	ŋɔn5	
峽	ɕia2	
峰	fuŋ1	
崇	tsʰuŋ2	
崔	tsʰuɘi1	
崩	puŋ1	
嵌	tɕʰiɛn5	
嵩	suŋ1	
川	tʰuɔn1	
州	tʂɘu1	
巡	ɕin2	
巢	tsʰau2	
工	kuŋ1	
左	tsuɔ3	
巧	tɕʰiau3	
鞏	kuŋ3	
巫	u1	
差	tsʰa1	
差	tsʰai1	
己	tɕi3	
已	i3	
巳	su5	
巴	pa1	
巷	hɔŋ5	
巾	tɕin1	
幣	pʰi5	
市	sᴇ5	
布	pu5	~匹
布	pu5	宣~
帥	suɔi5	
帆	fan2	
師	su1	
希	ɕi1	
帳	tɔŋ5	
帕	pʰaʔ7	
帖	tʰiɛt7	
帘	liɛn2	
帚	tɘu3	
帝	ti5	
帶	tai5	动
席	ɕit7	
幫	pɔŋ1	
帷	ui2	
常	tsʰɔŋ2	
帽	mau5	
幅	fu5	
幔	man5	
幕	mɔʔ7	
干	kɔn1	~支
干	kɔn1	~湿
干	kɔn5	~部
平	pʰɘn2	
年	ȵiɛn2	
并	pʰɘn5	
幸	ɕin5	
幺	iɛu2	
幻	fan5	
幼	iu5	
幽	iu1	
廣	kuɔŋ3	
莊	tsɔŋ1	
慶	ɕin5	
庇	pʰi5	
牀	tsʰɔŋ2	
序	ɕit7	
廬	lu2	
庫	kʰu5	
應	in5	
底	ti3	
店	tiɛn5	
廟	miɛu5	
庚	kiɛn1	
府	fu3	
龐	pʰaŋ2	
廢	fɘi5	
度	tʰu5	
座	tsʰɔ5	
庭	tʰin2	
庵	ŋɔn1	
康	kʰɔŋ1	
庸	iuŋ1	
廉	liɛn2	
廊	lɔŋ2	
廓	kɔʔ7	
廖	liɛu5	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn5	
開	kʰɔi1	
异	i5	
弃	tɕʰi5	
弄	luŋ5	
弊	pi7	
式	sᴇ5	
弓	kuŋ1	
引	in3	
弗	fɘt7	
弘	fuŋ2	
弟	tʰi5	
張	tɔŋ1	
弥	mi2	
弦	ɕyɔn2	
彎	uan1	
弱	lɔʔ7	
彈	tʰan2	~琴
强	tɕʰiɔŋ2	~大
强	tɕʰiɔŋ3	勉~
歸	kui1	
當	tɔŋ5	
录	liuʔ7	
形	ɕin2	
彩	tsʰuɔi3	
彪	piɛu1	
彬	pɘn1	
彭	pʰaŋ2	
影	in3	文
影	iaŋ3	白
彷	fɔŋ3	
役	i5	
徹	tʰɛt7	
彼	pʰi3	
往	uɔŋ3	
征	tɘn2	
征	tɘn1	~求
徑	tɕin5	
待	tʰɔi5	
很	hɛn3	
徊	fuai2	
律	lɘt7	
徐	ɕi2	
徒	tʰu2	
得	tɛt7	
徘	pʰai2	
徙	ɕi3	
御	ȵi5	
循	ɕin2	
微	ui2	
德	tɛt7	
徽	fi1	
心	ɕin1	
必	pit7	
憶	i5	
忌	tɕi3	
忍	lɘn3	
忏	tsʰan5	
志	tʂᴇ5	
志	tʂᴇ5	永~不忘
忘	uɔŋ2	
忙	mɔŋ2	
忠	tuŋ1	
憂	iu1	
快	kʰuai5	
念	ȵiɛn5	
忽	fuʔ7	
忿	fɘn1	
懷	fai2	
態	tʰai5	
慫	suŋ5	
慪	ŋiɛu5	
怎	tsɛn1	
怒	lu5	
怕	pʰa5	
怖	pu5	
憐	liɛn2	
思	su1	
怠	tʰɔi5	
怡	i2	
急	tɕit7	
性	ɕin5	
怨	yɔn5	
怪	kuai5	
怯	tɕʰiɛt7	
怱	tsʰuŋ1	
總	tsuŋ3	
恃	sᴇ5	
戀	liɛn5	
恐	kʰuŋ3	
恆	hɛn2	
恕	søʔ7	
恢	fɘi1	
恤	ɕi1	
恨	hɛn5	
恩	ŋiɛn1	
恭	kuŋ1	
息	ɕit7	
恰	tɕʰiaʔ7	
懇	kʰiɛn3	
恶	ŋɔʔ7	
恶	ŋɔʔ7	凶~
惻	tsʰɛt7	
惱	lau3	
恿	iuŋ3	
悄	tɕʰiɛu1	
悉	ɕit7	
悔	fi3	
悟	u5	
悠	iu1	
患	fan5	
悦	iɔʔ7	
懸	ɕyɔn2	
憫	mɘn3	
悲	pi1	
悴	tsʰuɘi5	
情	tɕʰin2	
驚	tɕin1	
惑	fɛt7	
惜	ɕit7	
惟	ui2	
惠	fi5	
懼	tɕʰi5	
慘	tsʰuɔn3	
懲	tʰɘn3	
慚	tsʰan2	
慣	kuan5	
惰	tʰɔ5	
想	ɕiɔŋ3	
惹	la3	
愁	tsʰɛu2	
愈	i5	
愉	i2	
意	i5	
愕	ŋɔʔ7	
愚	i2	
感	kɔn3	
憤	fɘn5	
愧	kʰui1	
願	ȵyɔn5	
慈	tsʰu2	
慌	fɔŋ1	
慎	sɘn5	
慕	mu7	
慢	man5	
慧	fi5	
慨	kʰɔi3	
慰	ui5	
慷	kʰɔŋ3	
憋	pʰiɛt7	
憎	tsɛn1	
憨	hɔn1	
憾	hɔn3	
懂	tuŋ3	
懊	ŋau5	
懶	lan3	
懵	muŋ1	
懿	it7	
戈	kuɔ1	
戊	u5	
戌	ɕit7	
戍	hø5	
戎	luŋ2	
戲	ɕi5	
成	tʂʰɘn2	
我	ŋɔ3	
戒	kai5	
或	fɛt7	
戰	tɛn5	
戚	tɕʰit7	
截	tɕʰiɛt7	
戴	tai5	
戶	fu5	
戽	fu5	
房	fɔŋ2	
所	su3	
扁	piɛn3	
扇	sɛn5	
手	sɘu3	
才	tsʰɔi2	
扎	tsaʔ7	针~
扑	pʰuʔ7	
打	ta3	
扔	lɘn1	
托	tʰɔʔ7	
扛	kɔŋ1	
扞	hɔn3	
扣	kʰiɛu5	
執	tɘt7	
擴	kʰɔʔ7	
掃	sau5	~地
掃	sau5	~帚
揚	iɔŋ2	
扭	ȵiu3	
扮	pʰan5	
扯	tʰᴇ3	
擾	lɛu3	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ŋiɛt7	
找	tsau3	~零钱
承	tʂʰɘn2	
技	tɕʰi5	
抄	tsʰau1	
把	pa5	刀~
把	pa3	量
抑	it7	
抓	tsa1	用手~牌
投	tʰɛu2	
抖	tɛu3	
抗	kʰɔŋ2	
折	tɛt7	~叠
折	tɛt7	~断
折	sɛt7	~本
撫	fu3	
抛	pʰau1	
摳	kʰiɛu1	
搶	tɕʰiɔŋ3	
護	fu5	
報	pau5	
披	pʰi1	
抬	tʰɔi2	
抱	pʰau5	
抵	ti3	
抹	mɛt7	
押	ŋat7	
抽	tʂʰɘu1	~水
抿	mɘn1	
拄	tʰø3	~拐
擔	tan1	~任
擔	tan5	挑~
拆	tsʰaʔ7	~开
拇	mu3	
拈	ȵiɛt7	
拉	la1	
拌	pʰɛn5	
拍	pʰaʔ7	
拎	lɘn1	
拐	kuai3	
拒	tɕʰi5	
拓	tʰɔʔ7	
拔	pʰat7	
拖	tʰɔ1	~过来
拗	ŋau3	
拘	tɕi1	
拙	tɔt7	~劣
拚	pʰɘn1	
招	tɛu1	
拜	pai5	
擬	i3	
攏	luŋ3	
揀	kan3	
擁	iuŋ3	
攔	lan2	
撥	pɛt7	
擇	tsɛt7	
括	kʰuɛt7	
拯	tɘn3	
拱	kuŋ3	
拳	tɕʰyɔn2	
拴	suɔn1	
拷	kʰau1	
拼	pʰɘn1	
拽	tᴇ5	
拾	sɘt7	
拿	la7	
持	tʂʰᴇ2	
挂	kua5	
指	tʂᴇ3	
按	ŋɔn5	
挑	tʰiɛu1	
挖	ua1	
撓	lau2	
擋	tɔŋ3	
擠	tɕiɛ3	
揮	fi1	
挨	ŋai1	
挪	lɔ2	
振	tɘn5	
挺	tʰin3	文
挺	tʰiaŋ3	白
挽	uan3	
捅	tʂʰuŋ3	
捉	tsɔʔ7	
捋	lɔt7	
捎	sau1	
捏	ȵiɛt7	
捐	tɕyɔn1	
捕	pʰu1	
撈	lau1	
損	sɘn3	
換	fɛn5	
搗	tau3	
捧	fuŋ3	
据	tɕi5	
捱	ŋai2	
捷	tɕiɛt7	
捺	lat7	
捻	ȵiɛn3	
掀	ɕyɔn1	
掂	tiɛn1	
授	sɘu5	
