#漢字	音標	解釋
㩁	tɕʰio	~蒜
好	xəu3	喜~
如	y2	
妖	iəu1	
妹	mei5	
姊	tsɿ3	
始	sɿ3	
姐	tse3	
姑	ku1	
姓	ɕin5	
姨	i2	
娘	ȵiom2	
婆	po2	
婢	pi4	陽上
婦	fu4	陽上
媒	mei2	
媳	ɕie2	
嫁	ka5	
嫂	səu3	
嫌	xei2	
嫩	nən5	
嬌	tɕiəu1	
子	tsɿ	
字	tsʰɿ5	
存	tsʰən2	
孝	xau5	
季	tɕi5	
孤	ku1	
孫	sən1	
學	xau5	
孽	nie2	
守	ɕiəu3	
安	om1	
完	uei2	
官	kom1	
定	tin5	
宜	nin2	便~
客	kʰa5	
宰	tsai3	
害	xai5	
宵	ɕiau1	
家	ka1	
寄	tɕi5	
密	miɛ2	
寒	xom2	
寡	kua3	
實	ɕin2	疑誤
寧	lei2	~遠
寫	ɕia3	
寬	kʰom1	
寶	pəu5	
寸	tsʰən5	
寺	tsʰɿ5	
封	faŋ1	
射	ɕia5	
專	tsei1	
尊	tsən2	
尋	tɕʰin2	
對	tei5	
小	ɕiəu3	
少	səu3	多~
尖	tsei1	
尚	som5	和~
就	tɕʰiəu5	
尺	tɕʰia5	
尼	ni2	
尾	mie4	陽上
尿	niəu5	
屁	pʰi5	
屋	au	
屍	sɿ1	
屎	sɿ1	
屐	tɕʰia2	
屠	tu2	
層	tsʰaŋ2	
山	ɕie1	
岳	io2	~丈
岸	om5	
崩	paŋ1	
嵌	kʰei5	
嶺	lei4	陽上
州	tɕiəu1	
工	kuən1	
左	tso3	
巧	tɕʰiau3	
巫	u2	
差	tɕʰia1	~不多
巴	pa1	
巷	xaŋ5	
巾	tɕin1	
布	pu5	
帖	tʰie2	
帝	ti5	
師	sɿ1	
席	sɛ5	
帳	tɕiom5	
帶	tai5	
帽	məu5	
幅	fu5	
幫	pom1	
平	pei2	
年	nei2	
幾	tɕi3	~個
牀	tsʰom2	
底	ti3	
庵	om1	
廚	tɕʰy1	
廟	miəu5	
廢	fi5	
廣	kʰom3	
弟	ti3	陰上
張	tɕiom1	
強	tɕʰiom2	
彀	kau5	
彈	tom2	~琴
彎	ue1	
彩	tsʰai3	
彭	pom1	
影	in3	
彼	pi3	
待	tai3	陰上
很	na5	訓讀
後	xau5	去聲
後	xau5	去聲,~代
徒	tu2	
得	tɛ2	
徛	tɕʰi4	
德	tɛ2	
心	ɕin1	
忍	in4	陽上
忙	maŋ2	
快	kʰue5	
念	nei5	
怕	pʰa5	
急	tɕie2	
性	ɕin5	
怪	kai5	
恐	ɕyn3	
恨	xaŋ5	
恩	ŋən1	
悔	xuei3	
悶	maŋ5	
情	tɕin2	
惜	ɕie2	
惡	ŋo5	
惡	ŋo2	
惱	nau4	陽上
想	ɕiom3	
惹	ȵiɛ5	
愁	tsʰəu2	
意	i5	
愛	o5	
慌	xom1	
慢	miɛ5	
慣	kue5	
慪	au5	
憋	pi4	
憐	lei2	
懂	tən3	
應	in5	~當
應	in5	響~
懶	nom4	陽上
懷	xuai2	
成	suei2	
我	ŋo	例外
戒	kɛ5	
戚	tɕʰie2	
戲	tɕi5	演~
戴	tai5	
房	fom2	
所	so3	
扁	pei3	
扇	sei5	
手	ɕiəu3	
才	tsai2	
打	ta3	
托	tʰə2	
扣	kʰau5	
扭	niəu4	陽上
扮	piɛ5	
扯	tɕʰia3	
扳	pie1	
扶	fu2	
批	pʰi1	
抄	tsʰau1	
把	pa3	一~
投	tau2	
抖	tau3	
折	tɕie2	~疊
折	tɕie2	
披	pʰi1	
抬	to2	
抱	pau3	陰上
抹	ma2	
抹	ma4	
押	a5	
抽	tɕʰiəu1	
拆	tɕʰia5	
抛	pʰau1	
拍	pʰɛ2	
拔	pa2	
拖	tʰo	
招	tɕiəu1	
拜	pai5	
拳	kʰue2	
拼	pʰin1	
拿	məu3	訓讀
指	tsɿ3	
挑	tʰiəu3	
挖	uo5	
挾	kei2	
捋	lɛ2	
捐	tsei2	
捧	pʰaŋ3	
捨	ɕia3	~得
捲	kuei3	
掃	səu5	陰去,~地
掉	tʰiəu3	陰上
掌	tɕiom3	
排	pie2	
掛	kua5	
探	tʰom5	
接	tɕie2	
推	tʰei1	
提	te2	
插	tsʰɛ2	
換	om5	
揭	tɕie2	
揮	pʰin5	訓讀
搊	tsʰau1	
搓	tsʰo1	
摇	iəu2	
搜	sau1	
搞	kau3	
搬	pom1	
搭	tɛ2	
搲	ye4	陽上
搶	tɕʰiom2	
摘	tso1	
摳	kʰau1	
摸	məu3	
撈	ləu2	
撑	tɕʰie1	
撚	nei4	陽上
撞	tsʰuaŋ5	
撮	tɕye4	一~米
擇	tsʰia5	
擋	tom3	
擔	tom1	~任
擔	tom5	挑~
擠	tɕi3	
擦	tsʰa2	
擱	kɛ2	
擺	pie3	
攔	lom2	
攤	tʰom1	
攪	kau3	
支	tɕi1	
收	ɕiəu1	
改	kai3	
放	om5	
救	tɕiəu5	
敗	pie5	
教	kau5	~書
敢	kom3	
散	som3	~開
散	som5	分~
㪗	tʰau3	
敲	kʰau5	去聲
整	tsaŋ3	
敷	fu	
數	su3	~數
數	su5	數~
斗	tau3	
料	liəu5	
斜	tsʰe2	
斤	tɕin1	
斧	fu3	
新	ɕin1	
斷	tom4	
方	̊fom1	
旁	pom2	
旗	tɕʰi2	
日	ie2	
早	tsəu3	
旱	xom5	
明	mie2	
昏	xuən1	
易	i5	容~
星	ɕie1	
春	tɕʰyn1	
昨	tsʰɛ4	
是	ɕi4	陽上
時	sɿ2	
晝	tau5	
晨	ɕin2	
暖	nom	調值存疑
暗	om5	
曆	lie2	~書
曉	ɕiəu3	
曬	ɕie5	
更	kən1	五~
更	kaŋ5	~加
書	su	
曾	tsaŋ1	姓
替	tʰi5	
最	tsuei5	
會	xuei5	~不~
月	ye2	
有	xau4	陽上
朋	paŋ2	
服	fɛ2	
朝	tɕʰiəu	~代
木	mɛ2	
末	miɛ4	
本	paŋ3	
朶	to3	
杉	sa1	
李	li2	陽平,存疑
村	xu1	訓讀
杖	tsʰom4	
杯	pei1	
東	tən1	
杵	tɕʰy3	
杷	pʰa1	陰平,枇~
松	tsʰən2	~樹
板	piɛ3	
枇	pʰi2	
枉	uaŋ3	
枕	tɕin3	
果	ko1	
枝	tɕi1	
枯	kʰu1	
架	ka5	
柏	pa5	
柑	kom1	
染	lai4	陽上
查	tsʰa2	
柱	tsʰu4	陽上
柳	liəu4	陽上
柿	pi4	疑訓讀
栗	li2	
根	kaŋ	
格	kɛ2	
栽	tso1	
桃	təu2	
案	om5	
桌	tso5	
桐	tən2	
桑	som1	
桶	tʰən3	
桿	kom3	
梁	liom2	
梗	kaŋ3	
條	tiəu2	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
梳	su1	
棉	mei2	
棋	tɕʰi2	
棍	kuən5	
棕	tsən1	
棗	tsəu3	
棚	paŋ2	
棟	tən5	
椅	i3	
椒	tɕie1	
椽	tsʰuei2	
椿	tɕʰyn1	~樹
楊	iom2	
楓	faŋ1	
楚	tsʰu3	~公圩
楝	li5	苦~樹
業	nie2	借官
榜	pom3	
榨	tsa2	
榫	sən3	
榴	liəu2	
槌	tɕʰy2	
槍	tɕʰiom1	
槳	tɕiom3	
槽	tsəu2	
樁	ɕyn1	
樓	lau2	
標	piəu1	
樟	tsom1	
模	mu2	
樣	iom5	
樵	tɕiəu2	
樹	su5	
橋	tɕʰiəu2	
橙	tɕʰin2	
橫	xuən2	~直
檐	ei2	
櫃	tɕy	
欄	lom2	
權	kʰuei2	
欠	kʰei5	
次	tsʰɿ	調存疑
欺	tɕʰiom1	訓讀
歌	ko1	
歎	tʰom5	
歡	xom	
正	tsei1	~月
正	tɕin3	~面
步	pʰu5	
武	u5	去聲,或借官
歪	ue1	
歲	ɕi5	
歸	tɕiau5	疑訓讀
死	sɿ3	
段	tom5	
殺	sɛ2	
殼	xau5	
每	mei3	~人
毒	tye2	
比	pi3	
毛	məu2	
毯	tʰom3	
氣	tɕʰi5	
水	ɕy3	
汁	tɕie2	
求	tɕʰiəu2	
汗	xom2	出~
江	kom1	
池	tsʰɿ2	
汽	tɕʰi5	
沉	tɕʰin2	
没	mau2	
沓	tʰɛ2	
沖	tɕʰyn1	
沙	sa1	
河	xo2	
油	iəu2	
沾	kei5	存疑,~光
泉	tsʰei2	
法	fɛ2	
泡	pʰau5	水~
泡	pʰau5	~水
波	po1	
泥	ni2	
洋	iom2	
洗	ɕi3	
洪	xuən2	
活	xue2	
派	pʰai5	
流	liəu2	
浮	fəu2	
海	xai3	
浸	tɕin5	
涂	tu2	
消	ɕiau1	
涕	ȵiɛ2	
涼	liom2	
淋	tɕʰye5	訓讀
淘	təu2	
淡	tom2	陽平
淨	tsʰei3	
深	ɕin1	
混	xuən5	
淺	tsʰuei3	
添	tʰei1	
清	tsʰei1	
渡	tu5	
渣	tɕia1	
湊	tsʰau5	
湖	fu2	
湯	tʰom1	
準	tɕʰyn5	
溜	liəu4	陽上
溝	kau1	
溫	uən1	
滴	tɛ5	
滚	kuən5	
滿	mom4	
漂	pʰiəu5	~亮
漆	tɕʰie2	
漏	lau5	
漚	au5	
漢	xom2	
漱	sau5	
漲	tɕiom3	
漿	tɕiom1	
潑	pʰɛ4	
潭	tom2	
潲	sau5	
澀	sɛ2	
澄	tɕʰin2	~清
濁	tsʰɛ2	
濃	nom2	
濕	ɕie2	
瀉	se5	
灌	kom5	
灑	ɕia1	
灑	sa5	去聲
灘	tʰom1	
火	xo3	
灰	xuei1	
灶	tsəu5	
灸	tɕiəu3	
災	tsai2	
炒	tsʰau3	
炙	tɕia5	~火
炭	tʰom5	
炮	pʰau5	
烘	xom5	
烤	kʰau3	
焦	tɕiəu1	
煎	tsei1	
煙	ei1	
照	tɕiəu5	
煨	uei1	
煩	fiɛ2	
煮	tsu3	
熄	ɕie2	
熏	ɕyn1	
熟	ɕye2	
熱	ie5	
燃	nei2	
燈	taŋ1	
燒	ɕiəu1	
燕	iaŋ5	
燭	tɕye2	
爐	lu2	
爛	lie5	
爪	tsau2	
爬	pʰa1	陰平
爭	tɕie1	
爲	uei2	
片	pei2	
牌	pie	
牙	ŋa2	
牚	tɕiom2	
牛	niəu2	
牢	lau2	
物	ue2	
牲	ɕie1	
牽	xaŋ3	
犁	li2	
犯	fie4	
狀	tsʰom5	
狐	fu2	
狗	kau3	
狼	laŋ2	借官
猜	tsʰai5	去聲
猴	xau2	
獅	sɿ1	
獨	tə2	
玉	y1	借官
王	om2	
珍	tɕin1	
班	pie1	
現	ɕiaŋ4	~飯
球	tɕʰiəu2	
理	li2	陽平
琴	tɕʰin2	
瓜	kua1	
瓢	piəu2	
瓦	ŋa4	陽上
瓶	pin2	
瓷	tsʰɿ2	
甕	uən2	調例外
甘	kom1	
甜	tei2	
生	ɕie1	
用	yn5	
田	tei2	
男	nom2	
界	kɛ5	
留	liəu2	
畜	ɕye2	
畝	mu4	陽上
畫	xua5	
當	tom1	應~
當	tom5	~作
疑	ȵi2	
疤	pa1	
痂	ka1	
病	pei5	
痣	tsɿ5	
痱	pi1	
瘋	faŋ1	
瘟	ue1	
瘡	tsʰom1	
瘡	som1	
瘦	sau5	
瘸	kʰua2	
癢	iom4	陽上
癩	lie5	
癬	sei3	
發	fɛ2	
白	pa5	存疑
百	pa5	
皂	tsʰəu4	陽上
皇	xom2	
皮	pʰi2	
皺	tsau5	
盆	paŋ2	
益	iɛ2	
盒	xɛ2	
盛	tsai5	~飯
盜	təu5	
盞	tɕie3	
盡	tɕʰin1	陰平
盤	pom2	
直	tɕie2	
相	ɕiom1	~互
相	ɕiom5	~貌
眉	mi2	
真	tɕin1	
眨	tsɛ2	
眼	nie4	陽上
着	tɕiəu5	~衣
着	tɕiəu5	
睡	ɕie2	陽平,調存疑
瞎	xɛ2	
知	tɕi1	
矩	tɕy3	
短	tom3	
矮	ie5	去聲
石	ɕia5	
砌	tsʰɿ5	
砍	tɕʰie1	
破	pʰo5	
硝	ɕiau1	
硫	liəu2	
硬	ŋɛ5	
碎	tsʰuei5	
碑	pei1	
碓	tei5	
碗	om3	
碧	pie2	
確	tɕʰio2	
磚	tsuei1	
磨	mo2	~刀
磨	mo5	石~
磷	lin2	
礙	ŋai5	
祁	tɕʰi2	~陽
祖	tsu3	
神	ɕin2	
祠	tsʰɿ2	
票	pʰiəu5	
祭	tɕi5	
禍	xo4	
福	fɛ2	
禮	li4	陽上
禾	xo1	陰平
秀	ɕiəu5	
私	sɿ1	
秋	tɕʰiəu1	
科	kʰo1	
秕	pʰi3	
租	tsu1	
秤	tɕʰin5	
秧	iom1	
移	i2	
稀	ɕi1	
税	ɕy5	
稈	kom3	
稗	pai5	
稭	kəu1	
種	tɕyn3	~子
稱	tɕʰin1	~呼
穀	kue2	稻~
積	tɕie2	
穗	sei5	
穩	ue1	
空	xuən1	~虛
空	xuən5	有~
穿	tsʰei1	
窖	kau5	
窠	kʰo1	
窮	tɕʰyn2	
窯	iəu2	
竅	tɕʰiau5	
端	tom1	~午
竹	tɕye2	
笑	ɕiəu5	
笛	tɛ5	
符	fu2	
第	ti5	
筆	piɛ2	
等	taŋ3	
筋	kaŋ1	
筍	sən3	
筒	tən2	
答	tɛ2	
筷	kʰue5	
箍	ku1	
算	som5	
管	kom1	同“官”音
箭	tsuei5	
箱	ɕiom1	
節	tɕie2	
篙	xau1	
篦	pi5	~子
篩	ɕie1	
篷	paŋ2	
簸	po5	~一下
簸	po	~箕
簽	sei1	
籠	lən2	
籮	lo2	
米	mi4	陽上
粉	faŋ3	
粒	la2	
粗	tsʰu1	
粥	kɛ1	
粱	liom2	
糉	tsən5	
精	tsai1	
糖	tom2	
糙	tsʰəu5	
糞	faŋ5	
糟	tsəu1	
糠	xom1	
糧	liom2	
糯	no5	
紅	xuən2	
納	na2	
純	ɕyn2	
紗	sa1	
紙	tsɿ3	
素	su5	
紡	fom3	
紫	tsɿ3	
細	ɕi5	
終	tɕyn1	
結	tɕie2	
絶	tɕye2	
絞	kau3	
給	om3	訓讀
絨	yn2	
絲	sɿ1	
綑	kʰuən3	
經	tɕin1	
綠	lye2	
綢	tɕʰiəu2	
網	mom4	陽上
緊	tɕin3	
線	sei5	
緞	tom5	
緣	uei2	
縐	tsau5	
縣	xuei5	
縫	lie2	疑聯訓讀,~衣服
縫	nie2	訓讀,一條~
縮	su2	
總	tsən3	
績	tɕie2	
織	tɕie2	
繡	ɕiəu5	
繩	ɕyn2	
繰	tɕʰiəu5	
繼	tɕi5	
續	su2	借官
纏	kʰuei2	疑訓讀
缸	kom1	
缺	tɕʰye2	
罐	kom5	
罩	tsau5	
罪	tsʰuei3	陰上
罰	fɛ2	
罵	ma5	
羅	lo2	
羊	iom2	
羔	kəu1	
義	ni5	
羹	kaŋ1	
翅	tsɿ4	陽上
習	ɕie2	
翻	fiɛ1	
老	ləu4	
考	kʰau3	
耍	kau1	訓讀,玩~
耐	nai5	
耳	ɛ4	陽上
耽	tom1	
聰	tsʰən1	
聲	sei1	
聽	tʰei5	~見
聾	lən2	
肉	uo2	
肋	lɛ2	
肘	tɕiəu3	
肚	tu4	陽上
肝	kom1	
肥	fi2	~肉
肩	kiɛ1	
肫	tɕʰyn1	
肯	xaŋ3	
肺	fi5	
背	pei5	~脊
胎	tʰai1	
胞	pau1	
胸	ɕiom1	
能	laŋ2	
脂	tɕi1	
脉	mɛ2	
脱	tʰɛ4	
脹	tɕiom5	
脾	pi2	
腌	ei1	
腎	ɕin3	
腐	fu4	陽上
腡	lo2	
腥	sei1	
腦	nəu4	陽上
腫	tɕyn3	
腮	sai1	
腰	iəu1	
脚	tɕiəu5	
腸	tsʰom2	
腿	tʰei3	
膏	kəu1	
膘	piəu	
膝	tɕʰie2	
膩	ni5	
膽	tom3	
膿	lən2	
臂	pi5	
臊	səu1	
臘	lɛ2	
自	tsɿ5	
臭	tɕʰiəu5	
舂	ɕyn1	
舅	tɕʰiəu4	陽上
興	ɕin	調例外,~旺
舉	tɕy3	
舌	ɕie5	
舐	tiɛ4	陽上
舒	su	
舔	lɛ2	訓讀
舞	u5	去聲,或借官
舵	to4	
船	suai2	
色	sɛ2	
艾	ŋai5	
芋	u5	
花	xua1	
芹	tɕʰin2	
芽	ŋa2	
苗	miəu2	
苦	kʰu3	
苧	tsʰu3	陰上
茄	tɕʰia1	陰平
茅	mau2	
茶	tɕʰia2	
草	tsʰəu3	
荒	xom1	
荷	xo2	
菊	tsu2	
菌	tɕʰyn4	
菜	tsʰo5	
菠	po1	
菢	pu5	
菩	pʰu2	
菱	lin2	~角
落	lau5	
葉	ie5	
葬	tsom5	
葵	kʰuei2	借官
蒙	mom2	
蒜	som5	
蒲	pʰu2	
蒸	tɕin1	
蒿	xəu1	
蓋	ko5	
蓑	so1	
蓖	pʰi4	
蓬	paŋ2	
蓮	lei2	
蔑	mie2	
蔗	tɕie2	
葱	tsʰən1	
蕉	tɕiəu1	
蕎	tɕʰiəu	
薄	pəu5	
薅	xəu1	
薑	tɕiom1	
薩	sa2	
薯	ɕy2	紅~
薺	tsʰɿ4	
藍	lom2	
藏	so5	訓讀,隱~
藕	au4	陽上
藝	ȵi4	
藤	taŋ2	
藥	io5	
虎	fu3	
虚	ɕy	
號	xəu5	
虧	kʰuei1	
虱	sə2	
虹	xom2	
蚊	maŋ4	
蚌	paŋ4	陽上
蚣	kuən1	
蚤	tsəu3	
蛆	tɕʰy1	
蛇	ɕia2	
蜕	tʰei5	
蜂	pʰaŋ1	
蜇	tsom5	訓讀,~人
蜈	o2	
蜜	miɛ2	
蝦	ɕia1	
融	yn2	
螢	iom2	
螺	lo2	
蟄	tɕʰie2	驚~
蟲	tɕʰyn2	
蟻	ni5	去聲
蠟	lɛ2	
蠢	tən5	
蠢	tɕʰyn3	
蠻	miɛ2	
血	ɕye2	
行	xom2	銀~
術	ɕye2	
街	kɛ1	
衙	ŋa2	~門
衣	i1	
表	piəu3	
袋	to5	
袍	mau2	
袖	ɕiəu5	
裁	tsai2	
裙	tɕʰyn	
補	pu3	
裝	tɕiom1	
褪	tʰei5	
褲	kʰu5	
襪	ua2	
西	ɕi1	
要	iəu5	想~
見	kei2	
規	kuei1	
親	tɕʰin1	~戚
親	tɕʰin1	~家
覺	kau5	
觀	kom5	寺~
角	kau5	牛~
解	kɛ3	
討	tʰəu3	
記	tɕi5	
許	ɕy3	
試	sɿ5	
詩	sɿ1	
話	xua5	說~
該	kai1	
詳	ɕiom2	
誇	kʰua5	
誤	u5	
課	kʰo5	
調	tiəu2	~羹
調	tiəu5	~動
談	tom2	
請	tsʰei3	
諸	tɕʰy3	
諾	ia2	
謎	mi2	
謝	se5	
證	tɕin1	
識	ɕie2	
譜	pʰu3	
讀	tie2	
變	pei5	
讓	iom5	
豆	tie5	
豉	sɿ5	
豌	uei2	
豎	ɕy3	陰上,或借官
豬	tsu1	
豹	pau5	
豺	tsʰai2	
貌	mau5	
貍	li2	
猫	mau2	陽平
貝	pei5	
財	tsʰai2	
貨	kʰo5	
貪	tʰom1	
貴	tɕy5	
買	mie4	陽上
費	fi5	
貼	tʰie2	
賀	xo5	
賒	ɕia1	
賞	ɕiom3	
賠	pei2	
賣	mie5	
賤	tsʰei5	
質	tɕie1	
賬	tɕiom5	
賭	tu3	
賴	lie5	
賺	tɕʰye5	
贏	ei2	
贖	ɕye2	
赤	ɕia5	
走	tsau3	
起	tɕʰi3	
超	tɕʰiau2	去聲
越	ye2	
趕	kuei3	
趣	tɕʰi5	
趾	tsɿ3	
跌	tie2	
跟	kaŋ1	
跨	kʰua5	
跪	tɕʰy4	
路	lu5	
跳	tʰiəu5	
踏	tɛ2	
踢	tʰɛ5	
蹄	ti2	
蹲	tsau3	訓讀
躁	tsʰəu4	
身	ɕin1	
躱	to3	
車	tɕʰia1	~馬
車	tɕy1	~馬炮
軋	ŋɛ2	
軍	tɕyn1	
軛	a5	
軟	uai4	陽上
輕	kʰei1	
輛	liom5	
輩	pei5	
輪	lən2	
輸	ɕy1	~錢
轉	tsʰuei5	
轎	kʰɛ5	
辛	ɕin1	
辣	la2	
辮	pin3	
農	lom2	
近	tɕʰin4	陽上
迷	mi2	
追	kuei1	
退	tʰei5	
送	sən5	
逃	təu2	
透	tʰəu5	
逗	tau1	陰平
通	tʰən1	
連	lei2	
逼	pie2	
運	yn5	
過	ko5	
道	tʰəu2	
遠	uei4	陽上
遮	tɕia1	
遲	tsʰɿ2	
選	sei3	
避	pi2	陽平
還	ue2	~錢
還	xai2	借官,~有
邊	pei1	
邪	ɕie2	
郎	lom2	
郭	ko1	存疑
都	tu1	
鄉	ɕiom1	
鄧	taŋ5	
鄰	lin2	
配	pʰei5	
酒	tɕiəu3	
酸	som1	
醃	ei1	
醉	tɕi5	
醋	tsʰu5	
醒	sei3	
醜	tɕʰiəu3	
醬	tɕiom5	
釀	iom5	
里	li2	陽平,存疑,公~
里	li2	陽平,~外
重	tɕʰyn4	陽上,輕~
野	ia3	陰上
量	liom2	~長短
金	tɕin1	
釘	tie1	鐵~
釘	tie5	~住
針	tɕin1	
釣	tiəu5	
鈴	lin2	
鉗	kʰei2	
鉢	pɛ2	
鉤	kau1	
銀	in2	
銃	tɕʰyn5	
銅	tən2	
銷	ɕiau1	
鋤	tsʰu2	
鋪	pʰu1	~床
鋪	pʰu5	店~
鋸	tɕy5	~子
鋸	kɛ5	~樹
鋼	kom1	
錐	tɕy1	
錘	tɕʰy2	
錢	tsʰei2	
錫	sɛ5	
錯	tsʰo5	陰入
錯	tsʰo4	
錶	piəu3	
鍋	tɕʰie1	鐺
鎖	so3	
鎮	tɕin1	
鏇	tsʰuei5	
鏟	tɕʰie3	
鏡	tɕin5	
鏽	ɕiəu5	
鐘	tɕyn1	
鐮	lei2	
鐵	tʰie4	
鑼	lo2	
長	tɕiom3	~生
長	tsʰom2	~短
門	maŋ2	
閂	suaŋ1	
閃	kei5	
開	xo1	
閏	yn5	
間	kɛ1	
閹	ei1	
閻	ei2	
闊	kʰo2	
關	kue1	
防	fom1	
陡	tau3	
院	uei2	
陣	tɕʰin2	
除	tɕʰy2	
陪	pei2	
陰	in1	
陳	tɕʰin2	
陽	iom2	
階	kɛ1	
隔	ka5	
