#漢字	音標	解釋
㵺	pʰai2	竹排
伶	leŋ2	聪明~俐[文]
伶	leŋ2	~俐(干净)[白]
伸	ʃɐŋ1	~展，延~[文]
伸	ʃɐŋ1	~手[白]
伺	ʃi6	~候，~机而动
似	tʃʰi5	相~，~乎[文]
似	tʃʰi5	好~(好像)[白]
但	taŋ6	~係(但是)，不~
佈	pou5	公~，~置
位	wɐi6	座~，~置
低	tɐi1	高~
住	tʃy6	~宿
佐	tʃɔ	辅~
佔	tʃiŋ5	~领，~地方
何	hɔ2	姓;如~
余	jy2	姓
佛	fɐk8	拜~
作	tʃɔk7b	工~，种~
你	lei5	~们，第二人称[文]
你	lei5	第二人称[白]
佢	kʰøy5	他，第三人称
佩	pʰui5	~服
佳	kai1	~人，~节
倂	pʰeŋ5	合~
使	ʃi5	~用，假~，大~馆
來	lɔi2	过~，~去
侈	tʃʰi	奢~
例	lɐi6	举~，~外
侍	ʃi6	服~，~卫
供	koŋ1	提~，~应
供	koŋ1	~细人(生小孩)
依	ji1	~靠
俠	hɐʋʔ8	武~
侮	mou5	~辱
侯	hɐu2	姓;诸侯
侵	tʃʰɐŋ1	~略
便	piŋ6	~宜
便	piŋ6	方~
係	hɐi6	关~[文]
係	hɐi6	是[白]
促	tʃʰok7a	督~，~进
俄	ɔ2	~罗斯
俊	tʃɐŋ5	英~
俏	tʃʰiu5	俊~
俗	tʃok8	风~
俘	fu1	~虏
保	pou	~护
信	ʃɐŋ5	相~
修	ʃɐu1	装~，~正
俯	fu	~卧撑，~视
倶	kʰøy1	~备，~乐部
俸	foŋ	~禄，薪~
倉	tʃʰɔŋ1	~库
個	kɔ5	两~，~别
個	kɔ5	我~(我的)
倍	pʰui5	~数
倒	tou	颠~
倒	tou	~水，~退
倔	kʰuɐk8	~强
倘	tʰɔŋ5	~使
候	hɐu6	~车室，等~
倚	ji1	~靠，~老卖老
借	tʃɛ5	~钱
倡	tʃʰɔŋ1	提~
倣	fɔŋ	~效
倦	kyŋ6	疲~
倪	lei2	姓，~萍
倫	lœn2	~理，天~之乐
倭	wɔ1	~寇
値	tʃek8	价~，~日
假	ka	真~，~设
假	ka5	放~，~期
偉	wɐi5	~大
偏	pʰiŋ1	~~，~僻
做	tʃou6	~好事
停	tʰeŋ2	~止
健	kiŋ6	~康
側	tʃɐk7a	~面
偵	tʃeŋ1	~察，刑~
偶	ɐu5	配~，~然
偸	tʰɐu1	小~
傅	fu6	师~[文]
傅	fu6	姓[白]
傍	pʰɔŋ2	~晚
傍	pʰɔŋ2	~菜(以菜送饭)
傑	kik8	~出
備	pei6	准~，~用
催	tʃʰɔi1	~促，~眠
傲	ou6	骄~
傳	tʃʰyŋ2	~达，流~
傳	tʃyŋ6	~记，自~
債	tʃai5	欠~
傷	ʃɔŋ1	受~
傻	ʃɔ2	~瓜，~子
傾	kʰeŋ1	~向，左~
僅	kɐŋ	~~，不~
像	tʃɔŋ6	好~，相~
像	tʃɔŋ6	头~，~章
僑	kʰiu2	华~
僕	pok8	奴~，~人
僞	ɐi6	虚~
僥	hiu1	~幸
僧	tʃɐŋ1	唐~，沙~
僧	tʃɐŋ1	~人
僵	kɔŋ1	冻~，~硬
價	ka5	~钱，~值
僻	pʰek7a	偏~，~静
儀	ji2	礼~，~式
億	jek7a	十~
儉	kiŋ6	勤~
儒	jy2	~家思想
儘	tʃœn6	~管，~早
償	ʃɔŋ2	赔~
優	jɐu1	~秀
儲	tʃʰy5	~蓄
允	wɐŋ5	~许
元	jyŋ2	~旦[文]
元	jyŋ2	一~钱[白]
兄	heŋ1	~弟
充	tʃʰoŋ1	~分，冒~
兆	ʃiu6	预~;人名用字
兇	hoŋ1	~恶
先	ʃiŋ1	祖~，~进，~生
光	kɔŋ1	阳~，~明
克	hak7a	~服，攻~
免	miŋ5	难~，~除
兌	tɔi5	~水，~换
兒	ji2	~童
兔	tʰou5	野~
兜	tɐu1	~风
入	jɐʋʔ8	~门，进~
內	lɔi6	~行，~外
全	tʃʰyŋ2	~部，安~
兩	lɔŋ5	~个
兩	lɔŋ	半斤八~
八	pak7b	数字
公	koŋ1	~安，办~
六	lok8	数字
兮	hɐi2	神经~~
共	koŋ6	一~，~同
兵	peŋ1	当~
其	kʰei2	~他，~实
具	køy6	~体
典	tiŋ	~型，词~
兼	kiŋ1	~职
冊	tʃʰak7b	两~，~封
再	tʃɔi5	~来
冒	mou6	~充，感~
冚	hɐŋ6	盖住
冠	kuŋ5	衣~，鸡~花
冠	kuŋ5	~军
冤	jyŋ1	~枉
冬	toŋ1	过~，~节(冬至)
冰	peŋ1	结~，~箱
冷	laŋ5	~热，~清
準	tʃœn	批~，~确
涼	lɔŋ2	天~
凍	toŋ5	冰~，~伤
凜	lɐŋ5	威风~~
凝	jeŋ2	~聚，~结
凝	jeŋ2	凝固，~油[训]
凝	jeŋ2	冰霜，霜~[训]
几	kei	茶~
凡	faŋ2	平~
凰	wɔŋ2	凤~
凱	hɔi	~旋
凳	tɐŋ5	凳子
凶	hoŋ1	吉~
凸	tɐk8	~起
凹	lɐʋʔ7a	~面镜
出	tʃʰɐk7a	~入，~发
函	haŋ2	~授，信~
刀	tou1	菜~
刁	tiu1	~钻，嘴~
刃	jɐŋ6	刀~
分	fɐŋ6	~数，区~[文]
分	fɐŋ1	给[白]
切	tʃʰik7b	~菜
刊	hɔŋ	报~
刎	mɐŋ5	自~
刑	jeŋ2	判~，~法
列	lik8	排~;~宁(人名)
列	lik8	两~(两排)[白，量]
初	tʃʰɔ1	当~，~中
判	pʰuŋ5	~断，审~
別	pik8	离~，分~
刨	pʰau2	~地，~花板
利	lei6	~润，有~
刪	ʃaŋ1	~除
別	pik8	区~
刮	kuak7b	~毛，搜~
到	tou5	~站
刴	tɔk7a	~猪肉，~肉丸[训]
制	tʃɐi5	~度
刷	tʃʰak7b	~牙，牙~
券	kyŋ	国库~，证~
刺	tʃʰi5	~激，穿~
刻	hak7a	时~ ，~画[文]
刻	hak7a	~字[白]
剃	tʰɐi5	~头
則	tʃɐk7a	否~，规~
削	ʃɔk7b	~皮，剥~
前	tʃʰiŋ2	从~，~后
剔	tʰek7a	挑~
剖	fɐu	解~
剛	kɔŋ1	~才，~好
剝	ʃɔk7a	~削，~皮
剩	ʃeŋ6	~下，~余
剪	tʃiŋ	~刀
剮	hua	千刀万~
副	fu5	正~
割	kɔk7b	~禾(割稻)
創	tʃʰɔŋ5	开~，~造
剿	tʃiu	围~，~匪
劃	wa1	~船
劃	wak8	计~，~线
劇	kʰɛk8	~烈，京~[文]
劇	kʰɛk8	快[白]
劈	pʰek7a	~开，用刀~，雷~
劉	lɐu2	姓
劊	kʰui	~子手
劍	kiŋ5	宝~
劑	tʃɐi1	一~药，药~
力	lek8	大~，~量
功	koŋ1	~夫，成~
加	ka1	~工
劣	lyk8	~质，恶~
助	tʃɔ6	帮~
努	lou5	~力
劫	kiʔ7b	抢~
勁	keŋ5	有~，~敌
勃	puk8	勃，蓬~，生机~~
勇	joŋ5	~敢
勉	miŋ5	~强，~励
勒	lɐk8	~索
動	toŋ6	~作[文]
動	toŋ6	~来~去[白]
勘	hɐŋ1	~误，~探
務	mou6	任~，~农
勝	ʃeŋ5	~任
勝	ʃeŋ5	~利，战~
勞	lou2	~动
募	mou6	~捐
勢	ʃɐi5	~力，有权有~
勤	kʰɐŋ2	~劳
勳	kʰɐŋ1	~章
勵	lɐi6	鼓~
勸	hyŋ5	规~
勺	tʃɔk7b	饭~
勻	kuɐŋ1	均~
勾	ɐu1	~心斗角，~引
勾	ɐu1	~当
勿	mɐk8	非礼~视
化	fa5	变~
北	pɐk7a	东南西北
匙	ʃi2	锁~，汤~
匠	tʃɔŋ6	木~
匡	hɔŋ1	~扶正义;赵~胤(人名)
匣	hɐʋʔ8	匣子
匪	fei	土~
匯	wui6	~报，~款
匹	pʰɐʋʔ7a	~配
區	kʰui1	姓
匾	pʰiŋ	牌~
匿	lek7a	~名信
區	kʰøy1	地~，~别
十	ʃɐʋʔ8	数字
千	tʃʰiŋ1	~万
升	ʃeŋ1	~级
午	ŋ̍5	中~，端~
半	puŋ5	一~，~日
卑	pei1	自~，~鄙
卒	tʃek7a	兵~，小~
卓	tʃɔk8	~越;姓，~别林
協	hiʔ7b	~会，~作
南	laŋ2	东南西北
博	pɔk7b	~士，广~
卜	pɔk8	占~;姓
卜	pɔk8	萝~
占	tʃiŋ5	~卜
卦	kua5	八~
卯	mau5	地支，子丑寅卯
印	jɐŋ5	手~
危	ɐi2	~险，安~
卵	lœn	鸡~(鸡蛋)，~生
卷	kyŋ	试~[名]
卸	ʃɛ5	~货，推~
卻	kʰɔk7b	退~，~步
卽	tʃek7a	~时，立~
卿	heŋ1	~家;人名用字
厚	hɐu5	忠~
原	jyŋ2	~来，平~
厭	jiŋ5	讨~
厲	lɐi6	严~，~害
去	høy5	来~，过~
參	tʃʰaŋ1	~军，~加
參	tʃʰaŋ1	~差不齐
參	ʃɐŋ1	人~
又	jɐu6	~来
叉	tʃʰa1	刀~，~腰
及	kɐʋʔ8	~时
友	jɐu5	朋~，~谊
反	faŋ	~对，造~
叔	ʃok7a	二~，~~
取	tʃʰøy	~钱
受	ʃɐu6	接~
叛	pʰuŋ5	~徒，背~
叢	tʃʰoŋ2	草~，~书
口	hɐu	~头，开~
口	hɐu	一~饭
古	ku	~代
句	køy5	~号
另	leŋ6	~外
叩	kʰɐu5	~头
只	tʃi	~有
叫	kiu5	大~;小孩哭
召	tʃiu6	号~，~集
可	hɔ	~能，许~证
台	tʰɔi2	天台
史	ʃi	历~
右	jɐu6	左~
司	ʃi1	公~，~令
吁	høy1	气喘~~，长~短叹
各	kɔk7b	~人
吆	mɔ1	~喝
合	hɐʋʔ8	~作，~适[文]
合	hɐʋʔ8	~本，~伙[白]
吉	kɐk7a	~利
吊	tiu5	上~，~车
同	tʰoŋ2	相~，~学
名	meŋ2	姓~
后	hɐu6	皇~
吏	lei6	官~
吐	tʰou5	~痰;呕~
向	hɔŋ5	~东
君	kuɐŋ1	~子
吝	leŋ2	吝啬
吞	tʰɐŋ1	~口水
吟	jɐŋ2	~诗
吠	fɐi6	狗~
否	fɐu	是~，~定
吧	pa1	酒~
含	hɐŋ2	包~[文]
含	hɐŋ2	~糖[白]
吳	ŋ̍2	姓
吵	tʃʰau	~人，争~
吸	kʰɐʋʔ7a	呼~，~引
吹	tʃʰøy1	~牛皮，~喇叭
吻	mɐŋ5	接~
呂	løy5	姓
呃	ak7a	欺骗
呆	ɔi2	~板
呈	tʃʰeŋ2	~现，辞~
吿	kou5	报~，~状
周	tʃɐu1	姓;~围，~年
味	mei6	~道，~精
呼	fu1	称~，~吸，招~
命	meŋ6	~令[文]
命	meŋ6	~运，算~[白]
和	ɔ6	~平，~气[文]
和	ɔ2	~尚[白]
和	ɔ2	唱~，~诗
咐	fu	吩~
咒	tʃɐu5	~人
咨	tʃi1	~询
咪	mɐi1	麦克风
咬	au5	~人
咳	kʰɐk7a	~嗽，止~糖浆
咸	haŋ2	~丰皇帝
哀	ɔi1	悲~
品	pɐŋ	~德
哄	hoŋ	~骗
員	jyŋ2	人~，~工
哥	kɔ1	大~，学生~
哨	ʃau5	口~
哪	la5	~里
哪	la5	~吒
哭	hok7a	~泣
哮	hau1	~喘
哲	tʃik8	~学
哽	kʰɐŋ	哽住，骨头~到
唆	ʃɔ1	~使
唐	tʰɔŋ2	~朝;姓
唔	ŋ̍2	不
售	ʃɐu6	~货，出~
唯	wɐi2	~物主义
唱	tʃʰɔŋ5	~歌
唾	tʰɔ5	~弃，~液
啄	tɔk7b	~木鸟，鸡~米
商	ʃɔŋ1	~量，经~
問	mɐŋ6	~题
啞	a	哑巴，~佬
啟	kʰɐi	~发
啱	aŋ1	合适，恰巧
啼	tʰɐi2	哭哭~~[文]
啼	tʰɐi2	鸡~[白]
善	ʃiŋ6	~良，心~
喉	hɐu2	~咙
喊	haŋ5	叫[文]
喊	haŋ5	叫[白]
喘	tʃʰyŋ	哮~
喚	wuŋ6	呼~
喜	hei	~欢
喝	hɔk7b	吆~，~彩
喧	hyŋ1	~哗，~闹
喪	ʃɔŋ1	婚~，~事
喪	ʃɔŋ5	~失
喬	kʰiu2	姓
單	taŋ1	~独
單	taŋ1	姓
喩	jy6	比~
嗅	tʃʰɐu5	~觉
嗇	ʃek7a	吝啬
嗓	ʃɔŋ1	金~子
嗜	ʃi5	~好
嗽	ʃɐu5	咳~
嘆	tʰaŋ5	~气
嘉	ka1	~宾
嘔	ɐu	~吐
嘗	ʃɔŋ2	~试，品~
噓	høy1	吹~
嘢	jɛ5	东西
嘮	lau2	~叨
嘴	tʃøy	嘴巴[文]
嘴	tʃøy	嘴巴[白，训]
嘻	hei1	~皮笑脸
噍	tʃʰiu2	嚼
器	hei5	武~，机~，~重
噴	pʰɐŋ5	~水;~嚏
嚇	hak5	~人
嚇	hak7b	~一跳
嚥	jiŋ1	~喉
嚴	jiŋ2	~格;姓
嚼	tʃɔk7b	咀~，~碎
囂	hiu1	~张
囉	lɔ2	喽~，~嗦
囊	lɔŋ2	背~
囑	tʃok7a	遗~，~托
囚	tʃʰɐu2	~犯
四	ʃei5	数字
回	wui2	~想[文]
回	wui6	~礼[白]
因	jɐŋ1	原~
囤	tʰyŋ2	~积
囪	tʰoŋ1	烟~
困	kʰuɐŋ5	~难
固	ku5	~定
圈	hyŋ1	圆~，~套
國	kuɔk7b	~家，中~
圍	wɐi2	包~，~墙
園	jyŋ2	菜~，花~
圓	jyŋ2	团~
圖	tʰou2	画~，地~
團	tʰyŋ2	~结，~长
土	tʰou	~地
在	tʃɔi6	实~，现~[文]
在	tʃɔi6	存在，还~[白]
圭	kuɐi1	人名用字;乌拉~
地	tei6	土~
圳	tʃɐŋ5	深~;田中小沟
址	tʃi	地~
均	kuɐŋ1	平~，~匀
坍	tʰaŋ1	~塌
坎	hɐŋ1	~坷
坐	tʃʰɔ5	~车，~稳
坑	haŋ1	水~，~沟
坡	pɔ1	山~，~度
坤	kʰuɐŋ1	乾~
坦	tʰaŋ	~白，~克
坪	pʰeŋ2	草~
坯	pʰui1	泥~，毛~房
坳	jɐu5	山~，~背
坼	tʃʰak7b	裂开，爆~
垂	ʃɔi2	下~，~头丧气
型	jeŋ2	~号，类~
垢	kɐu5	水~
垮	kʰua1	~台
垻	pa	平地，湖洋~
埃	ɔi1	尘~，~及
埋	mai2	~伏
城	ʃeŋ2	~市，县~
域	wek8	领~，地~
埠	fɐu6	开~
埠	fɐu6	庵~，蚌~(地名)
執	tʃɐʋʔ7a	~行，~法
培	pʰui2	~训
基	kei1	~本，地~
堂	tʰɔŋ2	~兄，拜~，课~
堅	kiŋ1	~强
堆	tɔi1	一~[量]，~放[动]
堡	pou	碉~
堤	tʰɐi2	河~，~坝
堪	hɐŋ1	难~，不~
堯	jiu	~舜禹
堰	jiŋ	坝，都江~
報	pou5	~告，日~
場	tʃʰɔŋ2	排~，~地
堵	tou	~车，~塞
塊	fa5	一~钱，~头
塌	tʰɐʋʔ7b	倒~
塑	ʃɔk7b	雕~，~料
塔	tʰɐʋʔ7b	宝~
塗	tʰou2	糊~，~改
塘	tʰɔŋ2	鱼~
塞	ʃɐk7a	堵~，~车
塡	tʰiŋ2	~空
塵	tʃʰɐŋ2	灰~，~灰
境	keŋ	环~，~界
墅	ʃøy6	别~
墊	tiŋ	~钱，座~
墓	mou6	坟~，~地
墜	tɔ6	下~，玉~[文]
增	tʃɐŋ1	~加
墟	høy1	~日
墨	mɐk8	~水
墩	tœn1	桥~
墳	fɐŋ2	~墓，上~
墾	hɐŋ	开~
壁	pek7a	墙~
壇	tʰaŋ2	天~，文~
壓	ak7b	~力
壕	hou2	战~
壘	løy5	堡~，~球
壞	wai6	~人
壟	loŋ5	~断
壢	lɛk8	地~(旱地)
壤	jɔŋ6	土~
壩	pa5	堤，溪~
士	ʃi6	~兵
壬	jɐŋ2	天干，庚辛壬癸
壯	tʃɔŋ5	强~
壺	fu2	水~
壽	ʃɐu6	长~
夏	ha6	姓
夏	ha6	春~秋冬
夕	tʃek8	~阳
外	ɔi6	~面
多	tɔ1	~少
夜	jɛ6	日~，~班
夠	kɐu5	足~
夢	moŋ6	发~
夥	fɔ	合~，~计
大	tai6	~夫，~黄
大	tai6	大小
天	tʰiŋ1	~才
太	tʰai5	老~婆
夫	fu1	~妻，车~
夭	jiu1	~折
央	jɔŋ1	中~台，党中~[文]
央	jɔŋ1	中~(中间)[白]
失	ʃɐk7a	~去，丧~
夷	ji2	化险为~，蛮~
夾	kɐʋʔ7b	夹子;~心饼干
奀	ɐŋ1	瘦小
奇	kʰei2	~怪
奈	lɔi6	无~，~何
奉	foŋ6	~献，~承
奎	fui1	人名用字;~宁(药名)
奏	tʃɐu5	节~
契	kʰɐi5	房~，~约
奔	pɐŋ1	~跑，东~西走
套	tʰou5	配~，~房
奚	kʰɐi1	~落
奠	tiŋ6	~基
奢	tʃʰɛ1	~侈
奧	ou5	~妙，~运会
奪	tyk8	~取
奮	fɐŋ5	~斗
女	løy5	女人
奴	lou2	~隶
奶	lai5	二~，~牛
奸	kaŋ1	~诈，~臣
好	hou	~人
好	hou5	爱~
如	jy2	~果，假~
妃	fei1	贵~
妄	mɔŋ5	狂~，痴心~想
妓	kei6	~女
妖	jiu	~怪
妙	miu6	~计
妝	tʃɔŋ1	化~
妥	tʰɔ5	~当
妨	fɔŋ2	~碍
妬	tou5	~忌
妹	mui6	妹妹，姊~，老~
妻	tʃʰɐi1	夫~
妾	tʃʰiʔ7b	小老婆
姊	tʃi	~妹
始	tʃʰi	开~，~终
姐	tʃɛ	小~[文]
姐	tʃɛ	姐姐[白]
姑	ku1	大~
姓	ʃeŋ5	~名
委	wɐi	~托，常~
姚	jiu2	姓，~明
姜	kœŋ1	姓，孟~女，~太公
姨	ji2	大~，~丈
姪	tʃɐʋʔ8	~子
姻	jɐŋ1	婚~
姿	tʃi1	~势
威	wɐi1	~风，~胁
娃	wa1	洋~~
娘	lɔŋ2	姑~
娛	jy2	~乐
娠	ʃɐŋ2	妊~反应
娩	miŋ5	分~
娶	tʃʰøy	嫁~
婆	pʰɔ2	老~
婚	fɐŋ1	结~
婢	pʰei5	奴~，~女
婦	fu5	~女[文]
婦	fu5	新~(儿媳)[白]
婦	fu5	~娘[白]
婿	ʃɐi5	女~
媒	mui2	~人
媚	mei6	~眼，妩~;人名用字
媳	ʃek7a	~妇，婆~
媽	ma1	妈妈
媽	ma1	~祖
嫁	ka5	~人
嫂	ʃou	大~
嫌	hiŋ2	~弃，~人
嫖	pʰiu2	~娼
嫡	tek8	~系，~亲，~子
嫩	lyŋ6	不老
嫲	ma2	雌性
嫽	liu2	玩耍
嬉	hei1	玩，~戏
嬌	kiu1	~气，做~(撒娇)
嬰	jeŋ1	~儿
嬸	ʃɐŋ	叔母，大~
孀	ʃɔŋ1	遗~
子	tʃi	~孙;孔~
孔	hoŋ	钻~;姓，~子
孕	jɐŋ6	怀~，~妇
孖	ma1	双
字	tʃi6	~典，文~
存	tʃʰyŋ2	~在，~折，储~
孝	hau	~顺
孟	maŋ6	姓，~姜女
季	kuɐi5	四~，~节
孤	ku1	~儿，~单
孩	hai2	~童
孫	ʃyŋ1	姓;子~
孵	fu1	孵小鸡
學	hɔk8	数~，~习
孽	jiʔ8	造~
宅	tʃak	住~
宇	jy5	~宙
守	ʃɐu	看~所，保~
安	ɔŋ1	公~，~全
宋	ʃoŋ5	~朝;姓，~美龄
完	jyŋ2	~全[文]
宏	wɐŋ2	~大
宗	tʃoŋ1	祖~，~教
官	kuŋ1	~司，当~
宙	tʃɐu6	宇~
定	teŋ6	稳~;永~(地名)
宜	ji2	适~，~昌
客	hak7b	请~
宣	ʃyŋ1	~布，~传
室	ʃɐk7a	教~，~内
宦	waŋ6	~官
宮	koŋ1	~殿，大闹天~
宰	tʃɔi	~相
害	hɔi6	~人
宴	jiŋ5	~会
宵	ʃiu1	元~，夜~
家	ka1	老~，~庭
容	joŋ2	~易，宽~
宿	ʃok7a	星~
宿	ʃok7a	~舍，住~
寂	tʃek8	~寞
寄	kei5	~信，~托
寅	jɐŋ2	地支，子丑寅卯
密	mɐʋʔ8	秘~，~封
寇	kʰɐu5	姓，~准;倭~
富	fu5	丰~，~贵
寐	mei6	梦~以求，假~
寒	hɔŋ2	大~，~流
寓	jy6	~言;公~
寞	mɔk8	寂~
察	tʃʰak8	观~
寡	kua	~妇，守~
寢	tʃʰɐŋ	就~，~室，废~忘食
寥	liu6	~~无几
實	ʃɐk8	老~，~在
寧	leŋ2	安~;~波(地名)
寧	leŋ2	~可
寨	tʃai6	山~，大~
審	ʃɐŋ	~问
寬	fuŋ1	~松
寵	tʃʰoŋ	~爱，得~
寶	pou	~贝
寸	tʃʰyŋ5	尺~
寺	tʃi6	~庙，灵光~
封	foŋ1	密~
射	ʃɛ6	发~，~箭
射	ʃɛ6	~箭，发~
將	tʃɔŋ1	~来;~军
將	tʃɔŋ	大~，~士
專	tʃyŋ1	~门，大~
尊	tʃyŋ1	~重
尋	tʃʰɐŋ2	~人
對	tɔi5	~错;成双成~
導	tou6	领~，~师
小	ʃiu	~姐，~人
少	ʃiu	~数，多~
少	ʃiu5	~年，~爷
尖	tʃiŋ1	~刀
尙	ʃɔŋ6	和~，高~
尤	jɐu2	~其
尬	kai5	尴~
就	tʃɐu6	成~，~去
尷	kaŋ5	~尬
尹	wɐŋ5	姓，~相杰
尺	tʃʰɛk7b	~寸
尼	lei2	~姑
尾	mei5	尾巴
尿	liu6	屙~
局	kok8	~部，公安~
屁	pʰei5	放~
居	køy1	~民
屆	kai5	第一~
屈	wɐk7a	委~，~服[文]
屈	wɐk7a	委屈，~气[白]
屋	ok7a	老~
屎	ʃi	狗~
屛	pʰeŋ2	~风，~障
屐	kʰɛk8	木~
屑	ʃik7b	锯~[白，名]
屑	ʃik7b	不~一顾[文，动]
展	tʃiŋ	开~，发~
屙	ɔ1	排泄，~尿，~屎
屜	tʰɐi1	抽~
屠	tʰou2	~杀
屢	løy5	~次，~教不改
層	tʃʰɐŋ2	~次
屬	ʃok8	~于，家~
屯	tœn1	~田
山	ʃaŋ1	山
岐	kʰei2	~山
岑	ʃɐŋ2	姓，~参;~村
岔	tʃʰa1	~路，三~路口
岡	kɔŋ1	井~山(地名)
岳	ɔk8	姓，~飞
岸	ɔŋ6	口~，两~
峯	foŋ1	山~
島	tou	海南~
峽	hɐʋʔ8	三~(地名)
崇	ʃoŋ2	~高，推~
崔	tʃʰɔi1	姓，~莺莺
崖	ai2	悬~
崗	kɔŋ1	站~，~位
崙	lœn2	昆~
崩	pɐŋ1	倒塌，山~，~溃
嵩	ʃoŋ1	~山;严~(人名)
嶂	tʃɔŋ1	耸立如屏障的山峰
嶺	leŋ5	~南[文]
嶺	lɛŋ5	~岗[白]
嶽	ɔk8	五~
巖	aŋ2	~石，石灰~
川	tʃʰyŋ1	四~
州	tʃɐu1	广~
巡	tʃʰœn2	~逻，出~
巢	tʃʰau2	雀~
工	koŋ1	~人，打~
左	tʃɔ	~右
巧	hau	~合
巨	køy6	~大
巫	mou2	姓;~婆
差	tʃʰa1	~别
差	tʃʰai1	出~
差	tʃʰai1	参~不齐
己	kei	自~
已	ji5	~经
巴	pa1	~掌，~结，~黎
巷	hɔŋ1	巷子，两条~
巾	kɐŋ1	围~
巿	ʃi5	~场，城~
布	pou5	红~，~料
帆	faŋ2	~船
希	hei1	~望
帕	pʰak7a	手~
帖	tʰiʔ7b	请~
帚	tʃau	扫~
帝	tɐi5	皇~
帥	ʃɔi5	元~
師	ʃi1	老~，~父
席	tʃek8	酒~，主~
帳	tʃɔŋ	蚊~
帶	tai5	鞋~
常	ʃɔŋ2	经~，~识;姓
帽	mou6	草~
幅	fok7a	一~画，~度
幕	mɔk8	报~，~布
幣	pɐi6	人民~
幫	pɔŋ1	~忙
干	kɔŋ1	天~地支;~扰
平	pʰeŋ2	和~，~时[文]
平	pʰɛŋ2	~头，~地[白]
年	liŋ2	过~
幸	hɐŋ6	荣~，~福
幹	kɔŋ1	~部，才~
幻	waŋ6	科~，~想
幼	jɐu5	细小，~稚
幽	jɐu1	~默
幾	kei1	~乎
幾	kei	~只
幾	kei	~何
庇	pʰei5	包~，~护
序	tʃøy5	顺~
底	tɐi	水~
店	tiŋ5	开~
庚	kɐŋ1	天干，庚辛壬癸
