#漢字	音標	解釋
□	uɑi3	不舒服
半	pæ̃5	
華	xuɑ2	中~
華	xuɑ6	姓
協	ɕiəʔ8	
卑	pei3	
卒	tsuəʔ7	
卓	tsuəʔ7	
單	tæ̃1	
單	ʃiæ̃6	
賣	mɑi6	
南	næ̃2	
博	puəʔ7	
卜	puəʔ7	
占	tʃiæ̃1	
占	tʃiæ̃5	
卡	kʰɑ3	
卡	tɕʰiɑ3	边~
盧	lu2	
卤	lu3	
卦	kuɑ5	
臥	uo6	
衛	uei6	
卯	mɔ3	
印	iɛ̃5	
印	iɛ̃6	
危	uei1	
即	tʃiəʔ7	
卻	tɕʰyəʔ7	
卵	luæ̃3	
卷	tɕyæ̃3	
卷	tɕyæ̃5	
卸	ʃiə5	
卿	tɕʰiŋ1	
廠	tʃʰiɑŋ3	
厄	ɣəʔ7	
廳	tʰiŋ1	
历	liəʔ8	
厲	li6	
壓	iʌʔ7	
厭	iæ̃5	
廁	tsʰəʔ7	
厘	li2	
厚	xəu6	
原	yæ̃2	
廂	ʃiɑŋ1	
厥	tɕyəʔ7	
厦	ɕiɑ6	~门
厦	sɑ5	大~
廚	tʃʰy2	
厮	sɿ1	
去	tʃʰyəʔ7	~哪
去	tɕʰy5	文
縣	ɕiæ̃6	
参	tsʰæ̃1	
参	tsʰɛ̃1	
参	ʃiɛ̃1	
又	iəu6	
叉	tsʰɑ1	
及	tɕiəʔ8	
友	iəu3	
雙	suɑŋ1	
雙	suɑŋ5	
反	fæ̃3	
发	fʌʔ7	
叔	ʃyəʔ7	
取	tʃy3	
變	piæ̃5	
敍	ʃy6	
叛	pʰæ̃6	
叟	səu3	
疊	tiəʔ8	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɔ1	
叩	kʰəu5	
叩	kʰəu6	
只	tsɿ3	
只	tɕiəʔ7	
叫	tɕiɔ5	
召	tʃiɔ6	
可	kʰə1	
可	kʰə3	病轻了
台	tʰɑi1	
台	tʰɑi2	
史	sɿ3	
右	iəu6	
葉	iəʔ8	
號	xɔ6	
司	sɿ1	
嘆	tʰæ̃5	
吁	ʃy1	
吃	tɕʰiəʔ7	
各	kəʔ7	
吆	iɔ1	
合	kəʔ7	
合	xəʔ8	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰuŋ2	
名	miŋ2	
后	xəu6	
吏	li6	
吐	tʰu3	
吐	tʰu5	
向	ɕiɑŋ5	
嚇	ɕiɑ5	
嚇	xʌʔ7	
呂	ly3	
君	tɕyɛ̃1	
吞	tʰuɛ̃1	
吟	iɛ̃2	
吠	fei6	
吣	tʃʰiɛ̃5	
否	fu3	
吩	fɛ̃1	
含	xæ̃2	
聽	tʰiŋ1	
聽	tʰiŋ5	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tsʰuei1	
吻	uɛ̃3	
吼	xəu3	
吾	u2	
呈	tʃʰiŋ2	
告	kɔ5	
嘔	ɣəu3	
員	yæ̃2	
呢	ni1	
周	tʃiəu1	
味	uei6	
呼	xu1	
命	miŋ6	
和	xuo2	
和	xuo6	搅~
咎	tɕiəu6	
詠	yŋ3	
咐	fu5	
咒	tʃiəu5	
咧	liə3	
咨	tsɿ1	
咬	iɔ3	
咸	ɕiæ̃2	
咽	iæ̃5	
咽	iəʔ7	
哀	ɑi1	
品	pʰiɛ̃3	
哄	xuŋ3	
哈	xɑ1	
響	ɕiɑŋ3	
啞	iɑ3	
噦	yə3	
噦	yəʔ8	
哥	kə1	
哪	nɑ3	
哭	kʰuəʔ7	
哲	tʃiəʔ7	
哼	xəŋ1	
哽	kəŋ3	
唆	suo1	
脣	tʃʰyɛ̃1	
唐	tʰɑŋ2	
嘮	lɔ2	
喚	xuæ̃5	
售	ʃiəu6	
唯	uei3	
唱	tɕʰiɑŋ5	
唾	tʰuo5	
啃	kʰɛ̃3	
啄	tsuəʔ7	
商	ʃiɑŋ1	
啊	ɑ1	
啊	ɑ2	
嗇	səʔ7	
囉	luo2	
啼	tʰi2	
善	ʃiæ̃6	
喉	xəu2	
喊	xæ̃3	
喘	tʃʰyæ̃3	
喜	ɕi3	
喝	xʌʔ7	
喝	xəʔ7	
喧	ɕyæ̃1	
噴	pʰɛ̃1	
喻	y6	
嗅	ɕiəu5	
嗉	su5	
嗓	sɑŋ3	
嗜	sɿ6	
嗣	sɿ6	
嗤	tsʰɿ1	
嗷	ɔ1	
嗽	səu5	
嘉	tɕiɑ1	
嘘	ɕy1	
囑	tsuəʔ7	
嘲	tʃʰiɔ2	
嘴	tsuei3	
嘹	liɔ2	
噎	iəʔ7	
器	tɕʰi5	
嚎	xɔ2	
嚏	tʰi5	
囂	ɕiɔ1	
嚥	iæ̃5	
嚷	iɑŋ1	
嚼	tʃyəʔ8	
囊	nɑŋ2	
囚	tʃʰiəu2	
四	sɿ5	
回	xuei2	
因	iɛ̃1	
团	tʰuæ̃2	
囤	tuɛ̃6	
園	yæ̃2	
困	kʰuɛ̃5	
囱	tsʰuŋ5	
圍	uei2	
固	ku5	
國	kuəʔ7	
圖	tʰu2	
囿	iəu6	
圃	pʰu3	
圓	yæ̃2	
圈	tɕʰyæ̃1	
圈	tɕyæ̃6	
土	tʰu3	
聖	ʃiŋ5	
在	tsɑi6	
圪	kəʔ8	
圭	kuei1	
地	ti6	
場	tʃʰiɑŋ2	
址	tsɿ3	
均	tɕyɛ̃1	
坊	fɑŋ1	
坍	tʰæ̃1	
坎	kʰæ̃3	
壞	xuɑi6	
坐	tsuo6	
坑	kʰəŋ1	
塊	kʰuɑi5	
堅	tɕiæ̃1	
坛	tʰæ̃2	
壩	pɑ5	
塢	u5	
墳	fɛ̃2	
墜	tsuei5	
坡	pʰuo1	
坤	kʰuɛ̃1	
坦	tʰæ̃3	
坪	pʰiŋ2	
坯	pʰi1	
坳	ɔ1	
坷	kʰəʔ7	
坼	tɕʰiəʔ7	
垂	tsʰuei2	
垃	lɑ1	
壟	luŋ3	
型	ɕiŋ2	
垒	luei3	
垜	tuo6	
垢	kəu5	
墾	kʰɛ̃3	
墊	tiæ̃6	
垮	kʰuɑ3	
埂	kəŋ3	
埃	ɑi1	
埋	mɑi2	
埋	mei2	
城	tʃʰiŋ2	
域	y6	
埠	pu6	
培	pʰei2	
基	tɕi1	
堂	tʰɑŋ2	
堆	tuei1	
墮	tuo6	
堡	pɔ3	
堤	ti1	
堪	kʰæ̃1	
堰	iæ̃5	
堵	tu3	
塌	tʰʌʔ7	
塍	tʃʰiŋ2	
塑	su5	
塔	tʰʌʔ7	
塘	tʰɑŋ2	
塞	səʔ7	
填	tiæ̃2	
塾	suəʔ7	
境	tɕiŋ5	
墓	mu6	
牆	tʃʰiɑŋ2	
增	tsəŋ1	
墟	ɕy1	
墩	tuɛ̃1	
壁	piəʔ7	
壅	yŋ1	
壕	xɔ2	
壤	iɑŋ3	
壩	pɑ5	
士	sɿ6	
壬	iɛ̃2	
壯	tsuɑŋ5	
聲	ʃiŋ1	
殼	kʰʌʔ7	
壺	xu2	
壹	iəʔ7	
處	tʃʰy3	
處	tʃʰy5	
備	pi6	
复	fuəʔ7	
夏	ɕiɑ6	
夕	ʃiəʔ8	
外	uɑi5	
多	tuo1	
夜	iə6	
够	kəu5	
大	tɑ5	
大	tɑi6	~夫
天	tʰiæ̃1	
太	tʰɑi5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	
失	ʃiəʔ8	
頭	tʰəu2	
夷	i2	
夸	kʰuɑ1	
夾	tɕiʌʔ7	
奪	tuəʔ8	
奇	tɕi1	~数
奇	tɕʰi2	~怪
奈	nɑi6	
奉	fəŋ6	
奮	fɛ̃5	
奎	kʰuei1	
奏	tsəu5	
契	tɕʰi5	
奔	pɛ̃1	
獎	tʃiɑŋ3	
套	tʰɔ5	
奚	ɕi1	
奠	tiæ̃6	
奢	ʃiə1	
奧	ɔ5	
女	ny3	
奴	nu2	
奶	nɑi3	
奸	tɕiæ̃1	
好	xɔ3	
好	xɔ5	
如	y2	
妃	fei1	
妄	uɑŋ6	
妝	tsuɑŋ1	
婦	fu6	
媽	mɑ1=	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
妗	tɕiɛ̃6	
妙	miɔ6	
妥	tʰuo3	
妨	fɑŋ1	
嫗	y5	
妹	mei6	
妻	tɕʰi1	
妻	tʃʰi1	
妾	tʃʰiəʔ7	
姊	tsɿ3	
始	sɿ3	
姐	tʃiə3	
姑	ku1	
姓	ʃiŋ5	
姓	ɕiə6	
委	uei3	
姚	iɔ2	
姜	tɕiɑŋ1	
姥	lɔ3	
姦	tɕiæ̃1	
姨	i2	
姻	iɛ̃1	
姿	tsɿ1	
威	uei1	
嬌	tɕiɔ1	
娘	niɑŋ2	
娘	niɑ1	妈
娠	ʃiɛ̃1	
娩	miæ̃3	
娩	fæ̃5	
娛	y2	
娶	tʃy3	
婆	pʰuo2	
婉	uæ̃3	
婚	xuɛ̃1	
婢	pi6	
嬰	iŋ1	
嬸	ʃiɛ̃3	
婿	ʃy5	
媒	mei2	
媚	mei6	
媳	ʃiəʔ7	
媾	kəu5	
嫁	tɕiɑ5	
嫂	sɔ3	
嫌	ɕiæ̃2	
嫖	pʰiɔ2	
嫡	tiəʔ7	
嫩	nuɛ̃6	
嬉	ɕi1	
嬉	ɕi3	
孀	suɑŋ1	
子	tɕy1	
子	tsɿ3	
孔	kʰuŋ3	
孕	yɛ̃6	
孕	yŋ6	
字	tsɿ6	
存	tsʰuɛ̃2	
孫	suɛ̃1	
孝	ɕiɔ5	
孟	məŋ6	
季	kuei5	
孤	ku1	
學	ɕyəʔ8	
孩	xɑi2	
孬	nɔ1	
孰	suəʔ7	
孵	fu1	
孺	y3	
孽	niəʔ8	
寧	niŋ2	
寧	niŋ6	
宅	tsəʔ8	
宇	y3	
守	ʃiəu3	
安	~ɣæ̃1	
宋	suŋ5	
完	uæ̃2	
宏	xuŋ2	
宕	tɑŋ5	
宗	tsuŋ1	
官	kuæ̃1	
宙	tʃiəu6	
定	tiŋ6	
宛	uæ̃3	
宛	uo6	
宜	i2	
寶	pɔ3	
實	ʃiəʔ7	
寵	tsʰuŋ3	
審	ʃiɛ̃3	
客	kʰʌʔ7	
宣	ʃyæ̃1	
室	ʃiəʔ8	
宦	xuæ̃5	
宪	ɕiæ̃5	
宮	kuŋ1	
宰	tsɑi3	
害	xɑi6	
宴	iæ̃5	
宵	ʃiɔ1	
家	tɕiɑ1	
容	yŋ2	
寬	kʰuæ̃1	
賓	piɛ̃1	
賓	tʃʰiɛ̃1	
宿	ʃiəu5	
宿	suəʔ7	
宿	ʃyəʔ7	
寂	tɕʰiɛ̃2	
寂	tʃiəʔ8	
寄	tɕi5	
寅	iɛ̃2	
密	miəʔ8	
寇	kʰəu5	
寇	kʰəu6	
富	fu5	
寐	mei6	
寒	xæ̃2	
寓	y6	
寢	tʃʰiɛ̃3	
寞	muəʔ8	
察	tsʰʌʔ7	
寡	kuɑ3	
寡	iəu6	
寨	tsɑi6	
對	tuei5	
寺	sɿ6	
尋	ʃiɛ̃2	
導	tɔ3	
封	fəŋ1	
射	ʃiə6	
將	tʃiɑŋ1	
將	tʃiɑŋ5	
尉	y5	
尊	tsuɛ̃1	
小	ʃiɔ3	
少	tsʰɑ5	
少	ʃiɔ5	~年
少	ʃiɔ3	多~
尔	l̩3	
尖	tʃiæ̃1	
塵	tʃʰiɛ̃2	
尚	ɕiɑŋ5	
嘗	tʃʰiɑŋ2	
尤	iəu2	
尥	liɔ6	
堯	iɔ2	
尬	kɑ5	
就	tʃiəu6	
屍	sɿ1	
尺	tʃʰiəʔ7	
尼	ni1	
尽	tʃiɛ̃3	
尽	tʃiɛ̃6	
尾	i1	
尾	uei3	
尿	suei1	
尿	niɔ6	
局	tɕyəʔ8	
屁	pʰi5	
層	tsʰəŋ2	
屄	pi1	
居	tɕy1	
屈	tɕʰyəʔ7	
屉	tʰi5	
屆	tɕiə5	
屋	uəʔ7	
屍	sɿ1	
屎	sɿ5	
屏	pʰiŋ2	
屐	tɕi1	
屑	ʃiəʔ7	
展	tʃiæ̃3	
屬	suəʔ7	
屬	suəʔ8	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuɛ̃2	
山	sæ̃1	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi2	
岔	tsʰɑ5	
崗	kɑŋ1	
島	tɔ3	
巖	iæ̃2	
嶺	liŋ3	
岳	yəʔ8	
岸	~ɣæ̃6	
峽	ɕiʌʔ8	
巒	luæ̃6	
峰	fəŋ1	
崇	tsʰuŋ2	
崑	kʰuɛ̃1	
崔	tsʰuei1	
崖	iɑ2	
崩	pəŋ1	
崽	tsɑi3	
嵌	tɕʰiæ̃5	
嵩	suŋ1	
嵬	səu1	
嶙	liɛ̃2	
川	tʃʰyæ̃1	
州	tʃiəu1	
巡	ʃyɛ̃2	
巢	tsʰɔ2	
巢	xuei5	
工	kuŋ1	
左	tsuo3	
巧	tɕʰiɔ3	
巨	tɕy6	
鞏	kuŋ3	
巫	u1	
差	tsʰɿ1	
差	tsʰɑi1	
差	tsʰɑ5	
差	tsʰɑ1	~别
己	tɕi3	
已	i3	
巳	sɿ6	
巴	pɑ1	
巷	ɕiɑŋ6	
巾	tɕiɛ̃1	
幣	pi6	
市	sɿ6	
布	pu5	
帥	suɑi5	
帆	fæ̃2	
師	sɿ1	
希	ɕi1	
帕	pʰɑ5	
帘	liæ̃2	
帚	tsu5	
帛	puəʔ7	
幟	tsəʔ8	
帝	ti5	
帶	tɑi5	
席	ʃiəʔ8	
幫	pɑŋ1	
常	tʃʰiɑŋ2	
帽	mɔ6	
幄	uəʔ7	
幅	fuəʔ7	
幌	xuɑŋ3	
幔	mæ̃5	
幕	mu6	
干	kæ̃1	~湿
干	kæ̃5	树~
平	pʰiŋ2	
年	niæ̃2	
并	piŋ6	
并	piŋ1	~州
幸	ɕiŋ6	
幺	iɔ1	
幻	xuæ̃6	
幼	iəu5	
幽	iəu1	
廣	kuɑŋ3	
莊	tsuɑŋ1	
慶	tɕʰiŋ5	
庇	pʰi5	
牀	tsʰuɑŋ2	
序	ʃy6	
廬	lu2	
庫	kʰu5	
應	iŋ1	
應	iŋ5	
底	ti3	
店	tiæ̃5	
廟	miɔ6	
庚	kəŋ1	
府	fu3	
龐	pʰɑŋ2	
廢	fei5	
度	tu6	
座	tsuo6	
庭	tʰiŋ2	
庵	~ɣæ̃1	
庶	ʃy5	
康	kʰɑŋ1	
庸	yŋ1	
廉	liæ̃2	
廊	lɑŋ2	
廓	kʰuəʔ7	
廖	liɔ2	
延	iæ̃2	
廷	tʰiŋ2	
建	tɕiæ̃5	
開	kʰɑi1	
异	i6	
弃	tɕʰi5	
弄	nuŋ6	
弊	pi6	
式	ʃiəʔ7	
弓	kuŋ1	
引	iɛ̃3	
弘	xuŋ2	
弟	ti6	
張	tʃiɑŋ1	
弥	mi2	
弦	ɕyæ̃2	
彎	uæ̃1	
弱	yəʔ8	
彈	tʰæ̃2	
彈	tæ̃5	
强	tɕʰiɑŋ2	
弼	piəʔ8	
歸	kuei1	
當	tɑŋ1	
當	tɑŋ5	
录	luəʔ8	
彗	xuei6	
形	ɕiŋ2	
彩	tsʰɑi3	
彪	piɔ3	
彬	piɛ̃1	
彭	pʰəŋ2	
影	iŋ3	
役	i6	
徹	tsʰəʔ7	
彼	pi3	
往	uɑŋ3	
往	uɑŋ6	
征	tʃiŋ5	
徑	tɕiŋ5	
待	tɑi6	
很	xɛ̃3	
律	nyəʔ8	
徐	ʃy2	
徒	tʰu2	
得	tiəʔ7	
徙	ɕi2	
徛	tɕi2	
御	y6	
復	fuəʔ7	
循	ʃyɛ̃2	
微	uei1	
徵	tʃiŋ1	
德	tiəʔ7	
徽	xuei1	
心	ʃiɛ̃1	
必	piəʔ7	
憶	i6	
忌	tɕi6	
忍	iɛ̃3	
忏	tsʰæ̃5	
忒	tiəʔ7	
忖	tsʰuɛ̃3	
志	tsɿ5	
忘	uɑŋ6	
忙	mɑŋ2	
忠	tsuŋ1	
憂	iəu1	
快	kʰuɑi5	
念	niæ̃6	
忽	xuəʔ7	
忿	fɛ̃6	
懷	xuɑi2	
態	tʰɑi5	
慫	suŋ3	
慪	ɣəu5	
怒	nu6	
怕	pʰɑ5	
怖	pu5	
憐	liæ̃2	
思	sɿ1	
思	sɿ5	
怠	tɑi6	
急	tɕiəʔ7	
性	ɕiŋ5	
怨	yæ̃5	
怪	kuɑi5	
怯	tɕʰiəʔ7	
總	tsuŋ3	
恃	sɿ6	
戀	luæ̃6	
恍	xuɑŋ3	
恐	kʰuŋ3	
恆	xəŋ2	
恕	ʃy5	
恙	iɑŋ6	
恢	xuei1	
恤	ʃyəʔ7	
恨	xɛ̃6	
恩	ɣɛ̃1	
恭	kuŋ1	
息	ʃiəʔ7	
恰	tɕʰiʌʔ7	
懇	kʰɛ̃3	
恶	ɣəʔ7	~心
恶	u5	厌~
惱	nɔ3	
恿	yŋ3	
悄	tʃʰiɔ1	
悉	ʃiəʔ7	
悔	xuei3	
悟	u6	
悠	iəu1	
患	xuæ̃5	
悦	yəʔ8	
懸	ɕyæ̃2	
憫	miɛ̃3	
悲	pei1	
悼	tɔ6	
情	tʃʰiŋ2	
驚	tɕiŋ1	
惋	uæ̃3	
惑	xuəʔ7	
惕	tʰiəʔ7	
惜	ʃiəʔ7	
惟	uei2	
惠	xuei5	
懼	tɕy6	
慘	tsʰæ̃3	
懲	tʃʰiŋ2	
慚	tsʰæ̃2	
慣	kuæ̃5	
惰	tuo6	
想	ʃiɑŋ3	
惹	iə3	
愁	tsʰəu2	
愈	y6	
愉	y2	
意	i6	
愚	y2	
感	kæ̃3	
慍	yɛ̃5	
憤	fɛ̃6	
愧	kʰuei5	
願	yæ̃6	
