#漢字	音標	解釋
□	ɦiɔ2	折疊衣裳
使	sɿ5	
侄	dʑyøʔ8	
來	li2	
來	lɛ2	
例	lieʔ8	
侍	zɿ2	
侖	ləŋ2	
供	tɕioŋ1	
供	kəŋ5	
依	i1	
侮	fu5	
侯	ɦɤu2	
侵	tɕʰiŋ5	
便	bie2	
便	bie6	
促	tsʰəʔ7	
俄	ŋou2	
俊	tɕiŋ5	
俏	tɕʰiɔ5	
俗	ʑyøʔ8	
俘	vu2	
保	pɔ3	
俟	zɿ2	
信	ɕiŋ5	
修	ɕiu1	
俯	fu5	
俱	zʮ2	
俸	fəŋ5	
倉	tsʰɔ̃1	
個	ku5	~體戶
個	kəʔ7	一~
倍	bəi2	
倒	tɔ3	
倔	dʑyøʔ8	
倘	tʰɔ̃5	
候	ɦɤu2	
倚	i3	
借	tɕie5	
倡	tɕʰiã1	
倦	tɕyɛ3	
倪	ȵi2	
倫	lʌŋ2	
值	dʑyøʔ8	
假	kuɔ3	
假	tɕiɑ5	
假	kuɔ5	
偉	ɦuəi2	
偏	pʰie1	
做	tsou5	
停	diŋ2	
健	dʑie2	
側	tsʰəʔ7	
偵	tɕiŋ5	
偶	dʑiu5	
偷	tʰɤu1	
傀	kʰuəi1	
傅	fu5	
傍	bɔ̃2	
傑	dʑieʔ8	
傘	sã3	
備	bi6	
催	tsʰəi1	
傲	ŋɔ2	
傳	dʑyɛ2	
傳	dʑiɛ6	
傳	dʑiɛ2	又讀
債	tsa5	
傷	ɕiã1	
傻	so1	
傻	sɑ1	
傾	tɕʰiŋ5	
僅	dʑiŋ2	
像	ʑiã2	
像	ʑiã6	
僑	dʑiɔ2	
僕	pʰəʔ7	
僞	ɦuəi2	
僥	tɕiɔ1	
僧	tsəŋ1	
僧	səŋ1	
僵	tɕiã1	
價	tɕiɑ5	
價	kuɔ5	
僻	pʰieʔ7	
儀	ȵi2	
儂	nəŋ2	
億	i5	
儉	dʑie6	
儒	ɦiu2	
儒	nu5	
償	ʑiã2	
儡	ləi2	
優	iu1	
儲	dzʮ2	
儼	dʑie2	
允	ioŋ3	
元	ɦyɛ2	
兄	ɕioŋ1	
充	tɕʰioŋ1	
兆	dzɔ2	
兇	ɕioŋ1	
先	ɕie1	
光	kuɔ̃1	
克	kʰəʔ7	
兑	dɛ6	
免	mie5	
兒	ɦn̩2	
兒	l̩3	
兔	tʰu5	
兜	tɤu1	
入	ʑyøʔ8	
内	nəi2	
全	dʑyɛ2	
全	ʑie2	~旺(地名
全	dʑiɛ2	~部,又讀
兩	liã2	
八	paʔ7	
公	kəŋ1	
六	ləʔ8	
兮	ɕi1	
共	ɡəŋ6	
兵	piŋ1	
其	dzɿ2	
具	dzʮ6	
典	tie3	
兼	tɕie1	
冀	tɕi5	
册	tsʰaʔ7	
再	tsəi5	
冒	mɔ6	
冠	kuã1	
冤	yɛ1	
冤	iɛ1	又讀
冬	təŋ1	
冰	piŋ1	
冷	ləŋ2	
冷	ləŋ5	又讀
准	tɕioŋ3	
准	tɕyʌŋ3	
凍	təŋ5	
凝	dʑiŋ2	
凡	vã2	
凱	kʰa3	
凳	tiŋ5	
出	tɕʰiaʔ7	
函	ɦã2	
刀	tɔ1	
刁	tiɔ1	
分	fɛ1	
切	tɕʰieʔ7	
刊	kʰã1	
刑	ɦiŋ2	
列	lieʔ8	
初	tsʰou1	
判	pʰɛ1	
判	pʰɛ5	
别	bieʔ8	
刨	bɔ2	
利	li6	
删	sã1	
刮	kuaʔ7	
到	tɔ5	
制	tsʮ5	
刷	ɕyøʔ7	
券	tɕʰyɛ5	
刺	tɕʰyø5	名詞
刻	kʰəʔ7	
剃	tʰie5	
則	tsəʔ7	
削	ɕiaʔ7	
前	dʑie2	
前	ʑie2	~面
前	ʑyø2	過~
剔	tʰieʔ7	
剖	pʰa5	
剛	kɔ̃1	
剜	uã3	
剝	pəʔ7	
剩	ʑiŋ6	
剩	ʑiã6	又讀,本字可能爲"長"
剪	tɕie3	
副	fu5	一~手套;~校長
割	kəʔ7	
割	kuəʔ7	
創	tɕʰiɔ̃1	
劃	ɦuɔ2	
劃	ɦuaʔ8	
劄	tsaʔ7	
劇	tɕieʔ7	
劇	dʑieʔ8	
劈	pʰieʔ7	
劉	lɤu2	
劊	kuəi5	
劍	tɕie5	
劑	tsɿ5	
力	lieʔ8	
功	kəŋ1	
加	tɕiɑ1	
加	kuɔ1	
劣	lieʔ8	
助	dzou6	
努	nou5	
劫	tɕieʔ7	
勁	tɕiŋ5	
勃	bəʔ8	
勇	ioŋ5	
勉	mie5	
勒	ləʔ8	
動	dəŋ2	
勘	kʰã5	
務	vu6	
勛	ɕyʌŋ1	
勝	ɕiŋ5	
勞	lɔ2	
募	mou2	
勢	sʮ5	
勤	dʑiŋ2	
勵	li6	
勸	tɕʰiɛ5	
勸	tɕʰyɛ5	
勺	ʑiaʔ8	
匀	ɦyʌŋ2	
匀	ɦioŋ2	又讀
勾	kɤu1	
勿	fəʔ7	
包	pɔ1	
匆	tsʰəŋ3	
化	huɔ5	
北	pəʔ7	
匙	ʑyø2	
匠	ʑiã6	
匡	kʰuɔ̃1	
匣	ɦaʔ8	
匪	fi5	
匯	ɦuəi2	
匹	pʰieʔ7	
匾	pie3	
匿	nəʔ8	
區	tsʰʮ1	
十	ʑiaʔ8	
千	tɕʰie1	
升	ɕiŋ1	
升	ɕioŋ1	又讀
午	ŋuɤ2	
午	u3	
半	pɛ5	
卑	pəi1	
卒	tsəʔ7	
卓	tɕyøʔ7	
協	ʑieʔ8	
南	nɛ2	
博	pəʔ7	
占	tɕiɛ5	
占	tsã5	
卦	kuɑ5	
卦	kuɔ5	
卯	mɔ2	
印	iŋ5	
危	ɦuəi2	
即	tɕieʔ7	
卵	lɛ5	
卷	tɕyɛ3	
卷	tɕyɛ5	
卷	tɕiɛ3	又讀
卸	ɕie5	
卻	tɕʰiaʔ7	
卿	tɕʰiŋ5	
厚	ɡu2	
原	dʑyɛ2	
原	ȵiɛ2	又讀
廁	sɿə5	
廁	tsʰəʔ7	
厥	tɕyøʔ7	
厭	ie5	
厰	tɕʰiã3	
厲	lieʔ8	
去	kʰu5	
去	tsʰʮ5	
參	səŋ1	
參	tsʰã1	
參	tsʰəŋ3	
叉	tsʰɑ1	
叉	tsʰuɔ1	
及	dʑieʔ8	
友	iu5	
反	fã3	~正
反	pã3	順~
叔	ɕyøʔ7	
取	tsʰʮ3	
受	ʑiu2	
叛	bɛ2	
叟	sɤu5	
叢	dzəŋ2	
叢	zəŋ2	
口	kʰɤu3	
古	ku3	
古	kuɤ3	
古	ku5	
句	tɕyø5	
另	liŋ2	
叨	tɔ1	
叩	kʰɤu5	
只	tsəʔ7	
叫	iɔ1	
叫	tɕiɔ5	
叫	iɔ5	
召	tɕiɔ1	
可	kʰu5	
台	tʰɛ1	
台	dɛ2	
史	sɿ5	
右	ɦiu6	
司	sɿ1	
各	kəʔ7	
吆	iɔ1	
合	ɦəʔ8	
吉	tɕieʔ7	
吊	tiɔ5	
同	dəŋ2	
名	miŋ2	
吏	li5	
吐	tʰu5	
向	ɕiã5	
君	tɕyʌŋ1	
吞	tʰɛ1	
吟	ɦiŋ2	
否	fu5	
含	ɡã2	
含	ɦã2	
吳	ŋou1	
吳	ɦu2	
吵	tsʰɔ3	
吸	ɕieʔ7	
吹	tsʰəi1	~牛逼
吹	tsʰʮ1	~風
吾	ɦu2	
呂	li5	
呆	tɛ1	
呆	ŋəi2	
呈	dʑiŋ2	
告	kɔ5	
周	tɕiu1	
周	iu1	
味	vi2	~精
味	mi6	~道
呼	hou1	
命	miŋ6	
和	ɦou2	
咎	dʑiu2	
咒	tɕiu5	
咨	tsɿ1	
咬	ɦiɔ2	
咳	kʰəʔ7	
咽	ie5	
哀	ɛ1	
品	pʰiŋ3	
哄	ɦəŋ6	
員	ɦyɛ2	
哥	ku1	
哭	kʰuəʔ7	
哲	tɕyøʔ7	
唆	sou1	
唇	ʑyʌŋ2	
唇	ʑioŋ2	又讀
唐	dɔ̃2	
售	dʑiu2	
唯	vi2	
唱	tɕʰiã5	
唸	ȵie6	又讀
唾	tʰu5	
啄	tɕyøʔ7	
商	ɕiã1	
問	uʌŋ5	
問	mɛ6	~路
問	vʌŋ6	~題
啓	tsʰɿ5	
啞	u3	
啞	iɑ3	
囉	lou1	
啼	di2	
善	ʑyɛ2	
善	ʑiɛ2	又讀
喉	ŋɤu2	
喊	hã5	
喘	tɕʰyɛ5	
喚	huã5	
喜	sɿ3	
喝	həʔ7	
喧	ɕyɛ1	
喪	sɔ̃1	
喪	sɔ̃5	
喫	tɕʰieʔ7	
喬	dʑiɔ2	
單	tã1	
單	ʑyɛ2	
喻	ɦy2	
嗅	ɕiu5	
嗅	tɕʰiu5	
嗇	səʔ7	
嗓	sɔ̃5	
嗜	sɿ5	
嗣	zɿ2	
嗽	sɤu5	
嗽	sɿ5	
嘉	tɕiɑ1	
嘔	ɤu1	
嘗	ʑiã2	
嘮	lɔ1	
嘴	tsəi1	
嘴	tsəi3	
噎	ieʔ7	
嘘	sʮ1	
器	tsʰɿ5	
器	tsʰʮ5	
噴	pʰəŋ1	
噴	pʰəŋ5	
嚇	haʔ7	
嚇	ɕiaʔ7	
嚐	dʑiã2	
嚴	dʑie2	
嚴	ȵie2	又讀
嚼	ʑiaʔ8	
囂	ɕiɔ5	
囑	tɕyøʔ7	
囗	pʰiŋ5	
囚	dʑiu2	
四	sɿ5	
回	uəi1	
因	iŋ1	
囤	təŋ5	
囥	kʰɔ̃5	
囱	tsʰəŋ3	
困	kʰuʌŋ5	
固	ku5	
圈	tɕʰyɛ1	
圈	tɕʰiɛ1	又读
國	kuəʔ7	
圍	ɦuəi2	
園	ɦyɛ2	
園	ɦiɛ2	又讀
圓	ɦyɛ2	
圓	ɦiɛ2	又讀
圖	dou2	
團	dɛ2	
土	tʰu3	
在	dza2	
圭	kuəi5	
地	di6	
地	die6	
址	tsɿ3	
均	tɕyʌŋ1	
均	tɕiŋ1	又讀
坍	tʰã1	
坎	kʰã5	
坐	dzou2	
坐	zou2	
坑	kʰɛ1	
坑	kʰəŋ1	
坤	kʰuɛ1	
坤	kʰuʌŋ1	
坦	tʰã3	
坪	biŋ2	
坯	pʰəi5	
坳	ɔ1	
坺	bəʔ8	
坼	tsʰaʔ7	
垂	zəi2	
型	ɦiŋ2	
垮	kʰuɔ1	
埃	ɛ1	
埋	mɛ2	
城	dʑiŋ2	~市
城	ʑioŋ2	~裏
域	ɦyøʔ8	
埠	bu6	
執	tɕyøʔ7	
培	bəi2	
基	tsɿ1	
堂	dɔ̃2	
堅	tɕie1	
堆	təi1	
堡	pɔ3	
堤	di2	
堪	kʰã1	
堯	dʑiɔ2	
堰	ie5	
報	pɔ5	
場	dʑiã2	
堵	tu5	
堿	kã3	
塊	kʰuəi5	
塋	ɦiŋ2	
塌	tʰaʔ8	
塍	ʑiŋ2	
塑	sou5	
塔	tʰaʔ8	
塗	du2	
塗	dou2	
塘	dɔ̃2	
塚	dʑioŋ2	
塞	səʔ7	
塢	uɤ3	
填	die2	
塵	dʑiŋ2	
境	tɕiŋ5	
墊	die6	
墓	mou2	
墜	tsəi5	
增	tsəŋ1	
墟	sʮ5	
墨	məʔ8	
墩	tɛ1	
墩	təŋ1	
墳	vɛ2	
墾	kʰəŋ1	
壁	pieʔ7	
壇	dã2	
壓	iaʔ7	
壕	ɦɔ2	
壘	ləi5	
壞	ɦuɑ6	
壞	ɦuɛ6	
壟	ləŋ2	
壩	pɑ5	
士	zɿ2	
壬	ʑiŋ2	
壯	tɕiɔ̃5	
壺	ɦou2	
壺	ɦuɤ2	
壽	ʑiu2	
壽	ʑiu6	
复	fəʔ7	
夏	ʑiɑ2	
夏	ɦuɔ6	
夕	ʑieʔ8	
外	ɦuɛ2	
外	ŋa6	
多	tou1	
夜	ie5	
够	kɤu5	
夢	məŋ6	
大	da2	
大	dɑ2	
大	dou6	
天	tʰie1	
太	tʰa3	
夫	fu1	
央	iã1	
夯	hã5	
失	ɕyøʔ7	
夷	ɦi2	
夾	ɡaʔ8	
奇	dzɿ2	
奈	nɛ2	
奉	fəŋ5	
奎	kʰuəi1	
奏	tsɤu5	
契	tɕʰieʔ7	
奔	pəŋ1	
套	tʰɔ5	
奚	ɕi1	
奠	die6	
奧	ɔ5	
奪	dəʔ8	
奮	fʌŋ5	
女	ȵy5	婦~
女	no3	細~兒; ~兒家
奴	nou2	
奶	na2	
奸	tɕie1	
奸	kã1	
好	hɔ3	
如	zʮ2	
如	sʮ5	
妃	fi1	
妄	vɔ̃2	
妒	tu5	
妓	dzɿ2	
妖	iɔ1	
妙	miɔ5	
妥	tʰou1	
妨	fɔ̃1	
妹	məi6	
妻	tsʰɿ1	
妾	tɕʰieʔ7	
姊	tsɿ3	
始	sɿ5	
姐	tsɿ3	
姑	kuɤ1	
姓	ɕiŋ5	
委	uəi3	
姘	pʰiŋ1	
姚	ɦiɔ2	
姨	ɦi2	
姪	dʑyøʔ8	
姻	iŋ1	
姿	tsɿ1	
威	uəi1	
娛	ȵy2	
娠	ɕiŋ1	
娩	mie5	
娶	tsʰʮ3	
婆	bu2	外~
婚	huɛ1	
婢	bi2	
婦	vu2	
婿	ɕie5	
媒	məi2	
媚	mi2	
媳	ɕieʔ7	
媽	mɑ5	
媽	muɔ5	
嫁	tɕiɑ5	
嫁	kuɔ5	
嫂	sɔ3	
嫌	ɦie2	
嫖	biɔ2	
嫡	tieʔ7	
嫩	nɛ6	
嬉	sɿ1	
嬌	tɕiɔ1	
嬰	iŋ1	
嬸	ɕiŋ3	
嬸	ɕioŋ3	
孀	ɕiɔ̃1	
孃	dʑiã2	
孃	ȵiã2	又讀
子	tsɿ3	
子	tsɿə3	
孔	kʰəŋ3	
孕	yʌŋ5	
字	zɿ2	
字	zɿə6	
存	dzʌŋ2	
孝	hɔ5	
孝	ɕiɔ5	
孟	məŋ5	
季	tsɿ5	
孤	ku1	
孩	ɦɛ2	
孫	sɛ1	
孫	sʌŋ1	
孵	bu6	
學	ʑiaʔ8	~習;大~
學	ɦuəʔ8	~堂;~生
孽	ȵieʔ8	又讀
宅	dzəʔ8	
宇	ɦy2	
守	ɕiu1	
守	yø3	
安	ɛ1	
安	ã1	
宋	səŋ5	
完	ɦuã2	
宏	ɦəŋ2	
宕	dɔ̃6	
宗	tsəŋ1	
官	kuã1	
宙	tɕiu5	
定	diŋ6	
宛	yɛ3	
宜	ȵi2	
客	kʰaʔ7	
客	kʰəʔ7	
宣	ɕyɛ3	
室	ɕyøʔ7	
宦	ɦuã2	
宮	kəŋ1	
宰	tsɑ1	
害	ɦəi6	
宴	ie5	
宵	ɕiɔ1	
家	tɕiɑ1	
家	kuɔ1	
容	ɦioŋ2	
宿	səʔ7	
寂	dʑieʔ8	
寄	tsɿ5	
寅	ɦiŋ2	
密	mieʔ8	
寇	kʰɤu5	
富	fu5	
寒	ɦã2	
寓	ȵy2	
寬	kʰuã1	
寞	mou6	
察	tsʰaʔ7	
寡	kuɔ3	
寢	tɕʰiŋ5	
寥	liɔ2	
實	ʑyøʔ8	
寧	dʑiŋ2	
寨	sa5	
審	ɕiŋ3	
審	ɕioŋ3	
寫	ɕie3	
寵	tsʰəŋ3	
寶	pɔ3	
寸	tsʰɛ5	
寺	zɿ2	
寺	zɿə6	
封	fəŋ1	
射	ʑie6	
射	ʑyø6	
將	tɕiã1	
將	tɕiã5	
專	tɕyɛ1	
尊	tsʌŋ1	
尋	ʑiŋ2	
對	təi5	
導	dɔ6	
小	ɕiɔ5	
小	ɕiɔ3	~学;~姊
少	ɕiɔ3	
少	ɕiɔ5	
尖	tɕie1	
尚	ʑiã2	
尤	iu1	
尬	ka5	
就	dʑiu2	
尷	kã1	
尹	iŋ3	
尺	tɕʰyøʔ7	
尼	ȵi2	
尾	mi2	
尾	mie2	
尿	dʑiɔ5	
局	dʑyøʔ8	
屁	pʰi5	
居	tsʮ1	
屆	tɕiɛ5	
屈	tɕʰyøʔ7	
屋	uəʔ7	
屍	sɿ1	
屎	sɿ5	
屏	biŋ2	
屐	dʑieʔ8	
屑	səʔ7	
展	tɕyɛ5	
屜	tʰi5	
屠	dou2	
層	zəŋ2	
履	li5	
屬	ʑyøʔ8	
屯	təŋ5	
山	sã1	
岐	tsɿ1	
岑	dʑiŋ2	
岔	tsʰɑ1	
岡	kɔ̃5	
岸	ŋã6	
峰	fəŋ1	
島	tɔ5	
峽	ɦaʔ8	
崇	dzəŋ2	
崐	kʰuʌŋ3	
崔	tsʰəi1	
崖	ɦie2	
崗	kɔ̃5	
崩	pəŋ5	
嵌	kʰã5	
嵩	səŋ1	
嶺	liŋ5	
嶽	ŋəʔ8	
嶽	ɦyøʔ8	
巖	ŋã2	
巖	ŋã6	
川	tɕʰyɛ1	
州	tɕiu1	
巡	dʑyʌŋ2	
巢	zɔ2	
工	kəŋ1	
左	tsou5	~手
巧	tɕʰiɔ3	
巨	dzʮ6	
巫	u1	
差	tsʰɑ1	
己	tsɿ5	
已	ɦi2	
巳	zɿə2	
巴	pɑ1	
巷	ʑiã2	
巾	tɕiŋ1	
市	zɿ2	
布	pu3	
布	pu5	
帆	vã2	
希	ɕi1	
希	sɿ1	
帕	pʰəʔ7	
帖	tʰieʔ7	
帚	yø3	
帛	bəʔ8	
帝	ti5	
帥	sa5	
師	ɕyø1	~父
師	sɿ1	老~
席	ʑieʔ8	
帳	tɕiã5	
帶	ta5	
常	dʑiã2	
帽	mɔ6	
幅	fəʔ7	
幔	mɛ2	
幕	mou6	
幣	bi6	
幫	pɔ̃1	
平	biŋ2	
年	dʑie2	
年	ȵie2	又讀
幸	ɕiŋ1	
幻	ɦuã2	
幼	iu1	
幼	iu5	
幽	iu1	
幾	tsɿ1	
幾	kəi3	
幾	tsɿ3	
幾	tsɿ5	
庇	pi5	
牀	ʑiɔ̃2	
序	zʮ6	
底	tie3	
店	tie5	
庚	kəŋ1	
府	fu3	
府	fu5	
度	dou2	
座	dzou2	
庫	kʰu5	
庭	diŋ2	
庵	ɛ1	
庶	sʮ5	
康	kʰɔ̃1	
庸	ɦioŋ2	
廂	ɕiã1	
厦	ɕiɑ1	
厦	ʑiɑ2	
廉	lie2	
廊	lɔ̃2	
廓	kʰəʔ7	
廖	liɔ2	
廚	dzʮ2	
廚	dʑyø2	
厮	sɿ1	
廟	miɔ6	
廢	fi5	
廣	kɔ̃5	
廣	kuɔ̃5	
廬	lou2	
廳	tʰiŋ1	
延	ɦie2	
廷	diŋ2	
建	tɕie5	
弄	ləŋ2	
弄	ləŋ1	弗樂~(連讀音)
弊	bi6	
式	ɕyøʔ7	
弓	kəŋ1	
引	iŋ3	
引	iŋ5	
弘	ɦəŋ2	
弟	di2	
弟	die2	
弦	ɦie2	
弱	dʑiaʔ8	
弱	ȵiaʔ8	又讀
張	tɕiã1	
強	dʑiã2	
強	tɕʰiã3	
強	dʑiã6	
弼	bieʔ8	
彀	kɤu5	
彈	dã2	
彈	dã6	
彌	mi2	
彎	uã1	
形	ɦiŋ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piŋ1	
彭	bəŋ2	
影	iŋ3	
彷	fɔ̃3	
役	ɦyøʔ8	
彿	fəʔ7	
往	uɔ̃5	
征	tɕiŋ1	
征	tɕiŋ5	
待	dɛ2	
很	həŋ5	
律	lieʔ8	
後	u1	
後	ɦu2	
後	ɦɤu2	
徐	zɿ2	
徑	tɕiŋ1	
徒	du2	
徒	dou2	
得	təʔ7	
得	ləʔ8	
徛	ɡəi2	
從	dzəŋ2	
循	ʑyʌŋ2	
微	vi2	
德	təʔ7	
徹	tɕʰyøʔ7	
徽	huəi1	
心	ɕiŋ1	
必	pieʔ7	
忌	tɕi5	
忍	ɕioŋ5	
忒	tʰəʔ7	
忖	tsʰɛ3	
志	tsɿ5	
忘	mɔ̃2	
忙	mɔ̃2	
快	kʰuɑ5	
念	dʑie6	
念	ȵie6	又讀
忽	huəʔ7	
忿	fʌŋ5	
怒	nou2	
怖	pu5	
思	sɿ1	
思	sɿə1	
怠	dɛ2	
急	tɕieʔ7	
性	ɕiŋ5	
怨	ɦyɛ2	
怪	kuɑ5	
怪	kuɛ5	
怯	tɕʰieʔ7	
恐	kʰəŋ5	
恆	ɦəŋ2	
恕	sʮ5	
恢	huəi1	
恤	ɕyøʔ7	
耻	tsʰʮ5	
恨	ɦəŋ6	
恨	ɦʌŋ6	
恩	ɛ1	
恩	əŋ1	
恭	kəŋ1	
息	ɕieʔ7	
恰	tɕʰiaʔ7	
悄	tɕʰiɔ1	
悦	ɦyøʔ8	
悉	ɕieʔ7	
悔	huəi5	
悟	ŋou2	
悠	iu1	
患	ɦuã2	
悲	pəi1	
悶	məŋ5	
情	dʑiŋ2	
惑	ɦuəʔ8	
惜	ɕieʔ7	
惟	vi2	
惠	uəi5	
惡	əʔ7	
惡	uəʔ7	
惱	nɔ5	
想	ɕiã3	
惹	nəʔ8	
愁	zɿ2	
愁	dʑiu2	
愁	ʑiu2	
愈	ɦy2	
愉	ɦy2	
意	i5	
愚	ȵy2	
愛	a5	
愛	əi5	
感	kã5	
愧	ɡuəi2	
態	tʰɑ3	
態	tʰɛ3	
慌	huɔ̃1	
慎	ɕiŋ5	
慕	mou2	
慘	tsʰã3	
慚	dzã2	
慢	mã6	
慣	kuã5	
慧	uəi5	
慨	kʰɛ3	
慫	dzəŋ2	
慮	li6	
慰	uəi5	
慶	tɕʰiŋ5	
慷	kʰɔ̃1	
憂	iu1	
憋	pieʔ7	
憎	tsəŋ1	
憐	liŋ2	
憑	biŋ2	
憠	tɕyøʔ7	
憤	fʌŋ5	
憫	miŋ5	
憲	ɕie5	
憶	i5	
憾	hã5	
懂	təŋ3	
懇	kʰəŋ1	
懈	ɕie5	
應	iŋ1	
應	iŋ5	
懊	ɔ5	
懵	məŋ2	
懶	lã2	
懷	ɦuɛ2	
懸	ʑyɛ2	
懼	dzʮ6	
戀	lie2	
戌	ɕieʔ7	
戎	ɦioŋ2	
成	dʑiŋ2	
我	ŋɑ2	
我	ŋu5	
戒	ka5	
戒	tɕiɛ5	
或	ɦuəʔ8	
或	huəʔ8	又讀
戚	tɕʰieʔ7	
戟	tɕieʔ7	
截	ʑieʔ8	
戰	tɕyɛ5	
戰	tɕiɛ5	又讀
戲	sɿ5	
戳	tɕʰyøʔ7	
戴	təi5	
户	ɦu2	
戽	huɤ5	
房	vɔ̃2	
所	so3	
所	sou3	
扁	pie3	
扇	ɕyɛ5	
扇	ɕiɛ5	又讀
手	ɕiu1	
手	ɕiu3	
才	dza2	
打	nɛ3	
打	ta5	
托	tʰəʔ7	
扛	kɔ̃1	
扣	kʰɤu5	
扭	dʑiu3	
扮	pã5	
扳	pã1	
扶	vu2	
批	pʰi1	
扼	əʔ7	
找	tsɔ3	
承	dʑiŋ2	
技	dzɿ2	
抄	tsʰɔ1	
把	pɑ1	
把	puɔ3	
抓	tsuɑ1	
抓	tsuɔ1	
投	dɤu2	
抖	tɤu3	
抗	kʰɔ̃5	
折	ʑyøʔ8	
折	tɕyøʔ7	打~
披	pʰi1	
抬	dɛ2	
抱	bu2	
抱	pɔ5	
抵	ti3	
抹	maʔ8	
抹	məʔ8	
押	iaʔ7	
抽	tɕʰiu1	
拄	tu5	
拆	tsʰaʔ7	
拆	tɕʰiaʔ7	又讀
拇	mou6	
拉	la1	
抛	pʰɔ1	
拌	bɛ2	
拍	pʰəʔ7	
拎	liŋ1	
拐	kuɛ3	
拐	kuã5	
拒	dzʮ6	
拔	baʔ8	
拖	tʰa1	~貨;~車
拖	tʰou1	~拉機
拘	tsʮ1	
招	tɕiɔ1	
拜	pa5	
括	kuaʔ7	
拯	dʑiŋ2	
拳	dʑyɛ2	
拼	pʰiŋ1	
拾	ʑiaʔ8	
拾	iaʔ7	訓讀字,本字爲"摭"
拿	nɑ2	
持	dzʮ2	
指	tsɿ3	
按	ɛ5	
按	ã5	
挑	tʰiɔ1	
挖	uɔ1	
挖	uaʔ7	
挨	ŋa2	
振	tɕiŋ5	
挺	tʰiŋ3	
挽	uã5	
挾	ɡaʔ8	
捅	tʰəŋ1	
捆	kʰuʌŋ3	
捉	tsəʔ7	
捋	ləʔ8	
捎	ɕiɔ1	
捏	naʔ8	
捏	ȵiaʔ8	又讀
捐	tɕyɛ1	
捕	pʰu5	
捧	pʰəŋ3	
捱	ŋa2	
捷	dʑieʔ8	
捺	naʔ8	
掀	ɕiŋ1	
掂	tie1	
掃	su3	
授	ʑiu2	
掉	diɔ6	
掌	tɕiã3	
掏	dɔ2	
掐	tɕʰiaʔ7	
排	ba2	
掘	dʑyøʔ8	
掛	kuɑ5	
掛	kuɔ5	
掠	liaʔ8	
探	tʰɛ5	
接	tɕieʔ7	
控	kʰəŋ5	
推	tʰəi1	
掩	ie1	
措	tsʰou5	
掬	tɕyøʔ7	
揀	kã3	
描	miɔ2	
提	di2	
插	tsʰaʔ7	
揚	ɦiã2	
換	ɦuã2	
換	ɦuã6	
握	uəʔ7	
揢	kʰuɔ5	
揩	kʰa1	
揪	tɕʰiu1	
揭	tɕieʔ7	
揮	huəi1	
