#漢字	音標	解釋
妗	tɕiən5	
妙	miɔ1	
妥	tʰuo1	
妨	faŋ1	
妹	meⁱ5	
妻	tɕʰi1	
姊	tsɿ1	
始	ʂʅ1	
姐	tɕiə1	
姑	ku1	
姓	ɕiŋ5	
委	ueⁱ5	
姚	iɔ1	
姜	tɕiaŋ1	
姨	i1	
姻	iən1	
姿	tsɿ1	
威	ueⁱ1	
嬌	tɕiɔ1	
娘	niaŋ1	
娩	mian1	
娛	y1	
娶	tɕʰy1	
婆	pʰo1	
婚	xuən1	
婢	pi5	
嬰	iŋ1	
嬸	ʂən1	
婿	ɕy1	
媒	meⁱ1	
媚	meⁱ5	
媳	ɕi1	
嫁	tɕia5	
嫂	sɔ1	
嫌	ɕian1	
嫖	pʰiɔ1	
嫡	ti1	
嫩	luən5	
嬉	ɕi1	
嬔	fan5	~蛋
子	tsɿ1	
孔	kʰuŋ1	
孕	yən5	
字	tsɿ5	
存	tsʰuən1	
孫	suən1	
孝	ɕiɔ5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyə1	
孩	xɛ1	
孵	fu1	
孽	niə5	
寧	niŋ1	
宅	tʂɛ1	
宇	y1	
守	ʂou1	
安	ŋan1	
宋	suŋ5	
完	uan1	
宏	xuŋ1	
宗	tsuŋ1	
官	kuan1	
宙	tʂou5	
定	tiŋ5	
宛	yan1	
宜	i1	
寶	pɔ1	
實	ʂʅ1	
寵	tʂʰuŋ1	
審	ʂən1	
客	kʰə5	
宣	ɕyan1	
室	ʂʅ5	
宪	ɕian5	
宮	kuŋ1	
宰	tsɛ1	
害	xɛ5	
宴	ian5	
宵	ɕiɔ1	
家	tɕia1	
容	ʐuŋ1	
寬	kʰuan1	
賓	piən1	
宿	su5	
宿	ɕy5	
寂	tɕi5	
寄	tɕi5	
密	mi5	
寇	kʰou5	
富	fu5	
寒	xan1	
寓	y5	
寞	mu5	
察	tʂʰa1	
寡	kua1	
寨	tʂɛ5	
寸	tsʰuən5	
對	tueⁱ5	
寺	sɿ5	
尋	ɕyən1	
導	tɔ5	
壽	ʂou5	
封	fəŋ1	
射	ʂə5	
將	tɕiaŋ5	
