#漢字	音標	解釋
詔	tʂɔ5	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰəŋ1	
誅	tʂu1	
話	xua5	
誕	tan5	
詭	kueⁱ1	
該	kɛ1	
詳	ɕiaŋ1	
誣	u1	
語	y1	
誤	u5	
說	ʂuo1	
誦	suŋ5	
請	tɕʰiŋ1	
諸	tʂu1	
諾	nuo5	
讀	tu1	
課	kʰə5	
誰	ʂueⁱ1	
調	tʰiɔ1	~和
調	tiɔ5	音~
諒	liaŋ5	
談	tʰan1	
誼	i5	
謀	mou1	
諜	tiə1	
謊	xuaŋ1	
諫	tɕian5	
諧	ɕiə1	
謂	ueⁱ5	
讒	tʂʰan1	
謎	mi1	
謝	ɕiə5	
謡	iɔ1	
謗	paŋ5	
謙	tɕʰian1	
謹	tɕiən1	
譚	tʰan1	
譜	pʰu1	
谷	ku1	
豁	xuo1	
豆	tou5	
豇	tɕiaŋ1	~豆
豌	uan1	
豚	tʰuən1	
象	ɕiaŋ5	
豪	xɔ1	
豫	y5	
豹	pɔ5	
豺	tʂʰɛ1	
貂	tiɔ1	
貌	mɔ5	
貝	peⁱ5	
貞	tʂən1	
負	fu5	
貢	kuŋ5	
財	tsʰɛ1	
責	tsə1	
賢	ɕian1	
敗	pɛ5	
賬	tʂaŋ5	
貨	xuo5	
質	tʂʅ5	
販	fan5	
貪	tʰan1	
貧	pʰiən1	
貶	pian1	
購	kou5	
貫	kuan5	
貳	ɚ5	
賤	tɕian5	
貼	tʰiə1	
貴	kueⁱ5	
貸	tɛ5	
貿	mɔ5	
費	feⁱ5	
賀	xuo5	
賊	tseⁱ1	
賈	tɕia1	
賄	xueⁱ5	
賃	liən5	
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂə1	
賦	fu5	
賭	tu1	
贖	ʂu1	
賞	ʂaŋ1	
賜	tsʰɿ5	
賠	pʰeⁱ1	
賴	lɛ5	
贅	tʂueⁱ5	
賺	tʂuan5	
賽	sɛ5	
贊	tsan5	
贈	tsəŋ5	
贏	iŋ1	
赤	tʂʰʅ5	
赦	ʂə5	
赫	xə5	
走	tsou1	
赴	fu5	
趙	tʂɔ5	
趕	kan1	
起	tɕʰi1	
趁	tʂʰən5	
超	tʂʰɔ1	
越	yə5	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tɕy1	
趼	kaŋ1	
趾	tʂʅ1	
躍	yə5	
跌	tiə1	
跑	pʰɔ1	
跗	fu1	~面
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kʰueⁱ5	
路	lu5	
跳	tʰiɔ5	
踐	tɕian5	
踏	tʰa5	
踒	uo1	~了脚
踢	tʰi1	
蹤	tsuŋ1	
踱	tuo1	
蹄	tʰi1	
躡	niə5	
蹭	tsʰəŋ5	
蹲	tuən1	
躁	tsɔ5	
身	ʂən1	
躬	kuŋ1	
躱	tuo1	
躺	tʰaŋ1	
車	tɕy1	(车马炮)
車	tʂʰə1	
軋	ia5	
軌	kueⁱ1	
轉	tʂuan1	~眼
轉	tʂuan5	~圈
輪	luən1	
軟	ʐuan1	
轟	xuŋ1	
輕	tɕʰiŋ1	
載	tsɛ5	~重
載	tsɛ1	三年两~
轎	tɕiɔ5	
較	tɕiɔ5	
輔	fu1	
輛	liaŋ5	
輩	peⁱ5	
輝	xueⁱ1	
輞	uaŋ1	
輜	tsɿ1	~重
輯	tɕi1	
輸	ʂu1	
轄	ɕia1	
轍	tʂə1	
辛	ɕiən1	
辭	tsʰɿ1	
辟	pʰi5	
辣	la5	
辨	pian5	
辯	pian5	
辮	pian5	
辰	tʂʰən1	
辱	ʐu1	
邊	pian1	
遼	liɔ1	
達	ta1	
遷	tɕʰian1	
迂	y1	
迅	ɕyən5	
過	kuo5	
邁	mɛ5	
迎	iŋ1	
運	yən5	
近	tɕiən5	
還	xɛ1	
還	xuan1	~原
進	tɕiən5	
遠	yan1	
違	ueⁱ1	
連	lian1	
遲	tʂʰʅ1	
迫	pʰo5	
述	ʂu5	
迷	mi1	
迸	pəŋ5	
迹	tɕi5	
追	tʂueⁱ1	
退	tʰueⁱ5	
送	suŋ5	
適	ʂʅ5	
逃	tʰɔ1	
選	ɕyan1	
遜	ɕyən5	
透	tʰou5	
逐	tʂu1	
遞	ti5	
途	tʰu1	
逗	tou5	
通	tʰuŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ1	
速	su5	
造	tsɔ5	
逢	fəŋ1	
逵	kʰueⁱ1	
逸	i5	
逼	pi1	
逾	y1	
遁	tuən5	
遇	y5	
遍	pian5	
道	tɔ5	
遺	i1	
遭	tsɔ1	
遮	tʂə1	
遵	tsuən1	
避	pi5	
邀	iɔ1	
鄧	təŋ5	
那	na5	
邦	paŋ1	
邪	ɕiə1	
郵	iou1	
邵	ʂɔ5	
鄰	liən1	
郊	tɕiɔ1	
郎	laŋ1	
鄭	tʂəŋ5	
郝	xɔ1	姓
郡	tɕyən5	
部	pu5	
郭	kuo1	
都	tu1	~城
都	tou1	~是
鄂	ŋə5	
酉	iou1	
配	pʰeⁱ5	
酒	tɕiou1	
酣	xan1	
酥	su1	
酬	tʂʰou1	
醬	tɕiaŋ5	
酵	ɕiɔ5	
酸	suan1	
釀	niaŋ5	
醇	tʂʰuən1	
醉	tsueⁱ5	
醋	tsʰu5	
醒	ɕiŋ1	
醭	tɕʰy1	醋生白~
醮	tɕiɔ5	打~
采	tsʰɛ1	
釉	iou5	
釋	ʂʅ5	
里	li1	
重	tʂuŋ5	
重	tʂʰuŋ1	~复
野	iə1	
量	liaŋ5	
量	liaŋ1	测~
金	tɕiən1	
釜	fu1	
鈀	pʰa1	~子
鉋	pɔ5	
鑑	tɕian5	
鋦	tɕy1	
鎔	ʐuŋ1	
鏊	ŋɔ5	(烙饼用具)
鐾	kueⁱ1	~刀布
钁	tɕyə1	~头
針	tʂən1	
釘	tiŋ1	
釣	tiɔ5	
釵	tʂʰa1	1
釵	tɕʰia1	2
鈔	tʂʰɔ1	
钟	tʂuŋ1	
鋼	kaŋ1	
鑰	yə5	
鈞	tɕyən1	
鉤	kou1	
錢	tɕʰian1	
鉗	tɕʰian1	
鑽	tsuan1	(动词)
鑽	tsuan5	(名词)
鐵	tʰiə1	
鈴	liŋ1	
鉛	tɕʰian1	
鐺	taŋ1	电饼~
銅	tʰuŋ1	
鍘	tʂa1	~刀
鏵	xua1	
銘	miŋ1	
鉸	tɕiɔ1	
鏟	tʂʰan1	
銃	tʂʰuŋ5	
銀	iən1	
鑄	tʂu5	
鋪	pʰu1	
鋪	pu5	1小~
鋪	pʰu5	2小~
銷	ɕiɔ1	
鎖	suo1	
鋥	tsəŋ1	
鋤	tʂʰu1	
鍋	kuo1	
鏽	ɕiou5	
銼	tsʰuo5	
鋒	fəŋ1	
銳	ʐueⁱ5	
錯	tsʰuo5	
錨	mɔ1	
錛	pən1	
錮	ku5	~露锅
鑼	luo1	
錘	tʂʰueⁱ1	
錐	tʂueⁱ1	
錦	tɕiən1	
錠	tiŋ5	
鍵	tɕian5	
鋸	tɕy5	
鍬	tɕʰian1	
鍾	tʂuŋ1	
鍛	tuan5	
鍍	tu5	
鎮	tʂən5	
鑷	niə5	
鏡	tɕiŋ5	
鏇	ɕyan5	
鐙	təŋ5	
鐲	tʂuo1	
鐮	lian1	
鑲	ɕiaŋ1	
長	tʂaŋ1	~大
長	tʂʰaŋ1	~短
門	mən1	
閃	ʂan1	
閉	pi5	
問	vən5	
闖	tʂʰuaŋ1	
閏	zyən5	
闲	ɕian1	
間	tɕian1	
悶	mən1	
閘	tʂa1	
鬧	nɔ5	
閨	kueⁱ1	
聞	vən1	
閣	kə1	
鬮	tɕiou1	
閲	yə5	
閻	ian1	
闊	kʰuo5	
隊	tueⁱ5	
防	faŋ1	
陽	iaŋ1	
陰	iən1	
陣	tʂən5	
階	tɕiə1	
阻	tsu1	
阿	a1	
附	fu5	
際	tɕi5	
陸	lu5	
陸	liou5	
陳	tʂʰən1	
陋	lou5	
陌	mo5	
降	tɕiaŋ5	
降	ɕiaŋ1	投~
限	ɕian5	
陝	ʂan1	
陛	pi5	
陡	tou1	
院	yan5	
除	tʂʰu1	
險	ɕian1	
陪	pʰeⁱ1	
陵	liŋ1	
陶	tʰɔ1	
陷	ɕian5	
隆	luŋ1	
隨	sueⁱ1	
隱	iən1	
隔	kə1	
隘	ŋɛ5	
障	tʂaŋ5	
隧	sueⁱ5	
隶	li5	
難	nan1	
雀	tɕʰyə5	
雁	ian5	
雄	ɕyŋ1	
雅	ia1	
集	tɕi1	
雇	ku5	
雌	tsʰɿ1	
雛	tʂʰu1	
雕	tiɔ1	
雨	y1	
雪	ɕyə1	
零	liŋ1	
雷	lueⁱ1	
雹	pa1	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
震	tʂən5	
黴	meⁱ1	
霍	xuo5	
霜	ʂuaŋ1	
霞	ɕia1	
露	lu5	
霸	pa5	
青	tɕʰiŋ1	
靜	tɕiŋ5	
非	feⁱ1	
靠	kʰɔ5	
靡	mi1	
面	mian5	
革	kə1	
靪	tiŋ5	
靴	ɕyə1	
靿	iɔ5	靴~
鞋	ɕiə1	
鞍	an1	
鞦	tɕʰiou1	牛~
鞭	pian1	
韌	ʐən5	
韓	xan1	
韭	tɕiou1	
音	iən1	
韻	yən5	
韶	ʂɔ5	~关
頁	iə5	
頂	tiŋ1	
頃	tɕʰiŋ1	
項	ɕiaŋ5	
順	ʂuən5	
须	ɕy1	
頑	uan1	
顧	ku5	
頓	tuən5	
頒	pan1	
頌	suŋ5	
預	y5	
領	liŋ1	
頸	tɕiŋ1	
頻	pʰiən1	
顆	kʰə1	
題	tʰi1	
顔	ian1	
顛	tian1	
顫	tʂan5	
顴	tɕʰyan1	
風	fəŋ1	
飄	pʰiɔ1	
飛	feⁱ1	
食	ʂʅ1	
餐	tsʰan1	
饥	tɕi1	
飩	tuən5	馄~
飭	tʂʅ1	
飯	fan5	
飲	iən1	
餞	tɕian5	
飾	ʂʅ5	
飽	pɔ1	
飼	sɿ5	
餌	ɚ1	
饒	ʐɔ1	
餃	tɕiɔ1	
餅	piŋ1	
餓	ŋə5	
餛	xuən1	
餡	ɕian5	
館	kuan1	
饞	tʂʰan1	
饃	mo1	
餾	liou5	
饅	man1	
首	ʂou1	
香	ɕiaŋ1	
騇	ʂə5	~牛
騲	tsʰɔ1	~牛
馬	ma1	
馱	tʰuo1	
馱	tuo5	~子
馳	tʂʰʅ1	
驅	tɕʰy1	
駁	po1	
驢	ly1	
駛	ʂʅ1	
駒	tɕy1	
駐	tʂu5	
駝	tʰuo1	
駕	tɕia5	
駡	ma5	
驕	tɕiɔ1	
駱	luo5	
驗	ian5	
騎	tɕʰi1	
騙	pʰian5	
騷	sɔ1	
騾	luo1	
骨	ku1	
髓	sueⁱ1	
高	kɔ1	
髻	tɕi5	
鬃	tsuŋ1	
鬏	tɕiou1	
鬢	piən5	
鬼	kueⁱ1	
魁	kʰueⁱ1	
魂	xuən1	
魏	ueⁱ5	
魔	mo1	1
魔	ma1	2
魚	y1	
魚	tu1	~
魯	lu1	
鮎	nian1	
鮑	pɔ5	
鮮	ɕian1	
鯉	li1	
鯽	tɕi5	
鯨	tɕiŋ1	
鰓	sɛ1	
鰭	tɕʰi1	
鰥	kuan1	
鰾	pʰiɔ1	鱼~
鱉	piə1	
鱖	kueⁱ5	~鱼
鱗	liən1	
鳥	niɔ1	
鳩	tɕiou1	
雞	tɕi1	
鳴	miŋ1	
鴉	ia1	
鴨	ia1	
鴿	kə1	
鴻	xuŋ1	
鵝	ŋə1	
鵡	u1	鹦~
鵲	tɕʰyə5	
鶴	xə5	
鸚	iŋ1	
鷹	iŋ1	
鹿	lu5	
麝	ʂə5	
麥	meⁱ5	
麴	tɕʰy1	
麩	fu1	(麦~子)
麻	ma1	
黃	xuaŋ1	
黍	ʂu1	
黎	li1	
黏	nian1	
黑	xeⁱ1	
默	meⁱ5	
黢	tɕʰy1	
鼓	ku1	
鼠	ʂu1	
鼬	iou5	
鼻	pi1	
鼾	xan1	
齈	naŋ1	~鼻子
齊	tɕʰi1	
齒	tʂʰʅ1	
龍	luŋ1	
龜	kueⁱ1	
