#漢字	音標	解釋
#簡稱	/	沅陵渭溪
#全稱	/	沅陵渭溪話
#聲母	/	
#韻母	/	
#聲調	/	55 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,35 3 2 上 ꜂,,33 5 3 去 ꜄,,53 7 4 入 ꜆
#版本	/	2022-01-21
#錄入人	/	跳跳老鼠
#參考資料	/	《湘西鄉話語音研究》
#說明	/	
右	dza5	
葉	sei7	
嘆	tʰoŋ5	
各	ku7	
同	dəɯ2	
名	mẽ1	
吞	tʰuɛ1	
吠	fi5	
听	tʰɑŋ1	
吵	tsʰau3	
吹	tsʰui1	
吼	xəɯ7	
吾	vu3	
告	kəu5	
嘔	a5	
味	mi5	
命	mɑŋ5	
和	uɛ2	
咬	ȵio7	人～、狗～
咬	za7	人～骨头
咸	dʑiɛ2	
哄	xəɯ5	
響	ɕioŋ3	
啞	o3	
哥	ku1	
唱	tsʰoŋ5	
啄	tsʰue7	
啼	diɛ2	
喂	y5	
喉	ʔa2	
喜	kʰei3	
噴	fɛ2	
嘴	tɕy3	
嚼	tɕʰiau3	
四	ɕi5	
圍	y2	
圈	tɕʰyɛ1	
土	tʰiɛ3	
在	tsʰæ3	
地	tʰiɛ3	
場	dioŋ2	
坎	tɕʰioŋ3	
壞	xo3	
坐	tɕiɛ5	
坑	kʰɑŋ1	
塊	kʰo3	
壩	pu5	
墳	fɛ2	
坡	bɤɯ7	
坪	fɑŋ2	
墊	tʰɛ3	
埋	mei1	
城	tsẽ2	
堂	tʰoŋ1	
堆	to1	
堤	diɛ2	
塌	tʰo2	
塔	tʰo2	
塘	doŋ2	
塞	se7	
填	dɛ2	
牆	dʑioŋ2	
墨	me7	
墩	tuɛ1	
壁	pi7	
聲	sẽ1	
殼	kʰəu7	
壺	vu2	
多	ti1	
夜	zo5	
够	ka5	
大	lu5	
天	tʰɛ1	
頭	ta2	
夾	ko7	
契	tɕʰi5	
套	tʰəu5	
女	ȵiəu3	
好	ɦəu3	
婦	pʰa5	
姓	ɕiɛ5	
姜	tɕioŋ1	
娶	tsʰai3	
婚	xue1	
媒	maŋ1	
媳	ɕi2	
嫁	ku5	
嫂	tsʰau3	
嫩	lue5	
子	tsa3	
字	dza5	
孫	suɛ1	
學	əu2	
守	tsəu3	
安	ŋɑŋ1	
宋	səɯ5	
完	yɛ1	
官	koŋ1	
定	dɑŋ5	
宜	di2	
寶	pau3	
客	kʰu7	
害	o5	
家	ku1	
寄	tɕi5	
寡	ku3	
對	to5	
尋	ləu7	
封	fəu1	
射	dzu7	
少	tsau3	多～
尖	tsɛ1	
尘	tʰi1	
尚	tsʰɑŋ3	和～
就	tɕiəu5	
尺	tsʰu1	
尾	mɛ3	
尿	ȵiəu5	
屁	pʰi5	
層	dzɑŋ2	
屉	tʰo1	
屎	sɿ3	
屠	dəu2	
履	di3	
山	sɛ1	
歲	tso5	
岩	ŋa1	
崩	paŋ1	
州	tsa1	
工	kəɯ1	
巫	vu1	
差	tsʰu1	
巴	pu1	
布	pu5	
師	sa1	
帳	tioŋ5	
帕	pʰu5	
帚	tsu3	
帶	tui5	
席	ɕi1	
幫	pɑŋ1	
帽	məɯ5	
干	kʰoŋ1	
平	fɑŋ2	
年	lɛ1	
牀	dzoŋ2	
底	ta3	
廟	miau5	
座	tɕiɛ5	
開	kʰo1	
弄	ləɯ7	
張	tioŋ1	
彎	uã1	
彈	doŋ2	～琴
强	dʑioŋ2	
影	i3	
徒	dəu1	
得	te7	
徛	dza5	
心	ɕi1	
忘	moŋ5	
忙	mɑŋ1	
快	kʰo5	
急	ki7	
怪	kuai3	
惱	lau3	
惜	ɕiɛ7	
想	ɕioŋ3	
惹	zo3	
慌	xoŋ1	
慢	moŋ5	
懶	dzoŋ3	
戲	ɕi3	
成	tsẽ2	
戒	ka5	
戚	tɕʰi5	
戳	tia7	
戴	tei5	
房	voŋ2	
扁	pi3	
扇	sɛ1	
手	səɯ3	
才	dzai2	
扣	kʰa7	
掃	sau3	
掃	səu3	
揚	zoŋ2	
扮	poŋ5	
把	po3	～守
摳	kʰa1	
搶	tɕʰioŋ3	
報	pau5	
披	pʰa1	
抬	to2	
抱	bau5	
抹	ma7	
押	io3	
抽	tʰia1	
擔	toŋ5	～子
拆	tsʰa7	
拍	pʰu7	
拖	tʰi1	
拜	po5	
攏	ləɯ7	
攔	loŋ1	
拾	tsʰɿ1	
挂	ko5	
指	tsɿ3	
按	ŋɑŋ5	
挖	o3	
挾	ko7	～菜
捉	tso7	
捏	ȵia2	
撈	ləu1	
捱	ŋa1	～打
捲	tɕyɛ3	
捷	tɕʰiɛ3	
掀	ɕyɛ1	
掉	diəu3	
掐	dʑia2	
排	po2	
接	tɕi7	
推	tʰo1	
提	di1	
插	tsʰo7	
握	u2	
揭	tɕiɛ7	
搓	tsʰui1	
搜	sa1	
搞	kau3	
搬	poŋ1	
搭	to7	
摆	po3	
摇	zau2	
攤	tʰoŋ1	
摘	ti7	
摸	mu1	
撑	tsʰoŋ1	
撒	su7	
撞	tsʰoŋ5	
撤	tsʰa7	
擦	tsʰu7	
攀	pʰoŋ1	
收	sa1	
改	ka3	
放	foŋ5	
救	tɕia5	
教	kau1	～书
散	soŋ3	
數	sa3	
數	sa5	名
敲	kʰau1	
文	vɛ2	
斋	tso1	
斗	ta3	
斜	dʑio2	
斤	tɕiɛ1	
斧	fu3	
斷	tʰoŋ3	
新	ɕi1	
方	foŋ1	
旗	dʑi2	
日	ŋ̍7	
舊	ku3	
早	tsau3	
旱	ŋ̍3	
時	tɕy2	
明	mɑŋ2	
星	sẽ1	
春	tsʰuɛ1	
是	tsʰɛ3	
曬	sa5	
曉	ɕiau3	
暗	ŋɑŋ5	
更	kẽ1	五～
替	tʰi5	
月	y7	
有	va3	
朋	bəu2	
服	fəu1	
朝	tiau1	今～
木	ŋoŋ7	
本	pɛ3	
殺	so7	
杉	so1	
李	di3	
杏	xẽ3	
村	tsʰue1	
杠	koŋ5	
條	lau2	
來	zɛ2	
松	səɯ1	～开
松	dʑiəu2	～树
板	poŋ3	
枇	bi2	
枕	tsɛ3	
林	zɛ1	
枝	tsei1	
棗	tsau3	
楓	fəɯ1	
架	ko5	
柄	pɑŋ5	
柑	koŋ1	
染	ȵiɛ3	
櫃	kui3	
查	dzo2	調～
柱	tʰia3	
柳	dia7	
欄	loŋ1	
樹	tsa5	
株	ta1	
樣	zoŋ5	
格	ke7	
栽	tso1	
桃	lau2	
桐	dəɯ2	
桑	soŋ1	
橋	dʑiau2	
桶	tʰəɯ1	
夢	məɯ5	
梨	za2	
梭	sui1	织布～
梯	tʰa1	
梳	sei1	～头
棉	mi2	
棋	dʑi2	
棍	kue5	
棒	pɑŋ5	
棚	bəu2	
森	sɛ1	
椅	i3	
椿	tsʰuɛ1	
楔	ɕiɛ7	
樓	la1	
槌	tui1	
槽	tsau2	
模	mu2	
橫	uɛ2	
檀	doŋ2	
歡	xõ1	
歌	kui1	
正	tsẽ1	～月
正	tsẽ5	
武	vu3	
死	ɕi3	
殿	tʰɛ3	
毒	təu2	
比	pi3	～较
毛	mau1	
气	tɕʰi5	
水	tsu3	
求	tɕia2	
汗	ŋ̍5	
池	dzɿ2	
汽	tɕʰi5	
沉	dɛ2	
沓	tʰo3	一～纸
沙	su1	
溝	ka1	
漚	a5	
油	za1	
泅	dʑia2	
泉	tsuɛ2	
法	fa2	方～
泡	pʰəu5	～在水里
泥	ȵi1	
洋	zoŋ2	
洞	dəɯ5	
洪	ɣəu2	
活	xo2	
派	pʰa5	
流	dzəɯ2	
漿	tɕioŋ1	
澆	tɕiau1	
濃	ȵiəu1	
浪	loŋ5	
浮	fəu1	
海	xai7	
漲	tioŋ3	
澀	tɕio7	
涮	soŋ5	
淋	zɛ2	
淘	dau2	～米
淡	doŋ5	
深	sɛ1	
淹	ɑŋ1	
添	tʰɛ1	
清	tsʰẽ1	
渣	tsu1	
溫	ue1	
湖	u2	
灣	uã1	
溼	dʑi2	
濺	tso5	
溪	kʰa1	
滓	tso1	
滾	kuɛ3	
滿	moŋ3	
灘	tʰoŋ1	
滴	ti2	
漂	pʰiau7	～白
漏	za5	
潭	doŋ2	
潲	sau5	猪食
澄	dɛ5	
澡	tsau3	
火	fo3	
燈	tɑŋ1	
灰	xei1	
灸	tɕia3	
災	tso1	
爐	ləu1	
炒	tsʰau3	
炙	tsu7	
炭	tʰoŋ5	
炮	pʰəu5	
炸	tso7	
點	tɛ3	
烘	ɦəɯ1	～干
燭	tsəu7	
烟	iɛ1	
燒	sau1	
熱	dze7	
焙	pei1	
焦	tɕiau1	
煤	mei1	
照	tsau5	
煮	tsəu3	
熟	tsʰəu1	
熥	tʰəɯ1	
熬	ŋau1	
燃	ȵiɛ1	
爪	tsau3	
爹	tia1	
牌	po2	
牙	ŋu1	
牛	ȵi1	
牢	ləu1	
牲	sɑŋ1	
牽	tɕʰiɛ1	
犁	di1	
犬	kʰuɛ3	
狀	tsʰoŋ5	
狹	u2	
獅	sa1	
猜	tsʰo1	
豬	tiəɯ1	
貓	mau1	
獺	tʰo3	水～
王	ŋoŋ2	
珠	tsu1	
班	poŋ1	
球	tɕia2	
理	diɤɯ3	
瓣	ma7	
瓦	o3	
瓮	ʔəɯ5	
瓷	dzɿ2	
甘	koŋ1	
甜	lɛ2	
生	sɑŋ1	
甥	suɛ1	
田	lɛ2	
男	lɑŋ1	
界	ko5	
留	tsəɯ1	
疔	tɑŋ1	
瘡	tsʰoŋ1	
疿	fei1	
病	fɑŋ5	
痒	dzoŋ3	
痔	tsɿ5	
痛	səu5	
痢	di5	
痣	tsɿ5	
痰	dɑŋ2	
瘌	lo2	
瘦	tʰo5	
癩	lo5	
白	pʰu1	
百	pu1	
皮	fo2	
盆	pɛ2	
盞	tsɛ3	
鹽	zɛ2	
盒	xo2	
盖	ko5	
盜	tʰau3	
盤	poŋ2	
直	tʰiəu1	
真	tsɛ1	
眼	ŋɛ3	
着	tue7	～衣
着	tɕʰy1	睡～
着	tʰo1	打～了
睡	tɕʰy5	
瞒	moŋ1	
瞿	dʑy2	
矮	o3	
石	tsʰu1	姓～
砌	tɕʰi5	
磚	tsue1	
破	pʰei5	
硬	ŋɑŋ5	
確	kʰo2	
碎	so5	
碑	pei1	
碗	ŋoŋ3	
碾	lɛ3	
磉	soŋ3	柱下石
磨	mu1	
禮	diəu3	
票	pʰiəu5	车～
祭	tɕiɛ5	
禍	uɛ3	
福	fu2	
秋	tɕʰia1	～天
秤	tsʰɑŋ5	
秧	ioŋ1	
稱	tsʰɑŋ1	
稗	pʰo1	
穩	uɛ3	
空	kʰəu1	～虚
空	kʰəu5	～缺
窑	zau1	
窗	tsʰoŋ1	
窠	kʰui1	
豎	dza5	
竹	tsəɯ7	
竿	koŋ1	
笋	suɛ3	
笑	səu5	
笔	pa7	
笛	ti2	
籠	ləɯ1	
等	tɑŋ3	
筋	ki1	
筏	ba2	
筒	dəu2	
答	to7	
篩	so1	
箏	tsɛ1	
筷	kʰo5	
签	tsʰɛ1	
箅	bi5	
箍	ku1	
算	soŋ5	
籮	lui1	
箭	tsɛ5	
箱	ɕioŋ3	
箸	tiəu5	筷子
簍	da1	
籃	lɑŋ1	
篷	bəɯ2	
篾	mi1	
簟	lɛ1	
簪	tsɑŋ1	
簸	pei3	
米	miɛ3	
粉	pɛ3	
粗	tsʰei1	
糧	dioŋ1	
精	tsẽ1	
糖	loŋ2	
緊	tɕiɛ3	
紫	tsa3	
累	lau3	
紅	ɣəu2	
納	le7	
紙	tsɛ3	
紡	foŋ3	
線	zo5	
細	ɕi5	
織	tsəu7	
絆	poŋ5	
綁	pɑŋ3	
絞	tɕiau1	
綢	dia2	
綠	dia7	
縫	bəɯ2	～衣服
縫	vəɯ5	一条～
缺	tsʰuei2	
网	voŋ3	
罰	fo7	
罩	tsəu5	
罪	tso5	
羊	zoŋ2	
翅	tsɿ5	
老	lau3	
耙	po5	
耳	ȵiɑŋ3	
耽	tɑŋ1	
聾	tsəu1	
聒	kʰo3	～耳朵
聰	tsʰəu1	
肉	ȵiəu7	
肚	təu3	
肝	koŋ1	
腸	dioŋ2	
肤	fa2	
肥	fi2	
肩	tɕiɛ1	
肯	kʰɑŋ3	
肺	fi5	
脹	tioŋ5	
膽	toŋ3	
背	ba1	
背	pʰo3	
胎	tʰo1	
胞	pau1	
脆	tɕʰy5	
脉	me7	
臍	dʑy1	
腦	lau3	
腳	kue7	
脫	tʰu7	
脾	bi2	
臘	lo7	
腌	iɛ1	
腐	fu3	
腔	tɕʰioŋ1	
腥	sẽ1	
膩	ȵi5	
腿	tʰo3	
膏	kau1	
臊	səu1	
自	tɕʰi1	
臭	tsʰəu5	
舂	tsʰəu1	
舅	ko5	
舌	dze7	
舍	so3	
舐	dzɛ3	以舌取物
舵	dui1	
船	dzuɛ2	
芋	vu5	
蘆	ləu1	
莧	ŋoŋ5	
苦	kʰu3	
茄	dʑyɛ2	
茅	mau1	
繭	tɕi3	
草	tsʰau3	
荒	xoŋ1	
蕎	dʑiau2	
葷	xuɛ1	
藥	zue2	
莫	mo2	
菌	tɕʰy3	
菜	tsʰei5	
菢	pʰau3	
菩	bu2	
葛	ku7	
葱	tsʰəu1	
蒜	soŋ5	
蒸	tsɑŋ1	
蓑	sui1	
蓖	bi5	
藍	lɑŋ1	
薄	bu7	
薅	ɦəu2	
薪	ɕi1	
藕	ŋəɯ7	
藤	dzoŋ2	
蘸	ta1	～醋
蟲	diəu2	
蝦	xu1	
蚊	mo2	
蛆	tɕʰiəɯ1	～虫
蛛	tsu1	
蜂	fəɯ1	
蛻	lui1	
蠟	lo7	
螃	poŋ2	
融	zəu2	
蟹	ku5	
血	ɕy7	
街	ka1	
衣	i1	
補	pu3	
袍	bau2	
袖	dʑiəu5	
袜	bo2	
被	fo3	～子
裁	dzɛ2	
裂	dzo2	
裝	tsoŋ1	
裌	ko7	
裙	dʑyɛ2	
襻	pʰoŋ5	
西	ɕi1	
覺	kau5	睡～
角	kəu7	
解	ka3	～开
認	ȵi5	
討	la3	～饭
讓	ȵioŋ5	
講	kɑŋ3	
許	xəɯ3	
診	tsɛ3	
該	ka1	
請	tsʰẽ3	
讀	ləɯ2	
調	tʰiau7	～换
謊	xoŋ3	
讒	dza2	
謎	mi3	
谷	ku1	
豆	da5	
豌	uɑŋ1	～豆
象	dʑioŋ3	
豹	pau5	
財	tso2	
敗	pʰo1	
賬	tioŋ5	
貨	xui5	
貴	tɕy5	
賊	tsʰe1	
賒	su1	
賠	bo2	
賺	tuɛ5	
贏	zẽ2	
起	tɕʰi3	
跌	da7	
跟	kɛ1	
跪	tɕʰy3	
跳	dau5	
踢	tʰia7	
蹄	diɛ2	
蹲	tso2	
身	sɛ1	
車	tsʰu1	～马
軋	o7	
輕	tɕʰi1	
轎	tɕʰiau3	
輸	su1	
辣	lo7	
辮	pi1	
過	kui5	
近	tɕʰiɛ3	
還	ei2	
遠	vɛ3	
遲	di2	
迷	mi1	
退	tʰo5	
送	səɯ5	
透	tʰa5	
逐	dzəu7	
遞	ti3	
通	tʰəɯ1	
逼	pi7	
遍	piɛ5	
道	tʰau3	
遮	tsu1	
酉	za1	
酒	tɕia3	
醬	tɕioŋ5	
酸	dzəu2	
醉	tɕy5	
醒	sẽ3	
里	tɕi7	市～
里	diɤɯ5	市～；～面
重	tʰiəu3	輕～
野	zo3	
金	tɕiɛ1	
针	tsɛ1	
釘	tɑŋ1	
钟	tsəɯ1	
鋼	koŋ1	
鑰	zue7	
鉤	kei2	
錢	tsɛ2	
鉗	tɕiɛ2	
鉢	pu7	
鑽	tsoŋ5	
鐵	tʰa7	
鈴	lɑŋ1	
銅	dəɯ2	
鍘	tsa2	
鉸	kau1	
铲	tsʰɛ3	
銃	tsʰəɯ5	
銀	ȵiɛ1	
鋪	pʰu5	
鎖	suɛ3	
鏽	ɕiəɯ5	
錯	tsʰue5	
錫	ɕi7	
鑼	lui1	
錘	tui2	
錐	tɕy1	
鋸	kei5	名
鋸	ko5	动
鏡	tɕiɛ5	
鐲	tso2	
镰	di1	
鑲	ɕioŋ1	
長	tioŋ3	生～
長	dioŋ2	～短
門	mɛ1	
閂	suã1	
閃	sɛ3	
閉	pi5	
問	me5	
閏	zuɛ5	
鬧	lau5	
鬮	ka1	
闡	tso7	
闊	kʰui7	
隊	to3	
陳	diɛ2	
陡	ta3	
院	yɛ5	
隔	ku7	
難	loŋ1	～易
雀	tɕʰy7	
雄	ɕiəu2	
雨	va3	
零	lɑŋ1	
霜	soŋ1	
露	lui5	
青	tsʰẽ1	
靠	kʰəu5	
面	mi5	
鞭	pi1	
韭	tɕia3	
頁	iɛ7	
順	zue5	
領	lẽ3	
額	ŋo7	
顛	tɛ1	
風	fəɯ1	
飛	fi1	
食	zəu2	
飺	dʑi2	
飯	mɑŋ1	
飲	ɑŋ3	
餌	ȵiɑŋ5	
餉	soŋ7	
餓	ȵi5	
餿	sa1	
香	tɕʰioŋ1	
馬	mo3	
馳	tʰo1	
驢	lui1	
駭	xo7	
騎	tɕiɛ2	
骨	ko7	
髓	ɕy3	
高	kau1	
鬼	tɕy3	
魂	uɛ2	
魚	ȵiəɯ1	
鮎	ȵio1	
鮮	ɕi1	
鯉	di3	
鰓	xu1	
鱖	tɕy5	
鵝	ui1	
雞	ka1	
鴨	ui7	
鴿	ko2	
鵲	tɕʰia7	
麥	mu7	
麩	fu1	
麴	kʰe7	
麻	mo1	
黃	ŋoŋ2	
黑	kʰi7	
黢	tɕʰy1	
鼓	ku3	
鼠	su3	
鼾	xɑŋ2	
齊	dʑiɛ2	
龍	diəɯ1	
龜	kui1	
