#漢字	音標	解釋
□	nɑ1	大拇指到中指的距离
你	ni3	
佩	pʰei5	
佳	tɕiɑ1	
使	ʂʅ3	
侄	tʃɿ5	
例	li5	
侍	ʂʅ5	
供	kuŋ3	~给
供	kuŋ3	~养
依	i1	
偵	tʃəŋ1-	
側	tʂʰə3	
侵	tsʰiẽ1	
便	pʰiã3	~宜
便	piã5	方~
促	tθʰu3	
俊	tsyẽ1	
俏	tsʰiɔ1	
俗	θu5	
保	pɔ3	
信	siẽ1	
倆	liɑ3	
儉	tɕiã3	
修	siou1	
俱	tɕy5	
俺	ã3	
倍	pei5	
倒	tɔ5	~水
倔	tɕyə5	~强
候	xou5	
借	tsiə1	
倡	tʃʰɑŋ1	
倦	tɕyã5	
倪	ni1	
債	tʂɛ5	
值	tʃɿ5	
傾	tɕʰiŋ1	
假	tɕiɑ3	放~
假	tɕiɑ3	真~
偏	pʰiã1	
做	tθou5-	
做	tθuə5	
停	tʰiŋ3	
健	tɕiã5	
偶	ou3	配~
偷	tʰou1	
傀	kʰuei1	
傅	fu5	
傍	pʰɑŋ5	
儲	tʃʰu3	
催	tθʰei1	
傲	ɔ5	
傻	ʃɑ3	
僧	əŋ1	
僻	pʰi3	
儒	y3	
儡	lei3	
兒	ər5	
允	yẽ3	
元	yã5	
兄	ɕyŋ1	
充	iã1	
充	tʂʰuŋ1	
先	siã1	
光	kuɑŋ1	
免	miã3	
兑	tei5	
兔	tʰu5	
黨	tɑŋ3	
兜	tou1	
入	y1	
全	tsʰyã5	
八	pɑ3	
公	kuŋ1	
六	liou1	
蘭	lǎ5	
共	kuŋ5	
關	kuã1	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
具	tɕy5	
典	tiã3	
養	iɑŋ3	
兼	tɕiã1	
獸	ʃou5	
冀	tɕi5	
内	nei5	
岡	kɑŋ1	
册	tʂʰei3-	
再	tθɛ1	
冒	mɔ5	
寫	siə3	
軍	tɕyẽ1	
農	nu5	
冠	kuã5	~军
冤	yã1	
冬	tuŋ1	
馮	fəŋ3	
冰	piŋ1	
冲	tʂʰuŋ1	
決	tɕyə3	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	tuŋ1	
淨	tsiŋ5	
準	tʃuẽ3	
涼	liɑŋ5	
凌	liŋ5	
減	tɕiã3	
湊	tθʰou5	
凜	liẽ5	
几	tɕi3	~个
几	tɕi1	茶~
凡	fã5	
鳳	fəŋ1	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕyŋ1	
出	tʃʰu3	
擊	tɕi1	
鑿	tθuə5	
刀	tɔ1	
刁	tiɔ1	
分	fẽ1	
切	tsʰiə3	
刊	kʰã3	
刑	ɕiŋ5	
划	xuɑ5	
劉	liou5	
則	tθə5	新
創	tʂʰuɑŋ3	
初	tʂʰu1	
删	ʂã3	
判	pʰã5	
利	li5	
别	piə5	又
别	pɛ5	又
刮	kuɑ3	
到	tɔ5	
制	tʃɿ3	
刷	ʂuɑ3	
券	tɕyã5	
刺	tθʰɿ5	
刺	tθʰɿ1	鱼~
刻	kʰei5	
刴	tuə5	
剃	tʰi1	
削	syə3	
前	tsʰiã5	
剮	kuɑ3	
劍	tɕiã3	
剔	tʰi5	
剖	pʰɔ1	
剩	ʃəŋ5	
剪	tsiã3	
副	fu5	
割	kɑ3	
剿	tθʰɔ1	
劈	pʰi3	
力	li5	
勸	tɕʰyã1	
辦	pã5	
功	kuŋ1	
加	tɕiɑ1	
務	u5	
劣	liə5	
動	tuŋ5	
助	tʂu5	
努	nu5	
劫	tɕiə3	
勁	tɕiẽ5	
勞	lɔ5	
勢	ʃɿ5	
勃	pə5=	
勉	miã3	
勒	lə3	又
勒	lei5	又
勤	tɕʰiẽ5	
勺	ʃuə5	
勾	kou1	
匀	yẽ1	
包	pɔ1	
化	xuɑ5	
北	pei3	
匙	tʂʰʅ5	
匠	tsiɑŋ5	
匣	ɕiɑ5	
匪	fei1	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	piã3	
十	ʃɿ5	
千	tsʰiã1	
卅	θɑ1	
升	ʃəŋ1	
午	u3	
半	pã1	
華	xuɑ5	~山
華	xuɑ1	中~
協	ɕiə3	
卒	tθu5	
單	tã1	
單	ʃã5	姓
賣	mɛ5	
南	nã1	
博	pə5	
卜	pu3	占~
占	tʃã3	
卤	lu3	
卦	kuɑ1	
臥	ue1	
衛	uei5	
卯	mɔ3	
印	iẽ5	
危	uei3	
卷	tɕyã3	~起
卷	tɕyã5	试~
卸	siə5	
卿	tɕʰiŋ1	
廠	tʃʰɑŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	iɑ3	
厭	iã5	
廁	tʃʰɿ5	
厘	li5	
厚	xou5	
原	yã1	
厦	ɕiɑ5	~门
廚	tʃʰu5	
厮	θɿ1	
去	tɕʰy1	又
去	tɕʰy5	又
縣	ɕiã5	
参	tθʰã1	
参	ʂẽ1	人~
叉	tʂʰɑ1	
及	tɕi5	
友	iou3	
雙	ʂuɑŋ1	
雙	ʂuɑŋ5	一对~
反	fã3	
发	fɑ3	
叔	ʃu3	
取	tsʰy3	
受	ʃou5	
變	piã1	又
變	piã5	又
叛	pʰã5	
叟	ʂou1	
疊	tiə5	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叩	kʰou1	
只	tʃɿ3	三~鸡
叫	tɕiɔ5	
召	tʃɔ1	
可	kʰuə3	
台	tʰɛ1	
史	ʂʅ3	
右	iou1	
葉	iə5	
號	xɔ5	
司	θɿ1	
嘆	tʰã1	
吃	tʃʰɿ3	
各	kuə3	
合	xue5	
吉	tɕi3	
吊	tiɔ5	
同	tʰuŋ5	
名	miŋ5	
后	xou5	
吏	li5	
吐	tʰu3	呕~
向	ɕiɑŋ1	又
向	ɕiɑŋ5	又
嚇	ɕiɑ5	~一跳
呂	ly3	
君	tɕyẽ1	
吝	liẽ5	
吞	tʰẽ1	
否	fɔ3	
含	xã5	
聽	tʰiŋ1	
啓	tɕʰi5	
吳	u5	
吵	tʂʰɔ3	
吸	ɕi3	
吹	tʂʰuei1	
吻	uẽ1	
吼	xou5	
呆	tɛ1	~板
呆	tɛ1	痴~
告	kɔ5	
嘔	ou3	
員	yã5	
周	tʃou1	
味	uei5	
呼	xu1	
命	miŋ5	
和	xue5	~气
和	xue5	~面
咒	tʃou1	
咩	miə3	
咬	iɔ3	
咳	kʰuə3-	~嗽
咸	ɕiã3	
哀	ɛ1	
品	pʰiẽ3	
哄	xuŋ3	~骗
響	ɕiɑŋ3	
啞	iɑ3	
哥	kuə1	
哪	nɑ3	
哭	kʰu3	
哲	tʃə3	
哽	kəŋ3	
唆	θuə1	
脣	tʃʰuẽ5	
喚	xuã5	
唯	uei1	
唱	tʃʰɑŋ1	
商	ʃɑŋ1	
啊	ɑ1	
善	ʃã5	
喉	xou5	
喊	xã3	
喘	tʃʰuã3	
喜	ɕi3	
喝	xɑ3	
喧	ɕyã3	
噴	pʰẽ1	
喻	y5	
嗓	θɑŋ3	
嗽	ʂou1	
嘘	ɕy1	吹~
囑	tʂu1	
嘴	tθei3	
嘻	ɕi1	
噎	iə3	
器	tɕʰi5	
囂	ɕiɔ3	
嚷	iɑŋ1	
嚼	tsyə5	
囊	nɑŋ1	
囚	tsʰiou5	
四	θɿ1	
回	xuei5	
因	iẽ1	
团	tʰã5	
囤	tẽ5	
困	kʰuẽ5	
囱	tθʰuŋ3	
圍	uei5	
固	ku5	
國	kuə3	
圖	tʰu5	
圓	yã5	
圈	tɕʰyã1	圆~
圈	tɕyã5	猪~
土	tʰu3	
聖	ʃəŋ5	
在	tθɛ3	
在	tei3	~家里
地	ti5	
場	tʃʰɑŋ3	
場	tʃʰɑŋ5	打~
址	tʂʅ3	
均	tɕyẽ1	
坍	tʰã1	
壞	pʰei1	
壞	xuɛ5	
坐	tθuə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕiã1	
坛	tʰã5	
墳	fẽ5	
墜	tʂuei5	
坡	pʰə3	
坤	kʰuẽ1	
坦	tʰã5	
垂	tʂʰuei5	
壟	luŋ3	
垒	lei3	
垢	kou5	
墾	kʰẽ3	
墊	tiã5	
垮	kʰuɑ3	
埋	mɛ1	
城	tʃʰəŋ5	
域	y5	
埠	pu5	
培	pʰei5	
基	tɕi1	
堂	tʰɑŋ5	
堆	tθei1	
墮	tuə5	
堵	tu3	
塌	tʰɑ3	
塑	θu1	
塔	tʰɑ3	
塞	θei5	
填	tʰiã5	
境	tɕiŋ3	
墅	ʃu5	
墓	mu5	
牆	tsʰiɑŋ5	
增	tθəŋ1	
墨	mei1	
墩	tẽ1	
壁	pi3	
士	ʂʅ1	
壬	iẽ3	
壯	tʂuɑŋ5	
聲	ʃəŋ1	
殼	tɕʰyə3-	
壺	xu5	
處	tʃʰu3	~所
處	tʃʰu3	相~
備	pei5	
夏	ɕiɑ5	春~
外	uɛ5	
多	tuə1	
夜	iə5	
够	kou1	又
够	kou5	又
大	tɛ5	~夫
大	tɑ1	又
大	tɑ5	又
天	tʰiã1	
太	tʰɛ1	
夫	fu1	
夭	iɔ1	
央	iɑŋ1	
失	ʃɿ3	
頭	tʰou5	
夸	kʰuɑ1	
夾	tɕiɑ3	
奪	tuə5	
奇	tɕʰi5	
奉	fəŋ3	
奮	fẽ5	
奎	kʰuei5	
契	tɕʰi5	
奔	pẽ5	
獎	tsiɑŋ3	
套	tʰɔ1	
奧	ɔ5	
女	ny3	
奴	nu5	
奶	nɛ3	
奸	tɕiã1	
好	xɔ3	~坏
如	y5	
婦	fu1	
媽	mɑ1	
妊	iẽ3	
妒	tu5	
妓	tɕi1	
妖	iɔ1	
妙	miɔ1	
妥	tʰuə3	
妨	fɑŋ3	
妹	mei5	
妻	tsʰi1	
姊	tθɿ3	
始	ʂʅ5	
姐	tsiə3	
姑	ku1	
姓	siŋ5	
委	uei3	
姘	pʰiẽ5	
姜	tɕiɑŋ1	
姨	i5	
姻	iẽ1	
威	uei1	
娃	uɑ5	
娘	niɑŋ5	
娠	tʃʰẽ5	
娛	y5	
娶	tsʰy3	
婆	pʰə5	
婉	uã3	
婚	xuẽ1	
婪	lǎ1	
嬰	iŋ1	
嬸	ʃẽ3	
婿	sy3	女~
媒	mei5	
媚	mei5	
媳	si1	
嫁	tɕiɑ5	
嫂	θɔ3	
嫌	ɕiã5	
嫚	mã1	
嫡	ti5	
嫩	lẽ5	
孔	kʰuŋ3	
孕	yẽ1	
字	tθɿ5	
存	tθʰẽ5	
孫	θẽ1	
孝	ɕiɔ5	
季	tɕi5	
孤	ku1	
學	ɕyə5	
孩	xɛ5	
孽	niə5	
寧	niŋ5	
守	ʃou3	
安	ã1	
宋	θuŋ1	
完	uã5	
宏	xuŋ1	
宗	tθuŋ1	
官	kuã1	
定	tiŋ5	
宜	i5	
寶	pɔ3	
實	ʃɿ5	
寵	tʂʰuŋ3	
客	kʰei3	
宣	syã3	
室	ʃɿ5	
宪	ɕiã3	
宮	kuŋ1	
宰	tθɛ3	
害	xɛ5	
家	tɕiɑ1	
容	yŋ3	
寬	kʰuã1	
賓	piẽ1	
宿	sy3	
寄	tɕi5	
寅	iẽ1	
密	mi5	
寇	kʰou5	
富	fu5	
寒	xã5	
寢	tsʰiẽ5	
寡	kuɑ3	
寨	tʂɛ5	
寸	tθʰẽ5	
對	tei1	
尋	syẽ5=	
尋	siẽ1	~思
導	tɔ5	
壽	ʃou1	
封	fəŋ1	
射	ʃə5	
將	tsiɑŋ1	~来
尊	tθẽ1	
小	siɔ3	
少	ʃɔ3	~年
少	ʃɔ3	多~
尖	tsiã1	
塵	tʃʰẽ5	
尤	iou1	
堯	iɔ5	
就	tsiou5	
屍	ʂʅ1	
尺	tʃʰɿ3	
尼	ni1	
尽	tsiẽ5	
尾	uei3	
尿	niɔ5	
局	tɕy5	
屁	pʰi1	
層	pi1	
層	tθʰəŋ5	
居	tɕy1	
屈	tɕʰy3	
屆	tɕiɛ5	
屋	u1	
屎	ʂʅ3	
屑	siə5	
展	tʃã3	
屬	ʂu3	
屠	tʰu5	
屢	ly3	
履	ly3	
屯	tʰẽ5	
山	ʂã1	
歲	θei5	
豈	tɕʰi3	
島	tɔ3	
巖	ã5	
岳	yə3	
峰	fəŋ1	
崇	tʂʰuŋ3	
崔	tθʰei1	
崖	iɛ5	
崩	pəŋ1	
嵌	tɕʰiã5	
嵩	θuŋ1	
巍	uei3	
州	tʃou1	
巡	syẽ5	
巢	tʂʰɔ1	
工	kuŋ1	
左	tθuə1	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	kuŋ3	
差	tʂʰɑ5	
差	tʂʰɑ1	~不多
差	tʂʰɛ1	出~
己	tɕi3	
巳	θɿ1	辰~
巴	pɑ5	
巷	ɕiɑŋ5	
巾	tɕiẽ1	
幣	pi5	
市	ʂʅ5	
布	pu1	
帥	ʂue5	
帆	fã1	
師	ʂʅ1	
希	ɕi1	
帳	tʃɑŋ1	
帖	tʰiə3	
帚	tʃu5	
帝	ti5	
帶	tɛ1	
席	si5	
幫	pɑŋ1	
常	tʃʰɑŋ5	
帽	mɔ5	
干	kã1	~湿
干	kã1	~活
平	pʰiŋ5	
年	niã5	
并	piŋ1	
幸	ɕiŋ5	
幻	xuã5	
幼	iou1	
幽	iou5	
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tɕʰiŋ1	
庇	pi5	
牀	tʂʰuɑŋ5	
序	sy5	
廬	lu5	
庫	kʰu5	
應	iŋ1	~当
應	iŋ5	答~
底	ti3	
店	tiã5	
廟	miɔ5	
庚	kəŋ3	
府	fu3	
龐	pʰɑŋ5	
廢	fei5	
度	tu5	
座	tθuə5	
庭	tʰiŋ1	
庵	ã1	
康	kʰɑŋ1	
建	tɕiã5	
開	kʰɛ1	
异	i5	
弃	tɕʰi1	
弄	luŋ5	
式	ʃɿ3	
弓	kuŋ1	
引	iẽ3	
弘	xuŋ5	
弟	ti5	
張	tʃɑŋ1	
彎	uã1	
弱	yə3	
彈	tã5	
强	tɕʰiɑŋ5	
歸	kuei1	
當	tɑŋ1	
录	lu1	
形	ɕiŋ5	
彩	tθʰɛ3	
彪	piɔ1	
影	iŋ3	
徹	tʃʰə5	
往	uɑŋ5	
征	tʃəŋ1	
徑	tɕiŋ3	
待	tɛ5	
很	xẽ1	
律	ly5	
徐	sy5	
徒	tʰu5	
得	tə3=	
御	y5	
微	uei3	
德	tei3	
心	siẽ1	
必	pi3	
憶	i5	
忌	tɕi5	
忍	iẽ3	
志	tʂʅ5	
忘	uɑŋ5	
忙	mɑŋ5	
忠	tʂuŋ1	
憂	iou1	
快	kʰuɛ1	
念	niã5	
懷	xuɛ5	
態	tʰɛ1	
慪	ou3	
怎	tθẽ1	
怒	nu5	
怕	pʰɑ1	
憐	liã5	
思	θɿ1	
怡	i5	
急	tɕi3	
怨	yã5	
怪	kuɛ1	
怯	tɕiə3	
怯	tɕʰiə3	
總	tθuŋ3	
恁	nẽ3	
戀	liã5	
恐	kʰuŋ3	
恕	ʃu5	
恢	xuei1	
恨	xẽ5	
恩	ẽ1	
恭	kuŋ1	
息	si3	
恰	tɕʰiɑ3	
恶	ue1	又
恶	ue5	又
恶	u5	可~
悄	tsʰiɔ1	
悔	xuei5	
悟	u5	
患	xuã5	
悦	yə3	
懸	ɕyã5	
悲	pei1	
驚	tɕiŋ1	
惜	si3	
惠	xuei5	
慘	tθʰã1	
懲	tʃʰəŋ5	
慚	tθʰã5	
慣	kuã5	
惰	tuə5	
想	siɑŋ3	
惹	iə3	
愁	tʂʰo5	
愈	y5	
愉	y5	
意	i5	
愚	y1	
感	kã3	
憤	fẽ5	
愧	kuei1	
願	yã1	
慈	tθʰɿ5	
慌	xuɑŋ1	
慎	ʃẽ3	
慕	mu5	
慢	mã5	
慧	xuei5	
慨	kʰɛ3	
慰	uei3	
憋	piə3	
憎	tθəŋ5	
憾	xã5	
懂	tuŋ3	
懈	siɛ5	
懊	ɔ3	~悔
懶	lǎ3	
戈	kuə3	
戊	u3	
戌	sy1	戊~变法
戲	ɕi5	
成	tʃʰəŋ5	
我	ue3	
戒	tɕiɛ5	
或	xue5	
戰	tʃã1	
戚	tsʰi5	
截	tsiə5	
戳	tʂʰuə5	
戴	tɛ5	
戶	xu5	
房	fɑŋ5	
所	ʂuə3	
扁	piã3	
扇	tʃʰã5	
手	ʃou3	
才	tθʰɛ5	
扎	tʂɑ3	
打	tɑ3	
扔	ləŋ1	
托	tʰuə3	
扛	kʰɑŋ5	
扣	kʰou1	
執	tʃɿ3	
擴	kʰuə1	
掃	θɔ3	
扭	niou3	
扮	pã5	
扯	tʃʰə3	
擾	iɔ5	
扶	fu5	
批	pʰi1	
扼	ə5	~杀
找	tʂɔ3	
承	tʃʰəŋ5	
技	tɕi1	
抄	tʂʰɔ1	
把	pɑ5	
抓	tʂuɑ3	
投	tʰou5	
抖	tou5	
折	tʃə3	~断
折	tʃə3	弄~了
撫	fu5	
抛	pʰɔ1	
摳	kʰou1	
搶	tsʰiɑŋ3	
護	xu5	
報	pɔ5	
披	pʰei1	
抬	tʰɛ5	
抱	pɔ1	
抵	ti1	
抹	mə3	
抽	tʃʰou1	
拃	tʂɑ1	大拇指到食指的距离
擔	tã1	~任
擔	tã5	~子
拆	tʂʰei3	
拈	niã3	
拉	lɑ3	
拍	pʰei3	
拐	kuɛ3	
拒	tɕy5	
拔	pɑ5	
拖	tʰuə1	
拘	tɕy1	
拙	tʃuə1	
招	tʃɔ1	
拜	pɛ5	
攏	luŋ3	
揀	tɕiã3	
擁	yŋ3	
攔	lǎ3	
撥	pə3	
擇	tʂei3	
擇	tθə5=	
括	kʰuə3	包~
拯	tʃəŋ1	
拳	tɕʰyã5	
拼	pʰiẽ1	
拽	tʂuɛ1	
拾	ʃɿ5	
拿	nɑ5	
持	tʃʰɿ5	
挂	kuɑ1	
指	tʂʅ3	
按	ã1	
挑	tʰiɔ3	
挖	uɑ1	
撓	nɔ1	
擠	tsi3	
揮	xuei1	
挨	ɛ1	~次
挪	nuə5	
振	tʃẽ5	
挺	tʰiŋ3	
捅	tʰuŋ3	
捆	kʰuẽ3	
捉	tʂuə3	
捋	lu1	~袖
捎	ʂɔ1	
捏	niə1	
捐	tɕyã1	
捕	pu3	
損	θẽ3	
換	xuã5	
捧	pʰəŋ3	
据	tɕy5	
捷	tsiə3	
捺	nɑ5	
掀	ɕiã1	
掂	tiã1	~掇
掉	tiɔ5	
掌	tʃɑŋ3	
掏	tʰɔ1	
掐	tɕʰiɑ3	
排	pʰɛ5	
探	tʰã5	
接	tsiə3	
控	kʰuŋ3	
推	tʰei1	
掩	iã3	
措	tθʰuə5	
揉	iou1	
描	miɔ5	
提	tʰi5	
插	tʂʰɑ3	
揖	i3	
握	ue5	
揣	tʂʰuɛ1	~度
揪	tsiou1	
揭	tɕiə3	
援	yã1	
攙	tʂʰã1	
摟	lou3	
攪	tɕiɔ3	
搓	tθʰuə1	
搜	ʂou1	
搞	kɔ3	
搬	pã1	
搭	tɑ3	
攜	ɕiə5	
搽	tʂʰɑ3	
攝	niə5	
摆	pɛ3	
摇	iɔ5	
攤	tʰã1	
摔	ʂue1	
摘	tʂei3	
摞	luə5	~起来
摸	mə1	
摺	tʃə3	
撇	pʰiə3	
撑	tʂʰəŋ1	
撒	θɑ3	
撕	θɿ1	
撞	tʂuɑŋ5	
播	pə3	
撮	tθʰuə3	一~米
擀	kã3	~面
操	tθʰɔ1	
擦	tθʰɑ3	
攀	pʰã5	
攢	tθã3	
支	tʂʅ1	
收	ʃou1	
改	kɛ3	
攻	kuŋ1	
放	fɑŋ5	
政	tʃəŋ5	
故	ku5	
效	ɕiɔ5	
敵	ti5	
敏	miẽ3	
救	tɕiou5	
教	tɕiɔ1	~书
教	tɕiɔ1	~育
斂	liã3	
敢	kã3	
散	θã1	
敦	tẽ5	
敬	tɕiŋ1	
數	ʂu3	动
數	ʂu5	名
敲	tɕʰiɔ1	
整	tʃəŋ3	
敷	fu5	
文	uẽ5	
齋	tʂɛ1	
斗	tou3	
料	liɔ5	
斜	siə5	
斟	tʃẽ1	
斤	tɕiẽ1	
斧	fu3	
斬	tʂã3	
斷	tã5	
新	siẽ1	
方	fɑŋ1	
施	ʂʅ1	
旁	pʰɑŋ5	
旅	ly3	
旋	syã5	
族	tθu5	
旗	tɕʰi5	
無	u1	
日	i5	
旦	tã1	
舊	tɕiou5	
早	tθɔ3	
旬	syẽ3	
旭	ɕy3	
旱	xã5	
時	ʂʅ5	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ɑŋ1	
昆	kʰuẽ1	
昌	tʃʰɑŋ1	
明	miŋ5	
昏	xuẽ1	
易	i5	
星	siŋ1	
映	iŋ3	
春	tʃʰuẽ1	
昨	tθuə5	
是	ʂʅ5	
晝	tʃou5	
顯	ɕiã3	
曬	ʂɛ1	
曉	ɕiɔ3	
暈	yẽ1	
晚	uã3	
晨	tʃʰẽ5	
普	pʰu3	
景	tɕiŋ3	
晴	tsʰiŋ5	
智	tʃɿ1	
暫	tʂã1	
暑	ʃu3	
暖	nã3	
暗	ã1	
暴	pɔ5	
曲	tɕʰy3	
更	kəŋ1	~加
更	tɕiŋ1	五~
曹	tθʰɔ1	
替	tʰi5	
最	tθei1	
月	yə1	
有	iou3	
朋	pʰəŋ5	
服	fu5	
朔	ʂuə5	
朗	lɑŋ5	
望	uɑŋ5	
朝	tʃʰɔ5	~代
期	tɕʰi1	
木	mu1	
未	uei1	
本	pẽ3	
札	tʂɑ3	
术	ʃu5	
朱	tʃu1	
朶	tuə3	
機	tɕi1	
朽	ɕiou1	
殺	ʂɑ3	
雜	tθɑ5	
權	tɕʰyã3	
杆	kã1	
杉	ʂã1	
杉	ʂɑ1	~木
李	li3	
杏	ɕiŋ5	
村	tθʰẽ1	
杜	tu5	
束	ʃu5	
杠	kɑŋ5	
條	tʰiɔ1	
來	lɛ5	
楊	iɑŋ5	
杯	pei1	
杰	tɕiə5	
松	θuŋ1	
松	θuŋ1	~软
板	pã3	
極	tɕi5	
枉	uɑŋ5	
枕	tʃẽ5	
林	liẽ5	
果	kuə3	
枝	tʂʅ1	
棗	tθɔ3	
槍	tsʰiɑŋ1	
枯	kʰu1	
架	tɕiɑ5	
柄	piŋ3	
染	iã3	
柔	iou1	
櫃	kuei5	
查	tʂʰɑ5	
查	tʂɑ1	山~
柱	tʃu5	
柳	liou3	
柴	tʂʰɛ5	
柿	ʂʅ5	
標	piɔ3	
棧	tʂã1	
棟	tuŋ3	
樹	ʃu5	
栓	suã1	
栖	si1	
栗	li5	~子
校	ɕiɔ5	学~
株	tʃu1	
樣	iɑŋ5	
核	xɛ5	
核	xu5	果~
根	kẽ1	
格	kə3	
栽	tθɛ1	
桂	kuei1	
桃	tʰɔ5	
桅	uei3	
案	ã5	
桌	tʂuə3	
桑	θɑŋ1	
橋	tɕʰiɔ5	
桶	tʰuŋ3	
梅	mei5	
夢	məŋ5	
梧	u5	
梨	li5	
梯	tʰi1	
械	siɛ5	
梳	ʂu1	
檢	tɕiã3	
棉	miã5	
棋	tɕʰi5	
棍	kuẽ5	
棘	tɕi3	
棚	pʰəŋ5	
森	ʂẽ1	
棵	kʰuə1	
椅	i3	
植	tʃɿ5	
椒	tsiɔ1	
椽	tʃʰuã1	
椿	tʃʰuẽ1	
楂	tʂɑ1	山~
楚	tʂʰu5	
楞	ləŋ5	
楦	ɕyã5	
楷	kʰɛ3	
樓	lou5	
概	kɛ5	
榆	y5	
榜	pɑŋ5	
榨	tʂɑ5	
槌	tʂʰuei5	
槐	xuɛ5	
模	mə5	又,~子,~范
模	mu5	又 ~子 ~范
橫	xuŋ5	~直
櫻	iŋ1	
橛	tɕyə3	
櫓	lu3	
欠	tɕʰiã1	
次	tθʰɿ5	
歡	xuã1	
欣	ɕiẽ1	
歐	ou1	
欲	y5	
欹	tɕʰiə1	
欺	tɕʰi1	
款	kʰuã3	
歇	ɕiə3	
歉	tɕʰiã5	
歌	kuə1	
止	tʂʅ3	
正	tʃəŋ1	
正	tʃəŋ1	~月
此	tθʰɿ5	
步	pu5	
武	u3	
歪	uɛ1	
死	θɿ3	
殊	ʃu1	
殘	tθʰã5	
殮	liã3	
殯	piẽ1	
段	tã5	
殷	iẽ1	
殿	tiã1	
毁	xuei3	
母	mu3	
每	mei5	
毒	tu5	
比	pi3	
畢	pi3	
斃	pi5	
毛	mɔ5	
毡	tʃã1	
毫	xɔ5	
毯	tʰã3	
氏	ʂʅ5	
民	miẽ3	
气	tɕʰi1	又
气	tɕʰi5	又
水	ʂuei3	
永	yŋ3	
汁	tʃɿ3	
求	tɕʰiou5	
汇	xuei5	
漢	xã5	
汗	xã5	
江	tɕiɑŋ1	
池	tʃʰɿ5	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ5	
沃	u5	
沉	tʃʰẽ5	
沙	ʂɑ1	
沛	pʰei5	
溝	kou1	
没	mei5	新
没	mu1	旧
漚	ou1	
沫	mə5	
河	xue5	
油	iou5	
治	tʃɿ1	
沾	tʃã1	
沿	iã5	
泄	siə1	
泉	tsʰyã5	
法	fɑ3	
泛	fã5	
