#漢字	音標	解釋#('wuu_tz_xj', '仙居話', '仙居', '#8B0000', None, None, '來源：<u>落橙</u>', '334 1 1a 陰平 ꜀,312 2 1b 陽平 ꜁,423 3 2 上 ꜂,,55 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
吟	ȵiɪŋ2	
吠	fi5	
否	fɤu3	
含	ɦø2	
吳	ŋ2	
吵	tsʰao3	
吸	ɕiɪʔ7	
吹	tɕʰy3	
吻	vɤŋ2	
吼	hɤu3	
吾	ɦu2	
呂	ʔly3	
呆	ŋɛ2	
呈	dʑiɪŋ2	
告	kao5	
周	tɕiɤu1	
味	mi6	
呼	hu1	
命	miɪŋ6	
和	ɦo2	
咎	dʑiɤu2	
咒	tɕiɤu5	
咨	tsɿ1	
咬	ʔŋao3	
咳	kʰaʔ7	
咽	ie5	
哀	ɛ1	
品	pʰiɪŋ3	
哄	hoŋ3	
員	ɦyø2	
哥	ko1	
哪	ʔno3	
哭	kʰuoʔ7	
哲	tɕiaʔ7	
哽	ɡã2	
唆	so1	
唇	ʑyøŋ2	
唐	dɔ̃2	
售	ʑiɤu6	
唯	ɦy2	
唱	tɕʰia5	
唾	tʰo5	文
唾	tʰu5	白
啃	kʰiɪŋ3	
啄	ʔdoʔ7	
商	ɕia1	
問	vɤŋ6	文
問	mɤŋ6	白
啓	tɕʰi3	
啞	o3	
囉	ʔlo1	～唆
啼	ʔdi1	哭哭～～
啼	di2	雞～
喂	y5	
善	ʑie2	
喉	ɦɤu2	
喊	ha3	
喘	tsʰø3	
喚	hua5	
喜	ɕi3	
喝	haʔ7	
喧	sø1	
喪	sɔ̃5	
喬	dʑiao2	
單	ʔda1	
單	ʑie6	姓
喻	ɦy6	
嗅	hyøŋ1	用鼻子聞
嗇	sɤʔ7	
嗓	sɔ̃3	
嗜	zɿ6	
嗣	zɿ6	
嗤	tsʰɿ1	
嗽	sɤu5	
嘉	ko1	
嘔	ɤu3	
嘗	zɔ̃2	新
嘗	ʑia2	
嘮	lao2	
嘴	tɕy3	
噎	iaʔ7	
噓	hy1	
噦	yoʔ7	氣～住，～牢
器	tɕʰi5	
噴	pʰɤŋ1	
嚇	haʔ7	～一跳
嚇	hɔʔ7	恐～
嚴	ȵie2	
嚷	ʑia2	
囂	ɕiao1	
囊	nɔ̃2	
囑	tɕyoʔ7	
囚	dʑiɤu2	
四	sɿ5	
回	ɦuɛ2	
因	iɪŋ1	
囤	dɤŋ2	
囥	kʰɔ̃5	藏
囪	tɕʰyoŋ1	
困	kʰuɤŋ5	
固	ku5	
圈	kʰyø1	圓～
圈	kʰyø3	豬～
國	kuoʔ7	
圍	ɦy2	
園	ɦyø2	
圓	ɦyø2	
圖	du2	
團	dø2	
土	tʰu3	
在	zɛ2	
圭	kuɛ1	
址	tsɿ3	
均	kyøŋ1	
坍	tʰa1	
坎	kʰø3	
坐	zo2	
坑	kʰã1	
坡	ʔbo1	
坤	kʰuɤŋ1	
坦	tʰa3	
坪	biɪŋ2	
坯	pʰɛ1	
坳	ao1	
垂	ʑy2	
型	ɦiɪŋ2	
垮	kʰua3	
埂	ɡã2	
埃	ɛ3	
埋	ma2	
城	ʑiɪŋ2	
域	ɦyoʔ8	
埠	bu6	
執	tsɤʔ7	
培	bɛ2	
基	tɕi1	
堂	dɔ̃2	
堅	tɕie1	
堆	ʔdɛ1	
堡	ʔbao3	
堤	di2	
堪	kʰø1	
堯	ȵiao2	
堰	ie5	
報	ʔbao5	
場	dʑia2	
堵	ʔdu3	
堿	za3	
塊	kʰuɛ5	
塋	ɦiɪŋ2	
塌	tʰaʔ7	
塑	su5	
塗	du2	
塘	dɔ̃2	
塞	sɤʔ7	
塢	u3	
填	die2	
塵	dziɪŋ2	
境	tɕiɪŋ3	
墊	die6	
墓	m6	
墜	ʑy6	
增	tsiɪŋ1	
墟	hy1	
墨	miɪʔ8	舊
墨	moʔ8	
墩	ʔdɤŋ1	
墳	vɤŋ2	
墾	kʰiɪŋ3	
壁	ʔbiɪʔ7	
壇	da2	
壓	ɔʔ7	
壕	ɦao2	
壘	ʔlɛ3	
壞	ɦua6	
壟	ʔloŋ3	
壤	ʑia2	
壩	ʔbo5	
士	zɿ2	
壬	ȵiɪŋ2	
壯	tsɔ̃5	
壺	ɦu2	
壽	ʑiɤu6	
夏	ɦo6	春～
夏	o3	姓
夕	ʑiɪʔ8	
外	ŋɛ6	
多	ʔdo1	
夜	ɦia6	新
夜	ɦi6	
夠	kɤu5	
夢	moŋ6	
夥	ho3	
大	da6	～夫；～黄
大	da6	文
大	do6	白
天	tʰie1	
太	tʰa5	
夫	fu1	
央	ia1	
夯	hã1	
失	sɤʔ7	
夷	ɦi2	
夾	kɔʔ7	
奇	dʑi2	
奈	na2	
奉	voŋ2	
奎	kʰuɛ1	
奏	tsɤu5	
契	tɕʰi5	
奔	ʔbɤŋ1	
套	tʰao5	
奚	ɦi2	
奠	die6	
奢	so1	
奧	ao5	
奪	doʔ8	
奮	fɤŋ5	
女	ʔȵy3	
奴	nu2	
奶	ʔna3	
好	hao3	～壞
好	hao5	喜～
如	ʑy2	
妃	fi1	
妄	vɔ̃6	
妒	ʔdu5	
妓	dʑi2	
妖	iao1	
妗	dʑiɪŋ6	
妙	miao6	
妥	tʰo3	
妨	fɔ̃1	
妹	mɛ6	
妻	tɕʰi1	
妾	tɕʰiaʔ7	
姊	tsɿ3	
始	sɿ3	
姐	tɕi3	
姑	ku1	
姓	ɕiɪŋ5	
委	uɛ3	
姘	pʰiɪŋ1	
姚	ɦiao2	
姨	ɦi2	
姻	iɪŋ1	
姿	tsɿ1	
威	uɛ1	
娘	ȵia2	果核
娛	nu2	
娛	ȵy2	
娩	ʔmie3	
娶	tɕʰy3	
婆	bo2	
婚	huɤŋ1	
婢	bi2	
婦	vɤu2	
婿	ɕi5	
媒	mɛ2	
媚	mi6	
媳	ɕiɪʔ7	
媽	ʔma1	
嫁	ko5	
嫂	sao3	
嫌	ɦie2	
嫖	biao2	
嫡	ʔdiɪʔ7	
嫩	nɤŋ6	
嬉	ɕi1	
嬌	tɕiao1	
嬰	iɪŋ1	
嬸	siɪŋ3	
孀	sɔ̃1	
子	tsɿ3	
孔	kʰoŋ3	
孕	iɪŋ5	
字	zɿ6	
存	ziɪŋ2	
孝	hao5	
孟	mã6	
季	ky5	
孤	ku1	
孩	ɦɛ2	
孫	siɪŋ1	
孵	bu6	～小雞
學	ɦɔʔ8	
孽	ȵiaʔ8	
宅	dzaʔ8	
宇	y3	
守	ɕiɤu3	
安	ø1	
宋	soŋ5	
完	ɦua2	
宏	ɦoŋ2	
宕	dɔ̃6	
宗	tsoŋ1	
官	kua1	
宙	dʑiɤu6	
定	diɪŋ6	
宛	yø3	
宜	ȵi2	
客	kʰaʔ7	
宣	sø1	
室	sɤʔ7	
宦	ɦua6	
宮	tɕyoŋ1	
宰	tsɛ3	
害	ɦɛ6	
宴	ie5	
宵	ɕiao1	
家	ko1	
容	ɦyoŋ2	
宿	ɕyoʔ7	
宿	ɕiɤu5	星～
寂	dʑiɪʔ8	
寄	tɕi5	
寅	ɦiɪŋ2	
密	miɪʔ8	
寇	kʰɤu5	
富	fu5	
寐	mi6	
寒	ɦø2	
寓	ȵy6	
寬	kʰua1	
寞	mɔʔ8	
察	tsʰɔʔ7	
寡	kua3	
寢	tsʰiɪŋ3	
寥	liao2	
實	zɤʔ8	
寧	ȵiɪŋ2	
寨	dza6	
審	siɪŋ3	
寫	ɕi3	
寵	tɕʰyoŋ3	
寶	ʔbao3	
寸	tsʰiɪŋ5	
寺	zɿ6	
封	foŋ1	
射	zo6	
將	tɕia5	
專	tsø1	
尊	tsiɪŋ1	
尋	ziɪŋ2	
對	ʔdɛ5	
導	dao6	
小	ɕiao3	
少	ɕiao3	多～
少	ɕiao5	～年
尖	tɕie1	
尚	ʑia6	
尤	ɦiɤu2	
尬	za5	
就	ʑiɤu6	
尹	yøŋ3	
尺	tɕʰiɪʔ7	
尼	ȵi2	
尾	ʔmi3	
尿	ȵiao6	
局	dʑyoʔ8	
屁	pʰi5	
居	ky1	
屆	za5	
屈	kʰyøʔ7	
屋	uoʔ7	
屍	sɿ1	
屎	sɿ3	
屏	biɪŋ2	
屐	dʑiɪʔ8	木～
屑	ɕiaʔ7	
屜	tʰi5	
屠	du2	
屢	ʔly3	
層	ziɪŋ2	
履	ʔly3	
屬	ʑyoʔ8	
屯	dɤŋ2	
山	sa1	
岐	dʑi2	
岔	tsʰo5	
岡	kɔ̃1	
岸	ŋø6	
峯	foŋ1	
島	ʔdao3	
峽	kɔʔ7	
崇	zoŋ2	
崑	kʰuɤŋ1	
崔	tsʰɛ1	
崖	ŋa2	
崗	kɔ̃1	
崩	ʔbɤŋ1	
嵌	kʰa1	
嵩	ɕyoŋ1	
嶺	ʔliɪŋ3	
嶽	ŋɔʔ8	
巖	ŋa2	
川	tsʰø1	
州	tɕiɤu1	
巡	ʑyøŋ2	
巢	zao2	
工	koŋ1	
左	tso3	
巧	kʰao3	
巨	ɡy2	
巫	vu2	
差	tsʰa1	出～
差	tsʰo1	～别，～不多
己	tɕi3	
已	i3	
巳	zɿ2	
巴	ʔbo1	
巷	ɦɔ̃6	
巾	tɕiɪŋ1	
市	sɿ1	
布	ʔbu5	
帆	fa1	
希	ɕi1	
帕	pʰaʔ7	
帖	tʰiaʔ7	
帚	tɕiɤu3	
帛	baʔ8	
帥	sɛ5	
師	sɿ1	
席	ʑiɪʔ8	～子
席	ʑiɪʔ8	
帳	tɕia5	
帶	ʔda5	
常	zɔ̃2	新
常	ʑia2	
帽	mao6	
幅	foʔ7	
幔	ma6	
幕	mɔʔ8	
幣	bi6	
幫	ʔbɔ̃1	
干	kie1	～濕
干	kie1	
干	dʑie2	～坤
干	kie5	
平	biɪŋ2	
年	ȵie2	
幸	ã3	
幻	ɦua2	
幼	iɤu5	
幽	iɤu5	
幾	tɕi3	茶～
幾	tɕi3	
庇	ʔbi5	
牀	zɔ̃2	
序	ʑy2	
底	ʔdi3	
店	ʔdie5	
庚	kã1	
府	fu3	
度	du6	
座	zo6	
庫	kʰu5	
庭	diɪŋ2	
庵	ø1	
庶	ɕy5	
康	kʰɔ̃1	
庸	ɦyoŋ2	
廂	ɕia1	
廈	o3	
廉	lie2	
廊	lɔ̃2	
廓	kʰuɔʔ7	
廖	miɤu6	
廚	dʑy2	
廝	sɿ1	
廟	miao6	
廢	fi5	
廣	kuɔ̃3	
廬	lu2	
廳	tʰiɪŋ1	
延	ɦie2	
廷	diɪŋ2	
弄	loŋ6	名詞
弄	ʔloŋ3	動詞
弊	bi6	
式	ɕiɪʔ7	
弓	tɕyoŋ1	
引	iɪŋ3	
弘	ɦoŋ2	
弟	di2	
弦	ɦie2	
弱	ʑyɔʔ8	
張	tɕia1	
強	dʑia2	
弼	biɪʔ8	
彈	da2	～琴
彈	da6	子～
彌	ʔmi3	
彎	ua1	
形	ɦiɪŋ2	
彩	tsʰɛ3	
彪	ʔbiao1	
彬	ʔbiɪŋ1	
彭	bã2	
影	iɪŋ3	
彷	fɔ̃3	
役	ɦyoʔ8	
彼	ʔbi3	
彿	fɤʔ7	
往	uɔ̃3	
征	tɕiɪŋ1	
待	dɛ2	
很	hɤŋ3	
律	loʔ8	
後	ɤu3	
徐	ʑy2	
徑	tɕiɪŋ5	
徒	du2	
得	ʔdiɪʔ7	
徙	ɕi3	
徛	dʑi2	立
從	tsʰoŋ1	～容
從	ʑyoŋ2	跟～
復	foʔ7	
循	ʑyøŋ2	
微	vi2	
德	ʔdiɪʔ7	
徹	tɕʰiaʔ7	
徽	huɛ1	
心	siɪŋ1	
必	ʔbiɪʔ7	
忌	dʑi6	
忍	ziɪŋ2	
忖	tsʰiɪŋ3	
志	tsɿ5	
忘	mɔ̃6	
忙	mɔ̃2	
忠	tɕyoŋ1	
快	kʰua5	
念	ȵie6	
忽	huoʔ7	
忿	vɤŋ2	
怕	pʰo5	
怖	ʔbu5	
思	sɿ1	
怠	dɛ2	
急	tɕiɪʔ7	
性	ɕiɪŋ5	
怨	yø5	
怪	kua5	
怯	tɕʰiaʔ7	
恃	sɿ1	
恐	tɕʰyoŋ3	
恆	ɦɤŋ2	
恕	ɕy5	
恢	huɛ1	
恤	ɕyoʔ7	
恥	tsʰɿ3	
恨	ɦɤŋ6	
恩	ɤŋ1	
恭	tɕyoŋ1	
息	ɕiɪʔ7	
恰	kʰaʔ7	
恰	kʰɔʔ7	
悄	tɕʰiao3	
悅	ɦyɔʔ8	
悉	ɕiɪʔ7	
悔	huɛ5	
悟	nu6	
悠	ɦiɤu2	
患	ɦua6	
悲	ʔbɛ1	
悶	mɤŋ6	
情	ʑiɪŋ2	
惑	ɦuoʔ8	
惜	ɕiɪʔ7	
惟	ɦy2	
惠	ɦuɛ6	
惡	ɔʔ7	善～
惡	u5	可～
惰	do2	
惱	ʔnao3	
想	ɕia3	
惹	ȵiɪʔ8	
愁	zɤu2	
愈	ɦy2	
愉	ɦy2	
意	i5	
愚	ȵy2	
愛	ɛ5	
感	kie3	
慈	zɿ2	
態	tʰɛ5	
慌	huɔ̃1	
慎	ziɪŋ6	
慕	m6	
慘	tsʰø3	
慚	dza6	
慢	ma6	
慣	kua5	
慧	ɦuɛ6	
慨	kʰɛ5	
慪	ɤu5	
慮	ly6	
慰	y5	
慶	tɕʰiɪŋ5	
慷	kʰɔ̃3	
憂	iɤu1	
憋	ʔbiaʔ7	
憎	tsiɪŋ1	
憐	lie2	
憑	biɪŋ2	
憤	vɤŋ2	
憫	ʔmiɪŋ3	
憲	ɕie5	
憾	ɦø6	
懂	ʔdoŋ3	
懇	kʰiɪŋ3	
懈	ɦa6	
應	iɪŋ1	～當，～用
應	iɪŋ5	～對，響～
懊	ao3	～惱
懊	ao5	～悔
懲	dʑiɪŋ2	
懵	ʔmoŋ3	
懶	ʔla3	
懷	ɡua2	白
懷	ɦua2	文
懸	ɦyø2	
懼	ɡy6	
戀	lø6	
戈	ko1	
戊	vu2	
戌	ɕyoʔ7	
戍	ɕyoʔ7	
戎	ʑyoŋ2	
成	ʑiɪŋ2	
我	ʔŋo3	
戒	za5	
或	ɦuaʔ8	
或	ɦuoʔ8	
戚	tɕʰiɪʔ7	
戟	tɕiɪʔ7	
截	ʑiaʔ8	
戰	tɕie5	
戲	ɕi5	
戳	tɕʰyɔʔ7	
戴	ʔda5	動詞
戴	ʔdɛ5	姓
戶	u3	
戽	hu5	
房	vɔ̃2	
所	su3	
扁	ʔbie3	
扇	ɕie5	
手	ɕiɤu3	
才	zɛ2	
打	a1	
打	ʔnã3	
扔	ȵiɪŋ2	
托	tʰɔʔ7	
扛	kɔ̃1	
扣	kʰɤu5	
扭	ʔȵiɤu3	
扮	ʔba5	
扯	tsʰɿ3	
扳	ʔba1	
扶	vu2	
批	pʰi1	
扼	aʔ7	
找	tsao3	
承	ʑiɪŋ2	
技	dʑi2	
抄	tsʰao1	
把	ʔbo3	
抑	iɪʔ7	
抓	tsa1	新
抓	tɕya1	
投	dɤu2	
抖	ʔdɤu3	
抗	kʰɔ̃5	
折	tɕiaʔ7	～斷
披	pʰi1	
抬	dɛ2	
抱	bao2	
抵	ʔdi3	
抹	maʔ8	
抹	mɔʔ8	～布，～桌子
押	ɔʔ7	
抽	tɕʰiɤu1	
抿	ʔmiɪŋ3	
拄	tɕy5	
拆	tsʰaʔ7	
拇	ʔmɤu3	
拈	ʔȵie1	
拉	ʔla1	
拋	pʰao1	
拌	bø2	
拍	pʰaʔ7	
拎	ʔliɪŋ1	
拐	kua3	
拒	ɡy2	
拔	bɔʔ8	
拖	tʰa1	白
拖	tʰo1	文
拘	ky1	
拙	tɕyɔʔ7	
招	tɕiao1	
拜	ʔba5	
括	kuaʔ7	包～
拯	tɕiɪŋ3	
拱	tɕyoŋ3	
拳	ɡyø2	
拴	sø1	
拼	pʰiɪŋ1	
拾	zɤʔ8	
拿	ʔno1	白
拿	na2	文
持	dzɿ2	
指	tsɿ3	
按	ø1	
挑	tʰiao1	
挖	uaʔ7	
挨	a1	
挪	no2	
振	tsiɪŋ5	
挺	tʰiɪŋ3	
挽	ʔma3	
挾	tɕiaʔ7	～菜
捆	kʰuɤŋ3	
捉	tɕyoʔ7	
捋	loʔ8	～袖
捎	sao1	
捏	ȵiaʔ8	
捐	kyø1	
捕	bu6	
捧	pʰoŋ3	
捷	ʑiaʔ8	
捺	naʔ8	
掀	ɕie1	
掂	ʔdie1	
掃	sao3	
授	ʑiɤu6	
掉	dzao6	
掌	tɕia3	
掏	dao2	
掐	kʰaʔ7	～脖子
掐	kʰɔʔ7	用手指～
排	ba2	
掘	ɡyøʔ8	
掛	ko5	
掠	liaʔ8	
探	tʰø5	
接	tɕiaʔ7	
控	kʰoŋ3	
推	tʰɛ1	
掩	ie3	
措	tsʰu5	
掭	tʰie5	
揀	za3	
揈	hoŋ1	
揉	ʑiɤu2	
描	miao2	
提	di2	
插	tsʰɔʔ7	
揖	tɕʰiɪʔ7	作～
揚	ɦia2	
換	ɦua6	
揞	ø3	手覆，～住
握	uaʔ7	
揢	kʰo5	捕，捉，拿住
揩	kʰa1	
揭	tɕʰiaʔ7	
揮	huɛ1	
援	ɦyø2	
損	siɪŋ3	
搓	tsʰo1	
搖	ɦiao2	
搛	tɕie1	
搜	sɤu1	
搜	ɕiɤu1	
搞	kao3	
搡	sɔ̃3	
搧	ɕie1	
搨	tʰɔʔ7	～本
搬	ʔbø1	
搭	ʔdɔʔ7	
搶	tɕʰia3	
搽	dzo2	
摘	tsaʔ7	
摞	ʔlo3	
摟	ʔlɤu3	
摩	mo2	
摳	kʰɤu1	
摸	mɔʔ8	
摹	m2	
摺	tɕiaʔ7	
撇	pʰiaʔ7	
撈	lao2	
撐	tsʰã1	
撓	nao2	
撕	tsʰɿ1	
撚	ʔȵie3	
撞	dʑyɔ̃6	
撣	ʔda3	
撤	dʑiaʔ8	
撥	pʰaʔ7	
撥	ʔbɤʔ7	
撩	liao2	
撫	fu3	
