#漢字	音標	解釋
#簡稱	/	冷水江錫礦山
#全稱	/	冷水江錫礦山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-06
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（錫礦山）方言語音研究》
#說明	/	
□	lia5	～饭:用骂人的□吻叫人吃饭
□	lia5	形容词前缀:～苦，很苦
□	ya5	扔掉
□	lo5	两手搓揉:～面粉
□	tɕyo5	侧躺着
□	tɕʰyo5	～瓜哩:丢了
□	ɕyo5	差
□	pʰæ5	～赖:很脏
□	kæ5	追
□	pʰɔ5	十个
□	tsʰɔ5	～动;翻动
□	tɕiəu5	拧，～瓶盖子
□	iəu5	清洗衣物
□	sən5	形容词前缀:～白，很白
□	iã5	腻
□	ɕiɛ̃5	～跳:顽皮
□	kʰɔ̃5	唤家禽
□	ɣɔ̃5	～哽:气喘
□	ɓi7	～上：表面
□	u7	～子:性的牲畜
□	kʰua7	～预:树枝
□	ko7	蛋，儿语
□	tiɛ7	台阶
□	tsɤ7	
□	iɤ7	多水、粘稠状
□	tɔ7	动词:刺
□	lɔ7	～上:山头
□	lɔ7	困
□	sɔ7	赶经牲畜的竹棍
□	liəu7	～软:很软
□	tɕʰiəu7	擦
□	tən7	抖
□	ən7	低声哭泣声
□	in7	腻
□	in7	痒
□	ã7	拟声调，表示怀疑
□	ɕiɛ̃7	拖拉
□	pɔ̃7	～上:山头
□	lɔ̃7	鞋后跟
㞎	pa3	～～:屎;粪便,小儿用语
㩧	pʰia1	打击:～耳巴子，打耳光
㸊	læ5	物体烫;用开水～了一下
㼽	sɔ̃3	量词：一～:一截|《广韵》上声养韵所两切:半瓦
㾃	ɗo7	身体上的疙痞，《集韵》平声戈韵唐何切:病也
䀶	lɔ̃1	晾,《集韵》去声宕郎宕切:暴也
䁊	ua1	眼睛下陷，《广韵》入声末韵乌括切：目深黑貌
䋎	tsã5	缝补;钉被子或者扣子等,《说文》系部丈苋切:补缝也
䐬	tsɔ1	食物干脆的样子
䐬	zɔ2	肚～哩:肚子饿了，《集韵》平声豪韵财劳切:脆也，一曰腹鸣
䐿	ɔ3	～盐:加盐浸渍，或者接触激性的东西使人疼痛或使物受腐，《广韵》上声晧韵乌皓切:藏肉
一	i7	
丁	tin1	
七	tɕʰi1	
七	tɕʰiã5	
万	vã1-	千～
万	uã5	
丈	ʑyɔ̃3-	量词
丈	ʑyɔ̃5=	～大
三	sã1	
上	ʑyɔ̃3-	～山
上	pʰia1	
上	tɕʰin3	
上	ʑyɔ̃5=	面～
下	ɣa1	一～几:一会儿
下	ɣa3	底～
下	ɣa3	～去
下	ʑia5=	～降
不	tɕʰiã5	
不	pu7	
与	y3	
丐	kæ5	
丑	tsʰɿ1	
丑	tɕʰiəu3	
專	tɕyɛ̃1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɛ5	
業	iɛ̃5	
叢	zən2	
東	tən1	
絲	sɿ1	
丞	ʑin2-	
丞	zən2=	
兩	liã3	
嚴	iɛ̃2	
喪	sɔ̃1	～事
喪	sɔ̃5	～失
个	lɔ̃2	
个	ko5	量词
丫	ia1	～头
中	tən1-	～间
中	tɕyən1	当～
中	tɕyən5	射～
丰	fən1	
串	tɕʰyɛ̃5	
臨	lin2	
丸	̃yɛ̃2	
丹	tã1	
爲	uɤ2	～什么
爲	uɤ2	作～
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	læ3	
久	tɕiəu3	
麼	mo3	
義	i5	
之	tsɿ1	
之	tɕʰin3	
烏	u1	
乍	tsa5	
乎	fu1	
乏	fa7	
樂	lo5	音～
乒	pʰin1	
喬	ʑiɤ2	
乖	kuæ1	
乘	ʑin2-	
乘	zən2=	
乙	iɛ7	
九	tɕiəu3	
乞	tɕʰi3	
也	ia3-	
也	tsʰɿ1	
也	pʰia1	
也	lɔ̃2	
也	iɛ3=	
習	ɕi7	
鄉	ɕyɔ̃1	
書	ɕy1	
買	mæ3	
亂	lɔ̃1-	
亂	lɔ̃5=	
乳	ʑy3	
乾	ʑiɛ̃2	
了	lɤ1	语气虚词
了	liɤ3	～结
了	liɤ3	～解
予	y3	
爭	tsɔ̃1-	
爭	tsən1=	
事	sɿ5	
二	ɤ3-	
二	ɤ5=	
于	y2	
虧	kʰuɤ1	
雲	yən2	
互	vu5	
五	u3	
井	tɕiã3-	
井	tɕin3=	
亞	ia5	
些	ɕiɛ1	
亡	ɔ̃2	
交	tɕiɤ1	
亥	ɣæ5	
亦	i5	
產	tsʰã3	
亨	xən1	
畝	miɤ3-	
畝	mo3=	
享	ɕyɔ̃3	
京	tɕin1	
亭	ɗin2	
亮	liã5	
亮	tɕʰiã5	
親	tɕʰin1	
親	tɕʰin5	～家
人	ʑin2-	
人	n2-	
人	n5-	老～噶:老人家
人	zən2=	
億	i5	
仁	ʑin2	
僅	tɕin3	
仆	pʰu2	～人
仆	pʰu5	～倒
仇	ʑiəu2	
今	tɕin1	
介	kæ5	
仍	ʑin2-	
仍	zən2=	
从	zən2	
仑	lin2-	
仑	lan2=	
倉	tsʰɔ̃1	
仕	sɿ5	
他	tʰa1	
仗	tɕyɔ̃5	
付	fu5	
仙	ɕiɛ̃1	
代	ɗæ5	
令	lin5	
以	i3	
儀	i2	
仰	yɔ̃3	
件	ʑiɛ̃3-	
件	ʑiɛ̃5=	
價	tɕia5	
任	ʑin5-	责～
任	zən5=	
份	vən5	
仿	xɔ̃3	
企	ʑi5	～业
伊	i1	
伍	u3	
伏	pʰu5-	
伏	fu7=	
伐	fa7	
休	ɕiəu1	
衆	tɕyən5	
優	iəu1	
伙	xo3	
會	vɤ1-	～不～
會	kʰuæ5	～计
會	vɤ5=	开～
傘	sã3	
偉	uɤ3	
傳	ʑyɛ̃2	～达
傳	tɕyɛ̃5	～记
伢	a2-	小孩子
伢	ia2=	小孩子
傷	ɕyɔ̃1	
倫	lin2-	
倫	lan2=	
僞	uɤ3	
伯	pɤ7-	
伯	pɤ5=	
估	ku1	
伴	ɓɔ̃3-	
伴	pɔ̃5=	
伸	ɕin1-	
伸	sən1=	
伺	tsʰɿ5	
似	sɿ5	
但	tã5	
佈	pu5	
位	uɤ5	
低	ti1	
住	ʑy1-	
住	ʑy5=	
佐	tso3	
佑	iəu5	
體	tʰi3	
何	ɣo2	
佗	ɗo2	
余	y2	
佛	fu7	
作	tso5	工～
作	tso7	～业
你	li3	
佣	yən5	
佩	pʰɤ5	
佬	lɔ3	
佳	tɕia1	
使	sɿ3	
侃	kʰã3	
侄	sɿ7	
侈	tsʰɿ3	
例	li5	
侍	zɿ3	服～
供	kən1	
供	kən5	
依	i1	
侣	liəu3	
僥	tɕiɤ3	
偵	tɕin1-	
偵	tsən1=	
側	tɕʰiɛ7-	
僑	ʑiɤ2	
儈	kʰuæ5	
侮	vu3-	
侮	u3=	
侯	ɣɤ2	
侵	tɕʰin1	
便	ɓiã3-	方～
便	ɓiɛ̃2-	～宜
便	ɓiɛ̃3=	方～
係	ɕi5	是
促	tsʰəu5	
俄	o2	
俊	tsən5	
俏	tɕʰiɤ5	
俗	səu7	
俘	vu2	～虏
俚	li1	我～:我们
保	pɔ3	
保	vu5	
信	ɕin5	
倆	liã3	
儉	tɕiɛ̃3	
修	ɕiəu1	
俯	fu3	
俱	ʑy5	
俸	vən5	
倍	ɓɤ5	
倒	tɔ3	打～
倒	tɔ5	～水
倔	tɕyɛ5	～强，单独用
倔	tɕyɛ7	～强
候	ɣɤ5	
倚	i3	
借	tɕia5	
倡	tɕʰyɔ̃1	
倦	tɕyɛ̃5	
倭	o1	
債	tsæ5	
值	tsʰɿ5-	
值	tsʰɿ7=	
傾	tɕʰyən3-	
傾	tɕʰin3=	
假	tɕia3	真～
假	tɕia3	放～
偋	pɔ̃5	把东西藏起来
偌	yo2	～里:怎么
偏	pʰiɛ̃1	
做	tsəu5	
停	ɗin2	
健	ʑiɛ̃5	
偶	iɤ3	
偷	tʰiɤ1	
償	ʑyɔ̃2	
傀	kʰuɤ3	～儡
傅	vu3-	
傅	u3=	
傍	pɔ̃5	
傢	tɕia1	
儲	ʑy3	
儲	ʑiəu3	
催	tsʰɤ1	
傲	ɔ5	
傻	ɕia3-	
傻	sa3=	
像	ʑiã1-	
像	ɕiã5=	
僚	liɤ2	
僧	ɕiɛ̃1-	
僧	sən1=	
僵	tɕyɔ̃1	
僻	pʰi5	
儒	y2	
儡	lɤ3	
兒	ɤ2	
允	yən3	
元	̃yɛ̃2	
兄	ɕyɔ̃1-	
兄	ɕyən1=	
充	tɕʰyən1	
兆	ʑiɤ5	
先	ɕiɛ̃1	
光	kɔ̃1	
克	kʰɤ7	
免	miɛ̃3	
兌	tɤ5	
兔	tʰəu5	
黨	tɔ̃3	
兜	tiɤ1	
入	y7	
全	ʑyɛ̃2	
八	pa7-	
八	pa1=	
公	kən1	
六	ləu7-	
六	liəu5=	
兮	ɕi1	
蘭	lã2	
共	ɣən5	
關	kuã1	
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
其	ʑi2	
具	ʑy5	
典	tiɛ̃3	
養	yɔ̃3	
兼	tsiɛ̃1	
獸	ɕiəu5	
冀	tɕi5	
內	lɤ1-	
內	lɤ5=	
冇	mɔ1	
岡	kɔ̃1	
冊	tɕʰiɛ7-	
冊	tsʰɤ7=	
再	tsæ5	
冒	mɔ5	
冕	miɛ̃3	
冗	yən3	
寫	ɕia3-	
寫	ɕiɛ3=	
軍	tɕyən1	
農	lan2	
冠	kɔ̃1	衣～
冠	kɔ̃5	～军
冤	̃yɛ̃1	
冬	tən1	
馮	vən2	
冰	pin1	
冲	tɕʰyən1	～锋枪
冲	tɕʰyən5	发～:生气
决	tɕyɛ7	
况	kʰɔ̃5	
冷	lin3	
凍	tən5	
淨	ʑiɛ̃3-	
淨	ʑin5=	
準	tɕyən3	
凉	liã2	
凋	tiɤ1	
凌	lin2	
減	kã3	
湊	tsʰəu5	
凛	lin3	
凝	lin2	
几	tɕi1	茶～
几	tɕi1	～乎
几	tɕi3	～个
凡	vã2	
鳳	vən5	
凭	ɓin2	
凱	kʰæ3	
凳	tiɛ̃5-	
凳	tən5=	
凶	ɕyən1	
出	tɕʰy1	
擊	tɕi1	
擊	pʰia1	
函	ɣã2	
鑿	tsʰo5-	
鑿	tsɔ7=	
刀	tɔ1	
刁	tiɤ1	
分	fən1	
切	tɕʰiɛ7-	一～
切	tsʰɿ1	
切	tɕʰi1	～开
切	pʰia1	
切	lɔ̃2	
切	tɕʰin3	
切	tɕʰiã5	
切	tɕʰiɛ5=	密～
刊	kʰã1	
刎	uən3	
刑	ʑin2	
划	va2	～算
划	va2	～船
划	va2	～破
划	va5	计～
划	va7	～玻璃
列	lɤ7-	
列	liɛ7=	
劉	liəu2	
則	tsʰɤ7	
剛	kɔ̃1	
創	tsʰɔ̃5	
初	tsʰəu1	
刪	sã1	
判	pʰɔ̃5	
刨	ɓɔ3-	～子
刨	ɓɔ2=	～地
利	li5	
别	pʰiɛ5	区～
别	pʰiɛ5	离～
刮	kua1	
到	tɔ5	
制	tsɿ5	
刷	sa1	
券	tɕʰyɛ̃5	
刹	sa7	
刺	tsʰɿ5	
刻	kʰɤ7-	用刀～
刻	kʰɤ5	时～
劊	kʰuæ5	
剁	tɕyo5	
劑	tɕi5	一～药
剃	tʰi5	
削	ɕiɤ1	
削	ɕyo7	
前	ʑiɛ̃2	
剮	kua3	
劍	tɕiɛ̃5	
剔	tʰi5	
剖	pʰu5-	
剖	pʰo3=	
剝	po1-	
剝	po7=	
劇	tɕy5	～烈
劇	tɕy5	戏～
剩	ʑin1-	
剩	zən1=	
剪	tɕiɛ̃3	
副	fu5	
割	ko7	
剿	tɕiɤ3	
劈	pʰia1-	
劈	pʰi1=	
力	li5	
勸	tɕʰyɛ̃5	
辦	vã5-	
辦	ɓã5=	
功	kən1	
加	tɕia1	
務	u5	
劣	lɤ7	
動	ɗən3-	
動	ɗən5=	
助	zəu5	
努	ləu3	
劫	tɕiɛ7	
勵	li5	
勁	tɕin5	
勞	lɔ2	
勃	po7	
勇	yən3	
勉	miɛ̃3	
勋	ɕyən1	
勒	lɤ5	
勘	kʰã1	
募	mo5	
勤	ʑin2	
勺	ɕyo5	
勾	tɕiɤ1-	
勾	kɤ1=	～当
勻	yən2	
包	pɔ1	
匆	tsʰən1	
匈	ɕyən1	
化	va5-	
化	fa5=	
北	pɤ7	
匙	sɿ5	钥～
匠	ʑiã3	
匡	tɕʰiã1	
匣	ɕia7	箱～
匪	fɤ3	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	piɛ̃3	
十	sɿ7	
千	tɕʰiɛ̃1	
升	ɕin1-	
升	sən1=	
午	u3	
半	pɔ̃5	
華	va2	中～
協	ɕiɛ7	
卑	pɤ1	
卒	tsəu7	兵～
卓	tso7	
單	tã1	
賣	mæ1-	
賣	mæ5=	
南	lã2	
博	po7	
卜	ɓu1	萝～
卜	pʰu3	
占	tɕyɛ̃5	
卡	kʰa3	
盧	ləu2	
卤	ləu3	
卦	kua5	
臥	o5	
衛	uɤ5	
印	in5	
危	uɤ2	
即	tɕi7	
卻	tɕʰyo7	
卵	lɔ̃3	
卷	tɕyɛ̃7-	
卷	tɕyɛ̃5	试～
卷	tɕyɛ̃3=	
卸	ɕiɛ5	
廠	tɕʰyɔ̃3	
廳	tʰiã1-	
廳	tʰin1=	
历	li5	
厲	li5	
壓	ia7	
厭	iɛ̃5	
廁	tɕʰiɛ7-	
廁	tsʰɤ7=	
厘	li2	
厚	ɣɤ3	
原	̃yɛ̃2	
廂	ɕiã1	
厥	tɕyɛ7	
厦	ʑia5	～门
廚	ʑy2	
去	tɕʰi5-	来～
去	tɕʰiã5	
去	tɕʰy5=	～皮
縣	ʑiɛ̃5	
参	tsʰən1	～差
参	tsʰã1	～加
参	ɕiɛ̃1	人～
又	iəu3-	
又	iəu5=	
叉	tsʰa1	
及	tɕi7	
友	iəu3	
雙	sɔ̃1	
反	fã1-	
反	fã3=	
叔	ɕiəu7	
取	tɕʰiəu3	
受	ʑiəu5	
變	piɛ̃5	
敘	ʑiəu5	
叛	pʰɔ̃5	
口	tɕʰiɤ3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tɔ1	
叩	tɕʰiɤ1	～头
只	tɕya1-	量词
只	tsɿ5	～有
只	tsɿ1=	量词
叫	tɕiɤ5	
叫	kɔ5	～花子
召	ʑiɤ5	
叭	pa1	喇～
可	kʰo3	
台	ɗæ2	
史	sɿ3	
右	iəu5	
葉	ɤ5-	
葉	iɛ̃5=	
號	ɣɔ1-	名字
號	ɣɔ2	呼～
號	ɣɔ5=	～数
司	sɿ1	
嘆	tʰã5	
叼	tiɤ1	
吃	tɕʰia1-	
吃	tsʰɿ1=	
各	ko1	
吆	iɤ1	～喝
合	xo7	
吉	tɕi7	
吊	tiɤ5	
同	ɗən2	
名	miã2-	
名	min2=	
后	ɣɤ3-	～天
后	ɣɤ5=	～面
吐	lia3-	
吐	tʰəu5=	
向	ɕyɔ̃5	
嚇	xa1-	
嚇	ɕia7=	一～跳
吕	liəu3	
君	tɕyən1	
吝	lin5	～啬
吞	tʰin1	
吟	in2	
否	fɤ3	
吧	pa1	
吨	tin5	
含	ɣã2	
听	tʰiã5-	
听	tʰin5=	
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吹	tɕʰy1-	
吹	tsʰɤ1=	
吻	uən3	
吼	ɣɤ2	
吾	u2	
呆	tæ1	
呈	ʑin2-	
呈	zən2=	
告	kɔ5	
嘔	ɤ3	
員	̃yɛ̃2	
嗆	tsʰən5	～人
周	tɕiəu1	
呱	kua1	象声词
呲	zɿ3	拟声词，形容燃烧的声音
味	vɤ1-	
味	uɤ5=	
呼	fu1	
命	miã1-	
命	min5=	～令
咆	ɓɔ2	叫～哩:不停地大声喊叫
和	vu2	～牌
和	ɣo2	～气
和	ɣo2	～面
咍	xæ1	
咏	yən3	
咒	tɕiəu5	
咨	tsɿ1	
咬	iɤ3	
咬	a5	
咳	kʰɤ7	
咸	ɣa1	～是
咸	ɣã2	
咽	iɛ̃5	
哀	æ1	
品	pʰin3	
哄	xən3	～骗
哈	xa1	～巴狗
哉	tsæ1	
響	ɕyɔ̃3	
哎	æ7	～呀
啞	a3-	
啞	ia3=	
喲	yo1	
哥	ko1	
哪	læ3	～个
哭	kʰu1	
哮	ɕiɤ5	
哲	tsɤ7	
哼	xən1	
唆	so1	
脣	ʑyən2	
唐	ɗɔ̃2	
嘮	lɔ1	
喚	xɔ̃5	
售	ʑiəu5	
唯	uɤ2	
唱	tɕʰyɔ̃5	
啄	tsa5-	～米
啄	tso7	～木鸟
商	pʰia1	
商	ɕyɔ̃1	
啊	a1	
囉	lo1	
啵	po5	象声词
啵	po7	吻
啼	ɗi2	
喂	uɤ7-	
喂	uɤ5=	
善	ʑyɛ̃5	
喇	la3	
喉	ɣɤ2	
喊	xã3	
喘	tɕʰyɛ̃3	
喜	ɕi3	
喝	xo1	
喝	xo5	～彩
喧	ɕyɛ̃1	
單	ipa調號	
喵	miɤ1	猫叫
噴	pʰən1	～水
噴	pʰən1	～香
喻	y5	
嗅	ɕyən5	
嗍	so1	吮吸
嗓	sɔ̃3	
嗜	sɿ5	
嗡	uən1	
嗣	sɿ5	
嗤	tsʰɿ3	～笑
嗦	so1	鸟～子：嗉囊
嗯	iɛ̃3-	
嗯	n3	拟声词，表示应允、赞同
嗲	lia1	撒娇
嗷	ɔ2	
嗽	səu5	咳～
嘉	tɕia1	
嘎	ka2	鸭叫声
噓	ɕy1	吹～
噓	ɕy5	报声词，吹□哨的声音
嘭	pʰən3	象声词
囑	tɕiəu7	
嘴	tɕiəu3-	
嘴	tsɤ3=	
嘻	ɕi1	
嘿	xɤ1	
噤	tɕin1	
器	tɕʰi5	
噪	tsʰɔ5	
嚇	xɤ7	恐～
囂	ɕiɤ1	
嚷	yɔ̃3	
嚼	tɕʰiɤ5	
囊	lɔ̃2	
囚	ʑiəu2	
四	sɿ5	
回	uɤ2-	
回	vɤ2=	
因	in1	
团	ɗɔ̃2	
团	lɔ̃2	
囤	ɗən2	
囧	tɕyən3	
困	kʰuən5	
囱	tsʰən1	烟～
圍	uɤ2	
固	ku5	
國	kuɤ7-	
國	ko7=	
圖	ɗəu2	
圃	pʰu3	
圓	lo2	
圓	̃yɛ̃2	
圓	lɔ̃2	
圈	tɕʰyɛ̃1	
圞	lɔ̃2	
土	tʰəu3	
聖	ɕin5-	
聖	sən5=	
在	zæ1	
在	zæ5=	
地	ɗi1-	
地	ɗi5=	
圳	tɕyən5	
場	ʑyɔ̃2	
址	tsɿ3	
均	tɕyən1	
坍	tʰã1	～下来
坎	kʰã3	
壞	væ3-	
壞	væ5=	
坐	zo3-	
坐	zo5=	
坑	kʰɔ̃1	
坒	ɓi7	表片状的量词,《广韵》去声至毗切;地相次也
塊	kʰuæ3-	
塊	kʰuæ5=	
堅	tsiɛ̃1	
坛	ɗà2	
壩	pa5	
墳	vən2	
墜	zɤ5	
坡	ɓæ7-	
坡	pʰo1	
坤	kʰuən1	
坦	tʰã3	
坨	ɗo7	
坪	ɓiã7-	
坪	ɓin2=	
坯	pʰɤ1	
垂	zɤ2	
壠	lən3	
型	ʑin2	
垒	lɤ3	
垛	to5	柴～
垛	ɗo7	
墾	kʰən3	
墊	tʰiɛ̃5-	～钱
墊	tiɛ̃5=	～底
垮	kʰua3	
埃	æ1	
埋	mæ2	
城	ʑin2-	
城	zən2=	
域	y5	
埯	ã3	坑
培	ɓɤ2	
基	tɕi1	
堂	ɗɔ̃2	
堆	tɤ1	
墮	to5	
堡	pɔ3	
堪	kʰã1	
堵	təu3	
塌	tʰa1	
塑	so7	～像
塔	tʰa3	
塘	ɗɔ̃2	
填	ɗiɛ̃2	
境	ʑin5	
墈	kʰɔ̃5	田埂
墓	mo2	
墓	mo5	
牆	ʑiã2	
增	tsiɛ̃1-	
增	tsən1=	
墟	ɕy1	
墨	mɤ7	
壁	pia1-	～头：墙壁
壁	ɓi5=	
壘	liəu1	形容词前缀:～壮，很胖
壤	yɔ̃3	
壩	pa5	
士	sɿ5	
壯	tsɔ̃5	
聲	ɕiã1-	
聲	tsʰɿ1	
聲	lɔ̃2	
聲	tɕʰin3	
聲	tɕʰiã5	
聲	sən1=	
殼	kʰo1-	
殼	kʰo5-	银～子:硬币
殼	kʰo5=	
壺	u5-	
壺	vu7=	
處	tɕʰy3	相～
處	tɕʰy5	～所
備	ɓi5-	
備	ɓɤ5=	
复	fu5	-原
复	fu5	反～
复	fu7	～兴
夏	ʑia5	姓
夏	ʑia5	春～
夕	ɕi7	
外	uɤ1-	～甥
外	uæ5=	
多	to1	
夜	ia1-	
夜	iɛ5=	
够	kɤ5	
大	ɗæ1-	～细;大小
大	ɗæ5	～夫
大	ɗa5=	
天	tʰiɛ̃1	
太	tʰæ7	
夫	fu1	
央	yɔ̃1	
失	sa1	丢失，跌落
失	sɿ7	
頭	ɗiɤ1-	鼻～:鼻子
頭	ɗiɤ7-	
頭	ɗiɤ2=	
夷	i2	
夸	kʰua1	
夾	ka1-	
夾	tɕia7=	
奪	to7	
奇	ʑi2	
奈	læ1-	
奈	læ5=	
奉	vən5	
奮	fən5	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiã3	
套	tʰɔ5	
奢	sɤ1	
奧	ɔ5	
女	y3	
奴	ləu2	
奶	læ7-	吃～
奶	liɛ̃1	～～
奶	læ3=	牛～
奸	kã1	
好	y3	
好	xɔ3	～坏
好	xɔ5	喜～
如	y2	
妃	fɤ1	
妄	ɔ̃5	
妝	tsɔ̃1	
婦	vu5	
媽	mã1-	
媽	ma1=	
妒	ɗəu5	
妓	ʑi5	
妖	iɤ1	
妙	miɤ5	
妥	tʰo3	
妨	ɣɔ̃2	
妹	mɤ1-	
妹	mɤ5=	
妻	tɕʰi1	
妾	tɕʰiɛ5	
姆	m1	～妈:妈妈
姆	mo3	保～
姊	tsɿ3	
始	sɿ3	
姐	tɕia3-	
姐	tɕiɛ3=	
姑	ku1	
姓	ɕin5	
委	uɤ3	
姚	iɤ2	
姜	tɕyɔ̃1	
姥	lɔ3	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uɤ1	
娃	ua2	
婁	liɤ2	
嬌	tɕiɤ1	
娘	yɔ̃2	
娟	tɕyɛ̃1	
娩	uã3	
娛	y2	
娼	tɕʰyɔ̃1	
婆	ɓo2	
婊	piɤ3	
婚	fən1	
婢	ɓi5	
婪	lã2	
嬰	in1	
婷	ɗin2	
婿	ɕi5-	
婿	ɕi7=	
媒	mɤ2	
媚	mɤ5	
媳	ɕi7	
嫁	ka5-	
嫁	tɕia5=	
嫂	sɔ3	
嫉	ʑi5-	
嫉	tɕi7=	
嫌	ʑiɛ̃2	
嫖	ɓiɤ2	
嫚	mã3	～～,叔或姑姑
嫡	ti7	
嫣	iɛ̃1	
嫨	xã1	做事拖拉,《集韵》平声寒韵虚乾切:老妪貌
嫩	lin1-	
嫩	lən5=	
嬉	ɕi1	
嬎	fã5	鸟下蛋
嬤	mo2	
子	tsɿ3	
孔	kʰən3	
孕	yən5	
字	zɿ1-	
字	zɿ5=	
字	ipa調號	
存	ʑin2-	
存	zən2=	
孫	ɕin1-	
孫	sən1=	
孝	xɔ5-	～布
孝	ɕiɤ5=	
孟	mən5	
季	tɕi5	
孤	ku1	
學	ɕyo7	
孩	ɣæ3	
孬	lɔ1	
孵	fu1	
孽	iɛ7	
寧	lin2	
宄	tɕiəu5	
宇	y3	
守	ɕiəu3	
安	ã1	
宋	sən5	
完	̃yɛ̃2-	
完	uã2=	
宏	ɣən2	
宗	tsən1	
官	kɔ̃1	
官	lɔ̃2	
宙	tɕiəu5	
定	ɗin5	
宜	i1	便～
寶	pɔ3	
實	sɿ7	
寵	tɕʰyən3	
審	ɕin3-	
審	sən3=	
客	kʰa1-	
客	kʰɤ7=	
宣	ɕyɛ̃1	
室	sɿ5	
宦	xɔ̃5	
宪	ɕiɛ̃5	
宮	kən1	
宰	tsæ3	
害	ɣæ1-	
害	ɣæ5=	
宴	iɛ̃5	
宵	ɕiɤ1	
家	ka1-	
家	tɕia1=	
容	yən2	
寬	kʰɔ̃1	
賓	pin1	
宿	səu7	
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	min5-	
密	mi5=	
寇	tɕʰiɤ5	
富	fu5	
寐	mɤ5	
寒	ɣã2	
寓	y5	
寢	tɕʰin3	
寞	mo5	
察	tsʰa7	
寡	kua3	
寥	liɤ2	～～无几
寥	liɤ5	姓
寨	tsæ5	
寸	tɕʰin5-	
寸	tsʰən5=	
對	tɤ5	
寺	sɿ5	
尋	ʑin2	
導	ɗɔ5-	领～
導	tɔ3=	
壽	ʑiəu5	
封	fən1	
射	ɕya5-	
射	sɤ5=	
將	tɕiã1	
將	tɕiã5	大～
尉	uɤ5	
尊	tɕin1-	
尊	tsən1=	
小	ɕiɤ3	
少	ɕiɤ3	多～
少	ɕiɤ5	～年
尔	n3-	指示代词你
尔	ɤ3=	
尖	tsiɛ̃1	
尘	ʑin2-	
尘	zən2=	
尚	ʑyɔ̃3-	和～
尚	ʑyɔ̃5=	高～
嘗	ʑyɔ̃2	
尤	iəu2	
堯	iɤ2	
尬	ka5	
就	ʑiəu1-	
就	ʑiəu5=	成～
尷	kã1	
屍	sɿ1	
尺	tɕʰya1-	
尺	tsʰɿ3=	
尼	i2	
尽	ʑin5	
尾	m3-	～巴
尾	uɤ3=	
尿	iɤ1-	
尿	iɤ5=	
局	tɕy7	
屁	pʰi5	
層	ʑiɛ̃2-	
層	zən2=	
居	tɕy1	
屈	tɕʰy7	
屉	tʰi5	
屆	kæ5	
屋	u1	
屌	tiɤ3	
屎	sɿ3	
