#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
切	tɕʰie1	(文)
切	tsʰai7	
刈	ȵi5	
刊	kʰan1	
刎	vən3	
刑	in2	
划	bo2	～船]拔[(白)]縛[(文)
划	o5	(白)
列	lie1	(文)]烈[(文)]裂[(文)
列	lie7	(白)]烈[(白)]裂[(白)
判	pʰan5	
別	biẽ2	(文)區～；離～
別	pai7	(白)
刨	bau6	
利	li5	
刪	suan1	(文)]酸[(文)]閂[(文)
刪	ɕya7	(白)
刮	kua1	(文)
刮	kua7	(白)
到	tei5	(白)
到	tau5	(文)]鬥[(白)～爭]倒[(文)～風
制	tsɿ5	
刷	sua1	(文)
刷	ɕya7	(白)
券	tɕyẽ5	
刺	tsɿ5	
刻	kʰe2	時～
刻	kʰe7	刀～
剁	tu5	
剃	tʰi5	(文)
剃	tʰai5	(白)
則	tse2	
削	ɕiu7	(白)
前	ʑiẽ2	(文)
剔	tʰi5	
剖	pʰəu3	
剛	tɕiaŋ1	(白)～～；～好
剜	uan3	
剩	ʑin6	
剮	kua3	
副	fu5	
割	kua7	(白)]葛[(白)]括[(白)
創	tsʰuan5	
剿	tɕiau3	
劃	ua5	(文)
劄	tsa1	(文)]眨[(文)]鍘[(文)
劄	tso7	(白)]眨[(白)]閘[(白)
劇	tɕy5	
劈	pʰio7	(白)
劉	liəu2	
劊	kʰuai3	
劍	tɕie5	(白)]箭[(白)]顫[(白)
劑	tʃi5	
力	li2	(文)
力	lie7	(白)
劣	lie2	
助	zəu6	
努	lu3	
劫	tɕie1	(文)]給[(文)]煎[(白)
勁	tɕin5	
勃	pʰe2	
勇	yŋ3	
勉	miẽ3	
勒	le2	
動	daŋ3	(白)
動	duŋ6	(文)
勘	kʰan1	
務	vu5	
勛	ɕyn1	
勝	ɕin5	
勞	lau2	
募	mu5	
勵	li5	
勸	tɕʰye5	(白)
勸	tɕʰyẽ5	(文)
勺	ʑio2	
勻	yn2	(文)]云[(文)]雲[(文)
勻	yŋ2	(白)]云[(白)]雲[(白)
勾	kau1	(白)]溝鉤[(白)]鬮[(白)
勾	kəu1	(文)]鉤[(文)]鬮[(文)
勿	fe1	(文)
包	pu1	(白)]胞[(白)]苞晡[某一時段：今～日，昨～日，上～下～
包	pau1	
化	fa5	(文)
北	pe2	(文)]百[(文)]柏[(文)
北	pe7	(白)
匙	dzɿ2	箱～：撮爐灰的用具]瓷糍[～粑]慈磁鶿[鸕～
匡	tɕʰiaŋ1	
匣	ɣa7	(白)
匪	fei3	
匯	uei5	
匿	ȵi5	
區	tɕʰy1	
十	ʃi1	(文)]泣實[(文)]失[(文)
十	zɿ7	(白)]拾[(白)]入[(白)交合
千	tɕʰiẽ1	(文)
升	ɕin1	
午	u3	
半	pe5	(白)
半	pan5	(文)
卑	pei1	
卒	tsu7	(白)]桌[(白)]捉[(白)
南	no2	(白)
南	lan2	(文)]男[(文)]藍[(文)
占	tɕiẽ5	～卜]佔[(文)]劍[(文)
卡	kʰa3	～倒呱哩：卡住了
卯	mau3	
印	in5	
即	tʃi1	
卵	lo3	
卷	tɕyẽ5	
历	li2	
原	yẽ2	
厥	tɕye1	(文)
厭	iẽ5	
厲	li5	
去	kʰe5	
去	xe5	
參	tsʰan1	(文)
參	tsʰən1	～差
參	sən1	人～
又	iəu5	
叉	tsʰo1	(白)]杈[(白)]差[(白)～別
友	iəu3	
叔	su1	(文)]淑粟[(文)]俗[(文)
叔	ɕiəu7	(白)
取	tɕʰy3	
受	ʑiəu6	
叛	pʰan5	
叟	səu3	
口	kʰau3	(白)
口	kʰəu3	(文)
古	ku3	
句	tɕy5	
另	lin5	
叩	kʰəu5	
只	tsɿ3	～有
召	dʑiau6	
可	kʰo3	
史	sɿ3	
右	iəu5	
司	sɿ1	
叼	tʰau1	
吃	tʃʰi1	
合	vu7	(白)]盒[(白)]佛[(白)
名	mio2	(白)
名	min2	(文)
吏	li5	
吐	tʰu5	
向	ɕiũ5	(白)
向	ɕiaŋ5	(文)
君	tɕyn1	
吝	lin5	
吞	tʰən1	
吟	ȵin2	
吠	fei5	
否	fəu3	
含	ɣan2	(文)]函[(文)]咸[(文)
含	ɣaŋ2	口中含物
吳	u2	
吵	tsʰau3	
吹	tɕʰy1	(白)]黢[～黑]出[(文)
吹	tsʰuei1	(文)
吻	vən3	
吼	xəu3	
吾	u2	
呂	ly3	
呆	ŋai2	
告	kei5	(白)
告	kau5	(文)]酵[(白)]窖[(文)
周	tɕiəu1	
味	vei5	
味	bei6	
命	min5	(文)
命	mio6	(白)
和	vu2	～氣]禾河荷[(白)～花]佛[(文)
咎	tɕiəu5	
咒	tɕiəu5	
咚	tuŋ1	象聲詞
咳	kʰe7	
哀	ŋai1	
品	pʰin3	
哄	xuŋ5	起～
哇	ua1	老～：烏鴉
哈	xa1	～～：笑聲
哈	xa3	～醒：傻子
哈	xa5	打～～
哥	ko1	
哪	tɕio1	(訓讀)～個
哪	la3	
哭	kʰu1	(文)
哭	fu7	(白)
哲	tɕie5	
哽	kən3	
唇	ʑin2	
售	dʑiəu6	
唱	tɕʰiũ5	(白)～喏：行禮作揖
唱	tɕʰiaŋ5	(文)
唾	tʰo3	
啄	tsua5	(白)～木鳥唧
啄	tɕya5	(白)
商	ɕiaŋ1	
啊	a1	
啊	o1	
問	vən6	
啞	ia3	(文)
啞	o3	(白)
啟	tʃʰi3	
啪	pia7	(訓讀)槍聲
啵	po5	打～：接吻
