#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
病	bin6	(文)
症	tɕin5	
痔	dzɿ6	
痕	ɣən2	
痛	tʰuŋ5	(文)
痛	tʰaŋ5	(白)
痢	li5	
痣	tsɿ5	
痹	pi5	
瘓	fan5	
瘟	uən1	
瘡	tsʰuŋ1	(白)]窗[(白)]聰怱蔥[(文)
瘡	tsʰuaŋ1	(文)
瘦	sau5	(白)
瘦	səu5	(文)
瘧	ȵio2	
瘴	tɕiaŋ5	
瘸	dʑya2	～子：手殘
療	liau2	
癆	lau2	
癡	tʃʰi1	
癢	iũ3	(白)
癩	la5	(白)
癩	lai5	(文)
癬	ɕyẽ3	(文)
癰	yŋ1	
癱	tʰa1	(白)
癸	ɡuei6	
登	tən1	
白	pe2	(文)
白	bo7	(白)
百	po7	(白)]柏[(白)]伯[(白)
皂	dzau6	
皆	kai1	
皇	uaŋ2	
皎	tɕiau3	
皖	kʰuan3	
皮	bi2	
皴	tsʰən1	
皺	tsəu5	(文)
皿	min3	
盂	y2	
盅	tsuŋ1	
盆	bən2	(文)
盆	baŋ2	(白)]豶[～豬：公豬]滂旁螃傍房[(文)
盈	in2	
益	i1	
盔	kʰuei1	
盛	ʑin6	～滿呱哩：盛滿了；興～
盜	dau6	
盞	tsa3	(白)]札[(文)]扎[(文)
盟	min2	
盡	ʑin6	
監	kan5	～察]鑑艦幹間[(文)]諫[(白)
盤	be2	(白)
盤	ban2	(文)
目	mu2	(文)
盲	maŋ2	
直	die7	(白)
相	ɕiũ5	(白)～貌
相	ɕiaŋ5	(文)互～；～貌
盼	pʰan5	
盾	dən6	
眉	mi2	(白)]楣[(白)]媚[(白)
眉	mei2	(文)]媚[(文)]楣[(文)
看	pie5	(訓讀)
看	kʰan5	
眠	miẽ2	
眩	ɕyẽ5	
眶	tɕʰiaŋ1	
眷	tɕyẽ5	
眼	iẽ3	(文)
眾	tsuŋ5	
着	tɕio2	(文)]酌[(文)]腳[(文)
着	tiu7	(白)～衣：穿衣
睏	kʰuən5	
睜	tsən1	
睡	zuei6	
督	tu1	
睬	tsʰai3	
瞎	ɕia1	(文)
瞎	xa7	(白)
瞖	i5	
瞘	kʰəu1	
瞞	me2	(白)]沒墨[(文)]默麥[(文)
瞞	man2	(文)
瞟	piau1	(文)
瞟	pʰiau3	～子：鬥雞眼兒
瞧	dʑiau2	
瞪	tən1	(文)
瞭	liau3	
瞳	duŋ2	
瞿	dʑy2	
矛	mau2	
矢	sɿ3	
矣	i3	
短	tue3	(白)
短	tuan3	(文)
矮	ŋa3	(白)]眼[(白)]埯[坑
矮	ŋai3	(文)
矯	tɕiau3	
石	ʒi2	(文)～板：文具
石	ʑio7	(白)～頭
砌	tʃʰi5	(文)]契[～約]器氣[(文)
砍	kʰan3	
砑	ŋa5	～平]暗[(白)]岸[(白)
研	ȵiẽ1	
砧	tin1	
破	pʰo5	(文)
硝	ɕiau1	
硫	liəu2	
硬	ŋən5	(文)
硬	ŋaŋ5	(白)梆～：很硬
硯	ȵiẽ5	
碎	tsʰuei5	(文)
碎	suei5	(白)]歲[(文)]稅[(文)
碑	pei1	
碓	tuei5	
碗	ue3	(白)
碗	uan3	(文)
碟	die1	
碧	pi5	
碰	pʰuŋ5	
碴	tso1	
碼	mo3	(白)
碾	ȵiẽ3	(文)]撚[(文)]攆[(文)
磅	baŋ3	
磉	suaŋ3	
磑	ŋai2	
磕	kʰo1	
磚	tɕye1	(白)]捐[(白)]拙[(文)
磚	tɕyẽ1	(文)
磨	mu2	(白)～刀]鵝[(白)]蛾[(白)
磨	mo2	(文)～刀]摩饃麻[(白)]痳[(白)
磨	m̩2	(白)～刀
磨	mo5	(文)石～
磨	m̩5	(白)石～
磬	tɕʰin5	
礎	tsʰu3	
礙	lai5	
礦	kʰuaŋ5	
礬	ban2	
示	zɿ6	
社	ʑio3	(白)趕～]惹[(白)]喏[唱～：行禮作揖
社	ʑie6	(文)]射[(文)]麝善[(白)
祀	zɿ6	
祈	dʒi6	
祐	iəu5	
祖	tsu3	
祝	tsu1	
神	ʑin2	
祠	zɿ2	
票	pʰiau5	
祭	tʃi5	
禁	tɕin5	
禍	vu6	
福	fu7	
禦	y5	
禮	li5	
禱	tau3	
禹	y3	
禿	tʰu7	(白)
私	sɿ1	
秉	pin3	
秋	tɕʰiəu1	
科	kʰo1	
秒	miau3	
秕	pi3	
秘	pi5	
租	tsu1	(文)]卒[(文)]竹[(文)
租	tsəu1	(白)
秤	tɕʰin5	
秧	iũ1	
秩	ʃi1	(文)]悉濕[(文)]拾[(文)
移	i2	
稅	ɕy5	(白)
稈	kan3	(文)]趕[(文)]擀[(文)
稍	sau3	
稗	bai6	(文)
稚	dʒi6	
稟	pin3	
稠	dʑiəu2	
種	tɕin3	
種	tsuŋ3	(文)
種	tsuŋ5	
稱	tɕʰin1	～呼]卿[(文)]清[(文)
稻	dau6	
稿	kau3	
穆	mu2	
積	tʃi1	
穎	in3	
穗	suei5	
穢	y1	(白)污濁：引申指糞肥、尿肥：淋大～：澆糞；淋小～：澆尿
穢	fei5	(文)
穩	uən3	(文)
穩	uŋ3	(白)
穴	dʑye7	(白)
究	tɕiəu5	
空	kʰuŋ1	
空	kʰuŋ5	
穿	tɕʰye1	(白)
穿	tɕʰyẽ1	(文)
突	tʰu7	(白)]託[(白)]托[(白)
窄	tse1	(文)
窗	tsʰuaŋ1	(文)
窘	dʑyn6	
窟	kʰu1	
窩	u1	
窪	ua1	
窮	dʑyŋ2	
窯	iau2	
窺	kʰuei1	
竄	tsʰue1	(白)
竄	tsʰuan1	(文)
竅	tɕʰiau5	
竈	tsei5	(白)
竈	tsau5	(文)]罩[(文)]皺[(白)
立	li7	(白)]笠[(白)～頭：斗笠]粒[(白)
站	dzan6	車～
竟	tɕin5	
章	tɕiaŋ1	
童	duŋ2	
端	tue1	(白)～陽節
端	tuan1	(文)
競	tɕin5	
竹	tiəu7	(白)
笊	tɕiau3	
笙	sən1	
笛	dio7	(白)
笡	tɕʰio3	～眼皮]扯[(白)]請[(白)
笡	tɕʰio5	斜
符	vu2	
笨	pən5	
第	dai6	(白)～一
筆	pi2	(文)]畢[(文)]必[(文)
筆	pi7	(白)]畢[(白)]必[(白)
等	tən3	(文)
等	taŋ3	(白)
筍	sən3	(文)]榫[(文)]省[～長；反～
筍	ɕyŋ3	(白)
筏	ba2	
筐	kʰuaŋ1	
筒	daŋ2	(白)
答	ta1	(文)]搭[(文)]單[(白)
答	to7	(白)]搭[(白)]褡[口水～：圍嘴兒
筧	tɕiẽ3	(文)
筵	iẽ2	
筷	kʰuai5	
箋	tɕʰiẽ1	
箏	tsən1	
算	sue5	(白)
算	suan5	(文)]涮[(文)]蒜[(文)
管	kue3	(白)]竿[(白)]擀[(白)
管	kuan3	(文)
箭	tɕiẽ5	(文)]戰顫[(文)]建薦見[(文)
箱	ɕiaŋ1	(文)]廂[(文)]湘襄鑲[(文)
節	tsai7	(白)]窄[(白)]截[(白)～斷
範	ban6	
範	van6	
篆	tsʰuan5	
篇	pʰie1	(白)]偏[(白)]撇[(文)
篇	pʰiẽ1	(白)
篡	tsʰuan5	
篤	tu1	
篩	sai1	(文)]西[(白)東～：物件]犀[(白)
篷	buŋ2	
篼	tau1	
篾	mie1	(文)
簍	lau3	(白)]摟[(白)]漏[(白)
簍	ləu3	(文)
簟	die3	(白)
簟	diẽ6	(文)
簧	uaŋ2	
簪	tsan1	(文)
簪	tsan3	(白)]盞[(文)]攢[(文)
簫	ɕiau1	
簽	tɕʰie1	(白)]妾怯[(文)]遷[(白)
簿	bu3	
籃	lo2	(白)]諾屙[(訓讀)～尿]落[(文)
籃	lan2	(文)]難[(文)]蘭[(文)
籌	dʑiəu2	
籍	dʒi2	
籤	tɕʰiẽ1	(文)]簽[(文)]謙遷[(文)
籮	lu2	(白)]螺腡[手指文：～～]奴盧爐鸕蘆廬驢祿六[(文)
籮	lo2	(文)]賂[(白)]藍[(白)
米	mi3	(文)
米	mai3	(白)
粉	fən3	(文)
粉	faŋ3	(白)]謊[(文)]晃肪倣紡[(文)
粗	tsʰu1	(文)]初[(文)]雛畜[(文)～牧；～牲
粗	tsʰəu1	(白)]初[(白)]搊[(白)～尿
粟	ɕiəu7	(白)
粥	tsu1	(文)
粥	tɕiəu7	(白)
粱	liaŋ2	
粳	kən3	
粵	ye7	(白)
粹	tsʰuei5	
粽	tsuŋ5	
精	lin1	(訓讀)～光：精光
糊	vu2	
糙	tsʰau5	
糜	mi1	
糞	fən5	(文)
糟	tsuei1	(白)
糟	tsau1	
糠	xuŋ1	(白)]荒[(白)]慌[(白)
糠	kʰaŋ1	(文)
糧	liaŋ2	(文)]涼[(文)]量[(文)
糯	nuŋ5	(白)
糴	dio7	(白)
糶	tʰiau5	
糾	tɕiəu1	
紀	tʃi3	
紂	dʑiəu6	
約	io2	(文)]藥[(文)]鑰躍嶽岳樂[音～
約	iu7	(白)
紅	ɣuŋ2	
紋	vən2	
納	na2	
紐	ȵiəu3	
純	dʑyn2	
紗	so1	(白)]三[(白)]杉[(白)
紙	tsɿ3	
紛	fən1	
紝	ʑin6	
素	su5	
素	səu5	(白)]數[(白)]嗽[(文)
索	so1	(文)]朔蓑[(文)]沙[(白)
索	su7	(白)]速[(白)]肅[(白)
紫	tsɿ3	
累	luei3	連～
累	luei5	極困
細	ʃi5	(文)]世[(白)]勢系係戲氣[(白)～～：味道不正常
細	sai5	(白)
紹	ɕiau5	
終	tsuŋ1	
組	tsu3	
絆	pa5	(白)
絆	pʰan5	(文)
結	kai7	(白)
絕	ʑye7	(白)
絞	tɕiau3	
絡	lo2	
給	ke7	(白)]嗝[(白)]隔[(白)
絨	yŋ2	
絮	ɕy5	(文)
絮	ɕiəu5	(白)]秀綉鏽[(文)]嗅[(文)
統	tʰuŋ3	
絲	sɿ1	
絹	tɕyẽ5	
綁	paŋ3	
綏	suei1	
經	tɕin1	
綜	tsuŋ3	
綠	lu2	(文)
綠	liəu7	(白)
綢	dʑiəu2	
綱	kaŋ1	
網	faŋ3	
綴	tsuei5	
綽	tso2	
綿	miẽ2	
緊	tɕin3	
緒	dʑy6	
線	ɕie5	(白)]扇[(白)]洩[(文)
緝	tʃi1	
編	pie1	(白)]鳊[(白)]鱉[(文)
緩	fa3	(白)]反[(白)]返[(白)
緩	fan3	(文)]反[(文)]返[(文)
緬	miẽ5	
緯	uei3	
練	liẽ5	
縊	i5	
縐	tsau5	(白)
縐	tsəu5	(文)
縛	bu7	(白)
縣	ʑye6	(白)
縫	lye2	(訓讀)
縫	buŋ2	
縫	buŋ6	～～：縫隙
縮	su2	
縮	səu7	(白)
縱	tsuŋ5	
縷	ləu3	
總	tsuŋ3	
績	tʃi1	
繁	ban2	
繃	puŋ1	～子
織	tɕie7	(白)
繞	ʑiau3	(白)～棺
繡	ɕio5	(白)]洩[(白)]姓[(白)
繩	dʑyn2	
繪	uei5	
繫	tʃi5	～鞋帶]髻[(文)]智寄置記既季吉炙[(文)
繮	tɕʰiaŋ1	
繰	tɕʰiau1	～邊
繳	tɕiau3	
繼	tʃi5	
纂	tsʰuan5	
續	zu2	
纍	lei1	～胖：很胖
纍	luei1	～壯：很肥(指動物)；很胖(指人)
纍	luei3	～積
纓	in1	
纜	lan3	
缸	kaŋ1	
缺	tɕʰye2	(文)
缺	tɕʰye7	(白)
罈	da2	(白)
罐	kue5	(白)
罐	kuan5	(文)
罕	xan3	
罩	tsu5	(白)
罪	dzuei6	
罰	ba7	(白)～呱款：罰了款
署	ɕy3	
罵	mo5	
罷	ba3	(白)
罷	ba6	(文)]稗[(白)]犯[(白)～人
羅	lu2	(白)]蘿[(白)]鑼[(白)
羅	lo2	(文)]鑼[(文)]蘿[(文)
羊	iũ2	(白)
羌	tɕʰiaŋ1	
美	mei3	
羞	ɕiəu1	
群	dʑyn2	
羨	ɕyẽ5	(白)
義	ȵi5	
羹	kən1	(文)
羹	kaŋ1	(白)瓢～：羹匙
羽	y3	
翁	uŋ1	(白)
翅	tsɿ5	
翎	lin2	
習	ʃi7	(白)]膝[(白)]秩[(白)
翠	tsʰuei5	
翡	fei3	
翰	ɣan6	
翹	tɕʰiau5	
翼	i5	
耀	iau5	
老	lei3	(白)
老	lau3	(文)]腦[(文)]惱[(文)
考	kʰau3	
者	tɕie3	
而	ɣe2	
耍	sua3	
耐	lai5	
耕	kən1	
耗	xau1	
耳	ɣe3	(文)
耳	ȵie3	(白)]碾[(白)]撚[(白)
耶	ie1	
耽	tan1	
耿	kən3	
聊	liau2	
聖	ɕin5	
聘	pʰin5	
聚	dʑy6	
聞	vən2	
聲	ɕin1	(文)]星[(文)]腥[(文)
聳	suŋ3	～鼻頭
聶	ȵie2	
聽	tʰio5	(白)～見；～其自然
聽	tʰin5	(文)
肄	i5	
肅	su2	(文)
肆	sɿ5	
肉	ȵiəu7	(白)
肋	le2	(文)
肋	lai7	(白)
肘	tɕiəu3	
肚	təu3	(白)]堵[(白)]賭[(白)
股	ku3	
肢	tsɿ1	
肥	bi2	(白)地蠻～
肥	vei2	(文)
肩	tɕiẽ1	
肫	tɕyn5	
肯	kʰən3	(文)
肯	kʰaŋ3	(白)
育	y5	
肺	fai5	(白)
肺	fei5	(文)
胃	uei5	
背	pei5	
背	bei6	～誦
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	
胞	bau6	(文)
胡	vu2	
胭	iẽ1	
胯	kʰa5	(白)
胸	ɕyŋ1	
能	lən2	
脂	tsɿ3	
脅	ɕie1	(文)]協[(文)]襲[(文)
脅	ɕie7	(白)]協[(白)]襲[(白)
脆	tsʰuei5	
脈	me2	(文)
脊	tʃi1	
脫	tʰo1	(文)]託[(文)]托[(文)
脫	tʰa7	(白)
脯	pʰu3	
脹	tiũ5	(白)～浮頸：大脖子
脾	bi2	
腋	ɕio7	(白)～眼：膈肢窩
腎	ʑin6	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	ua3	(白)
腦	nei3	(白)
腫	tɕin3	
腫	tsuŋ3	(文)
腮	sai1	
腰	iau1	
腸	diũ2	(白)
腿	tʰuei3	
膈	ke2	(文)
膏	kei1	(白)
膘	pie1	(白)]標[(白)]鞭[(白)
膚	fu1	
膜	mo2	(文)
膠	tɕiau1	(文)]焦[(文)]蕉[(文)
膨	bən2	
膩	ȵi5	(文)
膩	ȵiaŋ5	(白)～雨：雨水不停
膽	to3	(白)
膽	tan3	(文)
膿	ȵyŋ2	(文)
膿	naŋ2	(白)
臀	dən2	
臂	pʰi1	
臉	liẽ3	
臊	sei1	(白)
臊	sau5	～子
臍	zɿ2	(白)
臍	dʒi2	(文)]薺池馳奇騎遲[(文)]祁鰭持其棋期旗集及疾侄直[(文)
臘	la1	(文)]蠟[(文)]辣[(文)
臘	lo7	(白)
臟	zuaŋ2	心～
臥	ŋo5	
臨	lin2	
自	dzɿ6	
臭	tɕʰiəu5	
至	tsɿ5	
致	tsɿ5	
臺	dai2	
臻	tsən1	
臼	dʑiəu6	
舀	iau3	(文)
舂	tsʰuŋ1	
舂	do3	(訓讀)～米
舅	dʑiəu6	
與	y3	
興	ɕin1	
興	ɕin5	高～
舊	dʑiəu6	
舌	ʑie2	(文)]熱[(文)]前[(白)
舌	ʑie7	(白)
舒	ɕy1	
舔	tʰia3	
舔	tʰiẽ3	(文)
舜	sən5	(白)
舜	ɕyn5	(文)
舞	u3	
舟	tɕiəu1	
航	ɣaŋ2	
般	pa1	(白)
舵	du6	(白)]馱[(白)]杜度渡鍍奪[(白)
舵	do6	(文)]馱[(文)]惰奪[(文)
船	dʑye2	(白)]拳[(白)]權[(白)
船	dʑyẽ2	(文)]拳[(文)]權[(文)
艇	tʰin3	
良	liaŋ2	
艱	kan1	
色	sai7	(白)
艷	iẽ5	
艾	ŋai5	
芋	y5	
芙	vu2	
芝	tsɿ1	
芬	fən1	
花	fa1	(文)]法[(文)]翻[(白)
芳	faŋ1	
芽	ŋo2	(白)
苔	tʰai1	舌～
苗	mie2	(白)]描[(白)]棉[(白)
苗	miau2	(文)]描[(文)]貓[(文)
苟	kəu3	
若	ʑio2	
苦	kʰu3	
苧	dʑy6	
英	in1	
茂	məu5	
范	ban6	
范	van6	
茄	dʑio2	
茅	mau2	(文)
茅	muŋ2	(白)
茭	kau1	
茲	tsɿ1	
茶	dza2	(文)]財[(白)]裁[(白)
茶	dzo2	(白)]查[(白)]鑿[(文)
茸	yŋ2	
荀	zən2	
草	tsʰei3	
草	tsʰau3	(文)
荔	li5	
荷	ɣo2	(文)]合[(文)]盒[(文)
荷	xo5	(文)薄～]貨[(文)]化[(白)
莊	tsuaŋ1	
莧	iẽ2	
莧	ɣa6	(白)～菜
莧	ɣan6	(文)
莫	mo5	(白)姓
莫	mu7	(白)]寞[(白)]膜[(白)
莽	maŋ3	
菊	tɕy1	
菌	dʑyŋ3	(白)
菌	dʑyn6	(文)
菖	tɕʰiaŋ1	
菜	tsʰai5	(文)]蔡[(文)]砌[(白)
菠	po1	
菢	bei6	～雞婆：抱窩雞
菩	bu2	
萌	muŋ2	
萍	bin2	
萎	uei3	
萬	va6	(白)
萵	o1	
落	lu7	(白)
葉	ie2	(文)]頁[(文)]延[(白)
葉	ie7	(白)]頁[(白)]噎[(白)
著	tɕy5	
葛	ko1	(文)]胛[(白)～頭：肩膀]各[(文)
董	tuŋ3	
葦	uei3	
葫	vu2	
葬	tsuaŋ5	
葵	ɡuei2	
葷	fən1	
蒐	səu1	
蒔	zɿ2	～田：插秧
蒙	muŋ2	
蒜	sue5	(白)
蒲	bu2	
蒼	tsʰuaŋ1	
蒿	xau1	
蓆	ʑio7	(白)竹～
蓉	yŋ2	
蓋	kai5	(文)]丐介界[(文)]芥[(文)
蓋	kuei5	(白)
蓑	su1	(白)]梭[(白)]蘇[(文)
蓖	pi1	
蓬	buŋ2	
蔓	man5	
蔗	tɕie5	
蔣	tɕiũ3	(白)
蔣	tɕiaŋ3	(文)]獎漿長[(文)生～]漲[(文)
蔥	tsʰaŋ1	(白)
蔭	in1	
蔸	tau1	
蔽	pi5	(文)]閉[(文)]箅[～子
蔽	pio5	(白)
蕩	daŋ6	
蕭	ɕiau1	
蕹	uŋ5	
薄	po2	(文)厚～
薄	po5	(文)～荷]欛[(白)]坝[(白)
薄	bu7	(白)厚～；～荷
薅	xei1	(白)～草：鋤草
薅	xau1	(文)
薛	ɕye1	(文)]雪[(文)]說血[(文)
薛	ɕye7	(白)]雪[(白)]血[(白)
薩	sa1	
薪	ɕin1	
薰	ɕyn1	(文)
薰	ɕyŋ1	(白)
薹	dai2	菜～
藉	dʒi2	
藏	zuŋ2	(白)
藏	zuaŋ2	(文)隱～；西～
藐	miau3	
藕	ŋau3	(白)
藕	ŋəu3	(文)
藝	ȵi5	
藤	dən2	(文)
藥	iu7	(白)
藩	ban2	
藹	ŋai3	
藿	xo1	
蘇	səu1	(白)]酥[(白)]梳[(白)
蘋	bin2	～果
虎	fu3	
虐	ȵio2	
處	tɕʰy3	相～；～所
虛	ɕy1	
虜	lu3	
虞	y2	
號	ɣau2	～雷：打雷
虢	kue2	
虧	tɕʰy1	(白)～本
虧	kʰuei1	(文)
虱	se1	(文)
虹	ɣuŋ2	(文)
虹	kaŋ5	(白)東～熱頭(太陽)西～雨
虻	muŋ2	(白)
蚊	vən2	(文)
蚌	bo3	(白)～殼
蚌	ban6	(文)
蚱	tso5	
蛀	tɕy5	
蛆	tɕʰiəu1	
蛇	ʑie2	(文)]錢[(白)]纏[(白)
蛋	dan6	
蛙	ua1	
蛤	ɣa2	～蟆]鞋[(白)]閑[(白)
蛻	duei6	
蛾	ŋo2	(文)]鵝[(文)]俄訛牙[(白)
蜀	zu2	
蜂	pʰaŋ1	(白)～子
蜈	mu2	(白)]梧[(白)]茅[(白)
蜈	u2	(文)
蜓	din2	
蜜	mi7	(白)
蜢	muŋ3	
蜻	tɕʰin1	
蝕	ʃi1	(文)
蝕	ie7	(白)
蝗	uaŋ2	
蝙	pie3	(白)]扁[(白)]匾[(白)
蝟	uei5	
蝦	ɕia1	(文)]篩[(白)]狹[(文)
蝦	xo1	(白)]𨉣[～腰]花[(白)
蝴	vu2	
蝶	die1	
蝸	o1	
融	yŋ2	
螞	mo3	
螢	yŋ2	(文)
蟀	so1	
蟄	tʃi1	
蟒	maŋ3	
蟲	din2	(白)
蟲	zuŋ2	(文)
蟹	ɣa3	(白)
蟹	ɣai3	(文)
蟻	ȵi2	
蟾	ʑiẽ2	
蠅	dʑyn2	
蠚	xo1	(文)
蠟	lo7	(白)
蠢	tɕʰyn3	(文)
蠢	tɕʰyŋ3	(白)
蠶	dzan2	
蠻	ma2	(白)
蠻	man2	(文)
行	in2	～爲；品～
行	ɣaŋ2	
街	ka1	(白)
街	kai1	(文)
衛	uei5	
衝	tsʰuŋ1	(文)
衡	ɣən2	
衣	i1	
表	piau3	
衰	suai1	
袁	yẽ2	
袋	dai6	
袍	bau2	
袖	dʑiəu6	
被	bi3	(白)～殼子：被單
被	bi6	(文)]婢避備篦鼻[(白)～頭：鼻子]未[(白)～來
袱	vu2	(文)
袱	vu7	(白)
裏	li3	
裕	y5	
裙	dʑyn2	(文)
裙	dʑyŋ2	(白)
補	pu3	
裝	tiũ1	(白)～滿呱哩：裝滿了
裝	tsuŋ1	(白)～窯
裝	tsuaŋ1	(文)
裳	dʑiaŋ2	
裴	bei2	
裸	lo3	
裹	ko3	
製	tsɿ5	
褒	pau1	
褡	ta1	(文)
褥	zu2	
褪	tʰuei5	
褲	kʰu5	
襖	ŋau3	
襟	tɕin1	
襠	taŋ1	(文)
襪	ma7	(白)
襻	pʰa5	(白)扣～～：中式的紐襻
襻	pʰan5	(文)
西	ʃi1	(文)]犀[(文)]溪奚兮攜犧熙希稀習[(文)
要	iau1	～求
要	ie5	(白)重～
要	iau5	(文)重～
見	tɕie5	(白)
規	kuei1	
覓	mi2	
視	zɿ6	
親	tɕʰin1	
覷	tɕʰiəu5	～戲：看戲；好～：好看
覺	tɕio2	(文)
覺	kau5	睏～
覺	tɕio7	(白)]隻[(白)]炙[(白)～火：烤火
覽	lan3	
觀	kuan1	
觀	kuan5	
解	kai3	(文)
解	ka5	押～
解	ɣai6	姓
觸	tsʰu1	
言	ie2	(白)
言	iẽ2	(文)
訂	tio5	(白)
訂	tin5	
訃	fəu5	(白)
計	tʃi5	
訊	ɕin5	
討	tʰei3	
討	tʰau3	(文)
訓	ɕyn5	
訟	zuŋ6	
訣	tɕye2	(文)
訣	tɕye7	(白)
訪	faŋ3	
設	ɕie7	(白)
許	ɕy3	
訴	sɿ5	(白)告～
訴	su5	
診	tɕin1	(文)]疹真巾斤筋徵蒸莖京荊驚鯨擎精[(文)]晶睛[(文)
診	tɕio3	(白)
註	tɕy5	
詔	tɕiau1	
詞	zɿ2	
詠	yn5	
試	sɿ5	
詩	sɿ1	
詭	kuei3	
話	ɣo6	(白)
該	kai1	
誇	kʰua1	
誊	dən2	
誌	tsɿ5	
認	ʑin6	
誓	dzɿ6	
誓	dʒi6	(文)
誕	tan3	
誘	iəu3	
語	y3	
誠	dʑin2	
誣	vu2	
誤	mu5	(白)]悟[(白)]幕牧磨[(白)石～
誤	u5	
誦	zuŋ6	
誰	dzuei2	
誰	zuei2	
課	kʰo5	
誼	ȵi2	
調	diau2	～和
調	diau6	(文)音調；～動
請	tɕʰin3	(文)
諒	liaŋ5	
論	lən5	(文)
論	laŋ5	(白)議～
諜	die1	
諧	ɣai2	
諱	fei5	
諷	fuŋ5	
諺	ȵiẽ5	
謀	məu2	
謂	uei5	
謊	xuŋ3	(白)]紡[(白)]哄[～他不倒：騙不了他
謎	mi5	
謗	paŋ3	
講	ko3	(白)
講	tɕiaŋ3	(文)
謝	ʑio6	(白)]射[(白)]芍陣[(白)
謠	iau2	
謬	ȵiəu5	
證	tɕin5	
識	ʃi1	
譚	da2	(白)]檀[(白)]壇[(白)
譚	dan2	(文)]談痰檀[(文)]壇[(文)
警	tɕin3	
譯	i1	
議	ȵi5	
護	vu6	
譽	y5	
變	pie5	(白)
變	piẽ5	(文)
讒	dzan2	
讓	du2	(訓讀)～狗齩呱一口]給[(訓讀)～我買本書]替[(訓讀)～我買本書
讓	ʑiũ5	(白)
讓	ʑiaŋ6	(文)
谷	ku1	(文)
谷	ku7	(白)
豆	dau6	(白)
豆	dəu6	(文)]逗[(文)]痘肚[雞～腑：雞雜
豇	kaŋ1	
豈	tʃʰi3	
豉	zɿ6	豆～
豎	dʑy3	(白)
豕	sɿ3	
豚	dən2	
象	ʑiũ5	(白)]像[(白)]匠[(白)
象	ʑiaŋ6	(文)]像橡上[(文)～山；～面]匠[(文)
豪	ɣau2	
豫	y5	
豬	tɕy1	(文)]諸居誅蛛朱株珠硃拘龜[(白)烏～]錐[(白)～人
豬	tiəu1	(白)
豹	pu5	(白)～公：老虎；～唧：豹子]爆[(白)]凸[(訓讀)
豺	ʑya2	(白)
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tɕin1	
負	vu6	
財	dzai2	(文)]裁[(文)]纔豺[(文)
貢	kuŋ5	
貧	bin2	
貨	fu5	(白)]荷[薄～]戽[～水
販	fa5	(白)
貪	tʰan1	
貫	kuan5	
責	tse2	(文)
貳	ɣe6	(文)
貴	tɕy5	(白)
貴	kuei5	(文)
貶	piẽ3	
買	mai3	(文)
貸	dai6	
費	fei5	
貼	tʰie1	(文)]天[(白)]鐵[(文)
貿	məu5	
賀	vu6	(白)
賀	ɣo6	(文)]夏[春～]下[(文)～定
賂	lu5	(文)
賄	fei3	
資	tsɿ1	
賈	tɕia3	
賊	ze2	(文)
賊	zai7	(白)
賒	ɕie1	(文)～賬]燒[(白)]枵[(白)～䐬：肚子空了
賒	ɕio1	(白)]削[(文)]聲[(白)
賓	pin1	
賜	sɿ5	
賠	bei2	
賢	iẽ2	
賣	ma5	(白)
賣	mai5	(文)
賤	ʑye6	(白)
賦	fu5	
賴	lai5	
賺	ʑya6	(白)
賺	zuan6	(文)
購	kəu5	
賽	sai5	
贅	tsuei5	
贈	zən6	
贊	tsan5	
贏	in2	(文)
贓	tsuaŋ1	
贖	ʑiəu7	(白)
赤	tʃʰi1	(文)
赦	ɕie5	(文)]舍笑[(白)]搧[(白)
赫	xe2	
走	tsau3	(白)
走	tsəu3	(文)
起	tʃʰi3	
超	tɕʰiau1	
越	ye2	(文)]曰[(文)]粵[(文)
趕	kue3	(白)]稈[(白)]桿[(白)
趙	dʑiau6	
趟	tʰaŋ3	
趣	tɕʰy5	(文)
趣	tsʰuei5	(白)
趨	tɕʰy1	
足	tsu1	
趼	tɕiẽ3	
趾	tsɿ3	
跌	tai7	(白)
跑	bau2	(文)
跑	pʰau3	(白)
跛	pai1	～子：瘸子
距	dʑy6	
跟	kən1	(文)]根[(文)]埂[(文)
跟	kaŋ1	(白)]根[(白)]岡崗剛[(文)
跡	tʃi1	
跨	kʰua1	
跨	ɡa3	(訓讀)～過門口
跨	ɡʱa3	(訓讀)～溝
跨	dʑʱia3	(訓讀)～溝
跪	tɕʰy3	(白)
路	lu5	(文)
路	ləu5	(白)]漏[(文)]陋露鷺咬[(訓讀)～一口
跳	tʰie5	(白)
跳	tʰiau5	(文)
跺	tʰiəu7	(訓讀)～腳：跺腳
踏	tʰo7	(白)]沓[(白)]塔[(白)
踐	dʑiẽ6	
踢	tʰi1	(文)
踢	tʰio7	(白)
踩	tsʰai3	
踮	tiẽ1	
踱	to2	(文)
踱	tu7	(白)
