#漢字	音標	解釋
□	kiu3	绕线
倡	tsʰiŋ1	
倦	kʰin5	
倪	ŋɐi2	
債	tsai3	
值	tsʰik8	
傾	kʰiŋ1	
假	ka3	放~
假	ka3	真~
偏	pʰin1	
做	tsu5	
停	tʰiŋ2	
健	kin3	
偶	ŋɐu3	~然
偶	ŋɐu3	配~
偷	tʰɐu1	
償	siŋ5	
傀	kʰʷɐi3	
傅	fu5	
傍	pʰoŋ2	
催	tsʰui1	
傲	ŋau5	
傻	sa3	
像	tsʰiŋ5	
僧	tsaŋ1	
僵	kiŋ1	
僻	pʰik7a	
儒	ju2	
儡	lui3	
允	jɐn3	
元	jun2	
兄	hiŋ1	
充	tsʰuŋ1	
兆	tsʰiu5	
先	ɬin1	
光	kuŋ1	
克	hak7a	
免	min3	
兔	tʰu3	
黨	taŋ3	
兜	tɐu1	
入	jɐp7a	
全	tsʰun2	
公	kuŋ1	
六	luk7a	
兮	hɐi3	
蘭	lan2	
共	kʰuŋ5	
關	kʷan1	
興	hiŋ1	~旺
興	hiŋ3	高~
兵	piŋ1	
其	kʰi2	
具	kʰi5	
典	tim3	
兹	tsi1	
養	jiŋ3	
兼	kim1	
獸	sɐu3	
冀	kʰi1	
内	nui5	
岡	kaŋ1	
冉	ŋim3	
册	tsʰɛk7b	
再	tsai3	
冒	mau5	
寫	ɬɛ3	
軍	kʷɐn1	
農	nuŋ2	
冠	kun3	~军
冠	kun1	衣~
冢	tsuŋ3	
冤	un1	
冬	tuŋ1	
馮	fuŋ5	
冰	piŋ1	
冲	tsʰuŋ1	
決	kʰit8	
况	kʰaŋ3	
冷	lɛŋ3	
凍	tuŋ3	
淨	tsʰiŋ5	
準	tsɐn3	
涼	liŋ2	
凌	liŋ2	
減	kam3	
湊	tsʰɐu5	
凝	niŋ5	
几	ki3	~乎
几	ki3	~个
几	ki1	茶~
凡	fan2	
鳳	fuŋ5	
凭	pʰaŋ2	
凱	kʰai3	
凳	taŋ3	
凶	huŋ1	
出	tsʰɐt7a	
擊	kik3	
函	hɐm2	
刀	tau1	
刁	tiu1	
刃	ŋiɐn3	
分	fɐn1	
切	tsʰit8	
刊	kʰan1	
刎	mɐn3	
刑	jiŋ2	
划	wak8	
划	wa2	~船
列	lit7a	
劉	lɐu2	
則	tsʰak7a	
剛	kaŋ1	
創	tsʰaŋ3	
初	tsʰo1	
删	san1	
判	pʰun3	
刨	pʰau3	
利	li5	
别	pʰit8	区~
别	pʰit8	离~
刮	kʷat7b	
到	tɐu3	
制	tsɐi3	
刷	tsʰat7b	
券	kin3	
刺	tsʰi3	
刻	hak7a	时~
刻	hak7a	用力~
劊	kʰʷai3	
刴	to3	
劑	tsɐi1	
剃	tʰɐi3	
削	ɬiak7b	
前	tsʰin2	
剮	kʷa3	
劍	kim3	
剔	tʰik7a	
剖	pʰau3	
剜	wun3	
剝	puk7b	
劇	kʰik2	~烈
劇	kʰik2	戏~
剩	siŋ5	
剪	tsin3	
副	fu3	
割	kat7b	
劈	pʰik2	
力	lik7a	
勸	hin3	
辦	pan1	
功	kuŋ1	
加	ka1	
務	mu5	
劣	lit7a	
動	tʰuŋ5	
助	tsʰo5	
努	nu3	
劫	kip7a	
勵	lɐi5	
勁	kiŋ5	~敌
勁	kiŋ3	有~
勞	lau2	
勢	sɐi3	
勃	pʰut7a	
勇	juŋ3	
勉	min3	
勒	lak7a	
勘	hɐm1	
募	mu5	
勤	kʰɐn2	
勳	fɐn1	
勺	siak7b	
勾	kɐu1	
勿	mɐt8	
匀	wɐn2	
包	pau1	
化	wa3	
北	pɐk8	
匙	si5	
匡	kʰʷaŋ1	
匣	kap7b	
匪	fui3	
匹	pʰɐt7a	
區	kʰi1	
醫	ji1	
匾	pin3	
匿	nuk7a	
十	sɐp7b	
千	tsʰin1	
升	siŋ1	
午	ŋ̍3	
半	pun3	
華	wa2	
協	hip7b	
卑	pi1	
卒	tsɐt7a	兵~
卓	tsɛk7b	
單	tan1	~独
賣	mai5	
南	nam2	
博	pok7b	
卜	puk8	
占	tsim1	~卜
盧	lu2	
卦	kʷa5	
臥	ŋo5	
衛	wɐi5	
卯	mau3	
印	ɐn3	
危	ŋɐi5	
即	tsik7a	
卻	kʰɛk8	
卵	lun3	
卷	kin3	
卸	ɬɛ5	
卿	hiŋ2	
廠	tsʰuŋ3	
廳	tʰiŋ1	
历	lik7a	
厲	lɐi5	
壓	at7b	
厭	im3	
廁	tsʰak7a	
厘	li2	
厚	hɐu5	
原	jun2	
廂	ɬiŋ1	
厥	kʰit8	
厦	ha5	~门
厦	ha5	偏~
廚	tsʰu2	
厮	si1	
去	hi3	
縣	jun5	
参	tsʰam1	
参	tsʰam1	~差
参	sɐm1	人~
又	jɐu5	
叉	tsʰa1	
及	kʰɐp7b	
友	jɐu3	
雙	suŋ1	
反	fan3	
发	fat7b	
叔	suk7a	
取	tsʰi3	
受	sɐu5	
變	pin3	
敍	tsʰui5	
叛	pʰun3	
叟	ɬɐu3	
疊	tʰip7b	
口	hɐu3	
古	ku3	
句	ki3	
另	liŋ5	
叨	tau1	
叩	kʰɐu3	
只	tsik7a	
只	tsi1	~有
叫	iu1	
召	tsʰiu5	
可	kʰo3	
史	si3	
右	jɐu5	
葉	jɛp7a	
號	hau5	~数
號	hau5	呼~
司	si1	
嘆	tʰan3	
吁	ji5	
吃	hik7a	
各	kok7b	
吆	iu1	
合	hɐp7b	
合	hɐp8	十~一升
吉	kɐt7a	
吊	tiu2	
同	tʰuŋ2	
名	miŋ2	
后	hɐu5	
吏	lɐi2	
吐	tʰu3	
向	hiŋ3	
嚇	hak7a	
呂	lui3	
君	kʷɐn1	
吞	tʰɐn1	
吟	ŋiɐm2	
吠	fɐi3	
否	fɐu3	
含	hɐm2	
聽	tʰiŋ1	~见
聽	tʰiŋ1	~住
啓	kʰai3	
吳	ŋ̍2	
吵	tsʰau3	
吸	kʰɐp7a	
吹	tsʰui1	
吻	mɐn3	
吼	huŋ3	
吾	ŋ̍2	
呆	tai2	
呈	tsʰiŋ2	
告	kau3	
嘔	ɐu3	
員	jun2	
周	tsɐu1	
味	mi5	
呼	fu1	
命	miŋ5	
和	wo5	~气
和	wo5	~面
咎	kʰɐu5	
咒	tsɐu3	
咨	tsi1	
咬	ŋau3	
咳	kʰɐt8	
咸	ham2	
哀	ai1	
品	pʰɐn3	
哄	huŋ3	
哈	ha1	~腰
響	hiŋ3	
啞	a3	
哥	ko1	
哪	na5	
哭	huk7a	
哲	tsit7a	
哽	kʰaŋ3	
唆	ɬo1	
脣	sɐn2	
唐	tʰaŋ2	
嘮	lau1	
喚	wun5	
售	sɐu5	
唯	wɐi5	
唱	tsʰiŋ3	
啄	tsɛk7b	
商	siŋ1	
嗇	sik7a	
囉	lo1	
啼	tʰɐi2	
善	sun5	
喉	hɐu2	
喊	in3	
喊	ham5	
喘	tsʰɐn3	
喝	hot8	~酒
喝	hat7b	~采
喧	ɬun1	
噴	pʰɐn3	
喻	ju2	
嗅	tsʰɐu3	
嗉	ɬu3	
嗓	ɬaŋ1	
嗜	si5	
嗣	tsʰi5	
嗤	tsʰi1	
嗽	ɬɐu5	咳~
嘉	ka1	
嘘	hi1	
囑	tsuk7a	
嘴	tsui3	
噍	tsʰiu5	
噎	ɛt7a	~住了
器	hi3	
囂	hiu1	
嚥	in3	
嚷	naŋ2	
囊	naŋ2	
囚	tsʰɐu5	
四	ɬi5	
回	hui2	
因	ɐn1	
团	tʰun2	
囤	tʰun5	
園	jun2	
困	kʰʷɐn3	
囱	tsʰuŋ1	
圍	wɐi2	
固	ku3	
國	kuk7b	
圖	tʰu2	
圓	jun2	
圈	kʰun1	圆~
圈	kʰun1	猪~
土	tʰu3	
聖	siŋ2	
在	tsʰui5	
圭	kʷɐi1	
地	tʰi5	
場	tsʰiŋ2	
址	tsʰi3	
均	kʷɐn1	
坍	tʰan1	
坎	hɐm3	
壞	wai5	
坐	tsʰo5	
坑	haŋ1	
塊	wai3	
堅	kin1	
坛	tʰan2	
壩	pa5	
塢	wu1	
墳	fɐn2	
墳	fɐn5	
墜	tsʰui5	
坡	pʰo1	
坤	kʰʷɐn1	
坦	tʰan3	
坪	pʰiŋ2	
坯	pʰui1	
坳	au5	
垂	tsʰui2	
壠	luŋ3	
型	jiŋ2	
墾	hɐn3	
墊	tʰim5	
垮	kʰʷa3	
埂	kɛŋ3	
埃	ai1	
埋	mai2	
城	siŋ2	
域	wak8	
埠	fɐu2	
培	pʰui3	
基	ki1	
堂	tʰaŋ2	
堆	tui1	
堡	pau3	
堤	tʰɐi2	
堪	hɐm1	
堰	jin3	
堵	tu3	
塑	lak7b	
塔	tʰap8	
塘	tʰaŋ2	
塞	ɬɐt7a	
填	tʰin2	
境	kiŋ3	
墓	mu5	
牆	tsʰiŋ2	
增	tsaŋ1	
墟	hi1	
墨	mɐk8	
墩	tɐn1	
壁	pik7a	
壅	uŋ1	
壕	hau2	
壘	lui3	
壤	naŋ2	
士	si5	
壬	ŋiɐm1	
壯	tsaŋ3	
聲	siŋ1	
殼	hak7b	
壺	fu2	
壻	ɬɐi3	
處	tsʰu3	~所
處	tsʰu3	相~
備	pʰi5	
夏	ha5	
夕	tsʰik8	
外	wai3	
多	to1	
夜	jɛ5	
大	tʰai5	
天	tʰin1	
太	tʰai3	
夫	fu1	
央	iŋ1	
失	sɐt7a	
頭	tʰɐu2	
夷	ji2	
夸	kʰʷa1	
夾	kap8	
奪	tʰut8	
奇	kʰi2	
奈	nai5	
奉	fuŋ5	
奮	fɐn3	
奎	kʰʷɐi1	
奏	tsɐu5	
契	kʰei3	
奔	pɐn1	
套	tʰau3	
奚	hɐi3	
奠	tʰin5	
奢	sɛ1	
奧	ou3	
女	nu3	
奴	nu2	
奶	nai3	
奸	kan1	
好	hau3	~坏
好	hau3	喜~
如	ju5	
妃	fi1	
妄	muŋ3	
婦	fu5	
媽	ma2	
妓	kʰi5	
妖	iu1	
妗	kɐm5	
妙	miu5	
妥	tʰo3	
妨	fuŋ3	
妬	tʰu5	
妹	mui5	
妻	tsʰɐi1	
妾	tsʰip7a	
姊	tsi3	
始	si3	
姐	tsɛ2	
姑	ku1	
姓	ɬiŋ3	
委	wɐi3	
姘	pʰiŋ2	
姚	jiu1	
姜	kiŋ1	
姨	ji2	
姻	ɐn1	
姿	tsi1	
威	wɐi1	
嬌	kiu1	
娘	niŋ2	
娠	sɐn1	
娩	min3	
娛	ŋ̍2	
娶	tsʰi3	
婆	pʰo2	
婚	fɐn1	
婢	pi1	
嬰	iŋ1	
嬸	sɐm3	
媒	mui2	
媚	mi2	
媳	ɬik7a	
嫁	ka3	
嫂	ɬau5	
嫌	him2	
嫖	pʰiu2	
嫡	tik7a	
嫩	nun5	
嬉	hi1	
孀	soŋ1	
子	tsi3	
孔	kʰuŋ3	
孕	ŋiɐn5	
字	tsʰi5	
存	tsʰɐn2	
孫	ɬun1	
孝	hau3	
孟	mɛŋ3	
季	kɐi3	
孤	ku1	
學	hak8	
孩	hai2	
孵	fu1	
寧	niŋ5	~可
寧	niŋ2	安~
宅	tsʰɛk8	
宇	ji3	
守	sɐu3	
安	an1	
宋	ɬuŋ2	
完	jun2	
宏	huŋ2	
宗	tsuŋ1	
官	kun1	
宙	tsɐu3	
定	tʰiŋ5	
宛	un3	
宜	ji2	
寶	pau3	
實	sɐt8	
寵	tsʰuŋ3	
審	sɐm3	
客	hɛk7b	
宣	ɬun1	
室	sɐt7a	
宦	fan5	
宪	hin3	
宮	kuŋ1	
宰	tsai3	
害	hai5	
宴	jin3	
宵	ɬiu1	
家	ka1	
容	juŋ2	
寬	hun1	
賓	pɐn1	
宿	ɬuk7a	
宿	ɬuk7a	星~
寂	tsʰik8	
寄	ki3	
寅	jɐn2	
密	mɐt7a	
富	fu3	
寐	mi2	
寒	han2	
寓	ji5	
寢	tsʰɐm3	
寞	mok8	
察	tsʰat7b	
寡	kʷa3	
寥	liu5	
寨	sai5	
寸	tsʰun3	
對	tui3	
寺	tsʰi5	
尋	tsʰɐm2	
導	tʰau5	
壽	sɐu5	
封	fuŋ1	
射	sɛ5	
將	tsiŋ1	~来
尊	tsun1	
小	ɬiu3	
少	siu3	~年
少	siu3	多~
尖	tsim1	
塵	tsʰɐn2	
尚	siŋ5	
嘗	siŋ2	
尤	jɐu1	
尤	jɐu2	
堯	ŋiu3	
尬	kai3	
就	tsʰɐu5	
尷	kam3	
屍	si1	
尹	jɐn3	
尺	tsʰɛk7a	
尼	nɐi2	
尽	tsʰɐn5	
尾	mi3	
尿	niu5	
局	kʰuk8	
屁	pʰi3	
層	tsʰaŋ2	
居	ki1	
屈	kʰʷɐt7a	
屉	tʰɐi1	
屆	kai3	
屋	uk7a	
屎	si3	
屏	pʰiŋ2	
屑	ɬiu1	
屬	suk7b	
屠	tʰu2	
屢	lɐu3	
履	kʰik2	
履	lui3	
屯	tʰun5	
山	san1	
歲	ɬui3	
豈	hi3	
岔	tsʰa1	
崗	kaŋ1	
島	tɐu3	
巖	ŋan5	
嶺	liŋ3	
岳	ŋak7b	
岸	ŋan5	
峽	hip7b	
峰	fuŋ1	
崇	tsʰuŋ2	
崐	kʰʷɐn1	
崔	tsʰui1	
崖	ŋan2	
崙	lɐn2	
崩	paŋ1	
嵌	kʰim2	
嵩	tsʰuŋ2	
川	tsʰun1	
州	tsɐu1	
巡	tsʰɐn2	
巢	tsʰau2	
工	kuŋ1	
左	tso3	
巧	kʰiu3	
鞏	kʰuŋ3	
巫	wu1	
差	tsʰa1	~不多
差	tsʰai1	出~
差	tsʰa1	参~
己	ki3	
已	ji3	
巳	tsʰi3	
巴	pa1	
巷	haŋ5	
巾	kɐn1	
幣	pʰi5	
市	si3	
布	pu3	
帥	sui3	
帆	fan2	
師	si1	
希	hi1	
帳	tsiŋ3	
帕	pʰɛk7b	
帖	tʰip7a	
帘	lim2	
帚	tsɐu3	
帛	pʰɛk8	
帝	tɐi3	
帶	tai3	
席	tsʰik8	
幫	poŋ1	
常	tsʰiŋ2	
幅	fuk7a	
幔	man5	
幕	mok8	
干	kan1	
干	kan1	~活
平	pʰiŋ2	
年	nin2	
并	piŋ3	
幸	hɛŋ5	
幻	fan2	
幼	jɐu5	
幽	jɐu1	
廣	kuŋ3	
慶	hiŋ3	
庇	pʰi3	
牀	saŋ2	
序	tsʰui5	
廬	lu2	
庫	kʰu5	
應	iŋ1	~当
應	iŋ3	~对
底	tɐi3	
店	tim3	
廟	miu2	
庚	kɛŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fɐi3	
度	tʰu5	
座	tsʰo5	
庭	tʰiŋ2	
庵	an3	
庶	su5	
康	haŋ1	
庸	juŋ2	
廉	lim2	
廊	laŋ2	
廓	kuk7b	
廖	liu5	
延	jun2	
廷	tʰiŋ2	
建	kin3	
開	hai1	
异	ji2	
弃	hi3	
弄	luŋ5	
弊	pʰi5	
式	sik7a	
弓	kuŋ1	
引	jɐn3	
弘	huŋ2	
弟	tʰɐi5	
張	tsiŋ1	
弥	ni3	
弦	hin5	
彎	wan1	
弱	ŋɛk7b	
彈	tʰan2	~琴
彈	tʰan5	子~
强	kʰiŋ2	
强	kʰiŋ3	勉~
弼	pik7a	
歸	kʷɐi1	
當	taŋ1	~时
當	taŋ3	~作
录	luk7a	
形	jiŋ2	
彩	tsʰai3	
彪	piu1	
彬	pɐn1	
彭	pʰaŋ2	
影	iŋ3	
役	jik7a	
徹	tsʰit7a	
彼	pʰi3	
往	wuŋ3	
征	tsiŋ1	
徑	kiŋ3	
待	tʰai5	
很	hɐn3	
律	lɐt7a	
徐	tsʰu2	
徒	tʰu2	
得	tak7a	
徙	si3	
徛	kʰi5	
御	ji5	
復	fuk7b	~原
循	tsʰɐn2	
微	mi2	
德	tak7a	
徽	fi1	
心	ɬɐm1	
必	pit7a	
憶	ik7a	
忌	kʰi5	
忍	ŋiɐn3	
志	tsi3	
忘	muŋ2	
忙	moŋ2	
忠	tsuŋ1	
快	fai3	
念	nim5	
忽	tsʰuŋ1	
忽	fɐt7a	
忿	fɐn5	
懷	wai2	
態	tʰai3	
慫	ɬuŋ2	
怒	nu5	
怕	pʰa3	
怖	pu3	
憐	lin2	
思	ɬi1	
怠	tʰai5	
急	kɐp8	
性	ɬiŋ3	
怨	un3	
怪	kʷai3	
總	tsuŋ3	
恃	si5	
戀	lun2	
恐	huŋ3	
恆	haŋ2	
恕	su5	
恢	fui1	
恤	ɬut7a	
恨	hɐn5	
恩	ɐn1	
恭	kuŋ1	
息	ɬik7a	
恰	hɐp7a	
懇	hɐn3	
恶	ak8	可~
恶	ak8	善~
惱	nau5	
悄	tsʰiu5	
悉	ɬik7a	
悔	fui3	
悟	ŋ̍2	
悠	jɐu1	
患	fan5	
悦	jut7a	
懸	jun2	
悲	pɐi1	
情	tsʰiŋ2	
驚	kiŋ1	
惑	wak8	
惜	ɬik7a	
惟	wɐi2	
惠	wui5	
懼	kʰi5	
慘	tsʰam3	
懲	tsʰiŋ1	
慚	tsʰam2	
慣	kʷan3	
惰	tʰo5	
想	ɬiŋ3	
愁	tsʰɐu2	
愈	ji2	
愉	ji2	
意	ji3	
愚	ji2	
感	kam3	
憤	fɐn5	
愧	kʰʷɐi3	
願	ŋiun5	
慈	tsʰi5	
慌	fuŋ1	
慎	sɐn5	
慕	mu5	
慢	man5	
慧	wui5	
慨	kʰai3	
慰	wɐi5	
慷	haŋ1	
憎	tsaŋ1	
憨	ŋaŋ2	
憾	hɐm5	
懂	tuŋ3	
懈	hai2	
懊	au3	
懶	lan3	
懵	muŋ3	
戈	ko1	
戊	mau3	
戌	ɬut7a	
戍	si1	
戎	juŋ2	
戲	hi3	
成	siŋ2	
我	ŋa3	
戒	kai3	
或	wak8	
戚	tsʰik7a	
戟	kik3	
截	tsʰit7b	
戴	tai3	
戶	fu5	
戽	fu5	
房	fuŋ2	
所	ɬo3	
扁	pin3	
手	sɐu3	
才	tsʰai2	
扎	tsat7b	
扑	puk8	
打	ta3	
扔	ŋiŋ2	
托	tʰak7b	
扛	koŋ1	
執	tsɐp7b	
擴	kʰaŋ3	
掃	ɬau5	~地
掃	ɬau5	~帚
揚	jiŋ2	
扭	nɐu3	
扮	pʰan3	
扯	tsʰi3	
擾	ŋiu3	
扳	pan3	
扶	fu5	
批	pʰɐi1	
扼	ŋak7a	
承	siŋ2	
技	kʰi5	
抄	tsʰau1	
把	pa3	
抑	ik7a	
抓	tsa1	
投	tʰɐu2	
抖	tɐu3	
抗	kʰaŋ3	
折	tsit7a	~断
折	tsit7a	弄~了
撫	fu3	
抛	pʰau1	
摳	kʰɐu1	
搶	tsʰiŋ3	
護	fu5	
報	pau3	
披	pʰi1	
抬	tʰai2	
抱	pʰau3	
抵	tɐi3	
抹	mat7b	
押	at7b	
抽	tsʰɐu1	
抿	min3	
拄	tsu3	
擔	tam1	~任
擔	tam5	挑~
拆	tsʰɛk7b	
拇	mu3	
拈	nim2	
拈	tim5	
拉	lai1	
拌	pʰun3	
拍	pʰɛk7b	
拎	liŋ2	
拐	kʷai3	
拔	pʰat8	
拖	tʰo1	
拘	kʰi1	
拙	tsʰɐt7a	
招	tsiu1	
拜	pai3	
擬	ji3	
攏	luŋ3	
揀	kan3	
擁	juŋ3	
攔	lan2	
撥	pʰut8	
擇	tsʰɛk8	
括	kʰʷa3	包~
拯	siŋ5	
拱	huŋ3	
拳	kʰun2	
拴	san1	
拼	pʰiŋ3	~命
拾	sɐp7b	~起来
拿	la3	
持	tsʰi2	
挂	kʷa5	
指	tsi3	
按	an3	
挑	tʰiu1	
挖	wa1	
挾	kip7b	
撓	nau2	
擋	taŋ3	
擠	tsɐi1	
揮	fi1	
挨	ŋai2	
挪	no2	
振	tsɐn3	
挺	tʰiŋ3	
挽	wan2	
捅	tʰuŋ3	
捉	tsuk7b	
捋	lut7a	
捎	sau1	
捏	nɛt7b	
捐	kin1	
捕	pʰu3	
撈	lau1	
損	ɬun3	
換	wun5	
捧	puŋ3	
捨	sɛ3	
据	kʰi5	
捱	ŋai2	
捲	kʰun3	
捷	tsit7a	
捺	nai2	
掀	hin1	
授	sɐu5	
掉	tiu1	
掌	tsiŋ3	
掏	tʰau1	
排	pʰai2	
掘	kʷɐt8	
掠	liak7b	
探	tʰam3	
接	tsip7a	
控	huŋ3	
推	tʰui1	
掩	ŋim3	
措	tsʰo3	
擲	tsʰiŋ5	
揉	jɐu2	
描	miu5	
提	tʰɐi2	
插	tsʰap7b	
揖	jɐp7a	
揞	ɐm3	
握	uk7a	
揩	hai1	
揭	kʰit7a	
援	wun5	
攬	lam3	
撳	kɐm5	
攙	tsʰam1	
摟	lɐu5	
攪	kau3	
搉	kʰuk7b	
搓	tsʰo1	
搜	ɬɐu1	
搞	kau3	
搨	tʰap8	
搬	pun1	
搭	tap7b	
攜	kʰʷɐi3	
搽	tsʰa2	
攝	sip8	
摆	pai3	
摇	jiu1	
攤	tʰan1	
摘	tsak8	
摩	mo1	
摸	mo1	
摹	mu1	~仿
摺	tsip8	
撇	pʰit8	
撑	tsʰɛŋ1	
撒	ɬat7b	
撕	tsʰi1	
撕	si1	
撞	tsuŋ5	
撤	tsʰit7a	
撩	liu5	
撮	tsɐp7a	一~米
撰	tsʰun5	
撼	hɐm5	
操	tsʰau1	
擒	kɐm2	
擘	mɛk7b	
擦	tsʰat7b	
攀	pʰan1	
攢	tsan3	
攘	naŋ2	
支	tsi1	
收	sɐu1	
改	kai3	
攻	kuŋ1	
放	fuŋ3	
政	tsiŋ3	
故	ku3	
效	hau5	
敵	tʰik8	
敏	min3	
救	kɐu3	
救	siŋ5	
教	kau3	~书
教	kau3	~育
斂	lim3	
敝	pɐi5	
敢	kam3	
散	ɬan3	分~
散	ɬan3	鞋带~了
敦	tɐn1	~厚
㪗	tʰɐu3	
敬	kiŋ3	
數	su3	动词、名词
敲	hau1	
整	tsiŋ3	
敷	fu1	
斃	pʰi5	
文	mɐn2	
齋	tsai1	
斑	pan1	
斗	tɐu3	
料	liu5	
斛	fuk8	
斜	tsʰɛ2	
斟	tsɐm1	
斤	kɐn1	
斥	tsʰɛk7a	
斧	fu3	
斬	tsam3	
斷	tʰun5	~绝
斷	tʰun5	决~
斯	si1	
新	ɬɐn1	
方	fuŋ1	
施	si1	
旁	pʰoŋ2	
旅	lui3	
旋	ɬun5	
族	tsʰuk8	
旗	kʰi2	
無	mɐu5	
既	ki3	
日	ŋiɐt3	
旦	tan3	
舊	kɐu5	
旨	tsi3	
早	tsau3	
旬	tsʰɐn2	
旱	han5	
時	si2	
曠	kʰaŋ2	
旺	wuŋ5	
昂	ŋiŋ3	
昆	kʰʷɐn1	
昌	tsʰiŋ1	
明	miŋ2	
昏	fɐn1	
易	ik2	交~
易	ji5	难~
昔	ɬik7a	
星	ɬiŋ1	
映	iŋ3	
春	tsʰɐn1	
昨	tsʰo3	
昭	tsiu1	
是	si5	
晝	tsɐu3	
顯	hin3	
晃	fuŋ3	
晉	tsɐn3	
晌	siŋ5	
曬	sai3	
曉	hiu3	
暈	wɐn2	
晚	man3	
晦	fui3	
晨	sɐn2	
普	pʰu3	
景	kiŋ3	
晴	tsʰiŋ2	
晶	tsiŋ1	
智	tsi3	
暫	tsʰam5	
暇	ha2	
暇	ha5	
暑	su3	
暖	nun3	
暗	am3	
暮	mu5	
暴	pʰau5	
曝	pʰau5	
曰	jut8	
曲	kʰuk7a	
更	kɛŋ1	
更	kaŋ3	~加
曹	tsʰau2	
曾	tsʰaŋ2	~经
曾	tsaŋ1	姓
替	tʰɐi3	
最	tsui3	
月	ŋiut7a	
有	jɐu3	
朋	pʰaŋ5	
服	fuk7b	
朔	ɬak7b	
朗	laŋ3	
