#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
傳	dʑy6	传记
伢	ŋo2	小孩
傷	ɕiɛ1	伤害
倫	laŋ2	伦理
傖	tsʰuɔ1	粗俗
僞	ȵy6	伪装
佇	dʑʮ4	伫立
伯	pɛ7	妇人对夫兄的称呼
伯	pɛ7	父亲兄的称呼
估	ku1	估计
伲	ȵi6	我,我们
伴	bø4	伴侣
伶	ləŋ2	优伶
伸	saŋ1	伸手
伺	sɿ5	伺候
似	zɿ4	相似
伽	dzɿ2	伽蓝爷
伽	ka7	伽蓝
伽	ko1	译音用字
佃	di6	佃农
但	da6	但是
位	jʮ6	地位
低	ti1	高低
住	dʑʮ6	住宿
佐	tso3	辅佐
佑	jiau6	保佑
體	tʰi3	身体
何	wu2=	任何
何	ɡa2-	何乜
何	ɦa2	何乜
佗	du2	负载
佘	zɿ2	姓氏
余	jʮ6	姓氏
余	jʮ2	餘剩余
佚	jiai8	佚名
佛	fai7	仿佛
佛	wai8	佛陀的简称
作	tso7	作坊
作	tso7	工作
佝	hau1	佝背
你	ȵi4	第二人称
佣	jyoŋ2	
佣	jyɔ6	佣人
僉	tɕʰi1	都,皆
佩	bai6	佩服
佬	lə4	厚佬
佯	jiɛ2	假装
佰	pɛ7	一百
佳	ko1	佳音
佶	dʑiai8	佶屈:曲折
佼	kuɔ3	佼佼者
使	sɿ3	使命
侃	kʰø3	侃大山
侄	dzai8	叔侄
侈	tsʰɿ3	奢侈
例	li6	例子
侍	zɿ6	侍候
侏	tɕʮ1	短小
侗	doŋ6	侗族
供	tɕyɔ1	供给供销
供	tɕyɔ5	供应
依	ʰji1	依靠
依	noŋ2	我
俠	ji8	侠义
侶	lu4	伴侣
僥	tɕyə3	侥幸
偵	tɕiəŋ1	侦察
側	tsʰe7	侧面
側	tse7	翻转侧头侧转侧转睏
僑	dʑyə1	侨务
儈	kai5	市侩
侮	vu4	欺侮
侯	ɦau2	侯爵
侵	tsʰaŋ1	侵略
便	bi2	便宜
便	bi6	方便
促	tɕʰiəu7	促进
俄	ŋ̍2	俄国
俊	tɕyoŋ5	俊杰
俎	tso3	切肉用的砧板
俏	tɕʰyə5	俏皮,产品俏显
俑	jyɔ4	兵马俑
俗	ʑyo8	风俗
俘	fu1	俘虏
俚	li4	俚语
保	pə3	保护
俞	jʮ2	姓氏
俟	dzɿ2	万俟:复姓
俟	zɿ4	俟机行事
信	saŋ5	信仰
儼	ȵi4	俨然恭敬庄重
倆	liɛ4	伎俩
儉	dʑi4	勤俭
修	ɕiəu1	修理
俯	fu3	俯卧撑俯首
俱	dʑʮ6	俱全
俳	bɛ2	俳句
俶	ɕiəu7-	宝~塔
俶	tɕʰiəu7=	美好
俸	ɦoŋ6	俸禄
俺	ø3	我们
倍	bai4	加倍
倏	ɕiəu7	倏忽
倒	tə5	倒水
倒	tə3	打倒
倔	dʑy8	倔强
倖	ɦɛ2	恼怒
倘	tʰuɔ3	倘若
候	ɦau6	时候
倚	ʰji3	倚靠
倜	tʰi7	倜傥
借	tsɿ5	借债
借	tsɿ5	藉借口
倡	tɕʰiɛ5	提倡
倥	kʰoŋ1	~侗
倦	dʑy6	疲倦
倩	tɕʰi5	笑靥美好貌
倪	ȵi2	姓氏
倭	ʰwu1	倭寇
債	tsɛ5	负债
值	dzɿ8	值日
傾	tɕʰyoŋ1	顷刻
偃	ʰji3	仰卧
假	ko3	假设
假	ko5	放假
偈	dʑi6	偈佗
偈	dʑi8	勇武貌
偌	ʑia8	这么
偎	ʰwai1	亲近依偎
偏	pʰi1	偏远
偕	ka1	俱
做	tso5	做到
停	dəŋ2	停止
健	dʑi6	健康
偶	ŋau4	偶像偶然
偷	tʰau1	偷窃
僂	lau2	佝偻:软骨病
償	ʑiɛ2	赔偿
傀	kʰai3	傀儡
傅	fu5	姓氏
傍	buɔ2	傍大款
傍	buɔ6	傍大款
傢	ko1	傢具
傣	tʰa5	傣族
儐	pəŋ5	~相
儲	dʑʮ2	储蓄
儺	no2	傩舞
催	tsʰai1	催促
傭	jyoŋ2	雇佣
傯	tsʰoŋ1	~~:急遽貌
傲	ŋə6	高傲
傻	so3	傻瓜
像	ʑiɛ4=	偶像
像	dʑiɛ4	相像
僚	lyə2	官僚
僧	saŋ1	唐僧
僭	tɕi5	超越本分
僮	doŋ2	未成年者
僳	ɕyo7	僳僳:少数民族
僳	li8	僳僳族
僳	li8	战僳
僵	tɕiɛ1	倒下
僻	pʰi7	偏僻
僽	tsau1	虱多覅~
儆	dʑiaŋ6	儆傲快好
儒	ʑʮ2	儒家
儡	lai4	傀儡
兒	ŋ̍2	婴孩
兒	ŋ̍6	用于儿化尾
兒	ʰŋ̍5	矮椅儿崽、儿的儿化音,一般多作小称词尾
兀	ŋø8	高耸貌
允	jyoŋ4	允许
元	ȵy2	公元
兄	ɕyoŋ1	兄弟
充	tɕʰyoŋ1	充分
兆	dʑyə4	预兆
先	ɕi1	先后
光	kuɔ1	光明
克	kʰe7	克服训斥
免	mi4	避免
兑	tai5-	兑糖儿
兑	dai6=	兑换
兔	tʰu5	兔子
兗	jy4	地名
黨	tuɔ3	政党
兜	tau1	裤兜
兢	dʑiaŋ2	小心谨慎
入	zai8	收入
全	ʑy2	全面
八	po7	八个
八	pa7	小八癞子
公	koŋ1	公司
六	liəu8	数词
兮	ji2	古代韵文中的助词
蘭	la2	兰花
共	dʑyɔ6	共同
關	ka1	关心
興	ɕiaŋ3	作兴
興	ɕiaŋ1=	兴盛
興	ɕiaŋ5=	高兴
兵	pəŋ1	兵士
其	dzɿ2	其他
其	dzɿ2	豆萁
具	dʑʮ6	工具
典	tiɛ3	字典
兹	tsɿ1	兹事体大
養	ʰjiɛ3	养育
兼	tɕi1	兼并
獸	ɕiəu5	野兽
冀	tsɿ5	希冀
内	nai6	内外
冇	nau4	没有
岡	kuɔ1	冈子:不高的山
岡	kuɔ1	山冈
冉	ʑi4	渐进冉冉上升
册	tsʰɛ7	册页
再	tse5	再三
冏	tɕyoŋ3	明亮
冒	mə6	冒险
冒	mu8	冒顿
冕	mi4	冠冕
冗	zoŋ4	冗长
寫	sɿ3	写作
軍	tɕyoŋ1	军队
農	noŋ2	农业
冠	kø5	冠军
冠	kø1	皇冠
冢	tɕyɔ3	衣冠冢
冤	ʰjy1	冤枉
冥	məŋ2	昏暗
冬	toŋ1	冬天
馮	ɦoŋ2	姓氏
冰	pəŋ1	冰冻
冲	tɕʰyoŋ1	冲锋
冲	tɕʰyoŋ1	冲动对冲步履不稳而前倾
冲	tɕʰyoŋ5	向着
決	tɕy7	决定
况	ɕyɔ5	情况
冶	ji4	冶金
冷	lɛ4	冷冻
凍	toŋ5	冷冻
冽	li8	凛冽
冽	li8	清澄
淨	tɕiaŋ5-	净光
淨	ʑiəŋ6	干净
凄	tsʰɿ1	凄惨
準	tɕyoŋ3	准备
涼	liɛ6	使热东西变凉
凋	tyə1	凋敝
凌	ləŋ2	凌冽
減	ka3	减少
湊	tsʰau5	凑合
凜	ləŋ4	凛冽
凝	ȵiaŋ2	凝固
几	tsɿ1=	几何
几	tsɿ3=	几多
几	ki3-	幾,几个,几唻,几能界
几	tsɿ3	茶几
凡	va2	平凡
鳳	ɦoŋ6	龙风
鳧	vu2	凫雁:野鸭与大雁
凭	bəŋ2	凭借
凱	kʰe3	~旋
凰	ɦuɔ2	凤凰
凳	taŋ5	矮凳
凶	ɕiaŋ1-	凶显凶个人凶显个,大家人沃怕渠
凶	ɕyɔ1=	凶恶
凸	dø8	凹凸
凹	uɔ1	凹凸
出	tɕʰy7	提出
出	tɕʰy7	齣戏曲中段落或剧目
擊	tɕiai7	打击
凼	taŋ3	水凼
函	ɦa2	信函
鑿	zø8	言之凿凿凿子
刀	tə1	刀片
刁	tyə1	刁难
刃	zaŋ6	刀刃
刃	ȵiaŋ6	刀刃
分	faŋ1	分开
分	vaŋ6	分格
切	tɕʰi7	切磋
切	tɕʰi7	用刀把物体分成若干
刈	ȵi6	割取废去
刊	kʰø1	刊物
芻	tsʰo1	反刍
刎	vaŋ4	自刎
刑	jiaŋ2	刑罚
划	ɦo2	划龙船
划	fa7	划拳
划	wɛ8	计划
列	li8	队列
劉	liəu2	姓氏
則	tse7	原则
剛	kuɔ1	刚才
創	tsʰuɔ1	创伤
創	tsʰuɔ5	创造
初	tsʰo1	初步
删	sa1	删改
判	pʰø5	审判
刨	buɔ6	刨床
刨	buɔ2	挖掘
利	li6	利害
利	li6	利索
别	pi7	不顺从;执拗别针
别	bi8	分别
别	bi8	区别特别
刮	ko7	搜刮
刮	ko7	颳风劲吹
到	tə5	到达
刳	kʰu1	挖空
制	tsɿ5	法制
刷	sø7	印刷,刷白
券	tɕʰy5	契卷
刹	sa7	佛刹古刹
刹	sa7	刹车
刺	la8	乖戾
刺	tsʰɿ5	刺激
刺	tsʰɿ7	刺绒衫
刺	tsʰɿ5	生刺
刻	kʰe7	立刻
劊	kai5	刽子手
劌	tɕy5	刺伤,割伤
刴	tu5	砍
劑	zɿ6	发剂
劑	tsɿ5	调剂
剃	tʰi5	剃头
削	ɕia7	削弱
剋	kʰe7	剋己
前	ʑi2	前进
剮	ko3	千刀万剐
劍	tɕi5	宝剑
剔	tʰi7	挑剔
剖	pʰə3	剖白
剜	ʰjy1	剜肉补疮
剝	po7	剥削
劇	dʑiai8	戏~
剩	dʑiəŋ6	剩余
剩	ʑiəŋ6=	多馀
剪	tɕi3	剪刀
副	fu5	副手
割	kø7	割切
剽	pʰyə5	剽窃
剿	tsʰuɔ1	剿匪
剿	tɕyə3	剿匪
劃	wɛ8	划分
劈	pʰi7	刀劈
力	li8	力量
勸	tɕʰy5	劝告
辦	ba6	办公
功	koŋ1	功夫
加	ko1	参加
務	vu6	任务
劣	le8	恶劣
動	doŋ4	运动
助	zo6	助理
助	ɕiəu7	勖勉
努	no4	努力
劫	tɕi7	抢劫
勵	li6	勉励
勁	tɕiaŋ5	强健有力使劲
勞	lə2	劳动
劼	tɕiai7	谨慎
劾	ɦe8	弹劾
勢	sɿ5	形势
勃	bø8	突然
勇	jyɔ4	勇敢
勉	mi4	勉励
勳	ɕyoŋ1	功勋
勒	le8	勒索
勘	kʰø5	勘探
募	mu6	募捐
勤	dʑiaŋ2	勤奋
勺	ʑia8	勺子
勾	kau1	勾结
勿	wai8	别,不要
匀	jyoŋ2	均匀
匄	ha7	钞票~你嘴讲出~鼻头笑
包	puɔ1	包括
匆	tsʰoŋ1	忽匆促
匈	ɕyɔ1	匈牙利汹涌
匍	bu2	匍匐
匐	vu8	匍匐
匕	pi3	匕首
化	ho5	化学
北	pai7	南北
匙	zɿ2	舀取食物等的小勺
匙	zɿ2	锁匙
匝	tsø7	一匝十二年
匝	tsa7	匝道
匠	ʑiɛ6	工匠
匡	tɕʰyɔ1	匡正
匣	ɦa8	匣子
匪	fi3	匪徒
匱	dʑʮ6	匮乏
匹	pʰyə7	匹夫
區	tɕʰʮ1	区别
區	au1	姓氏
醫	ʰji1	医疗
匾	pi3	匾额
匿	ȵi8	匿名
十	zai8	数词
千	tɕʰi1	千万
千	tɕʰi1	韆鞍超:秋千
卅	sa7	三十的基数词
升	ɕiəŋ1	升迁
午	ŋ̍4	中午地支第七位
卉	ɕʮ5	花卉
半	pø5	对半
華	ɦo2	中华
華	ɦo6	华山
協	ji8	协商
卑	pai1	卑鄙
卒	tsai7	兵卒
卓	tɕyo7	卓越
單	ta1	单独
單	ʑi2	单于
單	ʑi4	姓氏
賣	mɛ6	买卖
南	ʰna1	南无
南	nø2	南北
博	po7	渊博
卜	po7	占卜
卜	bo8	萄萝卜
卞	bi6	法度,姓氏
占	tɕi5	佔占领
占	tɕi1	占卜
卡	kʰa7	卡口
卡	kʰa7	磁卡
盧	lu2	姓氏
卤	lo4	卤素
卤	lu4	渤盐卤
卦	ko5	八卦
臥	ŋ̍6	卧铺
衛	jʮ6	保卫
卬	ŋuɔ2	卬你
卯	muɔ4	地支第四位
印	ʰjiaŋ5	印刷
危	ȵy2	危险
即	tɕi7	立即
卻	tɕʰia7	推却
卵	laŋ4-	卵黄
卵	lø4=	卵袋
卵	ʰlaŋ1-	圆卵卵
卷	tɕyoŋ3-	一卷卷起
卷	tɕy3	卷筒席卷
卷	tɕy5	考卷
卸	ɕia5	卸货
卸	sɿ5	卸鞍
卿	tɕʰiaŋ1	爱卿
廠	ø1	同“庵”
廠	tsʰe3	工厂
廠	tɕʰiɛ3	茅棚厂儿
厄	a7	迫害
廳	tʰəŋ1	厅堂
历	li8	歷历史
历	li8	磨日磨
厲	li6	厉害
壓	a7	压迫
壓	a7	压板
厭	ʰji5	厌烦
厙	sɿ5	村庄
廁	tsʰɿ5	厕所
廁	tsʰe7	厕所
厘	ʰli1	一厘儿愔静厘
厘	li2	厘米
厚	ɡau4-	厚佬
厚	ɦau4=	忠厚
厝	tsʰo5	放置
原	ȵy2	原来
廂	ɕiɛ1	车厢
厥	tɕy7	晕厥突厥
厦	ɦo6	厦门
厦	ɦo6	大厦
廚	dʑʮ2	厨房
廄	tɕiau5	马厩
去	kʰe5-	去爻
去	tɕʰʮ5=	来去
縣	jy6	市县
叄	sa1	三的大写
参	saŋ1	人参
参	tsʰø1	参加
参	tsʰø1	参差
又	jiau6	副词
叉	tsʰo1	劈叉叉腰
叉	tsʰɛ1	叉烧包
及	dʑiai8	及格
友	jiau4	朋友
雙	ɕyɔ1	双方
反	pa3	反转
反	fa3	反对
发	huɔ7	爱头爱
发	huɔ7	發发展
叔	ɕiəu7	叔伯
取	tɕʰʮ3	争取
受	ʑiəu4	接受
變	pi5	变化
敍	ʑʮ4	叙述
叛	bø6	叛徒叛乱
叟	sau3	老叟
疊	diɛ8	叠起
口	kʰau3	口头
古	ku3	古今
句	tɕʮ5	句子
另	ləŋ6	另外
叨	tə1	唠叨
叩	kʰau5	叩门
只	tsɿ3	副词,只有
只	tsɿ7	隻量词
叫	tɕyə5	叫嚣
召	dʑyə6	召开
叭	pa7	喇叭
叮	təŋ1	叮咛
可	kʰo3	可以许可
台	tʰe1	台州
台	de2	台湾
台	de2	檀台子
台	de2	随飚风
叱	tsʰɿ7	呵斥
史	sɿ3	历史
右	jiau6	左右
叵	pʰu3	不可叵测
葉	ji8	同“协”
葉	sɿ7	葉春秋时楚邑名
葉	ji8	葉姓氏
號	ɦə6	号数
司	sɿ1	公司
嘆	tʰa5	叹气
叼	tyə1	用嘴衔住物体的一部分
嘰	tsɿ1	哔叽
吁	jʮ6	呼吁
吁	ʰjy1	喝止牲口声
吁	ɕʮ1	气喘吁吁
吃	tɕʰiai7	口吃
吃	tsʰɿ7	吃饭
各	ko7	各个
吆	ʰjyə1	吆喝
合	kø7	三合粉
合	ɦø8	合作
吉	tɕiai7	吉样
吊	tyə5	吊床
同	doŋ2	同事
名	məŋ2	名字
后	ɦau4	皇后
吏	li6	官吏
吐	tʰu3	吐痰
吐	tʰu5	呕吐
向	ɕiɛ5	向导
向	ɕiɛ5	方向
吒	tso1	哪吒
嚇	ho5	人吓人恐吓
呂	lu4	姓氏
嗎	ma2	什么
嗎	ma4	译音用字
君	tɕyoŋ1	君子
吝	ləŋ6	吝啬
吞	tʰø1	吞咽
吞	tʰaŋ1	慢吞吞
吟	ȵiaŋ2	吟唱
吠	vi6	狗叫
吡	tsʰɿ1	呲牙咧嘴
否	fə3	否则
否	bi4	否极泰来
吧	po1	酒吧
吨	taŋ1	一吨重
吩	faŋ1	吩咐
含	ɦø2	包含
聽	tʰəŋ1=	听觉
聽	tʰəŋ5-	打听
吭	ɦuɔ2	引吭高歌
吮	ʑyoŋ4	用嘴吸
啓	tsʰɿ3	启发
吱	tsɿ1	吱声
吲	jiaŋ4	译音用字
吳	ŋ̍2	吴语
吵	tsʰuɔ3	争吵
吸	ɕiai7	吸引
吹	tɕʰʮ1	吹风
吻	vaŋ4	吻别
吼	hau5	怒吼
吾	ŋ̍2	我
呀	ʰjia1	呀呀呼
呃	ɛ5	不平声
呃	a7	气逆作声,俗称打嗝
呆	tai1	发呆痴呆
呆	ŋe2	呆头
呈	dʑiəŋ2	呈报
告	kə5	告诉
呐	na8	呐喊,大叫
呐	nø8	呐吃:说话结结巴巴
囈	ȵi6	说梦话
嘔	au3	呕吐
員	jy2	员工
嗆	tɕʰiɛ5	呛人
嗚	ʰwu1	呜呼
呢	ȵi2	呢大衣
周	tɕiəu1	姓氏
周	tɕiəu1	週周围
呱	ko1	呱呱叫
呱	ku1	呱呱而泣
味	vi6	口味
味	mi6-	淡水味
呵	ho1	呵气
呷	ha7	小口地吸饮或喝
呸	pʰai1	表示斥责或鄙薄的声音
呻	saŋ1	因疾病劳苦而嗟叹的声音
呼	fu1	招呼
命	məŋ6	命运
咀	tɕʮ3	咀嚼
咄	tø7	呵叱
咆	buɔ2	咆哮
咋	tso1	咋呼
咋	tsɛ7	大声呼喊
咋	tso5	突然
和	wu2	和平
和	wu2	和牌
和	wu6	和面
和	wu6	附和
咎	tɕiau5	咎由自取
詠	jyoŋ4	歌咏
咐	fu5	吩咐
咒	tɕiəu5	诅咒
咕	ku1	咕噜
咖	kʰa7	咖啡
咖	ka7	译音用字咖喱
嚨	loŋ2	喉咙
嚀	ȵiaŋ2	叮咛
噝	sɿ1	声词
咤	tsa5	发怒声
咧	li8	咧咧:嚷嚷
咨	tsɿ1	咨询
咩	ʰmyə1	羊叫声
咪	ʰmi1	咪咪叫
咫	tsɿ3	咫尺
咬	ŋuɔ4	咬文嚼字
咯	ko7	禽鸟鸣声
咱	tsa1	咱们
咳	kʰø7	咳嗽
咳	he1	语气词
咸	ɦa2	皆,都
咻	ɕiau1	嘿咻
咽	ʰjiaŋ1	咽喉
咿	ʰji1	象声词
哀	e1	悲哀
品	pʰəŋ3	品德
哂	saŋ3	微笑
哄	hoŋ1	众人同时发声
哄	ɦoŋ6	吵闹
哄	hoŋ3	哄骗
哄	hoŋ5	起哄
哆	tu1	哆嗦
哇	o1	呕吐声
哈	ha1	哈腰,哈哈大笑
哈	ha7	译音用字哈巴狗
哉	tse1	语气助词
響	ɕiɛ3	晌午
響	ɕiɛ3	音响
哎	e1	叹词
哏	kaŋ1	捧哏
啞	o3	哑巴
噠	tʰa7	蹈:闲走
嗶	pyə7	哔叽:一种斜纹纺织品
噦	fai5	哕哕:拟声词
噦	ʰjy7	哕起,即恶心呕吐
譁	ɦo2	喧哗
噥	noŋ2	咕哝
哞	ʰmyə1	形容牛叫声
喲	ʰjyo7	叹词
哥	ku1	哥哥
哦	ŋ̍2	表示惊讶、疑惑等
哧	tsʰɿ7	扑哧:笑声
哨	suɔ5	口哨
哩	ʰli1	词曲中作衬字
哪	no2	哪吒
哪	na6	疑问代词
哪	na6	语气词,用于句末
哭	kʰu7	哭泣
哮	huɔ1	咆哮
哲	tɕi7	哲学
哺	bu6	哺乳动物
哼	hɛ1	鼻子里呼出气或发出声音
哽	kɛ3	哽咽
唁	ȵi6	吊唁
唆	so1	教唆唆使
脣	ʑyoŋ2	嘴唇慵懒
唉	e1	唉声叹气
唉	ai5	唉磊堆碎:翻滚动作时呼
唏	sɿ1	唏嘘
唐	duɔ2	姓氏
唔	ŋ̍2	唔伊:读书声音
唔	ŋ̍6	表示没有的否定字
嘜	mɛ8	唛头:货物标签
嘮	lə2	唠叨
嗩	so3	唢呐
喚	hø5	呼叫
唧	tse7	汲取或喷射液体
唬	fu3	吓人
售	ʑiəu6	售楼
售	dʑiəu6	销售
唯	jʮ2	唯一
唱	tɕʰiɛ5	唱歌
唳	li6	风声鹤唳
唷	ʰjyo7	阿~
唾	tʰo5	唾沫
唾	tʰai5-	痰唾
唿	ɕy7	用力吹出哨音
啃	kʰaŋ3	啃咬
啄	tɕyo7	啄木鸟
商	ɕiɛ1	商店
啊	a1	叹词,表示惊讶或赞叹啊呀
啊	a3	叹词,表示追问或要求再说一遍
啊	a3	叹词,表示惊疑
啊	a5	叹词,表示赞叹或惊异
啐	tsʰai5	啐骂
啕	də2	号啕
啖	da4	吃食
啜	tɕʰy7	吃喝
啡	fi1	咖啡
啤	bi2	啤酒
啥	sa7	什么
啦	ʰla7	象声词
嘖	tsɛ7	大声纷争貌
啪	pʰɛ7	形容爆裂、拍击或物体撞击的声音
嗇	se7	吝啬
囀	tɕy5	鸟婉转地叫
啮	ȵi8	咬
囉	ʰlo1	啰唆
啶	dəŋ6	译音用字
啷	ʰluɔ1	啷声
嘯	suɔ5	撮口吹出声音海啸
啻	sɿ5	不啻
啼	di2	啼哭
喀	kʰa7	象声词
喂	jʰʮ5	喂奶
喃	nø2	呢喃:小声絮语
善	ʑi4	慈善
喆	tɕi7	人名用字
喇	la8	喇叭
喉	ɦau2	喉咙
喊	ha3	喊话呐喊
喊	tsʰɿ7	喊喊:轻细声音
喋	diɛ8	喋喋不休
喏	no8	应诺声
喑	ʰjiaŋ1	哑
喔	o7	鸡啼声
喘	tɕʰy3	喘息哮喘
喙	fai5	鸟兽等的嘴
喜	sɿ3	喜欢
喝	hø7	吆喝喝彩
喝	ha7	喝水
喟	kʰai5	喟叹
喧	ɕy1	喧哗
喱	li2	咖喱
喳	tso1	喳呼
喵	ʰmyə1	猫叫声
噴	pʰaŋ1	喷水
噴	pʰaŋ5	喷香
喻	jʮ6	晓喻
嘍	lau2	喽啰
嗄	a3	叹词。表示反诘或惊讶
嗄	so5	声音嘶哑
嗅	ɕiau5	嗅觉
嗑	kʰø7	说话
嗒	ta7	嘀嗒
嗓	suɔ3	嗓子
嗔	tsʰaŋ1	嗔怪:责怪
嗜	zɿ6	爱好
嗝	ka7	嗝吱
嗟	tsɿ1	嗟呼
嗡	oŋ3	嗡鼻:发音时鼻音浓重
嗡	oŋ1	象声词
嗣	zɿ6	继承
嗤	tsʰɿ1	嗤笑
嗥	ɦə2	吼叫
嗦	so7	哆嗦
嗨	he1	叹词,表示婉惜、责怪或感慨
囁	ȵi8	嗫嚅:欲言又止
嗬	ho1	嗬啃
嗯	ŋ̍2	叹词,表示疑问
嗯	ŋ̍4	叹词,表示出乎意外或不以为然
