#漢字	音標	解釋#('wuu_sl_sy', '松陽話', '松陽', '#8B0000', None, None, '來源：<u>落橙</u>', '51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
#簡稱	/	松陽#與文件名一致
#全稱	/	松陽話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：<u>落橙</u>#HTML格式，僅允許一行，用<br>換行
交	kɔ1	
亥	ɛ4	
亦	iʔ8	
亨	haŋ1	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	diŋ2	
亮	liaŋ6	
人	ȵi2	
什	ɕyɛʔ8	
仁	ȵi2	
仄	tsɛʔ7	
仇	ɕiəɯ3	
仇	sei2	
今	tɕiŋ1	
介	ka5	
仍	ȵi2	
他	tʰuə1	
仗	tɕiaŋ5	
付	fuə5	
仙	ɕiɛ̃1	
代	dɛ6	
令	lɛ̃i6	
以	i4	
仰	ȵiaŋ4	
仲	dʑiəŋ6	
件	dʑiɛ̃4	
任	ȵi6	
份	fɛ̃i6	
仿	foŋ3	
企	tsʰɿ3	
伊	i1	
伍	ŋuə4	
伏	fɤʔ8	
伐	fɔʔ8	
休	ɕiəɯ1	
伢	ŋuə2	
伯	paʔ7	
估	kuə3	
伴	bɛ̃4	
伶	lɛ̃i2	
伸	ɕiŋ1	
伺	sɯə6	
似	sɯə4	
佃	diɛ̃6	
但	dɔ̃6	
位	uei6	
位	y6	
低	tiɛ1	
住	dʑyɛ6	
佐	tsu3	
何	u2	
佘	ɕyə2	
佛	fɛʔ8	
作	tsoʔ7	
佞	ȵi6	
你	ȵi4	
佩	bei6	
佳	kuə1	
使	sɯə3	
侃	kʰuɛ̃3	
侄	dʑiʔ8	
來	li2	
侈	tsʰɯə3	
例	liɛ6	
侍	sɯə4	
侖	lɛ̃i2	
供	kəŋ5	
依	i1	
侮	uə4	
侯	ei2	
侵	tɕʰiŋ3	
便	biɛ̃6	
便	biɛ̃2	
促	tɕʰyoʔ7	
俄	ŋ2	
俊	tɕyeŋ5	
俏	tɕʰiɜ5	
俗	ɕyoʔ8	
俘	fuə1	
保	pɜ3	
俟	sɯə4	
俠	iɛʔ8	
信	ɕiŋ5	
修	ɕiəɯ1	
俯	fuə3	
俱	dʑyɛ6	
俸	fəŋ3	
俾	pi3	
倆	tsu5	
倉	tsʰoŋ1	
個	ki5	
個	ku5	
倍	bei6	
倒	tɜ3	
倒	tɜ5	
倔	tɕyɛʔ7	
倘	tʰoŋ3	
候	ei6	
借	tɕyə5	
倡	tɕʰiaŋ5	
倦	dʑyɛ̃6	
倪	ȵi2	
倫	lɛ̃i2	
倭	u1	
值	dʑiʔ8	
假	kuə3	
偉	uei4	
偏	pʰiɛ̃1	
做	tsu5	
停	diŋ2	
健	dʑiɛ̃6	
側	tsɛʔ7	
側	tsʰɛʔ7	
偵	tɕiŋ1	
偶	ŋei4	
偶	ei4	
偷	tʰei1	
僞	uei4	
傀	kʰuə5	
傅	fuə5	
傍	boŋ2	
傑	dʑiɛʔ8	
傘	sɔ̃3	
備	bi6	
催	tsʰɛ1	
傲	ŋɜ6	
傳	dʑyɛ̃6	
傳	dʑyɛ̃2	
債	tsa5	
傷	ɕiaŋ1	
傻	sa3	
傾	tɕʰiŋ3	
僅	dʑiŋ4	
僉	tɕʰiɛ̃1	
像	dʑiaŋ4	
僑	dʑiɜ2	
僕	pʰɤʔ7	
僕	boʔ8	
僥	tɕiɜ3	
僧	sɛ̃1	
僵	tɕiaŋ1	
價	kuə5	
僻	pʰiʔ7	
儀	ȵi4	
儂	nəŋ2	
億	i5	
儉	dʑiɛ̃4	
儒	ȵyɛ2	
償	ɕiaŋ3	
儡	lɛ4	
優	iəɯ1	
儲	ɕyɛ2	
儼	ȵiɛ̃4	
允	yeŋ4	
元	ȵyɛ̃2	
兄	ɕyeŋ1	
充	tɕʰiəŋ1	
兆	dʑiɜ4	
先	ɕiɛ̃1	
光	koŋ1	
克	kʰɛʔ7	
兌	dei6	
免	miɛ̃4	
兒	ȵiɛ2	
兔	tʰuə5	
兗	iɛ̃4	
兜	tei1	
兢	tɕiŋ1	
入	ȵiʔ8	
內	nɛ6	
全	ɕyɛ̃2	
兩	nɛ̃4	
兩	liaŋ6	
八	pɔʔ7	
公	kəŋ1	
六	lɤʔ8	
兮	i2	
共	ɡəŋ6	
共	dʑioŋ6	
兵	piŋ1	
其	dzɿ2	
具	dʑyɛ6	
典	tiɛ̃3	
兼	tɕiɛ̃1	
冀	tsɿ5	
冉	ȵiɛ̃4	
冊	tsʰaʔ7	
再	tsɛ5	
冒	mɜ6	
冠	kuɔ̃1	
冠	kuɔ̃5	
冤	yɛ̃5	
冥	miŋ4	
冬	təŋ1	
冰	piŋ1	
冷	laŋ4	
准	tɕyeŋ3	
凈	ɕiŋ6	
凍	təŋ5	
凜	lɛ̃i4	
凝	ȵi2	
凡	fɔ̃2	
凱	kʰɛ3	
凳	tɛ̃5	
凶	ɕioŋ1	
凸	dɤʔ8	
凹	ɔ1	
出	tɕʰyɛʔ7	
函	ɛ̃2	
刀	tɜ1	
刁	tiɔ1	
刃	ȵi6	
分	fɛ̃i1	
切	tɕʰiɛʔ7	
刈	ȵi6	
刊	kʰuɛ̃1	
刎	uɛ̃4	
刑	iŋ2	
列	liɛʔ8	
初	tsʰɯə1	
判	pʰɛ̃5	
別	piɛʔ7	
別	biɛʔ8	
別	bɛʔ8	
刨	bɔ6	
利	li6	
刪	sɔ̃1	
刮	kuaʔ7	
到	tɜ5	
制	tsɿɛ5	
刷	ɕyɛʔ7	
券	tɕʰyɛ̃5	
刺	tɕʰiʔ7	
刺	tsʰɿɛ5	
刻	kʰɛʔ7	
剁	tu5	
剃	tʰiɛ5	
則	tsɛʔ7	
削	ɕiaʔ7	
前	ɕiɛ̃2	
前	ɕyɛ̃2	
剔	tʰiʔ7	
剖	pʰei3	
剛	koŋ1	
剝	poʔ7	
剩	ɕiŋ6	
剪	tɕiɛ̃3	
剮	kuə3	
副	fuə5	
割	kuɛʔ7	
創	tɕʰioŋ5	
剿	sɔ2	
劃	uə2	
劃	uaʔ8	
劄	tsɔʔ7	
劇	dʑiʔ8	
劈	pʰiɛʔ7	
劉	lei2	
劊	kuei5	
劍	tɕiɛ̃5	
力	liʔ8	
功	kəŋ1	
加	kuə1	
劣	liʔ8	
助	suə6	
努	nu4	
劫	tɕiɛʔ7	
勁	tɕiŋ3	
勃	bɤʔ8	
勇	ioŋ4	
勉	miɛ̃4	
勒	lɛʔ8	
動	dəŋ4	
勘	kʰɛ̃5	
務	muə6	
勛	ɕyeŋ1	
勝	ɕiŋ5	
勞	lɜ2	
募	muə6	
勢	sɿɛ5	
勤	dʑiŋ2	
勵	liɛ6	
勸	tɕʰyɛ̃5	
勺	ɕiaʔ8	
勻	yeŋ2	
勾	kei1	
勿	fɛʔ7	
包	pɔ1	
匆	tɕʰiəŋ1	
化	fuə5	
北	pɛʔ7	
匙	sɿɛ2	
匠	ɕiaŋ4	
匡	kʰoŋ1	
匣	ɔʔ8	
匪	pʰi1	
匯	uei6	
匹	pʰiɛʔ7	
匾	piɛ̃3	
匿	ȵiʔ8	
區	tɕʰyɛ1	
區	ei1	
十	ɕyɛʔ8	
千	tɕʰiɛ̃1	
卅	sɔʔ7	
升	ɕiŋ1	
午	ŋuə4	
卉	uei6	
半	pɛ̃5	
卑	pei1	
卒	tsɛʔ7	
卓	tyoʔ7	
協	iɛʔ8	
南	nɛ̃2	
博	poʔ7	
占	tɕiɛ̃1	
占	tɕiɛ̃5	
卦	kuə5	
卯	mɔ4	
印	iŋ5	
危	uei2	
即	tɕiʔ7	
卵	lɛ̃i4	
卷	tɕyɛ̃3	
卷	tɕyɛ̃5	
卸	ɕyə5	
卻	tɕʰiaʔ7	
卿	tɕʰiŋ1	
厄	aʔ7	
厘	li2	
厚	ɡu4	
厚	ei4	
原	ȵyɛ̃2	
厥	tɕyɛʔ7	
厭	iɛ̃5	
厲	li6	
去	kʰɯə5	
參	sɛ̃i1	
參	tsʰɛ̃i5	
又	iəɯ6	
叉	tsʰuə1	
及	dʑiʔ8	
友	iəɯ4	
反	fɔ̃3	
叔	ɕyoʔ7	
取	tɕʰyɛ3	
受	ɕiəɯ4	
叛	bɔ̃4	
叟	sei5	
叢	səŋ2	
口	kʰei3	
古	kuə3	
句	tɕyɛ5	
另	lɛ̃i6	
叨	tɜ1	
叩	kʰei5	
只	tɕiʔ7	
叫	tɕiɜ5	
召	dʑiɜ4	
叮	tiŋ1	
可	kʰu3	
史	sɯə3	
右	iəɯ6	
司	sɯə1	
吃	tɕʰiʔ7	
各	koʔ7	
合	kɛʔ7	
合	ɛʔ8	
吉	tɕiʔ7	
吊	tiɔ5	
同	dəŋ2	
名	miŋ2	
吏	li6	
吐	tʰuə3	
吐	tʰuə5	
向	ɕiaŋ5	
君	tɕyeŋ1	
吝	lɛ̃i6	
吞	tʰɛ̃1	
吟	ȵi2	
吠	bi6	
否	fei3	
含	uɛ̃i2	
含	ɛ̃i2	
吳	ŋuə2	
吵	tsʰɔ3	
吸	ɕiʔ7	
吹	tɕʰy1	
吻	uɛ̃4	
吼	hei5	
吾	ŋuə2	
呂	lyɛ4	
呆	ŋɛ2	
呈	dʑiŋ2	
告	kɜ5	
呢	ȵi2	
周	tɕiəɯ1	
味	mi6	
呵	hɔ1	
呼	fuə1	
命	miŋ6	
和	u2	
咎	ɡei4	
咒	tsei5	
咥	tiɛʔ7	
咨	tsɯə1	
咬	ŋɔ3	
咬	ŋuɛʔ8	
咳	kʰɛʔ7	
咽	iɛ̃5	
哀	ɛ1	
品	pʰiŋ3	
哄	həŋ3	
員	yɛ̃2	
哥	ku1	
哪	na6	
哭	kʰɤʔ7	
哲	tɕiɛʔ7	
哽	kaŋ3	
唆	su1	
唇	ɕyeŋ2	
唉	ɛ1	
唐	doŋ2	
售	ɕiəɯ6	
唯	uei2	
唱	tɕʰiaŋ5	
唾	tʰei5	
唾	tʰuə5	
啄	tyoʔ7	
商	ɕiaŋ1	
問	mɛ̃i6	
啜	tɕyiʔ7	
啞	u3	
啟	tsʰɿ3	
啼	diɛ2	
喂	uei1	
善	ɕiɛ̃4	
喉	ei2	
喊	hɔ̃5	
喘	tɕʰyɛ̃3	
喚	hɔ̃5	
喜	sɿ3	
喝	hɔʔ7	
喧	ɕyɛ̃1	
喪	soŋ1	
喬	dʑiɜ2	
單	tɔ̃1	
單	ɕiɛ̃6	
喻	ȵyɛ6	
嗅	tɕʰyoʔ7	
嗅	ɕiəɯ5	
嗓	soŋ3	
嗜	sɿ6	
嗝	kɤʔ7	
嗣	sɿ6	
嗤	tsʰɯə1	
嗽	sei5	
嘉	kuə1	
嘔	ei3	
嘗	ɕiaŋ2	
嘮	lɜ2	
嘯	ɕiɔ1	
嘴	tsei3	
嘻	sɿ1	
噎	iɛʔ7	
噓	ɕyɛ1	
噦	y5	
器	tsʰɿ5	
噴	pʰɛ̃i5	
嚇	haʔ7	
嚴	ȵiɛ̃2	
嚷	ȵiaŋ4	
嚼	ɕiaʔ8	
囂	ɕiɜ1	
囈	ȵiɛ6	
囉	lu1	
囊	noŋ2	
囑	dʑyoʔ8	
囚	dʑiəɯ2	
四	sɿ5	
回	uei2	
因	iŋ1	
囤	dɛ̃2	
囥	kʰoŋ5	
囪	tsʰəŋ1	
困	kʰuɛ̃i5	
固	kuə5	
圈	tɕʰyɛ̃1	
國	kuɛʔ7	
圍	uei2	
園	yɛ̃2	
圓	lɛ̃i2	
圓	yɛ̃2	
圖	duə2	
團	dɛ̃2	
土	tʰuə3	
在	sɛ4	
圭	tɕyɛ1	
地	di6	
圳	yɛ̃5	
址	tsɿ3	
均	tɕyeŋ1	
坊	foŋ2	
坍	tʰɔ̃1	
坎	kʰɛ̃3	
坐	su4	
坑	kʰaŋ1	
坡	pu1	
坤	kʰuɛ̃1	
坦	tʰɔ̃3	
坪	biŋ2	
坯	pʰei1	
坳	ɔ1	
坼	tʰaʔ7	
垂	ɕy2	
型	iŋ2	
垢	kei3	
垣	yɛ̃2	
垮	kʰua1	
垻	puə5	
埃	ɛ1	
埋	maŋ1	
城	ɕiŋ2	
域	yɛʔ8	
埠	buə6	
執	tɕiʔ7	
培	bei2	
基	tsɿ1	
堂	doŋ2	
堅	tɕiɛ̃1	
堆	tei1	
堡	pɜ3	
堤	diɛ2	
堪	kʰɛ̃1	
堯	ȵiɔ2	
堰	yɛ̃5	
報	pɜ5	
場	dʑiaŋ2	
堵	tuə3	
塊	kʰuei5	
塋	iŋ2	
塌	tʰɔʔ7	
塑	suə5	
塔	tʰɔʔ7	
塗	duə2	
塘	doŋ2	
塚	tioŋ3	
塞	sɛʔ7	
塢	uə3	
填	diɛ̃6	
填	diɛ̃2	
塵	dʑiŋ2	
境	tɕiŋ3	
墅	ɕyɛ4	
墊	diɛ̃6	
墓	muə6	
墜	dzuei6	
增	tsɛ̃1	
墟	ɕyɛ1	
墨	mɛʔ8	
墩	tɛ̃1	
墮	du4	
墳	fɛ̃i2	
墾	kʰɛ̃i3	
壁	piʔ7	
壇	dɔ̃2	
壑	hoʔ7	
壓	ɔʔ7	
壕	ɜ2	
壘	lei4	
壜	dɛ̃2	
壞	ua6	
壟	ləŋ4	
壤	ȵiaŋ4	
壩	puə5	
士	sɯə4	
壬	ȵi6	
壯	tɕioŋ5	
壺	uə2	
壽	ɕiəɯ6	
夏	uə6	
夔	ɡuei2	
夕	ɕiʔ8	
外	ŋa6	
夙	ɕyoʔ7	
多	tu1	
夜	yə6	
夠	kei5	
夢	məŋ6	
夥	fu3	
大	da6	
大	du6	
天	tʰiɛ̃1	
太	tʰa5	
夫	fuə1	
夭	iɜ3	
央	iaŋ1	
夯	haŋ1	
失	ɕiʔ7	
夷	i2	
夾	kɔʔ7	
奇	dzɿ2	
奈	na6	
奉	pʰəŋ3	
奎	kʰuei1	
奏	tsei5	
契	tsʰɿɛ5	
奔	pɛ̃i1	
套	tʰɜ5	
奚	i2	
奠	diɛ̃6	
奢	ɕyə1	
奧	ɔ5	
奩	liɛ̃2	
奪	dɤʔ8	
奮	fɛ̃i5	
女	na4	
女	ȵyɛ4	
奴	nuə2	
奶	na4	
奸	kɔ̃1	
好	hei3	
如	ȵyɛ2	
妃	pʰi1	
妄	moŋ4	
妊	ȵi6	
妒	tuə5	
妓	dzɿ6	
妖	iɜ1	
妗	dʑiɛ̃4	
妙	miɜ6	
妝	tɕioŋ1	
妥	tʰu3	
妨	foŋ2	
妹	mɛ6	
妻	tsʰɿɛ1	
妾	tɕʰiɛʔ7	
姊	tsɿ3	
始	sɿ3	
姑	kuə1	
姓	ɕiŋ5	
委	uei5	
姘	pʰiŋ1	
姚	ȵiɔ2	
姥	muə5	
姨	i2	
姬	tsɿ1	
姻	iŋ1	
姿	tsɯə1	
威	uei1	
娃	ua1	
娘	ȵiaŋ2	
娛	yɛ2	
娩	miɛ̃4	
娶	tɕʰyɛ3	
娼	tɕʰiaŋ1	
婆	bu2	
婉	uɔ̃3	
婊	piɜ3	
婚	fɛ̃1	
婢	bi4	
婦	fuə4	
婪	lɛ̃2	
婿	sɿɛ5	
媒	mei2	
媚	mei2	
媳	ɕiʔ7	
媾	kei5	
嫁	yə5	
嫂	sɜ3	
嫌	ɔ̃2	
嫖	biɜ2	
嫡	tiʔ7	
嫩	nɛ̃6	
嬉	sɿ1	
嬌	tɕiɜ1	
嬭	mɛ5	
嬰	iŋ1	
嬸	ɕiŋ3	
孀	ɕioŋ1	
子	tsɯə3	
孑	tɕiɛʔ7	
孓	tɕyɛʔ7	
孔	kʰəŋ3	
孕	yeŋ6	
字	sɯə6	
存	sɛ̃2	
孝	hɔ5	
孟	maŋ6	
季	tɕy5	
孤	ku1	
孩	ɛ4	
孫	sɛ̃1	
孵	buə6	
學	oʔ8	
孽	ȵiɛʔ8	
宅	dzaʔ8	
宇	yɛ4	
守	ɕiəɯ3	
安	uɛ̃1	
宋	səŋ5	
完	yɛ̃2	
宏	ŋ2	
宕	doŋ6	
宗	tsəŋ1	
官	kuɔ̃1	
宙	dʑiəɯ4	
定	diŋ6	
宛	uɔ̃3	
宜	ȵi2	
客	kʰaʔ7	
宣	ɕyɛ̃1	
室	ɕiʔ7	
宥	iəɯ6	
宦	uɔ̃4	
宮	kəŋ1	
宰	tsɛ3	
害	a6	
宴	iɛ̃5	
宵	ɕiɜ1	
家	kuə1	
容	ioŋ2	
宿	ɕyoʔ7	
寂	ɕyoʔ8	
寄	tsɿ5	
寅	iŋ2	
密	miʔ8	
寇	kʰei5	
富	fuə5	
寐	mi4	
寒	uɛ̃2	
寓	yɛ6	
寞	moʔ8	
察	tsʰɔʔ7	
寡	kuə3	
寢	tɕʰiŋ3	
寥	liɔ2	
實	ɕiʔ8	
寧	ȵi2	
寨	sa6	
審	ɕiŋ3	
寫	ɕyə3	
寬	kʰuɔ̃1	
寮	liɔ2	
寵	tɕʰioŋ3	
寶	pɜ3	
寸	tsʰɛ̃5	
寺	sɯə6	
封	fəŋ1	
射	ɕyə6	
將	tɕiaŋ1	
將	tɕiaŋ5	
專	tɕyɛ̃1	
尊	tsɛ̃1	
尋	ɕiŋ2	
對	tei5	
導	dɜ6	
小	ɕiɜ3	
少	ɕiɜ3	
尖	tɕiɛ̃1	
尚	ɕiaŋ6	
尤	iəɯ2	
尬	ka5	
就	ɕiəɯ6	
尷	kɔ̃1	
尹	iŋ3	
尺	tɕʰiʔ7	
尼	ȵi2	
尾	mi4	
尾	mɛʔ8	
尿	sɿ1	
尿	ȵiɔ4	
局	dʑyoʔ8	
屁	pʰi5	
居	tɕyɛ1	
屆	ka1	
屈	kʰuɛʔ7	
屈	tɕʰyɛʔ7	
屋	ɤʔ7	
屍	sɿ1	
屏	biŋ2	
屐	dʑiʔ8	
屑	ɕiɛʔ7	
展	tɕiɛ̃3	
屜	tʰiɛ5	
屠	duə2	
屢	lyɛ4	
層	sɛ̃2	
履	lyɛ4	
屬	ɕyoʔ8	
屯	dɛ̃2	
山	sɔ̃1	
岐	dzɿ2	
岑	dʑiŋ6	
岔	tsʰuə1	
岡	koŋ1	
岩	ŋɔ̃2	
岸	uɛ̃6	
峙	dzɿ4	
峯	fəŋ1	
島	tɜ3	
峽	ɔʔ8	
崇	səŋ2	
崑	kʰuɛ̃1	
崔	tsʰei5	
崖	a2	
崗	koŋ5	
崩	bəŋ2	
嵌	kʰɔ̃5	
嵩	səŋ1	
嶺	lɛ̃i4	
嶼	yɛ1	
嶽	ŋoʔ8	
巍	uei6	
川	tɕʰyɛ̃1	
州	tɕiəɯ1	
巡	ɕyeŋ2	
巢	sɔ2	
工	kəŋ1	
左	tsu3	
巧	kʰɔ3	
巨	dʑyɛ4	
差	tsʰa1	
差	tsʰuə1	
差	tsʰɿ1	
己	tsɿ3	
已	i4	
巳	sɯə4	
巴	buə2	
巷	oŋ6	
巾	tɕiŋ1	
市	sɯə4	
布	puə5	
帆	fɔ̃2	
希	sɿ1	
帕	pʰaʔ7	
帖	tʰiɛʔ7	
帚	tɕiəɯ3	
帛	baʔ8	
帝	tiɛ5	
帥	sa5	
師	sɯə1	
席	ɕiʔ8	
帳	tiaŋ5	
帶	ta5	
帷	uei2	
常	ɕiaŋ2	
帽	mɜ6	
幅	fɤʔ7	
幔	mɛ̃4	
幕	muə6	
幣	biɛ6	
幫	poŋ1	
平	biŋ2	
年	ȵiɛ̃2	
幸	aŋ4	
幹	kuɛ̃1	
幹	kuɛ̃5	
幹	dʑiɛ̃2	
幻	uɔ̃4	
幼	iəɯ1	
幽	iəɯ1	
幾	tsɿ1	
幾	ki3	
庇	pʰi5	
牀	ɕioŋ2	
序	ɕyɛ4	
底	tiɛ3	
店	tiɛ̃5	
庚	kaŋ1	
府	fuə3	
度	duə6	
座	su4	
庫	kʰuə5	
庭	diŋ2	
庵	ɛ̃1	
庶	ɕyɛ5	
康	kʰoŋ1	
庸	ioŋ1	
廁	tsʰɛʔ7	
廂	ɕiaŋ1	
廈	uə6	
廉	liɛ̃2	
廊	loŋ2	
廓	kʰoʔ7	
廖	liɔ6	
廖	lei2	
廚	dʑyɛ2	
廝	sɯə1	
廟	miɜ6	
廠	tɕʰiaŋ3	
廢	pʰiɛ5	
廣	koŋ3	
廩	lɛ̃i4	
廬	luə2	
廳	tʰiŋ1	
延	iɛ̃2	
廷	diŋ2	
建	tɕiɛ̃5	
弄	ləŋ6	
弊	biɛ6	
弋	iʔ8	
式	ɕiʔ7	
弓	kəŋ1	
引	iŋ4	
弗	fɛʔ7	
弘	ŋ2	
弟	diɛ4	
弦	iɛ̃2	
弱	ȵiaʔ8	
張	tiaŋ1	
張	tɕiaŋ1	
強	tɕʰiaŋ3	
強	dʑiaŋ2	
弼	biʔ8	
彀	kei5	
彈	dɔ̃6	
彈	dɔ̃2	
彌	mi2	
彎	uɔ̃1	
彗	uei6	
形	iŋ2	
彩	tsʰɛ3	
彪	piɜ1	
彬	piŋ1	
彭	baŋ2	
影	iŋ3	
彷	foŋ3	
役	yɛʔ8	
彼	pi3	
彿	fɛʔ7	
往	ioŋ4	
征	tɕiŋ1	
待	dɛ6	
很	hɛ̃i4	
律	liʔ8	
後	ei4	
後	u4	
徐	ɕyɛ2	
徑	tɕiŋ3	
徒	duə2	
得	tɛʔ7	
徙	sɿɛ3	
從	ɕioŋ2	
復	fɤʔ7	
復	fɤʔ8	
循	ɕyeŋ2	
微	mi2	
德	tɛʔ7	
徹	tɕʰiɛʔ7	
徽	fei1	
心	ɕiŋ1	
必	piʔ7	
忌	dzɿ6	
忍	ȵi4	
忒	tʰɛʔ7	
忖	tsʰɛ̃3	
志	tsɿ5	
忘	moŋ6	
忘	mɛ̃i6	
忙	moŋ2	
忝	tʰiɛ̃3	
忠	tɕiəŋ1	
快	kʰua5	
念	ȵiɛ̃6	
忽	fɛʔ7	
忿	fɛ̃i4	
怒	nuə6	
怕	pʰuə5	
怖	puə5	
思	sɯə1	
怠	dɛ6	
怡	i2	
急	tɕiʔ7	
性	ɕiŋ5	
怨	yɛ̃1	
怪	kua5	
怯	tɕʰiɛʔ7	
恃	sɯə4	
恍	hoŋ3	
恐	kʰəŋ3	
恆	uɛ̃2	
恕	ɕyɛ5	
恙	iaŋ6	
恢	fei1	
恤	ɕyɛʔ7	
恥	tsʰɿ3	
恨	ɛ̃6	
恩	ɛ̃1	
恭	kəŋ1	
息	ɕiʔ7	
恰	kʰɔʔ7	
悄	ɕiɜ1	
悅	iaʔ8	
悉	ɕiʔ7	
悔	fei3	
悟	ŋuə6	
悠	iəɯ1	
患	uɔ̃4	
悲	pei1	
悴	tsʰei5	
悵	tɕʰiaŋ5	
悶	mɛ̃i6	
情	ɕiŋ2	
惑	uɛʔ8	
惜	ɕiʔ7	
惟	uei2	
惠	uei6	
惡	oʔ7	
惡	u5	
惰	du4	
惱	nɜ4	
想	ɕiaŋ3	
惻	tsʰɛʔ7	
愁	sei2	
愈	yɛ6	
愉	yɛ2	
意	i5	
愚	yɛ2	
愛	ɛ5	
感	kɛ̃3	
愧	kʰuei5	
愷	kʰɛ3	
慈	sɯə2	
態	tʰɛ5	
慌	hoŋ1	
慎	ɕiŋ6	
慕	muə6	
慘	tsʰɛ̃i1	
慚	sɔ̃4	
慢	mɔ̃6	
慣	kuɔ̃5	
慧	uei6	
慨	kʰɛ5	
慪	ei3	
慫	ɕioŋ5	
慮	lyɛ6	
慰	uei5	
慶	tɕʰiŋ5	
慷	kʰoŋ1	
憂	iəɯ1	
憋	piɛʔ7	
憎	tsɛ̃1	
憐	liɛ̃2	
憑	biŋ2	
憚	dɔ̃6	
憤	fɛ̃i4	
憨	hɛ̃1	
憫	miŋ4	
憲	ɕiɛ̃5	
憶	i5	
憾	ɛ̃6	
懂	tiəŋ3	
懇	kʰɛ̃3	
懈	ɡa4	
懈	ɡa6	
應	iŋ1	
應	iŋ5	
懊	ɔ5	
懲	dʑiŋ2	
懵	məŋ1	
懶	lɔ̃4	
懷	ɡua2	
懷	ua2	
懸	ɕyɛ̃2	
懺	tsʰɔ̃5	
懼	dʑyɛ6	
懿	i5	
戀	li6	
戈	ku1	
戊	m6	
戌	ɕyʔ7	
戎	iəŋ2	
成	ɕiŋ2	
我	ŋ4	
戒	ka5	
戕	ɕiaŋ2	
或	ŋuɛʔ8	
戚	tɕʰiʔ7	
戟	tɕyʔ7	
戥	dɛ̃6	
截	ɕiɛʔ8	
戮	lɤʔ8	
戰	tɕiɛ̃5	
戲	sɿ5	
戳	tɕʰyoʔ7	
戴	ta5	
戶	uə4	
戽	fuə5	
房	foŋ2	
所	suə3	
扁	piɛ̃3	
扇	ɕiɛ̃5	
手	ɕiəɯ3	
才	sɛ2	
打	naŋ3	
