#漢字	音標	解釋
㪗	tʰɐu3	展開
傍	pɔŋ8	傍晚
傑	kit8	
傘	ʃan5	
備	pei8	
傚	hau8	
傢	ka1	
傣	tai5	傣族
傣	tai3	連讀音,實際音值爲33
催	tʃʰui1	
傲	ou8	
傳	tʃʰyn6	傳達
傳	tʃyn8	傳記
債	tʃai5	
傷	ʃɔŋ1	
傻	ʃɔ6	
傾	kʰeŋ1	
僅	kɐn3	
像	tʃɔŋ8	
僑	kʰiu6	
僕	pok8	
僥	hiu1	
僧	tʃɐŋ1	
僵	kɔŋ1	
價	ka5	
僻	pʰek7a	
儀	ji6	
儂	loŋ6	
億	jek7a	
儉	kin8	
儒	jy6	
償	ʃɔŋ6	
儡	lui4	
優	jɐu1	
儲	tʃʰy4	
儼	jin4	
允	wɐn4	
元	jyn6	
兄	heŋ1	
充	tʃʰoŋ1	
兆	ʃiu8	
兇	hoŋ1	兇惡
先	ʃin1	
光	kwɔŋ1	
兑	tui5	
免	min4	
兒	ji6	
兔	tʰou5	
兜	tɐu1	
入	jɐp8	
内	lɔi8	
全	tʃʰyn6	
兩	lɔŋ4	兩個
兩	lɔŋ3	幾兩幾錢
八	pat7b	
公	koŋ1	
六	lok8	
兮	hɐi6	
共	koŋ8	
兵	peŋ1	
其	kʰei6	
典	tin3	
冀	kʰei5	
冉	jin4	
册	tʃʰak7b	
再	tʃɔi5	
冒	mou8	
冗	joŋ4	冗員
冠	kun5	冠軍
冠	kun1	衣冠
冢	tʃʰoŋ3	
冤	jyn1	
冬	toŋ1	
冰	peŋ1	
冷	laŋ4	
准	tʃɵn3	
凌	leŋ6	
凍	toŋ5	
凝	jeŋ6	
几	kei1	茶几
凡	fan6	
凱	hɔi3	
凳	tɐŋ5	
凶	hoŋ1	吉凶
出	tʃʰɵt7a	
函	ham6	
刀	tou1	
刁	tiu1	
刃	jɐn8	
分	fɐn1	
切	tʃʰɐi5	
切	tʃʰit7b	切開
刈	ai8	鐮刀
刊	hɔn1	
刎	mɐn4	
刑	jeŋ6	
列	lit8	
初	tʃʰɔ1	
判	pʰun5	
别	pit8	
利	lei8	
删	ʃan1	
刮	kwat7b	
到	tou5	
制	tʃɐi5	
刷	tʃʰat7b	
券	hyn5	
刺	tʃʰi5	
刴	tɔ3	
剃	tʰɐi5	
前	tʃʰin6	
剔	tʰek7a	
剖	fɐu3	
剛	kɔŋ1	
剜	wun3	
剝	mɔk7a	
剩	ʃeŋ8	
剪	tʃin3	
剮	ka3	
剮	kwa3	
副	fu5	
割	kɔt7b	
剿	tʃiu3	
劃	wak8	
劃	wa1	劃船
劄	tʃap7b	
劇	kʰɛk8	
劈	pʰɛk7b-	
劈	pʰek7a	
劉	lɐu6	
劊	kʰui3	
劌	kwɐi5	
劍	kin5	
劑	tʃɐi1	
力	lek8	
功	koŋ1	
加	ka1	
劣	lyt7b	
助	tʃɔ8	
努	lou4	
劫	kit7b	
勁	keŋ5	
勁	keŋ8	
勃	put8	
勇	joŋ4	
勉	min4	
勒	lɐk8	
動	toŋ8	
勘	hɐm5	
務	mou8	
勝	ʃeŋ1	
勝	ʃeŋ5	
勞	lou6	
募	mou8	
勢	ʃɐi5	
勳	fɐn1	
勵	lɐi8	
勸	hyn5	
勺	tʃɔk7b	
匀	wɐn6	
勾	ɐu1	
勿	mɐt8	
勿	mɐk8	
包	pau1	
匆	tʃʰoŋ1	
化	fa5	
匙	tʃʰi6	
匠	tʃɔŋ8	
匡	hɔŋ1	
匣	hap8	
匪	fei3	
匯	wui8	
匱	kwɐi8	
匾	pin3	
匿	lek7a	
十	ʃɐp8	
千	tʃʰin1	
千	kɔn1	干戈
卅	ʃa1	
卅	ʃa6	異
升	ʃeŋ1	
午	m̩4	
半	pun5	
卑	pei1	
卓	tʃʰɔk7b	
協	hit7b	
南	lam6	
博	pɔk7b	
卜	pok7a	占卜
占	tʃin1	占卜
卡	fu3	
卦	ka5	新
卦	kwa5	新
卦	kʰa5	老
卦	kwʰa5	老
卯	mau4	
卯	mɐu5	
印	jɐn5	
危	ɐi6	
即	tʃek7a	
卵	lɵn3	
卷	kyn3	
卸	ʃɛ5	
卻	kʰɔk7b	
卿	heŋ1	
厚	hɐu4	
原	jyn6	
厭	jin5	
厲	lɐi8	
去	hui5	
參	tʃʰam1	
參	ʃɐm1	人参
參	tʃʰɐm1	參差
又	jɐu8	
叉	tʃʰa1	
及	kʰɐp8	
友	jɐu4	
反	fan1	反切
反	fan5	平反
叔	ʃok7a	
取	tʃʰui3	
受	ʃɐu8	
叛	pun8	
叢	tʃʰoŋ6	
口	hɐu3	
古	ku3	
另	leŋ8	
叨	tou1	
叩	kʰɐu5	
只	tʃi3	只有
叫	kiu5	
召	tʃiu8	
可	hɔ3	
台	tʰɔi6	
史	ʃi3	
右	jɐu8	
司	ʃi1	
吁	hui1	
吃	hɛk7b	
各	kɔk7b	
吆	jiu1	大聲吆喝
合	kɐp7b	十合一升
合	hɐp8	合作
吊	tiu5	
吋	tʃʰyn5	
同	tʰoŋ6	
名	meŋ6	
后	hɐu8	皇后
吏	lei8	
吐	tʰou5	
向	hɔŋ5	
吒	tʃa1	哪吒:神話人物
吝	lɵn8	
吞	tʰɐn1	
吟	jɐm6	
吠	fɐi8	
否	fɐu3	
含	hɐm6	
吳	m̩6	
吵	tʃʰau3	
吹	tʃʰui1	
吻	mɐn4	
吼	hau1	
吼	hɐu1	
吾	m̩6	
呂	lui4	
呆	ɔi6	
呆	tai1	異
呈	tʃʰeŋ6	
告	kou5	
呎	tʃʰɛk7b	
呔	tʰai1*	車呔
周	tʃɐu1	
味	mei8	
呼	fu1	
命	meŋ8	
和	wɔ6	
咎	kɐu5	
咒	tʃɐu5	
咨	tʃi1	
咪	mɐi1	
咬	au4	
咸	ham6	
哀	ɔi1	
品	pɐn3	
哄	hoŋ5	
哈	ha1	
哎	ai1	
哎	ɐi5	
員	jyn6	
哥	kɔ1	
哨	ʃau5	
哪	la4	
哭	hok7a	
哲	tʃit8	
哽	kɐŋ3	
唆	ʃɔ1	
唉	ai1	
唐	tʰɔŋ6	
唔	m̩6	
售	ʃɐu8	
唯	wɐi6	
唱	tʃʰɔŋ5	
唾	tʰɔ5	
啁	tʃau1	
啄	tɔk7b	
商	ʃɔŋ1	
問	mɐn8	
啞	a3	
啟	kʰɐi3	
啦	la1	
啼	tʰɐi6	
善	ʃin8	
喉	hɐu6	
喊	ham5	
喘	tʃʰyn3	
喚	wun8	
喜	hei3	
喝	hɔt7b	
喧	hyn1	
喪	ʃɔŋ1	
喪	ʃɔŋ5	
喫	jak7b	
喫	hɛk7b	
喬	kʰiu6	
單	tan1	單獨
單	ʃin8	姓
喻	jy8	
嗄	ʃa3	聲音嘶啞
嗅	tʃʰɐu5	
嗅	hoŋ5	
嗇	ʃek7a	
嗓	ʃɔŋ3	
嗣	tʃi8	
嗤	tʃʰi1	
嗽	ʃɐu5	
嘆	tʰan5	
嘉	ka1	
嘍	lɐu6	
嘎	ka1	
嘔	ɐu3	
嘗	ʃɔŋ6	
嘮	lou6	
嘲	tʃau1	
嘴	tʃui3	
噍	tʃiu8	
嘘	hui1	
器	hei5	
噬	ʃɐi8	
噴	pʰɐn5	
嚇	hak7b	嚇一跳
嚇	hak7b	恐嚇
嚥	jin5	
嚴	jin6	
嚷	jɔŋ4	
嚼	tʃɔk7b	
囂	hiu1	
囉	lɔ1	
囊	lɔŋ6	
囑	tʃok7a	
囚	tʃʰɐu6	
囝	tʃɐi3	
回	wui6	
囱	tʃʰoŋ1	煙囪
困	kwʰɐn5	
固	ku5	
圈	hyn1	
圈	kyn8	
國	kwɔk7b	
圍	wɐi6	
圓	jyn6	
圖	tʰou6	
團	tʰyn6	
土	tʰou3	
在	tʃɔi8	
圭	kɐi1	
地	tei8	
址	tʃi3	
坍	tʰan1	
坎	hɐm3	
坐	tʃɔ8	坐立不安
坑	haŋ1	
坡	pʰɔ1	
坤	kwʰɐn1	
坦	tʰan3	
坪	pʰeŋ6	
坯	pʰui1	
坳	au5	日
垂	ʃui6	
型	jeŋ6	
垮	kʰa1	搞垮
垮	kwʰa1	搞垮
垻	pa5	堤塘
埂	kɐŋ3	
埃	ai1	
埃	ɔi1	
埋	mai6	
城	ʃɛŋ6-	
城	ʃeŋ6=	城市
域	wek8	
埠	fɐu8	
埭	tɐi8	
埯	ɐm3	
培	pʰui6	
基	kei1	
堂	tʰɔŋ6	
堅	kin1	
堆	tui1	
堡	pou3	
堤	tʰɐi6	
堪	hɐm1	
堯	jiu6	
堰	jin3	
報	pou5	
場	tʃʰɔŋ6	
堵	tou3	
塊	fai5	
塌	tʰap7b	
塍	ʃeŋ6	
塑	ʃou5	
塔	tʰap7b	
塗	tʰou6	
塘	tʰɔŋ6	
塢	wu1	
填	tʰin6	
塵	tʃʰɐn6	
境	keŋ3	
墊	tin5	
墓	mou8	
墜	tʃui8	
增	tʃɐŋ1	
墟	hui1	
墩	tɵn1	
墳	fɐn6	
墾	hɐn3	
壁	pɛk7b-	
壁	pek7a=	
壅	joŋ3	
壇	tʰan6	
壓	at7b	
壓	ak7b	
壕	hou6	
壘	lui4	
壞	wai8	
壟	loŋ4	
壤	jɔŋ8	
壩	pa5	水壩
士	ʃi8	士兵
壬	jɐm6	
壯	tʃɔŋ5	
壺	wu6	
壽	ʃɐu8	
夏	ha8	姓氏
夏	ha8	春夏
夔	kwʰɐi6	
外	ɔi8	
多	tɔ1	
夜	jɛ8	
够	kɐu5	
夢	moŋ8	
夥	fɔ3	
大	tai8	大量
大	tai8	大夫
天	tʰin1	
太	tʰai5	
夫	fu1	
央	jɔŋ1	
夯	haŋ1	
夷	ji6	
夸	kʰa1	奢侈
夸	kwʰa1	奢侈
奇	kʰei6	奇怪
奈	lɔi8	
奉	foŋ8	
奎	fui1	
奏	tʃɐu5	
契	kʰɐi5	
奔	pɐn1	
奔	pɐŋ1	
套	tʰou5	
奚	hɐi6	
奠	tin8	
奢	tʃʰɛ1	
奧	ou5	
奪	tyt8	
奮	fɐn4	
女	lui4	
奴	lou6	
奶	lai4	
奶	lai6	連讀音,實際音值爲13
她	tʰa1	
奼	tʃʰa5	奼紫嫣紅
好	hou5	喜好
好	hou3	好壞
如	jy6	
妃	fei1	
妄	mɔŋ4	
妒	tou5	
妓	kei8	
妖	jiu1	
妗	kʰɐm4	
妙	miu8	
妥	tʰɔ4	
妨	fɔŋ6	
妹	mui8	
妻	tʃʰɐi1	
妾	tʃʰit7b	
姊	tʃi3	
始	tʃʰi3	
姐	tʃɛ3	
姑	ku1	
姓	ʃeŋ5	
委	wɐi3	
姘	pʰeŋ1	
姚	jiu6	
姜	kɔŋ1	
姣	hau6*	發姣
姨	ji6	
姪	tʃɐt8	
姻	jɐn1	
姿	tʃi1	
威	wɐi1	
娛	jy6	
娠	ʃɐn1	
娣	tɐi8	
娣	tʰɐi8	
娩	min4	
娶	tʃʰui3	
婁	lɐu6	
婆	pʰɔ6	
婚	fɐn1	
婢	pʰei4	
婦	fu4	
婿	ʃɐi5	
媒	mui6	
媚	mei8	
媳	ʃek7a	
媽	ma1	
媽	ma6	連讀音,實際音值爲53
嫁	ka5	
嫂	ʃou3	
嫌	jin6	
嫖	pʰiu6	
嫡	tek7a	
嫩	lyn8	
嬉	hei1	
嬌	kiu1	
嬰	jeŋ1	
嬸	ʃɐm3	
孀	ʃɔŋ1	
子	tʃi3	
孔	hoŋ3	
字	tʃi8	
存	tʃʰyn6	
孝	hau5	
孟	maŋ8	
孢	pau1	孢子
季	kwɐi5	
孤	ku1	
孩	hai6	
孫	ʃyn1	
孵	fu1	
學	hɔk8	
孻	lai1*	孻仔
它	tʰa1	
宅	tʃak8	
宇	jy4	
守	ʃɐu3	
安	ɔn1	
宋	ʃoŋ5	
完	jyn6	
宕	tɔŋ8	
宗	tʃoŋ1	
官	kun1	
宙	tʃɐu8	
定	teŋ8	
宛	jyn3	
宜	ji6	
客	hak7b	
宣	ʃyn1	
宦	wan8	宦官
宮	koŋ1	
宰	tʃɔi3	
害	hɔi8	
宴	jin5	
宵	ʃiu1	
家	ka1	
容	joŋ6	
宿	ʃɐu5	
宿	ʃok7a	
寄	kei5	
寅	jɐn6	
密	mɐt8	
密	mɐk8	
寇	kʰɐu5	
富	fu5	
寐	mei8	
寒	hɔn6	
寞	mɔk8	
察	tʃʰat7b	
寡	ka3	
寡	kwa3	
寢	tʃʰɐm3	
寥	liu6	
寧	leŋ6	
寨	tʃai8	
審	ʃɐm3	
寫	ʃɛ3	
寬	fun1	
寵	tʃʰoŋ3	
寶	pou3	
寸	tʃʰyn5	
寺	tʃi8	
封	foŋ1	
射	ʃɛ8	
將	tʃɔŋ1	
將	tʃɔŋ5	
專	tʃyn1	
尊	tʃyn1	
尋	tʃʰɐm6	
對	tui5	
導	tou8	
小	ʃiu3	
少	ʃiu3	多少
少	ʃiu5	少年
尖	tʃin1	
尚	ʃɔŋ8	和尚
尤	jɐu6	
尬	kai5	
就	tʃɐu8	
尷	kam1	
尸	ʃi1	尸位素餐
尹	wɐn4	
尺	tʃʰɛk7b	
尼	lɐi6	
尾	mei4	
尿	liu8	
局	kok8	
屁	pʰei5	
屄	hɐi1	
居	kui1	
屆	kai5	
屋	ok7a	
屍	ʃi1	
屎	ʃi3	
屏	pʰeŋ6	
屐	kʰɛk8	
屑	ʃit7b	
展	tʃin3	
屜	tʰɐi5	
屠	tʰou6	
屢	lui4	
履	lei4	
屬	ʃok8	
屯	tʰyn6	
山	ʃan1	
岑	ʃɐm6	
岔	tʃʰa5	
岡	kɔŋ1	
巖	am6	
岳	ɔk8	
岸	ɔn8	
峨	ɔ6	
峰	foŋ1	
島	tou3	
峽	hap8	
崇	ʃoŋ6	
崑	kwʰɐn1	
崔	tʃʰui1	
崖	ai6	
崗	kɔŋ1	
崙	lɵn6	
崩	pɐŋ1	
嵇	hɐi6	
嵌	hɐm8	
嵩	ʃoŋ1	
嶺	lɛŋ4-	
嶺	leŋ4=	
嶽	ɔk8	
巖	am6	
川	tʃʰyn1	
州	tʃɐu1	
巡	tʃʰɵn6	
巢	tʃʰau6	
工	koŋ1	
左	tʃɔ3	
巧	hau3	
巫	mou6	
差	tʃʰai1	出差
差	tʃʰi1	參差不齊
差	tʃʰa1	差別
己	kei3	
已	ji4	
巳	tʃi8	
巴	pa1	
巷	hɔŋ8	
巾	kɐn1	
市	ʃi4	
布	pou5	
帆	fan6	
希	hei1	
帕	pʰak7b	
帖	tʰit7b	
帚	tʃau3	
帚	tʃɐu3	
帛	pak8	
帝	tɐi5	
帥	ʃui5	
師	ʃi1	
帳	tʃɔŋ5	
帶	tai5	
常	ʃɔŋ6	
帽	mou8	
幅	fok7a	
幔	man8	
幕	mɔk8	
幡	fan1	幢幡
幣	pɐi8	
幫	pɔŋ1	
平	pʰeŋ6	
年	lin6	
幸	hɐŋ8	
幹	kɔn5	幹部
幻	wan8	
幼	jɐu5	
幽	jɐu1	
幾	kei1	幾乎
幾	kei3	幾個
庇	pei5	
牀	tʃʰɔŋ6	
序	tʃui8	
底	tɐi3	
店	tin5	
庚	kɐŋ1	
府	fu3	
度	tou8	
座	tʃɔ8	
庫	fu5	
庵	ɐm1	
庶	ʃy5	
康	hɔŋ1	
庸	joŋ6	
廁	tʃʰi5	
廂	ʃɔŋ1	
厦	ha8	大廈
厦	ha8	廈門
廉	tin6	
廓	kwʰɔk7b	
廖	liu8	
廚	tʃʰy6	
厮	ʃi1	
廟	miu8	
廠	tʃʰɔŋ3	
廢	fɐi5	
廣	kwɔŋ3	
廬	lou6	
廳	tʰɛŋ1	
廳	tʰeŋ1=	
延	jin6	
廷	tʰeŋ6	
廸	tek8	
建	kin5	
廾	ja8	
廿	ja8	
弄	loŋ8	
弊	pɐi8	
式	ʃek7a	
弓	koŋ1	
弔	tiu5	
引	jɐn4	
弟	tɐi8	
弟	tʰɐi8	
弦	hin6	
弦	hyn6	
弭	mɐi4	
弱	jɔk8	
張	tʃɔŋ1	
強	kʰɔŋ4	勉強
強	kʰɔŋ6	強大
弼	pɐt8	
弼	pɐk8	
彈	tan3	子彈
彈	tʰan6	彈琴
彌	lei6	
彎	wan1	
彙	wui8	
形	jeŋ6	
彩	tʃʰɔi3	
彪	piu1	
彭	pʰaŋ6	
影	jeŋ3	
彷	fɔŋ3	
役	jek8	
彼	pei3	
往	wɔŋ4	
征	tʃeŋ1	
待	tɔi8	
很	hɐn3	
律	lɵt8	
後	hɐu8	
徐	tʃʰui6	
徑	keŋ5	
徒	tʰou6	
徙	ʃai3	
徛	kʰei4	站立
從	tʃʰoŋ6	
從	ʃoŋ1	從容不迫
御	jy8	
復	fɐu8	
復	fok8	復興
循	tʃʰɵn6	
微	mei6	
徵	tʃeŋ1	
徹	tʃʰit7b	
徽	fɐi1	
心	ʃɐm1	
必	pit7a	
忌	kei8	
忍	jɐn4	
忖	tʃʰyn3	
志	tʃi5	志氣
忘	mɔŋ8	
忙	mɔŋ6	
忠	tʃoŋ1	
快	fai5	
念	tin8	
忿	fɐn4	
怒	lou8	
怕	pʰa5	
怖	pou8	
思	ʃi1	
思	ʃi5	意思
怠	tʰɔi4	
性	ʃeŋ5	
怨	jyn5	
怯	hit7b	
怹	tʰa1	
恃	tʃʰi4	
恆	hɐŋ6	
恐	hoŋ3	
恕	ʃy5	
恢	fui1	
耻	tʃʰi3	
恨	hɐn8	
恩	jɐn1	
恭	koŋ1	
息	ʃek7a	
悄	tʃʰiu3	
悦	jyt8	
悉	ʃek7a	
悌	tɐi8	
悌	tʰɐi8	
悔	fui5	
悟	m̩8	
悠	jɐu6	
患	wan8	
悲	pei1	
悶	mun8	
悸	kwɐi5	
悸	kwɐi8	
悽	tʃʰɐi1	
惑	wak8	
惜	ʃek7a	
惟	wɐi6	
惠	wɐi8	
惡	wu5	可惡
惡	ɔk7b	善惡
惰	tɔ8	
惱	lou4	
想	ʃɔŋ3	
惹	jɛ4	
愁	ʃɐu6	
愈	jy8	
愉	jy6	
意	ji5	
愕	ɔk8	
愚	jy6	
愛	ɔi5	
感	kɐm3	
愧	kwʰɐi5	
慄	lɵt8	
慈	tʃʰi6	
態	tʰai5	
慌	fɔŋ1	
慎	ʃɐn8	
慕	mou8	
慘	tʃʰam3	
慚	tʃʰam6	
慢	man8	
慣	kan5	
慣	kwan5	
慧	wɐi8	
慨	kʰɔi5	
慪	ɐu5	
慫	ʃoŋ3	
慮	lui8	
慰	wɐi5	
慶	heŋ5	
慷	hɔŋ3	
慾	jok8	意態
憂	jɐu1	
憋	pit7b	
憎	tʃɐŋ1	
憐	lin6	
憑	pʰɐŋ6	
憤	fɐn4	
憫	mɐn4	
憲	hin5	
憶	jek7a	
憾	hɐm8	
懂	toŋ3	
懇	hɐn3	
懈	hai4	
懈	hai8	
應	jeŋ1	
應	jeŋ5	應對
懊	ou5	
懲	tʃʰeŋ6	
懵	moŋ4	
懶	lan4	
懷	wai6	
懸	jyn6	
戀	lin3	
戀	lyn3	
戈	kwɔ1	
戊	mou8	
戍	ʃy5	
戎	joŋ6	
成	ʃɛŋ6-	
成	ʃeŋ6=	成事
我	ɔ4	
戒	kai5	
或	wat8	
戚	tʃʰek7a	
戟	kek7a	
戮	tʃʰɔk7b	
戲	hei5	
戴	tai5	
户	wu8	
戽	fu5	
房	fɔŋ6	
所	ʃɔ3	
扁	pin3	
扇	ʃin5	
手	ʃɐu3	
才	tʃʰɔi6	
扎	tʃat7b	
打	ta3	
打	ta1	連讀音,實際音值爲21,一打,來自譯音
扔	weŋ1	
托	tʰɔk7b	
扛	kɔŋ1	
扣	kʰɐu5	
扭	lɐu3	
扮	pan8	
扯	tʃʰɛ3	
扳	pan1	
扳	pʰan1	扳回一局棋
扳	pan3	異
扶	fu6	
批	pʰɐi1	
找	tʃau3	
承	ʃeŋ6	
技	kei8	
把	pa3	
抑	jek7a	
抓	tʃau3	
投	tʰɐu6	
抖	tɐu3	
抗	kʰɔŋ5	
折	tʃit8	
抛	pʰau1	
披	pʰei1	
抬	tʰɔi6	
抱	pʰou4	
抵	tɐi3	
抹	mat7b	
抹	mut7b	
押	at7b	
押	ak7b	
抽	tʃʰɐu1	
抿	mɐn4	
拄	tʃy3	
拆	tʃʰak7b	
拇	mou4	
拈	tin1	
拉	lai1	
拌	pun8	
拍	pʰak7b	
拎	leŋ1	
拐	kai3	拐杖
拐	kwai3	拐杖
拒	kui4	
拔	pɐt8	
拔	pɐk8	
拖	tʰɔ1	
拗	au3	拗斷
拗	au5	拗口
拙	tʃyt8	
拚	pʰun5	
招	tʃiu1	
拜	pai5	
拜	pai1	連讀音,實際音值爲33
括	kʰut7b	
拯	tʃeŋ3	
拱	koŋ3	
拳	kʰyn6	
拴	ʃan1	
拷	hau1	
拼	pʰeŋ1	
拽	jɐi8	
拾	ʃɐp8	
拿	la6	
持	tʃʰi6	
指	tʃi3	
按	ɔn5	
挑	tʰiu1	
挖	wat7b	
挨	ai1	
挪	lɔ6	
振	tʃɐn5	
挺	tʰeŋ4	
挽	wan4	
捅	tʰoŋ3	
捉	tʃok7a	
捋	lyt7b	
捌	pat7b	
捎	ʃau1	捎帶
捏	lit8	
捏	lyt8	
捐	kyn1	
捕	pou8	
捧	pʰoŋ3	
捨	ʃɛ3	
捱	ai6	
捲	kyn3	
捻	lin3	
捽	tʃɵt7a	
掀	hin1	
掂	tin1	
掃	ʃou5	
授	ʃɐu8	
掉	tiu8	
掌	tʃɔŋ3	
掏	tʰou6	
掐	hap7b	
排	pʰai6	
掘	kwɐt8	
掙	tʃaŋ1	
掙	tʃaŋ8	
掛	ka5	
掛	kwa5	
掟	tɛŋ5	
掠	lɔk8	
採	tʃʰɔi3	
探	tʰam5	
掣	tʃɐi5	
接	tʃit8	
控	hoŋ5	
推	tʰui1	
掩	jin3	
措	tʃʰou5	
掫	tʃɐu1	巡夜打更
掬	kok7a	笑容可掬
掰	pai1	掰開
揆	kwʰɐi4	
揆	kwʰɐi6	
揈	kwɐŋ1	
揉	jɐu6	
描	miu6	
提	tʰɐi6	
插	tʃʰap7b	
揚	jɔŋ6	
換	wun8	
揞	ɐm3	揞住
揣	tʃʰyn3	
揩	hai1	揩油
揫	tʃɐu1	
揭	kʰit7b	
揮	fɐi1	
援	jyn6	
搉	kʰɔk7b	搉蒜
損	ʃyn3	
搓	tʃʰɔ1	
摇	jiu6	
搜	ʃɐu3	
搧	ʃin5	
搨	tʰap7b	
搬	pun1	
搭	tap7b	
搶	tʃʰɔŋ3	
搽	tʃʰa6	
摑	kwʰak7b	
摔	ʃɵt7a	
摘	tʃak8	
摟	lɐu4	
摟	lɐu6	
摩	mɔ1	
摳	kʰɐu1	
摸	mɔ3	
摹	mou6	
摺	tʃit8	
撇	pʰit7b	
撈	lau6	
撈	lau1	異
撑	tʃʰaŋ1	
撒	ʃat7b	
撓	lau6	百折不撓
撞	tʃɔŋ8	
撤	tʃʰit7b	
撥	put8	
撩	liu6	
撫	fu3	
播	pɔ5	
撮	tʃʰyt7b	
撰	tʃan8	
撲	pʰɔk7b	
撳	kɐm8	
撻	tʰat7b	
撼	hɐm8	
擁	joŋ3	
擇	tʃak8	
擊	kek7a	
擋	tɔŋ3	
操	tʃʰou1	操作
擎	kʰeŋ6	
擒	kʰɐm6	
擔	tam5	挑擔
擔	tam1	擔任
擘	pai1	
擘	mak7b	
擠	tʃɐi1	
擦	tʃʰat7b	
擬	ji4	
擱	kɔk7b	
擲	tʃak8	
擴	kwʰɔŋ5	
擺	pai3	
擾	jiu4	
攀	pʰan1	
攆	lin4	
攏	loŋ4	
攔	lan6	
攘	jɔŋ4	
攙	tʃʰam1	攙扶
攜	kwʰɐi6	
攝	ʃit7b	
攤	tʰan1	
攪	kau3	攪勻
攬	lam4	
支	tʃi1	
收	ʃɐu1	
改	kɔi3	
攻	koŋ1	
放	fɔŋ5	
政	tʃeŋ5	
故	ku5	
效	hau8	
敏	mɐn4	
救	kɐu5	
敗	pai8	
敝	pɐi8	
敢	kɐm3	
散	ʃan5	分散
散	ʃan3	鞋帶散了
敦	tɵn1	
敬	keŋ5	
