#漢字	音標	解釋
□	m̩3	~妈:妈妈
潛	tɕʰian2	
潭	tʰan2	
潮	tsʰau2	
澄	ten1	
激	tɕi2	
火	xo3	
滅	miɛ2	
燈	ten1	
灰	xuei1	
靈	lin2	
竈	tsau5	
灸	tɕiəu3	
災	tsai1	
燦	tsʰan5	
爐	lu2	
炊	tsʰuei1	
炎	ian5	
炒	tsʰau3	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
點	tian3	
煉	lian5	
爛	lan5	
烈	liɛ2	
烘	xoŋ3	
烙	lo2	
燭	tsu2	
烟	ian1	
烤	kʰau3	
煩	fan2	
燒	sau1	
燙	tʰɑŋ5	
熱	zɛ2	
焊	xan5	
煥	xuan5	
焦	tɕiau1	
然	zan2	
煎	tɕian1	
煞	sa2	
煤	mei2	
照	tsau5	
煮	tsu3	
熄	ɕi2	
熊	ɕioŋ2	
熏	ɕyen1	
熔	ioŋ2	
熟	su2	
熨	yen5	
熬	ŋau2	
燃	zan2	
燎	liau2	
燕	ian5	
爆	pau5	
爪	tsau3	
爬	pʰa2	
愛	ŋai5	
父	fu5	
爺	iɛ2	
爸	pa5	
爹	tiɛ1	
爽	suɑŋ3	
片	pʰian5	
版	pan3	
牌	pʰai2	
牙	ia2	
牛	liəu2	
牡	mu3	
牡	məu3	
牢	lau2	
牧	mu2	
物	u2	
牲	sen1	
牽	tɕʰian1	
特	tʰei2	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犬	tɕʰyan3	
犯	fan5	
狀	tsʰuɑŋ5	
狂	kʰuɑŋ2	
狄	ti2	
狐	fu2	
狗	kəu3	
獨	tu2	
獅	sɿ1	
獄	iɤɯ2	
狼	lɑŋ2	
獵	liɛ2	
猛	moŋ3	
猜	tsʰai1	
猩	ɕin1	
豬	tsu1	
猫	mau1	
獻	ɕian5	
猴	xəu2	
猾	xua2	
猿	yan2	
玄	ɕyan2	
玉	yi5	
王	uɑŋ2	
玩	uan2	
環	xuan2	
現	ɕian5	
玻	po1	
珍	tsen1	
珠	tsu1	
班	pan1	
球	tɕʰiəu2	
理	li3	
琴	tɕʰin2	
琵	pʰi1	
瓊	tɕʰyen2	
瑞	zuei5	
璧	pi2	
瓜	kua1	
瓢	pʰiau2	
瓣	pan1	
瓤	zɑŋ3	
瓦	ua3	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kan1	
甚	sen5	
甜	tʰian2	
生	sen1	
甥	sen1	
用	ioŋ5	
田	tʰian2	
由	iəu2	
甲	tɕia2	
申	sen1	
電	tian5	
男	lan2	
畫	xua5	
暢	tsʰɑŋ5	
界	tɕiai5	
畏	uei5	
留	liəu2	
畜	tsʰu2	~生
畜	ɕiɤɯ2	~牧
番	fan1	
疆	tɕiɑŋ1	
疑	li2	
療	liau2	
瘧	io2	
疤	pa1	
疥	tɕiai5	
疫	yi2	
瘡	tsʰuɑŋ1	
瘋	xoŋ1	
疲	pʰi2	
疹	tsen1	
疾	tɕi2	
痂	tɕia1	
病	pin5	
症	tsen5	
痒	iɑŋ3	
痔	tsɿ5	
痕	xen2	
痛	tʰoŋ5	
痢	li5	
痣	tsɿ5	
痰	tʰan2	
癡	tsɿ1	
瘟	uen1	
瘦	səu5	
癬	ɕyan3	
登	ten1	
白	pei2	
百	pei2	
皂	tsau5	
的	ti2	目~
皆	kai1	
皇	xuɑŋ2	
皮	pʰi2	
皺	tsʰəu2	
盂	yi2	
盅	tsoŋ1	
盆	pʰen2	
盈	in2	
益	i2	
鹽	ian2	
監	tɕian1	
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	pʰan2	
盟	min2	
目	mu2	
直	tsɿ2	
相	ɕiɑŋ1	
盼	pʰan5	
盾	ten5	
省	sen3	
眉	mi2	
看	kʰan5	
真	tsen1	
眠	mian2	
眨	tsa2	
眷	tɕyan5	
眼	ian3	
着	tso2	
睛	tɕin1	
睡	suei5	
督	tu2	
睬	tsʰai3	
瞎	ɕia2	
瞞	man2	
瞳	tʰoŋ2	
矛	mau2	
知	tsɿ1	
短	tuan3	
矮	ŋai3	
石	sɿ2	
礬	fan2	
礦	kʰuɑŋ5	
碼	ma3	
砂	sa1	
砌	tsʰɛ3	
砍	kʰan3	
砑	ia2	
研	lian5	
磚	tsuan1	
硯	lian5	
砧	tsan1	
破	pʰo5	
礎	tsʰu3	
硫	liəu2	
硬	ŋen5	
確	tɕʰio2	
礙	ŋai5	
碎	suei5	
碑	pei1	
碗	uan3	
碟	tei2	
碧	pi2	
碰	pʰoŋ5	
鹼	tɕian3	
碾	lian3	
磁	tsʰɿ2	
磕	kʰo2	
磨	mo2	
磨	mo5	
磷	lin2	
示	sɿ5	
禮	li3	
社	sɛ5	
祁	tɕʰi2	
祖	tsu3	
祝	tsu2	
神	sen2	
祠	tsʰɿ2	
祥	tɕʰiɑŋ2	
票	pʰiau5	
祭	tɕi5	
禍	xo5	
禁	tɕin5	
祿	lu2	
禪	tsʰan2	
福	fu2	
离	li2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
秃	təu5	
稈	kan3	
秋	tɕʰiəu1	
種	tsoŋ3	~子
種	tsoŋ5	~菜
科	kʰo1	
秒	miau3	
秘	mi2	
租	tsu1	
秦	tɕʰin2	
秧	iɑŋ1	
積	tɕi2	
稱	tsʰen1	~呼
稱	tsʰen5	相~
移	i2	
稀	ɕi1	
程	tsʰen2	
稍	sau1	
税	suei5	
稗	pai5	
稠	tsʰəu2	
穩	uen3	
稻	tau5	
稿	kau3	
穴	ɕiɛ2	
窮	tɕʰioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	~缺
穿	tsʰuan1	
突	tʰu2	
竊	tsʰɛ2	
窯	iau2	
窗	tsʰuɑŋ1	
窩	o1	
窟	kʰu2	
立	li2	
豎	su1	
站	tsan5	
競	tɕin5	
竟	tɕin5	
章	tsɑŋ1	
竣	tɕyen5	
童	tʰoŋ2	
竭	tɕiɛ2	
端	tuan1	
竹	tsu2	
竿	kan1	
笋	sen3	
笑	ɕiau5	
筆	pi2	
笛	ti2	
笠	li2	
符	fu2	
笨	pen5	
第	ti5	
箋	tɕʰian1	
籠	loŋ2	
等	ten3	
筋	tɕin1	
筏	xua2	
筐	tɕʰiɑŋ1	
筑	tsu2	
筒	tʰoŋ2	
策	tsʰɛ2	
篩	sai1	
箏	tsen1	
筷	kʰuai5	
籌	tsʰəu2	
签	tɕʰian1	
簡	tɕian3	
箍	ku1	
算	suan5	
籮	lo2	
簫	ɕiau1	
箭	tɕian5	
篇	pʰian5	
簍	ləu2	
篡	tsʰuan5	
篦	pi5	
籃	lan2	
籬	li2	
篷	pʰoŋ2	
簧	xuɑŋ2	
簪	tsan1	
簸	po3	~谷子
簿	pu5	
籍	tɕi2	
米	mi3	
粉	xuen3	
粒	li2	
粗	tsʰu1	
粘	tsan1	
粥	tsəu1	
糞	xuen5	
糧	liɑŋ2	
粱	liɑŋ2	
糉	tsoŋ5	
精	tɕin1	
糊	fu2	
糍	tsʰɿ2	
糕	kau1	
糖	tʰɑŋ2	
糙	tsʰau5	
糟	tsau1	
糠	kʰɑŋ1	
糯	lo5	
系	ɕi5	
素	su5	
索	so2	
緊	tɕin3	
紫	tsɿ3	
累	luei5	~了
累	luei3	积~
絮	suei5	
繁	fan2	
糾	tɕiəu1	~正
紅	xoŋ2	
約	io2	
級	tɕi2	
紀	tɕi5	
緯	uei3	
純	suen2	
紗	sa1	
綱	kɑŋ1	
縱	tsoŋ5	
縱	tsʰoŋ2	纵横
紛	xuen1	
紙	tsɿ3	
紋	uen2	
紡	xuɑŋ3	
紐	liəu3	
線	ɕian5	
練	lian5	
細	ɕi5	
織	tsɿ2	
終	tsoŋ1	
絆	pʰan5	
經	tɕin1	
綁	pɑŋ3	
絨	zoŋ2	
結	tɕiɛ2	
繞	zau3	
繪	xuei5	
給	kɛ1	
絡	lo2	
絶	tɕyɛ2	
絞	tɕiau3	
統	tʰoŋ3	
絹	tɕyan1	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi2	
緒	ɕyi5	
續	ɕyi2	
綽	tsʰo2	
繩	suen2	
綿	mian2	
繃	pen1	
綢	tsʰəu2	
綜	tsoŋ1	
綠	lu2	
緞	tuan5	
緩	xuan2	
縷	ləu3	
編	pian1	
緣	yan2	
縫	xoŋ2	~补
縫	xoŋ5	~隙
纏	tsʰan2	
纓	in1	
縮	so2	
繳	tɕiau3	
缸	kɑŋ1	
缺	tɕʰyɛ2	
网	uɑŋ3	
罕	xan5	
羅	lo2	
罰	xua2	
罷	pa5	
罩	tsau5	
罪	tsuei5	
置	tsɿ5	
羊	iɑŋ2	
美	mei3	
羞	ɕiəu1	
羡	ɕian5	
群	tɕʰyen2	
羽	yi3	
翅	tsɿ5	
翔	tɕʰiɑŋ2	
翹	tɕʰiau1	
翠	tsʰuei5	
翻	fan1	
耀	iau5	
老	lau3	
考	kʰau3	
而	ɚ2	
耍	sua3	
耐	lai5	
耕	ken1	
耗	xau5	
耙	pʰa2	
耳	ɚ3	
聳	soŋ3	
耻	tsʰɿ3	
耽	tan1	
耿	ken3	
聶	liɛ2	
聶	iɛ2	
聊	liau2	
聾	loŋ1	
職	tsɿ2	
聯	lian2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	ɕiɤɯ2	
肉	zu2	
肋	lei2	
肌	tɕi1	
肘	tsəu3	
肚	tu5	
肝	kan1	
腸	tsʰɑŋ2	
肢	tsɿ1	
膚	fu1	
肥	xuei2	
肩	tɕian1	
肯	kʰen3	
育	yi2	
肺	xuei5	
腎	sen5	
腫	tsoŋ3	
脹	tsɑŋ5	
脅	ɕiɛ2	
胃	uei5	
膽	tan3	
背	pei5	
胎	tʰai1	
胖	pʰɑŋ5	
胚	pʰei1	
勝	sen5	
胡	fu2	
胭	ian1	
胯	kʰua5	
胸	ɕioŋ1	
能	len2	
脂	tsɿ3	
脆	tsʰuei5	
脉	miɛ2	
脊	tɕi2	
脏	tsɑŋ5	
臍	tɕʰi2	
腦	lau3	
膿	loŋ2	
脚	tɕio2	
脯	pʰu2	
脱	tʰo2	
腡	lo2	
臉	lian3	
脾	pʰi2	
臘	la2	
腌	ian1	
腐	fu3	
腔	tɕʰiɑŋ1	
腕	uan3	
腥	ɕin1	
腭	o2	
腮	sai1	
腰	iau1	
腹	fu2	
膩	li5	
騰	tʰen2	
腿	tʰuei3	
膏	kau1	
膜	mo2	
膝	ɕi2	
膨	pen2	
膳	san5	
臂	pi5	
臊	sau1	
臣	tsʰen2	
自	tsɿ5	
臭	tsʰəu5	
至	tsɿ5	
舀	iau3	
舂	tsʰuen1	
舅	tɕiəu5	
舌	sɛ2	
舍	sɛ3	
舒	su1	
舔	tʰian3	
舞	u3	
航	xɑŋ2	
般	pan1	
艦	tɕian5	
舵	to5	
船	tsʰuan2	
艇	tʰin3	
良	liɑŋ2	
艱	tɕian1	~苦
色	sɛ2	
豔	ian5	
藝	li5	
節	tɕiɛ2	
芋	yi5	
芒	mɑŋ2	
芝	tsɿ1	
芬	xuen1	
花	xua1	
芳	xuɑŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
蒼	tsʰɑŋ1	
苧	tsu3	
苏	su1	
苔	tʰai2	
苗	miau2	
若	zo2	
苦	kʰu3	
英	in1	
茂	məu5	
范	fan5	
茄	tɕʰiɛ2	
茅	mau2	
繭	tɕian3	
茫	mɑŋ2	
茶	tsʰa2	
茸	zoŋ2	
荆	tɕin1	
草	tsʰau3	
薦	tɕian5	
荒	xuɑŋ1	
荔	li5	
蕎	tɕʰiau2	
蕩	tʰɑŋ5	
榮	yen2	
葷	xuen1	
藥	io2	
荷	xo2	
莫	mo2	
蓮	lian2	
获	xo2	
鶯	in1	
莽	mɑŋ2	
菊	tɕyi2	
菌	tɕyen1	
菖	tsʰɑŋ1	
菜	tsʰai5	
菠	po1	
菩	pʰu2	
菱	lin2	
萌	min2	
萍	pʰin2	
蘿	lo2	
螢	yen2	
營	yen2	
蕭	ɕiau1	
落	lo2	
落	la2	~下
著	tsu5	
葛	ko2	
董	toŋ3	
葫	fu2	
葬	tsɑŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiɑŋ3	
蒙	moŋ2	
蒜	suan5	
蒲	pʰu2	
蒸	tsen1	
蓄	ɕiɤɯ2	储~
蓑	so1	
蓖	pei1	
藍	lan2	
蓬	pʰoŋ2	
蔓	man5	
蔗	tɕiɛ3	
蔬	su1	
蔽	pi5	
薄	po2	
薛	ɕyɛ2	
薪	ɕin1	
薯	su3	
薰	ɕyen1	
藏	tsʰɑŋ2	
藏	tsɑŋ5	西~
藕	ŋəu3	
藤	tʰen2	
藿	xo2	
虎	fu3	
虐	io2	
慮	luei5	
虔	tɕian2	
虚	ɕyi1	
蟲	tsʰoŋ2	
虱	sɛ2	
虹	xoŋ2	
雖	ɕyi1	
蝦	ɕia1	
蝕	sɿ2	
蟻	li5	
蚊	uen2	
蚌	pɑŋ5	
蠶	tsʰan2	
蛀	tsu5	
蛆	tɕʰyi1	
蛇	sɛ2	
蛋	tan5	
蛙	ua1	
蛛	tsu1	
蠻	man2	
螄	sɿ1	
蛾	o2	
蜀	tsu2	
蜂	xoŋ1	
蜜	mi2	
蠟	la2	
蠅	in1	
蟬	san2	
蝗	xuɑŋ2	
蝶	tei2	
融	ioŋ2	
螺	lo2	
蟒	mɑŋ2	
蟹	ɕiai5	
蠢	tsʰuen3	
血	ɕyɛ2	
衅	ɕyan5	
行	ɕin2	
行	xɑŋ2	
銜	xan2	
街	kai1	
街	tɕiai1	
衙	ia2	
衡	xen2	
衣	i1	
補	pu3	
表	piau3	
衫	san1	
襯	tsʰen5	
衰	suai1	
衷	tsoŋ1	
袁	yan2	
襖	ŋau3	
袋	tai5	
袍	pʰau2	
袖	ɕiəu5	
袜	ua2	
被	pei5	
襲	ɕi2	
裁	tsʰai2	
裂	liɛ5	
裝	tsuɑŋ1	
裕	yi2	
裙	tɕʰyen2	
褲	kʰu5	
裹	ko3	
製	tsɿ5	
褥	zu2	
襟	tɕin1	
西	ɕi1	
要	iau1	~求
要	iau5	重~，~东西
覆	fu2	
見	tɕian5	
觀	kuan1	
規	kuei1	
視	sɿ5	
覽	lan3	
覺	tɕio2	
覺	tɕiau5	
角	ko2	
角	tɕio2	
解	kai3	
解	tɕiai3	
觸	tsu2	
言	ian2	
譽	yi5	
謄	tʰen2	
誌	tsɿ5	
警	tɕin3	
計	tɕi5	
訂	tin5	
認	zen5	
討	tʰau3	
讓	zɑŋ5	
訓	ɕyen5	
議	li5	
訊	ɕyen2	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei5	
許	ɕyi3	
論	len5	
訟	soŋ5	
諷	xoŋ3	
設	sɛ2	
訪	xuɑŋ3	
证	tsen5	
評	pʰin2	
識	sɿ2	
詐	tsa5	
訴	su5	
診	tsen1	
詞	tsʰɿ2	
譯	i2	
詩	sɿ1	
誠	tsʰen2	
話	xua5	
詭	kuei3	
該	kai1	
詳	tɕʰiɑŋ2	
語	yi3	
誤	u5	
說	so2	
誦	soŋ5	
請	tɕʰin1	
請	tɕʰin3	
諸	tsu1	
諾	lo2	
讀	tu2	
課	kʰo5	
誰	suei2	
調	tʰiau2	
調	tiau5	
諒	liɑŋ5	
談	tʰan2	
謀	məu2	
諜	tei2	
謊	xuɑŋ3	
謂	uei5	
諺	ian5	
謎	mi2	
謝	ɕiɛ5	
謙	tɕʰian1	
謹	tɕin3	
譚	tʰan2	
譜	pʰu3	
谷	ku2	
豁	xo2	
豆	təu5	
豉	sɿ3	
豌	uan3	
象	ɕiɑŋ5	
豪	xau2	
豫	yi5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
貝	pei1	
貞	tsen1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
賢	ɕian2	
敗	pai5	
賬	tsɑŋ5	
貨	xo5	
質	tsɿ2	
質	tsɿ5	
販	fan5	
貪	tʰan1	
貧	pʰin2	
購	kəu5	
賤	tɕian5	
貼	tʰiɛ2	
貴	kuei5	
貸	tai5	
貿	məu5	
費	xuei5	
賀	xo5	
賊	tsɛ2	
賊	tsei2	
賄	xuei5	
贓	tsɑŋ1	
資	tsɿ1	
賒	sɛ1	
賭	tu3	
贖	su2	
賞	sɑŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
賺	tsuan5	
賽	sai5	
贊	tsan5	
贈	tsen5	
贏	in2	
赤	tsʰɿ2	
走	tsəu3	
赴	pʰu3	
趕	kan3	
起	tɕʰi3	
趁	tsʰen5	~机
超	tsʰau1	
越	yɛ2	
趟	tʰɑŋ5	
趣	tɕʰyi5	
足	tsu2	
趴	pʰa2	
躍	iau5	
跌	tɛ2	
跌	tei2	
跑	pʰau3	
距	tɕyi5	
跟	ken1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiau5	
踐	tɕian5	
踏	tʰa2	
踢	tʰi2	
蹤	tsoŋ1	
蹄	tʰi2	
蹋	tʰa2	
身	sen1	
躬	koŋ1	
躱	to3	
躺	tʰɑŋ3	
車	tsʰɛ1	
軌	kuei3	
軒	ɕyan1	
轉	tsuan3	~变
轉	tsuan5	~动
輪	len2	
軟	zuan3	
轟	xoŋ2	
軸	tsu2	
輕	tɕʰin1	
載	tsai5	
轎	tɕiau5	
輔	pʰu3	
輩	pei1	
輝	xuei1	
輸	su1	
轅	yan2	
轄	ɕia2	
辛	ɕin1	
辟	pʰi2	
辣	la2	
辨	pian5	
辯	pian5	
辮	pian5	
辰	sen2	
辱	zu2	
邊	pian1	
遼	liau2	
達	ta2	
遷	tɕʰian1	
迅	ɕyen5	
過	ko5	
邁	mai5	
迎	in2	
運	yen5	
近	tɕin5	
返	fan3	
還	xuan2	
進	tɕin5	
遠	yan3	
連	lian2	
遲	tsʰɿ2	
迫	pʰiɛ2	
述	su5	
迷	mi2	
迸	pen1	
迹	tɕi2	
追	tsuei1	
退	tʰuei5	
送	soŋ5	
適	sɿ2	
逆	i2	
選	ɕyan3	
透	tʰəu5	
逐	tsu2	
遞	ti5	
途	tʰu2	
通	tʰoŋ1	
速	ɕiɤɯ2	
造	tsʰau5	
逢	xoŋ2	
逸	i2	
逼	pi2	
遁	ten5	
遇	yi5	
遍	pʰian5	
道	tau5	
遺	i2	
遭	tsau1	
遮	tsɛ1	
遵	tsuen1	
避	pi5	
鄧	ten5	
那	la5	
邦	pɑŋ1	
邪	ɕiɛ2	
郵	iəu2	
邵	sau5	
鄰	lin2	
郁	iɤɯ2	姓~
郎	lɑŋ2	
鄭	tsen5	
部	pu5	
郭	ko2	
都	tu1	
配	pʰei5	
酒	tɕiəu3	
酬	tsʰəu2	
醬	tɕiɑŋ5	
酵	ɕiau5	
酷	kʰu2	
酸	suan1	
釀	liɑŋ2	
醉	tsuei5	
醋	tsʰu5	
醒	ɕin3	
醮	tsan5	
采	tsʰai3	
釉	iəu5	
釋	sɿ2	
里	li3	
重	tsʰoŋ2	~复
重	tsoŋ5	~量
野	iɛ3	
量	liɑŋ5	
金	tɕin1	
鑑	tɕian1	
針	tsen1	
釘	tin1	~子
釘	tin5	~书
釣	tiau5	
釵	tsʰa1	
鈍	ten5	
钟	tsoŋ1	
鋼	kɑŋ1	
鑰	io2	
欽	tɕʰin1	
鈞	tɕyen1	
鉤	kəu1	
鈀	pʰa2	
錢	tɕʰian2	
鉗	tɕʰian2	
鑽	tsuan5	
鉀	tɕia2	
鐵	tʰɛ2	
鐵	tʰei2	
鈴	lin2	
鉛	yan2	
銅	tʰoŋ2	
鍘	tsa2	
銘	min2	
鏟	tsʰuan3	
銀	in2	
鋪	pʰu1	
鋪	pʰu5	店铺
鎖	so3	
鋤	tsʰu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	xoŋ1	
銳	zuei5	
錯	tsʰo5	
錫	ɕi2	
鑼	lo2	
錘	tsʰuei2	
錐	tsuei1	
錠	tin5	
鋸	tɕyi5	
鍛	tuan5	
鍍	tu5	
鎮	tsen5	
鏡	tɕin5	
鐲	tsu2	
鐮	lian2	
長	tsʰɑŋ2	
長	tsɑŋ3	
門	men2	
閂	suan1	
閃	san3	
閉	pei5	
問	uen5	
闖	tsʰuɑŋ3	
閏	zuen5	
闲	ɕian2	
間	tɕian5	~断
間	tɕian1	中~
悶	men5	
閘	tsa2	
鬧	lau5	
聞	uen2	
閩	min2	
閥	xua2	
閲	yɛ2	
閻	lian2	
闊	kʰo2	
防	xuɑŋ2	
陽	iɑŋ2	
陰	in1	
陣	tsen5	
階	tɕiai1	
阻	tsu3	
阿	a1	
附	fu5	
際	tɕi5	
陸	lu2	
隴	loŋ2	
陳	tsʰen2	
陌	pei2	
降	ɕiɑŋ2	
降	tɕiɑŋ5	
限	ɕian5	
陝	san3	
陡	təu3	
院	yan5	
除	tsu2	
險	ɕian3	
陪	pʰei2	
陵	lin2	
陶	tʰau2	
陷	ɕian5	
隆	loŋ2	
隨	suei2	
隨	ɕyi5	
隱	in2	
隔	kɛ2	
障	tsɑŋ5	
難	lan2	~易
難	lan5	灾~
雀	tɕʰio2	
雁	ian5	
雄	ɕioŋ2	
雅	ia2	
集	tɕi2	
雇	ku5	
雌	tsʰɿ3	
雕	tiau1	
雨	yi3	
雪	ɕyɛ2	
零	lin2	
雷	luei2	
雹	pau1	
霧	u5	
需	ɕyi1	
震	tsen3	
黴	mei2	
霍	xo2	
霜	suɑŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰin1	
靜	tɕin5	
非	xuei1	
靠	kʰau5	
面	mian5	
革	kɛ2	
靴	ɕyɛ1	
鞋	xai2	
鞍	ŋan1	
鞭	pian1	
韌	zen5	
韓	xan2	
音	in1	
韻	yen5	
頁	iɛ2	
頂	tin3	
頃	tɕʰyen1	
項	xɑŋ5	
順	suen5	
须	ɕyi1	
頑	uan2	
顧	ku5	
頓	tuen5	
頒	pan1	
頌	soŋ5	
預	yi5	
領	lin2	
頸	tɕin3	
頻	pʰin2	
穎	i2	
顆	kʰo3	
題	tʰi2	
顔	ian2	
額	ŋɛ2	
顛	tian1	
顫	tsan5	
風	xoŋ1	
飛	xuei1	
食	sɿ2	
餈	tsʰɿ2	
餐	tsʰan1	
饥	tɕi1	
飯	fan5	
飲	in2	
飲	in3	
飽	pau3	
饒	zau2	
餃	tɕiau3	
餅	pin3	
餓	o5	
餿	səu1	
饞	tsʰan2	
香	ɕiɑŋ1	
馬	ma3	
馱	tʰo2	
驅	tɕʰyi1	
駁	po2	
驢	li2	
駐	tsu5	
駝	tʰo2	
駕	tɕia5	
駡	ma5	
駱	lo2	
驗	lian5	
駿	tɕyen1	
駿	tɕyen5	
騎	tɕʰi2	
騙	pʰian5	
騷	sau1	
騸	san5	
骨	ku2	
髓	suei3	
高	kau1	
鬃	tsoŋ1	
鬼	kuei3	
魂	xuen2	
魄	pʰiɛ2	
魏	uei1	
魔	mo2	
魚	yi2	
魯	lu3	
鮮	ɕyan1	
鯉	li3	
鰓	sai1	
鰭	tsɿ5	
鱉	piɛ1	
鱔	san5	
鳥	liau3	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鴨	ia2	
鸞	tʰuan2	
鴻	xoŋ2	
鵝	o2	
鵬	pʰen2	
鵬	pʰoŋ2	
鶴	xo2	
鸚	in1	
鷹	in1	
鹿	lu2	
麟	lin2	
麥	miɛ2	
麩	fu1	
麻	ma2	
黃	xuɑŋ2	
黑	xɛ2	
默	miɛ2	
鼎	tin3	
鼓	ku3	
鼠	su3	
鼻	pi2	
齊	tɕʰi2	
齒	tsʰɿ3	
龜	kuei1	
