#漢字	音標	解釋
□	kaʔ7	～lat5·li：腋下
聰	tsʰuoŋ1	
肅	suʔ7	
肄	i5	～业
肆	sɿ5	
肉	ȵiuʔ7	
肋	lɛʔ7	
肘	tsɛu3	
肚	dʰu5	腹～
肚	dʰu3	鱼～ ；猪～
肝	kon5	
腸	dʰɔŋ6	
股	ku5	
肢	tsɿ5	
肤	fu5	
肥	fi2	
肩	tɕiɛn5	
肪	fɔŋ2	
骯	ŋɔŋ5	～脏
肯	hen1	
育	iʔ7	
肴	iɛu2	佳～
肺	fi5	
腎	sən3	
腫	toŋ3	
脹	tɔŋ5	
脅	ɕiɛt7	
胃	ui6	
膽	tan3	
背	bʰai6	1～诵
背	pi5	2
背	pai5	脊～
胎	dʰai1	
胖	bʰɔŋ5	
胚	bʰi1	
胛	kat7	肩～
勝	sen5	
胞	pau5	
胡	hu2	
胡	u5	～子
胳	ko5	
膠	kau5	
胸	ɕioŋ5	
能	len2	
脂	ti3	1～肪
脂	tsɿ5	胭～
脆	tsʰɛ1	
脉	mai5	
脊	tɕit7	
脏	tsɔŋ5	
臍	tɕʰiʔ7	
腦	lau3	
膿	loŋ2	
腳	tɕioʔ7	
脯	fu3	杏～
脯	bʰu6	胸～
脫	dʰuot1	
臉	tiɛn3	
脾	bʰi6	
腆	tiɛn3	腼～
臘	lat7	
腌	iɛn5	～菜
腐	fu3	
腑	fu3	
腕	uan5	
腡	lo2	手指纹
腥	ɕiaŋ5	
腮	sai5	
腰	iɛu5	
腱	tɕiɛn6	
腹	fuʔ7	
膩	ȵi5	
騰	dʰen6	
腿	dʰi1	1
腿	dʰui1	2
膏	kau5	
膘	piɛu5	
膜	mo2	
膝	ɕi5	
膨	bʰɔŋ6	
膳	san6	
膻	san5	
臀	dʰun6	
臂	pi5	
臊	sau2	
臣	tsʰən6	
自	tsʰɿ6	
臭	dʰiu5	香～
至	tsɿ5	
致	tsɿ5	
臻	tsən5	
臼	tɕiu5	
舀	iɛu3	
舅	tɕʰiu1	
舌	sət7	
舍	sɛ5	房～
舍	sa3	～弃
舐	sɛ5	舔～
舒	ɕiu5	
舔	dʰiɛn1	
舜	sun5	
舞	u3	
舟	tiu5	
航	hɔŋ6	
般	pon5	
艦	tɕiɛn3	
舵	to5	
船	suon2	
艇	dʰiŋ1	
良	tiɔŋ2	
艱	kan5	～难
艱	tɕiɛn5	～难
色	sɛʔ7	
艳	iɛn6	
藝	i6	
艾	ŋai5	
節	tɕiɛt7	
芋	y6	
芍	sau3	～药
芒	mɔŋ2	
芙	fu2	
芝	ti5	1
芝	tsɿ5	2
芥	tɕiɛ5	
蘆	lu2	
芬	fən5	
芭	pa5	
花	hua5	
芳	fɔŋ5	
芹	tɕʰin6	
芽	ŋa2	
葦	ui3	
莧	lan6	～菜
蒼	tsʰɔŋ1	
苏	su5	
苔	dʰai6	
苗	miɛu2	
苟	kɛu3	
若	luoʔ7	
苦	kʰu1	
英	iŋ5	
苶	ȵiɛn5	发～
茂	mɛu6	
范	fan1	
茄	tɕʰia6	
茅	mau2	
莖	tɕiŋ2	
繭	tɕiɛn3	
茫	mɔŋ2	
茬	tsʰa6	
茴	hui2	
茶	tsʰa6	
茸	loŋ2	
荀	ɕyn2	
荆	tɕiŋ5	～棘
草	tsʰau3	
薦	tɕiɛn5	
荒	huɔŋ5	
荔	li6	
蕎	tɕʰiɛu6	
薺	kai3	～菜
蕩	tɔŋ5	
榮	lɔŋ2	
葷	hun5	
荫	in5	
藥	ioʔ7	
荷	hoʔ7	薄～
荷	ho6	～花
莠	iu3	
莫	moʔ7	
蓮	liɛn2	
获	huoʔ7	
瑩	iŋ2	
鶯	iŋ5	
莽	mɔŋ3	
菊	tɕiuʔ7	
菌	tɕyn3	
菜	tsʰai5	
菠	po5	
菢	bʰau6	～小鸡
菩	bʰu6	
菱	liŋ2	
萄	dʰau6	
萌	mɔŋ2	
萍	bʰiŋ6	
萎	ui3	
營	iŋ2	
蕭	ɕiɛu5	
薩	sat7	拉～
落	loʔ7	
著	tu5	
葚	sen2	桑～
葛	kot7	～粉
董	toŋ3	
葫	hu2	～芦
葬	tsɔŋ5	
葱	tsʰuoŋ1	
葵	kʰui6	
蔣	tɕiɔŋ3	
蒙	moŋ2	～眬
蒜	suon5	
蒲	bʰu6	
蒸	tiŋ5	
蒿	hau5	蓬～
蓄	ɕiʔ7	
蓉	loŋ2	
蓑	so5	
藍	lan2	
蓬	bʰoŋ3	～松
蔓	man6	瓜～
蔗	tat7	
蔡	tsʰai5	
蔫	ŋan5	食物不新鲜
蔬	sɿ5	
藹	ŋai6	
蔽	piʔ7	
蕉	tɕiɛu5	
蕊	lei3	
薄	bʰoʔ1	形容词
薄	poʔ7	～荷
薅	hau1	～头发
薛	ɕue5	
薪	sən5	
薯	ɕiu5	
薰	ɕyn5	
藉	tɕʰiʔ1	
藏	tsɔŋ6	西～
藏	tsʰɔŋ6	隐～
藐	miɛu3	
藕	ŋiɛu3	
藤	dʰen6	
藩	fan5	
藿	huoʔ7	
蘸	tsan5	
虎	hu3	
虜	lu3	
虐	ȵyɛt7	
虑	li5	
虔	tɕʰiɛn6	
虛	ɕi5	
虞	i3	
蟲	dʰoŋ6	
虱	sɛt7	
虹	heŋ2	
虹	heŋ5	彩～
虻	mɔŋ3	
雖	ɕi5	
蝦	ha5	
蝕	sɿ2	
蟻	nin3	蚂～
蚊	uən2	文读
蚊	mən2	白读
蚌	bʰɔŋ1	河～
蚌	bʰɔŋ1	～埠：地名
蠶	tsʰuon6	
蚣	keŋ5	
蚤	tsau5	跳～
蚶	hon5	～子
蛀	tsu5	
蛆	tɕʰi1	
蛇	sa2	
蛋	lan6	
蟶	tsʰeŋ5	～子
蛙	ua5	
蛛	tu2	
蛤	ha2	～蟆
蠻	mon2	
蟄	tsət7	
蛾	ŋo2	
蜀	ɕiu3	
蜂	heŋ5	
蜇	tsɛ5	
蜈	u2	
蜓	dʰiŋ6	
蛻	dʰiʔ1	
蝸	uo5	
蜘	tət7	
蜜	mət7	
蠟	lat7	
蜻	tɕʰiŋ1	～蜓
蠅	ȵiŋ5	苍～
蟬	tsʰan6	
蝎	ɕiɛ5	
蝗	huɔŋ2	
蝙	piɛn5	
蝠	fu2	
蝶	dʰiɛt1	
螂	lɔŋ2	
螃	bʰɔŋ6	
融	loŋ2	
螳	dʰɔŋ6	
螺	lo2	
蟀	suoi5	蟋～
蟆	ma6	
蟒	mɔŋ3	
蟹	hai1	
蟾	tsʰan6	～蜍
蠢	dʰən1	好～
血	ɕyot7	
衅	ɕin5	
行	ɕiŋ2	～为；～走
行	hɔŋ6	～列
銜	ɕiɛn2	
街	kai5	
衙	ŋa2	
衡	hen6	
衣	i5	
補	pu3	
表	piɛu3	手～
衫	san5	
襯	tsʰən5	
衰	sai5	很～
衰	suoi5	～落
袁	yon2	
襖	ŋau3	
袋	dʰai6	
袍	bʰau6	
袖	ɕiu5	
袜	uat7	
被	pei5	～迫
被	bʰi6	～子
襲	ɕi2	
裁	tsʰai6	
裂	liɛt7	
裝	tsɔŋ5	
裕	y5	
裙	tɕʰin6	
褲	kʰu5	
裳	sɔŋ5	衣～
裴	bʰi6	姓氏
裸	lo3	
裹	kuo3	
褒	pau5	
褚	tsʰu3	姓氏
褥	luʔ7	
褪	dʰiʔ1	
褯	tɕʰia6	～子：婴儿的尿布
褶	tsɛt7	～子
襄	ɕiɔŋ5	
襟	tɕin5	衣～
西	ɕi5	
要	iɛu5	重～
要	iɛu5	～求
覆	fuʔ7	
見	tɕiɛn5	
觀	kuon5	寺～
觀	kuon5	～看
規	kui5	
覓	miʔ7	
視	ɕi5	
覽	lan3	
覺	kau5	睡～
角	koʔ7	
解	ɕia2	姓氏
解	kai3	～开
觸	tsʰuʔ7	
言	iɛn2	
註	tu5	～解
誇	kʰua1	
譽	i6	
謄	dʰen6	
誓	ɕi6	
警	tɕiŋ3	
譬	bʰi5	～喻
計	tɕiʔ7	
訂	tiŋ5	
訃	fu5	
認	lən6	相～
認	ȵiŋ6	～得
譏	tɕi5	
討	dʰau1	
讓	ȵiɔŋ6	～步
訓	ɕyn5	
議	ȵi6	
訊	ɕin5	
記	tɕi5	
講	kɔŋ3	
諱	hui5	
許	ɕi3	
訛	ŋo2	
論	lən6	议～
論	lən2	～语
訟	suoŋ3	
諷	heŋ3	
設	sət7	
訪	fɔŋ5	
訣	tɕyot7	
证	tiŋ5	
評	bʰiŋ6	
識	sɿ5	知～
詐	tsa5	
訴	su5	
診	tən3	
詞	tsʰɿ6	
詔	tɛu5	
譯	iʔ7	
試	sɿ5	
試	ɕiʔ7	考～
詩	ɕi5	
誠	dʰiŋ6	1～实
誠	tsʰeŋ6	2～实
誅	tu5	
話	hua6	文读，～语
話	ua5	白读，～事
誕	tan3	
詭	kui3	
該	kai5	
詳	ɕiɔŋ2	
誣	u5	
語	ȵi3	
誤	u6	
誘	iuʔ7	
說	ua1	白读，～话
誦	suoŋ3	
請	tɕʰiaŋ1	
諸	tu5	
諾	luoʔ7	
讀	dʰuʔ1	
課	kʰuo5	
誰	sui2	
調	tiɛu5	～动
調	dʰiɛu6	～和
諒	liɔŋ6	
談	dʰan6	
誼	ȵit7	友～
誼	i6	情～
謀	mɛu2	
諜	dʰiɛt1	
謊	huɔŋ3	
諫	tɕiɛn5	
諧	ɕiɛt7	
謂	ui6	
諺	iɛn5	
謎	mi2	
謝	ɕia6	
謠	iɛu2	
謗	pɔŋ5	
謙	tɕʰiɛn1	
謹	tɕin3	～慎
謬	miu5	
譚	dʰan6	
譜	bʰu3	家～
谷	kuʔ7	稻～
豁	huo5	
豆	dʰɛu6	
豇	kɔŋ5	～豆
豉	ɕi0	
豌	uan5	
豚	dʰun6	
象	ɕiɔŋ1	
豪	hau1	
豫	iʔ7	
豹	pau5	
豺	tsʰai6	
貂	tiɛu5	
貌	mau6	
貝	piʔ7	
貞	ten5	
負	fu5	
貢	keŋ5	
財	tsʰai6	
賢	ɕiɛn5	进～
賢	ɕiɛn2	～人
敗	bʰai6	
賬	tɔŋ5	
貨	huo2	
質	tət7	1
質	tsət7	2
販	fan5	
貪	dʰan1	
貧	bʰin6	
貶	piɛn3	
購	kɛu5	
貫	kuon5	
賤	tɕʰiɛn6	
貼	dʰiɛt1	
貴	kui5	
貸	tai5	
貿	mau6	
費	fi5	
賀	hoʔ7	
賊	tsʰɛʔ1	
賈	tɕia3	
賄	hui5	
賃	lin5	
賂	lu5	
贓	tsɔŋ5	
資	ti5	1～格
資	tsɿ5	2
賒	sa5	
賦	fu5	
賭	tu3	
贖	su2	
賞	sɔŋ3	
賜	tsʰɿʔ7	
賠	bʰai6	
賴	lai6	
贅	tsɛ5	
賺	tsʰan6	
賽	sai5	
赞	tsan5	
贈	tsen5	
贏	iaŋ2	
赤	tsʰɿʔ1	
赦	sa6	
走	tsɛu3	
赴	fu5	
趙	tɛu2	
起	tɕʰi1	
趁	dʰən5	
超	dʰɛu1	
越	yot7	
趨	tɕʰi1	
趟	dʰɔŋ5	
趣	tɕʰi5	
足	tsuʔ7	
趾	tsɿ3	2
趾	tət7	
躍	ioʔ7	
跌	tiɛt7	
跑	bʰau1	
距	tɕi5	
跟	ken5	
跨	kʰua5	
跪	kʰui1	
路	lu6	
跳	dʰiɛu1	
踐	tɕʰiɛn1	
踏	dʰat1	
踒	uai3	～了脚
踢	dʰiʔ1	
蹤	tsuoŋ5	
踱	tuo3	
蹄	dʰi6	
蹑	ȵiɛt7	
蹭	tsʰen5	磨～
蹲	tən5	
躁	tsau5	
身	sən5	
躬	keŋ5	
躲	to3	
躺	dʰɔŋ1	
車	dʰa1	～辆
車	tɕi5	～马炮
軋	ŋat7	～棉花
軌	kui3	
軒	ɕyon5	
轉	tuon3	～眼
轉	tuon5	～圈圈
輪	lən2	
軟	ȵyon3	
轟	heŋ5	
軸	dʰiuʔ1	1
軸	tsɛu2	2
輕	tɕʰiŋ1	文读
輕	tɕʰiaŋ1	白读
載	tsai3	年～
載	tsai5	满～
載	tsai5	～重
轎	tɕʰiɛu6	
較	kau5	
輔	fu3	
輛	liɔŋ6	
輦	ȵiɛn3	
輩	bʰai6	1
輩	pi5	2
輝	hui5	
輜	tsɿ5	
輯	tɕi5	
輸	su5	运～
輸	ɕiu5	～赢
轅	yon2	
轄	ɕia2	
轍	tsʰət7	
辛	sən5	
辭	tsʰɿ6	
辟	piʔ7	
辣	lat7	
辨	piɛn6	
辯	piɛn6	
辮	bʰiɛn1	
辰	tsʰən6	
邊	piɛn5	
遼	liɛu2	
达	dʰat1	
迁	tɕʰiɛn1	
迂	i5	
迄	tɕʰiʔ1	～今
迅	ɕin5	
過	kuo5	姓氏
過	kuo5	～来
邁	mai6	
迎	iŋ2	
運	in6	
近	tɕʰin1	
還	hai6	副，～有
還	fan2	文读
還	uan2	白读，动，～原
進	tsən5	
遠	yon3	
違	ui3	
連	tiɛn2	
遲	tsʰɿ6	推～
遲	dʰi6	～到
迥	tɕiɔŋ3	
迫	bʰoʔ7	
述	su5	
迷	mi2	
迸	pɔŋ5	～裂
迹	tɕiʔ7	
追	ti5	
退	dʰiʔ1	
送	suoŋ5	
逃	dʰau6	
逆	ȵiʔ7	
選	ɕyon3	
遜	ɕyn5	
透	dʰɛu6	
逐	tsu3	～个
遞	ti5	
途	dʰu6	
逗	tɛu5	
通	dʰoŋ1	
逛	kuɔŋ5	
逝	sɿ5	
逞	tsʰeŋ3	
速	su2	
造	tsau2	
逢	heŋ2	
逵	kʰui6	
逸	iʔ7	
逼	pi5	
逾	y2	
遁	tun5	
遂	sui5	
遇	ȵi6	
遍	piɛn5	一～
遍	bʰiɛn5	～地
遐	ɕia2	
道	tau5	
道	dʰau1	～路
遣	tɕʰiɛn1	
遭	tsau5	
遮	ta5	
遵	tsun5	
避	pi5	
邀	iɛu5	
邓	ten5	
那	n̩5	
邦	pɔŋ5	
邪	ɕia2	
郵	iu2	
鄒	tsɛu5	
鄰	lən2	
郁	iʔ7	
郊	kau5	
郎	lɔŋ2	
鄭	tseŋ5	姓氏
郝	hau1	姓氏
郡	tɕyn5	
部	bʰu6	
郭	kuo5	姓氏
都	tu5	～城
都	tu5	～是
鄂	ŋoʔ7	～州
鄙	pi3	
酉	iu3	
酌	tsuoʔ7	～酒
配	bʰi5	
酒	tɕiu3	
酣	hon5	
酥	su5	
酪	lau3	
酬	dʰiu6	
醬	tɕiɔŋ5	
酵	tɕiɛu5	发～
酷	kʰuʔ1	
酸	suon5	
釀	ȵiɔŋ6	
醇	tsʰun6	
醉	tsui5	
醋	tsʰɿ5	
醒	ɕiŋ3	文读
醒	ɕiaŋ3	白读
采	tsʰai1	
釉	iu6	彩～
釋	ɕiʔ7	
里	ti3	～面；一～路
重	dʰoŋ6	轻～
重	dʰoŋ2	～复
野	ia3	
量	liɔŋ5	数～
量	liɔŋ2	～尺
金	tɕin5	
釜	fu3	
鉴	tɕiɛn5	
鏨	tsan5	～花
针	ten5	
釘	tiaŋ5	动词
釘	tiaŋ5	名，～子
釣	tiɛu5	
釵	tsʰai1	
鈍	tun5	
鈔	tsʰɛu1	
钟	toŋ5	
鋼	kɔŋ5	名词
鑰	ioʔ7	
欽	tɕʰin1	
鈞	tɕyn5	
鉤	kɛu5	
鈀	bʰa1	
錢	tɕʰiɛn6	
鉗	tɕʰiɛn6	
鉢	po5	
鑽	tsuon5	电～
鑽	tsuon5	～进
鐵	dʰiɛt1	
鈴	liaŋ2	
鉛	tɕʰyon1	～笔
鐸	toʔ7	
銅	dʰoŋ6	
鍘	tsat7	～刀
銘	miŋ2	
铲	tsʰan1	
銃	tsʰuoŋ5	枪～
銃	dʰoŋ5	～子
銀	ȵin2	
鑄	tu5	
鋪	bʰu1	动词
鋪	bʰu5	店～
链	liɛn6	
銷	ɕiɛu5	
鎖	so3	
鋥	tsen5	～亮
鋤	tsʰɿ6	
鍋	kuo5	
銼	tsʰo5	～刀
鋒	heŋ5	
銳	lui5	
錯	tsʰuoʔ1	
錯	tsʰo5	
錨	mau2	
錫	ɕi5	
錮	ku5	
鑼	lo2	
錘	dʰi6	～子
錐	ti5	
錦	tɕin3	
錠	tiŋ5	
鍵	tɕʰiɛn5	关～
鍵	tɕʰiɛn6	关～
鋸	kɛ5	～子：名词
鍬	tɕʰiɛu1	铁～
鍛	tuon5	
鍍	tu5	
鎮	tən5	
鑷	ȵiɛt7	
鎔	loŋ2	
鏡	tɕiaŋ5	
鐙	ten5	马～
鐲	tsʰuo6	
镰	liɛn2	
鑲	ɕiɔŋ5	
長	dʰɔŋ6	
長	tɔŋ3	生～
長	tsʰɔŋ6	～短
門	mən2	
閂	suon5	门～
閃	san3	
閉	pi5	
問	uən6	
闖	tsʰɔŋ1	
閏	lən6	
闲	han6	
間	kan5	房～ ；一～房
間	tɕiɛn5	～断
悶	mən5	
閘	tsat7	
鬧	lau5	
閨	kui5	
聞	uən2	新～
閩	min3	
閣	koʔ7	
鬮	tɕiu5	抓～
閱	yot7	
閹	ŋan5	阉割的意思，单音动词
閹	iɛn5	～割
閻	iɛn2	
闊	kʰuoʔ1	
阜	fu5	
隊	tiʔ7	
阮	luon3	
防	fɔŋ2	
陽	iɔŋ2	
陰	in5	
陣	tən5	
階	kai5	
阻	tsɿ3	
阿	ŋa5	1
阿	a5	2
附	fu2	
際	tɕiʔ7	
隴	loŋ3	～西
陳	dʰən6	
陋	lɛu6	
陌	moʔ7	
降	kɔŋ5	下～
降	ɕiɔŋ2	投～
限	ɕiɛn3	
陝	san3	
陛	pi5	
陡	tɛu3	
院	yon6	
除	dʰu6	
險	ɕiɛn3	
陪	bʰi6	
陵	liŋ2	
陶	dʰau6	
陷	ɕiɛn6	
隆	loŋ2	
隨	ɕi2	～便
隱	in3	
隔	kɛʔ7	
隘	ŋai5	
障	tɔŋ5	
隧	sui5	
隶	liʔ7	
難	nan5	患～
難	nan2	～易
雀	tɕʰioʔ7	
雁	ŋan6	
雄	ɕioŋ2	
雅	ia3	
集	tɕʰit7	文读，～市
集	tɕiʔ7-	白读
雇	ku5	
雌	tsʰɿ1	
雍	ioŋ5	
雛	tsʰu6	
雕	tiɛu5	
雨	i3	
雪	ɕyot7	
零	liaŋ2	
雷	lei2	
雹	pau2	
霧	u6	
需	ɕi5	
霄	ɕiɛu5	
震	tən5	
霉	mi2	
霍	huoʔ7	
霜	sɔŋ5	
霞	ɕia2	
露	lu6	
霸	paʔ7	
青	tɕʰiaŋ1	
靖	tɕiŋ3	
靜	tɕʰiŋ6	安～
非	fi5	
靠	kʰau5	
靡	mi2	奢～
面	miɛn6	～孔
面	miɛn6	～条
革	kɛʔ7	～命
靴	ɕia5	
靴	ɕue5	
鞋	hai6	
鞍	ŋon5	
鞘	tɕʰiɛu1	
鞭	piɛn5	
韌	lən6	
韓	hon6	
韭	tɕiu3	
音	in5	
韵	yn6	
韶	sɛu3	～关
頁	iɛt7	
頂	tiŋ3	
頃	tɕʰiŋ1	～刻
項	ɕiɔŋ1	
順	sun5	
頑	uan2	
顧	ku5	
頓	tən5	
頒	pan5	
頌	suoŋ3	
預	i6	
領	liŋ3	文读
領	liaŋ3	白读
頗	bʰo1	
頸	tɕiaŋ3	
頻	bʰin6	
穎	iŋ3	
顆	kʰuo5	
題	dʰi6	
顏	ŋan2	
顛	tiɛn5	～簸
顫	tsʰan5	～动
顴	tɕʰyon6	
風	heŋ5	
颼	sɛu5	
飄	bʰiɛu1	
飛	fi5	
食	sɿ2	
食	ɕi6	
食	sət7	
餐	tsʰan1	
饥	tɕi5	
飩	dʰun6	
飭	tsʰɿʔ7	整～
飯	fan6	
飲	in3	～酒
餞	tɕiɛn6	～行
飾	ɕiʔ7	1
飾	sɿʔ7	2
飽	pau3	
飼	sɿ5	
飴	i1	
餌	ɛ3	
饒	lɛu2	上～
餉	sɔŋ3	军～
餃	tɕiɛu3	
餅	piaŋ3	
餑	bʰo5	香～～
餓	ŋo6	
餜	kuo3	
餛	hun2	
餡	han6	什么～
餡	ɕiɛn6	～饼
館	kuon3	
餿	sɛu5	
饃	mo2	
餾	tiu2	
饅	mon2	
首	ɕiu3	
香	ɕiɔŋ5	
馨	ɕin5	
駭	hai1	
馬	ma3	
馱	dʰo6	～起来
馱	dʰo6	～子
馳	tsʰɿ6	
驅	tɕʰi1	
駁	poʔ7	
驢	li2	
駛	sɿ3	
駒	tɕy5	
駐	tu5	
駝	lo5	
駕	ka5	
罵	ma6	
驕	tɕiɛu5	
駱	luoʔ7	
驗	ȵiɛn6	
騎	tɕʰi6	
騙	bʰiɛn5	欺～
騷	sau5	
騾	lo2	
驟	tsɛu5	
骨	kuət7	
髓	sɛ3	
高	kau5	
髻	tɕiʔ7	
鬃	tsuoŋ5	～毛
鬢	pin5	
鬼	kui3	
魁	kʰui1	
魂	hun2	
魄	bʰoʔ7	
魘	iɛn3	
魏	ui6	
魔	mo2	
魚	ȵiɛ2	
魯	lu3	
鮑	pau5	
鮮	ɕiɛn5	新～
鮮	ɕiɛn3	～少
鯉	li3	
鯽	tsɛʔ7	～鱼
鯰	ȵiɛn2	
鯨	tɕiaŋ5	
鰓	sai5	
鰭	tɕʰi6	鱼～
鰥	kuon5	～寡
鱉	piɛ5	
鱖	kui5	～鱼
鱗	lən2	
鳥	tiɛu3	
鳩	tɕiu5	斑～
雞	tɕi5	
鳴	miŋ2	
鴉	ŋat7	
鸕	lu2	
鴨	ŋat7	
鴿	kot7	
鸞	luon3	
鴻	heŋ2	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰyɛt7	
鷂	iɛu5	～鹰
鶴	hoʔ1	
鸚	iŋ5	
鷺	lu5	
鷹	iŋ5	
鹿	luʔ7	
麝	sa6	～香
麥	maʔ7	
麩	fu5	
麻	ma2	
麾	hui5	
黃	huɔŋ2	姓氏
黃	uɔŋ2	～色
黍	su5	
黎	li2	
黏	ȵiɛn2	～液
黑	u5	～色
黑	hɛʔ7	～暗
默	moʔ7	
黢	tɕyn5	～黑
鼎	tiŋ3	
鼓	ku3	
鼠	loŋ3	老～
鼻	bʰət7	
鼾	hon5	打～
齊	tɕʰi6	
齒	tsʰɿ1	智～
龍	loŋ2	
龕	kʰon1	神～
龜	kui5	
