#漢字	音標	解釋
□	kaʔ7	～lat5·li：腋下
忘	uɔŋ6	文读
忘	mɔŋ6	白读
忙	mɔŋ2	
忠	toŋ5	
憂	iu5	
快	kʰuai6	
念	ȵiɛn6	
忽	hu5	
忿	fən3	
懷	uai2	～孕
態	dʰai5	
慫	suoŋ2	
慪	ŋiɛu5	～气
怒	lu5	
怕	bʰa5	
怖	pu5	
憐	liɛn2	
思	sɿ5	
怠	tai5	
急	tɕit7	
性	ɕiŋ5	
怨	yon5	
怪	kuai5	
怯	tɕʰiɛt7	
怱	tsʰuoŋ1	
恃	sɿ5	
戀	tiɛn6	
恐	kʰeŋ3	
恆	hen6	
恢	hui5	
恤	ɕy2	
恨	hen6	
恩	ŋen5	
恭	keŋ5	
息	ɕi5	
懇	kʰen1	
恶	u0	可～
恶	uʔ7	可～
恶	ŋo3	形，～心
惱	lau3	
悄	tɕʰiɛu1	
悉	ɕi5	
悔	hui3	
悟	u5	
悠	iu5	
患	huon6	
悅	yot7	
懸	ɕyon2	
憫	min3	
悲	pi5	
情	tɕʰiŋ6	
驚	tɕiŋ5	文读
驚	tɕiaŋ5	白读
惑	huo5	
惜	ɕi5	
惟	ui3	～妙～俏
惠	hui6	
懼	tɕi5	
慘	tsʰan1	
懲	dʰiŋ6	
慚	tsʰan6	
慣	kuan5	
惰	to5	
想	ɕiɔŋ3	
惹	ȵia3	
愁	dʰiu6	
愈	y5	
意	i5	
愚	y2	
感	kon3	
憤	fən3	
愧	kʰui5	
願	ȵyon6	～意
慈	tsʰɿ6	
慌	huɔŋ5	
慎	sən3	
慕	mu5	
慢	man6	
慧	hui6	
慨	kʰai6	
慰	ui5	
慷	kʰɔŋ1	
憋	piɛ5	
憎	tsen5	
憨	hon5	
憾	hon5	
懂	toŋ5	
懈	ɕiɛ5	
懊	ŋau5	
懶	lan3	
懵	moŋ3	
戈	kot7	
戊	u5	
戌	ɕy5	戊～
戍	su5	
戎	loŋ2	
戲	ɕi5	
成	dʰiŋ6	1～功
成	tsʰeŋ6	2
我	ŋo5	
戒	kai5	
或	huo5	
戰	tsan5	
戚	tɕʰiʔ7	
截	tɕiɛt7	
戳	tsʰuo6	～人
戴	tai5	
戶	hu1	
房	fɔŋ2	
所	sɿ3	厕～
所	so3	～以
扁	piɛn3	
扇	san5	动词
扇	sen5	名词
手	ɕiu3	
才	tsʰai6	
扎	tsat7	一～
扎	tsat7	～人
扑	bʰu1	
打	ta3	
扔	fɛt7	～掉
托	dʰo1	
扛	kʰɔŋ5	
扣	kʰɛu1	
執	tsɿ2	
擴	kʰuoʔ1	
掃	sau3	～地
掃	sau5	～帚
揚	iɔŋ2	
扭	ȵiu3	
扮	pan5	
扯	dʰa1	
擾	lau3	
扳	pan5	
扶	fu2	
批	bʰi1	
扼	ŋoʔ7	
找	tsau3	～零钱
承	tsʰen6	～认
技	tɕʰi1	～术
抄	tsʰau1	
把	pa3	量词
抑	iʔ7	
抓	tsa5	
抓	ua3	用手～牌
投	dʰɛu1	
抖	tɛu3	
抗	kʰɔŋ5	
折	sət7	弄～了
折	tsət7	～断
折	tsɛt7	～叠
撫	fu3	
抛	bʰau1	
摳	kʰɛu1	
搶	tɕʰiɔŋ1	
護	hu5	
報	pau5	
披	bʰi1	
抬	dʰai6	
抱	pau3	
抱	bʰoŋ1	～小孩
抵	ti3	
抹	mo3	单音动词
抹	mo3	～去
抹	mot7	～布
押	ŋat7	
抽	dʰiu1	
抿	min3	
拄	dʰu3	
擔	tan5	挑～
擔	tan5	～任
拆	tsʰaʔ1	
拇	mu3	
拈	ȵiɛn5	～起来
拉	la5	
拌	bʰon1	
拍	bʰaʔ7	
拎	liŋ5	～东西
拐	kuai3	
拒	tɕi5	
拓	dʰuoʔ1	开～
拓	dʰat1	～本
拔	bʰat1	～草
拖	dʰo1	
拘	tɕi5	
拙	tsuo5	
招	tɛu5	
拜	pai5	
擬	ȵi3	
攏	loŋ3	
揀	tɕiɛn3	
攔	lan2	
撥	po5	
撥	pot7	
擇	tsɛʔ7	
括	kʰuoʔ1	
拯	tiŋ3	
拱	keŋ3	～手
拳	tɕʰyon6	
拼	bʰiaŋ1	
拾	sət7	收～
拿	la2	
持	tsʰɿ6	
挂	kua5	
指	ti3	1 手～
指	tsɿ3	2
指	tət7	名词，手～
按	ŋon5	
挑	dʰiɛu1	
挖	uat7	
撓	tsɛ5	～头
擋	tɔŋ3	
擠	tɕi3	
揮	hui5	
挨	ŋai5	
挪	no2	
振	tən5	
挺	dʰiŋ1	
