#漢字	音標	解釋
㐄	kʰa2	指抬脚越过沟渠。～一脚过来
埃	ŋai1	
埋	mai2	
城	tʂʰẽ2	
域	ʏ7	
埠	pʊ5	
埯	ŋaɪ̃3	指种菜时挖的小坑，小洞
培	pʰai2	
基	tɕɪ1	
堂	tʰɑŋ2	
堆	tei1	
堡	pʌ3	
堤	tɪ1	
堪	kʰaɪ̃1	
堰	iɛɪ̃5	
堵	tɵ3	
塌	tʰa7	
塍	ʂẽ2	
塑	sɵ5	
塔	tʰa7	
塘	tʰɑŋ2	
塞	sɛ7	
填	tʰiɛɪ̃2	
塺	ma3	指把砖石或麻将等堆叠在一起。
境	tɕɪ̃3	
墓	mo3	
墓	mʊ5	
牆	tɕʰiɑŋ2	
增	tsẽ1	
墟	ɕʏ1	
墨	mo7	
墨	mɛ7	
墩	tẽ1	
壁	pɪ7	
壕	xʌ2	
壠	noŋ3	
壤	ʐɑŋ3	
士	sɿ5	
壬	ʐẽ2	
壯	tʂuɑŋ5	
聲	ʂẽ1	
壺	fʊ2	
處	tʂʰʊ3	相～
處	tʂʰʊ5	～所
備	pei5	
复	fʊ5	
复	fʊ7	
夏	ɕia5	姓～，春～
夕	ɕɪ7	
外	uai5	
多	tv1	
夜	iɛ5	
够	kɵ5	足～
够	kɵ5	～不着
大	ta5	～小
大	tai5	～夫
天	tʰiɛɪ̃1	
太	tʰai5	
夫	fʊ1	
央	iɑŋ1	
夯	xɑŋ1	
失	ʂʅ7	
頭	tʰɵ2	
夷	ɪ2	
夸	kʰua1	
夾	ka7	
奪	to7	
奇	tɕʰɪ2	
奈	nɛ5	
奈	nai5	
奉	xoŋ5	
奮	xuẽ5	
奎	kʰuei1	
奏	tsɵ5	
契	tɕʰɪ5	
奔	pẽ1	～跑
奔	pẽ5	投～
獎	tɕiɑŋ3	
套	tʰʌ5	
奚	ɕɪ2	
奠	iɛɪ̃5	
奢	ʂai1	
奧	ŋʌ5	
女	nʏ3	
奴	nɵ2	
奶	nɛ3	
奶	nai3	
奸	tɕiɛɪ̃1	
好	xʌ5	
如	ʐʊ2	
妃	xuei1	
妄	uɑŋ5	
婦	fʊ5	
媽	ma1	
妓	tɕɪ5	
妖	iʌ1	
妗	tɕɪ̃5	
妙	miʌ5	
妥	tʰo3	
妨	xuɑŋ1	
妬	tɵ5	
妹	mei5	
妻	tɕʰɪ1	
妾	tɕʰiɛ7	
姊	tsɿ3	
姐	tɕiɛ3	
姑	kʊ1	
姓	ɕɪ̃5	
委	uei3	
姘	pʰɪ̃1	
姚	iʌ2	
姜	tɕiɑŋ1	
姨	ɪ2	
姻	ɪ̃1	
威	uei1	
嬌	tɕiʌ1	
娘	niɑŋ2	
娠	ʂẽ1	
娩	miɛɪ̃3	
娛	ʏ2	
娶	tɕʰʏ3	
婆	pʰo2	
婚	xuẽ1	
婢	pɪ5	
嬰	ɪ̃1	
婿	ɕʏ5	
婿	ɕɪ7	
媒	mei2	
媚	mei5	
媳	ɕɪ7	
嫁	tɕia5	
嫌	ɕiɛɪ̃2	
嫖	pʰiʌ2	
嫡	tɪ7	
嫩	nẽ5	
嬉	ɕɪ1	
孀	ʂuɑŋ1	
子	tsɿ3	
孕	yɪ̃5	
字	tsɿ5	
存	tsʰẽ2	
孫	sẽ1	
孝	ɕiʌ5	
孟	moŋ5	
季	tɕɪ5	
孤	kʊ1	
學	ɕio7	
孩	xai2	
孬	nʌ1	指用手触碰物体
孵	fʊ1	
孽	niɛ7	
寧	nɪ̃2	
寧	nɪ̃5	
宅	tsʰɛ7	
宇	ʏ3	
安	ŋaɪ̃1	
宋	soŋ5	
完	uaɪ̃1	
宏	xoŋ2	
宕	tɑŋ5	
宗	tsoŋ1	
官	kuaɪ̃1	
宙	tʂɵ5	
定	tɪ̃5	
宛	uaɪ̃3	
宜	ɪ2	
寶	pʌ3	
實	ʂʅ7	
客	kʰɛ7	
宣	ɕyɛɪ̃1	
室	ʂʅ7	
宦	xuaɪ̃5	
宪	ɕiɛɪ̃5	
宮	koŋ1	
宰	tsai3	
害	xai5	
宴	iɛɪ̃5	
宵	ɕiʌ1	
家	ka1	
家	tɕia1	
寬	kʰuaɪ̃1	
賓	pɪ̃1	
宿	ɕiɵ2	
宿	ɕiɵ5	
寂	tɕɪ7	
寄	tɕɪ5	
寅	iɛɪ̃2	
密	mɪ7	
寇	kʰɵ5	
富	fʊ5	
寐	mei5	
寒	xaɪ̃2	
寓	ʏ5	
寢	tɕʰɪ̃3	
寞	mo7	
察	tʂʰa7	
寡	kua3	
寥	niʌ2	
寨	tʂai5	
寸	tsʰẽ5	
對	tei5	
寺	sɿ5	
尋	ɕɪ̃2	
導	tʌ3	
導	tʌ5	
壽	ʂɵ5	
封	xoŋ1	
射	ʂai5	
射	ʂiɛ7	
將	tɕiɑŋ1	
將	tɕiɑŋ5	
尊	tsẽ1	
少	ʂʌ3	多～
少	ʂʌ5	～年
尔	ɚ3	
尖	tɕiɛɪ̃1	
尘	tʂʰẽ2	
尚	ʂɑŋ5	
嘗	tʂʰɑŋ2	
尤	iɵ2	
尥	niʌ5	指马、驴等动物用腿向后踢，也称“弹蹄”
堯	iʌ2	
尬	ka5	
就	tɕiɵ5	
尷	kaɪ̃1	
屍	ʂʅ1	～体，～位素餐
尹	ɪ̃3	
尺	tʂʰʅ7	
尼	nɪ2	
尽	tɕɪ̃3	
尽	tɕɪ̃5	
尾	uei3	
尿	niʌ5	
局	tɕʏ7	
屁	pʰɪ5	
層	tsʰẽ2	
居	tɕʏ1	
屈	tɕʰʏ1	
屈	tɕʰʏ7	
屉	tʰɪ5	
屆	kai5	
屋	vʊ7	
屏	pʰɪ̃2	
屐	tɕɪ7	
屑	ɕiɛ7	
展	tʂaɪ̃3	
屬	ʂʊ7	
屠	tʰɵ2	
屢	nʏ5	
履	nʏ3	
屯	tʰẽ2	
山	ʂaɪ̃1	
歲	sei5	
豈	tɕʰɪ3	
岐	tɕʰɪ2	
岑	tsʰẽ2	
岔	tʂʰa5	
崗	kɑŋ1	
島	tʌ3	
岩	ŋai2	
岭	nɪ̃3	
岳	io7	五～，～父
岸	ŋaɪ̃5	
峽	ɕia7	
峯	xoŋ1	
崑	kʰuẽ1	
崔	tsʰei1	
崖	n̩2	
崩	poŋ1	
嵌	tɕʰiɛɪ̃1	
嵩	soŋ1	
川	tʂʰuaɪ̃1	
州	tʂɵ1	
巡	ɕyɪ̃2	
巢	tʂʰʌ2	
工	koŋ1	
左	tso3	
巧	tɕʰiʌ3	
巨	tɕʏ5	
鞏	koŋ3	
巫	vʊ2	
差	tʂʰa1	～錯
差	tʂʰai1	
己	tɕɪ3	
已	ɪ3	
巳	sɿ5	
巴	pa1	
巷	xɑŋ5	
巷	ɕiɑŋ5	
巾	tɕɪ̃1	
幣	pɪ5	
市	ʂʅ5	
布	pʊ5	棉～，～匹
帥	ʂuai5	
帆	xuaɪ̃2	
師	sɿ1	
希	ɕɪ1	
帳	tʂɑŋ5	
帕	pʰa5	
帖	tʰiɛ7	
帘	niɛɪ̃2	
帚	tʂɵ3	
帚	tʂʊ5	
帛	po7	
帝	tɪ5	
帶	tai5	
帶	tɕɪ5	
席	ɕɪ7	
幫	pɑŋ1	
常	tʂʰɑŋ2	
帽	mʌ5	
幅	fʊ7	
幔	maɪ̃5	
幕	mʊ7	
干	kaɪ̃1	～涉，～湿
干	kaɪ̃1	
干	tɕʰiɛɪ̃2	
干	kaɪ̃5	树～
平	pʰɪ̃2	
年	niɛɪ̃2	
并	pɪ̃5	
幸	ɕɪ̃5	
幻	xuaɪ̃5	
幼	iɵ5	
幽	iɵ1	
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tɕʰɪ̃5	
庇	pɪ5	
牀	tʂʰuɑŋ2	
序	ɕʏ5	
廬	nɵ2	
庫	kᶠʊ5	
應	ɪ̃1	
應	ɪ̃5	
底	tɪ3	
店	iɛɪ̃5	
廟	miʌ5	
庚	kẽ1	
府	fʊ3	
龐	pʰɑŋ2	
廢	xuei5	
度	tɵ5	
座	tso5	
庭	tʰɪ̃2	
庵	ŋaɪ̃1	
庶	ʂʊ5	
康	kʰɑŋ1	
庸	ioŋ2	
廉	niɛɪ̃2	
廊	nɑŋ2	
廓	kʰo7	
延	iɛɪ̃2	
廷	tʰɪ̃2	
建	tɕiɛɪ̃5	
開	kʰai1	
异	ɪ5	
弃	tɕʰɪ5	
弄	noŋ5	
弊	pɪ5	
式	ʂʅ7	
弓	koŋ1	
引	ɪ̃3	
弘	xoŋ2	
弟	tɪ5	
張	tʂɑŋ1	
弥	mɪ2	
弦	ɕiɛɪ̃2	
彎	uaɪ̃1	
弱	ʐo7	
彈	tʰaɪ̃2	
彈	taɪ̃5	
强	tɕʰiɑŋ2	～弱
强	tɕʰiɑŋ5	勉～
弼	pɪ7	
歸	kuei1	
當	tɑŋ1	
當	tɑŋ5	
录	nɵ7	
形	ɕɪ̃2	
彩	tsʰai3	
彪	piʌ1	
彬	pɪ̃1	
彭	pʰoŋ2	
影	ɪ̃3	
彷	xuɑŋ3	
役	ɪ7	
徹	tʂʰɛ7	
彼	pɪ3	
彿	fʊ7	
往	uɑŋ3	
征	tʂẽ1	
徑	tɕɪ̃5	
待	tai5	
很	xẽ5	
律	nʏ7	
徐	ɕʏ2	
徒	tʰɵ2	
得	tɛ7	
徛	ɪ5	
御	ʏ5	
循	ɕyɪ̃2	
微	uei1	
微	uei2	
德	tɛ7	
徽	xuei1	
心	ɕɪ̃1	
必	pɪ7	
憶	ɪ7	
忌	tɕɪ5	
忍	ʐẽ3	
忖	tsʰẽ3	
志	tʂʅ5	～气，标～
忘	uɑŋ5	
忙	mɑŋ2	
憂	iɵ1	
快	kʰuai5	
念	niɛɪ̃5	
忽	fʊ7	
忿	xuẽ5	
懷	xuai2	
態	tʰai5	
慪	ɵ5	
怒	nɵ5	
怕	pʰa5	
怖	pʊ5	
憐	niɛɪ̃2	
思	sɿ1	
怠	tai5	
急	tɕɪ7	
性	ɕɪ̃5	
怨	yɛɪ̃5	
怪	kuai5	
怯	tɕʰiɛ7	
怱	tsʰoŋ1	
總	tsoŋ3	
恃	ʂʅ5	
恄	ɕɪ1	指声音或动作令人恐惧或不适。她哭得～惶人
戀	niɛɪ̃5	
恆	xẽ2	
恕	ʂʊ5	
恢	xuei1	
恤	ɕʏ7	
恨	xẽ7	
恩	ŋẽ1	
恭	koŋ1	
息	ɕɪ7	
恰	tɕʰia7	
懇	kʰẽ3	
恶	ŋo7	
惱	nʌ3	
悄	tɕʰiʌ3	
悉	ɕɪ7	
悟	vʊ5	
悠	iɵ2	
患	xuaɪ̃5	
悅	yɛ7	
懸	ɕyɛɪ̃2	
憫	mɪ̃3	
悲	pei1	
情	tɕʰɪ̃2	
驚	tɕɪ̃1	
惑	xo7	
惜	ɕɪ7	
惟	uei2	
惠	xuei5	
懼	tɕʏ5	
慘	tsʰaɪ̃3	
懲	tʂʰẽ2	
慚	tsʰaɪ̃2	
慣	kuaɪ̃5	
惰	tv5	
惹	ʐai3	
愁	tʂʰɵ2	
愈	ʏ3	
愈	ʏ5	
愉	ʏ2	
意	ɪ5	
愚	ʏ2	
感	kaɪ̃3	
憤	xuẽ5	
愧	kʰuei5	
願	yɛɪ̃5	
慈	tsʰɿ2	
慌	xuɑŋ1	
慎	ʂẽ5	
慕	mʊ5	
慢	maɪ̃5	
慧	xuei5	
慨	kʰai5	
慰	uei5	
憋	piɛ7	
憎	tsẽ5	
憠	tɕyɛ7	
憨	xaɪ̃1	
憾	xaɪ̃5	
懂	toŋ3	
懈	ɕiɛ5	
懊	ŋʌ3	
懊	ŋʌ5	
懶	naɪ̃3	
懵	moŋ3	
戈	ko1	
戊	ʊ5	
戌	ɕʏ7	
戍	ʂʊ5	
戲	ɕɪ5	
成	tʂʰẽ2	
我	o3	
戒	kai5	
或	xuɛ7	
戰	tʂaɪ̃5	
戚	tɕʰɪ7	
戟	tɕɪ7	
截	tɕiɛ7	
戳	tʂʰo7	
戴	tai5	
戶	fʊ5	
戽	fʊ5	
房	xuɑŋ2	
扁	piɛɪ̃3	
扇	ʂaɪ̃5	
才	tsʰai2	
扎	tʂa7	
扑	pʰʊ7	
打	ta3	
扔	ʐẽ2	
