#漢字	音標	解釋
#簡稱	/	淸末蘇州讀書音
#全稱	/	《鄉音字類》所載的淸末蘇州讀書音
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-03-25
#錄入人	/	樛木
#參考資料	/	《一百年前的蘇州話》《蘇州同音字匯1892》《鄉音字類》
#說明	/	符號說明：IPA後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。<br><br>聲調：[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23<br>關於調值：Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。<br><br>來源：樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》<br>	<br>說明1：《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入。並且韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]。<br>此外，《鄉音字彙》聲調不分陰陽，則聲母爲次濁者除有資料支持者外，本人一般作歸入陽調處理。<br><br>說明2：	本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。<br><br>說明3：	本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修。<br><br>說明4：	本表採用的擬音主要出自蔡佞《19世紀末的蘇州話》，但沒有採用ɒ、iɒ、uɒ，ɒʔ、iɒʔ、uɒʔ，依舊採用ɑ、iɑ、uɑ，ɑʔ、iɑʔ、uɑʔ<br>	<br>說明5：《蘇州同音字彙1892》中in韻分[iən][iɪn]，但分法存疑，一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]。其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；<br>該時期的蘇州話語音特點：<br>① 仍有字分[o][uo]，但也在合併階段；<br>② 今e韻分[-e]和[-æ̃]，ie韻分[-ie]和[-iæ̃]，大部分[əu]讀作[u]，還有少數讀[uo]。<br>③ [yn]都讀[yən]， [øʏ]都讀[əʏ]；<br>④ [iø]有人擬作[yø]，[io]有人擬作[yo]，[ioŋ]有人擬作[yoŋ]，[ioʔ]有人擬作[yoʔ]，[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]），這是是因爲介音i受主元音影響而變圓唇。<br><br>說明6：發音盡量以其資料中記載爲准。記音以蔡佞《19世紀末的蘇州話》中的擬音爲基準。但擬聲字的讀音以資料記載爲準，不類推。<br><br>說明7：	部分元音從19世紀末至今的演變路徑（可能）：<br>ʯ→ʮ <br>ɔ→ɒ→o/ɑ→o/a（新派） <br>部分u→ᵊu→əu 部分u→β̩/v̩ 部分u→o <br>大部分uo→o 少部分uo→o→u→ᵊu→əu <br>i→iⱼ→ɨ̻ y→yⱼ <br>e→ᴇ ie→iᴇ→iɪ→i ue→uᴇ <br>ɐɵ→ɐə→ɐ→æ <br>iɐɵ→iɐə→iɐ→iæ <br>əʏ→øʏ→eɪ（新派） iʏ→y <br>æ̃→ɛ→ᴇ iɛ̃→iɛ→iᴇ→iɪ→i uæ̃→uɛ→uᴇ <br>œ̃→ø iœ̃→iø uœ̃→uø <br>iən→iɪn→in iɪn→in yən→yn <br>aŋ→ã iaŋ→iã uaŋ→uã <br>ɔŋ→ɒ̃→ɑ̃→ã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） uɔŋ→uɒ̃→uɑ̃→uã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） <br>部分iɪʔ→iəʔ yɪʔ→yəʔ uoʔ→oʔ<br>	<br>說明8：在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]，爲本表所採用的翹舌音擬音。陸基的翹舌音記爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話資料記音相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]。其實在《鄉音字類》時代，[dz][z]、[dʐ][ʐ]就已出現相混的現象了，且之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。
塒	ʒʯ2	
塓	miɪʔ8	
塔	tʰɑʔ7	
塔	tʰaʔ7	
塗	du2	
塘	dɔŋ2	
塚	tʃoŋ3	
塞	se5	邊～
塞	səʔ7	陽溝～没哉
塠	tse1	
塢	u3	桃花～
塤	ɕyən1	古代用陶土燒製的一種吹奏樂器，圓形或橢圓形，有六孔
塤	ɕiœ̃1	
填	diɛ̃2	～空檔：頂替，填補空缺
塵	dʒən2	灰～
塹	zæ̃6	
塾	ʒoʔ8	
墀	dʒʯ2	
墁	mœ̃6	
境	tɕiɪn3	邊～
墄	tsʰiɪʔ7	
墅	zɿ4	蠡～
墉	ɦioŋ2	
墊	diɛ̃6	～子
墊	tiɛ̃5	讀書音
墐	dʑiɪn2	
墐	dʑiɪn6	
墓	mo6	
墓	m̩6	白讀：陸～
墜	ze6	
墝	tɕʰiɐɵ1	
增	tsən1	
墟	ɕy1	～墓
墠	ʒœ̃6	
墡	ʒœ̃6	白～
墦	væ̃2	墳墓
墨	məʔ8	筆～
墩	tən1	
墫	tsən1	
墫	tsiɪn1	
墮	du6	～落
墳	vən2	～墓
墺	ɐɵ5	
墼	tɕi1	炭～。聲調取自普通話讀法。應讀[tɕiəʔ⁴]
墾	kʰən3	開～
壁	piɪʔ7	
壅	ioŋ3	掗～
壅	ioŋ5	
壇	dæ̃2	花～
壎	ɕiœ̃1	
壐	si3	同“璽”
壑	hoʔ7	溝～
壒	ke5	
壓	ɑʔ7	～牢仔
壕	ɦɐɵ2	戰～
壖	ʒœ̃2	
壘	le4	
壙	kʰuɔŋ5	指葬穴
壚	lu2	①黑色堅硬的土。②舊時就點裏安放酒甕的土台子
壝	ɦue6	
壞	ɦuɑ6	白讀
壞	ɦue6	文讀
壟	loŋ4	
壡	hoʔ7	
壤	ʒaŋ4	
壩	po5	
士	zɿ6	
士	zɿ4	
壬	ȵiɪn2	白讀
壬	ʒən2	
壯	tʃɔŋ5	强～
殼	kʰoʔ7	
壷	kʰuən3	
壹	iɪʔ7	
壺	ɦu2	茶～
壻	si5	女～
壽	ʒəʏ6	
夏	ɦio6	讀書音
夏	ɦo4	又音
夏	ɦo6	白讀：～天
夏	ɦio6	
夔	ɡue2	
夕	dziɪʔ8	
夕	ziɪʔ8	除～
外	ŋɑ6	白讀：門～頭
外	ɦue6	
夙	soʔ7	
多	tɔ1	白讀：～葛（好多個）
多	tu1	文讀：差仿弗～（差不多）
夜	ie5	文讀
夜	ɦiɑ6	
夜	iɑ5	
夠	kəʏ5	
夢	moŋ6	
夤	ɦiən2	
夥	hu3	～計
大	du6	白讀：～人，成人，舊時青年男女要成家立業後才稱“大人”
大	dɑ2	理論上應讀陽去
天	tʰiɛ̃1	青～
太	tʰɑ5	老～～
太	tʰe5	文讀
夫	fu1	
夬	kuɑ5	
夬	kue5	
夭	iɐɵ1	
央	iaŋ1	中～
夯	haŋ1	打～
失	ʃəʔ7	
夷	ɦi2	
夸	kʰuo1	
夾	kaʔ7	白讀：～裏
夾	kɑʔ7	
夾	tɕiaʔ7	
奄	iɛ̃3	①覆蓋。②忽然，突然。③氣息微弱
奇	dʑi2	
奈	ne6	
奉	voŋ4	
奎	kʰue1	
奏	tsəʏ5	～樂
奐	huœ̃5	
契	tɕʰi5	田～
奔	pən1	～去
奕	ɦiɪʔ8	
獎	tsiaŋ3	
套	tʰɐɵ5	手～
奘	zɔŋ4	
奚	ɦi2	
奠	diɛ̃6	～定
奡	ŋɐɵ6	
奢	ʃe1	讀書音
奢	ʃɑ1	讀書音
奢	ʃəʏ1	～侈
奧	ɐɵ5	
奪	dəʔ8	
奭	ʃəʔ7	
奮	fən5	～勉
奰	bi6	
女	ȵy4	～客
奴	nu2	～～：青年女子自稱，多見於傳統戲劇和曲藝中
奶	nɑ1	～～
奸	tɕiɛ̃1	文讀：～细
奸	kœ̃1	
好	hɐɵ3	
妁	tʃɑʔ7	
如	ʒʯ2	
妃	fi1	
妄	mɔŋ6	
妄	vɔŋ6	～想
妊	ʒən2	
妍	ȵiɛ̃2	艷麗，美好
妐	tʃoŋ1	
妓	dʑi6	
妖	iɐɵ1	
妗	tɕiɪn1	
妘	ɦyən2	姓
妙	miɐɵ6	
妝	tʃɔŋ1	
妢	vən2	
妣	pi1	
妤	ʃʯ1	
妤	ʃʯ3	
妥	tʰu3	～當
妨	fɔŋ1	
妬	tu5	～忌
妮	ȵi2	
妲	taʔ7	
妵	tʰəʏ3	
妹	me6	
妻	tsʰi1	夫～
妾	tsʰiɪʔ7	
姁	ɕy1	
姆	mu4	聲調類推
姆	mo4	聲調類推
姆	m̩2	～[pɑ]道理，可能同“嘸不道理”
姊	tsiɑ3	白讀
姊	tsɿ3	
姊	tsi3	～妹
始	ʃʯ3	
姐	tsiɑ3	白讀：～～
姐	tsi3	
姑	ku1	～歇：老派，現在，這時候。|～夫：姑母的丈夫
姓	siɪn5	～名
委	ue3	
委	ue3	～員
姍	se1	
姘	pʰiən1	～頭：非夫妻關係而發生性行爲的男女
姚	ɦiɐɵ2	姓
姜	tɕiaŋ1	姓
姝	tʃʰʯ1	
姞	tɕiɪʔ7	
姣	tɕiɐɵ3	
姣	tɕiɐɵ1	
姤	kəʏ5	
姥	mu4	聲調類推
姦	kæ̃1	白讀
姦	tɕiɛ̃1	文讀
姨	ɦi2	
姪	dʒəʔ8	
姫	tɕi1	
姱	kʰuo1	
姹	tsʰo3	
姹	tsʰo5	
姺	siɪn1	
姻	iɪn1	婚～
姽	kue3	
姿	tsɿ1	～質
娀	soŋ1	
威	ue1	～勢
娃	uo1	
娉	pʰiɪn1	～婷：形容女子姿態美好
娉	pʰiɪn1	
娌	li4	
娑	su1	婆～
娒	me1	嘸～，指伯母
娓	vi4	
娘	ȵiaŋ2	
娛	ȵy2	
娜	nu4	妸～
娟	tɕiœ̃1	
娠	ʃən1	
娣	di6	
娥	ŋu2	①美好的樣子。②美女
娩	miɛ̃4	分～
娩	ɦuæ̃4	讀音來源不明
娬	vu4	
娛	ȵy2	～樂
娵	tsəʏ1	
娶	tsʰi3	
娶	tsʰi5	嫁～
娼	tʃʰaŋ1	～妓
婀	u1	～娜：輕盈柔美的樣子
婁	ləʏ2	～門
婆	bu2	～～
婉	uœ̃3	
婊	piɐɵ3	～子
婐	lu4	讀音存疑
婕	ziɪʔ8	
婚	huən1	～姻
婞	ɦiɪn4	
婞	ɦiən4	又音。據《集韻》：下耿切
婢	bi6	
婣	iɪn1	
婦	vu6	媳～。該字本調爲陽上
婪	lœ̃2	
婭	io3	
婺	vu6	
婼	tʃʰɑʔ7	
婿	si5	
媊	tsiɛ̃1	女～：星名。《集韻》：將仙切
媒	me6	
媒	me2	～人
媕	iɛ̃1	
媕	iɛ̃3	～婀：遊移不決的樣子
媚	me6	
媛	ɦiœ̃6	
媞	di2	
媟	siɪʔ7	
媢	mɐɵ6	
媧	uo1	
媮	tʰəʏ1	
媯	kue1	
媳	siən1	可能是誤以爲“新婦”寫作“媳婦”所致
媳	siɪʔ7	
媵	yən5	
媸	tʃʰʯ1	
媺	me3	
媽	mɑ1	～～
媽	mɑ3	也有可能讀陽上
媾	kəʏ5	
媿	ɡue6	
嫁	kɑ5	白讀
嫁	tɕiɑ5	
嫂	sɐɵ3	
嫄	ȵiœ̃2	
嫉	dziɪʔ8	～妒
嫉	ziɪʔ8	
嫋	ȵiɐɵ4	
嫌	ɦiɛ̃2	～疑
嫐	ȵiɐɵ4	疑爲“嬲”
嫖	biɐɵ2	
嫖	pʰiɐɵ1	
嫗	y5	
嫘	le2	
嫚	mæ̃6	①輕視，侮辱：～駡。②通“慢”，傲慢無禮；懈怠，怠惰
嫜	tʃaŋ1	
嫟	ȵiɪʔ8	
嫠	li2	
嫡	tiɪʔ7	
嫣	iɛ̃1	美艷、艷麗
嫦	dʒaŋ2	
嫩	nən6	
嫫	mo2	
嫵	vu4	
嫻	ɦiɛ̃2	～熟
嫽	liɐɵ2	
嫿	ɦuaʔ8	
嬃	si1	
嬈	ʒɐɵ2	
嬈	ʒɐɵ4	
嬉	ɕi1	遊～
嬋	dʒœ̃2	
嬌	tɕiɐɵ1	～姐姐
嬖	pi5	
嬗	ʒœ̃6	
嬙	ziaŋ2	
嬛	tɕiœ̃1	
嬡	e5	
嬪	piɪn1	
嬰	iɪn1	育～堂
嬲	ȵiɐɵ4	
嬴	ɦiɪn2	
嬸	ʃən3	～～
嬿	iɛ̃5	①美好的。②安樂、閒適
孀	ʃɔŋ1	
孀	sɔŋ1	白讀：孤～
孃	ȵiaŋ1	
孃	ȵiaŋ2	
孌	lœ̃4	
孌	lœ̃6	
子	tsɿ3	
孑	tɕiɪʔ7	
孔	kʰoŋ3	～聖人
孕	ɦyən6	～婦
孕	yən5	身～。聲調類推
孕	yən5	
字	zɿ6	
存	dzən2	～心：故意；特意
存	zən2	
孚	fu1	
孛	bəʔ8	
孜	tsɿ1	
孝	ɕiɐɵ5	～子
孟	maŋ6	白讀：姓
孟	mən4	
季	tɕi5	一年四～
孤	ku1	～孀：寡婦
孥	nu2	①子女。②亦指妻子和兒女
孩	ɦe2	小～子
孫	sən1	～子
孬	tɕʰiʏ1	正字應爲“恘”，表示壞、不好
孰	ʒoʔ8	
孱	tsʰæ̃5*	白讀：～頭
孱	zæ̃2	～弱
孳	tsɿ1	
學	ɦoʔ8	白讀：～好樣
學	ɦioʔ8	文讀
孺	ʒʯ4	
孺	ʒʯ6	
孽	ȵiɪʔ8	作～
孿	lœ̃2	
孿	lœ̃6	
宂	ʒoŋ4	
宄	kue3	
宅	dzɑʔ8	白讀：～基，住宅的地基
宅	zɑʔ8	白讀
宅	zəʔ8	
宇	y3	
守	ʃəʏ3	
安	œ̃1	
宋	soŋ5	姓
完	ɦuœ̃2	
宏	ɦoŋ2	
宑	ziɪn6	
宓	miɪʔ8	
宓	voʔ8	
宕	dɔŋ6	
宗	tsoŋ1	祖～
官	kuœ̃1	～場
宙	dʒəʏ6	
定	diɪn6	～盤星
宛	uœ̃3	
宜	ȵi2	便～。今該字在“便宜”中讀作[ȵiəʔ]
客	kʰəʔ7	
客	kʰɑʔ7	白讀：～人
宣	siɛ̃1	～傳
室	ʃəʔ7	
宥	iʏ5	寬～
宦	ɦuæ̃6	～官
宧	ɦi2	
宮	koŋ1	
宬	dʒən2	
宮	koŋ1	
宰	tsæ̃3	理論應讀[tse⁵¹]
宰	tse3	～牛
害	ɦe6	～蟲應該除去
宵	siɐɵ1	鬧元～
家	kɑ1	白讀
家	tɕiɑ1	文讀
宷	tsʰe3	
宸	ʒən2	
容	ɦioŋ2	～貌
宼	kʰəʏ5	姓
宿	səʏ5	星～
宿	soʔ7	隔～
寁	tsæ̃3	疾速，快速
寂	dziɪʔ8	～寞
寂	ziɪʔ8	
寃	iœ̃1	
寃	iœ̃1	同“冤”
寄	tɕi5	～信
寅	ɦiən2	～吃卯糧：指入不敷出，預先支用了以後的收入
密	miɪʔ8	
寋	tɕiɛ̃3	
富	fu3	
寎	piɪn3	
寐	me6	
寒	ɦœ̃2	飢～交迫
寓	ȵy6	客～
寔	ʒəʔ8	
寕	ȵiɪn2	
寘	tʃʯ5	
寞	moʔ8	
察	tsʰɑʔ7	
察	tsʰaʔ7	視～
寠	tɕy3	
寡	kuo3	～居
寢	tsʰiɪn3	～室
寤	ŋu6	①睡醒。②覺悟，醒悟
寥	liɐɵ2	
實	ʒəʔ8	老～
寧	dʒʯ4	
寧	ȵiɪn2	
寨	ze6	原書記作[sᴇ]，聲調未知
審	ʃən3	～問
寪	ue3	
寫	siɑ3	～字
寬	kʰuœ̃1	～厚
寮	liɐɵ2	
寰	ɡuæ̃2	大地、宇內：～宇
寰	ɦuæ̃2	～宇
寵	tʃʰoŋ3	得～
寶	pɐɵ3	
寸	tsʰən5	～金地
寺	zɿ6	
封	foŋ1	
射	ʒɑ6	讀書音
射	ʒəʏ6	聲母可能存疑
射	ʒoʔ8	
射	zo6	白讀：太陽～過來
射	zoʔ8	白讀：～箭
將	tsiaŋ1	～要
將	tsiaŋ5	～官
專	tʃœ̃1	～心致志學會一種本事
尉	ɦue6	
尊	tsən1	～長
尋	dziɪn2	
尋	ziɪn2	～開心：自娛自樂；開玩笑
對	te5	
導	dɐɵ6	
小	siɐɵ3	
少	ʃɐɵ3	多～
尖	tsiɛ̃1	～屁股：指好動而坐不住的人
尚	ʒaŋ6	
尚	zɔŋ6	和～
尟	siɛ̃3	不～，不少
尤	ɦiʏ2	姓
尨	bɔŋ2	
尪	uɔŋ1	
尬	kɑ5	白讀：尲～
尰	tʃoŋ3	
就	dziʏ6	成～
就	zəʏ6	
尵	de2	
尷	kæ̃1	～尬
尸	ʃʯ1	
尹	iɪn3	①治理。②官名。③姓。也可能讀陽上
尺	tʃʰəʔ7	
尺	tsʰɑʔ7	白讀：公～
尻	kʰɐɵ1	
尼	ȵi2	
尾	ȵi4	
尾	vi4	
尿	ʃʯ1	白讀。本音
尿	ʃʯ5	白讀。又音
局	dʑioʔ8	
屁	pʰi1	
屁	pʰi5	～股
居	tɕy1	
屆	kɑ5	白讀
屆	tɕiɑ5	文讀
屈	tɕʰyɪʔ7	姓
屆	tɕiɑ5	
屋	oʔ7	
屌	tiɐɵ3	
屍	ʃʯ1	
屎	sɿ3	
屎	ɕi1	
屏	biɪn2	～風
屏	biɪn2	
屐	dʑiɪʔ8	木～
屑	siɪʔ7	木～
展	tʃœ̃3	
屙	u1	病
屜	tʰi5	抽～
屠	du2	姓
屢	li6	
屣	si3	
層	dzən2	千～餅
層	zən2	
履	li4	
屧	siɪʔ7	
屨	tɕy5	
屩	tɕiɑʔ7	
屬	ʒoʔ8	
屭	ɕi5	
屯	tʃən1	
屯	dən2	
山	sæ̃1	篤定泰～：强調一定能做到、完成
山	se1	
屴	liɪʔ8	
屺	tɕʰi3	
屼	ŋəʔ8	
岌	tɕiɪʔ7	
岏	ȵiœ̃2	
岐	dʑi2	
岑	zən2	
岔	tsʰo5	三～路口
岠	dʑy4	
岡	kɔŋ1	
岣	kəʏ3	
岩	ŋæ̃2	靈～山
岫	zəʏ6	
岫	ɦiʏ2	據《集韻》：夷周切，音由
岯	pʰe1	
岱	de6	
岱	de4	本音陽去
岳	ŋoʔ8	姓
岵	ɦu4	有草木的山
岷	miɪn2	
岸	ŋœ̃6	
峋	siɪn1	
峙	ʒʯ4	
峨	ŋu2	～眉山
峩	ŋu2	同“峨”
峭	tsʰiɐɵ5	
峯	foŋ1	山～
峱	nɐɵ2	
峴	ȵiɛ̃6	小而險峻的山嶺。讀音來源不明
島	tɐɵ3	海～
峹	du2	～山，卽會稽山
峽	ɦiaʔ8	
崆	kʰoŋ1	
崇	dzoŋ2	
崇	zoŋ2	
崋	ɦuo6	～夏
崋	ɦuo6	～山
崍	le2	
崎	tɕʰi1	
崑	kʰuən1	～山
崒	ze6	
崒	tsʰəʔ7	
崔	tsʰe1	
崖	iɑ1	
崙	lən2	崑～山
崚	liɪn2	
崛	dʑyɪʔ8	
崝	tsən1	
崡	ɦœ̃2	
崢	tsən1	
崤	ɦiɐɵ2	
崦	iɛ̃1	～嵫：①山名，在甘肅省。②古代指太陽落山的地方，如“日薄崦嵫”
崧	soŋ1	
崩	pən1	山～
崱	tsʰəʔ7	
嵇	tɕi1	
嵊	dʒən6	
嵋	me2	
嵌	kʰæ̃1	
嵌	kʰæ̃5	白讀
嵌	kʰe5	
嵎	ȵy2	
嵐	lœ̃2	
嵞	du2	～山，卽會稽山
嵩	soŋ1	
嵫	tsɿ1	
嵬	ŋue2	①高而不平的樣子。②狂妄的樣子：～說
嵯	tsʰu1	～峨。《集韻》：倉何切
嵰	tɕʰiɛ̃3	山險峻貌
嵲	ȵiɪʔ8	
嶁	ləʏ4	
嶂	tʃaŋ5	
嶇	tɕʰy1	
嶒	zən2	
嶓	pu1	
嶔	tɕʰiən1	
嶙	liən2	
嶞	du6	狹長的（山）
嶟	tsən1	
嶠	dʑiɐɵ6	
嶡	tɕyɪʔ7	
嶤	ɦiɐɵ2	
嶧	ɦiɪʔ8	
嶨	ɦioʔ8	
嶮	ɕiɛ̃3	高峻的樣子
嶷	ȵi2	
嶸	ɦioŋ2	
嶺	liɪn4	山～
嶼	zi4	
嶽	ŋoʔ8	
巇	ɕi1	
巉	zæ̃2	
巋	ŋue2	理論應讀溪母，平聲或上聲
巍	ŋue2	高大：～峨
巑	zœ̃2	
巒	lœ̃2	
巔	tiɛ̃1	山頂：～峰
巘	ȵiɛ̃6	①山峰，山頂：絕～。②艱險，險惡
川	tʃʰœ̃1	四～
州	tʃəʏ1	
巡	dziɪn2	
巡	ziɪn2	～捕：舊時租界內的警察
巢	zɐɵ2	
工	koŋ1	做～
左	tsu3	姓
左	tsi1	～手。本調不明
巧	tɕʰiɐɵ3	
巧	tɕʰiɐɵ5	
巨	dʑy4	
巫	vu2	
差	tsʰɑ1	白讀：～使
差	tsʰo1	
己	tɕi3	自～
已	i3	～經
巳	zɿ6	
巳	zɿ4	
巴	po1	
巷	ɦɔŋ6	大街小～
巷	ɦiɔŋ6	文讀
巹	tɕiən3	
巽	sən5	
巾	tɕiɪn1	手～：毛巾
幣	tsaʔ7	
市	zɿ6	
布	pu5	～穀
帆	væ̃2	機～船：在普通木船上裝上柴油發動機
希	ɕi1	～望
幃	ɦue2	
帑	tʰɔŋ3	
帕	pʰoʔ7	手～子
帖	tʰiɪʔ7	～子
帚	tʃəʏ3	掃～
帛	bəʔ8	
帛	bɑʔ8	
帝	ti5	上～
帟	ɦiɪʔ8	
帥	se5	大元～
帨	se5	
師	sɿ1	老～
席	dziɪʔ8	
席	ziɪʔ8	～柴：亂七八糟，忙亂
幫	pɔŋ1	
帳	tʃaŋ5	
帴	tsiɛ̃3	①用來包裹嬰兒的布巾。②狹小
帶	tɑ5	白讀
帶	te5	文讀
帷	ɦue2	
常	dʒaŋ2	
幗	kuəʔ7	
帽	mɐɵ6	～子
幀	tʃən5	
幃	ɦue2	
幄	oʔ7	
幅	foʔ7	
幈	biɛ̃4	同“屏”
幌	huɔŋ3	
幎	miɪʔ8	
幐	dən2	
幔	mœ̃6	
幕	mo6	開～
幕	moʔ8	
幗	kuəʔ7	巾～
幘	tsəʔ7	
幛	tʃaŋ5	
幟	tʃʯ5	
幢	ʒɔŋ2	
幣	bi6	
幦	miɪʔ8	
幨	tʃʰœ̃1	
幩	vən2	
幪	moŋ2	
幫	pɔŋ1	～忙
幬	dɐɵ6	
幭	miɪʔ8	
幰	ɕiɛ̃5	馬車上的帷幔。理論應讀陰上
干	kœ̃1	
平	biɪn2	～場～地：平坦的場地
平	biɪn2	
年	ȵiɛ̃2	～底下：陰曆十二月二十日之後
并	piɪn1	～州。亦同“併”
并	piɪn1	
幸	ɦiən6	
幸	ɦiən4	本音
幹	kœ̃5	
幺	iɐɵ1	
幻	ɦuæ̃6	變～
幼	ɦiʏ6	
幼	iʏ5	～稚園
幽	iʏ1	
幾	tɕi1	
庀	pi5	
庂	tsəʔ7	
庄	tʃɔŋ1	
庇	pʰi5	
庇	pi5	
庈	dʑiən2	
牀	ʒɔŋ2	～鋪
牀	dʒɔŋ2	
庋	kue3	
序	dzi6	
序	zi4	～言
底	ti3	
庖	bɐɵ2	
店	tiɛ̃5	～家：商店
庚	kaŋ1	白讀
庚	kən1	
庛	tsʰɿ5	
府	fu3	
庠	dziaŋ2	
庠	ziaŋ2	～序：古代的地方學校
庡	i3	
庤	ʒʯ4	
庥	ɕiʏ1	
度	du6	～死日：混日子
度	doʔ8	猜～
座	dzu6	～位
座	zu6	
庪	kue3	
庫	kʰu5	石～門：構造十分牢固結實的大門，門框爲四塊整的花崗石砌成
庭	diɪn2	
庮	ɦiʏ4	
庳	pe1	
庳	bi6	
庶	ʃʯ5	
康	kʰɔŋ1	姓
庸	ɦioŋ2	
庹	tʰoʔ7	有一～長
庾	y3	
庿	miɐɵ6	
廀	səʏ1	
廁	tsʰɿ5	
廂	siaŋ1	～房
廄	tɕiʏ5	
廆	kue3	
廈	ɦio6	讀書音
廈	ɦio6	
廉	liɛ̃2	清～
廊	lɔŋ2	～下
廋	səʏ1	
廌	ʒʯ4	
廑	dʑiɪn2	
廓	kʰuoʔ7	～清：肅清、澄清
廖	liɐɵ6	姓
廗	dɑ6	俚有兩～房子。聲調類推
廚	dʒʯ2	～子
廛	dʒœ̃2	
廝	sɿ1	
廞	ɕiən1	
廟	miɐɵ6	
廠	tʃʰaŋ3	工～
廡	fu3	
廢	fi5	～物
廣	kuɔŋ3	
廧	ziaŋ2	
廨	ɦiɑ6	
廩	liɪn4	
廬	li2	
廯	siɛ̃3	糧倉。《廣韻》：息淺切
廱	ioŋ1	
廳	tʰiɪn1	大～
延	ɦiɛ̃2	～線：縫衣針
廷	diɪn2	
廸	diɪʔ8	
建	tɕiɛ̃5	～設
廻	ɦue2	
廼	ne2	
廿	ȵiɛ̃6	
廿	ȵiɑ6	～五
弁	biɛ̃6	馬～
异	ɦi6	
弄	loŋ6	
弆	tɕy3	
弇	iɛ̃1	
弈	ɦiɪʔ8	
弊	bi6	
弋	ɦiɪʔ8	
式	ʃəʔ7	樣～
弑	ʃʯ5	
弓	koŋ1	
弔	tiɐɵ5	
引	iən3	也可能讀陽上
引	ɦiən4	～線
弗	fəʔ7	
弘	ɦoŋ2	
弟	di6	
弟	di4	
弢	tʰɐɵ1	
弧	ɦu2	①木弓。②圓周的任意一段
弨	tʃʰɐɵ1	
弩	nu4	用機械力量發射的彈弓：～箭
弭	mi4	
弰	sɐɵ1	
弱	ʒɑʔ8	～國
張	tʃaŋ1	姓
強	tɕʰiaŋ3	勉～
強	dʑiaŋ2	先下手爲～
弸	pən1	
强	tɕʰiaŋ1	
弼	biɪʔ8	
彀	kəʏ5	
彇	siɐɵ1	
彈	dæ̃2	～眼落睛：引人注目，非常醒目；發怒，怒目圓睜
彈	dæ̃6	～皮弓：彈弓
彊	dʑiaŋ2	
彌	mi2	阿～陀佛
彌	mi4	
彍	kʰuoʔ7	同“彍”，拉滿弓弩
彎	uæ̃1	髈～子：大腿與小腿之間的關節
當	iɑ1	
彖	tʰœ̃5	
彗	ɦue6	
彘	dʒʯ6	
彙	ɦue6	
彝	ɦi2	
形	ɦiɪn2	～狀
彤	doŋ2	
彥	ȵiɛ̃6	古代指有才學、德行的人
彧	ioʔ7	
彲	tʃʰʯ1	
彩	tsʰe3	五～
彪	piɐɵ1	
彫	tiɐɵ1	
彬	piɪn1	～～有禮
彭	bən2	
彭	baŋ2	姓
彯	pʰiɐɵ1	
彰	tʃaŋ1	～明較著
影	iɪn3	～戲：電影
