#漢字	音標	解釋
#簡稱	/	冷水江鐸山
#全稱	/	冷水江鐸山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-02-05
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（鐸山）方言音系》
#說明	/	
到	tɑ5	
制	tsɿ5	～服;～造
刷	sɔ1	
券	kʰuɪ̃15	
刺	tsʰia1	～毛衣：织毛衣
刺	tsʰɿ15	
刻	kʰe15	
劊	kʰua15	
劑	tsi5	
剃	tʰi15	
削	sø1	
前	sɪ̃2	
剮	kɔ3	
劍	kɪ̃5	
剖	pʰø3	～腹产
剝	pʊ1-	～皮
剝	pʊ15=	～削
劇	tɕiəu5	～烈;戏～
剩	ɕin6	
剪	tsɪ̃3	
副	fu5	一～
割	kuε1	
劈	pʰia1	
力	li5	
勸	kʰuɪ̃15	
辦	bã15	
功	kən1	
加	tʃɔ1	
務	u5	
劣	le1	很不听话
劣	le15	
動	dən4	
努	ləu3	
劫	ke15	
勁	tɕin5	干～
勞	lɑ2	
勢	sɿ5	
勃	pʊ15	
勇	in3	
勉	mɪ̃3	
勋	fin1	
勒	le15	
勘	kʰã1	
募	mu5	
勤	ɕin2	
勾	tʃø1	
勻	min2	
包	pɑ1	
化	xɔ5	
北	pε15	
匙	sɿ5	
匠	siã4	木～
匡	kʰõ1	
匣	ʃɔ15	
匪	fi3	
匹	pʰi1	
區	tɕʰiəu1	地～
醫	i1	
匾	pɪ̃3	
十	ɕi1	三～
十	ɕi5	
千	tsʰɪ̃1	
升	ɕin1	
午	u3	
半	põ5	
華	xɔ2	中～;～山
協	xe15	
卑	pε1	
卒	tsʰəu15	兵～
卓	tsʊ15	
單	tã1	
賣	mε5	
南	lã2	
博	pʊ15	
卜	pʰu15	
占	kɪ̃5	
盧	ləu2	
卤	ləu3	
卦	kɔ5	
臥	ʊ5	
衛	ui5	
卯	mɑ3	
印	in5	
危	ui2	
即	tsi15	
卵	lõ3	
卷	kuɪ̃5	～子
卷	kuɪ̃15	～毛;衣服～了:衣服皱了
卸	se15	～货
廠	tʃʰõ3	
廳	tʰiã1	～屋
历	li5	～史;日～
壓	iɔ15	
厭	iã5	吃～了
厭	ɪ̃5	
廁	tsʰe15	
厘	li2	
厚	xe4	～薄
厚	xe6	憨～
原	uɪ̃2	
廂	siã1	
厦	sɔ5	披～:偏厦
厦	ʃɔ15	～门
廚	fy2	
厮	sɿ1	
去	tɕʰi15	
去	tɕʰin15	～年子:去年
縣	xɪ̃15	
参	tsʰã1	
参	sɪ̃1	人～
又	iəu5	
叉	tsʰɔ1	
及	tɕʰi15	～格
友	iəu3	
雙	sõ1	
反	fã3	
发	fa1	～财
发	fa15	～票
叔	ɕiəu15	
取	tsʰiəu3	
受	ɕiəu15	
變	pɪ̃5	
敘	siəu15	
叛	pʰõ15	
口	tʃʰø3	
古	ku3	
句	tɕiəu5	
另	lø15-	～外
叨	tɑ1	
叩	kʰʊ15	
只	tʃɔ1	一～
只	tsɿ5	～有
叫	tʃø5	
召	ʃø15	
可	kʰʊ3	
台	dε2	～湾
史	sɿ3	
右	iəu5	
葉	e5	
號	xɑ6-	
號	xɑ15=	～码
司	sɿ1	
嘆	tʰã15	
吃	tʃʰɔ1	
各	kʊ15	
合	kuε1	～不得:合不来
合	xʊ15	
吉	tɕi2	
吊	tø5	
同	dən2	
名	miã2	
后	xe4-	～天
后	xe6-	～生个:年轻人
后	xe15=	～悔
吏	li5	
吐	tʰəu15	～痰
向	ʃõ5	
嚇	xɔ1	～一跳
吕	liəu3	
君	kuen1	
吞	tʰin1	
吟	in2	
否	fe3	
吨	tin5	
含	xã2	
听	tʰiã15	～见
听	tʰin15	～你:随你
吭	kʰõ3	咳嗽
启	tɕʰi3	
吴	u2	姓
吵	tsʰɑ3	
吸	tɕi2	
吹	tɕʰiəu1	
吾	u2	
呆	ε2	～板
呈	ɕin2	
告	kɑ5	
員	uɪ̃2	
嗆	tsʰõ15	
周	tɕiəu1	
味	fi6	冇～:没味
呼	fu1	
命	miã6	
和	xʊ2	～气;～水泥
咒	tɕiəu5	～恶话:诅咒
咨	tsɿ1	
咬	lε3	程～金
咬	ã5	
咳	kʰe15	～嗽
咸	xã2	
哀	ε1	
品	pʰin3	
哈	xɔ1	娃～～
哈	xa15	～得～里笑:哈哈大笑
響	ʃõ3	
啞	ɔ3	
哥	kʊ5	
哪	la3	
哭	kʰu1	
哲	ke15	
哽	kõ3	
唆	sʊ1	
唐	dõ2	
唔	n1	不
喚	xõ5	
唧	tsi5	词缀，表小称、爱称等
售	ɕiəu2	
唯	ui2	
唱	tʃʰõ15	
啄	tsa5	
啄	tsʰʊ15	
商	ʃõ1	
嗇	se1	～巴子:小气鬼
啮	ã5	
囉	lʊ1	
啼	di2	
喂	y5	
善	xɪ̃15	
喉	xe2	
喊	xã3	
喏	iɔ3	唱～:在神龛前作揖并念念有词
喘	kʰɪ̃3	
喜	ɕi3	
喝	xʊ1	
喧	sɪ̃1	
單	ipa調號	
噴	pʰən15	～香:很香
喻	y5	
嗅	ɕin5	
嗜	sɿ5	
嗤	tsʰɿ1	
嗽	səu5	
嘉	tʃɔ1	
噓	fy1	
囑	ɕiəu15	
嘴	tsiəu3	
噎	e1	
器	tɕʰi15	
嚎	xɑ6	～某个:叫什么
囂	sø1	
嚷	iõ3	
嚼	tsʰø15	
囊	lõ2	
四	sɿ5	
回	mε2	～去
回	fε2	～门
回	uε2	～去
因	in1	
团	dõ2	
園	uɪ̃2	
困	kʰuen15	
圍	ui2	
固	ku5	
國	kuε15	
圖	dəu15	
圓	uɪ̃2	
圈	kʰuɪ̃1	圆～
圞	lõ2	圆的
土	tʰəu3	
聖	ɕin5	
在	sε4-	～不～
在	sε6-	～行:听话
在	sε15=	～于
圭	kui1	
地	di6-	～下
地	di15=	～区
圳	kuen5	～坑:人工水渠
場	ʃõ2	
址	tsɿ3	
均	kuen1	
壞	fa15	
坐	sʊ4	
坑	kʰõ1	小水沟
塊	kʰua3	一～钱
塊	kʰua15	一～布
堅	kɪ̃1	
坛	dã2	
壩	pɔ5	
墳	fin2	
坡	pʰʊ1	
坤	kʰuen1	
坦	tʰã3	
坨	dʊ2	一～:一堆
坨	dʊ15	名词，指被蚊虫等叮咬的包;量词，指一小块的肉、鱼、泥巴等
坪	biã2	
坪	biã15	～里:坪上
坯	pʰε1	
坳	ɑ5	
坼	tsʰɔ1	
垂	si2	
壠	lən5	线条，如裤子的“裥”、头发从中间分开的线等
型	ɕin2	
垒	lε3	
垛	tʊ3	墙～子
垛	dʊ4	把物品整齐叠加
墾	kʰɪ̃3	
墊	dɪ̃15	～钱
垮	kʰɔ3	
壋	tõ5	落～:地方
埃	ε1	
埋	mã2	
城	ɕin2	
域	y5	
埯	ã3	
培	fε2	～土
基	tɕi1	
堂	dõ2	
堆	tε1	
堡	pɑ2	
堤	li2	～坝
堪	kʰã1	容器未盛满
堵	təu3	
塌	tʰa15	
塑	sʊ15	～料
塔	tʰa15	
塘	dõ2	
塞	se1	～倒:塞住
填	dɪ̃2	
境	tɕin5	
墓	mu5	
牆	siã2	
增	tsɪ̃1	
墨	mε5-	～汁
墨	mε15=	～鱼
墩	tin1	
壁	pia1	
壁	pʰi15	
壕	xɑ2	
壤	iõ3	
士	sɿ5	
壬	ɕin2	
壯	tsõ5	
聲	ʃõ1-	～话:讲话
聲	ɕin1=	～音
殼	kʰʊ1	～公:壳
殼	kʰʊ15	脑～
壺	fu2	
處	tɕʰiəu3	相～
處	tɕʰiəu15	～所
備	bi15	
复	fu15	～原;～习
夏	ʃɔ15	～至
夕	si15	
外	uε1	～甥
外	uε5	～婆
多	tʊ1	
夜	iɔ1	
够	ke5	
大	da6-	～势：大家
大	da15=	～学
天	tʰe1	～井
天	tʰɪ̃1	～气
太	tʰa15	
夫	fu1	丈～
央	iõ1	
夯	xõ1	
失	ɕi15	
頭	kui1	
頭	dø2	～发
夷	i2	
夾	ka1	～子
奪	tʊ15	
奇	ɕi2	
奈	la1	～何
奉	xən15	
奮	fin5	
奏	tsø5	
契	tɕʰi15	
奔	pin1	
獎	tsiã3	
套	tʰɑ15	
奠	dɪ̃15	
奧	ɑ5	
女	y3	
奴	ləu2	
奶	la15-	吃～
奶	la3=	～～
奸	kã1	
好	xɑ3	～坏
好	xɑ5	～吃
如	fy2	
妃	fi1	
妓	ɕi15	
妖	iø1	
妙	mø5	
妥	tʰʊ3	
妨	xõ2	
妹	mε1	
妻	tsʰi1	
姆	m1	～妈:奶奶
姊	tsɿ3	～妹
始	sɿ3	
姐	tsia3	
姑	ku1	
姓	kʊ15	
姓	sin5	
委	ui3	
姚	iø2	
姜	tʃõ1	生～;姓
姨	i2	
姻	ɪ̃1	
姿	tsɿ1	
威	ui1	
嬌	tʃø1	
娘	iõ2	母亲的背称
娘	iõ5	～～:伯母
娠	ɕin1	
娩	mɪ̃3	
娛	y2	
娶	tsʰiəu3	
婆	u5-	外～
婆	bʊ2=	～娘:老婆
婚	fin1	
嬰	in1	
嬸	ɕin3	
婿	si15	
媒	mε2	
媚	mε5	
媠	dʊ4	～唧:父亲的姐姐
媳	si15	
嫁	kɔ5	
嫂	sɑ3	
嫌	xɪ̃2	
嫖	pʰø2	
嫡	tʰi15	
嫩	lin1	
嬉	xε1	
嬔	fã5	～猪崽:生小猪
子	tsɿ3	
子	ɕi4	
孔	kʰən3	
孕	in5	
字	sɿ6-	写～
字	sɿ15=	～典
字	ipa調號	
存	sin2	
孫	sin1	
孝	xɑ5	戴～
孟	mən5	
季	tɕi5	
孤	ku1	
學	xʊ5-	～舌:传话
學	ʃʊ15=	～校
孩	xa2	
孵	fu1	
孽	ɪ̃15	造～:可怜
寧	lin2	～乡:地名
寧	in2	～乡:地名
宇	fy4	
守	ɕiəu3	
安	ã1	
宋	sən5	
完	uɪ̃2-	吃～
完	fã2	～成
宗	tsən1	
官	kõ1	
宙	tɕiəu5	
定	tʰin15	落～:打牌时定牌
定	din15	
宜	ɪ̃1	便～
宜	i2	
寶	pɑ2	
實	ɕi15	
審	ɕin3	
客	kʰɔ1-	做～
客	kʰe15=	请～
宣	sɪ̃1	
室	ɕi15	
宦	xõ5	
宪	xɪ̃5	
宮	kən1	
宰	tsε3	
害	xε4-	～人
害	xε6-	～人
害	xε15=	～处
宴	ɪ̃5	
宵	sø1	
家	ka1-	李～湾:地名
家	kɔ1-	～爷:公公
家	tʃɔ1=	～庭
容	in2	
寬	kʰõ1	
賓	pin1	
宿	səu15	～舍
宿	siəu5	星～
寅	in2	
密	min5	挤～:很密
富	fu5	
寒	xã2	
寓	y5	
寢	tsʰin3	
寞	mʊ15	
察	tsʰa15	
寡	kɔ3	
寨	sa6	
寸	tsʰin15	
對	tε5	背～:后面
尋	sin2	
壽	ɕiəu15	
封	xən1	
射	ʃɔ5-	～尿:小便
射	ʃɔ4	火苗～起蛮高:火苗跳得很高
將	tsiã1	～来
將	tsiã5	大～
尊	tsin1	
小	sø3	
少	ʃø3	
少	ʃø5	～年
尔	e3	
尔	n3	你、远指
尖	tsɪ̃1	
尘	ɕin2	
尚	ʃõ4	和～
嘗	ʃõ2	
尤	iəu2	
尬	ka5	
就	siəu6-	
就	siəu15=	
尷	kã1	
屍	sɿ1	
尺	tʃʰɔ1	
尼	i2	～姑
尽	tsin3	～前
尽	sin15	～个:尽是
尾	m3	～巴
尿	iø1	
局	tɕiəu15	
屁	pʰi15	
層	sɪ̃2	
屄	pi1	女阴
居	tɕiəu1	车～马炮
屈	tɕʰiəu15	
屆	ka5	
屋	u1	
屌	tø15	
屎	sɿ3	
屏	fin2	
屑	sø1	
展	kɪ̃3	
屙	ʊ1	
屬	ɕiəu15	
屠	dəu15	
屢	lε3	
履	li3	～行
山	sã1	
歲	siəu5	
豈	tɕʰi3	
岔	tsʰɔ1	～路口
岔	tsʰɔ15	～路口
崗	kõ1	
島	tɑ3	
岩	a2	
岩	ã2	
岭	lin3	
岳	iʊ5	南～
岳	iʊ15	～父
岸	ã5	
峽	ʃɔ15	
峯	xən1	
崇	sən2	
崑	kʰuen1	
崔	tsʰε1	
崖	a2	～鹅子:老鹰
崩	pin1	
崽	tsε3	
嵩	sən1	
川	kʰuɪ̃1	
州	tɕiəu1	
巡	sin2	
巢	sɑ2	
工	kən1	
左	tsʊ15	～手
巧	tʃʰø3	
巨	tɕiəu5	
鞏	kən3	
巫	u1	
差	tsʰa1	出～
差	tsʰɔ1	～不多
己	tɕi1	
巳	sɿ15	
巴	pɔ1	粘、传染
巷	xõ4	
巾	kɪ̃1-	围～
巾	tɕin1=	手～
市	sɿ5	
布	pu5	
布	pʰu15	
布	dõ15	
帥	sε5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	tʃõ5	
帕	pʰɔ15	
帖	tʰe15	请～
帝	ti5	
帶	ta5	
席	tsʰiã15	～子
幫	põ1	
常	ʃõ2	
帽	mɑ1	
幔	mã5	
幣	pi15	
干	kã1	
干	kã5	～部
平	biã2	
年	ɪ̃2	
并	pin5	
幸	ɕin5	
幺	iø1	～二三:一二三
幻	xõ5	
幼	iəu5	
廣	kõ3	
莊	tsõ1	
慶	tɕʰin15	
庇	pʰi15	
牀	sõ2	
序	siəu15	
廬	ləu2	
庫	kʰu15	
應	in5	～答
底	ti3	
店	tɪ̃5	
廟	mø6	
庚	kɪ̃1	
府	fu3	
龐	bõ2	
廢	fi5	
度	dəu15	
座	sʊ15	
庭	din2	
庵	ã1	
庶	fy5	
康	kʰõ1	
廉	lɪ̃2	
廊	lõ2	
廖	lø5	姓
延	ɪ̃2	
廷	din2	
建	kɪ̃5	
開	kʰε1	
异	i5	
弃	tɕʰi15	
弄	lən5	～子:巷子
弊	pi15	
式	sɿ5	
弓	kən1	
引	in3	
弟	li3-	老～
弟	di15=	～弟
張	tʃõ1	
弦	xɪ̃2	
彎	uã1	
弱	iʊ15	
彈	dã2	～棉花;子～
强	ʃõ2	
强	tʃʰõ3	勉～
弼	pʰi15	
歸	kui1	
當	tõ5	～时;～铺
录	ləu15	
形	ɕin2	
彩	tsʰε3	
彪	pø1	
彬	pin1	
彭	bən2	
影	iã3	
役	y5	
彼	pi3	
往	õ3	
征	tɕin1	
徑	tɕin5	
待	dε15	
很	xɪ̃3	
律	liəu15	
徒	dəu15	
得	te1-	～病
得	te15=	～好处
徛	ɕi4	站立
御	y5	
德	te15	
徹	kʰe15	
徽	fε1	
心	sin1	
必	pi15	
憶	i5	
忌	tɕi5	
忍	ɕin4	
志	tsɿ5	
忘	mõ1	
忙	mõ2	
忠	tɕin1	
憂	iəu1	
快	kʰua15	
念	ɪ̃5	
忽	fu15	
懷	fa2	～肚:怀孕
態	tʰa15	
慫	sən3	～恿
怕	pʰɔ15	
怖	pu5	
憐	lɪ̃2	
思	sɿ1	
怠	dε15	
急	ke1-	～死了
急	tɕi2=	着～
性	sin5	
怨	uɪ̃5	
怪	kua5	
怯	kʰe15	
總	tsən3	
恃	sɿ5	
戀	lɪ̃5	
恐	kʰən3	
恆	xɪ̃2	
恕	fy5	
恢	fε1	
恨	xɪ̃15	
