#漢字	音標	解釋
㐄	kʰᴀ2	跨
八	pᴀ1	王~
八	pᴀ2	
六	lu2	
兮	ɕi1	
兮	ɛ2	即“唉”
其	tɕʰi2	
具	tɕi4	
典	tiɛ̃3	
兼	tɕiɛ̃1	
冀	ʑi4	
冉	zɐ̃3	
冊	tsʰɛ2	
再	tsɐɛ4	
冒	mᵇᴀɔ4	
冚	kʰɐ̃3	即“㝩”
冤	ʑɛ̃1	
冶	ʑɛ3	
冶	ʑɛ̃3	~炼
凝	nᵈi2	~定，指发呆走神
几	tɕi1	
凡	fɐ̃2	
凱	kʰɐɛ3	
凸	tʰu2	
凹	wᴀ4	
凹	ɣɔ1	~进去
出	tsʰu2	
函	xɐ̃2	
刀	tᴀɔ1	
刁	tiᴀɔ1	
切	tsʰɛ2	白读
切	tɕʰiɛ2	文读
刈	ʑi4	
刊	kʰɐ̃1	
列	nᵈiɛ2	
初	tsʰu1	
初	tsʰɔ1	~~，指刚开始的时候
判	pʰɐ̃4	
別	piɛ2	
別	piɛ4	~车
別	pɐɛ4	白读，即“嫑”
刨	pᴀɔ4	~床;~子
刨	pʰᴀɔ2	
利	nᵈi4	
刮	kuᴀ2	
到	tᴀɔ4	文读
制	tsɿᵊ4	
刷	suᴀ2	
券	tɕiɛ̃4	
刺	tsʰɿᵊ4	
刻	kʰɛ2	
剁	tɔ4	
剃	tʰi4	
則	tsɛ2	
削	ɕiɔ2	白读
削	ɕiɛ2	文读
剋	kʰɛ1	
剌	tɕʰi2	文读，即“刺”
剌	lᴀ1	构词法“……~沙”
前	tɕʰiɛ̃1	白读
前	tɕʰiɛ̃2	文读
剎	sᴀ2	
剔	tʰi1	白读
剔	tʰi2	文读
剖	pʰɔ3	文读
剖	pʰɔ4	白读
剖	pʰiɘu1	~直白，即讲解清楚
剝	pɔ2	
剟	tɔ2	文读，即“戳”
剟	tsuɐɛ2	白读
剮	kuᴀ3	扒衣服
副	pʰu1	扑克牌量词:一~牌，即完整一套扑克牌
副	fu2	量词，一~
副	fu4	
割	kɔ2	
剳	tsᴀ2	
剴	kʰɐɛ3	
剽	piᴀɔ1	
剿	tɕiᴀɔ3	
劁	tɕʰiᴀɔ1	
劃	xuᴀ2	~船
劃	xuᴀ4	笔~;~分;~钱
劄	tsᴀ2	
劈	pʰi2	
劈	pʰiᴀ3	~一字腿，瑜伽动作
劉	nᵈiɘu2	
劊	kʰuɐɛ4	
劍	tɕiɛ̃4	
力	nᵈi2	
加	tɕiᴀ1	
劣	nᵈiɛ2	
助	tsu4	
努	lu3	
劫	tɕʰiɛ2	
勃	pʰu2	
勉	mᵇiɛ̃3	
勒	lɛ2	
勘	kʰɐ̃1	
務	vu4	
勞	lᴀ2	~慰
勞	lᴀɔ2	
募	mᵇu4	
勠	lu2	
勢	sɿᵊ4	
勸	tɕʰiɛ̃4	
勺	sɔ2	
勾	kiɘu1	
勾	kiɘu4	~当;姓氏;地名
勿	vu2	
包	pᴀɔ1	
包	pᴀɔ4	土~子
匍	pʰu2	
匐	fu2	
匕	pʰi3	
化	xuᴀ1	叫~子
化	xuᴀ4	
北	pɛ2	
匙	sɿᵊ1	钥~
匙	sɿᵊ2	
匣	tɕʰiᴀ2	
匪	fɘi3	
匯	xuɘi4	
匹	pʰi2	
匾	piɛ̃3	
匿	nᵈi2	
區	tɕʰi1	
區	ŋᶢiɘu1	姓氏
十	sɿᵊ2	
千	tɕʰiɛ̃1	
卅	sᴀ2	
午	vu3	
卉	xuɘi4	
半	pɐ̃4	
卑	pɘi1	
卒	tɕi̹u2	
卓	tsɔ2	
協	ɕiɛ2	
南	lᴀ2	~无，佛教用语
南	lɐ̃2	
博	pɔ2	
卜	pʰu2	
占	tsɐ̃1	
卡	kᴀ3	篮球或足球比赛中的防守动作
卡	kʰᴀ3	
卡	tɕʰiᴀ3	大拇指和食指张至最大时可衡量的长度
卦	kuᴀ4	
卯	mᵇᴀɔ3	
卯	mᵇɘu3	地支
危	wɘi2	
即	tɕi2	
卷	tɕiɛ̃4	
卸	ɕiɛ4	
卻	tɕʰiɔ2	
厄	kʰɛ2	
厚	xiɘu4	
原	ʑɛ̃2	
厥	tɕiɛ2	
厭	ʑɛ̃4	
厶	sɿᵊ1	
厶	mᵇu3	
去	tɕʰi4	文读
去	kʰɛ2	白读
參	tsʰɐ̃1	
叄	tsʰɐ̃1	及“参”
叄	sɐ̃1	
又	ʑɘu4	
叉	tsʰᴀ1	
及	tɕi2	
友	ʑɘu3	
反	fɐ̃3	
叒	zɔ2	
叔	su2	
叕	tsuɛ2	
取	tɕʰi3	
受	sɘu4	
叛	pʰɐ̃4	
叟	sɘu3	
口	kʰiɘu3	
古	ku3	
句	tɕi4	
句	kiɘu4	姓氏
叨	tʰᴀɔ1	
叩	kʰiɘu4	
只	tsɿᵊ2	~差
只	tsɿᵊ3	
叫	kᴀɔ4	~化子，即乞丐
叫	tɕiᴀɔ4	
召	tsᴀɔ4	
叭	pᴀ1	
叭	pɛ2	六字真言读音
可	kʰɔ2	
台	tʰɐɛ2	
叱	tsʰɿᵊ2	
史	sɿᵊ3	
右	ʑɘu4	
叵	pʰɔ3	
叶	ɕiɛ2	佛教名称译音
司	sɿᵊ1	
吁	ʑi1	
吁	ʑi2	喝倒彩的声音
吁	xɔ3	语气词，表示不屑一顾
吃	tsʰɿᵊ2	
各	kɔ2	
吆	ʑᴀɔ1	
吇	tɕy3	拟声词，模仿鸟鸣
合	kɔ2	体积单位，一合相当于一百毫升
合	xɔ2	
吉	tɕi1	小宅~
吉	tɕi2	
吊	tiᴀɔ4	
吏	nᵈi4	
吐	tʰu3	
吒	tsuᴀ1	哪~
吒	tsuᴀ2	
吔	ʑɛ4	
吘	ɔ4	
吘	ɘu4	
吠	fɘi4	
吡	pʰi3	
否	pʰi3	臧~;~极泰来
否	fu3	
吧	pᴀ1	文读
吧	pᴀ4	白读
吧	piᴀ2	~嗒
含	xɐ̃2	
吱	tsɿᵊ1	
吳	vu2	
吵	tsʰᴀɔ3	
吶	lᴀ1	唢~
吶	lᴀ2	
吸	tɕi2	
吸	ɕi2	~铁石;~鼻子
吹	tsʰuɘi1	
吼	xiɘu1	镇压
吼	xiɘu3	
吽	xiɘu1	
吾	vu3	
呀	ʑᴀ1	
呀	ʑᴀ2	哎~
呂	luɘi3	
呃	ɛ2	语气词，表示正在思考
吿	kᴀɔ4	
呋	fu1	
嘔	ɘu1	句末语气词，表示提醒或警告
唄	pɛ1	白读
唄	pɘi4	文读
呢	nᵈi2	直贡~
呢	lɛ1	疑问语气词
呢	lɛ3	语气助词，表示惊讶
呢	lɐ̃1	疑问语气词
呢	lɐ̃3	语气助词，表示惊讶
周	tsɘu1	
呱	kuᴀ1	
呲	tsʰɿᵊ1	
味	wɘi4	
呴	tɕi1	叫~，即口哨
呴	xiɘu1	即“齁”
呵	xɔ1	文读
呵	xɔ3	白读
呸	pʰɘi3	
呼	fu1	
呼	fu2	咋~，即嘱咐
呼	fu3	~~~，拟声词，形容呼啸而过
呼	xɔ1	呜~
咀	tɕi̹u2	即“㰵”
咀	tsuɘi3	
咂	tsᴀ2	吮吸
咄	tɔ2	
咋	tsᴀ1	~翻翻;咋咋呼呼，指说话声音很大
咋	tsᴀ2	
咋	tsᴀ4	“咋个”合音
咋	tsɐ̃2	~个
和	fu2	~牌，麻将用语
和	xɔ1	即“乎”
和	xɔ2	
和	xɔ4	加~;~面
咍	xɐɛ1	
咎	tɕiɘu4	
咒	tsɘu4	
咕	ku1	
咕	kʰu1	叽叽~~
咖	kᴀ1	~喱
咖	kʰᴀ1	~啡
咖	tɕiᴀ1	
咤	tsʰᴀ4	
咦	ʑi1	
咧	nᵈiɛ2	
咨	tsɿᵊ1	
咪	mᵇi1	
咪	mᵇi4	猫猫~，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
咪	mᵇɘi2	六字真言读音
咬	ŋᶢᴀɔ3	白读
咬	nᵈiᴀɔ3	文读
咯	lɔ1	~嘛，疑问句句尾，相当于“吗”
咯	lɔ2	句末语气词
咯	kɔ2	文读
咯	kɔ4	鸡~~
咯	kʰɔ4	呛
咯	kɛ2	~啊~地笑
咱	tsᴀ1	白读，“自家”的合音
咱	tsᴀ2	文读
咳	kʰɛ2	
咸	xᴀ4	~时~下，即每时每刻;~是~扒，即到处都是
咸	xɐ̃2	
咹	ɣɔ2	
咹	ɐ̃1	表示没听清，希望对方重复
咻	ɕiɘu3	
咻	xiɘu1	即“齁”
咽	ʑɛ̃1	
咽	ʑɛ̃4	吞~
咾	lᴀɔ3	
咿	ʑi1	
哀	ŋᶢɐɛ1	
哆	tɔ1	
哇	wᴀ1	夜~子，即猫头鹰幼崽
哇	wᴀ3	唤牛、马停住声音
哇	wᴀ4	婴儿啼哭声
哈	xᴀ1	
哈	xᴀ3	疑问语气助词，即“好”;姓氏
哈	xɐɛ3	~巴狗
哎	ɐɛ1	~哟，表示惊讶
哎	ɐɛ2	~呀
哎	ɐɛ3	~哟，表示疼痛
哞	mᵇu2	文读
員	ʑɛ̃2	
哥	kɔ1	
哦	ɔ1	句末语气词，表示提醒或警告
哦	ɔ2	~呵，即“呜呼”，表示感叹
哦	ɔ3	应答语，表示“知道了”
哨	sᴀɔ4	
哩	nᵈi1	叽~咕噜
哩	nᵈi3	
哪	lᴀ1	音译
哪	lᴀ2	~吒
哪	lᴀ3	
哪	lɛ3	~样
哪	lɐ̃3	“哪样”合音
哭	kʰu2	
哲	tsɛ2	
哳	tsᴀ2	
哺	pʰu3	
唁	nᵈiɛ̃4	
唆	sɔ1	
唉	ŋᶢɐɛ2	~声叹气
唉	ɐɛ2	叹气声;~哟，表示无奈
唊	tɕiᴀ2	指人轻言妄语或口音不纯
唑	tsʰɔ4	
唧	tɕi1	
唬	fu3	
售	tsʰɘu2	白读
售	sɘu4	文读
唯	wɘi2	
唰	tsʰuᴀ3	
唳	nᵈi4	
唵	ŋᶢɐ̃3	
唸	nᵈiɛ̃4	
唻	lɛ3	即“呢”
唻	lɐɛ2	
唾	tʰɔ3	
啄	tsᴀ1	鸡~食，形容人吃饭不专注，吃一会儿停一会儿
啄	tsuᴀ2	
啊	ᴀ1	文读
啊	ᴀ2	动词或形容词重叠“……啊……”，表示轻微
啊	ᴀ3	句尾疑问语气词，如“是不是~?”
啐	tsʰʮ3	语气词，撵走人或动物
啐	tɕʰi3	语气词，表示不服气
啐	tɕʰiɛ3	语气词，表示不服气
啐	tsʰuɘi4	
啓	tɕʰi3	
啜	tsʰɔ2	
啜	tsuɐɛ2	姓氏
啜	tsuɐɛ3	皮皮~~，即果皮纸屑
啞	ʑᴀ3	
啟	tɕʰi3	
啤	pʰi2	
啥	sᴀ4	
啦	lᴀ1	
啦	lᴀ3	相当于“了”
啩	kuᴀ4	
啪	pʰᴀ3	文读
啪	pʰiᴀ3	白读
啫	tsɛ1	
啵	pɔ1	
啹	tɕi̹u2	即“㰵”
啼	tʰi2	
喀	kʰᴀ2	
喂	ʑi4	白读
喂	wɘi3	语气词，用于电话接通时打招呼
喂	wɘi4	文读
喃	lɐ̃2	
善	sɐ̃4	
喇	lᴀ2	~嘛
喇	lᴀ3	~叭
喉	xiɘu2	文读
喊	xɐ̃3	
喏	lɔ1	即“搙”
喏	lɔ2	
喔	ɣɔ1	
喘	tsʰuɐɛ3	白读
喜	ɕi3	
喝	kʰɔ2	鬼声~气
喝	xɔ1	~鼾
喝	xɔ2	
喧	ɕiɛ̃1	
喫	tsʰɿᵊ2	
喫	tɕʰiᴀ2	~䏵䏵;~亏;~苦
喬	tɕʰiᴀɔ2	
喭	nᵈiɛ̃4	
單	tɐ̃1	
單	sɐ̃2	~于
單	sɐ̃4	姓氏
喱	nᵈi2	
喲	ʑɔ2	哎~，表示惊讶
喲	ʑɔ2	唉~，表示无奈;哎~，表示疼痛
喲	ʑɔ3	文读
喳	tsᴀ1	
喵	mᵇiᴀɔ1	
喩	ʑi4	
嗄	sᴀ3	嗓音嘶哑
嗅	ɕiɘu4	文读
嗇	tɕiᴀ2	形容人差劲或不讲义气;~抠，即小气
嗇	sɛ2	
嗉	su4	
嗎	mᵇᴀ1	句尾疑问语气词
嗎	mᵇᴀ3	文读
嗑	kʰɔ2	侃天~地
嗒	tᴀ2	
嗖	sɘu1	
嗚	vu1	
嗚	ɔ2	~呼
嗜	sɿᵊ4	
嗝	kɛ2	
嗝	kɛ3	打~
嗞	tsɿᵊ1	
嗤	tsʰɿᵊ1	
嗦	sɔ1	
嗨	xɐɛ1	
嗩	sᴀ3	
嗲	tiᴀ3	文读
嗲	nᵈiᴀ1	白读
嗶	pi1	拉丁字母B
嗶	pi2	
嗷	ŋᶢᴀɔ2	文读
嗷	ᴀɔ3	白读
嗽	sɘu4	
嗾	tsʰɔ3	~狗
嘁	tɕʰi2	
嘉	tɕiᴀ1	
嘌	pʰiᴀɔ1	
嘍	lɘu1	白读
嘍	lɘu3	文读
嘎	kᴀ2	
嘓	kuᴀ2	
嘔	ŋᶢiɘu3	
嘖	tsɛ2	
嘛	mᵇᴀ1	喇~
嘛	mᵇᴀ2	
嘞	lɛ1	即“的”
嘞	lɛ2	文读
嘞	lɛ3	即“呢”
嘟	tu1	
嘟	tɕi̹u1	肥~~
嘩	xuᴀ3	
嘬	tsʰuɐɛ4	
嘮	lᴀɔ2	
嘰	ki1	
嘰	kʰi1	~~咕咕
嘲	tsʰᴀɔ2	
嘴	tsuɘi3	
嘹	nᵈiᴀɔ2	
嘻	xi1	文读
嘻	xɛ1	白读
嘿	mᵇɛ2	
嘿	xɛ1	白读
嘿	xɛ3	文读
噁	ɣɔ2	
噎	ʑɛ2	
噓	sʮ1	语气词，提醒他人保持安静
噓	ɕi1	
噠	tᴀ2	
噢	ɔ1	
噢	ɔ3	
噦	ʑɛ1	打干~
噦	ʑɛ3	
器	tɕʰi4	
噩	ɣɔ2	
噪	tsʰᴀɔ4	
噫	ʑi4	
噬	sɿᵊ2	
噯	ɛ2	肯定语气词，相当于“嗯”
噯	ɘi3	应答语气词
噱	tɕiɔ2	
噶	kᴀ3	“该是好”的合音，向对方询问对自身观点的接受度
噻	sɛ2	
嚇	ɕiᴀ2	~唬
嚇	xɛ2	
嚎	xᴀɔ2	
嚏	tʰi4	
嚒	mᵇɔ2	
嚕	lu1	
嚜	mᵇɛ2	
嚱	ɕi4	
嚴	ŋᶢɐ̃2	白读
嚴	nᵈiɛ̃2	文读
嚼	tɕiᴀɔ4	
囂	ɕiᴀɔ1	
囉	lɔ1	
囋	tsᴀ2	~起，表示力挺
囍	ɕi3	
囑	su2	
囘	xuɘi2	
囚	tɕʰiɘu2	
四	sɿᵊ4	
回	fɘi2	~锅肉
回	xuɘi2	
固	ku4	
圈	tɕiɛ̃4	
圈	tɕʰiɛ̃1	
國	kuɛ2	
圍	wɘi2	
園	ʑɛ̃2	
圓	ʑɛ̃2	
圖	tʰu2	
團	tʰuɐ̃2	
土	tʰu3	
在	tɐɛ4	白读
在	tsɐɛ4	文读
圭	kuɘi1	
圮	pʰi3	
地	ti4	
地	l̃ɘi1	同“的”
圾	tɕi2	
圿	kɛ2	~泥，出汗后皮肤上搓出的污垢
址	tsɿᵊ3	
坂	pɐ̃3	
坍	tʰɐ̃2	
坎	kʰɐ̃3	
坐	tsɔ4	
坡	pʰɔ1	
坦	tʰɐ̃3	
坨	tʰɔ2	
坯	pʰɘi1	
坳	ŋᶢᴀɔ4	
坷	kʰɔ2	
垂	tsʰuɘi2	
垃	lᴀ1	
垢	kiɘu4	
垣	ʑɛ̃2	
垮	kʰuᴀ3	
垰	kʰᴀ1	即“旮”
垻	pᴀ4	
埃	ŋᶢɐɛ1	
埆	tɕʰiɔ2	
埋	mᵇɐɛ2	
埔	pʰu3	
域	ʑu2	
埠	pu4	
埠	fɘu4	商~
執	tsɿᵊ2	
培	pʰɘi2	
基	tɕi1	
堅	tɕiɛ̃1	
堆	tuɘi1	
堞	tiɛ2	
堡	pʰu3	地名
堡	pᴀɔ3	
堤	tʰi2	
堦	kɐɛ1	
堪	kʰɐ̃1	
堯	ʑᴀɔ2	
堰	ʑɛ̃4	
報	pᴀɔ4	
堵	tu3	
堺	kɐɛ4	
塊	kʰuɐɛ3	
塌	tʰᴀ2	
塏	kʰɐɛ3	
塑	su4	
塔	tʰᴀ2	
塗	tʰu2	
塙	kʰɔ2	
塞	sɛ1	~包袱，指行贿或麻烦别人;支垫
塞	sɛ2	
塞	sɐɛ1	支垫
塞	sɐɛ4	要~
塢	vu1	
塡	tʰiɛ̃2	
塹	tɕʰiɛ̃4	
墅	su3	
墊	tiɛ̃4	
墓	mᵇu4	
墜	tsuɘi4	
墨	mᵇɛ2	
墮	tɔ4	
壁	pi2	
壇	tʰɐ̃2	
壑	xɔ2	
壓	ŋᶢᴀ4	白读
壓	nᵈiᴀ4	~根儿
壓	ʑᴀ2	~岁
壓	ʑᴀ4	文读
壕	xᴀɔ2	
壘	luɘi3	
壞	xuɐɛ4	
士	sɿᵊ4	
壹	ʑi2	
壺	fu2	
壽	sɘu4	
夀	sɘu4	
夏	ɕiᴀ4	
夑	ɕiɛ2	
夔	kʰuɘi2	
夕	ɕi2	
外	wɐɛ4	
多	tɔ1	
夜	ʑᴀ3	~郎
夜	ʑɛ4	
夠	kiɘu4	
夥	xɔ3	
大	tᴀ4	文读
大	tɐɛ4	~夫;山~王
大	tʰɐɛ3	白读
天	tʰiɛ̃1	
太	tʰɐɛ4	
夫	fu1	
夭	ʑᴀɔ1	
央	ʑᴀɔ1	恳求
失	sɿᵊ2	
夷	ʑi1	老百~，即傣族
夷	ʑi2	
夸	kʰuᴀ1	
夾	kᴀ2	白读
夾	tɕiᴀ1	即“茄”，~克衫
夾	tɕiᴀ2	文读
奄	ʑɛ̃1	
奇	tɕi1	
奇	tɕʰi2	
奈	lɐɛ4	
奎	kʰuɘi2	
奏	tsɘu4	
契	tɕʰi2	~丹
契	tɕʰi4	
奒	xɐɛ1	即“大”
奓	tsᴀ1	张开
套	tʰᴀɔ4	
奚	tɕʰi1	
奚	ɕi1	姓氏
奠	tiɛ̃4	
奢	sɛ1	
奤	xᴀ3	即“傻”
奤	tʰɐɛ1	说话做事不动脑子，言行鲁莽
奧	ŋᶢᴀɔ4	
奩	nᵈiɛ̃2	
奪	tɔ2	
女	nᵈi3	
奴	lu2	
奶	mᵇi1	乳房
奶	lɐɛ1	~~，旧时被晚辈以此称呼祖母的，一般身份为妾;乳房
奶	lɐɛ2	姑~，对女儿或女友的爱称
奶	lɐɛ3	
她	tʰᴀ1	文读
她	lᴀ1	白读
好	xᴀɔ3	
好	xᴀɔ4	
如	zu2	
如	ʑu2	譬~
妃	fɘi1	
姸	nᵈiɛ̃1	
妎	xɐɛ4	
妓	tɕi4	
妖	ʑᴀɔ1	
妙	mᵇiᴀɔ4	
妤	ʑi3	
妥	tʰɔ3	
妬	tu4	
妮	nᵈi2	
妯	tsu2	
妲	tᴀ2	
妹	mᵇi1	白读
妹	mᵇɘi4	文读
妻	tɕʰi1	
妾	tɕʰiɛ2	
姆	mᵇu3	
姊	tsɿᵊ3	
始	sɿᵊ3	
姐	tɕiɛ3	
姑	ku1	
姒	sɿᵊ4	
委	wɘi3	
姚	ʑᴀɔ2	
姣	tɕiᴀɔ1	
姥	mᵇu3	文读
姥	lᴀɔ3	白读
姦	tɕiɛ̃1	
姨	ʑi2	
姪	tsɿᵊ2	
姬	tɕi1	
姿	tsɿᵊ1	
威	wɘi1	
娃	wᴀ2	
娌	nᵈi3	
娑	sᴀ1	婆~
娛	ʑi2	
娜	lᴀ1	
娟	tɕiɛ̃1	
娥	ɣɔ2	
娶	tɕʰi3	
婀	ᴀ1	
婁	lɘu2	
婆	pᴀ1	~娑
婆	pʰɔ2	
婆	pʰᴀɔ2	~烦;搞~完
婊	piᴀɔ3	
婗	nᵈi2	
婢	pɘi4	
婦	fu4	
婪	lɐ̃2	
