#漢字	音標	解釋
□	pʰia3	把梯子~开
德	tɛ2	
心	ɕin1	
快	kʰuai5	
念	niᴇ5	
怀	xuai2	
怜	niᴇ2	
惱	lau3	
惠	xuei5	
意	i5	
愿	iᴇ5	
憨	xiɛ1	
成	tsʰən2	
我	ŋo3	
戒	kai5	
房	faŋ2	
手	səu3	
打	ta3	
扔	zən1	
扛	kaŋ2	
扯	tsʰɛ3	
承	sən2	口语,~不动
抖	tʰəu3	
摳	kʰiəu1	
拍	pʰɛ2	
拿	la2	
按	ŋiɛ5	
挨	ŋai2	~刀
捆	kʰoŋ3	
捐	tɕiᴇ1	
換	xuɛ5	
接	tɕiᴇ2	
揣	tsʰai1	
揪	tɕiəu2	口语
搜	səu1	
搞	kau3	
撒	sa2	~谎
教	tɕiau1	
文	uoŋ2	
方	faŋ1	
日	zɿ2	
時	sɿ2	
明	moŋ2	~天
昏	xoŋ1	
春	tsʰən1	
是	sɿ5	
曉	ɕiau3	
晚	uɛ3	
暖	lɛ3	
更	kən5	
月	iᴇ2	
朋	pʰoŋ2	
望	uaŋ5	
本	poŋ3	
杆	kɛ3	
村	tsʰən1	
條	tʰiau2	
來	lai2	
杷	pʰa1	
板	pɛ3	
枇	pʰi2	
林	nin2	
果	ko3	
槍	tɕʰiaŋ1	
染	zɛ2	
樹	su5	
样	iaŋ5	
栽	tsai1	
椒	tɕiau1	
橘	tɕiu2	
歡	xuɛ1	
款	kʰuɛ3	
歌	ko1	
步	pu5	
歪	uai1	
歹	tai3	
段	tɛ5	
母	mu3	
毒	tu2	
比	pi3	
水	sei3	
江	tɕiaŋ1	
沙	sa1	
油	iəu2	
沾	tsɛ1	
注	tsu5	
洗	ɕi3	
海	xai3	
液	i2	
溫	uoŋ1	
渴	kʰo2	
溪	tɕʰi1	
滚	koŋ3	
滿	mɛ3	
滴	ti2	
濛	moŋ2	
火	xo3	
灯	tən1	
炒	tsʰau3	
點	tiᴇ3	
點	tɛ3	白
然	zɛ2	
燃	zɛ2	
爆	pau5	
爬	pʰa2	
爺	iᴇ2	
爸	pa2	
片	pʰiᴇ5	
牽	tɕʰiᴇ1	
特	tʰɛ2	
狗	kəu3	
狗	kiəu3	
獄	iu2	
猜	tsʰuai1	~字谜
王	uaŋ2	
玩	uɛ2	
現	ɕiᴇ5	
瓶	pʰin2	
甩	sai3	
電	tiᴇ5	
電	tiᴇ3	
男	lɛ2	
疙	kiɛ2	
瘦	səu5	
癮	in3	
百	pɛ2	
皆	kai1	
盆	pʰoŋ2	
監	tɕiᴇ1	
省	sən3	
看	kʰiɛ5	
真	tsən1	
着	tso2	
睡	sei5	
短	tuɛ3	
碼	ma3	
砍	kʰɛ3	
硬	ŋən5	
确	tɕʰio2	
碰	pʰoŋ5	
示	sɿ5	
禮	ni3	
社	sɛ5	
祖	tsu3	
空	kʰoŋ1	
穿	tsʰɛ1	
穿	tsʰuɛ1	
端	tɛ1	
竹	tsu2	
等	tən3	
算	sɛ5	
管	kuɛ3	
米	mi3	
粉	foŋ3	
累	luei5	
約	io2	
線	ɕiᴇ5	
組	tsu3	
細	ɕi5	
綠	lu2	
緣	iᴇ2	
美	mei3	
羞	ɕiəu1	
老	lau3	
者	tsɛ3	
耍	sa3	
耍	sua3	
肉	zu2	
胆	tɛ3	
胯	kʰa5	
胶	tɕiau1	
能	lən2	
腦	lau3	
脚	tɕio2	
腿	tʰei3	
船	tsʰɛ2	
節	tɕiᴇ2	
花	xua1	
苏	su1	
苞	pau1	
苦	kʰu3	
药	io2	
菜	tsʰai5	
營	in2	
落	lo2	
蛋	tɛ5	
街	kai1	
補	pu3	
衰	sai1	
西	ɕi1	
要	iau5	
見	tɕiᴇ5	
視	sɿ5	
覺	tɕio2	发~
角	tɕio2	五~钱
解	kai3	
講	tɕiaŋ3	
許	ɕi3	
論	lən5	
訣	tɕiᴇ2	
話	xua5	
詳	tɕʰiaŋ2	
語	i3	
請	tɕʰin3	
謊	xuaŋ3	
谷	ku2	
貴	kuei5	
走	tsəu3	
起	tɕʰi3	
起	tɕi3	白,关~,坐~
跑	pʰau3	
跟	kən1	
路	lu5	
跳	tʰiau5	
蹲	tən1	
車	tsʰɛ1	
轉	tsɛ3	
轉	tsuɛ3	
軟	zɛ3	
辣	la2	
邊	piᴇ1	
過	ko5	
运	in5	
还	xai2	
這	tsɿ5	口语
追	tsei1	
送	soŋ5	
選	ɕiᴇ3	
造	tsʰau5	
道	tau5	
遵	tsən1	
那	a5	
都	təu1	
酒	tɕiəu3	
酸	sɛ1	
野	iᴇ3	
量	niaŋ5	
錢	tɕʰiᴇ2	
鍋	ko1	
鎮	tsən1	
長	tsʰaŋ2	
長	tsaŋ3	~得
門	moŋ2	
問	uoŋ5	
闖	tsʰaŋ3	
間	tɕiᴇ1	
悶	moŋ5	
聞	uoŋ2	
院	iᴇ5	
除	tsʰu2	
隨	sei2	
難	lɛ2	
雨	i3	
零	nin2	
青	tɕʰin1	
面	miᴇ5	
音	in1	
頂	tin3	
順	sən5	
顔	iᴇ2	
風	foŋ1	
飛	fei1	
飯	fɛ5	
飯	fia5	县南部分口音
館	kuɛ3	
香	ɕiaŋ1	
馬	ma3	
骂	ma5	
高	kau1	
鮮	ɕiᴇ1	
麻	ma2	
黑	xiɛ2	
黔	tɕʰiᴇ2	
