#漢字	音標	解釋#('wuu_th_yj_ds', '岱山話', '岱山', '#0000FF', None, None, '版本：2021-12-25<br>來源：<a href=https://github.com/ionkaon/dictionary>甬江話字詞表</a><br>說明：岱山城區字表整理自岱山縣誌編纂委員會：《岱山縣誌·方言》，浙江人民出版社，2006', '53 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,433 3 2 上 ꜂,,44 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,12 8 4b 陽入 ꜇')
光	kuɔ̃1	
克	kʰaʔ7	
兌	dai6	
免	mi2	
兒	ŋ̍2	
兒	əl2	
兔	tu5	
兜	tœø1	
入	zœəʔ8	
內	nai6	
全	dzø2	
兩	liã2	
八	paʔ7	
公	koŋ1	
六	loʔ8	
兮	ɦi2	
兵	piŋ1	
其	dʑi2	
具	dʑy6	
典	ti3	
兼	tɕi1	
冀	tɕi5	
冉	zø2	
冊	tsʰaʔ7	
再	tse5	
冒	mɔ6	
冠	kuø1	衣〜
冠	kuø5	〜军
冢	tsoŋ3	
冢	tɕyoŋ3	
冬	toŋ1	
冰	piŋ1	
冷	lã2	
冷	ləŋ2	文
凌	liŋ2	
凍	toŋ5	
凝	ȵiŋ6	～结
凡	vɛ2	
凱	kʰe3	
凳	təŋ5	
凶	ɕyoŋ1	
凸	daʔ8	
凹	ɔ3	
出	tsʰœəʔ7	
函	ɦai2	
刀	tɔ1	
刁	tiɔ1	
刃	zoŋ6	文
刃	ȵiŋ6	
分	fəŋ1	
切	tɕʰiəʔ7	
刈	i5	
刊	kʰɛ1	
刎	vəŋ2	
刑	ɦiŋ2	
列	liəʔ8	
初	tɕʰy1	
判	pʰø3	
判	pʰuø5	
別	biəʔ8	
刨	bɔ2	
利	li6	
刪	sɛ1	
刮	kuaʔ7	
到	tɔ5	
制	tsʮ5	
刷	sœəʔ7	
券	tɕʰye5	
刺	tsʰɿ5	
刻	kʰaʔ7	
剁	tuo1	
剃	tʰi5	
則	tsaʔ7	
前	ʑi2	
前	ɦi2	
剔	tʰiəʔ7	
剖	pʰau5	
剛	kɔ̃1	
剜	uø1	
剝	poʔ7	
剩	dʑiŋ6	
剮	kuo3	
副	fu5	
割	kaʔ7	
創	tsʰɔ̃5	
剿	tsʰɔ3	又
剿	dʑiɔ2	
劃	uo1	〜船
劃	ɦuaʔ8	
劈	pʰiəʔ7	
劉	liʏ2	
劊	kuai5	
劍	tɕi5	
劐	huaʔ7	〜开
劐	ɦuaʔ8	
力	liəʔ8	
功	koŋ1	
加	ko1	
加	tɕia1	文
劣	laʔ8	
劣	liəʔ8	
助	dzu6	
助	dʑy6	
努	nu2	
劫	tɕiəʔ7	
勁	tɕiŋ5	
勁	dʑiŋ6	
勃	baʔ8	
勇	yoŋ3	
勉	mi2	
勒	laʔ8	
動	doŋ2	
勘	kʰɛ5	
務	ɦu6	
勝	ɕiŋ1	〜任
勝	ɕiŋ5	〜任
勞	lɔ2	
募	mau6	
勢	sʮ5	
勤	dʑiŋ2	
勳	ɕyoŋ1	
勵	li6	
勸	tɕʰye5	
勺	zœəʔ8	〜子
勻	ɦyoŋ2	
勾	kœø1	
勾	kœø5	
勿	faʔ7	
勿	vaʔ8	
勻	ɦyoŋ2	
包	pɔ1	
匆	ɦiʏ6	
化	huo5	
北	poʔ7	
匙	zɿ2	
匠	ɦiã6	
匡	kʰuɔ̃1	
匣	ɦaʔ8	
匪	fi3	
匯	ɦuai6	
匹	pʰiəʔ7	
匾	pi3	
匿	dʑiəʔ8	
區	tɕʰy1	
十	zœəʔ8	
千	tɕʰi1	
升	ɕiŋ1	
午	ɦu2	文
午	ŋ̍2	端〜
半	pø5	
半	puø5	
卑	pai1	
卒	tsaʔ7	兵〜
卓	tsoʔ7	
協	ɦiəʔ8	
南	nai2	
博	poʔ7	
卜	poʔ7	
占	tɕi1	〜卜
卦	kua5	文
卦	kuo5	
卯	mɔ2	
印	iŋ5	
即	tɕiəʔ7	
卵	lø2	
卵	lau2	文
卷	tɕye5	
卸	ɕia5	
卻	tɕʰiəʔ7	
卿	tɕʰiŋ1	
厚	ɦœø2	
原	ȵye2	
厥	tɕyəʔ7	
厲	li6	
去	tɕʰi5	
去	tɕʰy5	文
參	səŋ1	人〜
又	ɦiʏ6	
叉	tsʰa1	文
叉	tsʰo1	
友	ɦiʏ2	
反	fɛ3	
叔	sœəʔ7	
取	tsʰʮ3	
敘	zʮ2	
叛	bø6	
叛	buø6	
叟	sœø3	
叢	dzoŋ2	
口	kʰœø3	
古	ku3	
句	tɕy5	
另	liŋ6	
叨	tʰɔ1	
叩	kʰœø3	
只	tsɿ3	〜有
只	tsaʔ7	
只	tɕiəʔ7	
叫	tɕiɔ5	
召	ɦiɔ2	
叮	tiŋ1	
可	kʰau1	
史	sɿ3	
右	ɦiʏ6	
司	sɿ1	
吃	tɕʰiəʔ7	
吃	tɕʰyəʔ7	
各	koʔ7	
合	kaʔ7	十〜
合	ɦaʔ8	
吉	tɕiəʔ7	
吊	tiɔ5	
同	doŋ2	
名	miŋ2	
后	ɦœø2	
吏	li6	
吐	tu3	～痰
吐	tu5	
向	ɕiã5	
君	tɕyoŋ1	
吝	liŋ6	〜啬
吞	tʰəŋ1	
吠	vi6	
否	vai2	
否	fœø1	
含	ɦai2	
吳	ɦu2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tsʰʮ1	
吹	tsʰai1	
吻	vəŋ2	
吼	hœø3	
吼	hœø5	
吾	ŋu2	
吾	ɦu2	文
呂	li2	
呆	te1	发〜
呆	ŋe2	
呈	dʑiŋ2	
告	kɔ5	
周	tɕiʏ1	
味	mi6	
味	vi6	文
呵	ho5	〜痒
呼	fu1	
命	miŋ6	
咋	dza6	
和	ɦau2	
和	ɦau6	〜面
咎	dʑiʏ2	
咒	tɕiʏ5	
咕	ku5	
咨	tsɿ1	
咬	ŋɔ2	
咬	ɦiɔ2	文
咸	ke3	
咽	i5	
哀	e1	
品	pʰiŋ3	
哄	hoŋ3	
員	ɦye2	
哥	kø3	八〜
哭	kʰoʔ7	
哲	tsœəʔ7	
哽	ɡã2	〜住
唆	sau1	啰〜
唐	dɔ̃2	
唯	vi2	
唱	tsʰɔ̃5	
唾	tu5	
啄	tsoʔ7	
商	sɔ̃1	
問	məŋ6	
問	vəŋ6	文
啓	tɕʰi3	
啞	oo3	
啞	ia3	文
啥	so5	
啥	sau1	
啼	di2	
善	zø2	
喉	ɦœø2	
喊	hɛ3	
喘	tsʰø1	
喚	huø5	
喜	ɕi3	
喝	haʔ7	
喧	sø5	
喪	sɔ̃1	
喪	sɔ̃5	〜失
喬	dʑiɔ2	
單	tɛ1	
單	zø6	姓
喻	ɦy6	
嗅	ɕiʏ5	
嗅	ɕyoŋ5	用鼻子～
嗆	tɕʰiã5	咳嗽
嗇	saʔ7	吝〜
嗓	sɔ̃1	
嗜	zɿ6	
嗣	dzɿ6	
嗤	tsʰɿ1	
嗽	sœø5	咳〜
嘆	tʰɛ5	
嘉	ko1	
嘉	tɕia1	文
嘉	tɕyo1	韩〜夫
嘔	œø1	
嘔	œø3	
嘗	zɔ̃2	
嘮	lɔ2	
嘰	tɕi1	
嘴	tsʮ3	
嘸	ʔm̩1	
嘸	ʔm̩5	
噎	iəʔ7	〜住
噓	ɕy1	
器	tɕʰi5	
噴	pʰəŋ1	〜水
噴	pʰəŋ5	〜香
嚇	haʔ7	
嚐	zɔ̃2	
嚥	i5	
嚴	ȵi2	
嚷	dʑiã2	
嚼	ɦiəʔ8	
囂	ɕiɔ1	
囉	ʔlau5	〜唆
囊	nɔ̃2	
囑	tsoʔ7	
囚	dʑiʏ2	
四	sɿ5	
回	ɦuai2	
因	iŋ1	
囡	nø2	女儿
囤	dəŋ2	
囪	tsʰoŋ1	
困	kʰuəŋ5	
固	ku5	
圈	tɕʰye1	猪〜
圈	tɕʰye3	圓～
國	koʔ7	
圍	ɦuai2	
園	ɦye2	
圓	ɦye2	
圖	du2	
團	dø2	
土	tu3	
在	dze2	
圭	kuai1	
地	di6	
址	tsɿ3	
均	tɕyoŋ1	
坍	tʰɛ1	
坎	kʰi5	
坐	zau2	
坑	kʰã1	
坡	pʰau1	
坤	kʰuəŋ1	
坦	tʰɛ5	
坪	biŋ2	
坯	pʰai1	
坳	ɔ1	
坳	kʰi5	
垂	zai2	
型	ɦiŋ2	
垮	kʰuo5	
埃	e1	
埋	ma2	
埋	mɛ2	文
城	dʑiŋ2	
域	ɦyəʔ8	
埠	bu6	
執	tɕiəʔ7	
培	bai2	
基	tɕi1	
堂	dɔ̃2	
堅	tɕi1	
堆	tai1	
堡	pɔ3	
堤	di2	
堪	kʰɛ1	
堯	ȵiɔ2	
堰	i5	
報	pɔ5	
堵	du2	
塊	kʰuai5	
塌	tʰaʔ7	
塍	dʑiŋ2	筑子〜
塍	ɦiŋ2	
塑	su5	文
塑	ɕy5	
塔	tʰaʔ7	
塘	dɔ̃2	
塞	saʔ7	
塢	u3	
填	di2	
塵	dʑiŋ2	
境	tɕiŋ1	
境	tɕiŋ3	
墊	di6	
墓	mau6	
墜	dzʮ6	
增	tsəŋ1	
墨	moʔ8	
墩	təŋ1	
墳	vəŋ2	
壁	piəʔ7	
壓	aʔ7	
壕	ɦɔ2	
壞	ua1	
壞	ɦua2	文
壠	loŋ2	
壤	dʑiã2	
壩	pa5	文
壩	puo5	
士	zɿ2	
壬	ȵiŋ2	
壯	tsɔ̃5	
壺	ɦu2	
夏	ɦo2	
夏	ɦo6	春〜
夕	ɦiəʔ8	
外	ŋa6	
外	ɦuɛ6	文
多	tau1	
夜	ɦia6	
夜	ɦie6	
夠	kœø5	
夢	mɔ̃6	
夥	hau1	
大	da6	文
大	dau6	
太	tʰa5	
太	tʰe5	文
夫	fu1	
央	iã1	
夯	hã5	
失	sœəʔ7	
夷	ɦi2	
夾	kaʔ7	
奇	dʑi2	
奈	nɛ6	
奉	vəŋ2	
奉	voŋ2	
奏	tsœø5	
契	tɕʰi5	
奔	pəŋ1	
奔	pəŋ5	
套	tʰɔ5	
奚	ɦi2	
奠	di6	
奢	so1	
奧	ɔ5	
奪	daʔ8	
奮	fəŋ5	
女	ȵy2	
奴	nu2	
奶	na2	文
奶	ʔne5	
奸	kɛ1	
好	hɔ3	〜坏
好	hɔ5	爱〜
如	zʮ2	
妃	fi1	
妄	vɔ̃6	
妓	dʑi2	
妖	iɔ1	
妙	miɔ6	
妥	tʰau1	
妨	fɔ̃1	
妹	ʔmai5	文
妹	mai6	
妻	tɕʰi1	
妾	tɕʰiəʔ7	
姆	m̩2	〜妈
姊	tɕi1	
姊	tɕia1	
始	sɿ3	
姐	tɕia1	
姑	ku1	
姓	ɦo2	
姓	zai6	
姓	tsəŋ1	
姓	ɕiŋ5	
姓	ɦuo6	
委	uai3	
姘	pʰiŋ1	
姚	ɦiɔ2	
姜	tɕiã1	
姨	ɦi2	
姻	iŋ1	
姿	tsɿ1	
威	uai1	
娃	ka5	
娘	dʑiã2	
娛	ɦu2	
娛	ȵy2	文
娩	mi2	分〜
娶	tsʰʮ3	
婆	bau2	文
婆	bu2	阿〜
婆	buø2	
婚	huəŋ1	
婢	bi6	
婦	vu2	
婿	ɕi5	
媒	mai2	
媚	mai6	
媳	ɕiŋ1	
媳	ɕiəʔ7	
媽	ʔma5	
嫁	ko5	
嫁	tɕia5	文
嫂	sɔ3	
嫌	i1	
嫖	biɔ2	
嫡	tiəʔ7	
嫩	nəŋ6	
嬉	ɕi1	
嬌	tɕiɔ1	
嬤	ʔmo5	阿〜
嬰	iŋ1	
嬸	ɕiŋ3	
孀	sɔ̃1	
子	tsɿ3	
孔	kʰoŋ3	
孕	ɦyoŋ6	
字	zɿ6	
孝	hɔ5	〜子
孝	ɕiɔ5	文
季	tɕi5	
孤	ku1	
孩	ɦe2	
孫	səŋ1	
孵	fu1	
孵	bu6	
學	ɦoʔ8	
學	ɦyəʔ8	
孽	dʑiəʔ8	
宅	dzaʔ8	
宇	ɦy2	
守	ɕiʏ3	
安	ai1	
宋	soŋ5	
完	ɦuø2	
宏	ɦoŋ2	
宕	dɔ̃6	
宗	tsoŋ1	
官	kuø1	
宙	dʑiʏ6	
定	diŋ6	
宛	uø3	
宜	ȵi2	
客	kʰaʔ7	
宣	sø1	
宣	sø5	
室	sœəʔ7	
宦	ɦuɛ6	
宮	koŋ1	
宰	tse1	
宰	tse3	
害	ɦe6	
宴	i5	
宵	ɕiɔ1	
家	ko1	
家	tɕia1	文
家	tɕyo1	归～
容	ɦyoŋ2	
宿	ɕiʏ5	星〜
宿	soʔ7	
寄	tɕi5	
寅	ɦiŋ2	
密	miəʔ8	
寇	kʰœø5	
富	fu5	
寐	mai6	
寒	ɦai2	
寓	ȵy6	
寞	moʔ8	
察	tsʰaʔ7	
寡	kuo3	
寢	tɕʰiŋ3	
寢	tɕʰiŋ5	
寥	liɔ2	
實	zœəʔ8	
寧	ȵiŋ2	
寧	ȵiŋ6	
寨	dza6	
審	ɕiŋ3	
寫	ɕia3	
寬	kʰuø1	
寵	tsʰoŋ1	
寵	tsʰoŋ3	
寶	pɔ3	
寸	tsʰəŋ5	
寺	zɿ6	
封	fəŋ1	
封	foŋ1	
射	ɦiəʔ8	
將	tɕiã1	〜来
將	tɕiã5	
專	tsø1	
尊	tsəŋ1	
對	tai5	
導	dɔ6	
小	ɕiɔ3	
少	ɕiɔ1	
少	ɕiɔ3	
尖	tɕi1	
尚	zɔ̃6	
尤	ɦiʏ2	
尥	liɔ6	
尬	ka5	
就	dʑiʏ6	
尷	kɛ1	
尸	sɿ1	
尺	tsʰaʔ7	
尺	tɕʰiəʔ7	
尼	ȵi2	
尾	mi2	
尾	vi2	
尿	ȵiɔ6	〜素
局	dʑyəʔ8	
屁	pʰi5	
居	tɕy1	
居	tɕy5	
屆	ka5	
屆	tɕie5	文
屈	tɕʰyəʔ7	
屋	oʔ7	
屍	sɿ1	
屎	sɿ3	
屏	biŋ2	
屑	ɕiəʔ7	
展	tɕi3	
屙	au5	
屜	tʰi5	
屠	du2	
屢	lai6	
層	zəŋ2	
履	li2	
屬	dzoʔ8	
屯	dəŋ2	
山	sɛ1	
岐	dʑi2	
岑	dzəŋ2	
岔	tsʰa5	文
岔	tsʰo5	
岡	kɔ̃1	
岱	de6	〜山
岸	ŋɛ6	
峯	fəŋ1	
峯	foŋ1	
峯	foŋ1	
島	tɔ1	
峽	kaʔ7	
峽	tɕiəʔ7	
崇	dzoŋ2	
崑	kʰuəŋ1	
崔	tsʰai1	
崖	ɦia2	山～
崗	kɔ̃1	
崩	pəŋ1	文
崩	poŋ1	
嵌	kʰɛ1	
嵌	kʰɛ5	
嶽	ŋoʔ8	
巖	ŋɛ2	
川	tsʰø1	
州	tɕiʏ1	
巡	zoŋ2	
巢	dzɔ2	
工	koŋ1	
左	tsau5	
巧	tɕʰiɔ3	
巨	dʑy2	
巫	ɦu2	
差	tsʰɿ1	参〜
差	tsʰa1	〜不多
差	tsʰa1	出〜
差	tsʰo1	〜不多
己	tɕi5	
已	i1	
已	ɦi2	
巳	zɿ2	
巴	pa1	文
巴	puo1	
巷	ɦɔ̃6	
巾	tɕiŋ1	
市	zɿ2	
布	pu5	
帆	vɛ2	
希	ɕi1	
帕	pʰau5	
帕	pʰaʔ7	
帖	tʰiəʔ7	
帚	tɕiʏ3	
帛	baʔ8	
帝	ti5	
帥	se5	
師	sɿ1	
席	ɦiəʔ8	
帳	tɕiã5	
帶	ta5	
常	dzɔ̃2	
帽	mɔ6	
幅	foʔ7	
幔	muø6	
幕	mau2	
幫	pɔ̃1	
干	ki1	
平	biŋ2	
年	ȵi2	
幸	ɦiŋ2	
幹	ki5	
幺	iɔ1	
幻	ɦuɛ2	
幼	iʏ5	
幽	iʏ1	
幽	iʏ3	灯不亮
幾	tɕi3	
庇	pi5	
牀	zɔ̃2	
序	zʮ2	
底	ti3	
店	ti5	
庚	kã1	
庚	kəŋ1	文
府	fu3	
度	du6	
座	zau6	
庫	kʰu5	
庭	diŋ2	
庵	ai1	
庶	sʮ5	
庶	tso5	
康	kʰɔ̃1	
庸	ɦyoŋ2	
廁	tsʰɿ5	
廂	ɕiã1	
廈	ɦo2	〜门
廉	li2	
廊	lɔ̃2	
廓	kʰoʔ7	
廖	liɔ6	姓
廚	dzʮ2	
廝	sɿ1	
廟	miɔ6	
廠	tɕʰiã3	
廢	fi5	
廣	kuɔ̃3	
廬	lu2	
廳	tʰiŋ1	
延	ɦi2	
廷	diŋ2	
建	tɕi5	
弄	loŋ6	
弊	bi6	
式	ɕiəʔ7	
弓	koŋ1	
引	ɦiŋ2	
弘	ɦoŋ2	
弟	di2	
弦	ɦi2	
弱	ɦiəʔ8	
張	tɕiã1	
弸	pã5	
弼	biəʔ8	
彀	kœø5	往上〜
彀	kʰoʔ7	
彈	dɛ2	〜琴
彈	dɛ6	子〜
彌	mi2	
彎	uɛ1	
形	ɦiŋ2	
彩	tsʰe3	
彪	piɔ1	
彬	piŋ1	
彭	bã2	
影	iŋ3	
彷	fɔ̃3	
役	ɦyəʔ8	
彼	pai5	
往	uɔ̃3	
待	de2	
很	həŋ3	
律	liəʔ8	
後	ɦœø2	
徐	ʑi2	
徑	tɕiŋ5	
徒	du2	
得	taʔ7	
徙	ɕi3	
從	tsʰoŋ1	〜容
從	dzoŋ2	跟〜
御	ȵy6	
復	foʔ7	
循	zoŋ2	
微	vi2	
徵	tɕiŋ1	
德	taʔ7	
徽	huai1	
心	ɕiŋ1	
必	piəʔ7	
忌	dʑi6	
忍	zoŋ2	
忒	tʰaʔ7	
忖	tsʰəŋ3	
志	tsɿ5	
忘	mɔ̃2	
忘	vɔ̃2	文
忙	mɔ̃2	
忠	tsoŋ1	
忠	tɕyoŋ1	
快	kʰua5	
快	kʰuɛ5	
念	ȵie6	
忽	huaʔ7	
忿	vəŋ2	
怒	nu6	
怕	pʰa5	文
怕	pʰuo5	
怖	pu5	
思	sɿ1	
怠	de2	
急	tɕiəʔ7	
性	ɕiŋ5	
怪	kua5	
怯	tɕʰiəʔ7	
怱	tsʰoŋ1	
恃	zɿ2	
恆	ɦəŋ2	
恐	kʰoŋ1	
恕	sʮ5	
恢	kʰuai1	
恢	huai1	
恨	ɦəŋ6	
恩	əŋ1	
恭	koŋ1	
息	ɕiəʔ7	
恰	tɕʰiəʔ7	
悄	tɕʰiɔ3	
悅	ɦyəʔ8	
悉	ɕiəʔ7	
悔	huai3	
悟	nu6	
悟	ɦu6	
悠	iʏ1	
患	ɦuɛ6	
悲	pai1	
悶	məŋ6	
情	dʑiŋ2	
惑	ɦoʔ8	
惜	ɕiəʔ7	
惟	vi2	
惠	ɦuai6	
惡	u5	可〜
惡	oʔ7	善〜
惰	dau2	
惱	nɔ2	
想	ɕiã3	
愁	zœø2	
愈	ɦy2	
愉	ɦy2	
意	i5	
愚	ȵy2	
愛	e5	
愜	ɕia5	
感	ki3	
愣	ləŋ2	
愧	kʰuai1	
愰	huã5	〜来〜去
慄	liəʔ8	
慈	dzɿ2	
態	tʰe5	文
慌	huɔ̃1	
慎	zoŋ6	
慕	mau6	
慚	dzɛ2	
慢	mɛ6	
慣	kuɛ5	
慧	ɦuai6	
慨	kʰe5	
慪	œø3	
慫	tsʰoŋ3	
慮	li6	
慰	uai5	
慶	tɕʰiŋ5	
慷	kʰɔ̃3	
憋	piəʔ7	
憎	tsəŋ1	
憐	li2	
憑	biŋ2	
憤	vəŋ2	
憨	hai1	
憫	miŋ2	
憲	ɕi5	
憶	i5	
憾	hai5	
懁	huɛ1	
懂	toŋ3	
懈	ɦie6	
懊	ɔ5	
懵	mɔ̃2	〜懂
懶	lɛ2	
懷	ɦuɛ2	
懸	ɦye2	
懼	dʑy6	
戊	ɦu6	
戌	sœəʔ7	
戍	sʮ5	
戎	ȵyoŋ2	
成	dʑiŋ2	
我	ŋo2	
我	ŋau2	
戒	ka5	
戒	tɕie5	文
或	ɦoʔ8	
戚	tɕʰiəʔ7	
戟	tɕiəʔ7	
戰	tsø5	
戲	ɕi5	
戳	tsʰoʔ7	
戴	ta5	
戴	te5	文
戶	ɦu2	
戽	fu5	
房	vɔ̃2	
所	so1	
所	so3	
扁	pi3	
扇	ɕi5	
手	ɕiʏ3	
才	dze2	
打	tã3	
扔	dʑiŋ2	
托	tʰoʔ7	
扣	kʰœø5	
扭	ȵiʏ2	
扮	pɛ5	
扯	tsʰo3	
扳	pɛ1	
扶	ɦu2	
批	pʰi1	
扼	aʔ7	
扽	təŋ5	
找	tsɔ3	
承	dʑiŋ2	
技	dʑi2	
把	pa3	文
把	puo1	〜握
把	puo3	一～
抑	iəʔ7	
抓	tsɔ1	
投	dœø2	
抖	tœø3	
抗	kʰɔ̃5	
折	tsœəʔ7	
折	ʑiəʔ8	〜本
折	ɦiəʔ8	〜本
披	pʰi1	
抱	bɔ2	
抲	kʰo5	〜鱼
抵	ti1	
抵	ti3	
抹	maʔ8	
押	aʔ7	
抽	tɕʰiʏ1	
抿	miŋ2	
拄	tsʮ3	〜拐杖
拆	tsʰaʔ7	
拇	mœø2	
拈	ȵi2	
拉	ʔla1	
拋	pʰɔ1	
拌	bø2	
拌	buø2	
拍	pʰaʔ7	
拎	ʔliŋ1	
拐	kua3	
拒	dʑy2	
拔	baʔ8	
拖	tʰa1	
拖	tʰau1	文
