#漢字	音標	解釋
#簡稱	/	岳陽榮家灣
#全稱	/	岳陽榮家灣話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5a 3a 全陰去 ꜄,21 6 3c 陽去 ꜅,5 7 4a 陰入 ꜆,22 8 4b 陽入 ꜇,,,,,,,24 5b 3b 次陰去 ꜂
#版本	/	2022-02-13
#錄入人	/	跳跳老鼠
#參考資料	/	《岳陽縣方言語音研究》
#說明	/	
僥	tɕiau3	～幸
僧	sən1	
僱	ku5	
僵	tɕiɔŋ1	
價	tɕia5	
僻	bʱi7	
儀	ȵi2	
儂	ləŋ2	
億	i5	
儉	tɕiẽ3	
儘	tɕin6	
償	sɔŋ2	
儡	li6	傀～
優	iəu1	
儲	ky2	～蓄
儼	ȵiẽ3	～然
允	uen3	
元	uø̃2	
兄	ɕiəŋ1	
充	dzʱəŋ1	
兆	sau6	
兇	ɕiəŋ1	
先	ɕiẽ1	
光	kuɔ̃1	
克	ɡʱe7	
兌	ti5	
免	miẽ3	
兒	ø2	
兔	dʱəu15	
兜	tau1	
入	y8	
內	li6	
全	tɕiẽ2	
兩	liɔŋ3	～個；幾～嘰錢
八	pɛ7	
公	kəŋ1	
六	ləu8	
兮	ɕi1	
共	kəŋ6	
兵	pin1	
其	tɕi2	
具	ky6	
典	tiẽ3	
兼	tɕiẽ1	
冀	tɕi5	
冉	uø̃3	
冊	dzʱe7	
再	tsɛ5	
冒	mɔo5	
冠	kuø̃1	衣～
冠	kuø̃5	～軍
冤	uø̃1	
冥	min2	
冬	təŋ1	
冰	pin1	
冷	liaŋ3-	
冷	lən3=	
准	kuen3	
凌	lin6-	下～：結冰
凌	lin2=	
凍	təŋ5	
凝	ȵin2	
凡	fã2	
凰	fɔ̃2	
凱	ɡʱai3	
凳	tən5	
凶	ɕiəŋ1	
凹	ŋɔo1	
出	ɡʱy7	
凼	tø̃6	(存疑)坑
函	xø̃2	
刀	tɔo1	
刁	tiau1	
刃	vən3	
分	fən1	～開
切	dʑʱi7	～開
刊	ɡʱø̃1	
刎	vən3	
刑	ɕin2	
划	fua2	～船
列	li8	
初	dzʱəu1	
判	bʱø̃15	
別	bʱi8	區～；離～
刨	bʱɔo2	～地
利	li6	
刪	sã1	
刮	kua7	
到	to5	
制	tsɿ5	
刷	sa7	
券	kuø̃5	
刺	dzʱɿ15	
刻	ɡʱe7	時～；刀～
剁	to5	
剃	dʱi15	
則	tse7	
削	ɕio7	
剋	ɡʱe7	省
前	tɕiẽ2	
剔	dʱi7	
剖	bʱiau3-	
剖	bʱəu3=	
剛	kɔŋ1	
剜	uø̃3	
剝	pʊ7	
剩	sən6	
剪	tɕiẽ3	
剮	kua3	
副	fu5	
割	kø7	
創	dzʱɔŋ15	
剿	tɕiau3	
劃	fua6	
劄	tsa7	用針～
劇	ɕy7	
劈	bʱia7-	
劈	bʱi7=	
劉	liəu2	
劊	kuɛ5	
劍	tɕiẽ5	
劑	tɕi5	一～藥
力	li8	
功	kəŋ1	
加	tɕia1	
劣	li8	
助	tsəu6	
努	ləu3	
劫	tɕi7	
勁	tɕin5	有～
勁	tɕin5	
勁	tɕin3=	
勃	bʱʊ7	
勇	iəŋ3	
勉	miẽ3	
勒	lø8	
動	təŋ6	
勘	ɡʱø̃1	
務	vu6	
勝	sən5	～敗；～任
勞	lɔo2	
募	mo6	
勢	sɿ5	
勤	tɕin2	
勳	fən1	
勵	li6	
勸	ɡʱuø̃15	
勺	sau2	
勻	uen2	
勾	tɕiau1-	
勾	kəu1=	
勿	vu8	
包	pɔo1	
匆	dzʱəŋ1	
匈	ɕiəŋ1	
化	fua5	
北	pø7	
匙	sɿ2	湯～；鑰～
匠	dʑʱiɔŋ6	
匡	ɡʱuɔ̃1	
匣	tɕia7	箱～
匪	fei3	
匯	fei6	
匹	bʱi7	
匾	piẽ3	
匿	ȵi7	
區	ɡʱy1-	
區	dʑʱy1=	～域
十	sɿ7	
千	dʑʱiẽ1	
升	sən1	
午	u3	
半	pø̃5	
卑	pe1	
卒	tsəu7	士～
卓	tso7	
協	ɕi7	
南	lø̃2	
博	pʊ7	
卜	bʱʊ7	
占	tsø̃1	～卜
卡	ɡʱa3	
卦	kua5	
卯	mɔo3	
印	in5	
危	uei2	
即	tɕi7	
卵	lo3	
卸	ɕi5	
卹	ɕi7	
卻	dʑʱio7	
卿	dʑʱin1	
厚	xau6	
原	uø̃2	
厥	kuø7	
厭	iẽ5	
厲	li6	
去	dʑʱi15	
參	sɛ̃1	
參	dzʱø̃1	
參	sən1	人～
又	iəu6	
叉	dzʱa1	
及	tɕi7	
友	iəu3	
反	fã3	
叔	səu7	
取	dʑʱi3	
受	səu6	
叛	bʱø̃15	
叢	tsəŋ2	
口	dʑʱiau3	
古	ku3	
句	ky5	
另	lin6	
叨	tɔo1	嘮～
叩	ɡʱɔo15	～頭
只	tsɿ5	～有
叫	tɕiau5	
召	tsau1	
可	ɡʱo3	
史	sɿ3	
右	iəu6	
司	sɿ1	
各	ko7	
吆	iau1	～喝
合	xø7	十～一升
合	xø8	集～
吉	tɕi7	
吊	tiau5	
同	təŋ2	
名	miaŋ2-	
名	min2=	
后	xau6	
吏	li6	
吐	dʱəu15	～痰；嘔～
向	ɕiɔŋ5	
君	kuen1	
吝	ȵin6	～嗇
吞	dʱən1	
吟	in2	
吠	fei5	
否	fu3-	
否	fəu3=	
吩	fən1	
含	xø̃2	
吳	u2	
吸	tɕi7	
吸	tɕin7	
吹	dʑʱy1-	
吻	vən3	
吼	xɔo3	
吾	u2	
呂	li3-	
呂	y3=	
呆	ŋai2	
呈	tsən2-	
呈	dzʱən2=	
告	kɔo5	
周	tsəu1	
味	uei6	
呼	fu1	
命	miaŋ6-	
命	min6=	
和	xo2	～氣；～面
和	xo6	
咐	fu5	
咒	tsəu5	
咬	ŋau3-	
咬	iau3=	
咯	ka3	(存疑)雞～～：小孩稱雞蛋
咯	ko7	母雞下蛋後的叫聲
咳	ɡʱe7	～嗽
咸	xã2	～陽
哀	ŋai1	
品	bʱin3	
哄	xəŋ2	
哈	xa3	(存疑)傻
員	uø̃2	
哥	ko1	
哪	la3	～個
哭	ɡʱu7	
哲	tsø7	
哼	xen1	
唆	so1	囉～
唇	sən2	
唐	tɔŋ2	
售	səu6	
唯	uei2	
唱	dzʱɔŋ15	
唾	dʱo15	～液
啃	dʑʱien3-	
啃	ɡʱen3=	
啄	tso7	
商	sɔŋ1	
問	vən6	
啞	ŋa3-	～色：顏色不亮
啞	ia3=	
啟	dʑʱi3	
啼	ti2	
善	sø̃6	
喉	xau2	
喊	xã3	
喘	dʱuø̃3	
喚	fø̃5	
喜	ɕi3-	
喝	xø7	～酒；～彩；吆～
喧	ɕiẽ1	
喪	sɔŋ1	婚～
喪	sɔŋ5	～失
喫	dʑʱia8	
喬	tɕiau2	
單	tã1	～位
單	tɛ̃1	
單	tsø̃2	
喻	y6	
嗅	ɕiəŋ5-	
嗅	ɕiəu5=	
嗇	se7	
嗍	so1	吸吮
嗓	sɔŋ3	
嗜	sɿ6	
嗣	tsɿ2	
嗤	dzʱɿ3	～笑
嗽	səu5	咳～
嘆	dʱã15	
嘉	tɕia1	
嘔	ȵiau3-	～吐
嘔	ŋəu3=	
嘗	sɔŋ2	
嘮	lɔo2	～叨
嘲	dzʱɔo2	
嘴	tɕi3-	
嘴	tsei3=	
嘹	liau2	
噍	dʑʱiau1	
噎	i7	
噓	ɕy1	吹～
噦	ya15	大聲叫喊
器	dʑʱi15	
噴	fən5	～水；～香
嚇	xa7-	～唬
嚇	xe7	
嚇	ɕia7=	
嚎	xɔo2	
嚴	ȵiẽ2	
嚷	iɔŋ3	
嚼	tso7	
囂	ɕiau1	
囉	lo1	
囊	lɔŋ2	
囑	tsəu7	
囚	tɕiəu2	
四	sɿ5	
回	fei2	
因	in1	
囤	tən5	
囪	dzʱəŋ1	
困	ɡʱuen15	
固	ku5	
圈	ɡʱuø̃1	圓～
圈	kuø̃5	豬～
國	kuø7	
圍	uei2	
園	uø̃2	
圓	uø̃2	
圖	təu2	
團	dʱø̃2	
土	dʱəu3	
在	te6	
在	tse6	
圭	kuei1	
地	ti6	～蝨婆：一種昆蟲，拇指般大，黑色，可入藥
址	tsɿ3	
均	kuen1	
坊	fuɔ̃3	
坍	dʱã1	
坎	ɡʱø̃3	
坐	tso6	
坑	ɡʱaŋ1-	
坡	bʱʊ1	
坤	kuen1	
坦	dʱɛ̃3	
坨	to2	～子：拳頭
坪	piaŋ2-	
坪	pin2=	
坯	bʱe1	土～
坳	ŋɔo5	
垂	kuei2	
型	ɕin2	
垛	to6	疊置
垢	kəu5	
垮	ɡʱua3	
垻	pa5	
埂	ken3	
埃	ŋai2	
埋	mai2	
城	tsən2	
域	y7	
埠	po6	商～
執	tsɿ7	
培	pi2	
基	tɕi1	
堂	tɔŋ2	
堅	tɕiẽ1	
堆	te1	
堡	pɔo3	
堤	ti1	
堪	ɡʱø̃1	～誤；～探
堯	iau2	
堰	iẽ5	
報	pɔo5	
場	tsɔŋ2	
堵	təu3	
塊	kuɛ3	
塋	iəŋ2	
塌	dʱa7	
塍	sən2	田～
塑	so7	～像
塔	dʱa7	
塗	təu2	
塘	tɔŋ2	
塞	se7	
塢	vu1	
填	tiẽ2	
塵	tsən2	
境	tɕin3	
墊	tiẽ6	
墓	mo6	
墜	ɡʱuei15	
增	tsən1	
墟	ɕy1	
墨	mø8	
墩	tən1	
墳	fən2	
墾	dʑʱien3-	
墾	ɡʱen3=	
壁	pia7-	
壁	pi7=	
壅	iəŋ1	
壇	tɛ̃2	
壓	ŋe7	
壕	xɔo2	
壘	li6	
壞	fe6	
壟	ləŋ3	
壤	iɔŋ6	土～
壩	pa5	
士	sɿ6	
壬	vən6	
壯	tsɔŋ5	
壺	fu2	
壽	səu6	
夏	xa6-	春～秋冬
夏	ɕia6=	姓氏；～天
夕	ɕi7	
外	ve6	
多	to1	
夜	ia6-	
夜	ie6=	
夠	kɔo5	
夢	məŋ6	
夥	xo3	
大	ta6=	～家；～夫
天	dʱiẽ1	
太	dʱai15	
夫	fu1	
央	iɔŋ1	
失	sɿ7	
夷	i2	
夾	kɛ7	
奇	tɕi2	
奈	lai6	
奉	xəŋ6	
奎	kuei1	
奏	tsau5	
契	dʑʱi15	～約
奔	pən1	
套	dʱɔo15	
奚	ɕi1	
奠	tiẽ6	
奢	sø1	
奧	ŋɔo5	
奪	dʱø8	
奮	fən5	
女	ŋy3-	
女	y3=	
奴	ləu2	
奶	lai3	
奸	kã1-	
奸	tɕiẽ1=	
好	xɔo3	～壞
好	xɔo5	喜～
妃	fei1	
妄	uɔ̃2	
妒	təu5	
妓	tɕi6	
妖	iau1	
妙	miau6	
妝	tsɔŋ1	
妥	dʱo3	
妨	fuɔ̃2	～礙
妹	me6	
妻	dʑʱi1	
妾	dʑʱi7	
姆	m̩3	～媽：媽媽
姊	tsɿ3	
始	sɿ3	
姐	tɕia3-	
姐	tɕi3=	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iau2	
姜	tɕiɔŋ1	
姥	lɔo3	
姦	kã1-	
姨	i2	
姻	in1	
威	uei1	
娘	ȵiɔŋ2	
娛	u2	
娠	sən2	
娩	miẽ3	分～
娭	ŋai1	(訓讀)～□：奶奶
娶	dʑʱi3	
婆	pʊ2	
婉	uø̃3	
婚	fən1	
婢	pei1	
婦	fu6	
婿	ɕi5	女～
媒	me2	
媚	mi2	
媳	ɕi7	
媽	ma1	
嫁	ka5-	～女
嫂	sɔo3	
嫌	ɕiẽ2	
嫖	piau2	～賭
嫡	ti7	
嫨	xø̃1	慢吞吞
嫩	lən6	
嬉	ɕi1	
嬌	tɕiau1	
嬰	in1	
嬸	sən3	
孀	sɔŋ1	
孃	ȵiɔŋ2	
子	tsɿ3	
孔	ɡʱəŋ3	
孕	vən6	
字	tsɿ6	
存	tsən2	
孝	ɕiau5	
孟	məŋ6	
季	tɕi5	
孤	ku1	
孩	xai2	
孫	sən1	
孵	fu1	
孵	fu2=	
學	ɕio7	
孽	ȵi7	
它	dʱa1	
宅	tse7	
宇	y3	
守	səu3	
安	ŋø̃1	
宋	səŋ5	
完	uø̃2	
宏	xəŋ2	
宕	tɔŋ5	
宗	tsəŋ1	
官	kuø̃1	
宙	dzʱəu6	
定	tiaŋ6-	
定	tin6=	
宛	uø̃3	
宜	ȵi2	
客	ɡʱa7-	
客	ɡʱe7=	
宣	ɕiẽ1	
室	sɿ8	
宦	fã6	
宮	kəŋ1	
宰	tsai3	
害	xe6	
宴	iẽ5	
宵	ɕiau1	
家	ka1-	自～
家	tɕia1=	
容	iəŋ2	
宿	ɕiəu5	星～
宿	səu7	
寂	dʑʱi7	
寄	tɕi5	
寅	in2	
密	mi8	
寇	dʑʱiau15	
富	fu5	
寐	mi6	
寒	xø̃2	
寓	y6	
寞	mo6	
察	dzʱɛ7	
寡	kua3	
寢	dʑʱin3	
實	sɿ8	
寧	ȵin2	
寨	sɛ5	
審	sən3	
寫	ɕia3-	
寬	ɡʱø̃1	
寵	dzʱəŋ3	
寶	pɔo3	
寸	dzʱən15	
寺	tsɿ6	
封	xəŋ1	
射	sa6-	
將	tɕiɔŋ1	～來
將	tɕiɔŋ5	大～
專	kuø̃1	
尊	tsən1	
尋	tɕin2-	
尋	ɕin2=	
對	te5	
導	dʱɔo15	
小	ɕiau3	
少	sɔo3	多～
少	sɔo5	～年
尖	tɕiẽ1	
尚	sɔŋ6	
尤	iəu2	
尬	kai5	
就	tɕiəu6	
尷	kã1	～尬
尸	sɿ1	
尹	uen3	
尺	dzʱa7	
尼	ȵi2	
尾	uei3	
尿	ɕi1-	～尿=
尿	ȵiau6=	
局	ky7	
屁	bʱi15	
居	ky1	
屆	kai5-	
屆	tɕie5=	
屈	tɕy7	
屋	vu7	
屌	tiau3	男陰；厲害
屎	sɿ3	
屏	pin2	
屐	tɕi1	
屑	ɕi7	不～；木～
展	tsø̃3	
屜	dʱi15	抽～
屠	təu2	
屢	li3-	
屢	lei3	
層	tsən2	
履	li3	
屬	səu8	
屯	tən2	
山	sã1	
岐	tɕi2	
岑	tɕiẽ2	
岔	dzʱa15	三～路
岡	kɔŋ1	
岩	ŋɛ̃2-	
岩	ȵiẽ2	
岩	iẽ2=	
岳	io8	
岸	ŋø̃6	
峯	xəŋ1	
島	tɔo3	
峽	ɕia7	
崇	tsəŋ2	
崑	kuen1	
崔	dʑʱi1	
崖	ia2	
崗	kɔŋ1	
崙	lən2	
崩	pən1	
崽	tsɛ3	
嵌	ɡʱã1	
嶺	liaŋ3-	
嶺	lin3=	
嶽	io8	
川	ɡʱuø̃1	
州	tsəu1	
巡	ɕin2	
巢	tsɔo2	
工	kəŋ1	
左	tso3	
巧	dʑʱiau3	
巨	ky6	
巫	vu1	
差	dzʱa1	～別；～不多；參～
差	dzʱɛ1	出～
己	tɕi3	
已	i3	
巳	tsɿ6	辰～
巴	pa1	
巷	xɔŋ6-	
巷	ɕiaŋ6=	
巾	tɕin1	
市	sɿ6	
布	po5	
帆	fã2	
希	ɕi1	
帕	bʱa15	
帖	dʱi7	請～；碑～
帘	liẽ2	
帚	tsəu3	
帛	pø7	
帝	ti5	
帥	sɛ5	
師	sɿ1	
席	ɕi8	
帳	tsɔŋ5	
帶	tai5	
常	sɔŋ2	
帽	mɔo6	
幅	fu7	
幌	fɔ̃3	
幔	mã6	
幕	mo6	
幟	tsɿ5	
幣	pi5	
幫	pɔŋ1	
干	kø̃1	
平	piaŋ2-	
平	pin2=	
年	ȵiẽ2	
幸	ɕin6	
幹	kã5	
幺	iau1	～二三
幻	fã6	
幼	iəu5	
幽	iəu1	
幾	tɕi1	
幾	tɕi3	
庇	bʱi15	
牀	tsɔŋ2	
序	ɕi6	
底	ti3	
店	tiẽ5	
庚	ken1	
府	fu3	
度	təu6	
座	tso6	
庫	ɡʱu15	
庭	dʱin2	
庵	ŋø̃1	
庶	ɕy5	
康	ɡʱɔŋ1	
庸	iəŋ2	
廁	dzʱɿ1-	茅～：廁所
廁	dzʱe15=	
廂	ɕiɔŋ1	
廈	xa6-	～門
廈	ɕia6=	～門
廉	liẽ2	
廊	lɔŋ2	
廓	ko7	
廖	liau6	姓氏
廚	ky2	
廝	sɿ1	
廟	miau6	
廠	dzʱɔŋ3	
廢	fei5	
廣	kuɔ̃3	
廬	ləu2	～山
廳	dʱin1	
延	iẽ2	
廷	tin2	
建	tɕiẽ5	
建	tɕiẽ1=	
弄	ləŋ6	
弊	pi5	
式	sɿ5	
弓	kəŋ1	
引	in3	
弘	xəŋ2	
弟	ti6	
弦	fuø̃2-	
弦	ɕiẽ2=	
弱	ȵio8-	
弱	io8=	
張	tsɔŋ1	
強	tɕiɔŋ2	勉～
彈	tã2	～琴
彈	tɛ̃2	
彈	tã6	子～
彌	mi2	
彎	uã1	
彗	fei6	
彙	fei6	
形	ɕin2	
彩	dzʱai3	
彪	piau1	
彭	pən2	
影	in3	
役	y7	
彼	pi3	
往	uɔ̃3	
征	tsən1	
待	te6	
很	xen3	
律	li8	
後	xau6	
徑	tɕin1	
徒	təu2	
得	te7	
徙	ɕi3	
徛	tɕi6	
從	dzʱəŋ1	～容
從	tsəŋ2	跟～
御	y6	
徧	bʱiẽ15	
復	fu7	
循	ɕin2	
微	uei1	
徵	tsən1	
德	te7	
徹	dzʱø7	
徽	fei1	
心	ɕin1	
必	pi7	
忌	tɕi6	
忍	vən3	
忖	dzʱən15	
志	tsɿ5	
忘	uɔ̃2	
忙	mɔŋ1	
忠	tsəŋ1	
快	ɡʱuɛ15	
念	ȵiẽ6	
忽	fu8	
忿	fən5	
怒	ləu6	
怕	bʱa15	
怖	bʱo15-	
思	sɿ1	
怠	te6	
急	tɕi7	
性	ɕin5	
怨	uø̃6	
怪	kuɛ5	
怯	dʑʱi7	
恃	tsɿ2	
恆	xen2	
恍	fɔ̃3	
恐	ɡʱəŋ3	
恕	ɕy5	
恙	iɔŋ6	
恢	fei1	
恤	ɕi7	
恥	dzʱɿ3	
恨	xen6	
恩	ȵien1	
恭	kəŋ1	
息	ɕi7	
恰	dʑʱia7	
恿	iəŋ3	
悄	dʑʱiau3	
悅	yø7	
悉	ɕi7	
悔	fei3	
悟	u6	
悠	iəu1	
患	fã6	
悲	pe1	
悶	mən6	
悼	dʱɔo15	
情	tɕin2	
惋	uø̃5	
惑	xø8	
惜	ɕi7	
惟	uei2	
惠	fei6	
惡	ŋo5	可～；～人
惡	ŋo7	善～
惰	to6	
惱	lɔo3	
想	ɕiɔŋ3	
惹	ia3	
愁	tsau2	
愈	y6	
意	i5	
愛	ŋɛ5	
感	kø̃3	
愧	ɡʱuei15	
慈	tsɿ2	
態	dʱai15	
慌	fɔ̃1	
慎	sən6	
慕	mo6	
慘	dzʱã3	
慚	tsã2	
慢	mã6	
慣	kuã5	
慧	fei6	
慨	ɡʱai15	慷～
慪	ȵiau5-	～氣
慪	ŋəu5=	
慫	səŋ3	～恿
慮	li6-	
慮	lei6	
慰	uei5	
慶	dʑʱin15	
慷	ɡʱɔŋ1	
憂	iəu1	
憋	pi7	
憎	tsən1	
憐	liẽ2	
憑	pin2	
憤	fən5	
憨	xø̃1	
憫	min3	
憲	ɕiẽ5	
憶	i5	
憾	xã3	
懂	təŋ3	
懇	dʑʱien3-	
懇	ɡʱen3=	
應	in5	～當；～對
懊	ŋɔo5	～惱；～悔
懦	lo6	
懲	tsən2	
懵	məŋ3	
懶	lɛ̃3	
懷	fɛ2	
懸	fuø̃2-	
懸	ɕiẽ2=	
懺	dzʱã15	
懼	ky6	
戀	liẽ5	
戈	ko1	
戊	u6	
戌	ɕi7	
戍	ɕi5	
戎	iəŋ2	
成	tsən2	
我	ŋo3	
戒	kai5-	
戒	tɕie5=	
或	xø8	
戚	dʑʱi7	
戟	tɕi7	
