#漢字	音標	解釋
#簡稱	/	西安
#全稱	/	西安話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,53 3 2 上 ꜂,,44 5 3 去 ꜄
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A>漢語多功能字庫</a>
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
占	tʂã1	
卡	tɕʰia1	
卡	tɕʰia3	
卡	tɕʰia5	
卡	kʰa3	
卦	kua5	
卯	mau3	
印	iẽ5	
危	uei1	
即	tɕi1	
卵	nuã3	
卵	luã3	
卷	tɕyã5	
卸	ɕiɛ5	
卻	tɕʰyo1	
卿	tɕʰiŋ1	
厚	xou5	
原	yã2	
厭	iã5	
厲	li5	
去	tɕʰi5	
去	tɕʰy5	
參	tsʰã1	
參	sẽ1	
又	iou5	
叉	tsʰa1	
叉	tsʰa5	
及	tɕi2	
友	iou3	
反	fã1	
反	fã3	
叔	fu1	
叔	sou2	
取	tɕʰy3	
受	ʂou5	
叛	pʰã5	
叟	sou3	
叢	tsʰuŋ2	
口	kʰou1	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tau1	
叩	kʰou5	
只	tsɿ1	
叫	tɕiau5	
召	tʂau1	
可	kʰɤ1	
可	kʰɤ3	
史	sɿ3	
右	iou5	
司	sɿ1	
吃	tʂʰʅ1	
各	kɤ1	
吆	iau1	
合	kɤ1	
合	xuo2	
吉	tɕi1	
同	tʰuŋ2	
名	miŋ2	
吐	tʰu3	
向	ɕiaŋ5	
君	tɕyẽ1	
吝	liẽ5	
吞	tʰəŋ1	
吟	iẽ2	
否	fu3	
含	xã2	
吳	u2	
吵	tsʰau3	
吸	ɕi1	
吹	pfʰei1	
吼	xou3	
呂	ly3	
呆	ŋai2	
呈	tʂʰəŋ2	
告	kau5	
呢	ni2	
周	tʂou1	
味	vi5	
呻	ʂẽ1	
呼	xu1	
命	miŋ5	
咂	tsa1	
咋	tsa3	
和	xu2	
和	xuo2	
和	xuo5	
咒	tʂou5	
咥	tiɛ2	
咧	liɛ1	
咨	tsɿ1	
咪	mi5	
咬	niau3	
咱	tsai2	
咳	kʰɯ1	
咸	ɕiã2	
哀	ŋai1	
品	pʰiẽ3	
哄	xuŋ3	
員	yã2	
哥	kɤ1	
哨	sau5	
哭	kʰu1	
哲	tʂɤ5	
哼	xəŋ1	
唇	fẽ2	
唐	tʰaŋ2	
售	ʂou5	
唯	vi2	
唱	tʂʰaŋ5	
唾	tʰuo5	
商	ʂaŋ1	
問	vẽ5	
啓	tɕʰi3	
啖	tã5	
啞	ia3	
啥	sa5	
啼	tʰi2	
善	ʂã5	
喇	la3	
喉	xu2	
喊	xã3	
喘	pfʰã3	
喚	xuã5	
喜	ɕi3	
喝	xuo1	
喧	ɕyã1	
喪	saŋ1	
喪	saŋ5	
喬	tɕʰiau2	
單	tã1	
單	ʂã2	
喻	y5	
嗅	ɕiou3	
嗆	tɕʰiaŋ5	
嗇	sei1	
嗉	su5	
嗑	kʰuo5	
嗓	saŋ3	
嗜	sɿ5	
嗩	suo3	
嘆	tʰã5	
嘈	tsʰau2	
嘉	tɕia1	
嘔	ŋou1	
嘗	tʂʰaŋ2	
嘟	tu1	
嘮	lau2	
嘴	tsuei3	
嘻	ɕi1	
噆	tsã1	
噎	iɛ1	
噘	tɕyɛ2	
噙	tɕʰiẽ2	
器	tɕʰi5	
噴	pʰẽ1	
噴	pʰẽ5	
嚇	xa5	
嚥	iã5	
嚴	iã2	
嚴	niã2	
嚷	ʐaŋ5	
嚼	tɕyo2	
囂	ɕiau1	
囉	luo1	
囑	pfu1	
囑	tsou1	
囔	naŋ1	
囚	ɕiou2	
四	sɿ5	
回	xuei2	
囟	ɕiẽ5	
因	iẽ1	
囤	tuẽ5	
囤	tʰuẽ2	
困	kʰuẽ5	
固	ku5	
圃	pʰu3	
圈	tɕyã5	
圈	tɕʰyã1	
國	kuei1	
圍	uei2	
園	yã2	
圓	yã2	
圖	tʰu2	
團	tʰuã2	
土	tʰu3	
在	tsai5	
圪	kɯ1	
地	ti5	
址	tsɿ3	
均	tɕyẽ1	
坎	kʰã3	
坐	tsuo5	
坑	kʰəŋ1	
坡	pʰo1	
坤	kʰuẽ1	
坦	tʰã3	
坨	tʰuo2	
坪	pʰiŋ2	
坯	pʰei1	
坷	kʰɯ1	
垂	pfʰei2	
型	ɕiŋ2	
垢	kou3	
垮	kʰua3	
埋	mai2	
埋	mã2	
城	tʂʰəŋ2	
域	y5	
執	tʂʅ1	
培	pʰei5	
基	tɕi1	
堂	tʰaŋ2	
堅	tɕiã1	
堆	tuei1	
堡	pu3	
堤	tʰi2	
堪	kʰã1	
堯	iau2	
堰	iã5	
報	pau5	
場	tʂʰaŋ1	
場	tʂʰaŋ2	
場	tʂʰaŋ3	
堵	tu3	
塊	kʰuai3	
塌	tʰa1	
塑	su5	
塑	suo1	
塔	tʰa1	
塗	tʰu2	
塘	tʰaŋ2	
塞	sei1	
塡	tʰiã2	
塵	tʂʰẽ2	
墁	mã5	
境	tɕiŋ5	
墊	tiã5	
墓	mu5	
墜	pfei5	
增	tsəŋ1	
墨	mei2	
墩	tuẽ1	
墳	fẽ2	
墾	kʰẽ1	
壁	pi1	
壇	tʰã2	
壓	nia1	
壕	xau2	
壘	luei3	
壞	xuai5	
壟	luŋ3	
壩	pa5	
士	sɿ5	
壬	ʐẽ2	
壯	pfaŋ5	
壺	xu2	
壽	ʂou5	
夏	ɕia5	
夕	ɕi1	
外	uai5	
外	uei5	
多	tuo1	
多	tuo2	
夜	iɛ3	
夜	iɛ5	
够	kou5	
夢	məŋ5	
夥	xuo3	
大	ta5	
大	tuo5	
天	tʰiã1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ3	
失	ʂʅ1	
夾	tɕia1	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi5	
奓	tsa5	
奔	pẽ1	
套	tʰau5	
奠	tiã5	
奧	ŋau5	
奪	tuo2	
奮	fẽ5	
女	ny3	
奴	nou2	
奶	nai3	
奸	tɕiã1	
好	xau3	
好	xau5	
如	vu2	
妃	fi1	
妄	vaŋ5	
妓	tɕi5	
妖	iau1	
妗	tɕiẽ5	
妙	miau5	
妥	tʰuo3	
妨	faŋ2	
妬	kou5	
妹	mei5	
妻	tɕʰi1	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	uei3	
姘	pʰiẽ1	
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姨	i5	
姪	tʂʅ2	
姻	iẽ1	
姿	tsɿ1	
威	uei1	
娃	ua2	
娃	ua5	
娘	niaŋ2	
娘	niaŋ5	
娛	y5	
娶	tɕʰy3	
婆	pʰo2	
婆	pʰo5	
婉	vã3	
婚	xuẽ1	
婦	fu5	
媒	mei2	
媳	ɕi1	
媽	ma1	
媽	ma2	
嫁	tɕia5	
嫂	sau3	
嫌	ɕiã2	
嫑	pau1	
嫖	pʰiau2	
嫩	nuẽ5	
嫽	liau2	
嬌	tɕiau1	
嬰	iŋ1	
嬸	ʂẽ3	
子	tsɿ3	
孔	kʰuŋ3	
孕	iẽ5	
字	tsɿ5	
存	tsʰuẽ2	
孝	ɕiau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
孩	xai2	
孫	suẽ1	
學	ɕyo2	
孽	niɛ1	
宅	tsei2	
宇	y5	
守	ʂou3	
安	ŋã1	
宋	suŋ5	
完	uã2	
宏	xuŋ2	
宕	taŋ5	
宗	tsuŋ1	
官	kuã1	
宙	tʂou5	
定	tiŋ5	
宜	ni2	
客	kʰei1	
宣	ɕyã1	
室	ʂʅ1	
宦	xuã5	
