#漢字	音標	解釋#('ja_kwan', '日語慣用音', '日語慣用', '#8B0000', None, None, '', None, None, None)
#簡稱	/	日語慣用#與文件名一致
#全稱	/	日語慣用音#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	None#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	#HTML格式，僅允許一行，用<br>換行
簿	[1]*bo*	
籔	[1]|suu|	
粟	zoku	
粰	[1]|hu|	
糂	zin	
糵	|ketu|	
紅	[1]*ku*	
紊	|bin|	
納	*naq*	
納	*nan*	
納	*tou(tahu)*	
紐	tyuu(tiu)	
紡	*bou(bau)*	
絆	ban	
絛	zyou(deu)	
絮	[1]zyo	
綌	geki	
綧	zyun	
綴	[1]tetu	
緒	*tyo*	
緖	*tyo*	
縦	*zyuu*	
縧	zyou(deu)	
縱	*zyuu*	
縵	[2]man	
纈	keti	
纓	|ou(au)|	
罘	hu	
罨	an	
罫	[2]kei	
罰	*batu*	
罰	*bati*	
罸	*batu*	
罸	*bati*	
羨	[2]*sen*	
羯	katu	
羲	gi	
翺	kou(kau)	
耐	[1]*tai*	
耗	*mou*	
耦	guu	
聚	syuu	
聚	|zyu|	
聵	kai(kwai)	
聶	syou(sehu)	
肫	[1]zyun	
胴	*dou*	
能	[2]|tai|	
脃	zei	
脆	zei	
脖	|botu|	
脗	hun	
脞	za	
脣	sin	
脯	[1]ho	
腔	|kuu|	
腧	|yu|	
腩	|nan|	
腯	|ton|	
腷	|huku|	
膎	|kei|	
膨	*bou(bau)*	
膸	*zui*	
臀	den	
臋	den	
臧	|zou|	
舊	|ku|	
舒	zyo	
般	[3]*han*	
艀	hu	
艟	[1]dou	
艨	mou	
艮	gon	
色	*syoku*	
艴	[1]hutu	
艴	|botu|	
芣	[1]hu	
芫	|gan(gwan)|	
芭	ba	
芻	suu	
茀	[4]|botu|	
茄	[2]|ka|	
茇	batu	
茎	*kei*	
茶	*tya*	
茷	[2]batu	
茺	|zyuu|	
茼	|dou|	
荀	zyun	
荗	zyutu	
荸	botu	
荼	[2]da	
莉	ri	
莖	*kei*	
莝	za	
莟	|gan|	
菅	|kan(kwan)|	
菝	|batu|	
菩	[4]bo	
菷	sou(sau)	
萆	[2]|hi|	
萌	bou(bau)	
萌	|hou(hau)|	
萠	bou(bau)	
萠	|hou(hau)|	
萬	*man*	
萱	|kan(kwan)|	
葢	[1]*gai*	
葧	botu	
蒁	zyutu	
蒐	syuu(siu)	
蒙	mou	
蒡	[2]|bou(bau)|	
蒭	suu	
蒸	*zyou*	
蒾	mei	
蓋	[1]*gai*	
蓖	hi	
蔓	[1]man	
蔔	huku	
蔗	|syo|	
蔚	[1]utu	
蔟	[1]|zoku|	
蕃	[2]|ban|	
蕡	[2]hun	
蕿	|kan(kwan)|	
薈	|kai(kwai)|	
薐	ryou	
薔	[1]syoku	
薴	|nei|	
藕	guu	
藙	ki	
藼	|kan(kwan)|	
虜	*ryo*	
虩	geki	
虵	[1]*da*	
虻	bou(bau)	
蚌	bou(bau)	
蚪	to	
蛇	[1]*da*	
蛗	hu	
蛙	[1]a	
蛻	[1]zei	
蜉	hu	
蜯	bou(bau)	
蝎	[2]katu	
蝱	bou(bau)	
蟄	titu	
蟆	[1]|ma|	
蟇	[1]|ma|	
蟯	gyou(geu)	
蟸	[2]rei	
蠍	katu	
蠓	|mou|	
蠖	kaku(kwaku)	
蠡	[2]rei	
蠰	[1]|zyou(zyau)|	
行	[2]*gyou(gyau)*	
衕	dou	
街	*gai*	
衘	gan	
袂	|hei|	
裕	*yuu*	
裴	|bai|	
裵	|bai|	
褞	on(won)	
褪	tai	
褶	[1]syuu(sihu)	
襄	zyou(zyau)	
襍	*zatu*	
襍	*zou(zahu)*	
襪	betu	
覆	[2]*huku*[3]*huku*	
覐	[2]*kaku*	
覕	[2]betu	
覚	[2]*kaku*	
覡	geki	
覺	[2]*kaku*	
觜	[1]si	
訊	zin	
訛	ka(kwa)	
訝	|gen|	
訥	totu	
詉	[1]do	
評	*hyou(hyau)*	
詢	zyun	
詣	*kei*	
該	*gai*	
詻	|kaku|	
誇	*ko*	
誓	|zei|	
誖	[2]botu	
誣	hu	
誩	|kyou(kyau)|	
説	[2]*zei*	
説	*setu*	
諄	zyun	
諉	|i(wi)|	
諢	kon	
諵	nan	
謎	mei	
謐	hitu	
謔	gyaku	
謖	syoku	
謗	bou(bau)	
譌	ka(kwa)	
譚	|dan|	
譣	[1]ken	
讒	zan	
豈	[2]gai	
豊	|bu|	
豌	en(wen)	
豐	|bu|	
貊	haku	
貝	bai	
貞	|tyou(tyau)|	
負	*hu*	
貪	*don*	
責	[1]*seki*	
貼	|ten|	
賃	*tin*	
賄	*wai*	
賉	zyutu	
賋	kou(kau)	
賍	zou(zau)	
賠	*bai*	
贅	zei	
贓	zou(zau)	
贔	|hii|	
赧	tan	
趍	[1]|suu|	
趨	[1]suu	
足	[2]|suu|	
趼	[1]|ken|	
跀	|gatu(gwatu)|	
跛	[2]|ha|	
跥	da	
跨	[1]ko	
踔	[2]taku	
蹛	[2]tai	
蹠	|syo|	
蹴	*syuu(siu)*	
蹼	boku	
軃	da	
軍	*gun*	
軏	|gotu|	
軟	*nan*	
軣	gou(gau)	
較	[2]*kaku*	
輔	ho	
輭	*nan*	
輸	*yu*	
轟	gou(gau)	
迅	[1]*zin*	
近	[1]|kon|	
返	*hen*	
迵	|dou|	
迷	*mei*	
透	[2]*tou*	
造	[2]*zou(zau)*	
逼	hitu	
遇	*guu*	
適	[1]*teki*	
遵	*zyun*	
還	[2]*kan(kwan)*	
邾	|syu|	
郄	geki	
郤	geki	
部	[1]|hu|	
郶	[1]|hu|	
郷	[1]*gou(gau)*	
鄕	[1]*gou(gau)*	
酢	[1]*saku*	
酻	[1]hu	
醂	rin	
醋	[1]saku	
釵	|sa|	
鈕	tyuu(tiu)	
鉏	syo	
鉗	|kan|	
鉜	|hu|	
鉨	[1]zi	
鉩	[1]zi	
銃	*zyuu*	
銅	*dou*	
銜	gan	
鋳	*tyuu(tiu)*	
錆	sei	
錍	|hi|	
錘	sui	
錣	[1]tetu	
鍫	syuu(siu)	
鍬	syuu(siu)	
鍮	tyuu	
鎡	zi	
鎧	gai	
鏃	zoku	
鐓	|ton|	
鑄	*tyuu(tiu)*	
钃	|syoku|	
閆	[1]|a|	
閥	*batu*	
閴	geki	
閼	[1]|a|	
闃	geki	
闓	|gai|	
阜	*hu*	
陌	haku	
陔	gai	
陜	kyou(kehu)	
院	*in(win)*	
除	*zi(di)*	
陪	*bai*	
陿	|gyou(gehu)|	
隅	*guu*	
隗	kai(kwai)	
隙	*geki*	
隟	*geki*	
隰	situ	
隴	rou	
隼	|zyun|	
雀	zyaku	
雑	*zatu*	
雑	*zou(zahu)*	
雘	|kaku(kwaku)|	
雛	suu	
雜	*zatu*	
雜	*zou(zahu)*	
需	*zyu*	
霰	|san|	
露	*rou*	
靼	[1]tan	
鞋	ai	
鞕	[1]|kou|	
鞭	ben	
鞵	ai	
韃	|datu|	
韈	betu	
韤	betu	
韵	*in(win)*	
韻	*in(win)*	
頡	[1]|kitu|	
頭	*to*	
頷	gan	
願	*gan(gwan)*	
顳	syou(sehu)	
顴	kan(kwan)	
颯	satu	
颰	|batu|	
餃	|gyou|	
饛	|mou|	
饞	|zan|	
馮	[2]huu	
駁	baku	
駕	ga	
駭	gai	
駴	|gai|	
騐	*ken*	
験	*ken*	
驍	gyou(geu)	
驗	*ken*	
驟	syuu(siu)	
驤	zyou(zyau)	
骸	*gai*	
髃	|guu|	
髄	*zui*	
髏	|ro|	
髓	*zui*	
髩	bin	
髳	[1]|mou|	
鬂	bin	
鬘	man	
鬢	bin	
鬩	geki	
鮨	[1]si	
鯨	*gei*	
鱉	betu	
鴂	[2]geki	
鴃	[2]geki	
鵓	botu	
鵙	geki	
鵲	zyaku	
鶪	geki	
鶵	suu	
鷩	[2]betu	
鷭	ban	
鹸	[2]ken	
鹻	[2]ken	
鹼	[2]ken	
麛	|mei|	
黕	|tin|	
黥	gei	
黧	ri	
黴	[1]bai	
黼	|ho|	
黽	[1]|bou(bau)|	
鼃	[2]a	
鼈	betu	
鼠	so	
鼡	so	
齟	so	
齧	|ketu|	
齩	kou(kau)	
齪	|seku|	
齲	|u|	
龍	|rou|	
龒	|rou|	
龕	gan	
龞	betu	
