#漢字	音標	解釋
芍	sau2	芍藥花
芒	maŋ2	
芒	maŋ2	麥芒兒
芙	fu2	芙蓉
芝	tsɿ1	
芥	tɕiɛ5	
芬	fən1	
芭	pa1	
芮	ʐuei5	姓
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
苔	tʰai2	舌苔,青苔
苗	miau2	
苟	kou3	
若	yɛ5	
苦	kʰu3	
苧	tsu5	苧麻
英	iŋ1	
茂	mau5	
茄	tɕʰiɛ2	
茅	mau2	
茫	maŋ2	
兹	tsʰɿ2	
茴	xuei2	茴香
茸	ʐuŋ2	
荀	ɕuən2	
草	tsʰau3	
荆	tɕiŋ3	
荒	xuaŋ1	
荔	li5	
荷	xɤ2	荷花
莊	tsuaŋ1	
莎	suɤ1	莎草
莖	tɕiŋ1	
莖	kəŋ3	
莖	tɕiŋ5	
莠	iou3	
莧	ɕian5	
莫	mɤ5	
莽	maŋ3	
菊	tɕy2	
菌	tɕyn3	細菌
菖	tsʰaŋ1	菖蒲
菜	tsʰai1	
菜	tsʰai5	
菠	pɤ1	菠菜
菢	pau5	孵,菢小雞
菩	pʰu2	菩薩
華	xua2	中華
華	xua2	華山,姓
菱	liŋ2	
萄	tʰau2	
萌	məŋ2	
萍	pʰiŋ2	
萎	uei3	氣萎
萬	uan5	
落	luɤ5	
葉	iɛ5	
著	tsuɤ1	着衣
著	tsu5	顯著
葚	sən5	桑葚
葛	kɤ3	
董	tuŋ3	
葦	lu2	
葦	uei3	蘆葦
葫	xu2	葫盧
葬	tsaŋ5	
葵	kʰuei2	
葷	xuən1	
蒐	sou1	蒐集
蒓	tsʰuən2	蒓菜
蒙	məŋ1	
蒜	suan5	
蒯	kʰuai5	
蒲	pʰu2	
蒸	tsəŋ1	
蒼	tsʰaŋ1	
蒿	xau1	蓬蒿
蓄	ɕy5	儲蓄
蓉	ʐuŋ2	
蓉	yŋ2	
蓋	kai5	
蓑	suɤ1	
蓖	pi5	
蓬	pʰəŋ2	
蓮	lian2	
蔑	miɛ5	竹蔑
蔓	an5	瓜蔓子
蔗	tsɤ3	
蔗	tsɤ5	甘
蔡	tsʰai5	
蔣	tɕiaŋ3	
葱	tsʰuŋ1	
蔫	ian1	花萎
蔫	ȵian1	食物不新鮮
蔬	su1	
蔭	in1	屋子很蔭
蔽	pi5	
蕉	tɕiau1	芭蕉,香蕉
蕊	ʐuei3	
蕎	tɕʰiau2	
蕩	taŋ5	放蕩
蕭	ɕiau1	
薄	pɤ2	
薄	pɤ5	薄荷
薅	xau1	除田草
薑	tɕiaŋ1	
薛	ɕyɛ1	
薦	tɕian5	
薩	sa5	
薪	ɕin1	
薯	su3	白薯
薰	ɕyn1	
薺	tɕi5	
藉	tɕiɛ5	藉故
藋	tiau5	灰藋菜
藍	lan2	
藏	tsaŋ5	西藏
藏	tsʰaŋ2	隱藏
藐	miau3	
藕	ou3	
藝	i5	
藤	tʰəŋ2	
藥	iau5	
藩	fan1	
藹	ai3	和藹
藿	xuɤ5	藿
蘆	lu2	蘆
蘇	su1	
蘚	ɕyan3	
蘭	lan2	
蘸	tsan5	蘸醬油
虎	xu3	
虐	nyɛ5	
虔	tɕʰian2	
處	tsʰu5	相處
處	tsʰu5	處所
虚	ɕy1	
虜	lu3	
虞	y2	
號	xau2	呼號
號	xau5	號數
虧	kʰuei1	
虹	xuŋ2	
虹	xuŋ2	彩虹,單用
虻	məŋ1	牛虻
蚊	uən2	
蚌	paŋ5	
蚣	kuŋ1	蜈蚣
蚤	tsau3	
蚶	xan1	蚶子
蛀	tsu5	
蛆	tɕʰy1	生蛆
蛇	sɤ2	
蛋	tan5	
蛙	ua1	
蛛	tsu1	
蛤	kɤ2	蛤蜊
蜕	tʰuei5	蛇蛻皮,蟬蛻
蛾	ɤ2	
蜀	su2	
蜂	fəŋ1	
蜇	tsɤ3	蠍子蜇人
蜈	u2	蜈蚣
蜋	laŋ2	
蜓	tʰiŋ2	蜻蜓
蜘	tsɿ1	蜘蛛
蜜	mi5	
蜻	tɕʰiŋ1	蜻蜓
蝕	sɿ2	
蝠	fu3	蝙蝠
蝦	xa2	蝦蟆
蝦	ɕia1	魚蝦
虱	sɿ1	
蝶	tʰiɛ3	蝴蝶
蝸	uɤ1	
螃	pʰaŋ2	螃蟹
融	ʐuŋ2	
螢	iŋ2	
螳	tʰaŋ2	螳螂
螺	luɤ2	螺螄
蟀	suai5	
蟄	tsɤ2	驚蟄
蟒	maŋ3	
蟢	ɕi2	蟢子
蟬	tsʰan2	
蟲	tsʰuŋ2	
蟶	tsʰəŋ1	蟶子
蟹	ɕiɛ5	
蟻	i3	
蟾	tsʰan2	蟾蜍
蠅	iŋ2	
蠍	ɕiɛ1	
蠓	məŋ3	蠓蟲
蠚	xɤ1	蜂蠚人
蠟	la5	
蠢	tsʰuən3	
蠶	tsʰan2	
蠻	man2	
血	ɕiɛ3	
行	ɕiŋ5	品行
行	xaŋ2	行列,銀行
行	ɕiŋ2	行為
術	su5	
街	tɕiɛ1	
衙	ia2	
衛	uei5	
衝	tsʰuŋ1	
衡	xəŋ2	
衣	i1	
表	piau3	
表	piau3	手錶
衫	san1	
衰	suai1	
袁	yan2	
袋	tai5	
袍	pʰau2	
袖	ɕiou5	
被	pei5	被子,被臥
被	pei5	被打,被迫
裁	tsʰai2	
裂	liɛ5	
裌	tɕia2	裌衣
裏	li3	
裙	tɕʰyn2	
補	pu3	
裝	tsuaŋ1	
裴	pʰei2	
裸	luɤ3	裸體
裹	kuɤ3	
製	tsɿ5	製造
複	fu2	復興
複	fu3	復原
複	fu3	複數
褒	pau3	褒獎
褚	tsʰu3	姓
褥	y5	
褪	tʰuei5	
褲	kʰu5	
褶	tsɤ3	褶子，皺紋
襄	ɕiaŋ1	
襇	tɕian3	
襖	au3	
襟	tɕin1	
襪	ua5	
襯	tsʰən5	
襲	ɕi2	
襻	pʰan5	紐襻
西	ɕi1	
要	iau5	想要,重要
要	iau1	要求
覆	fu3	反覆
見	tɕian5	
規	kuei1	
覓	mi5	
視	tsʰɿ5	
親	tɕʰin1	
親	tɕʰiŋ5	親家
覺	tɕiau5	睡覺
覺	tɕyɛ2	知覺
覽	lan3	
觀	kuan1	參觀
觀	kuan5	寺觀
角	tɕiau3	
解	ɕiɛ5	姓
解	ɕiɛ3	曉也
解	tɕiɛ3	講解,解開
觸	tsʰu3	
言	ian2	
訂	tiŋ5	訂約
訃	pu3	
計	tɕi5	
訊	ɕyn5	
討	tʰau3	
訓	ɕyn5	
訖	tɕʰi5	
訛	ɤ2	
訟	suŋ5	
訣	tɕyɛ2	
訪	faŋ3	
設	sɤ5	
許	ɕy3	
訴	su5	
診	tsən3	
詐	tsa5	
詔	tsau5	
評	pʰiŋ2	
詞	tsʰɿ2	
試	sɿ5	
試	tʰan5	探,偵探
詩	sɿ1	
詭	kuei3	
話	xua5	
該	kai1	
詳	ɕiaŋ2	
誅	tsu1	
誇	kʰua1	
誌	tsɿ5	永志不忘
認	in5	
誓	sɿ5	
誕	tan5	
誘	iou5	
語	y3	
誠	tsʰəŋ2	
誣	u1	
誦	suŋ5	
説	suɤ1	說話
誰	suei2	
課	kʰɤ5	
誼	i2	
調	tʰiau2	調和
調	tiau5	調動
調	tiau5	音調
談	tʰan2	
請	tɕʰiŋ3	
諒	liaŋ5	
論	luən2	論語
論	luən5	議論
諜	tiɛ2	
諧	ɕiɛ2	
諫	tɕian5	
諱	xuei5	
諷	fəŋ3	
諸	tsu3	
諺	ian5	
諾	nuɤ5	
謀	mou2	
謂	uei5	蝟
謄	tʰəŋ2	
謊	xuaŋ3	
謎	mi2	
謗	paŋ5	
講	tɕiaŋ3	
謝	ɕiɛ5	
謡	iau2	
謹	tɕin3	
謾	man2	
證	tsəŋ5	
譏	tɕi5	
識	sɿ2	
譚	tʰan2	
譜	pʰu3	
警	tɕiŋ3	
譬	pʰi5	
譯	i5	
議	i5	
護	xu5	
譽	y5	榮譽
讀	tu2	
變	pian5	
讒	tsʰan2	
讓	iaŋ5	
谷	ku3	山谷
豁	xuɤ3	豁嘴
豁	xuɤ5	豁然
豆	uan1	
豆	tou5	
豇	tɕiaŋ1	豇豆
豈	tɕʰi3	
豉	tsʰɿ3	豆豉
豌	uan1	
豎	su5	
豐	fəŋ1	
豕	sɿ3	
豚	tʰuən2	
象	ɕiaŋ5	
豪	xau2	
豫	y5	
豬	tsu1	
豵	tsuŋ5	牡豕
豶	fən2	雄性小豬
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
猫	mau1	
猫	mau2	貓腰
貝	pei5	
貞	tsən1	
負	fu5	
財	tsʰai2	
貢	kuŋ5	
貧	pʰin2	
貨	xuɤ5	
販	fan5	
貪	tʰan1	
貫	kuan5	
責	tsɤ2	
貳	ɚ5	貳心
貴	kuei5	
買	mai3	
貸	tai5	
費	fei5	費用
貼	tʰiɛ1	
貿	mau5	
賀	xɤ5	
賂	lu5	
賃	lin5	租賃
賄	xuei5	
資	tsɿ1	
賈	tɕia3	姓
賊	tsei2	
賒	sɤ1	
賓	pin1	
賜	tsʰɿ5	
賞	saŋ3	
賠	pʰei2	
賢	ɕian2	
賣	mai5	
賤	tɕian5	
賦	fu5	
質	tsɿ3	質量
賬	tsaŋ5	
賭	tu3	
賴	lai5	
賺	tsuan5	
購	kou5	
賽	sai5	
贅	tsuei5	
贈	tsəŋ1	
贊	tsan5	
贏	iŋ2	
贓	tsaŋ1	
贖	su2	
赤	tsʰɿ5	
赦	sɤ5	
赫	xɤ5	
走	tsou3	
赴	fu5	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰau1	
趕	kan3	
趙	tsau5	
趟	tʰaŋ5	一趟
趣	tɕʰy5	
趨	tɕʰy1	
足	tsu2	
趴	pʰa1	
趼	tɕian3	
趾	tsɿ3	
跌	tiɛ2	
跑	pʰau3	
跗	fu1	跗面,腳面
跛	pɤ3	跛足
距	tɕy5	
跟	kən1	
跡	tɕi5	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiau5	
踐	tɕian5	
踒	uɤ1	踒了腳
踢	tʰi1	
踱	tuɤ2	
蹄	tʰi2	
蹤	tsuŋ1	
蹦	pəŋ5	
蹭	tsʰəŋ5	磨蹭
躁	tsau5	
躍	iau5	
躡	ȵiɛ5	躡腳走
身	sən1	
躬	kuŋ1	
躱	tuɤ3	
躺	tʰaŋ3	踢
車	tsʰɤ1	車馬炮
車	tsʰɤ1	馬車
軋	ia5	被車軋
軌	kuei3	
軍	tɕyn1	
軛	ɤ2	
軟	ʐuan3	
軟	yan3	
軸	tsou2	
較	tɕiau5	
載	tsai3	年載
載	tsai5	滿載
載	tsai3	載重
輔	fu3	
輕	tsuŋ5	
輕	tɕʰiŋ1	輕重
輕	tɕʰiŋ1	輕重,年輕
輛	liaŋ5	
輝	xuei1	
輞	uaŋ3	車輞
輦	ȵian3	
輩	pei5	
輪	luən2	
輸	su1	
輸	su1	運輸
轄	ɕia2	管轄
轅	yan2	
轉	tsuan3	轉眼,轉送
轉	tsuan5	轉螺絲
轍	tsɤ2	
轎	tɕiau5	
轟	xuŋ1	
轡	pʰei5	
辛	ɕin1	
辣	la5	
辦	pan5	
辨	pian5	
辭	tsʰɿ2	
辮	pian5	
辯	pian5	
辰	tsʰən2	
辱	lu3	
農	nuŋ2	
迂	y1	
迅	ɕyn5	
迎	iŋ2	
近	tɕin5	
迥	tɕyŋ3	迥然不同
迫	pʰɤ5	
述	su5	
迷	mi2	
迸	pəŋ5	迸裂
追	tsuei1	
退	tʰuei5	
送	suŋ5	
逃	tʰau2	
逆	ȵi5	
透	tʰou5	
逐	tsu2	
途	tʰu2	
通	tʰuŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰəŋ3	逞能
速	su5	
造	tsau5	建造
逢	fəŋ2	
連	lian2	
逮	tei1	
進	tɕin5	
逵	kʰuei2	
逸	i5	
逼	pi1	
逼	pi2	
逾	y2	
遁	tuən5	
遂	suei5	
運	yn5	
遍	pian5	一遍
遍	pian5	遍地
過	kuɤ5	
遐	ɕia2	
道	tau5	
達	ta2	
違	uei2	
遜	ɕuən5	
遝	tʰa5	一遝紙
遞	ti5	
遠	yan3	
遣	tɕʰian3	
適	sɿ5	
遭	tsau1	
遮	tsɤ1	
遲	tsʰɿ2	
遵	tsuən1	
遷	tɕʰian1	
遺	uei5	
遼	liau2	
避	pi5	
邀	iau1	
邁	mai5	
還	xai2	還有
還	xuan2	還原
邊	pian1	
那	na5	
邦	paŋ1	
邪	ɕiɛ2	
邵	sau5	
郁	y5	
郊	tɕiau1	
郎	laŋ2	
郝	xau3	姓
郡	tɕyn5	
部	pu5	
郭	kuɤ1	
郵	iou2	
都	tu1	都城
都	tou2	都是
鄉	ɕiaŋ1	
鄒	tsou1	
鄙	pi3	
鄧	təŋ5	
鄭	tsəŋ5	
鄰	lin2	
酉	iou3	
酌	tsuɤ1	
配	pʰei5	
酒	tɕiou3	
酣	xan1	
酥	su1	
酪	lau5	
酬	tsʰou2	
酵	ɕiau5	
酷	kʰu5	
酸	suan1	
醇	tsʰuən2	酒味醇
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醛	tɕʰyan2	
醜	tsʰou3	
醜	tsʰou3	醜陋
醫	i1	
醬	tɕiaŋ5	大醬
醭	pu2	醋，生白醭
醮	tɕiau5	打醮,再醮
釀	ȵiaŋ5	
釁	ɕin5	挑釁
采	tsʰai3	
釉	iou5	
釋	sɿ5	
重	tsuŋ5	
重	tsʰuŋ2	重複
野	iɛ3	
量	liaŋ5	數量
量	liaŋ2	量長短
金	tɕin1	
釘	tiŋ5	釘住
釘	tiŋ1	鐵釘
釜	fu3	
釣	tiau5	
釤	san5	大鐮刀
釵	tsʰai1	
鈀	pa3	杷鈀子
鈍	tuən5	
鈔	tsʰau1	錢鈔
鈞	tɕyn1	
鈴	liŋ2	
鈸	pɤ2	
鉋	pʰau5	
鉛	tɕʰian1	
鉤	kou1	
鉸	tɕiau3	
銀	in2	
銅	tʰuŋ2	
銘	miŋ2	
鋭	ʐuei5	
銷	ɕiau1	
銼	tsʰuɤ5	
鋌	tiŋ5	
鋒	fəŋ1	
鋤	tsʰu2	
鋥	tsəŋ5	鋥光
鋦	tɕy3	鋦碗
鋪	pʰu5	店鋪
鋪	pʰu1	鋪設
鋸	tɕy5	鋸子,鋸木
鋼	kaŋ1	
鋼	kaŋ5	
鋼	kaŋ5	刀鈍了,鋼
錄	lu5	
錐	tsuei1	
錘	tsʰuei2	
錛	pən1	
錠	tiŋ5	
錢	tɕʰian2	
錦	tɕin3	
錨	mau2	
鍊	lian5	
錮	ku5	
錯	tsʰuɤ5	錯誤
錯	tsʰuɤ5	錯雜
鍋	kuɤ1	
鍍	tu5	
鍛	tuan5	鍛煉
鍬	tɕʰiau5	
鍵	tɕian5	
鎔	yŋ2	
鎖	suɤ3	
鎮	tsən5	
鏊	au5	烙餅用具
鏟	tsʰan3	
鏡	tɕiŋ5	
鏨	tsan5	鏨花
鏵	xua2	
鏽	ɕiou5	鐵銹
鐃	nau2	
鐘	tsuŋ1	時鐘
鐘	tsuŋ1	鍾情
鐙	təŋ1	
鐧	tɕian5	車鐧
鐲	tsuɤ2	鐲子
鐵	tʰiɛ3	
鐸	tuɤ2	
鐾	taŋ5	鐾刀布,把刀鐾鐾
鑄	tsu5	
鑊	xuɤ5	鍋
鑞	la5	錫鑞
鑰	iau5	鑰匙
鑲	ɕiaŋ1	
鑷	ȵiɛ5	鑷子
鑼	luɤ2	
鑽	tsuan5	動詞
鑽	tsuan5	木用工具
鑿	tsuɤ1	
钁	tɕyɛ3	鐝頭,大鋤
長	tsaŋ3	生長
長	tsʰaŋ2	長短
門	mən2	
閂	suan1	
閃	san3	
閉	piɛ3	
閉	pi5	
開	kʰai1	
閏	ʐuən5	
閑	ɕian2	
間	tɕian1	空間,中間
間	tɕian5	間斷,間或
閣	kɤ2	
閣	kau3	
閨	kuei1	
閩	min5	閩越
闊	kʰuɤ5	
闖	tsʰuaŋ3	
關	kuan1	
阜	fu3	
阮	ʐuan3	
防	faŋ2	
阻	tsu3	
阿	a1	阿哥
附	fu2	
陋	lou5	
陌	mɤ5	陌生
降	tɕiaŋ5	下降
限	ɕian5	
陘	ɕiŋ2	井陘
陝	san3	陝西
陡	tou3	
陣	tsən5	
除	tsʰu2	
陪	pʰei2	
陰	in1	
陳	tsʰən2	
陵	liŋ2	
陶	tʰau2	
陸	lu5	
陽	iaŋ2	
隆	luŋ2	
隊	tuei5	
隋	suei2	
階	tɕiɛ1	
隔	kɤ3	
隘	ai5	
隙	ɕi5	
際	tɕi5	
障	tsaŋ5	保障
隧	suei5	隧道
隱	in3	
隴	luŋ3	
隻	tsɿ1	
雀	tɕʰyɛ5	麻雀
雁	ian5	
雄	ɕyŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雉	tsɿ5	雉雞
雌	tsʰɿ2	
雍	yŋ1	
雕	tiau1	
雖	suei2	
雙	suaŋ1	
雙	suaŋ1	雙生
雛	tsʰu2	
雞	tɕi1	
離	li2	
難	nan5	患難
難	nan2	難易
雨	y3	
雪	ɕyɛ3	
雲	yn2	
零	liŋ2	
雷	lei2	
雹	pau2	
電	tian5	
需	ɕy1	
霄	ɕiau1	
震	tsən5	
霍	xuɤ5	
霜	suaŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
靈	liŋ2	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei1	
靠	kʰau5	
靡	mi3	
面	mian5	
靨	iɛ5	酒靨
革	kɤ3	皮革
靪	tiŋ1	
靴	ɕyɛ1	
靿	iau5	~靴子
靿	iau5	靴筒
鞋	ɕiɛ2	
鞍	an1	
鞏	kuŋ3	鞏固
鞘	tɕʰiau5	刀鞘
鞦	tɕʰiou1	牛鞦
鞭	pian1	
韓	xan2	
韛	pai5	風箱
韭	tɕiou3	
音	in1	
韶	sau2	韶關
韻	yn5	
頁	iɛ5	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiaŋ5	
順	suən5	
須	ɕy1	
須	ɕy1	鬍鬚,觸鬚
頌	suŋ5	
預	y5	
頑	uan2	頑皮,頑固
頒	pan1	
頓	tuən5	
頗	pʰɤ1	
領	liŋ3	
頭	tʰou2	
頸	tɕəŋ3	
頻	pʰin2	頻繁
顆	kʰɤ1	一顆珠
題	tʰi2	
額	ɤ2	
顔	ian2	
願	yan5	
顛	tian1	
類	lei5	
顧	ku5	
顫	tsʰan5	
顯	ɕian3	
風	fəŋ1	
颼	sou1	
飄	pʰiau1	
飛	fei1	
食	sɿ2	
飩	tuən5	餛飩
飭	tsʰɿ5	
飯	fan5	
飲	in3	飲酒
飲	in3	飲米湯
飲	in5	飲馬
飴	i2	
飼	sɿ5	
飽	pau3	
飾	sɿ5	
餃	tɕiau3	餃子
餅	piŋ3	
餈	tsʰɿ2	餈巴
餉	ɕiaŋ3	
養	iaŋ3	
餌	ɚ3	
餐	tsʰan1	
餑	pɤ2	麵餑
餓	uɤ5	
餘	y2	
餘	sɤ2	姓
餛	xuən2	餛飩
餞	tɕian5	餞行
餧	uei5	嘆詞
館	kuan3	
餾	liou5	
餿	sou1	飯餿了
饃	mɤ2	
饅	man2	饅頭
饒	ʐau2	
饗	ɕiaŋ3	
饞	tsʰan2	
饥	tɕi1	
餜	kuɤ3	
首	sou3	
香	ɕiaŋ1	
香	xuɤ5	
馨	ɕin1	
馬	ma3	
馬	ma3	碼子
馭	y5	
馮	fəŋ2	
馱	tʰuɤ2	拿,馱起來
馱	tuɤ5	馱子
馳	tsʰɿ2	
駁	pɤ2	
駐	tsu5	
駒	tɕy1	
駕	tɕia5	
駛	sɿ3	
駝	tʰuɤ2	
駭	xai5	驚駭
駱	luɤ5	
騇	sɤ5	母的牛馬
騎	tɕʰi2	
騙	pʰian5	欺騙
騙	pʰian5	騙馬
騰	tʰəŋ2	
騲	tsʰau3	
騷	sau1	
騾	luɤ2	
驅	tɕʰy1	
驕	tɕiau2	驕傲
驚	tɕiŋ1	
驟	tsou5	
驢	ly2	
骨	ku3	筋骨,頭骨
髒	tsaŋ1	不乾淨
髓	suei2	
體	tʰi3	
高	kau1	
髻	tɕi5	
髽	tsua1	髽髻
鬃	tsuŋ1	馬鬃
鬏	tɕiou1	
鬢	pin5	
鬥	tou5	鬥爭
鬧	nau5	
鬮	tɕiou1	抓鬮
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰɤ5	
魏	uei5	
魔	mɤ2	
魚	y2	
魯	lu3	
鮑	pau5	姓，鮑魚
鮮	ɕian1	新鮮
鮮	ɕian3	鮮少
鯉	li3	
鯨	tɕiŋ1	
鯽	tɕi3	
鰣	sɿ1	
鰥	kuan1	鰥寡
鰭	tɕʰi2	
鰾	pʰiau5	
鱉	piɛ1	
鱉	piɛ3	
鱖	kuei5	鱖魚
鱗	lin2	
鳥	tiau3	
鳩	tɕiou1	
鳳	fəŋ5	
鳴	miŋ2	
鴉	ia1	
鴨	ia1	
鴻	xuŋ2	
鴿	kɤ1	
鵝	uɤ5	
鵲	tɕʰyɛ5	喜鵲
鶯	iŋ1	
鶴	xɤ5	
鷂	iau3	鷂鷹
鷹	iŋ1	
鷺	lu5	鷺鷥
鸕	lu2	鸕鷀
鸚	iŋ1	鸚鵡,鸚哥
鸞	luan2	
鹵	lu3	
鹿	lu5	
麅	pʰau2	
麗	li5	
麝	sɤ5	麝香
麥	mai5	
麩	fu1	麥麩子
麴	tɕʰy3	酒麴,酒麴
麵	mian5	麵粉
麻	ma2	
麾	xuei1	
黃	xuaŋ2	
黍	su3	
黎	li2	
黑	xei1	
默	mɤ5	
黢	tɕʰy1	黢黑
黨	taŋ3	
黴	mei2	
鼎	tiŋ3	
鼓	ku3	
鼠	su3	
鼬	iou5	黃鼬
鼻	pi2	
齈	nəŋ5	多涕鼻疾
齊	tɕʰi2	
齋	tsai1	
齒	tsʰɿ3	
齦	in2	老鼠齦
龍	luŋ2	
龐	pʰaŋ2	
龕	kʰan1	
龜	kuei1	
