#漢字	音標	解釋
好	xau3	好壞
如	y2	
妃	fei1	
妄	uaŋ5	
妓	tɕi5	
妖	iau1	
妙	miau5	
妥	tʰuɤ3	
妨	faŋ2	妨害
妬	tu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ5	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
姘	pʰin1	姘頭
姚	iau2	
姜	tɕiaŋ1	姓
姨	i2	
姪	tsɿ2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uei1	
娘	ȵiaŋ2	
娛	y2	
娠	sən1	
娩	mian3	分娩
娶	tɕʰy3	
婆	pʰɤ2	
婚	xuən1	
婢	pei1	
婦	fu5	
媒	mei2	
媚	mei5	
媳	ɕi2	
媽	ma1	
嫁	tɕia5	
嫂	sau3	
嫖	pʰiau2	嫖賭
嫡	ti2	
嫩	lən5	
嬉	ɕi1	
嬉	ɕi5	
嬌	tɕiau1	
嬎	fan5	鳥下蛋
嬰	iŋ1	
孀	suaŋ1	
子	tsɿ3	
孔	kʰuŋ3	
孕	yn5	
字	tsɿ5	
存	tsʰuən2	
孝	ɕiau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
孩	xai2	
孫	suən1	
孵	fu2	孵小雞
學	ɕiau2	
孽	ȵiɛ5	
宅	tsai2	
宇	y3	
守	sou3	
安	an1	
宋	suŋ5	
完	uan2	
宏	xuŋ2	
宕	taŋ5	
宗	tsuŋ1	
官	kuan1	
宙	tsou5	
定	tiŋ5	
宛	uan3	
客	kʰɤ3	
室	sɿ5	
宦	xuan5	
宮	kuŋ1	
宰	tsai3	
害	xai5	
宵	ɕiau1	
家	tɕia1	
家	tɕia1	家具
容	ʐuŋ2	
容	yŋ2	
宿	ɕiou5	
宿	ɕy5	星宿
寂	tɕi5	
寅	in2	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei5	
寒	xan2	
寓	y5	
寞	mɤ5	
察	tsʰa2	
寢	tɕʰin3	
寥	liau2	
實	sɿ2	
寧	ȵiŋ2	
寧	ȵiŋ2	安寧
寨	tsai5	
審	sən3	
寫	ɕiɛ3	
寬	kʰuan1	
寵	tsʰuŋ3	
寶	pau3	
