#漢字	音標	解釋
#簡稱	/	利辛
#全稱	/	利辛話
#聲母	/	
#韻母	/	
#聲調	/	213 1 1a 陰平 ꜀,55 2 1b 陽平 ꜁,24 3 2 上 ꜂,,53 5 3 去 ꜄
#版本	/	2022-03-29
#錄入人	/	鶩高赭紗匕
#參考資料	/	《皖北方言利辛話語音研究》
#說明	/	
仙	ɕiã1	
代	tɛ5	
令	liŋ5	
仨	sa1	
們	mẽ2	
仰	iɑ̃2	
仲	tʂuŋ3	
件	tɕiã5	
價	tɕia5	
任	ʐẽ2	姓
任	ʐẽ5	～务
份	fẽ5	
仿	fɑ̃3	
企	tɕʰi3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	tʂuŋ5	
優	iəu1	
伙	xuə	家～
會	kʰuɛ5	会～
會	xuei5	
偉	uei3	
傳	tʂʰuã2	～达
傳	tʂuã5	～记
傷	ʂɑ̃1	
倫	luẽ2	
僞	uei3	
伯	pei2	
估	ku2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ5	
但	tã5	
位	uei5	
低	ti1	
住	tʂu5	
何	xə2	
佘	ʂə2	
余	y2	
作	tsuə1	别～了,～坊
作	tsuə	做～
佞	niŋ5	
佟	tʰuŋ2	
佣	ʐuŋ5	
佩	pʰei5	
佬	lɔ3	
佰	pei1	
佳	tɕia2	
使	ʂʅ3	
侃	kʰã3	
侄	tʂʅ2	
侈	tʂʰʅ2	奢～
侍	ʂʅ	服～
供	kuŋ1	～应
供	kuŋ5	
俠	ɕia1	
侣	ly3	
偵	tʂẽ1	
側	tʂʰei1	
僑	tɕʰiɔ2	
侯	xəu2	
便	piã5	
促	tsʰu5	
促	tɕʰiʊ5	
俊	tsuẽ5-	
俊	tɕyẽ5=	
俏	tɕʰiɔ5	
俗	su2	
保	pɔ3	
信	ɕiẽ5	
倆	lia3	
儉	tɕiã3	
修	ɕiəu1	
俯	fu3	
俺	ɣã3	
倒	tɔ3	
倒	tɔ5	～车
倔	tɕyo2	
倡	tʂʰɑ̃5	
倦	tɕyã5	
倩	tɕʰiã5	
倪	i2	
倭	uə1	
債	tʂɛ5	
值	tʂʅ2	
傾	tɕʰiŋ1	
傾	tɕʰiuŋ1	～倒
假	tɕia3	
偎	uei1	
偏	pʰiã1	
做	tsu5	
做	tsuə5	
停	tʰiŋ2	
偶	ɣəu3	
偷	tʰəu1	
償	tʂʰɑ̃2	
傅	fu3	
傍	pɑ̃1	
傣	tɛ3	
儲	tʂʰu3	
傲	ɣɔ5	
傻	ʂa3	
像	ɕiɑ̃5	
僧	ʂɑ̃	和～
僵	tɕiɑ̃1	
僻	pʰi5	
兒	ɣɚ2	
允	yẽ3	
元	yã2	
兄	ɕiuŋ1	
充	tʂʰuŋ1	
兆	tʂɔ5	
先	ɕiã1	
光	kuɑ̃1	
克	kʰei1	
免	miã3	
兌	tei5	
兔	tʰu5	
黨	tɑ̃3	
兜	təu1	
入	ʐu1	
全	tɕʰyã2	
八	pa1	
公	kuŋ1	
六	liəu5	
蘭	lã2	
共	kuŋ5	
關	kuã1	
興	ɕiŋ1	不～
興	ɕiŋ5	高～
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiã3	
兹	tsɿ1	
兼	tɕiã1	
獸	ʂəu5	
內	nei5	
冉	ʐã3	
冊	tʂʰei1	
再	tsɛ5	
冏	tɕiuŋ1	
冒	mɔ5	
冕	miã3	
寫	ɕie3	
軍	tɕyẽ1	
農	nuŋ2	
冠	kuã5	
冢	tʂuŋ3	
冤	yã1	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰuŋ1	～动
冲	tʂʰuŋ5	说话～
决	tɕyo1	
况	kʰuɑ̃5	
凍	tuŋ5	
淨	tɕiŋ5	
凉	liɑ̃2	
凋	tiɔ1	
凌	liŋ2	
減	tɕiã3	
湊	tsʰəu5	
湊	tɕʰiəu5	～和
凛	liẽ1	
凝	niŋ2	
凝	iŋ2	
凡	fã2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凰	xuɑ̃	～凰
凳	təŋ5	
凶	ɕiuŋ1	
凸	tʰu1	
凹	ɣɔ1	
凹	ua5	
出	tʂʰu1	
擊	tɕi1	
函	xã2	
刀	tɔ1	
刁	tiɔ1	姓
刃	ʐẽ5	
分	fẽ1	
切	tɕʰie1	
刊	kʰã3	
刑	ɕiŋ2	
划	xua2	
劉	liəu2	
則	tsei1	
剛	kɑ̃1	
創	tʂʰuɑ̃5	
判	pʰã5	
刨	pʰɔ2	
别	pɛ2	～管我
别	pie2	
别	pie5	～劲
刮	kua2	～衣服
到	tɔ5	
制	tʂʅ5	
刷	ʂua1	
刹	ʂa1	
刺	tsʰɿ5	～猴子
刻	kʰei1	
剁	tuə5	
劑	tɕi5	
剃	tʰi5	
削	ɕyo1	
剋	kʰei1	～木头：用工具削去木材的不平处
剌	la2	～人
前	tɕʰiã2	
剮	kua3	
劍	tɕiã5	
剝	pə1	
剩	ʂəŋ5	
剪	tɕiã3	
割	kə1	
剽	pʰiɔ2	
劈	pʰi1	
力	li1	
勸	tɕʰyã5	
辦	pã5	
功	kuŋ1	
加	tɕia1	
務	u5	
動	tuŋ5	
助	tʂu5	
勁	tɕiẽ5	
勞	lɔ2	
劵	tɕyã5	
勢	ʂʅ5	
勃	pə2	
勇	ʐuŋ3	
勇	iuŋ3	
勉	miã3	
勒	lei1	～紧
勘	kʰã3	
募	mu5	
勤	tɕʰiẽ2	
勾	kəu1	
勿	u3	
勻	yẽ3	
包	pɔ1	
匆	tsʰuŋ1	
匆	tɕʰiuŋ1	
匈	ɕiuŋ1	
匍	pʰu3	
匕	pi5	
化	xua5	
北	pei1	
匙	tʂʰʅ2	汤～
匝	tsa2	
匝	tsa3	一～
匪	fei3	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	piã3	
十	ʂʅ2	
千	tɕʰiã1	
午	u3	
半	pã5	
華	xua2	
卑	pei1	
卒	tsu2	
卓	tʂuə1	
單	tã1	
單	ʂ膻衫煽搧杉删山ã5	
賣	mɛ5	
南	nã2	
博	pə2	
卜	pu3	
卜	pə	萝～
占	tʂã5	
卡	kʰa3	～片
卡	tɕʰia3	～住
卤	lu3	
卦	kua5	
臥	uə1	
衛	uei5	
危	uei2	
即	tɕi5	
卻	tɕʰyo1	
卵	l孪銮挛峦uã3	
卷	tɕyã3	～纸
卷	tɕyã5	试～
卿	tɕʰiŋ1	
廳	tʰiŋ1	
厭	iã5	
廁	tʂʰei1	
厘	li2	
厚	xəu5	
原	yã2	
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰy5	
縣	ɕiã5	
参	ʂẽ1	
又	iəu5	
叉	tʂa1	
及	tɕi2	
友	iəu	朋～
雙	ʂuɑ̃1	
反	fã3	
发	fa1	
取	tɕʰy3	
受	ʂəu5	
變	piã5	
敘	ɕy5	
叟	səu1	
疊	tie2	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	liŋ5	
只	tʂʅ1	
召	tʂɔ1	
叮	tiŋ1	
可	kʰə2	
台	tʰɛ2	
史	ʂʅ3	
叵	pʰə3	
葉	ie1	
號	xɔ5	
司	sɿ1	公～
司	sɿ	上～
嘆	tʰã5	
叼	tiɔ1	
嘰	tɕi1	～喳喳
吃	tʂʰʅ1	
各	kə1	
吆	iɔ1	
合	xə2	
吉	tɕi2	
吊	tiɔ5	
同	tʰuŋ2	
后	xəu5	
吐	tʰu3	
向	ɕiɑ̃5	
吒	tʂa1	
吕	ly3	
君	tɕyẽ1	
吞	tʰuẽ1	
吟	iẽ2	
吠	fei5	
否	fɔ3	
吧	pa1	
吧	pa	
吨	tuẽ1	
含	xã2	
听	tʰiŋ1	
吭	kʰəŋ2	
吱	tsɿ1	
吴	u2	
吵	tʂʰɔ3	
吸	ɕi1	
吹	tʂʰuei1	
吻	uẽ3	
吼	xəu1	
吾	u3	
呆	tɛ1	
呈	tʂʰəŋ2	
告	kɔ5	
嘔	ɣəu1	
員	yã2	
嗆	tɕʰiɑ̃5	
呢	ni2	
呱	kua1	
味	uei5	
呸	pʰei2	
呼	xu1	
咂	tsa3	～巴
咋	tsa3	
和	xu2	牌～了
和	xuə2	
和	xuə5	
咏	ʐuŋ3	
咏	iuŋ3	
咕	ku1	
咖	kʰa1	～啡
咖	ka3	～喱
咚	tuŋ1	
咚	tuŋ2	
嚀	niŋ2	
噝	sɿ1	
咦	i3	
咧	lie3	
咨	tsɿ1	
咩	mie	羊叫的声音
咪	mi2	
咬	iɔ3	
咳	kʰə2	
咸	ɕiã2	
咽	iã1	
哀	ɣɛ1	
品	pʰiẽ3	
哄	xuŋ3	
哆	tuə1	～嗦
哇	ua5	
哈	xa1	老～：形容人讲大话
哈	xa2	娃～～
哈	xa5	拟声词，练武发出的声音
哉	tsɛ	善～
哌	pɛ5	敷～酸
響	ɕiɑ̃3	
哎	ɣɛ	
哏	kẽ5	～牙
啞	ia3	
噦	yo3	
噥	nuŋ3	
哥	kə3	
哦	ɣɔ5	
哨	ʂɔ5	
哪	na3	
哭	kʰu1	
哮	ɕiɔ5	
哼	xəŋ1	
哽	kəŋ3	
唆	suə1	
唉	ɣɛ1	
唐	tʰɑ̃2	
嘮	lɔ1	～叨
嘮	lɔ5	～嗑
喚	xuã5	
唬	xu	吓～
售	ʂəu5	
唯	uei2	
唰	ʂua2	的一下：形容快
唱	tʂʰɑ̃5	
唻	lɛ1	啰嗦
唻	lɛ	
唾	tʰu2	～沫
啃	kʰẽ5	
啄	tʂuə2	
商	ʂɑ̃1	
啊	ɣa2	
啊	ɣa3	
啊	ɣa5	
啕	tʰɔ1	
啜	tʂʰuə1	
啡	fei1	
啥	ʂa2	
啥	ʂa5	～事
嘖	tsə5	表示惊叹语气
啪	pʰa1	
囉	luə1	
啶	tiŋ1	
嘯	ɕiɔ5	
啾	tɕiəu1	拟声词
喂	uei5	
喃	nã3	
善	ʂ膻衫煽搧杉删山ã5	
喇	la3	～叭
喊	xã3	
喔	uə2	
喘	tʂʰuã3	
喜	ɕi3	
喝	xə1	
喧	ɕyã1	
喳	tʂa1	
噴	pʰẽ1	
噴	pʰẽ5	～香
嗑	kʰə5	
嗒	ta	嘀～
嗓	sɑ̃3	
嗝	kə2	
嗡	uoŋ1	
嗣	sɿ5	
嗤	tʂʰʅ1	噗～笑了
嗨	xɛ1	
嗯	ɣẽ5	
噯	ɣɛ5	
嘉	tɕia1	
嘎	ka1	～～笑
嘎	ka3	形容人有点二
噓	ɕy1	
嘛	ma2	干～
嘛	ma5	～事：什么事
嘟	tu1	
嚶	iŋ1	
嘬	tsuə5	
嘭	pʰəŋ2	
囑	tʂu3	
嘲	tʂʰɔ2	
嘴	tsuei3	
嘶	sɿ1	
嘿	xei2	
噔	təŋ5	打个～
噗	pʰu1	
噘	tɕyo1	～嘴
嚕	lu	咕～
噩	ɣə1	
噪	tsɔ5	
噱	ɕyo2	
噻	sɛ5	哇～
噼	pʰi2	
嚎	xɔ2	
嚏	tʰi	喷～
嚓	tsʰa1	
嚓	tʂa1	
囂	ɕiɔ1	
嚷	ʐɑ̃3	
嚼	tɕyo2	
囊	nɑ̃2	胶～
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	iẽ1	
团	tʰuã2	
園	yã2	
困	kʰuẽ5	
囱	tsʰuŋ3	
圍	uei2	
圇	luẽ2	
固	ku5	
國	kuei1	
圖	tʰu2	
圈	tɕʰyã1	圆～
圈	tɕyã5	羊～
聖	ʂəŋ5	
在	tsɛ5	
場	tʂʰɑ̃2	打～
場	tʂʰɑ̃3	～面
址	tʂʅ3	
均	tɕyẽ1	
坊	fɑ̃	作～
坍	tʰã1	
坎	kʰã3	
壞	xuɛ5	
坐	tsuə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕiã1	
坛	tʰã2	
墳	fẽ2	
坡	pʰə1	
坤	kʰuẽ1	
坦	tʰã3	
坪	pʰiŋ2	
坷	kʰə1	
垃	la1	
壟	luŋ3	
型	ɕiŋ2	
垒	lei3	
垛	tuə5	
墾	kʰẽ1	
墊	tiã5	
垮	kʰua3	
埂	kəŋ3	
埃	ɣɛ1	
埋	mɛ2	
城	tʂʰəŋ2	
埠	pu5	商～
埠	pu	蚌～：地名
基	tɕi1	
堂	tʰɑ̃2	
墮	tuə5	
堡	pɔ3	
堪	kʰã1	
塌	tʰa1	
塑	su5	
塔	tʰa1	
塘	tʰɑ̃2	
塞	sei1	
塞	sɛ5	
塨	kuŋ3	～地
填	tʰiã2	
境	tɕiŋ5	
墉	ʐuŋ3	
墓	mu5	
牆	tɕʰiɑ̃2	
墟	ɕy1	
墨	mei1	
墩	tuẽ1	
壁	pi5	
壕	xɔ2	
壤	ʐɑ̃3	
壬	ʐẽ2	
壯	tʂuɑ̃5	
聲	ʂəŋ1	
殼	kʰə1	
處	tʂʰu3	相～
處	tʂʰu5	～所
复	fu1	
外	uɛ5	
夙	su5	
多	tuə1	
够	kəu5	
大	ta2	爸
大	ta5	
天	tʰiã1	
太	tʰɛ5	
夫	fu1	
央	iɑ̃1	
夯	xɑ̃1	
失	ʂʅ1	
頭	tʰəu2	
夸	kʰua1	
夾	tɕia1	～住
夾	tɕia2	～层
奪	tuə2	
奇	tɕʰi2	
奈	nɛ5	
奉	fəŋ5	
奮	fẽ5	
奎	kʰuei2	
奔	pẽ1	
獎	tɕiɑ̃3	
套	tʰɔ5	
奘	tsɑ̃5	
奢	ʂə1	
女	ny3	
奶	nɛ3	
奸	tɕiã1	
她	tʰa3	
好	xɔ3	
如	vu2	～果
如	ʐu2	
妃	fei1	
妄	uɑ̃5	
妝	tʂuɑ̃1	
婦	fu1	
媽	ma1	
妖	iɔ1	
妗	tɕiẽ5	
妙	miɔ5	
妣	pi1	
妥	tʰuə1	
妨	fɑ̃2	
妮	ni1	
妲	ta3	～己
妹	mei5	
妾	tɕʰie5	
姆	mu3	
姊	tsɿ3	
始	ʂʅ2	
姐	tɕie3	
姑	ku1	
姓	ɕiŋ5	
委	uei3	
姍	ʂ膻衫煽搧杉删山ã2	
姘	pʰiẽ1	
姚	iɔ2	
姜	tɕiɑ̃1	
姥	lɔ3	
姨	i2	
姬	tɕi1	
姻	iẽ1	
威	uei1	
娃	ua2	
娑	suə3	
娘	niɑ̃2	
娜	na1	
娜	na5	
娟	tɕyã1	
娠	tʂʰẽ2	
娥	ɣə2	
媧	ua1	
娶	tɕʰy3	
娼	tʂʰɑ̃1	
婆	pʰə2	
婊	piɔ3	
婢	pi5	
婧	tɕiŋ5	
婪	lã3	
嬰	iŋ1	
嬸	ʂẽ3	
嬸	kʰẽ3	
婷	tʰiŋ2	
婿	ɕy5	
媛	yã2	
媳	ɕi3	
嫁	tɕia5	
嫌	ɕiã2	
嬡	ɣɛ5	
嬪	pʰiŋ2	
嫖	pʰiɔ2	
嫣	iã1	
嫦	tʂʰɑ̃2	
嫩	luẽ5	
子	tsɿ	儿～
孔	kʰuŋ3	
孕	yẽ5	
字	tsɿ5	
存	tsʰuẽ2	
孫	suẽ1	
孜	tsɿ1	
孝	ɕiɔ5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyo2	
孩	xɛ2	
孬	nɔ1	
寧	niŋ2	
寧	niŋ5	
它	tʰa3	
宅	tʂei2	
宇	y3	
守	ʂəu3	
安	ɣã1	
宋	ɕiuŋ5	
完	uã2	
宏	xuŋ2	
官	kuã1	
定	tiŋ5	
寶	pɔ3	
實	ʂʅ2	
寵	tʂʰuŋ3	
客	kʰei1	
宣	ɕyã1	
室	ʂʅ2	
宦	xuã5	
宪	ɕiã5	
宮	kuŋ1	
宰	tsɛ3	
害	xɛ5	
家	tɕia1	
容	vəŋ2	
容	ʐuŋ2	
容	iuŋ2	
寬	kʰuã1	
宿	ɕiəu3	
密	mi1	
富	fu5	
寐	mei5	
寒	xã2	
寢	tɕʰiẽ2	
寡	kua3	
寨	tʂɛ5	
寸	tsʰuẽ5	
對	tei1	～本：平手
對	tei5	
寺	sɿ5	
導	tɔ3	
壽	ʂəu5	
射	ʂə3	
尅	kʰei2	～架
將	tɕiɑ̃1	
尊	tsuẽ1	
小	ɕiɔ3	
少	ʂɔ3	
少	ʂɔ5	
尖	tɕiã1	
尘	tʂʰẽ2	
尚	ʂɑ̃5	
嘗	tʂʰɑ̃2	
堯	iɔ2	
尬	ka5	
就	tɕiəu5	
尷	kã3	
屍	ʂʅ1	
尺	tʂʰʅ1	
尻	kʰɔ1	
尽	tɕiẽ5	
尾	uei3	
尿	niɔ5	
局	tɕy2	
屁	pʰi5	
屄	pi1	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	tɕie5	
屌	tiɔ3	
屎	ʂʅ3	
屏	pʰiŋ2	
展	tʂã3	
屙	ɣə1	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuẽ2	
歲	suei5	
岔	tʂa5	～了气
崗	kɑ̃3	
嵐	lã2	
島	tɔ3	
岩	iã2	
岸	ɣã5	
峒	tuŋ5	
峙	tʂʅ5	
峨	ɣə2	
峯	fəŋ2	
崇	tʂʰuŋ3	
崔	tsʰuei1	
崛	tɕyo2	
崩	piŋ1	
崩	pəŋ5	
嶄	tʂã3	
崴	uɛ3	
崽	tsɛ3	
嵌	tɕʰiã5	
嶸	iuŋ3	
嵩	suŋ1	
巔	tiã1	
巍	uei1	
川	tʂʰuã1	
巡	ɕyẽ2	
巢	tʂʰɔ2	
工	kuŋ1	
左	tsuə3	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	kuŋ3	
巫	u1	
差	tʂa1	
差	tʂʰɛ1	
己	tɕi	自～
已	i1	
巴	pa1	
巷	ɕiɑ̃5	
巾	tɕiẽ1	
幣	pi5	
布	pu5	
帥	fɛ5	
師	ʂʅ1	
帳	tʂɑ̃5	
帘	liã2	
帚	tʂu	扫～
帛	pei2	
幟	tʂʅ1	
帶	tɛ5	
席	ɕi2	
幫	pɑ̃1	
常	tʂʰɑ̃2	
幗	kuei1	
帽	mɔ5	
幂	mi1	
幅	fu1	
幌	xuɑ̃3	
幔	mã5	
幕	mu5	
幢	tʂuɑ̃5	
干	kã1	
干	kã5	
平	pʰiŋ2	
年	niã2	
并	piŋ5	
幸	ɕiŋ5	
幺	iɔ1	
幻	xuã5	
幼	iəu5	
幽	iəu1	
廣	kuɑ̃3	
莊	tʂuɑ̃1	
慶	tɕʰiŋ5	
庇	pi5	
牀	tʂʰuɑ̃2	
序	ɕy1	
庫	kʰu5	
應	iŋ5	
庖	pʰɔ2	
店	tiã5	
庚	kəŋ1	
府	fu3	
龐	pʰɑ̃2	
廢	fei5	
度	tu5	
座	tsuə5	
庵	ɣã1	
康	kʰɑ̃1	
庸	ʐuŋ1	
廊	lɑ̃2	
廓	kʰuə1	
廷	tʰiŋ1	
建	tɕiã5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	nəŋ5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ5	
弓	kuŋ1	
弘	xuŋ2	
弛	tʂʰʅ2	
張	tʂɑ̃1	
弥	mi2	
弦	ɕiã2	
弧	xu2	
彎	uã1	
弱	ʐuə1	
彈	tʰã2	
彈	tã5	
强	tɕʰiɑ̃2	
弼	pi5	
歸	kuei1	
當	tɑ̃1	～时
當	tɑ̃5	典～
录	lu1	
彘	tʂʅ5	
形	ɕiŋ2	
彤	tʰuŋ2	
彩	tsʰɛ3	
彭	pʰəŋ2	
彰	tʂɑ̃1	
影	iŋ3	
徹	tʂʰə1	
彼	pi2	
往	uɑ̃3	
徑	tɕiŋ5	
待	tɛ5	
很	xẽ3	
徊	xuɛ2	
律	ly1	
徐	ɕy2	
徒	tʰu2	
得	tei1	
御	y5	
微	uei1	
德	tei1	
心	ɕiẽ1	
必	pi2	
必	pi5	
憶	i5	
忍	ʐẽ3	
忐	tʰã3	
忒	tʰei2	
志	tʂʅ5	
忘	uɑ̃5	
忙	mɑ̃2	
忠	tʂuŋ1	
忡	tʂʰuŋ3	
憂	iəu2	
快	kʰuɛ5	
念	niã5	
忸	niəu5	
忽	xu1	
懷	xuɛ2	
態	tʰɛ1	
慫	ɕiuŋ2	
慫	suŋ3	
慪	ɣəu5	
悵	tʂʰɑ̃5	
愴	tʂʰuɑ̃5	
怎	tsẽ3	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tɛ5	
急	tɕi2	
怦	pʰəŋ2	
性	ɕiŋ5	
怨	yã5	
怪	kuɛ5	
總	tsuŋ3	
總	tɕiuŋ3	
懟	tei5	
恁	nẽ3	你
恁	nẽ5	那么
戀	liã5	
恍	xuɑ̃3	
恐	kʰuŋ3	
恆	xəŋ2	
恤	ɕy5	
恨	xẽ5	
恩	ɣẽ1	
恪	kʰə1	
恭	kuŋ1	
息	ɕi3	
恰	tɕʰia5	
懇	kʰẽ1	
恶	ɣə1	
恶	u5	
惱	nɔ3	
悄	tɕʰiɔ1	
悔	xuei3	
悟	u5	
悠	iəu1	
患	xuã5	
懸	ɕyã2	
憫	miẽ3	
悲	pei1	
悼	tɔ5	
情	tɕʰiŋ2	
驚	tɕiŋ1	
惕	tʰi5	
惘	uɑ̃3	
惠	xuei5	
懼	tɕy5	
懲	tʂʰəŋ3	
憚	tã5	
慣	kuã5	
惰	tuə5	
想	ɕiɑ̃3	
惶	xuɑ̃1	
惹	ʐə3	
惺	ɕiŋ1	
愁	tʂʰəu2	
愈	y5	
愘	tɕʰia5	～腰
愚	y2	
感	kã3	
愣	ləŋ5	
憤	fẽ5	
願	yã5	
慈	tsʰɿ2	
慌	xuɑ̃1	
慎	ʂẽ5	
懾	ʂə1	
慕	mu5	
慜	miẽ3	
慢	mã5	
慧	xuei5	
慨	kʰɛ1	
慰	uei5	
慷	kʰɑ̃3	
憋	pie1	
憧	tʂʰuŋ2	
憨	xã1	
憾	xã5	
懂	tuŋ3	
懣	mẽ1	
懶	lã3	
懵	məŋ1	
戌	ɕy1	
戎	iuŋ3	
戲	ɕi3	
成	tʂʰəŋ2	
我	uə3	
或	xuei2	
戰	tʂã5	
戚	tɕʰi	亲～
戛	ka3	～然而止
戳	tʂʰuə1	
戴	tɛ5	
房	fɑ̃2	
所	suə3	
扁	piã3	
扇	ʂ膻衫煽搧杉删山ã5	
扉	fei1	
手	ʂəu3	
才	tsʰɛ2	
才	tsʰɛ5	刚～
扎	tʂa1	
