#漢字	音標	解釋
㨄	tʂou1	侧托重物,~起
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tʂʅ3	
按	an5	
挎	kʰua5	
挑	tʰiau1	1~水
挑	tʰiau3	2~战
挖	uan1	
撓	nau2	
擋	taŋ3	阻~
掙	tʂəŋ5	~脱,~开绳子
擠	tɕi3	
揮	xuei1	
挨	ai1	~饿;~近。~崩/~呲儿:挨批评
挪	nuo2	~动
挫	tsʰuo3	
振	tʂən5	
挺	tʰiŋ3	
挽	uan3	
捂	u3	遮盖住或封闭起来,~嘴笑
捅	tʰuŋ3	~破了
捆	kʰuən3	
捋	ly3	~袖
捎	ʂau1	~带
捏	niɛ1	
捐	tɕyan1	
捕	pu3	
撈	lau1	
損	suən3	
撿	tɕian3	
換	xuan5	
搗	tau3	
据	tɕy5	
捶	tʂʰuei2	
捷	tɕiɛ2	
捺	na5	撇~
捻	nian3	以指~碎
掀	ɕian1	
掂	tian1	~量
掇	tuo1	掂~
授	ʂou5	
掉	tiau5	
掌	tʂaŋ3	
掏	tʰau1	~出来
掐	tɕʰia1	
排	pʰai2	
掖	iɛ1	塞进,把书~在怀里
掘	tɕyɛ1	
掠	lyɛ5	
探	tʰan5	
接	tɕiɛ1	
控	kʰuŋ5	
推	tʰuei1	
掩	ian3	
掩	an3	挖小坑种瓜、豆,~豆子
措	tsʰuo5	举~
掫	tʂou1	往高处顶,~我一把
掬	tɕy1	两手捧东西,一~
掮	tɕʰian2	~客
掰	pai1	
擲	tʂʅ5	
撣	tan3	鸡毛~子
摻	tʂʰan1	~杂
摜	kuan5	扔,~蛋
揉	ʐou2	
描	miau2	
提	tʰi2	
揖	i1	作~
揞	an3	用手把药粉末等敷在伤口上,~住
揣	tʂʰuai1	~怀里
揣	tʂʰuai3	~度
揩	kʰai1	擦,~汗
揪	tɕiou1	~住
揭	tɕiɛ1	
援	yan2	救~
攬	lan3	
撳	tɕʰin5	按
攙	tʂʰan1	
擱	kɤ1	
摟	lou1	1~草
摟	lou3	2~抱
攪	tɕiau3	
搉	tɕʰyɛ5	敲击
搏	pɤ2	
搓	tsʰuo1	~手
搔	sau1	~痒
搛	tɕian1	~菜
搜	sou1	
搞	kau3	
搡	saŋ3	猛推
搬	pan1	
搭	ta1	
攜	ɕiɛ2	
搽	tʂʰa2	
摁	ən5	按
攝	ʂɤ5	
摆	pai3	
摇	iau2	
攤	tʰan1	
摔	ʂuai1	
摘	tʂai1	
摞	luo2	~起来
摧	tsʰuei1	
摩	mɤ2	
摸	mɤ1	
摹	mɤ2	~本
撅	tɕyɛ1	翘起,~尾巴
撇	pʰiɛ3	~捺,~开
撑	tʂʰəŋ1	
撒	sa3	1~种
撒	sa1	2~手
撕	sɿ1	
撤	tʂʰɤ5	
撩	liau1	~起来
撬	tɕʰiau5	
播	pɤ1	
撮	tsʰuo1	一~米
撰	tʂuan5	
攆	nian3	
撼	xan5	
擀	kan3	~面
擂	lei2	
操	tsʰau1	~作
擎	tɕʰiŋ2	
擒	tɕʰin2	
擤	ɕiŋ3	~鼻涕
擦	tsʰa1	
擩	ʐu3	~进去
攀	pʰan1	
攢	tsan5	
攢	tsan3	积~
攘	ʐaŋ3	
攮	naŋ3	用刀子~
支	tʂʅ1	
收	ʂou1	
改	kai3	
攻	kuŋ1	~击
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiau5	
敵	ti2	
敏	min3	
救	tɕiou5	
教	tɕiau1	1~书
教	tɕiau5	2~育
斂	lian3	收~
敝	pi5	
敞	tʂʰaŋ3	
敢	kan3	
散	san3	1鞋带~了
散	san5	2分~
敦	tuən1	~厚
㪗	tʰou3	展开;抖搂尘土,~气
敬	tɕiŋ5	
數	ʂu3	1动词
數	ʂu5	2名词,~学
敲	tɕʰiau1	
整	tʂəŋ3	
敷	fu2	
文	uən2	
齋	tʂai1	
斑	pan1	
斗	tou3	1几升几~
斗	tou5	~争
斜	ɕiɛ2	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ5	
斧	fu3	
斬	tʂan3	
斷	tuan5	决~
斯	sɿ1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyan5	1回~;~吃~做;转着圈地削
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ʐʅ5	~头:太阳
旦	tan5	
旨	tʂʅ3	
旭	ɕy5	
旱	xan5	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ5	兴~,火~
昂	aŋ2	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	miŋ2	
昏	xuən1	
易	i5	
昔	ɕi1	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuən1	
昧	mei5	
昨	tsuo2	
昭	tʂau1	
是	ʂʅ5	
晝	tʂou5	
顯	ɕian3	
晃	xuaŋ3	1~眼
晃	xuaŋ5	2摇~
晉	tɕin5	
晌	ʂaŋ3	~午
晏	ian5	晚,迟
曬	ʂai5	
曉	ɕiau3	
暈	yn1	
晚	uan3	
晦	xuei5	
晨	tʂʰən2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
晾	liaŋ5	
暫	tsan5	
暇	ɕia2	
暑	ʂu3	
暖	nan3	
暗	an5	
暮	mu5	
暴	pau5	
曝	pau5	
曩	naŋ3	以往,从前
曰	yɛ1	
曲	tɕʰy1	1弯~,酒~
曲	tɕʰy3	2戏~
更	kəŋ1	1~换
更	kəŋ5	2~加
曹	tsʰau2	
曾	tsəŋ1	1姓
曾	tsʰəŋ2	2~经
替	tʰi5	
最	tsuei5	
朔	suo5	~风
朗	laŋ3	
望	uaŋ5	
朝	tʂau1	1今~
朝	tʂʰau2	2~代
期	tɕʰi1	时~
未	uei5	
末	mɤ5	
本	pən3	
札	tʂa2	~记
术	tʂu2	1白~
术	ʂu5	2技~
朱	tʂu1	
朴	pʰu3	
朶	tuo3	
機	tɕi1	
朽	ɕiou3	
杆	kan3	
杈	tʂʰa5	枝~
杉	ʂan1	~树
杌	u5	~子,~凳
李	li3	
杏	ɕiŋ5	
村	tsʰuən1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi3	枸~
束	ʂu5	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ2	
杳	iau3	~无音信
杵	tʂʰu3	~药
杷	pʰa5	枇~
極	tɕi2	
構	kou5	
枇	pʰi2	~杷
枉	uaŋ3	
析	ɕi1	
枕	tʂən3	~头
林	lin2	
枚	mei2	
果	kuo3	
枝	tʂʅ1	
樞	ʂu1	中~,~纽
棗	tsau3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
枵	ɕiau1	空虚
架	tɕia5	
枷	tɕia1	~锁
柄	piŋ3	
柏	pai3	
某	mou3	
柑	kan1	
染	ʐan3	
柔	ʐou2	
柚	iou5	
櫃	kuei5	
柞	tsuo5	~树
查	tʂʰa2	1调~
查	tʂa1	2姓
柩	tɕiou5	灵~
柬	tɕian3	
柱	tʂu5	
柳	liou3	
柴	tʂʰai2	
柿	ʂʅ5	
梔	tʂʅ1	~子花
栅	tʂa5	~栏
標	piau1	
棟	tuŋ5	
欄	lan2	
樹	ʂu5	
栓	ʂuan1	~柱
栖	tɕʰi1	鸟停在树上,~息
栗	li5	
校	ɕiau5	1学~
校	tɕiau5	2~对
株	tʂu1	
樣	iaŋ5	
核	xɤ2	1审~
核	xu2	2果子~
栽	tsai1	
栿	fu2	房梁
桁	xəŋ2	檩,~架
桃	tʰau2	
桅	uei2	船~
框	kʰuaŋ5	
案	an5	
桌	tʂuo1	
桐	tʰuŋ2	
桑	saŋ1	
桓	xuan2	姓,齐~公
椏	ia1	
橈	iau2	划船的桨
檔	taŋ3	
樺	xua5	~树
槳	tɕiaŋ3	
樁	tʂuaŋ1	
桶	tʰuŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梗	kəŋ3	~子
梢	ʂau1	树~
夢	məŋ5	
梧	u2	~桐
梨	li2	
梭	suo1	织布~
梯	tʰi1	
械	ɕiɛ5	
檢	tɕian3	
棉	mian2	
棋	tɕʰi2	
棍	kuən5	
棒	paŋ5	
棕	tsuŋ1	
棘	tɕi2	泛指有刺的草木,荆~
棚	pʰəŋ2	
棠	tʰaŋ2	
森	sən1	
棱	liŋ2	
棵	kʰɤ1	
棹	tʂau5	桨;划(船)
棺	kuan1	
椅	i3	
植	tʂʅ2	
椒	tɕiau1	
橢	tʰuo3	~圆
椰	iɛ1	
椴	tuan5	~树
椽	tʂʰuan2	~子
椿	tʂʰuən1	~树
楂	tʂa1	山~
楔	ɕiɛ1	~子
楚	tʂʰu3	
楝	lian5	树名
楞	ləŋ5	
楣	mei2	
楦	ɕyan5	鞋~
楷	kʰai3	
樓	lou2	
概	kai5	
欖	lan3	橄~
榆	y2	
榔	laŋ2	
榕	ʐuŋ2	~树
榛	tʂən1	~子
榜	paŋ3	
榧	fei3	~子
榨	tʂa5	~油
榫	suən3	~头
榴	liou2	石~
榻	tʰa5	
槌	tʂʰuei2	
槐	xuai2	
檻	kʰan3	2门~
檳	piŋ1	~榔
槽	tsʰau2	马~
樊	fan2	姓
樟	tʂaŋ1	
模	mu2	1~子
模	mɤ2	2~范
橫	xəŋ5	2蛮~
櫻	iŋ1	~桃
樵	tɕʰiau2	
橄	kan3	~榄
橘	tɕy2	
橙	tʂʰəŋ2	~子
橛	tɕyɛ2	~子
橡	ɕiaŋ5	~树
櫥	tʂʰu2	
櫓	lu3	比船桨长而大
檀	tʰan2	
檐	ian2	
檗	pɤ2	黄~(药名)
檁	lin3	~子
檬	məŋ2	
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ou1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ1	
歉	tɕʰian5	道~
止	tʂʅ3	
正	tʂəŋ5	1端~
正	tʂəŋ1	2~月
此	tsʰɿ3	
步	pu5	
武	u3	
歧	tɕʰi2	
歪	uai1	
死	sɿ3	
殲	tɕian1	~灭
殃	iaŋ1	
殆	tai5	
殉	ɕyn5	
殊	su1	
殘	tsʰan2	
殮	lian5	入~
殕	pu2	食物上生白膜
殖	tʂʅ2	
殯	pin5	
毆	ou1	
段	tuan5	
殷	in1	
殿	tian5	
毁	xuei3	
毅	i5	
母	tɕin5	
每	mei3	
比	pi3	~较
畢	pi5	
斃	pi5	
毛	mau2	
毡	tʂan1	~帽
毫	xau2	
毯	tʰan3	
毽	tɕian5	踢~子
氏	ʂʅ5	
民	min2	
氓	maŋ2	
气	tɕʰi5	
水	ʂuei3	
永	yŋ3	
汀	tʰiŋ1	
求	tɕʰiou2	
汆	tsʰuan1	烹调方法,~丸子
汇	xuei5	
漢	xan5	
汊	tʂʰa5	分支的小河
汗	xan5	
汝	ʐu3	
汞	kuŋ3	一种化学元素
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	姓
汴	pian5	
汽	tɕʰi5	
沁	tɕʰin5	
沂	i2	~河
沃	uo5	
沈	ʂən3	
沉	tʂʰən2	
沌	tuən5	
沓	ta2	一~纸
沙	ʂa1	
沛	pʰei5	
溝	kou1	
没	mɤ5	1沉~
没	mei2	2~有
漚	ou5	久浸水中
瀝	li5	~青
淪	luən2	
滬	xu5	
沫	mɤ5	
沸	fei5	
沼	tʂau3	~气
沾	tʂan1	
沿	ian2	
泄	ɕiɛ5	~露
泅	tɕʰiou2	游水
泉	tɕʰyan2	
泊	pʰɤ1	1梁山~
泊	pɤ2	2漂~
泌	mi5	
泔	kan1	~水
法	fa3	方~
泡	pʰau1	1眼~
泡	pʰau5	2~在水里
泣	tɕʰi5	
注	tʂu5	
淚	lei5	
泰	tʰai5	
泳	yŋ3	
瀉	ɕiɛ5	
潑	pʰɤ1	
澤	tsɤ2	
洇	in1	液体落在物体上渗透散开
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	luo5	
洞	tuŋ5	
津	tɕin1	
洪	xuŋ2	
洲	tʂou1	
活	xuo2	
洼	ua1	
洽	tɕʰia5	
派	pʰai5	
流	liou2	
淺	tɕʰian3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tʂuo2	
測	tsʰɤ5	
濟	tɕi5	
瀏	liou2	
渾	xuən2	~浊
滸	xu3	水~
濃	nuŋ2	
浙	tʂɤ5	
浚	tɕyn5	疏通(水道)
浜	paŋ1	沙家~
浞	tʂuo2	淋,让雨~了
浦	pʰu3	
浩	xau5	
浪	laŋ5	
浮	fu2	
海	xai3	
浸	tɕin5	
涂	tʰu2	
涂	tʂʰa2	
消	ɕiau1	
涉	ʂɤ5	
涌	yŋ3	
涎	ɕian2	
涕	tʰi5	
濤	tʰau1	
澇	lau5	旱~
渦	uo1	
滌	ti2	
潤	ʐuən5	
澗	tɕian5	溅~一身水
漲	tʂaŋ3	1~价
漲	tʂaŋ5	2~红了脸
澀	sɤ5	
涮	ʂuan5	~洗
涯	ia2	天~
液	iɛ5	
淀	tian5	
淆	ɕiau2	混~
淋	lin2	~湿
淑	ʂu5	
淘	tʰau2	~米
淡	tan5	
淤	y1	
淫	in2	
淬	tsʰuei5	~火
淮	xuai2	
混	xuən5	~合
淹	ian1	
添	tʰian1	
清	tɕʰiŋ1	
淵	yan1	
漸	tɕian5	
澠	mian3	~池
漁	y2	
滲	ʂən5	~透
渠	tɕʰy2	
渡	tu5	
渣	tʂa1	
溫	uən1	
港	kaŋ3	~口
游	iou2	
渺	miau3	
湖	xu2	
湘	ɕiaŋ1	
灣	uan1	
潰	kʰuei5	崩~
溉	kai5	
源	yan2	
溜	liou1	
溢	i5	满出来,汤~出来了
溪	ɕi1	
溶	ʐuŋ2	
溺	ni5	~死
溻	tʰa2	汗湿透衣服、被褥等,衣服~了
滂	pʰaŋ2	~沱
滋	tsɿ1	
滓	tsɿ3	
滔	tʰau1	
潷	pi5	~汁
滚	kuən3	
滯	tʂʅ5	停~
滿	man3	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti1	
漂	pʰiau1	1~流
漂	pʰiau3	2~白
漂	pʰiau5	3~亮
漆	tɕʰi1	
漏	lou5	
漠	mɤ5	
漤	lan3	放溶液里泡以除涩味,~柿子,~菜
漫	man5	
漱	ʂu5	~口
潘	pʰan1	
潛	tɕʰian3	
潢	xuaŋ2	装~
潦	liau2	
潭	tʰan2	
潮	tʂʰau2	
潲	ʂau5	猪~,~水
澄	tʂʰəŋ2	1~清
澄	təŋ5	2~沙
澡	tsau3	
激	tɕi1	
瀑	pʰu5	~布
灌	kuan5	
灒	tsan5	溅
火	xuo3	
燈	təŋ1	
灰	xuei1	
靈	liŋ2	
竈	tsau5	
灸	tɕiou1	针~
燦	tsʰan5	
炊	tʂʰuei1	~具
炎	ian2	
炒	tʂʰau3	
炕	kʰaŋ5	
燉	tuən5	
炮	pʰau5	枪~
炷	tʂu5	一~香
炸	tʂa2	1用油~
炸	tʂa5	2~弹
點	tian3	
煉	lian5	
爛	lan5	
烈	liɛ5	
烊	iaŋ2	融化
烘	xuŋ1	~干
烙	lau5	
烤	kʰau3	
煩	fan2	
燒	ʂau1	
燙	tʰaŋ5	
烹	pʰəŋ1	
烽	fəŋ1	
焉	ian1	心不在~
焊	xan5	~铁壶
焌	tɕyn5	1用火烧
焌	tɕʰy1	2火~手了
煥	xuan5	
燜	mən1	
焙	pei5	
焚	fən2	
焦	tɕiau1	
焯	tʂʰau1	把菜放在开水中~~
焰	ian5	
然	ʐan2	
煎	tɕian1	
煞	ʂa1	(1~车,~风景
煞	ʂa5	2~费苦心
煤	mei2	
照	tʂau5	
煨	uei1	~汤
煮	tʂu3	
熄	ɕi1	
熊	ɕyŋ2	
熏	ɕyn1	
熙	ɕi1	
熟	ʂu2	1~悉
熟	ʂou2	2饭~了
熥	tʰəŋ1	热已凉的熟食,把包子~~
熨	yn5	
熬	au2	
燃	ʐan2	
燎	liau3	2火~了眉毛
燎	liau2	~原
燕	ian1	1~京;姓
燕	ian5	2~子
燥	tsau5	
爆	pau5	
爊	au1	放在微火上煨熟
爪	tʂua3	1~子
爪	tʂau3	2~牙
愛	ai5	
爵	tɕyɛ2	公~
爺	iɛ2	
爹	tiɛ1	
爽	ʂuaŋ3	
爿	pʰan2	竹~
片	pʰian5	
版	pan3	
牌	pʰai2	
牒	tiɛ2	通~
牚	tʂʰəŋ5	椅子~儿
牛	niou2	
牡	mu3	~丹
牧	mu5	
物	u5	
牯	ku3	(~牛)(公牛)
牲	ʂəŋ1	
牽	tɕʰian1	
牸	tsɿ5	雌性牲畜
特	tʰɤ5	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu2	牛~子
犍	tɕian1	~牛(阉过的公牛)
犒	kʰau5	~劳
犟	tɕiaŋ5	
犬	tɕʰyan3	
狀	tʂuaŋ5	
猶	iou2	
狂	kʰuaŋ2	
狄	ti2	
狍	pʰau2	~子
狐	xu2	
狗	kou3	
狠	xən3	
狡	tɕiau3	
獨	tu2	
狹	ɕia2	
獅	ʂʅ1	
獄	y5	
狸	li2	野猫,~猫
狼	laŋ2	
獵	liɛ5	
猛	məŋ3	
猜	tsʰai1	
猝	tsʰu5	仓~
猫	mau1	
蝟	uei5	刺~
獻	ɕian5	
猴	xou2	
猾	xua2	狡~
猿	yan2	
獺	tʰa3	水~
玄	ɕyan2	
率	ly5	1效~
率	ʂuai5	2~领
玩	uan2	游~
玫	mei2	
環	xuan2	
現	ɕian5	
玲	liŋ2	
玻	pɤ1	~璃
珊	ʂan1	
珍	tʂən1	
瓏	luŋ2	
珠	tʂu1	
班	pan1	
理	li3	
琉	liou2	~璃
瑣	suo3	~碎
琢	tsuo2	
琴	tɕʰin2	
琵	pʰi2	~琶
琶	pʰa5	琵~
瓊	tɕʰyŋ2	
瑕	ɕia2	
瑚	xu2	
瑞	ʐuei5	
瑟	sɤ5	
瑰	kuei5	
璃	li2	玻~
璧	pi5	
瓜	kua1	
瓠	xu5	~瓜
瓢	pʰiau2	
瓣	pan5	
瓤	ʐaŋ2	瓜~
瓦	ua3	1砖~
瓦	ua5	2动词
瓮	uəŋ5	2盛东西的陶器,酒~
甌	ou1	盅,~子
瓶	pʰiŋ2	
瓷	tsʰɿ2	~器
甑	tsəŋ5	蒸馏用器皿,曲颈~
甘	kan1	
甚	ʂən5	
甜	tʰian2	
生	ʂəŋ1	
甥	ʂəŋ1	
用	yŋ5	
甫	fu3	
甬	yŋ3	~道
田	tʰian2	
由	iou2	
甲	tɕia3	
申	ʂən1	
男	nan2	
畫	xua5	
暢	tʂʰaŋ5	
界	tɕiɛ5	
畏	uei5	
留	liou2	
畜	ɕy5	2~牧
略	lyɛ5	
畦	tɕʰi2	菜~
番	fan1	几~
疃	tʂʰuaŋ2	无节制地狂吃狂喝
疆	tɕiaŋ1	
疆	tɕiaŋ1	~石
疏	ʂu1	~远
疑	i2	
疔	tiŋ1	~疮
癤	tɕiɛ1	~子
療	liau2	
疙	ka1	~瘩
疝	ʂan5	~气
瘧	niɛ5	~疾
瘍	iaŋ3	溃~
疤	pa1	
疥	tɕiɛ5	~疮
癧	li5	瘰~
瘡	tʂʰuaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ5	吹毛求~
疸	tan3	黄~
疹	tʂən3	~子
疾	tɕi2	
痂	tɕia1	伤口或疮口表面凝结的块状物
痄	tʂa5	~腮
病	piŋ5	
症	tʂəŋ5	
癰	yŋ1	~疽
痒	iaŋ3	
痔	tʂʅ5	
痕	xən2	
痘	tou5	
痛	tʰuŋ5	
痢	li5	~疾
痣	tʂʅ5	
痧	ʂa1	
癆	lau2	~病
痰	tʰan2	
痱	fei5	~子
癡	tʂʰʅ2	
痹	pʰi5	麻~
瘊	xou2	~子
瘌	la5	~痢
瘟	uən1	
瘢	pan1	
瘤	liou2	
瘩	ta1	疙~
癟	piɛ3	
癱	tʰan1	
瘰	luo3	~疬,多发生在颈部
瘴	tʂaŋ5	~气
瘸	tɕʰyɛ2	~腿
癮	in3	烟~
癌	ai2	
癩	lai5	
癬	ɕyan3	
癲	tian1	
癸	kuei3	
登	təŋ1	
白	pai2	
皂	tsau5	
的	ti2	~确
皆	tɕiɛ1	
皇	xuaŋ2	
皖	uan3	安徽
皺	tʂou5	
皴	tsʰuən1	脸~
皿	min3	
盂	y2	痰~
盅	tʂuŋ1	
盆	pʰən2	
盈	iŋ2	
益	i5	
盞	tʂan3	
監	tɕian1	1~视
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	pʰan2	
盛	tʂʰəŋ2	1~满了
盛	ʂəŋ5	2兴~
盟	məŋ2	
目	mu5	
盯	tiŋ1	
盲	maŋ2	
相	ɕiaŋ1	1互~
相	ɕiaŋ5	2~貌
盹	tuən3	
盼	pʰan5	
盾	tuən5	矛~
省	ʂəŋ3	1节~
省	ɕiŋ3	2反~
眉	mei2	
看	kʰan1	1~守
看	kʰan5	2~见
瞘	kʰou1	眼~
真	tʂən1	
眨	tʂa3	~眼
眩	ɕyan5	
眯	mi1	
眵	tsʰɿ1	
眶	kʰuaŋ5	眼~
眷	tɕyan5	家~
着	tʂau2	1找~了
着	tʂuo2	2~落
睜	tʂəŋ1	
睛	tɕiŋ1	眼~
睡	ʂuei5	
督	tu1	
睫	tɕiɛ2	
睬	tsʰai3	
瞄	miau2	
瞅	tʂʰou3	
瞌	kʰɤ1	
瞞	man2	
瞟	pʰiau3	
瞧	tɕʰiau2	
瞪	təŋ5	~眼
瞭	liau5	~望
瞳	tʰuŋ2	
瞻	tʂan1	往前或往上看,~仰
瞿	tɕʰy2	
矛	mau2	
矢	ʂʅ3	
知	tʂʅ1	
矩	tɕy5	规~
矯	tɕiau3	~正
短	tuan3	
矮	ai3	
礬	fan2	
礦	kʰuaŋ5	
碼	ma3	
砂	ʂa1	~锅,~纸
砌	tɕʰi1	
砍	kʰan3	
砑	ia5	碾压或摩擦皮革,~光
研	ian2	
磚	tʂuan1	
硯	ian5	~台
砣	tʰuo2	秤~
砧	tʂən1	~板
破	pʰɤ5	
砸	tsa2	
礎	tʂʰu3	柱下石
碩	ʂuo5	
硝	ɕiau1	~酸,~石
硫	liou2	~黄
硬	iŋ5	
確	tɕʰyɛ5	
礙	ai5	~事
碎	suei5	
碑	pei1	
碓	tuei5	
碗	uan3	
磣	tʂʰən3	牙~
碟	tiɛ2	
碧	pi5	
碰	pʰəŋ5	
鹼	tɕian3	
碴	tʂʰa1	1胡子拉~
碾	nian3	
磁	tsʰɿ2	~石
磅	paŋ5	1~秤
磋	tsʰuo1	切~
磕	kʰɤ1	
磨	mɤ2	1~刀;2石~
磬	tɕʰiŋ5	钟~
磷	lin2	
示	ʂʅ5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi3	
祐	iou5	
祖	tsu3	
祝	tʂu5	
神	ʂən2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	车~
祭	tɕi5	
禱	tau3	
禍	xuo5	
稟	piŋ3	~告
禁	tɕin1	1~不住
禁	tɕin5	2~止
祿	lu5	
禪	tʂʰan2	~宗;~让
福	fu3	
禹	y3	
离	li2	1~别
离	li2	2~开半寸
禽	tɕʰin2	
禾	xɤ2	
秀	ɕiou5	
私	sɿ1	
稈	kan3	稻~
秉	piŋ3	
種	tʂuŋ3	1~类
種	tʂuŋ5	2~树
科	kʰɤ1	
秒	miau3	
秕	piɛ3	~子
秘	mi5	
租	tsu1	
秤	tʂʰəŋ5	一杆~
秦	tɕʰin2	
秧	iaŋ1	
秩	tʂʅ5	
秫	ʂu5	高粱
積	tɕi1	
稱	tʂʰəŋ1	1~呼
稱	tʂʰən5	2对~
秸	kai1	麦~
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʂʰəŋ2	
稍	ʂau1	
税	ʂuei5	
稗	pai5	~子;~官野史
稚	tʂʅ5	幼~
稠	tʂʰou2	
穩	uən3	
稷	tɕi5	社~
稼	tɕia5	谷物
稽	tɕi1	~查
稿	kau3	
穆	mu5	
穗	suei5	
穰	ʐaŋ2	禾茎
穴	ɕyɛ2	
究	tɕiou1	
窮	tɕʰyŋ2	
空	kʰuŋ1	1~虚
空	kʰuŋ5	2~缺
穿	tʂʰuan1	
突	tʰu1	
竊	tɕʰiɛ5	
窄	tʂai3	
竅	tɕʰiau5	
窯	iau2	
窖	tɕiau5	
窘	tɕyŋ3	
竄	tʂʰuan5	
窩	uo1	
窟	kʰu1	~窿
窠	kʰɤ1	窝
窺	kʰuei1	偷~
竇	tou5	姓
窨	in5	地下室,地~子
窿	luŋ2	
立	li5	
站	tʂan5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰuŋ2	
端	tuan1	
竿	kan1	竹~
篤	tu3	
笆	pa1	
笊	tʂau5	~篱
笋	suən3	
笑	ɕiau5	
筆	pi3	
笙	ʂəŋ1	
笠	li5	
符	fu2	
笨	pən5	
第	ti5	
箋	tɕian1	
籠	luŋ3	1~罩
籠	luŋ2	2竹~
等	təŋ3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tʂu5	
筒	tʰuŋ3	
答	ta2	回~
策	tsʰɤ5	
篩	ʂai1	~子
箏	tʂəŋ1	
筲	ʂau1	水桶,~箕
筵	ian2	
筷	kʰuai5	
籌	tʂʰou2	
签	tɕʰian1	
簡	tɕian3	
箍	ku1	
箔	pɤ2	锡~
箕	tɕi1	簸~
算	suan5	
管	kuan3	
籮	luo2	手指纹
簫	ɕiau1	
箭	tɕian5	
箱	ɕiaŋ1	
箸	tʂu5	筷子
篆	tʂuan5	
篇	pʰian1	
簍	lou3	
篙	kau1	船~
篡	tʂʰuan5	
篦	pi5	~子
籃	lan2	
籬	li2	
篷	pʰəŋ2	
篾	miɛ5	竹~
簟	tian5	竹席,晒~
簧	xuaŋ2	弹~
簪	tsan1	~子
簸	pɤ3	1~一~
簸	pɤ5	2~箕
簿	pu5	
籍	tɕi2	
米	mi3	
糴	ti2	买进(粮食)
類	lei5	
籽	tsɿ3	
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	nian2	
粘	tʂan1	2~住
糶	tʰiau5	卖出粮食,~米跳
粟	su5	
粤	yɛ5	
粥	tʂou1	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粳	tɕiŋ1	~米
粹	tsʰuei5	纯~
精	tɕiŋ1	
糝	ʂən1	雪~子:冰粒儿
糊	xu2	
糍	tsʰɿ2	~粑
糕	kau1	
糗	tɕʰiou3	饭食成块状或糊状,面煮~了
糙	tsʰau1	粗~;~米
糜	mi2	粥,肉~
糟	tsau1	
糠	kʰaŋ1	
糨	tɕiaŋ5	
糯	nuo5	~米
系	tɕi5	1~鞋带
系	ɕi5	2联~
素	su5	
索	suo3	绳~
緊	tɕin3	
紫	tsɿ3	
累	lei5	1极疲劳
累	lei3	2~积
絮	ɕy5	
繁	fan2	
纂	tsuan3	编~
糾	tɕiou1	~缠
紅	xuŋ2	
紂	tʂou5	
纤	ɕian1	
級	tɕi2	
紀	tɕi5	~律
紉	ʐən5	缝~
緯	uei3	
純	tsʰuən2	
紗	ʂa1	
綱	kaŋ1	
縱	tsuŋ5	
紛	fən1	
紋	uən2	
紡	faŋ3	
紐	niou3	
練	lian5	
組	tsu3	
細	ɕi5	
終	tʂuŋ1	
縐	tʂou1	文~~
絆	pan5	
紹	ʂau5	
經	tɕiŋ1	
綁	paŋ3	
絨	ʐuŋ2	
結	tɕiɛ2	1~构
結	tɕiɛ1	2~实
繞	iau3	
繪	xuei5	
給	kei3	1~你
給	tɕi3	2供~
絡	luo5	
絞	tɕiau3	
統	tʰuŋ3	
絹	tɕyan5	
繡	ɕiou5	
