#漢字	音標	解釋
#簡稱	/	衡山馬跡
#全稱	/	衡山馬跡話
#聲母	/	
#韻母	/	
#聲調	/	55 1 1a 陰平 ꜀,11 2 1b 陽平 ꜁,33 3 2 上 ꜂,,324 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅
#版本	/	2022-01-31
#錄入人	/	跳跳老鼠
#參考資料	/	《湖南省衡山縣馬跡話的語音系統》
#說明	/	
㐄	dʑia6	跨：～過門檻
佑	iou6	(又)
佔	tɕĩ5	(白)
佔	tɕyẽ5	(文)
何	ɣo2	
佘	ʑia2	
余	y2	
佛	ɸu2	(1)～教
佛	βu2	(2)阿彌陀～
作	tso2	(1)～業
作	tso5	(2)病痛或藥物開始產生反映：爛疤子發～嗒；小孩吵闓不停
佝	kəu3	
佞	ȵiəŋ6	
你	ȵi3	
佩	pʰei5	
佬	lau3	
佯	ioŋ2	
佰	pe2	
佳	tɕia1	
併	piəŋ5	
佻	tʰiəu1	
佼	tɕiəu1	
使	pʰa2	
使	sɿ3	
侃	kʰan3	
侄	tɕʰi2	
來	lai2	
侈	tsʰɿ3	
例	lie5	
侍	zɿ6	
侏	tɕy1	
侗	dəŋ6	
供	kəŋ5	(2)做奉神佛，～果
依	i1	
侮	u3	
侯	ɣəu2	
侵	tɕʰiəŋ5	
侶	lei3	
侷	tɕy5	
便	bĩ6	
促	tsʰou2	
俄	ŋo2	
俊	tsəŋ5	
俏	tɕʰiəu5	
俐	li5	
俑	iəŋ3	
俗	sou2	
俘	ɸu1	
俚	li3	
保	pau3	
俞	y2	
俟	sɿ5	
俠	ɕia2	
信	ɕiəŋ5	
修	ɕiou1	
俯	ɸu3	
俱	tɕy1	
俳	bai2	
俳	ɸei3	
俸	βəŋ6	
倀	tɕʰioŋ1	
倆	lioŋ3	
倈	lai3	～嘰：男孩
倉	tsʰoŋ1	
個	ko5	
倌	kuẽ1	
倍	bei6	
倏	ɕy1	
們	miəŋ2	
倒	tau3	(1)打～；～賣
倒	tau5	(2)與正相反
倔	tɕye2	
倘	tʰoŋ3	
候	ɣəu6	
倚	i1	
借	tɕia5	(白)
倡	tɕʰioŋ1	
倦	dʑyẽ6	
倨	tɕy5	
倩	tɕʰĩ5	
倫	ləŋ2	
值	tɕʰi5	
值	tɕie5	(文)
偃	ĩ5	
假	tɕia3	
偉	uei3	
偏	pʰĩ1	
做	tsou5	
停	diəŋ2	
健	dʑĩ6	
側	tse2	
偵	tɕiəŋ1	
偶	ŋəu3	
偷	tʰəu1	
傀	kʰuei3	
傅	βu2	(變調)師～
傅	ɸu5	(又)
傍	boŋ2	
傑	tɕʰie2	
傘	san3	
備	bei6	(文)
傣	tai3	
催	tsʰei1	
傭	iəŋ6	
傲	ŋau5	
傳	dʑyẽ2	(1)～播
傳	dʑyẽ6	(2)～記；～傳
債	tsai5	
傷	ɕioŋ1	
傻	sa3	(文)
傻	xa3	(白)
傾	tɕʰyəŋ3	
僂	ləu3	
僅	tɕʰiəŋ5	
像	ɕioŋ5	(文)名詞：肖～
像	dʑioŋ6	(白)
僑	dʑiəu2	
僕	pʰu2	
僚	liəu2	
僞	uei3	(又)
僞	uei5	(又)
僥	tɕiəu3	
僧	sẽ1	
僮	dəŋ2	
僱	ku5	
僵	tɕʰioŋ1	
價	tɕia5	
儀	ȵi2	
億	i5	
儈	kʰuai5	
儉	dʑĩ6	
儐	piəŋ1	
儔	dʑiou2	
償	dʑioŋ2	(又)
償	ʑioŋ2	(又)
儡	lei3	
優	iou1	
儲	dʑy2	
儷	li5	
兀	u5	
允	yəŋ3	
元	yẽ2	
兄	ɕiəŋ1	
充	tsʰəŋ1	
兆	dʑiəu6	
兇	ɕiəŋ1	
先	ɕĩ1	
光	koŋ1	
克	kʰe2	
兌	tei5	
免	mĩ3	
兒	ɯ2	
兔	tʰou5	
兜	təu1	
兢	tɕiəŋ1	
入	ʑi2	(白)狗～个：狗日的
入	ȵia5	(白)狗～个：狗日的
入	y6	(文)
內	nei6	
全	dʑĩ2	
兩	lioŋ3	
八	pa2	
公	kəŋ1	
六	lou5	
兮	ɕi1	
共	ɡəŋ6	
兵	piəŋ1	
其	dʑi2	
具	dʑy6	
典	tĩ3	
兼	tɕĩ1	
冇	mau6	
冊	tsʰe2	
再	tsai5	
冒	mau6	
冕	mĩ3	
冗	iəŋ2	
冠	kuẽ1	(1)雞～子
冠	kuẽ5	(2)～軍
冢	tsəŋ3	
冤	yẽ1	
冥	miəŋ2	
冪	mi5	
冬	təŋ1	
冰	piəŋ1	
冶	ia3	(白)
冶	ie3	(文)
冷	liəŋ3	(文)
冷	loŋ3	(白)
冼	ɕĩ3	
凇	səŋ1	
凊	tɕʰiəŋ5	涼：～涼
凋	tiəu1	
凍	təŋ5	
凜	liəŋ3	
凝	ȵiəŋ2	
凡	βan2	
凰	ɣoŋ2	
凱	kʰai3	
凳	tẽ5	
凶	ɕiəŋ1	
凹	ŋau5	
凼	doŋ6	水坑或田里漚淤的小坑，糞～子
函	ɣan2	
刀	tau1	
刁	tiəu1	
刃	iəŋ6	
分	ɸəŋ1	(1)一～錢，～離
分	βəŋ6	(2)過～
切	tɕʰie2	
刊	kʰan1	
刎	uəŋ3	
刑	ʑiəŋ2	
列	lie5	
初	tsʰou1	
判	pʰẽ5	
別	pʰie2	
刨	bau2	(1)挖、刮：～肉皮
刨	bau6	(2)指錛子或用錛子刨：～子
利	li6	
刪	san1	
刮	kua2	
到	tau5	
制	tsɿ5	
刷	sa2	
券	tɕʰyẽ5	
刻	kʰe2	
剁	to5	
剃	tʰi5	
則	tse2	
削	ɕio2	
剋	kʰe2	
前	dʑĩ2	
剎	sa2	
剔	tʰi3	(又)
剔	tʰi5	(又)
剛	koŋ1	
剜	uan3	
剝	po2	
剩	ʑiəŋ6	
剪	tɕĩ3	
剮	kua3	
副	ɸu5	
割	ko2	
創	tsʰoŋ5	
剿	tɕiəu3	
劃	βa2	(又)
劃	βa6	(又)
劇	tɕy5	
劈	pʰi2	(文)
劈	pʰia2	(白)
劉	liou2	
劊	kʰuai3	(又)
劊	kʰuai5	(又)
劍	tɕĩ5	
劑	tɕi5	
力	li5	
功	kəŋ1	
加	tɕia1	
加	pʰa2	
劣	lie5	
助	dzou6	
努	nou3	
劫	tɕʰie2	
勁	tɕiəŋ5	
勃	po2	
勇	iəŋ3	
勉	mĩ3	
勒	le5	
動	ləŋ5	(訓讀)莫～，好些聽課
動	dəŋ6	
勘	kʰan1	
務	u6	
勝	ɕiəŋ5	
勞	lau2	
募	mo6	
勢	ɕi5	
勤	dʑiəŋ2	
勳	ɕyəŋ1	
勵	li5	
勸	tɕʰyẽ5	
勻	yəŋ2	
勾	kəu1	
勿	u5	
包	pau1	
匆	tsʰəŋ1	
匈	ɕiəŋ1	
匐	ɸu2	
匕	pʰi2	
化	ɸa5	
北	pe2	
匙	zɿ2	
匝	tsa2	
匠	dʑioŋ6	
匡	kʰuan1	
匣	ɕia2	
匪	ɸei3	
匯	βei6	
匱	kʰuei5	
匹	pʰi2	
匾	pĩ3	
區	tɕʰy1	
十	ɕi5	
千	tɕʰĩ1	
卅	sa5	
升	ɕiəŋ1	
午	u3	
卉	βei6	
半	pẽ5	
卑	pei1	
卒	tsei2	(白)
卒	tsou2	(文)
卓	tso2	
協	ɕie2	
南	nan2	
博	po2	
卜	bo2	
卞	bĩ6	
卡	kʰa1	(1)用手的虎口鉗住
卡	kʰa3	(2)～殼；關～；～片；～車
卦	kua5	
卯	mau3	
印	iəŋ5	
危	uei2	
即	tɕi2	
卵	lo3	(白)雌性生殖細胞：～子
卵	lẽ3	(1)睾丸或陰莖：～睾子
卷	tɕyẽ3	(1)～尺，～閘門
卷	tɕyẽ5	(2)試～
卸	ɕie5	
卻	tɕʰio2	
卿	tɕʰiəŋ1	
厘	li2	
厚	ɣəu6	
原	yẽ2	
厭	ĩ5	
厲	li6	
厴	ĩ3	螺類殼口圓片狀的蓋或螃蟹腹下薄殼
去	tɕʰy5	(文)
去	tɕʰie5	(白)
叁	san1	
參	sẽ1	(2)人～
參	tsʰan1	(1)～加
又	iou6	
叉	tsʰa1	
及	tɕʰi2	
友	iou3	
反	ɸan3	
叔	ɕiou2	
取	tɕʰi3	(白)
取	tɕʰy3	(文)
受	ʑiou6	
叛	pʰẽ5	
叟	səu3	
叢	dzəŋ2	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	liəŋ6	
叩	kʰəu5	
只	tsɿ3	(1)
叫	kau5	(2)～花子
叫	tɕiəu5	(1)～喊
召	dʑiəu6	
叭	pa3	喇～
叮	tian1	(白)
叮	tiəŋ1	(文)
可	kʰo3	
史	sɿ3	
右	iou6	
叵	pʰo3	
司	sɿ1	
叼	pa1	(訓讀)～嗒根煙
吃	tɕʰi2	(2)口～
各	ko2	
吆	iəu1	
合	xo2	
吉	tɕi2	
吊	tiəu5	(又)
吊	diəu6	(又)
同	dəŋ2	
名	mian2	(白)
名	miəŋ2	(文)
名	ləŋ5	
后	ɣəu6	
吏	li5	(又)
吏	li6	(又)
吐	tʰou5	
向	ɕioŋ5	
吒	tsa2	哪～
君	tɕyəŋ1	
吝	liəŋ6	(文)
吝	ȵiəŋ6	(白)
吞	tʰẽ1	
吟	ȵiəŋ2	
吠	ɸei5	
否	pʰi3	(2)運氣～
否	ɸu3	(白)(1)～定
否	ɸei3	(文)(1)～定
吩	ɸəŋ1	
含	ɣan2	
吭	kʰəŋ1	
吱	tsɿ1	
吳	u2	
吵	tsʰau3	
吶	na5	
吸	tɕʰi2	
吹	tɕʰy1	(白)
吹	tsʰei1	(文)
吻	uəŋ2	
吼	ɣəu2	
呀	ia1	
呂	lei3	
呃	e1	(1)表驚奇
呃	e3	(2)打招呼或說話前提醒人注意
呃	e5	(3)表否定
呆	ŋai2	(白)
呆	tai3	(文)
呈	dʑiəŋ2	
告	kau5	
呋	ɸu1	
呣	m̩3	
周	tɕiou1	
呱	kua1	
味	uei6	
呸	pʰei3	
呻	ɕiəŋ1	
呼	ɸu1	
命	mian6	(白)(2)名詞，壽～
命	miəŋ6	(1)動詞，～令；(2)名詞：壽～
咀	tsei3	
咆	bau2	
咋	tsa2	～舌
和	βu2	(2)～牌
和	ɣo2	(1)～麵；我～你；～平
咎	tɕiou5	
咐	ɸu5	
咑	ta1	
咒	tɕiou5	
咔	kʰa3	
咕	ku1	
咖	kʰa1	
咚	təŋ1	
咧	lia3	嘴角向兩邊伸展：～起嘴巴笑
咨	tsɿ1	
咩	mie3	
咪	mi1	
咫	tsɿ3	
咬	iəu3	
咱	tsa2	
咳	kʰe2	
咴	ɸei1	
咷	dau2	
咸	ɣan2	
咸	ɣa6	(訓讀)全部：箇些肉我～要
咻	ɕiou1	
咿	i1	
哀	ŋai1	
品	pʰiəŋ3	
哄	xo1	(訓讀)～人；～細傢伙睏
哄	xəŋ3	
哆	do2	簡譜七音中的「1」
哇	ua1	
哈	xa1	
哈	xai1	
哉	tsai1	
哎	ai1	
哐	kʰuan3	
哞	me3	牛叫聲，小孩用以稱牛：牛～
員	yẽ2	
哥	ko1	
哧	tsʰɿ1	
哨	sau5	
哩	li2	
哩	li3	喚鴨聲
哪	na3	
哭	kʰu2	
哮	ɕiəu5	
哲	tɕie2	
哼	xẽ1	
哽	kĩ3	
唁	ĩ5	
唄	pai3	
唆	so1	(文)
唆	ɕio1	(白)
唇	ʑiəŋ2	
唉	ŋai1	(1)～聲嘆氣
唉	ai1	(2)表驚奇
唉	ai3	(3)表滿足
唉	ai5	(4)表否定
唉	ai6	(5)表後悔
唐	doŋ2	
唣	dzau6	
唧	tɕi2	詞尾襯音助詞，如：妹～：妹子
唬	ɸu3	
售	dʑiou2	(白)
售	ʑiou6	
售	ʑiou6	(文)
唯	uei2	
唱	tɕʰioŋ5	
唳	li5	
唿	ɸu2	
啃	kʰĩ3	
啄	tso2	
商	ɕioŋ1	
啊	a1	(1)表驚歎
啊	a5	(2)表疑問
啊	a6	(3)表否定
問	uəŋ6	
啐	tsʰei5	
啕	dau2	
啜	tɕʰio2	騙：他个東西怕是～錢个
啞	ŋa3	
啟	tɕʰi3	
啡	ɸei1	
啦	la1	
啪	pʰa3	
啵	po5	接吻，小孩語
啻	tsʰɿ5	
啼	di2	
啾	tɕiou1	
喀	kʰa3	
善	ʑĩ6	(白)
善	ʑyẽ6	(文)
喇	la3	
喉	ɣəu2	
喊	xan3	
喋	tʰie2	
喌	tɕio1	喚雞聲
喘	tʰẽ3	
喚	ɸẽ5	
喜	tɕʰi3	(白)
喜	ɕi3	(文)
喝	xo2	
喧	ɕyẽ1	
喪	soŋ1	(又)
喪	soŋ5	(又)
喫	tɕʰia2	～飯
喬	dʑiəu2	
單	tan1	
喲	io1	(1)～嗬
喲	io3	(2)哎～
喳	tsa1	
喵	miəu1	
喻	y6	
嗅	ɕiou5	
嗆	tsʰoŋ5	
嗇	se2	
嗉	sou5	
嗎	ma1	
嗐	ɣai6	悔之莫及時的嘆氣聲
嗒	ta2	
嗓	soŋ3	
嗖	səu1	
嗚	u1	
嗜	sɿ5	
嗡	uəŋ1	
嗣	dzɿ2	
嗤	tsʰɿ1	
嗥	ɣau2	
嗨	xai3	
嗯	ŋ̍1	(1)表驚奇
嗯	ŋ̍2	(2)表潑應諾
嗯	ŋ̍5	(3)表疑問
嗯	ŋ̍6	(4)表否定
嗲	tia1	
嗲	lia1	(訓讀)發～：敏嬌
嗵	tʰəŋ1	
嗶	pi2	
嗷	ŋau3	(又)～嗚，老虎叫，大人模仿以嚇唬小孩
嗷	au3	(又)～嗚：老虎叫，大人模仿以嚇唬小孩
嗽	səu5	
嘀	ti3	～～：汽車喇叭聲
嘆	tʰan5	
嘈	dzau2	
嘉	tɕia1	
嘍	ləu3	
嘎	ka3	
嘔	ŋəu3	
嘗	ʑioŋ2	
嘚	te3	(1)舞獅時，領隊或主人唱讚詞之先要喊「～」以使鑼鼓和喧鬧聲靜下來
嘚	te6	(2)表提醒
嘢	ie1	(1)表驚奇
嘢	ie3	(2)表肯定
嘢	ie6	(3)啊～：表後悔或害怕
嘣	pəŋ1	
嘩	βa2	
嘭	pəŋ2	鼓聲，小孩稱鼓爲「～～」
嘮	lau2	
嘯	ɕiəu5	
嘲	dʑiəu2	
嘴	tsei3	
嘶	sɿ1	
嘹	liəu2	
嘿	xe1	
噎	ie2	
噙	dʑiəŋ2	
噝	sɿ1	
噥	ləŋ2	
噦	ya5	大聲叫嚷
器	tɕʰi5	
噪	dzau2	(白)大聲叫嚷
噪	tsʰau5	(文)～音
噫	i1	表驚異
噬	sɿ5	
噲	kʰuai5	
噴	ɸəŋ5	
噼	pia3	(又)
噼	pʰia3	(又)
嚇	xa2	(白)
嚎	ɣau2	
嚏	tɕʰio2	
嚓	tsʰa3	咔～
嚙	ŋe5	用牙齒齩
嚨	ləŋ2	
嚴	ȵi2	(又)
嚴	ȵĩ2	(又)
嚶	iəŋ1	
嚷	ȵioŋ6	(又)
嚷	ioŋ6	(又)
嚼	tɕʰio5	
囁	ȵie5	
囂	ɕiəu1	
囉	lo3	
囑	tɕiou2	
囚	dʑiou2	
四	sɿ5	
回	βei2	
囟	ɕiəŋ5	～門：嬰兒頭頂骨未合縫的地方
因	iəŋ1	
囤	dəŋ2	
囪	tsʰoŋ1	
囫	ɸu2	
困	kʰuəŋ5	
固	ku5	
囿	iou5	
圃	pʰu3	
圈	tɕʰyẽ1	(又)
圈	tɕʰyan1	(又)
圊	tɕʰian1	(白)
圊	tɕʰiəŋ1	(文)
國	kue2	
圍	uei2	
園	yẽ2	
圓	yẽ2	
圖	dou2	
團	dẽ2	
圞	lẽ2	圓：溜～的桌子
土	tʰou3	
在	dzai6	
圭	kuei1	
地	di6	
圳	tɕyəŋ5	
址	tsɿ3	
坂	pan3	
均	tɕyəŋ1	
坊	ɣoŋ2	
坍	tʰan1	
坎	kʰan3	
坐	dzo6	
坑	kʰoŋ1	
坡	pʰo1	
坤	kʰuəŋ1	
坦	tʰan3	
坩	kan1	
坪	bian2	
坯	pʰei1	
坳	ŋau5	
坼	tsʰa2	
垂	dzei2	(又)
垂	zei2	(又)
垃	la1	
型	ʑiəŋ2	
垛	to3	(2)
垛	do6	堆放
垠	ȵiəŋ2	
垣	yẽ2	
垮	ɡua2	(又)
垮	kʰua3	(又)
垻	pa5	
埃	ŋai2	
埋	mai2	
城	dʑiəŋ2	
埔	pʰu3	
域	y6	
埠	bu6	
埡	ŋa1	山～子，山凹裏
埯	ĩ3	以土灰來等覆於物上
埯	ŋan3	播種時挖的小坑：窾子～；量詞，兜，一～花生
執	tɕi2	～固
培	bei2	
堂	doŋ2	
堅	tɕĩ1	
堆	tei1	
堖	nau3	
堡	pau3	
堤	di2	
堪	kʰan1	
堯	ȵiəu2	
堰	ĩ5	
報	pau5	
場	dʑioŋ2	
堵	tou3	
塌	tʰa2	
塍	ʑiəŋ2	田間的土梗：田～
塑	so2	
塒	tsɿ5	雞～：雞窩
塔	tʰa2	
塗	dou2	
塘	doŋ2	
塞	se2	(1)堵～
塞	sai5	(2)可做屏障的險要地方：邊～
填	dĩ2	
塵	dʑiəŋ2	
塹	dzan6	
塾	ɕiou2	
境	tɕiəŋ5	
墅	ɕy5	
墈	kan5	田塍～子
墊	dĩ6	
墓	mo6	
增	tsẽ1	
墨	me5	
墩	təŋ1	土堆，土～
墮	do6	
墳	βəŋ2	
墻	dʑioŋ2	
墾	kʰĩ3	
壁	pi2	(文)
壁	pia2	(白)
壅	iəŋ1	
壇	dan2	
壋	toŋ5	地方：你住嗒哪～嘰，你住在哪裏
壓	ŋa5	(白)(又)
壓	ia5	(文)
壓	ŋa6	(白)(又)
壕	ɣau2	
壘	lei3	
壚	lou2	
壞	βai6	
壟	ləŋ2	
壤	ȵioŋ6	(又)
壤	ioŋ6	(又)
壩	pa5	
壪	uan1	
士	zɿ6	
壯	tsoŋ5	
壺	βu2	
壽	ʑiou6	
复	ɸu2	
夏	ʑia6	
夔	ɡuei2	
夕	ɕi2	
外	uai6	
夙	sou2	
多	to1	
夜	ia6	(白)
夜	ie6	(文)
夠	kəu5	
夢	məŋ6	
夥	xo3	
大	dai6	
天	tʰĩ1	
太	tʰai5	
夫	ɸu1	
夬	kuai5	
夭	iəu1	
央	ioŋ1	
夯	xan1	
失	ɕi2	
失	tɕʰio5	(訓讀)丟失：錢～咯嗒
夷	i2	
夸	kʰua1	
夾	ka2	
夾	tɕia2	(文)
夿	ba2	量詞：一～屎
奇	dʑi2	
奈	nai6	
奉	βəŋ6	
奎	ɡuei2	
奏	tsəu5	
奐	ɸẽ5	
契	tɕʰi5	
奔	pẽ1	
奔	pʰəŋ1	(訓讀)跑步或爲某事奔忙
奕	i5	
套	tʰau5	
奘	tsoŋ5	
奚	ɕi1	
奠	dĩ6	
奧	ŋau5	
奩	lĩ2	
奪	to2	
奮	ɸəŋ5	
女	ȵy3	
奴	nou2	
奶	nai3	(1)～孃
奶	nai5	(2)只單講，專指乳汁
奸	kan1	
她	tʰa1	
好	xau3	(1)～壞
好	xau5	(2)喜～
如	y2	
妃	ɸei1	
妄	oŋ6	
妒	dou6	
妓	dʑi6	
妖	iəu1	
妙	miəu6	
妝	tsoŋ1	
妣	pʰi3	
妥	tʰo3	
妨	ɣoŋ2	
妯	dʑiou6	
妹	mei1	(變調)妹～
妹	mei6	(又)
妻	tɕʰi1	
妾	tɕʰie2	
姆	m̩3	～媽：媽媽
姆	ŋ̍3	～媽：媽媽
姊	tsɿ3	
始	sɿ3	
姍	san1	
姐	tɕia3	(白)
姐	tɕie3	(文)
姑	ku1	
姓	ɕiəŋ5	
委	uei3	
姘	pʰiəŋ1	
姚	iəu2	
姜	tɕioŋ1	
姣	tɕiəu1	
姥	lau3	
姦	kan1	
姨	i2	
姻	iəŋ1	
姿	tsɿ1	
威	uei1	
娃	ua1	(變調)
娃	ua2	(又)
娌	li3	
娓	uei3	
娘	ȵioŋ2	
娛	u2	(白)
娛	y2	(文)
娟	tɕyẽ1	
娠	ʑiəŋ2	
娩	uan3	
娭	ŋai1	
娶	tɕʰy3	(文)
娶	dʑi6	(白)
娼	tɕʰioŋ1	
婁	ləu2	
婆	bo2	
婊	piəu3	
婚	ɸəŋ1	(文)
婚	kʰuəŋ1	(白)
婢	bi2	
婦	βu6	
婪	lan2	
婷	diəŋ2	
婿	ɕi2	
媒	mei2	
媚	mei6	
媛	ŋai5	
媳	ɕi2	
媽	ma1	(文)
媽	ma3	(白)姆～
媾	kəu5	
嫁	ka5	(白)
嫁	tɕia5	(文)
嫂	sau3	
嫌	ʑĩ2	
嫖	biəu2	
嫗	y6	
嫡	ti2	
嫣	ĩ1	
嫦	ʑioŋ2	
嫨	xan1	做事不急，拖時間，他做事蠻～
嫩	nəŋ6	
嫵	u3	
嫻	ɣan2	
嬈	ȵiəu1	愛扮俏
嬉	ɕi3	
嬋	dzan2	
嬌	tɕiəu1	
嬗	ʑyẽ6	
嬙	dʑioŋ2	
嬰	iəŋ1	
嬲	ȵiəu3	
嬸	ɕiəŋ3	
孀	soŋ1	
子	tsɿ3	
子	ləŋ5	
孔	kʰəŋ3	
孕	yəŋ6	
字	dzɿ6	
存	dzəŋ2	
孚	ɸu1	
孜	tsɿ1	
孝	ɕiəu5	
孟	mẽ6	
孢	pau1	
季	tɕi5	
孤	ku1	
孥	nou2	
孩	ɣai2	
孫	səŋ1	
孰	ɕiou2	
孱	tsʰan5	
孳	tsɿ1	
孵	ɸu1	
學	ɕio2	
孽	bu2	
孽	ȵie5	
它	tʰa1	
宅	tsʰe2	
宇	y3	
守	ɕiou3	
安	ŋan1	
宋	səŋ5	
完	yẽ2	(白)
完	βan2	(文)(又)
完	uan2	(文)(又)
宏	ɣəŋ2	
宗	tsəŋ1	
官	kuẽ1	
宙	dʑiou6	
定	diəŋ6	
宛	uan3	
宜	ȵi2	
客	kʰa2	(白)
客	kʰe2	
宣	ɕyẽ1	
室	ɕi2	
宥	iou5	
宦	βẽ6	
宮	kəŋ1	
宰	tsai3	
害	ɣai6	
宴	ĩ5	
宵	ɕiəu1	
家	ka1	(白)
家	tɕia1	(文)
容	iəŋ2	
宿	sou2	
宿	ɕiou2	
寄	tɕi5	
寅	iəŋ2	
密	mi5	
寇	kʰəu5	
富	ɸu5	
寐	mei6	
寒	ɣan2	
寓	y6	
寡	kua3	
寢	tɕʰiəŋ3	
寤	u6	
實	ɕi5	
寧	ȵiəŋ2	
寨	dzai6	
審	ɕiəŋ3	
寫	ɕia3	(白)
寫	ɕie3	(文)
寬	kʰuẽ1	
寰	βan2	
寵	tsʰəŋ3	
寶	pau3	
寸	tsʰəŋ5	
寺	zɿ6	
封	ɸəŋ1	
射	ɕia5	(白)
射	ʑie6	(文)
將	tɕioŋ1	(1)～就；～軍
將	pʰa2	
將	tɕioŋ5	(2)～領
專	tɕyẽ1	
尉	uei5	
尋	dʑiəŋ2	
對	tei5	
導	dau6	
小	ɕiəu3	
小	ləŋ5	
少	ɕiəu3	(1)多～
少	ɕiəu5	(2)～年
尖	tɕĩ1	
尚	ʑioŋ2	(又)
尚	ʑioŋ6	(又)
尤	iou2	
就	dʑiou6	
尷	kan1	
尸	sɿ1	
尹	iəŋ3	
尺	tɕʰia2	
尼	ȵi2	
尾	uei3	(文)
尿	ȵiəu6	
屁	pʰi5	
屄	pi1	(又)女陰
屄	pie2	(又)女陰
居	tɕy1	
屈	tɕʰy2	
屋	u5	
屋	ləŋ5	
屌	tiəu3	男性生殖器
屎	sɿ3	
屏	biəŋ2	
展	tɕĩ3	(白)
展	tɕyẽ3	(文)
屜	tʰi5	
屠	dou2	
層	dzẽ2	
履	li3	
屬	ɕiou5	
屯	dəŋ2	
山	san1	
屹	i5	
岔	tsʰa5	
岡	koŋ1	
岩	ŋa2	
岬	tɕia2	
岱	dai6	
岳	io5	
岸	ŋan6	
峋	kəu3	
峪	y6	
峭	tɕʰiəu5	
峰	ɸəŋ1	
島	tau3	
峻	tsəŋ5	
峽	ɕia2	
崇	dzəŋ2	
崔	tsʰei1	
崖	ŋa2	
崗	koŋ1	
崛	tɕye2	
崢	tsẽ1	
崩	pẽ1	
崮	ku5	
崴	uai3	～嗒腳：扭了腳
崽	tsai3	
嵌	kʰan1	
嵐	lan2	
嵩	səŋ1	
嶂	tɕioŋ5	
嶄	tsan3	
