#漢字	音標	解釋
□	tʃʰua/tɕʰya5	恶
圈	tɕʰiᴇ̃1	圆~
圈	tɕiᴇ̃5	牛~
土	tʰʉ3	
聖	sɘ̃ɲ5	
在	tsa5	
地	ti5	
場	tsʰᴀᵑ2	
址	tsɿᶟ3	
均	tsɪ̃ɲ1	
坎	kʰᴀᵑ3	
壞	xua5	
坐	tso5	
坑	kʰɘ̃ɲ1	
塊	kʰua3	
堅	tɕiᴇ̃1	
壩	pɒ5	
墳	fɘ̃ɲ2	
墜	tʃuɘi/tɕyɘi5	
坡	pʰo1	
坤	kʰoŋ1	
坦	tʰᴀᵑ3	
坨	tʰo2	
坪	pʰɪ̃ɲ2	
坯	pʰi1	打~子
垂	tʃʰuɘi/tɕʰyɘi2	
壟	loŋ3	
型	sɪ̃ɲ2	
垒	luɘi3	
墾	kʰɘ̃ɲ3	
墊	tiᴇ̃5	
垮	kʰuɒ3	
埂	kɘ̃ɲ3	
埄	pʰoŋ1	
埋	ma2	
城	tsʰɘ̃ɲ2	
域	zʉ2	
培	pʰɘi2	
基	tɕi1	
堂	tʰᴀᵑ2	
堆	tuɘi1	
堡	pɑ3	
堤	tʰi2	
堪	kʰᴀᵑ1	
堰	ʑiᴇ̃5	
堵	tʉ3	
塃	xuᴀᵑ1	
塌	tʰɒ2	
塑	sʉ5	
塔	tʰɒ2	
塘	tʰᴀᵑ2	
塞	sɘi2	
塡	tʰiᴇ̃2	
境	tsɪ̃ɲ3	
墓	mo5	
牆	tɕʰiᴀᵑ2	
增	tsɘ̃ɲ1	
墨	mɘi2	
墩	toŋ1	
壕	xɑ2	
壤	zᴀᵑ3	
士	sɿᶟ5	
壬	zɘ̃ɲ2	
壯	tʃuᴀᵑ/tɕyᴀᵑ5	
聲	sɘ̃ɲ1	
殼	kʰo2	
壺	xʉ2	
處	tsʰʉ5	所
處	tsʰʉ3	相~
備	pi5	
复	fʉ2	
夏	ɕiɒ5	
夕	ɕi2	
外	ua5	
多	to1	
夜	ʑi5	
够	kɜɤ5	
大	tɒ5	
天	tʰiᴇ̃1	
太	tʰa5	
夫	fʉ1	
夭	ʑiɑ1	
央	ʑiᴀᵑ1	
夯	xᴀᵑ1	
失	sɿᶟ2	
頭	tʰɜɤ2	
夷	ʑi2	
夸	kʰuɒ1	
夾	tɕiɒ2	
奪	to2	
奐	xuɘ̃ɲ5	
奈	na5	
奉	foŋ5	
奮	fɘ̃ɲ5	
奎	kʰuɘi2	
奏	tsɜɤ5	
契	tɕʰi5	
奓	tsɒ1	~开嘴
奔	pɘ̃ɲ1	
獎	tɕiᴀᵑ3	
套	tʰɑ5	
奢	sɘi1	
奧	ɣɑ5	
女	ni3	
奴	nʉ2	
奶	na3	
奶	na1	阿~
奸	tɕiᴇ̃1	
好	xɑ3	~坏
好	xɑ5	爱~
如	zʉ2	
妃	fɘi1	
妄	vᴀᵑ5	
妝	tʃuᴀᵑ/tɕyᴀᵑ1	
婦	fʉ5	
媽	mɒ1	
妒	tʉ5	
妓	tɕi5	
妖	ʑiɑ1	
妙	miɑ5	
妞	niɜɤ1	
妥	tʰo3	
妨	fᴀᵑ2	
妹	mɘi5	
妻	tɕʰi1	
妾	tɕʰi2	
姊	tsɿᶟ3	
始	sɿᶟ3	
姐	tɕi3	
姑	kʉ1	
委	uɘi3	
姘	pʰɪ̃ɲ1	
姚	ʑiɑ2	
姜	tɕiᴀᵑ1	
姨	ʑi2	
姪	tsɿᶟ2	
姻	zɪ̃ɲ1	
姿	tsɿᶟ1	
威	uɘi1	
娃	uɒ2	
嬌	tɕiɑ1	
娘	niᴀᵑ2	
娛	ʑi2	
娶	tɕʰi3	
婆	pʰo2	
婊	piɑ3	
婚	xoŋ1	
婢	pɘi5	
嬰	zɪ̃ɲ1	
嬸	sɘ̃ɲ3	
婷	tʰɪ̃ɲ2	
媒	mɘi2	
媚	mɘi5	
媳	ɕi2	
嫁	tɕiɒ5	
嫂	sɑ3	
嫌	ɕiᴇ̃2	
嫑	piɑ5	
嫖	pʰiɑ2	
嫩	noŋ5	
孃	niᴀᵑ1	
子	tsɿᶟ3	
孔	kʰoŋ3	
孕	zɪ̃ɲ5	
字	tsɿᶟ5	
存	tsʰoŋ2	
孫	soŋ1	
孝	ɕiɑ5	
孟	moŋ5	
季	tɕi5	
孤	kʉ1	
學	ɕio2	
孩	xa2	
孵	fʉ2	
孽	ni2	
寧	nɪ̃ɲ2	
寧	lɪ̃ɲ2	
宅	tsɘi2	
宇	ʑi3	
守	sɜɤ3	
安	ɣᴀᵑ1	
完	uɘ̃ɲ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuɘ̃ɲ1	
宙	tsɜɤ5	
定	tɪ̃ɲ5	
宜	ni2	
寶	pɑ3	
實	sɿᶟ2	
寵	tsʰoŋ3	
審	sɘ̃ɲ3	
客	kʰɘi2	
宣	ɕiᴇ̃1	
室	sɿᶟ2	
宦	xuɘ̃ɲ5	
宪	ɕiᴇ̃5	
宮	koŋ1	
宰	tsa3	
害	xa5	
宴	ʑiᴇ̃5	
宵	ɕiɑ1	
家	tɕiɒ1	
家	tɕi1	白
容	ʑioŋ2	
寬	kʰuɘ̃ɲ1	
賓	pɪ̃ɲ1	
宿	sʉ2	
宿	sʉ2	~舍
宿	ɕiɜɤ5	星~
寄	tɕi5	
寅	zɪ̃ɲ2	
密	mi2	
富	fʉ5	
寒	xᴀᵑ2	
寓	ʑi5	
寢	sɪ̃ɲ3	
察	tsʰɒ2	
寡	kuɒ3	
寨	tsa5	~子
寸	tsʰoŋ5	
對	tuɘi5	
寺	sɿᶟ5	
尋	sɪ̃ɲ2	
導	tɑ5	
壽	sɜɤ5	
封	foŋ1	
射	sɘi5	
將	tɕiᴀᵑ1	~要
將	tɕiᴀᵑ5	大~
尊	tsoŋ1	
小	ɕi3	~儿;~老二
小	ɕiɑ3	大~
少	sɑ5	~年
少	sɑ3	多~
尔	ɣɚ3	
尖	tɕiᴇ̃1	
尘	tsʰɘ̃ɲ2	
尙	sᴀᵑ5	
嘗	tsʰᴀᵑ2	
尤	ʑiɜɤ2	
堯	ʑiɑ2	
尬	kɒ5	
就	tɕiɜɤ5	
屍	sɿᶟ1	
尹	zɪ̃ɲ3	
尼	ni2	
尽	tsɪ̃ɲ5	
尾	vɘi3	
尿	ʃuɘi/ɕyɘi1	
尿	niɑ5	文
局	tsʉ2	
屁	pʰi5	
層	tsʰɘ̃ɲ2	
屄	pi1	
居	tɕi1	
屉	tʰi1	抽~
屆	ka5	
屋	vʉ2	
屌	tiɑ3	蛋
屎	sɿᶟ3	
屛	pʰɪ̃ɲ2	
展	tsᴀᵑ3	
屙	ɣo1	
屬	tsʉ2	
屬	sʉ2	
屠	tʰʉ2	
屢	luɘi3	
屨	li3	
屯	tʰoŋ2	
山	sᴀᵑ1	
山	sɒ1	~药
歲	ʃuɘi/ɕyɘi5	
豈	tɕʰi3	
岑	tsʰɘ̃ɲ3	羞
岔	tsʰɒ5	
岔	tsʰɒ3	~巴:爱岔嘴的人
崗	kᴀᵑ1	
島	tɑ3	
岩	ɣa2	
岭	lɪ̃ɲ3	
岳	ʑio2	
岸	ɣᴀᵑ5	
峯	foŋ1	
崇	tsʰoŋ2	
崔	tʃʰuɘi/tɕʰyɘi1	
崖	ɣa2	
崩	pɘ̃ɲ1	
崴	ua3	
嵌	tɕʰiᴇ̃5	
嵩	soŋ1	
巍	uɘi1	
川	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ1	
州	tsɜɤ1	
巡	sɪ̃ɲ2	
巢	tsʰɑ2	
工	koŋ1	
左	tso3	
巧	tɕʰiɑ3	
巨	tɕi5	
鞏	koŋ3	
巫	vʉ1	
差	tsʰɒ1	~别
差	tsʰa1	出~
己	tɕi3	
已	ʑi3	
已	sɿᶟ5	
巴	pɒ1	
巷	xᴀᵑ5	
巾	tsɪ̃ɲ1	
幣	pi5	
市	sɿᶟ5	
布	pʉ5	
帥	ʃua/ɕya5	
帆	fᴀᵑ2	
師	sɿᶟ1	
希	ɕi1	
帳	tsᴀᵑ5	
帕	pʰɒ5	
帖	tʰi2	
帘	liᴇ̃2	
帚	tsʉ3	
帛	pɘi2	
帝	ti5	
帶	ta5	
席	ɕi2	
幫	pᴀᵑ1	
常	tsʰᴀᵑ2	
帽	mɑ5	
幅	fʉ2	
幕	mo5	
干	kᴀᵑ5	
干	kᴀᵑ1	~燥
平	pʰɪ̃ɲ2	
年	niᴇ̃2	
幷	pɪ̃ɲ5	
幸	sɪ̃ɲ5	
幺	ʑiɑ1	~二三
幻	xuɘ̃ɲ5	
幼	ʑiɜɤ5	
幽	ʑiɜɤ1	
廣	kuᴀᵑ3	
莊	tʃuᴀᵑ/tɕyᴀᵑ1	
慶	tsʰɪ̃ɲ5	
牀	tʃʰuᴀᵑ/tɕʰyᴀᵑ2	
序	ɕi5	
廬	lʉ2	
庫	kʰʉ5	
應	zɪ̃ɲ5	
底	ti3	
店	tiᴇ̃5	
廟	miɑ5	
庚	kɘ̃ɲ1	
府	fʉ3	
龐	pʰᴀᵑ2	
廢	fɘi5	
度	tʉ5	
座	tso5	
庭	tʰɪ̃ɲ2	
庵	ɣᴀᵑ1	
庶	sʉ5	
康	kʰᴀᵑ1	
庸	ʑioŋ1	
廊	lᴀᵑ2	
廓	ko2	
廖	liɑ5	
延	ʑiᴇ̃2	
廷	tʰɪ̃ɲ2	
建	tɕiᴇ̃5	
開	kʰa1	
异	ʑi5	
弃	tɕʰi5	
弄	loŋ5	
弊	pi5	
弓	koŋ1	
引	zɪ̃ɲ3	
弟	ti5	
張	tsᴀᵑ1	
弥	mi2	
弦	ɕiᴇ̃2	
弩	nʉ3	
彎	uɘ̃ɲ1	
弱	zo2	
彈	tʰᴀᵑ2	~琴
彈	tᴀᵑ5	子~
强	tɕʰiᴀᵑ2	
彀	kɜɤ5	往上~
歸	kuɘi1	
當	tᴀᵑ1	~面
當	tᴀᵑ5	~作
录	lʉ2	
形	sɪ̃ɲ2	
彤	tʰoŋ2	
彪	piɑ1	
彬	pɪ̃ɲ1	
影	zɪ̃ɲ3	
彼	pi3	
往	uᴀᵑ3	
征	tsɘ̃ɲ1	
待	ta5	
很	xɘ̃ɲ3	
律	li2	
徐	ɕi2	
徒	tʰʉ2	
得	tɘi2	
御	ʑi5	
循	sɪ̃ɲ2	
微	vɘi2	
微	mi1	白
德	tɘi2	
徽	xuɘi1	
心	sɪ̃ɲ1	
必	pi2	
忌	tɕi5	
忍	zɘ̃ɲ3	
志	tsɿᶟ5	
忘	vᴀᵑ2	
忙	mᴀᵑ2	
忠	tsoŋ1	
快	kʰua5	
念	niᴇ̃5	
忽	xʉ2	
懷	xua2	
態	tʰa5	
慫	soŋ3	
慪	ɣɜɤ5	
怎	tsɘ̃ɲ3	
怒	nʉ5	
怕	pʰɒ5	
怖	pʉ5	
憐	liᴇ̃2	
思	sɿᶟ1	
急	tɕi2	
性	sɘ̃ɲ1	
怨	ʑiᴇ̃5	
怪	kua5	
總	tsoŋ3	
恁	ni5	
戀	liᴇ̃5	
恐	kʰoŋ3	
恆	xɘ̃ɲ2	
恕	sʉ5	
恢	xuɘi1	
恤	ɕi2	
恨	xɘ̃ɲ5	
恩	ɣɘ̃ɲ1	
恭	koŋ1	
息	ɕi2	
恰	tɕʰiɒ2	
懇	kʰɘ̃ɲ3	
恶	ɣo2	凶~
恶	vʉ5	可~
惱	nɑ3	
恿	ʑioŋ3	
悉	ɕi2	
悔	xuɘi3	
悟	vʉ2	
悟	vʉ5	
悠	ʑiɜɤ1	
患	xuɘ̃ɲ5	
悅	ʑi2	
懸	ɕiᴇ̃2	
憫	mɪ̃ɲ3	
悲	pɘi1	
驚	tsɪ̃ɲ1	
惑	xuɘi2	
惜	ɕi2	
惟	vɘi2	
惠	xuɘi5	
慘	tsʰᴀᵑ3	
懲	tsʰɘ̃ɲ3	
慣	kuɘ̃ɲ5	
惰	to5	
想	ɕiᴀᵑ3	
惶	xuᴀᵑ2	
惹	zɘi3	
愁	tsʰɜɤ2	
愉	ʑi2	
感	kᴀᵑ3	
愣	lɘ̃ɲ5	
憤	fɘ̃ɲ5	
