#漢字	音標	解釋
□	ha1b	虾腰
代	toi6	代表
令	leŋ4	令人
以	i4	可以
仰	iøŋ4	仰视
仲	tʃoŋ6	杜仲
件	kin6	一件
任	iɐm6	姓
任	iɐm6	责任
份	fɐn6	一份
仿	foŋ3	相仿，仿照
企	kʰi4	企业
伊	i1b	伊犁
伍	m̩4	队伍
伏	fok8	三伏
伐	fat8	讨伐
休	iɐu1b	休息
伙	fɔ3	伙食
伯	pɛk7b	伯父
估	ku3	估计
伴	pon4	伙伴
伶	leŋ2	伶俐;伶仃
伸	ʃɐn1b	伸手
伺	tʃʰi5	伺机应变
似	tʃʰi4	相似
但	tan6	但是
佈	pɐu5	布置;公布
位	uɐi6	地位
低	tɐi1b	高低
住	tʃy6	住宿
佐	tʃɔ3	辅佐
佑	iɐu6	保佑
佔	tʃin5	占有，占地方
何	hɔ2	姓何
佘	ʃɛ2	佘太君
余	y2	姓
佛	fɐt8	佛像
作	tʃœk7b	工作
你	lɐi4	你们
佢	kʰɔy4	他;她;它
佩	pʰui5	佩服
佬	lou3	佬(肥~)
佳	kai1b	佳节
併	pʰeŋ5	合并
使	ʃi3	大使馆
使	ʃai3	使用
侄	tʃɐt8	侄子
來	loi6	过来
侈	tʃʰi3	奢侈
例	lɐi6	例子
侍	ʃi6	服侍
侖	lɐn2	昆仑
供	koŋ1b	供给，供不起
供	koŋ1b	上供
依	i1b	依靠
侮	u1b	侮辱
侯	hɐu2	诸侯
侵	tʃʰɐm1b	侵略
便	pin6	便宜
便	pin6	方便
係	hɐi6	是
促	tʃʰok7a	促进
俄	ŋɔ4	俄国
俊	tʃɐn5	英俊
俏	tʃʰiu5	娇俏
俗	tʃok8	风俗
俘	fu1b	俘虏
保	pou3	保护
俠	hap8	侠义，大侠
信	ʃɐn5	相信
修	ʃɐu1b	修理
俯	fu6	俯视
俱	kɔy6	俱乐部
俸	pʰoŋ3	俸禄
俾	pɐi6	俾使
倉	tʃʰœŋ1b	仓库
個	kɔ5	一个
倍	pʰui4	倍数
倒	tou3	打倒
倒	tou3	倒水
倔	kuɐt8	倔强
倘	tʰœŋ3	倘若
候	hɐu6	等候
倚	i1b	倚靠
借	tʃɛ5	借钱
倡	tʃʰiøŋ1b	提倡
倣	foŋ3	仿效
倦	kyn6	疲倦
倫	lɐn2	伦理
值	tʃek8	价值
假	ka3	真假
假	ka3	放假
偉	uɐi3	伟大
偏	pʰin1b	偏僻
做	tʃɐu5	做饭
停	tʰeŋ2	停下
健	kin2	健康
側	tʃɐk7a	侧面
偵	tʃeŋ1b	侦察
偶	ŋɐu4	偶然
偶	ŋɐu4	配偶
偷	tʰɐu1b	偷东西
傅	fu6	姓
傍	pʰœŋ2	傍晚
傍	pœŋ6	依傍
傑	kit8	杰出
傘	ʃan5	雨伞
備	pɐi6	准备
傢	ka1b	家具
催	tʃʰoi1b	催眠
傲	ŋou6	骄傲
傳	tʃʰyn2	传达
傳	tʃyn3	自传
債	tʃai6	还债
傷	ʃiøŋ1b	伤害
傻	ʃɔ2	傻瓜
傾	kʰeŋ1b	倾向
僅	kɐn3	不仅
像	tʃiøŋ6	像章，相像
僑	kʰiu2	华侨
僕	pok7a	仆人，奴仆
僞	ŋɐi6	虚伪
僥	hiu1b	侥幸
僧	tʃɐŋ1a	唐僧
僵	kiøŋ1b	僵硬
價	ka5	价钱
僻	pʰek7a	偏僻
儀	i6	礼仪
億	iek7a	亿万
儉	kin3	节俭
儒	y2	儒家
儘	tʃɐn6	尽早
償	ʃiøŋ2	赔偿
優	iɐu1b	优秀
儲	tʃʰy5	储蓄
允	uɐn3	允许
元	yn2	元旦
兄	heŋ1b	兄弟
充	tʃʰoŋ1b	充分
兆	tʃiu6	人名用字;预兆
兇	hoŋ1b	凶恶，很凶
先	ʃin1b	先进
光	kuoŋ1b	阳光
克	hɐk7a	克服
免	min4	免除
兑	tʰoi5	兑换
兒	i2	儿童
兔	tʰɐu5	兔子
兜	tɐu1b	兜风
入	iɐp8	进入
全	tʃʰyn2	全部
兩	liøŋ4	两个
兩	liøŋ3	斤两
八	pet7b	第八
公	koŋ1b	公文
六	lok8	第六
共	koŋ6	共同
兵	peŋ1b	当兵
其	kʰi2	其他
具	kɔy6	具体;家具
典	tin3	词典
兹	tʃi1b	公文用语
兼	kin1b	兼职
内	loi6	内外
冇	mou4	冇[没有](~钱、~人)
册	tʃʰɛk7b	书册
再	tʃoi5	再来
冒	mou6	冒充
冚	kʰɐm3	冚[盖]
冠	kun5	冠军
冠	kun5	衣冠
冤	yn1b	冤枉
冥	meŋ2	冥王，冥钞
冬	toŋ1b	冬至
冰	peŋ1a	结冰
決	kʰyt7b	决定
况	kʰœŋ5	情况
冷	lɛŋ4	天冷
淨	tʃiə̯ŋ6	净重;干净
準	tʃɐn3	准确;准许
涼	liøŋ2	凉快
凌	leŋ2	冰凌;凌厉
凍	toŋ5	冻死
減	kam3	加减
湊	tʃʰɐu5	凑数
凝	i2	凝固
几	ki1a	茶几
凡	fan2	凡是
凰	uoŋ2	凤凰
凱	hoi3	凯旋
凳	tɐŋ5	凳子
凶	hoŋ1b	吉凶
凸	tɐt8	凸起
出	tʃʰɐt7a	出去
函	ham2	信函
刀	tou1b	菜刀
刁	tiu1b	嘴刁
刃	iɐn5	刀刃
分	fɐn1b	分开
切	tʃʰit7b	切开
刊	hon4	报刊
刎	mɐn4	自刎
刑	ieŋ2	刑法
列	lit7b	排列
初	tʃʰɔ1b	初中
删	ʃan1b	删除
判	pʰon5	审判
刨	pʰɛu2	刨地，刨木
利	lɐi6	有利
别	pit8	分别
别	pit8	区别
刮	kuet7b	搜刮
到	tou5	来到
制	tʃɐi5	制度
刷	tʃʰat8	牙刷
券	kyn3	国库券，证券
刺	tʃʰi5	鱼刺
刻	hɐk7a	刀刻，雕刻
刻	hɐk7a	时刻
刴	tøt7b	剁猪肉
剃	tʰɐi5	剃头
則	tʃɐk7a	否则
削	ʃiøk7b	剥削
前	tʃʰin2	从前
剔	tʰek7a	挑剔
剖	fau3	解剖
剛	kœŋ1b	刚好
剝	mœk7a	剥削
剩	ʃeŋ6	剩余
剪	tʃin3	铰剪
剮	ua3	千刀万剐
副	fu6	正副(副省长)
割	kot7b	收割
創	tʃʰœŋ3	创造
剿	tʃiu3	围剿
劃	uɛk8	划船
劃	uɛk8	计划
劄	tʃat7b	针扎
劇	kʰiə̯k8	剧烈
劇	kʰiə̯k8	戏剧
劈	pʰiə̯k7b	雷劈，刀劈
劉	lɐu2	姓
劊	kʰoi5	刽子手
劍	kin5	宝剑
劏	tʰœŋ1b	劏[宰杀]
劑	tʃɐi1b	药剂
力	lek8	力量
功	koŋ1b	功课
加	ka1b	加工
劣	lyt8	恶劣
助	tʃɔ6	帮助
努	lou4	努力
劫	kit7b	抢劫
勁	keŋ5	劲敌
勁	keŋ6	有劲
勃	pot7b	勃然大怒
勇	ioŋ3	勇敢
勉	min4	勉强
勒	lɐk7a	勒索
動	toŋ6	动作
勘	kʰam5	勘探
務	mou4	任务
勝	ʃeŋ5	胜败，战胜
勝	ʃeŋ5	胜任
勞	lou2	劳动
募	mou6	募捐
勢	ʃɐi5	势力
勤	kʰɐn2	辛勤
勳	fɐn1b	勋章
勵	lɐi6	鼓励
勸	hyn5	规劝
勺	tʃiøk8	饭勺，勺子
勾	ŋɐu1a	勾当
勾	ŋɐu1b	勾引
勿	mɐt8	非礼勿视
匀	uɐn2	均匀
包	pau1a	钱包
匆	tʃʰoŋ1b	匆忙
化	fa5	变化
北	pɐk7a	北方
匙	ʃi2	钥匙;匙羹
匠	tʃiøŋ6	木匠
匡	hœŋ1b	赵匡胤
匣	hɐp7b	匣子
匪	fɐi4	土匪
匯	ui6	汇报
匯	ui4	汇报
匹	pʰɐt7a	匹配;一匹布
匾	pen3	牌匾
匿	lek7a	匿名
區	kʰɔy1b	地区
十	ʃɐp8	第十
千	tʃʰin1b	千万
升	ʃeŋ1b	升级
午	m̩4	中午
半	pun5	半天
卑	pɐi1b	卑鄙
卒	tʃɐt7a	兵卒
卓	tʃʰiøk7b	卓越
協	hit7b	协作
南	lam2	南方
博	pœk7b	博士
卜	pok7a	占卜
占	tʃin5	占卜
卦	kua5	卜卦;八卦
卯	mɛu4	子丑寅卯
印	iɐn5	手印
危	ŋɐi2	危险
即	tʃek7a	立即
卻	kʰiøk7b	退却
卵	lyn3	鸡卵(鸡蛋)
卷	kyn3	试卷(名)
卸	ʃɛ5	卸货
卿	heŋ1a	人名用字;爱卿
厘	lɐi2	厘米
厚	hɐu4	忠厚
原	yn2	原来
廁	tʃʰi5	厕所
廂	ʃiøŋ1a	车厢
厦	ha6	高楼大厦，商厦
廚	tʃʰy2	厨房
厭	in5	讨厌
厰	tʃʰœŋ3	厂长
厲	lɐi6	厉害
去	hɔy5	来去
參	tʃʰam1b	参加
參	ʃɐm1a	人参
又	iɐu6	又一次
叉	tʃʰa1a	叉腰
及	kap8	及时
友	iɐu4	朋友
反	fan3	反对
叔	ʃok7a	叔叔
取	tʃʰoi3	取得
受	ʃɐu6	接受
敍	tʃoi6	叙述
叛	pʰon5	叛徒
叟	ʃɐu5	童叟无欺
叢	tʃʰoŋ2	树丛
口	hɐu3	门口
古	ku3	古代
句	kɔy5	句子
另	leŋ6	另外
叩	kʰɐu5	叩头
只	tʃi3	只有
叫	kiu5	大叫
召	tʃiu6	号召
叮	teŋ1b	蚊子咬
可	hɔ3	可以
史	ʃi3	历史
右	iɐu6	左右
司	ʃi1a	公司
各	kœk7b	各位
合	hap8	合作
合	hap8	十合一升
吉	kɐt7a	吉利
吊	tɛu5	上吊
同	tʰoŋ2	同学
名	meŋ2	名字
名	miə̯ŋ3	名字
后	hɐu6	皇后
吏	lɐi6	官吏
吐	tʰɐu5	呕吐
吐	tʰɐu5	吐痰
向	hiøŋ5	向前
呂	lɔy4	姓
君	kuɐn1b	君子
吞	tʰɐn1b	吞口水
吟	iɐm2	吟诗
吠	pui6	狗叫、狗吠
否	fau3	否定
吩	fɐn1b	吩咐
含	hɐm2	包含
吳	m̩2	姓
吵	tʃʰɛu3	吵架
吸	kʰɐp7a	呼吸
吹	tʃʰoi1b	吹牛
吻	mɐn4	接吻
吼	hɐu2	吼
呃	ŋɐk7a	呃[骗]
呈	tʃʰeŋ2	呈现
告	kou5	报告
周	tʃɐu1b	姓;周围
味	mɐi6	味道
呼	fu1b	呼吸
命	meŋ6	命令;一条命
和	uɔ2	和气
和	uɔ2	和诗，唱和
詠	ueŋ4	歌咏
咐	fu6	吩咐
咒	tʃau5	咒人
咨	tʃi1b	咨询
咪	mɐi1a	咪[麦克风]
咬	ŋɛu4	咬人
咳	kʰɐt7a	咳嗽
咸	ham2	咸丰
哀	oi1b	悲哀
品	pʰɐn3	品德
哄	hoŋ2	哄骗
員	yn2	人员
哥	kɔ1a	哥哥
哨	ʃau5	口哨
哪	la4	哪里;哪吒
哭	hok7a	痛哭
哮	hau1b	哮喘
哲	tʃit7b	哲学
哽	kɐŋ3	骨哽在喉
唆	ʃɔ1b	唆使
唐	tʰœŋ2	唐朝
喚	un6	呼唤
售	tʃʰɐu2	出售
唯	uɐi2	唯有
唱	tʃʰiøŋ5	唱歌
啃	kʰɐŋ3	啃树皮
啄	tyt7b	啄木鸟
商	ʃiøŋ1b	商业
問	mɐn6	问问题
啓	kʰai3	启发
啖	tam6	啖[量](头~汤、敨~气)
啜	tʃyt7b	啜奶
啞	a3	哑巴
啱	ŋam1a	啱[合适]
啼	tʰɐi2	鸡啼
善	ʃin6	善良
喉	hɐu2	喉咙
喊	ham5	叫喊
喐	iok7a	喐[动]
喘	tʃʰyn3	哮喘
喜	hi3	喜欢
喝	hot8	喝彩
喝	hot7b	喝酒
喧	ʃyn1b	喧闹
喧	hyn1b	喧闹
喪	ʃœŋ5	婚丧，丧事
喪	ʃœŋ5	丧失
喫	ʃek8	吃东西;吃亏
喬	kʰiu2	姓
單	tan1b	单独
單	ʃin2	姓
喻	y6	比喻
嗅	tʃʰɐu5	嗅觉
嗇	ʃek7a	吝啬
嗓	ʃœŋ3	嗓子
嗜	tʃʰi5	嗜好
嗣	ioi4	后嗣
嗰	kɔ3	嗰[那，代词]
嗽	ʃɐu5	咳嗽
嘆	tʰan5	叹气
嘉	ka1b	嘉宾
嘔	ɐu3	呕吐
嘗	ʃiøŋ2	品尝
嘘	hɔy1b	吹嘘
嘢	iɛ4	嘢[东西]
嘴	tʃoi3	嘴巴
噉	kɐm3	[这样]
噎	kʰɐŋ3	噎住
器	hi5	武器
噴	pʰɐn5	喷水
噴	pʰɐn5	喷香;喷嚏
嚇	hɛk7b	恐吓
嚇	hɛk7b	吓一跳
嚦	lɛk7a	叻仔
嚨	loŋ2	喉咙
嚴	in2	严格
嚼	tʃiøk7b	嚼碎，咀嚼
囂	hiu1b	嚣张
囉	lɔ3	啰嗦
囊	lœŋ2	行囊
囑	tʃok7a	遗嘱
囚	tʃʰɐu2	囚犯
四	ʃɐi5	四个
回	ui2	回去
因	iɐn1b	原因
困	kʰuɐn5	困难
囱	tʰoŋ1a	烟囱
固	ku5	固定
圂	uɐn5	圂(关禁:~住)
圈	hyn1a	圆圈
圈	hyn1a	猪圈
國	kok7b	中国
圍	uɐi2	包围
園	yn3	花园
圓	yn2	圆圈
圖	tʰou2	地图
團	tʰyn2	团结
土	tʰɐu3	土地
在	tʃoi6	现在
圭	kuɐi1a	人名用字
地	tɐi6	土地
圳	tʃɐn5	深圳;田中小沟
址	tʃi3	地址
均	kʰuɐn1b	平均
坊	foŋ3	作坊
坍	tʰan1b	坍塌
坎	hɐm1b	坎坷;坎头
坐	tʃʰɔ4	请坐
坑	hɛŋ1b	坑害
坡	pɐi1b	山坡
坤	kʰuɐn1b	乾坤
坦	tʰan3	坦白
坪	pʰiə̯ŋ2	草坪
坳	ɛu5	山坳
垂	ʃoi2	下垂
型	ieŋ2	型号
垮	kʰua1b	垮台
埂	kɛŋ5	田埂
埃	ai1b	尘埃
埋	mai2	埋葬
城	ʃeŋ2	县城
埕	tʃʰeŋ2	
域	uek8	地域
埠	fɐu6	埠头
執	tʃɐp7a	执行
培	pʰui2	培训
基	ki1b	基本
堂	tʰœŋ2	堂兄
堅	kin1b	坚强
堆	tui1b	堆放
堡	pou3	碉堡
堤	tʰɐi2	河堤
堪	hɐm1b	难堪
堯	iu2	尧舜禹
報	pou5	报告;日报
場	tʃʰiøŋ2	场地
堵	tɐu3	堵车
塊	kʰuai5	块状
塌	tʰap7b	倒塌
塑	ʃœk7b	塑像
塔	tʰap7b	一座塔
塗	tʰou2	泥涂，涂改
塘	tʰœŋ2	池塘
塞	ʃɐk7a	阻塞
塢	u1b	船坞
填	tʰen2	填空
塵	tʃʰɐn2	灰尘
境	keŋ3	境界
墅	ʃoi6	别墅
墊	ten6	垫钱;座垫
墓	mou6	坟墓
墜	tʃoi6	下坠
增	tʃɐŋ1b	增加
墟	hy1b	废墟
墨	mɐk8	笔墨
墩	tɐn1a	桥墩
墳	fɐn2	坟墓
墾	hɐŋ3	开垦
壁	piə̯k7b	墙壁
壅	oŋ1b	壅肥(施肥)，壅人(埋人)
壇	tʰan2	天坛
壓	at7b	压力
壕	hou2	战壕
壘	lɔy4	堡垒
壞	uɐi6	好坏
壟	loŋ3	垄断
壢	liə̯k8	坜[畦]
壤	iøŋ4	土壤
壩	pa5	堤坝
士	ʃi6	士兵
壬	iɐm2	天干第九
壯	tʃœŋ5	壮大，强壮
壺	u2	水壶
壽	ʃɐu6	寿星
夏	ha6	春夏
夏	ha6	姓夏
夕	tʃek8	夕阳
外	ŋoi6	外面
多	tɔ1b	多少
夜	iɛ6	夜晚
够	kɐu5	足够
夢	moŋ2	做梦
夥	fɔ3	伙计，合伙
大	tai4	大夫、大黄
大	tai6	大小
天	tʰen1b	晴天
太	tʰai5	太阳
夫	fu1b	夫妻
央	iøŋ1a	中央
失	ʃɐt7a	失去
夷	i2	化险为夷
夾	ket8	夹子;夹东西
奀	ŋɐn1a	奀(~细)
奇	kʰi2	奇怪
奈	loi6	无奈
奉	foŋ6	奉献，奉承
奎	kuɐi1a	人名用字
奏	tʃau5	节奏
契	kʰɐi5	地契
奔	pɐn1b	东奔西走
套	tʰou5	配套
奚	kʰɐi1a	奚
奢	tʃʰɛ1b	奢侈
奧	ou5	奥妙
奪	tyt8	夺权
奮	fɐn4	奋斗
女	lɔy4	女儿
奴	lɐu2	奴隶
奶	lai4	奶奶
奸	kan1b	奸臣
好	hou3	好坏
好	hou5	爱好
如	y2	如果
妃	fɐi1a	贵妃
妄	mœŋ4	狂妄
妒	tou6	妒忌
妓	ki6	妓女
妖	iu1b	妖怪
妙	miu4	妙计
妝	tʃœŋ1a	化妆
妥	tʰɔ4	妥当
妨	foŋ2	妨害，不妨
妹	pui3	*妹妹
妻	tʃʰɐi1b	妻子
妾	tʃʰit7b	妻妾
姊	tʃi3	姊妹
始	tʃi3	开始
姐	tʃɛ1b	姐姐
姑	ku1a	姑娘
姓	ʃeŋ5	姓名
委	uɐi3	委托
姘	pʰeŋ5	姘(~头)
姚	iu2	姓
姜	kiøŋ1b	姜太公，姓
姨	i1a	阿姨
姨	i2	姨丈
姻	iɐn1b	婚姻
姿	tʃi1b	姿势
威	uɐi1b	威风
娘	liøŋ2	爹娘
娠	ʃɐn2	妊娠
娩	min4	分娩
娛	y2	娱乐
娶	tʃʰɔy3	嫁娶
娼	tʃʰiøŋ1b	娼妓
婆	pʰɔ6	外婆
婚	fɐn1b	结婚
婢	pʰɐi4	婢女
婦	fu4	妇女
婿	ʃɐi5	女婿
媒	pui2	媒人
媚	mɐi2	妩媚
媳	ʃek7a	媳妇
媽	ma1a	妈妈
嫁	ka5	出嫁
嫂	ʃou3	大嫂
嫌	hen2	嫌弃
嫖	pʰɛu2	嫖妓
嫡	tek7a	嫡系，嫡亲
嫩	lyn6	稚嫩，菜嫩
嫽	lɛu2	嫽[调戏、逗弄]
嬉	hi1b	嬉戏
嬌	kiu1b	撒娇
嬰	ieŋ1a	婴儿
嬲	lɐu1b	嬲[恼怒]
嬸	ʃɐm3	叔之妻
孀	ʃœŋ1a	遗孀
子	tʃi3	孔子;子孙
孔	kʰoŋ3	孔子
孕	iɐn6	怀孕
孖	ma1a	孖[双、对]
字	tʃi6	文字
存	tʃʰyn2	存折
孝	hau5	孝顺
孟	mɛŋ6	孟子
季	kuɐi5	四季
孤	ku1b	孤独
孩	hai2	孩子
孫	ʃyn1a	子孙
孵	pu6	孵小鸡
學	hœk8	学习
孽	it8	作孽
宅	tʃɛk7b	住宅
宇	y4	宇宙
守	ʃɐu3	保守
安	on1b	安全
宋	ʃoŋ5	宋朝
完	yn2	完全
宏	uɐŋ2	宏大
宗	tʃoŋ1b	祖宗
官	kun1b	当官
宙	tʃau6	宇宙
定	teŋ6	坚定
宜	i2	便宜
客	hɛk7b	客人
宣	ʃyn1b	宣传
室	ʃɐt7a	室内
宮	koŋ1b	天宫，宫殿
宰	tʃoi3	宰相
害	hoi6	害人
宴	in5	宴会
宵	ʃiu1b	良宵
家	ka1b	成家，老家
容	ioŋ2	容易
宿	ʃok7a	宿舍
宿	ʃok7a	星宿
寂	tʃek8	寂寞
寄	ki5	寄信
寅	iɐn2	地支
密	mɐt8	秘密
寇	kʰɐu5	倭寇
富	fu6	富贵
寒	hon2	寒冷
寓	y2	寓言
寬	fun1b	宽敞
寞	mœk8	寂寞
察	tʃʰat7b	观察
寡	ua3	寡妇
寢	tʃɐm3	寝室
實	ʃɐt8	老实
寧	leŋ2	安宁
寧	leŋ2	宁可
寨	tʃai6	山寨
審	ʃɐm3	审问
寫	ʃɛ3	写字
寮	lɛu2	竹寮，茶寮
寵	tʃʰoŋ3	宠爱
寶	pou3	宝贝
寸	tʃʰy5	尺寸
寺	tʃi6	寺庙
封	foŋ1b	开封
射	ʃɛ6	发射
射	ʃɛ6	射箭
將	tʃiøŋ1b	将来;将军
將	tʃiøŋ5	大将，将士
專	tʃyn1b	专门
尊	tʃyn1b	尊敬
尋	tʃʰɐm2	寻找
對	tui5	对错
導	tou6	领导
小	ʃiu3	大小
少	ʃiu3	多少
少	ʃiu5	少年，少爷
尖	tʃin1b	尖刀
尚	ʃiøŋ6	和尚
尤	iɐu2	尤其
尬	kai5	尴尬
就	tʃɐu6	成就
尷	kam1b	尴尬
屍	ʃi1b	死尸
尹	uɐn4	姓
尺	tʃʰiə̯k7b	尺寸，一把尺
尼	lɐi2	尼姑
尾	mɐi3	尾巴
尿	lɛu6	撒尿
局	kok8	局部
屁	pʰɐi5	放屁
居	kɔy1b	居民
屈	uɐt7a	委屈
屆	kai5	应届
屋	ok7a	房屋
屎	ʃi3	狗屎
屏	pʰeŋ4	屏风
屐	kʰiə̯k8	木屐
屑	ʃit7b	不屑一顾(动)
屑	ʃiu1b	木屑(名)
展	tʃin3	发展
屙	ɔ1b	(~屎)
屠	tʰou2	屠杀
屢	lɔy4	屡教不改
層	tʃʰɐŋ2	层次
履	lɐi6	履行
屬	ʃok8	家属
屯	tɐn6	屯田
山	ʃen1b	山顶
岐	ki6	岐山
岑	iɐm2	姓
岔	tʃʰa1a	三岔路口
岡	kœŋ1b	井冈山
岳	ŋœk8	姓
岸	ŋon6	口岸
峰	foŋ1a	山峰
島	tou3	海岛
峽	hap8	三峡
崇	ʃoŋ2	崇高
崑	kʰuɐn1b	昆仑
崔	tʃʰoi1b	姓
崖	ŋai2	悬崖
崗	kœŋ1b	站岗
崩	pɐŋ1b	山崩
嵌	ŋam5	镶嵌
嶺	leŋ4	山岭，岭南
嶽	ŋœk8	五岳
巖	ŋam2	岩石，石灰岩
川	tʃʰyn1b	四川
州	tʃɐu1b	杭州
巡	tʃʰɐn2	巡逻
巢	tʃʰɐu2	雀巢
工	koŋ1b	工人
左	tʃɔ3	左右
巧	kʰiu3	碰巧
巨	kɔy4	巨大
巫	mou2	巫婆
差	tʃʰa1b	差别
差	tʃʰai1a	出差
己	ki3	自己
已	i4	已经
巳	tʃi4	地支第六
巴	pa1b	巴掌
巷	hœŋ6	小巷，街巷
巾	kɐn1a	毛巾
市	ʃi4	市场
布	pu5	布匹，一块布
帆	fan2	船帆
希	hi1b	希望
帖	tʰet7b	请帖
帛	pɛk8	财帛
帝	tɐi5	皇帝
帥	ʃoi5	元帅
師	ʃi1b	老师
席	tʃek8	酒席;主席
帳	tʃiøŋ5	蚊帐
帶	tai5	鞋带
常	ʃiøŋ2	经常
帽	mou3	草帽
幅	fok7a	幅度
幕	mœk8	谢幕
幣	pɐi6	人民币
幫	pœŋ1b	帮忙
干	kon1b	天干地支
平	pʰeŋ2	平时
年	len2	过年
幸	hɐŋ6	幸福
幹	kon5	干部
幻	uan6	幻想
幼	iɐu5	幼稚
幽	iɐu1b	幽默
幾	ki4	几乎
幾	ki3	几个
庇	pɐi5	包庇
序	tʃoi6	秩序
底	tɐi3	水底
店	tin5	商店
庚	kɛŋ1b	庚子，庚款
府	fu3	广府
度	tœk8	忖度，度长
座	tʃɔ4	座位
庫	fu5	水库
庭	tʰeŋ2	家庭
庵	ɐm1a	尼姑庵
庶	ʃy6	庶民
康	hœŋ1b	健康
庸	ioŋ2	平庸
廉	lin2	廉洁
廊	lœŋ2	走廊
廓	kʰœk7b	轮廓
廖	lɛu6	姓
廟	miu6	庙会
廢	fɐi5	废品
廣	kuoŋ3	广东
廬	lou2	庐山
廳	tʰiə̯ŋ1a	客厅
延	in2	延安
廷	tʰeŋ2	朝廷
建	kin5	建设
弄	loŋ4	弄错
弊	pɐi5	作弊
式	ʃek7a	式样
弓	koŋ1b	弓箭
引	iɐn4	吸引
弘	uɐŋ2	弘扬
弟	tʰɐi4	弟弟
弦	in2	琴弦
弱	iøk7b	弱点
張	tʃiøŋ1b	一张纸;姓
强	kʰiøŋ2	强大
强	kʰiøŋ4	勉强
弼	pin3	弼马温，任弼时
彈	tʰan2	弹琴
彈	tan3	子弹
彌	i2	弥补
彎	uen1b	弯曲
形	ieŋ2	形状
彩	tʃʰoi3	彩色
彪	piu1b	林彪
彬	pɐn1b	文质彬彬
彭	pʰɛŋ2	姓
影	ieŋ3	电影
彷	foŋ3	仿佛
役	iek8	战役
彼	pʰɐi3	彼此
彿	fɐt7a	仿佛
往	uoŋ4	来往
征	tʃeŋ1b	长征;征兵
待	toi6	等待
很	hɐn3	很多
律	lɐt8	纪律
後	hɐu6	后来
徐	tʃʰy2	姓
徑	keŋ5	半径
徒	tʰou2	徒弟
得	tɐk7a	得到
徙	ʃɐi3	迁徙
徛	kʰi4	站立
從	tʃʰoŋ2	从容
從	tʃʰoŋ2	跟从
御	y6	御用
復	fok7a	复兴
復	fok8	复原，恢复
復	fok7a	复原，恢复
循	tʃʰɐn2	循环
微	mɐi2	细微
徵	tʃeŋ1b	征求
德	tɐk7a	道德
徹	tʃʰit7b	彻底
徽	fɐi1a	国徽
心	ʃɐm1b	心思
必	pit7a	必须
忌	ki6	禁忌
忍	iɐn3	忍住
志	tʃi5	志气
忘	mœŋ6	忘记
忙	mœŋ2	农忙
忠	tʃoŋ1b	忠心
快	fai5	快点;快车
念	nen6	想念
忽	fɐt7a	忽然
忿	fɐn4	忿忿不平
怒	lɐu1b	发怒
怕	pʰa5	害怕
怖	pu5	恐怖
思	ʃi1b	思念
思	ʃi1b	意思
怠	toi6	怠慢
急	kɐp7a	急忙
性	ʃeŋ5	性别
怨	yn5	埋怨
怪	kuai5	奇怪
怯	hit7b	胆怯
恃	tʃʰi6	有恃无恐，自恃
恐	hoŋ3	恐怕
恆	hɐŋ2	永恒
恕	ʃy5	饶恕
恢	fui1b	恢复
恤	ʃyt7a	体恤
