#漢字	音標	解釋
#簡稱	/	綏寧河口
#全稱	/	綏寧河口話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-03
#錄入人	/	DaiDzao
#參考資料	/	《湖南綏寧河口湘語方言音系》
#說明	/	
交	tʃau1	
亥	xai6	
亦	ˀi5	
產	tsʰan3	
亨	xən1	
畝	miau3	
享	ʃaŋ3	
京	tʃin1	
亭	tin2	
亮	liaŋ6	
親	tsʰin1	
親	tsʰin5	～家
億	ˀi5	
僅	tʃin3	
仆	pʰu5	～倒
仇	tʃʰou2	
今	tʃin1	
介	kai5	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʃaŋ5	
仙	sian1	
代	tai6	一～
代	tai5=	～表
令	lin5	
以	ˀi3	
以	tʃian3	
儀	ȵi1	
仰	ˀiaŋ3	
仲	tʃoŋ5	
件	tʃian6	
價	tʃa5	
份	fən6	一～
仿	faŋ3	
伊	ˀi1	
伍	ˀu3	
伏	fu3	
伐	fa5	
休	siou1	
衆	tʃoŋ5	
優	ˀiou1	
伙	xo3	
會	kʰuai5	～计
會	fei6	开～;～不～
傘	san3	
偉	ˀuei3	
傳	kʰyan2	
伢	ŋa3	
傷	ʃaŋ1	
倫	lən2	～陷
僞	ˀuei3	
伯	pie3	
估	ku3	
伴	puan6	
伶	lin2	
伸	ʃən1	
佃	tian6	
但	tan5	
佈	pu5	
位	ˀuei6	
低	ti1	
住	ky6	
佐	tso5	
佑	ˀiou6	
體	tʰi3	
何	xo2	
佘	ʃa2	
余	ˀy2	
佛	fu3	
作	tso1	
佞	ȵin5	
你	ȵi3	
佳	tʃa1	
使	ʃʅ3	
侃	kʰuan3	(吹牛)
侄	tʃʰʅ5	
侈	tʃʰʅ3	
侍	sɿ6	
供	koŋ5	
依	ˀi1	
僥	tʃau3	
偵	tʃin1	
側	tsʰie3	
僑	tʃau2	
侮	ˀu3	
侯	xiau2	
侵	tsʰin5	
便	pian2	～宜
便	pian6	方～
係	ʃi5	联～，关～
促	tsʰou3	
俄	ŋo2	
俊	tsən5	
俏	tsʰiau5	
俗	sou5	
俘	fu2	
保	pau3	
信	sin5	
儼	ˀian3	
修	siou1	
俱	ky5	
個	ko5	
倒	tau3	打～
倒	tau5	～水
倘	tʰaŋ3	
候	xiau6	
倚	ˀi3	
借	tsia5	
倡	tʃʰaŋ5	
倦	kyan5	
倪	ȵi1	
倭	ˀo1	
債	tsai5	
值	tʃʰʅ5	
傾	tʃʰin1	
假	tʃa3	
偏	pʰian1	
偏	sa3	
做	tsou5	
停	tin2	
健	tʃian5	
偶	ˀæu3	
偷	tʰiau1	
償	tʃʰaŋ2	
傀	kʰuei2	
傍	paŋ5	
儲	tʃʰou3	
催	tsʰei1	
傲	ŋau5	
像	tsiaŋ6	
僧	sən1	
僵	tʃaŋ1	
儒	ˀy2	
兒	ˀɤ2	
兒	ˀɯ2	(又读)
兒	tsai3	
允	ˀyn3-	
允	ˀioŋ3=	
元	ˀyan2	
兄	ʃoŋ1	
充	tʃʰoŋ1	
兆	tʃau5	
先	sian1	
光	kuaŋ1	
克	kʰie3	
兌	tei5	
兔	tʰou5	
黨	taŋ3	
兜	tiau1	
入	ȵa5-	(性交)
入	ˀy5	
全	tsʰian2	
八	pa3	
公	koŋ1	
六	liou5	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	ʃin5	高～
兵	pin1	
具	ky5	
典	tian3	
兹	tsɿ1	
養	ˀiaŋ3	
兼	tʃian1	
獸	ʃou5	
冀	tʃi5	
內	nei6	
冇	mau6	否定词，相当于“没有”:～去
岡	kaŋ1	
冊	tsʰie5	
再	tsai5	
冒	mau5	
冗	ˀioŋ2	
寫	sia3-	
軍	kyn1	
農	loŋ2	
冠	kuan1	
冠	kuan5	～军
冢	tʃoŋ3	
冤	ˀyan1	
冬	toŋ1	
馮	xoŋ2	
冰	pin1	
冲	tʃʰoŋ1	
冲	tsʰoŋ5	～鼻子,气味刺鼻
决	kye3	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tsin6	
準	kyn3	
凉	liaŋ2	
凌	lin2	
減	kan3	
湊	tsʰiau5	
凝	ȵi1	
凝	ȵin2	
几	tʃi5	～几
凡	fan2	
鳳	xoŋ5	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ʃoŋ1	
出	kʰy3	
擊	tʃi3	
凼	taŋ6	小水坑:～～
函	xan2	
鑿	tsʰo5	
刀	tau1	
刀	mo2	
刁	tiau1	
刃	ˀin5	
分	fən1	～开
切	tsʰie3	～开
刊	kʰan3	
刎	ˀuən3	
刑	ʃin2	
划	fa6	
列	lie3	
劉	liou2	
則	tsie3	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰou1	
刪	san1	
判	pʰuan5	
刨	pau6	
利	li5	
别	pʰie5-	区～
别	pie5	～离
刮	kua3	
到	tau5	
制	tʃʅ5	
刷	sa3	
券	kʰyan5	
刺	tsʰɿ5	
刻	kʰie3	
劊	kʰuai5	
剁	to5	
劑	tsi5	
剃	tʰi5	
削	sio3	
前	tsian2	
劍	tsian5	
剔	tʰi3	
剖	pʰo3	
剜	ˀuan3	
剝	po3	
劇	ky5	
剩	ʃən6	
剪	tsian3	
剮	kua3	
副	fu5	
割	ko3	
剿	tʃau3	
劈	pʰia3	
力	li5	
勸	kʰyan5	
辦	pan6	
功	koŋ1	
加	tʃa1	
劣	lie5	
動	toŋ6	
助	tsou6	
努	nou2	
劫	tʃie3	
勵	li5	
勁	tʃin5	
勞	lau2	
勢	ʃʅ5	
勇	ˀioŋ3	
勉	mian3	
勋	fyn1	
勒	lie3	
勘	kʰan1	～探
募	mo5	
勤	tʃin2	～快
勺	ʃo5	
勾	kiau1	
勿	ˀu5	
勻	ˀyn2	
包	pau1	
匆	tsʰoŋ1	
化	fa5	
北	pie3	
匙	ʃʅ2	
匠	tsiaŋ6	
匡	kʰuaŋ1	
匣	ʃa3	
匪	fei3	
區	kʰy1	
醫	ˀi1	
匾	pian3	
匿	ȵi5	
十	ʃʅ5	
千	tsʰian1	
午	ˀu3	
半	puan5	
華	fa2	
協	ʃie5	
卑	pei1	
卓	tso1	
單	tan1	～独
賣	mai5	
南	nan2	
博	po3	
卜	pʰu3	
占	tʃian1	～卜
占	tʃian5	
卡	kʰa3	
盧	lou2	
卤	lou3	
卦	kua5	
臥	ˀo5	
衛	ˀuei5	为～什么
卯	mau3	
印	ˀin5	
危	ˀuei2	
即	tsi3	
卻	tʃʰo3	
卵	luan3	
卷	kyan3	～起
卷	kyan5	
卸	ʃie5	
廠	tʃʰaŋ3	
廳	tʰin3	
历	li5	
厲	li5	
壓	ˀa3-	
壓	ˀia3=	
厭	ˀian5	
廁	sɿ1	茅～
厘	li2	
厚	xiau6	
原	ˀyan2	
廂	siaŋ1	
厥	kye3	
厦	sa3	
厦	ʃa5	～门
廚	kʰy2	
厮	sɿ1	
去	kʰɯ5	
縣	fyan6	
参	tsʰan1	
参	tsʰən1	～差
参	sən1	人～
又	ˀiou6	
叉	tsʰa1	
及	tʃi3	
友	ˀiou3	
雙	saŋ1	
反	fan3	
发	fa1	
发	fa3	
叔	ʃou3	
取	tsʰi3	
取	tsʰiou3	(又读)
受	ʃou6	
變	pian5	
敘	fy5	
叛	pʰuan5	
叟	sou3	
疊	tie3	
口	kʰiau3	
古	ku3	
句	ky5	
另	lin6	
叨	tau1	唠～
叩	kʰiau5	
只	tʃa3-	(量词)
只	tʃʅ5	～有
叫	tʃau5	
召	tʃau1	
可	kʰo3	
台	tai2-	桌子:～子
台	tʰai2=	～湾
史	ʃʅ3	
右	ˀiou6	
葉	ˀie3	
號	xau2	呼～
號	xau6	～数
司	sɿ1	
嘆	tʰan5	
吁	fy1	
吃	tʃʰi3	
各	ko3	
吆	ˀiau1	
合	xo5	
吉	tʃi3	
吊	tiau5	
同	toŋ2-	
同	tʰoŋ2=	
名	min2	
后	xiau6	～头
吐	tʰo5	
向	ʃaŋ5	
嚇	xie3	
嚇	xa5	
吕	li3	
君	kyn1	
吝	lin5	
吞	tʰən1	
吟	ˀin2	
吠	fei5	
否	fiau3	
含	xan2	
听	tʰin5	
吭	kʰaŋ3	(咳嗽)
启	tʃʰi3	
吴	ˀu3	
吵	tsʰau3	
吸	si3	
吹	kʰy1	
吻	ˀuən3	
呆	ŋai2	
呈	tʃʰin2	
告	kau5	
嘔	ˀæu3	～吐
員	ˀyan2	
周	tʃou1	
味	ˀuei6	
呼	fu1	
命	min6	
和	xo2	～气
和	xo6	～面
咎	tʃou1	
咏	ˀioŋ3	
咒	tʃou5	
咨	tsɿ1	
咬	ŋau3	
咳	kʰie3	～嗽
咸	xan2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	～骗
哄	xoŋ5	起～
響	ʃaŋ3	
啞	ˀa3	
噦	ˀye3	
哥	ko1	
哪	na3	
哪	nai3	
哭	kʰu3	
哲	tʃie3	
哽	kən3	
唆	so3	
脣	tʃʰin2	
唐	taŋ2	
嘮	lau2	～叨
喚	fan5	
售	ʃou5	
唯	ˀuei2	
唱	tʃʰaŋ5	
唾	tʰo5	
啄	tsa5	
商	ʃaŋ1	
嗇	sie3	
囉	lo2	
啼	ti2	
善	ʃian6-	
善	ʃian5=	
喉	xiau2	
喊	xan3	
喘	kʰyan3	
喜	ʃi3	
喝	xo3	～酒
喧	fyan1	
單	ipa調號	
噴	pʰən5	
喻	ˀy5	
嗅	ʃoŋ5	
嗓	saŋ3	
嗜	ʃʅ5	
嗣	sɿ5	
嗤	tʃʰʅ1	
嗽	siau5	
嘉	tʃa1	
噓	fy1	
囑	tʃou3	
嘴	tsi3	
噎	ˀie3	
器	tʃʰi5	
囂	siau1	
嚷	ˀiaŋ3	
嚼	tsio3-	吮吸:～奶
嚼	tsʰio5=	
囊	naŋ2	
囔	naŋ1	(呻吟)
囚	tʃʰou2	
四	sɿ5	
回	ˀuei2-	
回	fei2=	
因	ˀin1	
团	tuan2	
团	tʰuan2=	～长
囤	tʰən2	
囥	kʰaŋ5	
園	ˀyan2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	ˀuei2	
固	ku5	
國	kye3	
圖	tou2	
圓	ˀyan2	
圈	kʰyan1	圆～
圈	kyan6	猪～
圞	luan2	(圆的)
土	tʰou3	
在	tsei6	
圭	kuei1	
地	ti6	
場	tʃaŋ2	
圿	ka3	(污垢)
址	tʃʅ3	
均	kyn1	
坍	tʰan1	
坎	kʰan3	
壞	fai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai5	
坛	tan2	
壩	pa5	
塢	ˀu3	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pin2	
坳	ˀau5	山～
坼	tsʰie3	(开皴)
垂	tsʰei2	
壠	loŋ3	
型	ʃin2	
垒	lei3	
垛	to6	
墾	kʰən3	
墊	tian6	
垮	kʰua3	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tʃʰin2	
域	ˀy5	
埠	pu6	
埣	tsei3	(堵、塞)
培	pei2	
堂	taŋ2	
堆	tei1	
堡	pau3	
堤	ti1	
堪	kʰan1	
堰	ˀian5	
堵	tou3	
塌	tʰa3	
塍	tʃʰin2	
塑	so3	
塔	tʰa3	
塘	taŋ2	
塞	sie3	
填	tian2	
境	tʃin5	
墈	kʰuan5	高岸，田～
墓	mo5	
牆	tsiaŋ2	
增	tsən5	
墟	fy1	
墨	mie3	
墩	tən1	
壁	pi3	
壅	ˀoŋ1	(用土掩盖)
壤	ˀiaŋ3=	
壕	xau2	
壤	ȵiaŋ3=	犁田:～田
士	sɿ6-	
士	sɿ5=	
壯	tsoŋ5	
殼	kʰo3	
壺	fu2	
處	kʰy5	
備	pi5	
复	fu3	
夕	si3	
外	ˀuai6	
多	to1	
夜	ˀia6	
够	kiau5	
大	tai6	～小
天	tʰian1	
太	tʰai5	
夫	fu1	
夯	xaŋ1	
失	ʃʅ3	
頭	fa1	
頭	tiau2	
夷	ˀi2	
夸	kʰua1	
夾	ka3	
奪	to3	
奇	tʃi2-	
奇	tʃʰi2=	
奉	xoŋ5	
奮	fən5	
奎	kʰuei2	
奏	tsou5	
契	tʃʰi5	
奔	pən1	
獎	tsiaŋ3	
套	tʰau5	
奠	tian6	
奧	ˀau5	
女	ȵy3	
奴	nou2	
奶	nai3	祖母:～～
奶	nai5	(乳房，奶水)
奸	kan1	
好	xau3	～坏
好	xau5	爱～
如	ˀy2	
妃	fei1	
妄	ˀuaŋ6	
婦	fu5	
媽	ma1	
妒	tou5	
妓	tʃi5	
妖	ˀiau1	
妙	miau5	
妥	tʰo3	
妨	faŋ2	
妹	mei5	
妻	tsʰi1	
妾	tsʰie5	
姊	tsɿ3	
始	ʃʅ3	
姐	tsia3-	
姐	tsie3=	
姑	ku1	
姓	sin5	
委	ˀuei3	
姘	pʰin5	
姚	ˀiau2	
姜	tʃaŋ1	
姨	ˀi2	
姻	ˀin1	
姿	tsɿ1	
威	ˀuei1	
嬌	tʃau1	
娘	ȵiaŋ2	
娠	ʃən1	
娥	ŋo2	
娩	mian3	
娛	ˀy2	
娶	kʰy3	
婆	po2	
婊	piau3	
婚	fən1	
婢	pi5	
嬰	ˀin1	
嬸	ʃən3	
婿	si5	
媒	mei2	
媚	mei5	
媠	ta5	姐，～～
媳	si3	
嫁	ka5	
嫂	sau3	
嫌	ʃian2	
嫖	pʰiau2	
嫡	ti3	
嫩	nən6	
嬉	xai1	(玩耍)
孀	saŋ1	
子	tsɿ3	
子	tsai3	
子	ʃoŋ5	
孔	kʰoŋ3	
孕	ˀyn5	
字	tsɿ6	
字	ipa調號	
存	tsən2	
孫	sən1	
孝	ʃau5	
孟	moŋ5	
孤	ku1	
學	xo5-	模仿:～舌
學	ʃo5=	～堂
孩	xai2	
孵	fu2=	
孽	ȵie3	
寧	ȵin2	
宅	tsie3	
宇	ˀy3	
守	ʃou3	
安	ŋan1	
宋	soŋ5	
完	ˀuan2	
宏	xoŋ2	
宕	taŋ5	
宗	tsoŋ1	
官	kuan1	
宙	tʃou5	
定	tin6	
宛	ˀuan3	
宜	ȵi1	
寶	pau3	
實	ʃʅ5	
寵	tʃʰoŋ3	
審	ʃən3	
客	kʰie3	
宣	fyan1	
室	ʃʅ5	
宦	fan5	
宪	ʃian5	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	ŋan5	
宴	ˀian5	
宵	siau1	
家	ka1-	
家	tʃa1=	～庭，～具
容	ˀioŋ2	
寬	kʰuan1	
賓	pin1	
宿	sou3	
寂	tʃi5	
寄	tʃi5	
寅	ˀin2	
密	mi5	
寇	kʰiau5	
富	fu5	
寐	mei5	
寒	xan2	
寓	ˀy5	
寢	tsʰin5	
寞	mo5	
察	tsʰa2	
寡	kua3	
寥	liau2	
寨	tsai6	
寸	tsʰən5	
對	tei5	
寺	sɿ5	
尋	tsin2	
導	tʰau5	
壽	ʃou6	
封	xoŋ1	
射	ʃa6-	(扔、丢)
射	sia5=	
將	tsiaŋ1	～来
將	tsiaŋ5	大～
尊	tsən1	
小	siau3	
少	ʃau3	多～
少	ʃau5	～年
尔	ˀɤ3	
尔	ˀɯ3	(又读)
尖	tsian1	
尘	tʃin2	
尚	ʃaŋ5	
嘗	ʃaŋ2	
尤	ˀiou2	
尥	liau6	
就	tʃou6-	～来
就	tsiou6-	顺从:～倒渠
就	tʃou5=	迁～
就	tsiou5=	迁～
尷	kan1	
屍	ʃʅ1	
尹	ˀin3	
尺	tʃʰʅ3	
尼	ȵi1	
尽	tsin6	
尿	ȵiau6	
屁	pʰi5	
層	tsən2	
屄	pai1	(女性生殖器)
居	ky1	
屈	kʰy3	
屆	kai5	
屋	ˀu3	
屎	ʃʅ3	
屏	pin2	
屑	sie3	
展	tʃian3	
屙	ˀo1	
屬	ʃou5	
屠	tou2	
屢	li3	
履	li3	
屯	tʰən2	
山	san1	
歲	sei5	
豈	tʃʰi3	
岐	tʃʰi2	
岑	tsən2	
岔	tsʰa5	
崗	kaŋ1	
島	tau3	
岩	ŋai2	
岭	lin3	
岳	ˀio3	～阳，～麓山
岸	ŋan5	
峯	xoŋ1	
崇	tsʰoŋ2	
崑	kʰuən1	
崔	tsʰei1	
崖	ŋai2	
崩	pən1	
崽	tsai3	
嵌	tʃʰian5	
嵩	soŋ1	
川	kʰyan1	
州	tʃou1	
巢	tsau2	
工	koŋ1	
左	tso5	
巧	tʃʰau3	
巨	ky5	
鞏	koŋ3	
巫	ˀu1	
差	tsʰa1	
差	tsʰai1	出～
己	tʃi3	几～
已	ˀi3	
巳	tsɿ6	
巴	pa1	
巷	xaŋ6	
巾	tʃin1	
市	ʃʅ6	
布	pu5	
帥	sai5	
帆	fan2	
師	sɿ1	
希	ʃi1	
帳	tʃaŋ5	
帕	pʰa5	
帖	tʰie3	请～
帘	lian2	
帚	tʃou3	
帛	po3	
帝	ti5	
帶	tai5	
席	si5	
席	tian6	
幫	paŋ1	
常	tʃʰaŋ2	
帽	mau5	
幅	fu3	
幔	pʰan5	
幕	mo5	
幢	tʃoŋ2	
幣	pi5	
干	kan1	～湿
干	kan5	
平	pin2	
年	ȵian2	
年	tsai3	
并	pin5	
幸	ʃin5	
幻	fan5	
幼	ˀiou5	
幽	ˀiou1	
廣	kuaŋ3	
莊	tsaŋ1	
慶	tʃʰin5	
牀	pʰu1	
牀	tsoŋ2	
序	si5-	
序	fy5=	顺～
庫	kʰu5	
應	ˀin5	
底	ti3	
店	tian5	
廟	miau6	
庚	kən1	
府	fu3	
龐	paŋ2	
廢	fei5	
度	tou6	
座	tso6	
庭	tʰin3	
庵	ŋan1	
庶	fy5	
康	kʰaŋ1	
庸	ˀioŋ2	
廉	lian2	
廊	laŋ2	
廓	ko3	
廖	liau5	(姓)
延	ˀian2	
廷	tʰin3	
建	tʃian5	
開	kʰei1-	
開	kʰai1=	
异	ˀi5	
弃	tʃʰi5	
弄	loŋ5	
弊	pi5	
式	ʃʅ5	
弓	koŋ1	
引	ˀin3	
弟	ti6	
張	tʃaŋ1	
弥	mi2	
弦	ʃian2	
弦	fyan2	
彎	ˀuan1	
弱	ȵio3	
彈	tan2	～弓
彈	tan6	子～
强	tʃʰaŋ2	
弼	pi5	
歸	kuei1	
當	taŋ1	～时
當	taŋ5	～作
录	lou3	
形	ʃin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pən2	
影	ˀaŋ3-	～子
影	ˀin3=	
彷	faŋ3	
役	ˀy5	
彼	pi3	
往	ˀuaŋ3	
征	tʃin1	～求
征	tʃin1	
徑	tʃin5	
待	tai5	
很	xən3	
律	li5	
徐	tsi2	
徒	tou2	
得	tie3	
徙	si3	
徛	tʃi6	(立)
御	ˀy5	
微	ˀuei1	
德	tie3	
徽	fei1	
心	sin1	
必	pi3	
憶	ˀi5	
忌	tʃi5	
忍	ȵin3	
志	tʃʅ5	
忘	ˀuaŋ6	
忙	maŋ2	
忠	tʃoŋ1	
憂	ˀiou1	
快	kʰuai5	
念	ȵian6-	
念	ȵian5=	纪～
忽	fu3	
忿	fən5	
懷	fai2	
態	tʰai5	
慫	soŋ2	(傻)
慪	ˀæu5	～气
怒	nou5	
怕	pʰa5	
怖	pu5	
憐	lian2	
思	sɿ1	
怠	tai5	
急	tʃi3	
性	sin5	
怨	ˀyan5	
怪	kuai5	
怯	tʃʰie5	
總	tsoŋ2	
恃	ʃʅ6	
戀	lian5	
恐	kʰoŋ3	
恆	xən2	
恕	fy5	
恢	fei1	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	si3	
恰	tʃʰa5	
懇	kʰən3	
恶	ˀo3	
恶	ˀu5	可～
惱	nau3	
悄	tsʰiou1	
悉	si3	
悔	fei3	
悟	ˀu5	
悠	ˀiou1	
患	fan5	
悅	ˀye5	
懸	fyan2	
憫	min3	
悲	pei1	
情	tsin2	
驚	tʃin1	
惑	xo5	
惜	si3	
惟	ˀuei2	
惠	fei5	
懼	ky5	
慘	tsʰan3	
懲	tʃʰin3	
慚	tsʰan2	
慣	kuan5	
惰	to5	
想	siaŋ3	
惹	ȵa3	
愁	tsiau2	
愈	ˀy5	
意	ˀi5	
愚	ˀy2	
感	kan3	
憤	fən2	
憤	fən5	
愧	kʰuei5	
願	ˀyan5	
慈	tsʰɿ2	
慌	faŋ1	
慎	ʃən5	
慕	mo5	
慢	pʰan5	
慧	fei5	
慰	ˀuei5	
慷	kʰaŋ3	
憋	pie3	
憎	tsən5	
憨	xan1	
憾	xan5	
懂	toŋ3	
懈	ʃie5	
懊	ˀau5	
懶	lan3	
懵	moŋ3	
戈	ko1	
戊	ˀu6	
戍	fy5	
戲	ʃi5	
成	tʃʰin2	
我	ŋo3	
戒	kai5	
或	fye5	
戰	tsan5	
戚	tsʰi5	
截	tsie3	
戳	tsʰo1	
戴	tai5	
戶	fu6	
戽	fu5	～水
房	faŋ2	
扁	pian3	
扇	ʃian5	
手	tʰo3	
手	ʃou3	
才	tsai2	
扎	tsa3	
扑	pʰu3	
打	ta3	
托	tʰo3	
扛	kʰaŋ3	
扣	kʰiau5	
執	tʃʅ3	
擴	kʰo3	
掃	sau5	
揚	ˀiaŋ2	
扭	ȵou3	
扮	pan5	
扯	tʃʰa3	
擾	ˀiau3	
扳	pan1	
扶	fu2	
批	pʰi1	
找	tsau3	
承	tʃʰin2	
承	tʰo3	
技	tʃi5	
抄	tsʰau1	
抈	ˀye3	(折断)
把	pa3	
抑	ˀi5	
投	tiau2	
抖	tiau3	
抗	kʰaŋ5	
折	tʃie3	
折	ʃie5	～本
撫	fu3	
抛	pʰau1	
摳	kʰiau1	
搶	tsʰiaŋ3	
護	fu6-	袒～
護	fu5=	
報	pau5	
披	pʰi1	
抬	tai2	
抱	lou2	
抱	pau6	
抵	ti3	
抹	ma3	
押	ˀia3	
抽	tʃʰou1	
抿	min3	
擔	tan1	～任
擔	tan5	挑～
拇	mo3	
拈	ȵian3	
拉	la1	
拌	pan5	
拌	puan5	
拍	pʰie3	
拍	pʰie3	～打
拎	lin2	
拐	kuai3	
拒	ky5	
拔	pa3	
拖	tʰo1	
拘	ky5	
拙	tso1	
拚	pʰuan5	～命
招	tʃau1	
拜	pai5	
擬	ȵi1	
攏	loŋ3	
揀	tʃian3	
擁	ˀioŋ3	
攔	lan2	
撥	po3	
擇	tsʰie3	选～
拯	tʃin3	
拱	koŋ3	
拳	kʰyan2	
拴	suan1	
拼	pʰin5	
拿	na5	
持	tʃʰʅ2	
挂	kua5	
指	tʃʅ3	
按	ŋan5	
挑	tʰiau1	
挖	ˀua1	
擋	taŋ3	
擠	tsi3	
揮	fei1	
挨	ŋai1	
挪	no2	
挫	tsʰo5	
振	tʃin5	
挺	tʰin3	
挽	ˀuan3	
捅	tʰoŋ3	
捆	tau2	
捆	kʰuən3	
