#漢字	音標	解釋
□	ɕio2	弯腰
既	tɕi5	
日	ʐʅ5	
旦	ta5	
舊	tɕiou5	
旨	tʂʅ3	
早	tsau3	
旬	syŋ2	
旱	xa5	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ5	兴旺。火旺
昂	aŋ2	
昆	kʰuəŋ1	昆虫
昆	kʰuəŋ1	昆仑
昌	tʂʰaŋ1	
明	miŋ2	
昏	xuəŋ2	
易	i5	交~
易	i5	难意
星	siŋ2	
映	iŋ5	
春	tʂʰuəŋ1	
昧	mei5	
昨	tsuo7	
昭	tʂau2	
是	ʂʅ5	
晝	tʂn̩5	
顯	ɕia3	
晃	xuaŋ3	晃眼
晉	tsiŋ5	
晌	ʂaŋ3	~午
曬	ʂai5	
曉	ɕiau3	
暈	yŋ5	
晚	va3	
晦	xuei5	
晨	tʂʰəŋ2	
普	pʰu3	
景	tɕiŋ3	
晴	tsʰiŋ1	
晶	tsiŋ1	
智	tʂʅ5	
暫	tsa5	
暇	ɕio2	
暑	ʂu3	
暖	nua3	
暗	a5	
暮	mu5	
暴	pau5	
曲	tɕʰyɛ7	~折
更	kəŋ1	更换,五更
更	kəŋ5	更加
曹	tsʰau2	
曾	tsəŋ1	
曾	tsʰəŋ2	~经
替	tʰi5	
最	tsuei5	
月	yo7	
有	iou3	
朋	pʰəŋ2	
服	fuo7	
朔	ʂuo5	
朗	laŋ3	
望	vaŋ5	
朝	tʂau1	今朝
朝	tʂʰau2	朝代
期	tɕʰi2	时~
木	məʔ7	
未	vei5	
末	məʔ7	
本	pəŋ3	
札	tʂa7	
术	ʂuo7	
术	tʂu7	白术,苍术
朱	tʂu1	
朴	pʰəʔ7	
朶	tuo3	
機	tɕi1	
朽	tɕʰiou3	
殺	ʂa7	
雜	tsɔ7	
權	tɕʰya2	
杈	tʂʰɔ1	枝~
李	li3	
材	tsʰai2	
村	tsʰuəŋ1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi3	
束	ʂuo7	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ7	
杵	tʂʰu3	
松	suəŋ2	(年轻人)
松	syŋ2	(老年人)
板	pa3	
極	tɕi7	
構	kn̩5	
枉	vaŋ3	
析	si7	
枕	tʂəŋ3	
枕	tʂəŋ5	动词
林	liŋ2	
枚	mei2	
果	kuo3	
枝	tʂʅ1	
樞	ʂu1	
棗	tsau3	
槍	tsʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tɕio5	
柄	piŋ2	
某	mu2	
柑	ka2	
染	ʐa3	
柔	ʐn̩2	
櫃	kuei5	
查	tʂʰɔ2	(调~)
柬	tɕia3	
柱	tʂu5	
柳	liou3	
柴	tʂʰai2	
柿	ʂʅ5	
栅	tʂɔ5	(~栏)
標	piau1	
棟	tuəŋ5	
欄	la2	
樹	ʂu5	
栓	ʂua2	
栖	tsʰi2	
栗	li7	
校	tɕiau5	~对
校	ɕiau5	上校
校	ɕiau5	学校
株	tʂu1	
樣	iaŋ5	
核	xəʔ7	~桃
核	xəʔ7	审~
根	kəŋ1	
格	kəʔ7	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
案	a5	
桌	tʂuo7	
桐	tʰuəŋ2	
桑	saŋ2	
檔	taŋ3	
橋	tɕʰiau2	
樺	xɔ5	
檜	kʰuai5	
槳	tsiaŋ3	
桶	tʰuəŋ3	
梁	liaŋ2	
梅	mei2	
梢	ʂau2	树~
夢	məŋ5	
梧	u2	~桐
梨	li2	
梭	suo2	织布梭
梯	tʰi2	
械	tɕiɛ5	
梳	ʂu2	~头
檢	tɕia3	
棉	mia2	
棋	tɕʰi2	
棍	kuəŋ5	
棒	paŋ5	
棚	pʰəŋ2	
棠	tʰaŋ2	
森	ʂəŋ2	
棵	kʰɤ1	
棺	kua1	
椅	i3	
植	tʂʅ7	
椒	tsiau1	
橢	tʰuo3	~圆
椽	tʂʰua2	
椿	tʂʰuəŋ1	~树
楂	tʂɔ1	
楚	tʂʰu3	
楞	ləŋ5	
楷	kʰai3	
樓	ln̩1	
概	kai5	
榆	y2	
榛	tʂəŋ1	
榜	paŋ3	
榨	tʂɔ5	(~油)
榴	liou2	石~
槌	tʂʰuei2	
槐	xuai2	
檳	piŋ1	~榔
槽	tsʰau2	
樟	tʂaŋ1	
模	muo2	~范
模	mu2	~子
橫	xəŋ5	
橫	xəŋ2	横直
櫻	iŋ1	~桃
橘	tɕyɛ7	
橙	tʂʰəŋ2	
橙	tʂʰəŋ2	~子
橛	tɕyo7	~子
櫓	lu3	
檁	liŋ3	
欛	pɔ5	(柄)
欠	tɕʰia5	
次	tsʰɿ5	
歡	xua2	
欣	ɕiŋ2	
歐	n̩1	
欺	tɕʰi1	
款	kʰua3	
歇	ɕiɛ7	
歉	tɕʰia5	
歌	kɤ1	
止	tʂʅ3	
正	tʂəŋ5	
正	tʂəŋ1	正月
此	tsʰɿ3	
步	pu5	
武	u3	
歪	vai2	
死	sɿ3	
殲	tsʰia1	~灭
殃	iaŋ1	
殆	tai5	
殉	syŋ5	
殊	ʂu2	
殘	tsʰa1	
殖	tʂʅ7	
殯	piŋ5	
段	tua5	
殷	iŋ1	
殿	tia5	
毁	xuei3	
毅	i5	
母	mu2	
每	mei3	
毒	tu7	
比	pi3	比较
畢	pi7	
斃	pi5	
毛	mau2	
毫	xau2	
毯	tʰa3	
民	miŋ2	
气	tɕʰi5	
水	ʂuei3	
永	yŋ3	
汁	tʂʅ7	
求	tɕʰiou2	
汇	xuei5	
漢	xa5	
汗	xa5	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汽	tɕʰi5	
沈	ʂəŋ3	
沉	tʂʰəŋ2	
沙	ʂɔ2	
溝	kn̩1	
没	məʔ7	沉没,没有
漚	n̩5	久浸水中
淪	luəŋ2	
沫	məʔ7	
河	xɤ2	
油	iou2	
治	tʂʅ5	
沼	tʂau3	池~,~气
沾	tʂa5	
沿	ia2	
泄	siɛ5	
泄	siɛ7	~露
泉	tsʰya2	
泊	puo7	梁山~
泊	puo7	水~
泌	miɛ7	
法	fa7	方法,法子
泛	fa5	
泡	pʰau5	
泡	pʰau5	~在水里
波	puo1	
泥	ni2	
注	tʂu5	
淚	luei5	
泰	tʰai5	
泳	yŋ3	
潑	pʰəʔ7	
澤	tsəʔ7	
潔	tɕiɛ7	
洋	iaŋ2	
洒	sɔ3	
洗	si3	
洛	luo7	
洞	tuəŋ5	
津	tsiŋ1	
洪	xuəŋ2	
洲	tʂn̩1	
活	xuo7	
洼	vɔ1	
派	pʰai5	
流	liou2	
淺	tsʰia3	
漿	tsiaŋ1	
澆	tɕiau5	
濁	tʂuo7	
測	tsʰəʔ7	
濟	tsi3	济南
濟	tsi5	经济
渾	xuəŋ2	~浊
滸	xu3	水~
濃	nuəŋ2	
浙	tʂəʔ7	
浦	pʰu3	
浩	xau5	
浪	laŋ5	
浮	fu2	
海	xai3	
浸	tsiŋ5	
涂	tʰu2	
消	siau2	
涉	ʂəʔ7	
涌	yŋ3	
涕	tʰi5	鼻~
濤	tʰau2	
澇	lau2	
潤	ʐuəŋ5	
澗	tɕia5	
漲	tʂaŋ3	
澀	səʔ7	
涮	ʂua5	~洗
涯	yɔ2	天崖
液	iɛ7	
淆	iau2	
淋	liŋ2	~漓,~湿
淑	ʂu7	
淘	tʰau2	
淡	ta5	
淤	y2	
淮	xuai2	
深	tʂʰəŋ2	
混	xuəŋ3	相~,~沌
淹	ia2	
添	tʰia1	
清	tsʰiŋ1	
淵	ya1	
漸	tsia5	
漁	y2	
滲	ʂəŋ5	水渗
渠	tɕʰy2	
渡	tu5	
溫	vəŋ1	
港	kaŋ3	
游	iou2	
渺	miau3	
湖	xu2	
湘	siaŋ2	
灣	va1	
溼	ʂʅ7	
潰	kʰuei2	~脓
濺	tsia5	~一身水
溉	kai5	
源	ya2	
溜	liou2	
溪	ɕi2	
溺	ni5	~死
溻	tʰa7	~湿了
滂	pʰaŋ1	~沱
滋	tsɿ1	
滑	xɔ7	
滔	tʰau1	
滚	kuəŋ3	
滯	tʂʅ2	停~,积~
滿	ma3	
濾	ly5	
濫	la5	
灘	tʰa1	
滴	ti7	
漂	pʰiau3	
漂	pʰiau5	~亮
漆	tsʰi7	
漏	ln̩5	
演	ia3	
漤	la3	~柿子,~菜
漱	ʂu5	~口
潘	pʰa1	
潭	tʰa2	
潮	tʂʰau2	
潲	ʂau5	~雨
澄	tʂʰəŋ2	
澄	tʂəŋ5	水浑,澄一澄
澡	tsau3	
激	tɕi7	
瀑	pʰu7	~布
灌	kua5	
灒	tsa5	溅
火	xuo3	
滅	miɛ7	
燈	təŋ1	
灰	xuei2	
靈	liŋ2	
灸	tɕiou3	针~
災	tsai1	
燦	tsʰa5	
爐	lu2	
炊	tʂʰuei1	
炎	ia2	
炒	tʂʰɔ3	
炕	kʰaŋ5	
炭	tʰa5	
炮	tɕy1	
炮	pʰau5	枪~
炸	tʂɔ5	(~弹)
炸	tʂɔ7	(用油~)
炸	tʂɔ5	
點	tia3	
煉	lia5	
爛	la5	
烈	liɛ7	
烘	xuəŋ2	~干
烙	luo7	
烟	ia1	
烤	kʰau3	
煩	fa2	
燒	ʂau2	
燙	tʰaŋ5	
熱	ʐəʔ7	
烹	pʰəŋ1	
焉	ia2	心不在~
焊	xa5	~铁壶
煥	xua5	
焙	pei5	焙干
焚	fəŋ2	
焦	tsiau1	
焰	ia5	
煎	tsia1	
煤	mei2	
照	tʂau5	
煮	tʂu3	
熄	si7	
熊	ɕyŋ2	
熏	ɕyŋ2	
熔	ʐuəŋ2	
熙	ɕi2	
熟	ʂu7	煮熟,熟悉
熥	tʰəŋ1	把包子~~
熨	yŋ5	
熬	au2	
燎	liau2	
燎	liau2	火~眉毛
燕	ia5	~子
燕	ia5	燕京,姓
爆	pau5	
爪	tʂɔ3	爪牙,爪子
爬	pʰɔ2	
愛	ai5	
爵	tsyɛ7	
父	fu5	
爺	iɛ2	
爸	pɔ2	(老人)
爸	pa2	(年轻人)
爽	ʂuaŋ3	
片	pia5	
版	pa3	
牌	pʰai2	
牒	tiɛ7	
牙	io2	
牛	niou2	
牡	mu2	
牢	lau2	
牧	məʔ7	
物	u5	
牲	ʂəŋ2	
牽	tɕʰia1	
特	tʰəʔ7	
犧	ɕi2	
犁	li2	
犒	kʰau5	
犬	tɕʰya3	
犯	fa5	
狀	tʂuaŋ5	
猶	iou2	
狂	kʰuaŋ2	
狄	ti7	
狐	xu2	
狗	kn̩3	
狡	tɕiau3	~诈
獨	tuo7	
獅	ʂʅ2	
獄	y5	
狸	li2	~猫
狼	laŋ2	
獵	liɛ7	
猛	məŋ3	
猜	tsʰai1	
豬	tʂu1	
獻	ɕia5	
猴	xn̩2	
猾	xɔ7	(狡~)
獺	tʰa7	水~
玄	ɕya2	
率	fei3	
率	ʂuai5	率领
率	lyɛ7	速~
玉	y5	
王	uaŋ2	
環	xua2	
現	ɕia5	
玻	puo1	~璃
珊	ʂa2	
珍	tʂəŋ1	
珠	tʂu1	
班	pa1	
球	tɕʰiou2	
理	li3	
琉	liou2	~璃
瑣	suo3	~碎
琴	tɕʰiŋ2	
琵	pʰi2	~琶
琶	pʰɔ2	(琵~)
瓊	tɕʰyŋ2	
瑕	ɕio2	
瑞	ʐuei5	
瑟	səʔ7	
璃	li5	玻~
瓜	kɔ1	
瓢	pʰiau2	
瓣	pa5	
瓤	ʐaŋ2	瓜~
瓦	uo3	动词
瓶	pʰiŋ2	
瓷	tsʰɿ2	瓷器
甘	ka2	
甚	ʂəŋ5	
甜	tʰia2	
生	ʂəŋ2	
甥	ʂəŋ2	
用	yŋ5	
甫	fu3	
甲	tɕia7	
申	ʂəŋ2	
電	tia5	
男	na2	
畫	xɔ5	
暢	tʂʰaŋ5	
界	tɕiɛ5	
畏	vei5	
留	liou2	
畜	ɕyɛ7	~牧
畜	tʂʰuo7	牲~
略	lyɛ7	
畦	ɕi2	菜~
番	fa1	几~
疆	tɕiaŋ1	
疏	ʂu2	注疏
疏	ʂu2	疏远
疑	i2	
療	liau2	
疝	ʂa5	~气
瘍	iaŋ2	溃疡
疤	pɔ1	
疥	tɕiɛ5	
疫	i5	
瘡	tʂʰuaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疹	tʂəŋ3	
疼	tʰəŋ2	
疾	tsi7	
痂	tɕio1	
病	piŋ5	
症	tʂəŋ5	
癰	yŋ1	
痒	iaŋ3	
痔	tʂʅ5	
痕	xəŋ2	
痢	li5	
痣	tʂʅ5	
痰	tʰa2	
痱	fei5	~子
癡	tʂʰʅ2	
痹	pʰi5	麻~
瘊	xn̩2	~子
瘟	vəŋ1	
瘦	ʂn̩5	
瘴	tʂaŋ5	~气
瘸	tɕʰyɛ7	~腿
癩	lai5	
癬	sya3	
登	təŋ1	
白	pai7	
百	pa7	
皂	tsau5	
的	ti7	目的
皆	tɕiɛ7	
皇	xuaŋ2	
皖	va3	安徽
皮	pʰi2	
皺	tʂn̩5	
皴	tsʰuəŋ1	脸~
皿	miŋ3	
盂	y1	
盅	tʂuəŋ1	酒~
盆	pʰəŋ2	
盈	iŋ2	
益	i5	
盞	tʂa3	
鹽	ia2	
監	tɕia1	监察。监视。监牢
盒	xɤ7	烟~
盔	kʰuei2	
盖	kai5	
盜	tau5	
盤	pʰa2	
盛	tʂʰəŋ2	~满了
盛	ʂəŋ5	兴~
盟	məŋ2	
直	tʂʅ7	
相	siaŋ2	互相
相	siaŋ5	相貌
盼	pʰa5	
盾	tuəŋ5	矛~
省	ʂəŋ3	~长
省	siŋ3	反省
省	ʂəŋ3	节~
眉	mei2	
看	kʰa5	~守~见
真	tʂəŋ1	
眠	mia2	
眨	tʂa7	
眩	ɕya5	
眶	kʰuaŋ5	
眷	tɕya5	
眼	ia3	
着	tʂəʔ7	睡~,附~
睜	tʂəŋ1	
睛	tsiŋ1	眼~
睡	ʂuei5	
督	tuo7	
睬	tsʰai3	
瞅	tʂʰn̩3	
瞎	ɕia7	
瞞	ma2	
瞧	tsʰiau2	
瞪	təŋ5	~眼
瞭	liau3	
瞳	tʰuəŋ2	
瞻	tʂa1	
瞿	tɕʰy2	
矛	mau2	
知	tʂʅ1	
矯	tɕiau3	
短	tua3	
矮	ai3	
石	ʂʅ7	
礦	kʰuaŋ5	
碼	mɔ3	(~子)
砍	kʰa2	
研	ia2	
磚	tʂua1	
硯	ia5	
破	pʰuo5	
硃	tʂu1	
硝	siau2	
硫	liou2	~黄
硬	iŋ5	
確	tɕʰyo7	
碎	suei5	
碑	pei1	
碗	va3	
碟	tiɛ7	
碧	pi7	
碾	nia3	
磁	tsʰɿ2	~石
磕	kʰɤ7	
磨	muo2	~刀
磨	muo5	~面,石~
磷	liŋ2	
示	ʂʅ5	
禮	li3	
社	ʂɤ5	
祈	tɕʰi2	
祖	tsu3	
祝	tʂu5	
神	ʂəŋ1	
祠	tsʰɿ2	
祥	siaŋ2	
票	pʰiau5	车~
祭	tsi5	
禱	tau3	
禍	xuo5	
禁	tɕiŋ5	~不住
禁	tɕiŋ5	~止
祿	luo7	
禪	ʂa5	~让
福	fuo7	
禹	y3	
离	li5	~别
离	li5	~开半寸
禽	tɕʰiŋ2	
禾	xɤ2	
秀	siou5	
私	sɿ2	
秃	tʰuo7	
秉	piŋ3	
秋	tsʰiou1	~天,~千
種	tʂuəŋ5	~树
種	tʂuəŋ3	种类
科	kʰɤ1	
秒	miau3	
秕	pi5	~子,~谷
租	tsu1	
秤	tʂʰəŋ5	一秤~
秦	tsʰiŋ2	
秧	iaŋ1	
秩	tʂʅ7	
秫	ʂuo7	
積	tsi7	
稱	tʂʰəŋ1	~呼,~重
稱	tʂʰəŋ5	相~
秸	tɕiɛ7	麦~
移	i2	
穢	xuei1	
稀	ɕi2	
程	tʂʰəŋ2	
税	ʂuei5	
稚	tʂʅ5	幼雅
稠	tʂʰn̩2	
穩	vəŋ3	
稻	tau5	
稼	tɕia7	
稽	tɕi2	
稿	kau3	
穴	ɕyɛ7	
究	tɕiou5	
窮	tɕʰyŋ2	
空	kʰuəŋ1	~虚
空	kʰuəŋ5	~缺
穿	tʂʰua1	
突	tʰuo7	
窄	tʂəʔ7	
窯	iau2	
窖	tɕiau5	
窗	tʂʰuaŋ1	
窘	tɕyŋ3	
竄	tsʰua2	
窩	uo1	
窟	kʰuo7	~窿
窠	kʰɤ1	
窺	kʰuei1	
立	li7	
豎	ʂu5	
站	tʂa5	立
站	tʂa5	车站
競	tɕiŋ5	~赛
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰuəŋ2	
端	tua5	
竹	tʂuo7	
竿	ka1	竹~
笊	tʂɔ5	~篱
笑	siau5	
筆	pi7	
笛	ti7	
笠	li7	
符	fu2	
笨	pəŋ5	
第	ti5	
籠	luəŋ2	
等	təŋ3	
筋	tɕiŋ1	
筏	fɔ7	
筐	kʰuaŋ1	
筑	tʂuo7	
筒	tʰuəŋ2	
答	ta7	
策	tsʰəʔ7	
篩	ʂai2	~子
箏	tʂəŋ1	
筵	ia5	
筷	kʰuai5	
籌	tʂʰn̩2	
签	tsʰia1	
簡	tɕia3	
箅	pi5	~子
箍	ku1	
算	sua5	
管	kua3	
籮	luo2	
簫	siau2	
箭	tsia5	
箱	siaŋ2	
篆	tʂua5	
篇	pʰia1	
簍	ln̩3	
篡	tsʰua5	
籃	la2	
籬	li5	
篷	pʰəŋ2	
簧	xuaŋ2	锁~
簪	tsa1	
簸	puo3	~一~
簸	puo5	~箕
簿	pu5	
籍	tsi7	
米	mi3	
類	luei5	
粉	fəŋ3	
粒	li7	
粗	tsʰu1	
粘	tʂa1	粘贴
粤	yo7	
糞	fəŋ5	
糧	liaŋ2	
粱	liaŋ2	
粹	suei5	纯~
精	tsiŋ1	
糕	kau1	
糖	tʰaŋ2	
糙	tsau5	粗~,~米
糜	mi2	
糟	tsau1	
糠	kʰaŋ1	
糯	nuo5	~米
系	ɕi5	
系	tɕi5	~鞋带
系	ɕi5	连系
素	su5	
索	suo7	绳~
緊	tɕiŋ3	
紫	tsɿ3	
累	luei3	~积
累	luei5	连~
絮	sy5	
繁	fa2	
纔	tsʰai2	
糾	tɕiou1	~缠
糾	tɕiou3	~正
紅	xuəŋ2	
約	yo7	
級	tɕi7	
紀	tɕy5	~律
紀	tɕi5	世起,年纪
紉	ʐəŋ5	缝~
純	tʂʰuəŋ2	
紗	ʂɔ2	
綱	kaŋ1	
納	na7	
縱	tsuəŋ5	~横
縱	tsuəŋ5	放纵
紛	fəŋ1	
紙	tʂʅ3	
紋	vəŋ2	
紡	faŋ3	
紐	niou3	
線	sia5	
練	lia5=	
練	lya5-	练习
組	tsu3	
細	si5	
織	tʂʅ7	
終	tʂuəŋ1	
絆	pʰa5	
紹	ʂau5	
經	tɕiŋ1	
經	tɕiŋ5	经纬,经线
綁	paŋ3	
絨	ʐuəŋ2	
結	tɕiɛ7	
繞	ʐau3	围~,~线
繪	xuei5	
給	kei7	给你。供给
絡	luo7	
絶	tsyo7	
絞	tɕiau3	
統	tʰuəŋ2	
絹	tɕya2	
繡	siou5	
繼	tɕi5	
績	tsi7	
緒	sy5	
續	sy5	
綽	tʂʰuo5	宽~
繩	ʂəŋ2	
維	vei2	
綿	mia2	
綢	tʂʰn̩2	
綜	tsuəŋ5	综合
綻	tʂa5	破绽
綠	luo7	
綴	tʂuei5	
纜	la5	
緩	xua3	
縷	ly3	
編	pia1	
緣	ya2	
縛	fəʔ7	
縫	fəŋ5	一条缝
縫	fəŋ2	缝衣服
纏	tʂʰa2	
縮	suo7	
繮	tɕiaŋ1	~绳
繳	tɕiau3	上~
缸	kaŋ1	
缺	tɕʰyo7	
罐	kua5	
网	uaŋ3	
罕	xa3	
羅	luo2	
罰	fɔ7	
罷	pɔ5	
罩	tʂau5	
罪	tsuei5	
署	ʂu2	专~
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羞	siau2	
羡	sia5	
群	tɕʰyŋ2	
羹	kəŋ1	
羽	y3	
翅	tʂʰʅ5	
翠	tsuei5	
翡	fei3	
翰	xa5	
翻	fa1	
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	tʂɤ3	
而	ɭ̩2	
耍	ʂɔ3	
耍	ʂua7	
耐	nai5	
耕	kəŋ1	
耗	xau5	
耙	pɔ5	(犁~,~地)
耬	ln̩2	播种用的农具
耩	tɕiaŋ3	~地
耳	ɭ̩2	
耶	iɛ2	
耻	tʂʰʅ3	
耽	ta1	
耿	kəŋ3	
聶	niɛ7	姓
聊	liau2	
聾	luəŋ2	
職	tʂʅ7	
聒	kuo7	~耳朵
聯	lia2	
聘	pʰiŋ5	
聚	tsy5	
聰	tsʰuəŋ1	
肅	suo7	
肆	sɿ5	
肉	ʐn̩5	
肋	ləʔ7	
肌	tɕi1	
肘	tʂn̩3	
肚	tu5	
肚	tu5	鱼肚。猪肚
肝	ka1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肩	tɕia1	
肪	faŋ2	
肪	faŋ2	脂~
肯	kʰəŋ3	
育	yɛ7	
肺	fei5	
腎	ʂəŋ5	
腫	tʂuəŋ3	
脹	tʂaŋ5	
脅	ɕiɛ7	
胃	vei5	
膽	ta3	掸毛绑子
背	pei5	
背	pei5	~诵
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei2	胚胎
勝	ʂəŋ5	~败
勝	ʂəŋ5	胜任
胞	pau1	
胡	xu2	
胳	kəʔ7	~膊
膠	tɕiau1	
胸	ɕyŋ2	
能	nəŋ2	
脂	tʂʅ1	
脆	tsʰuei5	
脉	ma7	
脊	tsi7	
脏	tsaŋ1	不干净
臍	tɕʰi2	
腦	nau3	
膿	nuəŋ2	
脚	tɕyo7	
脯	pʰu3	杏~
脯	pʰu2	胸~
脱	tʰuo7	
臉	lia3	
脾	pʰi2	
臘	la7	
腌	ia7	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腥	siŋ2	
腮	sai1	
腰	iau1	
腹	tu5	
膩	ni5	
騰	tʰəŋ2	
腿	tʰuei3	
膏	kau1	
膜	muo7	
膝	si7	
膨	pʰəŋ2	~胀
臀	tʰuəŋ2	
臂	pi7	
臣	tʂʰəŋ2	
自	tsɿ5	
臭	tʂʰn̩5	香~
至	tʂʅ5	
致	tʂʅ5	
臺	tʰai2	
臻	tʂəŋ1	
舀	iau3	~水
舅	tɕiou5	
舌	ʂɤ7	
舍	ʂɤ5	
舒	ʂu2	
舔	tʰia3	以舌取物
舜	ʂuəŋ5	
舞	u3	
舟	tʂn̩1	
航	xaŋ2	
般	pa1	
舵	tuo5	
船	tʂʰua2	
艇	tʰiŋ3	
良	liaŋ2	
艱	tɕia1	
色	ʂəʔ7-	
色	səʔ7=	
藝	i2	
艾	ai5	
節	tsiɛ7	
芋	y5	
芒	maŋ2	
芙	fu2	~蓉
芝	tʂʅ1	
芥	tɕiɛ5	
蘆	lu2	~苇
芬	fəŋ1	
芭	pɔ1	
花	xɔ2	
芳	faŋ2	
芹	tɕʰiŋ2	
芽	io2	
葦	vei3	芦~
蒼	tsʰaŋ1	
苏	su2	
苔	tʰai1	舌~。青~
苗	miau2	
苟	kn̩3	
若	ʐuo7	
苦	kʰu3	
英	iŋ1	
茂	mau5	
范	fa5	师~
范	fa5	模~
茄	tɕʰiɛ7	茄子
茅	mau2	
莖	tɕiŋ2	
繭	tɕia3	蚕~
茫	maŋ2	
茬	tʂʰɔ2	
茴	xuei2	~香
茶	tʂʰɔ2	
茸	ʐuəŋ2	参~
荀	syŋ2	
草	tsʰau3	
薦	tsia5	
荒	xuaŋ2	
荔	li5	~枝
蕩	taŋ5	放~
榮	ʐuəŋ2	
葷	xuəŋ2	
蔭	iŋ3	屋子很~
藥	yo7	
荷	xɤ2	~花
荷	xɤ2	薄~
莫	muo5	
蓮	lia2	
获	xuo7	
鶯	iŋ1	
莽	maŋ3	
菊	tɕyɛ7	
菌	tɕyŋ2	
菖	tʂʰaŋ1	
菜	tsʰai5	
菠	puo1	~菜
菩	pʰu2	~萨
菱	liŋ2	
萄	tʰau2	
萌	məŋ5	
萍	pʰiŋ2	
萎	vei2	气~,买卖~
螢	iŋ2	
營	iŋ2	
薩	sa7	
落	luo7	
著	tʂu5	显~
葚	ʂəŋ5	桑~
葛	kəʔ7	
董	tuəŋ3	
葬	tsaŋ5	
葱	tsʰuəŋ1	
葵	kʰuei2	
蔣	tsiaŋ3	
蒙	məŋ2	
蒜	sua5	
蒲	pʰu2	
蒸	tʂəŋ1	
蒿	xau2	蓬~
蓄	ɕy5	储~
蓉	ʐuəŋ2	芙~
蓑	suo2	
蓖	pi5	~麻
藍	la2	
蓬	pʰəŋ2	
蔓	ma5	瓜~子
蔡	tsʰai5	
蔫	ia1	食物不新鲜
蔬	ʂu2	
藹	ai3	
蔽	pi5	
蕉	tsiau1	芭~,香~
蕊	ʐuei5	
薄	puo7	
薄	puo5	~荷
薅	xau2	除田草
薑	tɕiaŋ1	
薛	syɛ7	
薪	siŋ2	
薯	ʂu2	白~
薰	ɕyŋ2	
藉	tsiɛ5	
藉	tɕiɛ5	
藉	tsi7	狼~
藏	tsaŋ5	西~
藏	tsʰaŋ2	隐~
藐	miau3	
藕	n̩3	
藤	tʰəŋ2	
藩	fa1	
藿	xuo5	~香
蘸	tʂa5	~酱油
虎	xu3	
虜	lu3	
虐	nyɛ5	
慮	ly5	
虚	ɕy2	
虞	y2	
虹	xuəŋ2	
虹	xuəŋ2	天上的~
雖	suei2	
蝦	ɕio2	鱼虾
蝦	ɕio2	鱼~
蝕	ʂʅ7	
蟻	i5	
蚊	vəŋ2	
蚌	paŋ5	
蠶	tsʰa2	
蚣	kuəŋ1	蜈蚣
蚤	tsau3	
蛀	tʂu5	
蛆	tsʰy1	生~
蛇	ʂɤ1	
蛋	ta5	
蛙	vɔ1	
蟄	tʂəʔ7	惊~
蛾	ɤ2	
蜀	ʂu7	
蜂	fəŋ1	
蜇	tʂəʔ7	蝎子蜇人
蜈	u2	~蚣
蜓	tʰiŋ2	蜻~
蜕	tʰuei5	蛇~皮。蝉~
蝸	uo1	
蜘	tʂʅ1	~蛛
蜜	mi7	
蠟	la7	
蜻	tsʰiŋ1	~蜓
蠅	iŋ2	
蠍	ɕiɛ7	
蝗	xuaŋ2	
蝙	pʰia1	
蝠	fuo7	
蝶	tiɛ7	
螃	pʰaŋ2	~蟹
融	ʐuəŋ2	
螳	tʰaŋ2	~螂
螺	luo2	~蛳
蟀	ʂuai5	
蟆	ma7	蛤~
蟒	maŋ3	
蟹	ɕiɛ3	
蠢	tʂʰuəŋ3	
血	ɕiɛ7	
行	ɕiŋ2	
行	ɕiŋ2	行为行品
行	xaŋ2	行列,银行
銜	ɕia2	
街	tɕiɛ1	
衙	io2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piau3	
衰	ʂuai2	
袁	ya2	
襖	au3	
袋	tai5	
袍	pʰau2	
袖	siou5	
袜	va7	
被	pei5	被卧,被子
被	pei5	被打,被迫
襲	si7	
袴	kʰu5	
裁	tsʰai2	
裂	liɛ7	
裝	tʂuaŋ1	
裌	tɕia7	~衣
裕	y5	
裙	tɕʰyŋ2	
褲	kʰu5	
裳	ʂaŋ1	
裸	luo2	~体
裹	kuo3	
製	tʂʅ5	~衣
褒	pau2	~奖
褚	tʂʰu2	姓
褥	ʐu7	
褪	tʰuei5	
襄	siaŋ2	
襟	tɕiŋ1	
西	si2	
要	iau1	~求
要	iau5	想要,重要
覆	fuo7	反~
見	tɕia5	
觀	kua1	
規	kuei1	
視	ʂʅ5	
覽	la3	
覺	tɕiau5	睡~
