#漢字	音標	解釋
𧾷	tsʊʔ7	çȯ̆
㢵	xiɛʔ7	hiĕ
㣔	tiŋ1	tīm
㣚	tʰuŋ1	ʻtūm
㣻	i5	í
㣻	ni5	ní
㣻	ŋai5	gái
㤏	tʰuŋ2	ʻtûm
㤕	tʂɵʔ7	chụ̆
㤜	xʏʔ7	hiụ̆
㤝	tʂʰuŋ1	ʻchūm
㤮	kuaŋ5	kuám
㥄	liŋ2	lîm
㥏	tʰiɛn3	ʻtièn
㥚	y2	iụ̂
㥚	y3	iụ̀
㥛	kɪʔ7	kiė̆
㥜	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
㥜	uəi5	uéi
㥯	in1	īn
㥯	in3	ìn
㥶	sɛʔ7	sĕ
㥾	nɪʔ7	niė̆
㦃	tʂʰan1	ʻchān
㦍	u5	ú
㦍	ŋu5	gú
㦧	tsʰan3	ʻçàn
㦬	lɔ3	lò
㦴	kɛʔ7	kĕ
㦸	kɪʔ7	kiė̆
㦹	iaŋ2	iâm
㦼	ʂuaŋ5	xoám
㦼	ʂuaŋ5	xuám
㧁	kʰɔʔ7	ʻkŏ
㧎	ia2	iâ
㧗	tsʰi3	ʻçì
㧻	tʂɔʔ7	chŏ
㨄	`tʂau3`	chào
㨏	tʰan1	ʻtān
㨥	naʔ7	nă
㨷	kin5	kín
㨻	san3	sàn
㨻	ʂan3	xàn
㨾	iaŋ5	iám
㩥	san1	sān
㩧	pɔʔ7	pŏ
㩳	suŋ3	sùm
㩴	kʰy2	ʻkiụ̂
㪉	kɔʔ7	kŏ
㪺	ky1	kiụ̄
㫁	tuɔn3	tuòn
㫁	tuɔn5	tuón
㫃	iɛn3	ièn
㫖	tʂɨ3	chì
㫲	puəi5	poéi
㫼	tʂɨ5	chí
㬒	maŋ3	màm
㬪	tiɛʔ7	tiĕ
㬫	iɛn5	ién
㬮	nan5	nán
㬱	tsan3	çàn
㬺	tʰəŋ2	ʻtêm
㬻	xuaŋ3	hoàm
㭁	ɻəŋ5	jém
㭿	ŋaŋ2	gâm
㮀	xan2	hân
㮃	ɻui2	jûi
㮇	tʰiɛn5	ʻtién
㮍	tsiɛn3	çièn
㮘	sʊʔ7	sȯ̆
㮚	lɪʔ7	liė̆
㮦	sɔʔ7	sŏ
㮽	puɔn1	puōn
㯆	tʂʰan3	ʻchàn
㯋	iŋ3	ìm
㯳	kiŋ3	kìm
㯺	xiɛn3	hièn
㯻	kuən3	kuèn
㰇	san1	sān
㰍	luŋ2	lûm
㰚	li2	lî
㰦	kʰy5	ʻkiụ́
㱊	iəu1	iēu
㱔	sɔ1	sō
㱟	pʰi1	ʻpī
㱡	səŋ3	sèm
㱡	siŋ3	sìm
㱥	ləŋ5	lém
㲉	kʰiɔʔ7	ʻkiŏ
㲚	ʂa1	xā
㲠	mau2	mâo
㲨	ɻuŋ2	jûm
㲪	təŋ1	tēm
㲲	tiɛʔ7	tiĕ
㲹	ki3	kì
㳁	tsɛʔ7	çĕ
㳙	kyɛn1	kiuēn
㴐	miɛn5	mién
㴥	tsʰiau5	ʻçiáo
㴬	siɛ5	sié
㴲	sɯ1	su̇̄
㴸	ʂɛn3	xèn
㴸	ʂɛn3	xièn
㵝	i5	í
㵟	ʋi2	vî
㵟	ʋi2	ûi 校註：ui 轄字同 vi，音標按 vi 轉寫
㵧	kɔʔ7	kŏ
㵩	i5	í
㵺	pʰai2	ʻpâi
㵿	iau3	iào
㵿	xiau3	hiào
㶇	xuŋ5	húm
㶏	in3	ìn
㶑	liɛn3	lièn
㶑	liɛn5	lién
㶞	naŋ3	nàm
㶴	tʂʰɨ3	ʻchì
㶼	ŋai1	gāi
㶼	iai1	iāi
㶿	pʰʊʔ7	ʻpȯ̆
㷈	ɔʔ7	ŏ
㷭	fuŋ1	fūm
㷸	iɛʔ7	iĕ
㸂	sui5	súi
㸅	tsɪʔ7	çiė̆
㸏	mi2	mî
㸤	pʰiɛn5	ʻpién
㸼	fuŋ1	fūm
㹁	liaŋ5	leám
㹌	tʂʰan3	ʻchàn
㹎	lui2	lûi
㹛	ɻau2	jâo
㹶	tʰiŋ2	ʻtîm
㹻	uɔ1	uō
㺌	xiɛn3	hièn
㺑	san1	sān
㺑	ʂan1	xān
㺑	ʂan3	xàn
㻌	tʰu1	ʻtū
㻍	u2	û
㻍	ŋu2	gû
㻛	`tʂʰɨŋ3`	ʻchìm
㻬	tʂʰʉ1	ʻchụ̄
㼄	ki5	kí
㼚	kaŋ1	kām
㼟	pɛʔ7	pĕ
㼡	ʂʉ2	xụ̂
㼰	pʰi2	ʻpî
㼶	y2	iụ̂
㼶	iəu2	iêu
㼽	ʂuaŋ3	xoàm
㼽	tʂʰuaŋ3	ʻchuàm
㼽	ʂuaŋ3	xuàm
㼾	lu2	lû
㼿	tʂuŋ5	chúm
㽘	kaŋ1	kām
㽘	kaŋ3	kàm
㽥	ɻəu2	jêu
㽦	kyn1	kiūn
㽬	pɪʔ7	piė̆
㾐	li5	lí
㾓	yɛn1	iuēn
㾕	sən3	sèn
㾕	ʂɨn3	xìn
㾛	tsʰin3	ʻçìn
㾪	səŋ3	sèm
㿃	tʂɨ5	chí
㿃	tai5	tái
㿮	iaŋ5	iám
䀀	fan2	fân
䀌	xɪʔ7	hiė̆
䀠	kuaŋ5	kuám
䀣	maʔ7	mă
䀶	liaŋ5	leám
䀸	tʂɨ5	chí
䀽	iɛn2	iên
䁁	liaŋ5	leám
䁆	ŋan3	gàn
䁑	ʂəʔ7	xė̆
䁔	xuan3	hoàn
䁔	xuɔn3	huòn
䁔	xyɛn1	hiuēn
䁔	xyɛn3	hiuèn
䁗	kʰi1	ʻkī
䁘	iau3	iào
䁩	y2	iụ̂
䁾	miɛʔ7	miĕ
䂌	tʂʰuŋ1	ʻchūm
䂎	tsuɔn3	çuòn
䂦	tʂɨn3	chìn
䂬	kuŋ3	kùm
䂮	liɔʔ7	liŏ
䂱	ʂui5	xúi
䃂	kuən3	kuèn
䃉	min2	mîn
䃔	xuŋ2	hûm
䃘	kʰəŋ1	ʻkēm
䃜	i1	ī
䃣	xuəi3	hoèi
䃧	luŋ2	lûm
䃫	tan3	tàn
䃭	kan3	kàn
䃴	tʂʉ1	chụ̄
䃺	mɔ2	mô
䃾	pi3	pì
䄁	i5	í
䄇	tʂʰɨŋ2	ʻchîm
䄇	tʂʰɨŋ3	ʻchìm
䄈	ʂʉ5	xụ́
䄏	iau1	iāo
䄘	pʰəŋ2	ʻpêm
䄜	li2	lî
䄠	tʂɛn3	chèn
䄠	tʂɛn5	chén
䄠	tʂɛn3	chièn
䄠	tʂɛn5	chién
䄤	lai5	lái
䄫	kʰi3	ʻkì
䄮	fu1	fū
䅃	kʰiuŋ2	ʻkiûm
䅌	kyɛn1	kiuēn
䅗	ɻui2	jûi
䅘	li2	lî
䅘	lai2	lâi
䅳	tsʰu2	ʻçû
䅳	tʂʰu2	ʻchû
䅷	tʰu2	ʻtû
䅻	li2	lî
䆃	`tau3`	tào
䆃	tau5	táo
䆅	tsɯ1	çu̇̄
䆉	pa5	pá
䆍	luŋ2	lûm
䆏	fi5	fí
䆓	ɻuɛn3	juèn
䆟	kʰɔʔ7	ʻkŏ
䆫	tʂʰuaŋ1	ʻchoām
䆫	tʂʰuaŋ1	ʻchuām
䆱	tʰan2	ʻtân
䇔	lɔ3	lò
䇢	kʰu3	ʻkù
䇾	iɛn2	iên
䇾	xyn5	hiún
䈀	san5	sán
䈙	tʂəu3	chèu
䈚	tʰai2	ʻtâi
䈚	`tai3`	tài
䈚	tai5	tái
䈣	lu5	lú
䈲	puɔn1	puōn
䈳	taʔ7	tă
䈴	kʰiɛn5	ʻkién
䈺	tʂuŋ1	chūm
䉉	ku1	kū
䉭	liɛʔ7	liĕ
䉳	siɛn1	siēn
䉳	siɛn3	sièn
䉷	iɛn2	iên
䉷	niɛn2	niên
䊆	kiəu3	kièu
䋊	tʂɨŋ1	chīm
䋐	yɛʔ7	iuĕ
䋕	ɻɨn2	jîn
䋙	ɯ˞3	ùl
䋛	mi3	mì
䋪	ɔ1	ō
䋼	tʰiŋ1	ʻtīm
䋽	paŋ3	pàm
䋽	fuŋ3	fùm
䋿	uəi1	goēi 校註：goei 轄字同 uei，音標按 uei 轉寫
䋿	uəi1	uēi
䌈	tʰaʔ7	ʻtă
䌓	pʰuɔn2	ʻpuôn
䌖	tʂui1	chūi
䌛	iəu2	iêu
䌥	in3	ìn
䌨	tsʰaʔ7	ʻçă
䌨	tsʰai5	ʻçái
䌳	ʂɨ1	xī
䌽	tsʰai3	ʻçài
䍃	iau2	iâo
䍔	xuŋ2	hûm
䍘	mi2	mî
䍙	ʋu3	vù
䍙	muəi2	mûi
䍙	muəi2	moêi
䍡	lʊʔ7	lȯ̆
䍢	ʋu2	vû
䍥	lɪʔ7	liė̆
䍿	xuaŋ2	hoâm
䎂	pau3	pào
䎒	`tsiɛn3`	çièn
䎖	tsəŋ1	çēm
䎘	sʊʔ7	sȯ̆
䎦	iɛn3	ièn
䎧	pʰəu2	ʻpêu
䎫	tsʰiaŋ5	ʻçiám
䎸	u5	ú
䏁	tsai3	çài
䏄	tʂəʔ7	chė̆
䏕	ɻɨn5	jín
䏠	kʰɪʔ7	ʻkiė̆
䏧	pa3	pà
䏯	tʂɨ5	chí
䏰	ɻɨn3	jìn
䏺	pʰaŋ1	ʻpām
䏽	pʰəu3	ʻpèu
䐑	tʂɛʔ7	chĕ
䐲	tʂəʔ7	chė̆
䐳	y2	iụ̂
䑋	ɻaŋ3	jàm
䑔	fi5	fí
䑘	tsʰɔ2	ʻçô
䑳	lun2	lûn
䒀	pʰu2	ʻpû
䒃	tsʰau5	ʻçáo
䒌	miŋ5	mím
䒼	kʰiʊʔ7	ʻkiȯ̆
䔇	kʰi3	ʻkì
䔇	xuəi5	hoéi
䔏	tsʰəu5	ʻçéu
䔑	siɛ2	siê
䔖	liŋ2	lîm
䔟	i2	î
䔩	sʊʔ7	sȯ̆
䔩	səu3	sèu
䔺	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
䔺	uəi3	uèi
䔿	tsun3	çùn
䕓	tʂʰaʔ7	ʻchă
䕞	laŋ5	lám
䕩	lau3	lào
䕸	kiai1	kiāi
䕺	tsʰuŋ2	ʻçûm
䕻	li2	lî
䕻	li5	lí
䖆	niaŋ5	niám
䖥	məu2	mêu
䖳	tʂʰa5	ʻchá
䖵	kuən1	kuēn
䗁	kʰi1	ʻkī
䗁	`ki3`	kì
䗁	ki5	kí
䗪	tʂɛ5	ché
䘆	xiɛn3	hièn
䘏	sʊʔ7	sȯ̆
䘓	kʰan5	ʻkán
䘮	saŋ1	sām
䘽	ni2	nî
䘽	niɛʔ7	niĕ
䘿	kʏʔ7	kiụ̆
䙅	iau1	iāo
䙒	tʂʰʊʔ7	ʻchȯ̆
䙕	suŋ3	sùm
䙡	kʰuəi5	ʻkuéi
䙬	iŋ5	ím
䙾	ʂɨ1	xī
䚎	tʂʰuaŋ5	ʻchoám
䚎	tʂʰuaŋ5	ʻchuám
䚕	li5	lí
䚛	xʊʔ7	hȯ̆
䚛	xʊʔ7	huȯ̆
䚡	sai1	sāi
䚢	tʂʰɛʔ7	ʻchĕ
䚦	tʂʰɨ3	ʻchì
䛐	tsʰɯ2	ʻçu̇̂
䛐	sɯ2	su̇̂
䛢	tʰʊʔ7	ʻtȯ̆
䛪	kʰiuŋ5	ʻkiúm
䛭	xəŋ5	hém
䛭	xiŋ5	hím
䛮	`kiəu3`	kièu
䛵	ʂəu5	xéu
䛵	ʂəu5	xiéu
䜈	tʂʰau1	ʻchāo
䜈	tʂʰau5	ʻcháo
䜋	xuəi5	hoéi
䜑	u5	ú
䜟	tʂʰɨn5	ʻchín
䜭	ɻui5	júi
䜺	tsʰɛʔ7	ʻçĕ
䝁	lau2	lâo
䝏	ləu2	lêu
䝟	iaʔ7	iă
䝤	tʂau3	chào
䝪	sɔ3	sò
䝪	su3	sù
䝮	xyɛn5	hiuén
䝷	tʂɨ1	chī
䝼	tsiŋ5	çím
䞣	iɛ5	ié
䞣	tsʰiɛ5	ʻçié
䟗	`ʂɨ3`	xì
䟡	`ʂɨ3`	xì
䟫	tsʰəŋ2	ʻçêm
䟫	tʂʰəŋ2	ʻchêm
䟴	tʂɨn1	chīn
䟴	tʂɨn5	chín
䠊	fi5	fí
䠓	tsʰʊʔ7	ʻçȯ̆
䠞	tsʊʔ7	çȯ̆
䠟	tiɛʔ7	tiĕ
䠷	tʰiau3	ʻtiào
䠻	kʰiuŋ5	ʻkiúm
䡇	uan5	uán
䡇	uɔn5	uón
䡈	kiɔʔ7	kiŏ
䡊	fan3	fàn
䡌	xuŋ2	hûm
䡝	yn3	iùn
䡝	uən3	uèn
䡝	yɛn1	iuēn
䡥	iuŋ2	iûm
䡨	tsʰɯ1	ʻçu̇̄
䡨	tsʰai1	ʻçāi
䡨	tʂʰai1	ʻchāi
䡬	muɔn5	muón
䡯	tsuŋ3	çùm
䡲	tʂan5	chán
䡴	tʂʰuŋ1	ʻchūm
䡴	tʂuaŋ5	choám
䡴	tʂuaŋ5	chuám
䡾	ŋɔʔ7	gŏ
䡾	iaʔ7	iă
䡾	niɛʔ7	niĕ
䡾	niɔʔ7	niŏ
䢅	ʂɨn2	xîn
䢔	xɔʔ7	hŏ
䢼	kuŋ1	kūm
䣊	taŋ3	tàm
䣍	iɛn3	ièn
䣕	ma5	má
䣙	pʰuəi2	ʻpoêi
䣜	tsʰɔ2	ʻçô
䣼	liaŋ5	leám
䤇	səu1	sēu
䤉	mɪʔ7	miė̆
䤖	pau5	páo
䤥	kuəi3	kuèi
䤨	pʰɪʔ7	ʻpiė̆
䤬	sɔ1	sō
䤴	xan2	hân
䥈	mu3	mù
䥈	maŋ3	màm
䥝	iau2	iâo
䥴	xi2	hî
䥴	xuəi2	hoêi
䦖	xiɛʔ7	hiĕ
䦘	xiɛn3	hièn
䦠	tʂʰʊʔ7	ʻchȯ̆
䦪	iaʔ7	iă
䦱	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
䦱	kʰuai1	ʻkuāi
䦱	uəi3	uèi
䦳	xiaŋ5	hiám
䧄	kɔʔ7	kŏ
䧅	i2	î
䧴	tʂɨ1	chī
䧵	tʂɨn5	chín
䨑	tʰi2	ʻtî
䨞	y3	iụ̀
䨠	ɔʔ7	ŏ
䨠	ŋai3	gài
䨨	tʂui1	chūi
䨲	nəu2	nêu
䨲	ny5	niụ́
䨴	tui5	túi
䩚	ti1	tī
䩞	tʰiɛʔ7	ʻtiĕ
䩭	ki1	kī
䩵	yn5	iún
䩵	xyɛn5	hiuén
䪌	tsʰan2	ʻçân
䪎	sui1	sūi
䪐	pi5	pí
䪒	tʂʉ5	chụ́
䪓	tʂʰɛn5	ʻchén
䪜	tʂʰɛn5	ʻchién
䪫	xəŋ2	hêm
䫇	ɻɛn2	jên
䫏	tsʊʔ7	çȯ̆
䫜	iau1	iāo
䫤	miŋ2	mîm
䫥	uəi3	goèi 校註：goei 轄字同 uei，音標按 uei 轉寫
䫻	ʏʔ7	iụ̆
䬂	yɛʔ7	iuĕ
䬅	li5	lí
䬍	xiʊʔ7	hiȯ̆
䬑	fʊʔ7	fȯ̆
䬝	xuŋ2	hûm
䬞	tʰau2	ʻtâo
䬬	iaŋ3	iàm
䬬	iaŋ5	iám
䬯	niɛn2	niên
䬳	puɔn3	puòn
䬾	tʰi2	ʻtî
䭂	ɪʔ7	iė̆
䭇	i5	í
䭈	kiɛn1	kiēn
䭚	tʂaŋ1	chām
䭮	fʊʔ7	fȯ̆
䭲	i3	ì
䭷	mau2	mâo
䭸	fu5	fú
䭹	ŋaŋ2	gâm
䭾	ta5	tá
䭾	tʰɔ2	ʻtô
䭾	tɔ5	tó
䮗	ŋan5	gán
䮞	tʂʰʉn3	ʻchùn
䮧	xan2	hân
䮴	təŋ5	tém
䯀	niɛʔ7	niĕ
䯊	kʰia5	ʻkiá
䯤	kuəi5	kuéi
䯰	kiai5	kiái
䯸	tsʰɯ5	ʻçu̇́
䰂	tsʰai3	ʻçài
䰄	sai1	sāi
䰉	pʰuɔn2	ʻpuôn
䰩	tʂʰɛ3	ʻchè
䱔	iəu2	iêu
䱥	tʂɨ5	chí
䱴	kəŋ1	kēm
䱷	y5	iụ́
䲊	tʰɔ3	ʻtò
䲖	tʂʰəu2	ʻchêu
䲛	məŋ5	mém
䳇	məu3	mèu
䳌	kyɛn1	kiuēn
䳏	kuəi5	kuéi
䳟	miŋ2	mîm
䳡	tʂui1	chūi
䳢	kʰi2	ʻkî
䳭	tsɪʔ7	çiė̆
䳺	ŋan1	gān
䴉	xuan2	hoân
䴚	kaŋ3	kàm
䴟	xuɔn2	huôn
䴠	iau3	iào
䴢	ŋau3	gào
䴢	kʰiŋ5	ʻkím
䴢	kin1	kīn
䴧	uəi1	goēi 校註：goei 轄字同 uei，音標按 uei 轉寫
䴧	uəi1	uēi
䴲	mɔʔ7	mŏ
䵀	sɔ3	sò
䵒	nɪʔ7	niė̆
䵝	i5	í
䵣	taʔ7	tă
䵬	tʰaʔ7	ʻtă
䵴	kʰiŋ5	ʻkím
䵴	xiŋ5	hím
䵾	fu1	fū
䵿	tʰiɛʔ7	ʻtiĕ
䶂	ʂɔʔ7	xŏ
䶘	lɪʔ7	liė̆
䶜	kʊʔ7	kȯ̆
䶦	sɛʔ7	sĕ
䶪	tsʰaʔ7	ʻçă
䶲	ɻɛn2	jên
䶴	tʂʰui1	ʻchūi
一	ɪʔ7	iė̆
丁	tsəŋ1	çēm
丁	tʂəŋ1	chēm
丁	tiŋ1	tīm
七	tsʰɪʔ7	ʻçiė̆
万	ʋan5	ván
丈	`tʂaŋ3`	chàm
三	tsʰan1	ʻçān
三	san1	sān
三	san5	sán
上	ʂaŋ3	xàm
上	ʂaŋ5	xám
下	`xu3`	hù
下	xia5	hiá
不	pʊʔ7	pȯ̆
不	fʊʔ7	fȯ̆
不	fu1	fū
不	fəu2	fêu
不	fəu3	fèu
不	fuəʔ7	foĕ
与	y3	iụ̀
丏	miɛn3	mièn
丐	kai5	kái
丑	tʂʰəu3	ʻchèu
且	tʂʰu2	ʻchû
且	tsʰiɛ3	ʻçiè
且	tsy1	çiụ̄
且	tsy3	çiụ̀
丕	pʰi1	ʻpī
丕	pʰuəi1	ʻpoēi
世	ʂɨ5	xí
丘	kʰiəu1	ʻkiēu
丙	piŋ3	pìm
丞	tʂʰɨŋ2	ʻchîm
丞	ʂɨŋ2	xîm
丟	tiəu1	tiēu
丣	iəu3	ièu
並	`puɔn3`	puòn
中	tʂuŋ1	chūm
中	tʂuŋ5	chúm
丰	fuŋ1	fūm
丱	uan5	uán
串	uan5	uán
串	tʂʰuɛn5	ʻchuén
串	uɔn5	uón
丳	tʂʰan3	ʻchàn
丳	tʂʰuɛn5	ʻchuén
丸	xuan2	hoân
丸	xuɔn2	huôn
丹	tan1	tān
主	tʂʉ3	chụ̀
主	tʂʉ5	chụ́
乂	i5	í
乂	ni5	ní
乃	ŋai3	gài
乃	nai3	nài
乃	ŋai5	gái
久	kiəu3	kièu
之	tʂɨ1	chī
乍	tʂa5	chá
乎	xu2	hû
乏	faʔ7	fă
乖	kuai1	kuāi
乘	tʂʰɨŋ2	ʻchîm
乘	ʂɨŋ2	xîm
乘	ʂɨŋ5	xím
乙	iaʔ7	iă
乙	ɪʔ7	iė̆
九	kiəu1	kiēu
九	kiəu3	kièu
乞	kʰi5	ʻkí
乞	kʰɪʔ7	ʻkiė̆
乞	nɪʔ7	niė̆
也	i3	ì
也	iɛ3	iè
乩	ki1	kī
乳	ɻʉ3	jụ̀
乳	ɻʉ5	jụ́
乾	kan1	kān
乾	kʰiɛn2	ʻkiên
乿	tʂɨ5	chí
亂	luɔn5	luón
了	liau3	leào
予	y3	iụ̀
事	ʂɨ5	xí
事	sɯ5	su̇́
二	ɯ˞5	úl
亍	tʂʰʊʔ7	ʻchȯ̆
于	y2	iụ̂
云	yn2	iûn
互	xu5	hú
五	u3	ù
井	tsiŋ3	çìm
亘	kəŋ5	kém
亘	syɛn1	siuēn
些	sɔ5	só
些	siɛ1	siē
亞	ia5	iá
亟	kʰi5	ʻkí
亟	kɪʔ7	kiė̆
亡	ʋu2	vû
亡	ʋaŋ2	vâm
亢	kaŋ1	kām
亢	xaŋ2	hâm
亢	xaŋ3	hàm
亢	kʰaŋ5	ʻkám
亢	xaŋ5	hám
亢	kəŋ1	kēm
交	kiau1	kiāo
亥	`xai3`	hài
亥	xai5	hái
亦	ɪʔ7	iė̆
亨	xəŋ1	hēm
亩	məu3	mèu
享	xiaŋ1	hiām
享	xiaŋ3	hiàm
京	kiŋ1	kīm
亭	tʰiŋ2	ʻtîm
亳	pɔʔ7	pŏ
亵	siɛʔ7	siĕ
亶	tan3	tàn
亶	tan5	tán
亹	ʋi3	ùi 校註：ui 轄字同 vi，音標按 vi 轉寫
亹	muən2	muên
人	ɻɨn2	jîn
什	ʂəʔ7	xė̆
仁	ɻɨn2	jîn
仂	lɛʔ7	lĕ
仄	tsɛʔ7	çĕ
仆	pɛʔ7	pĕ
仆	fɔ5	fó
仆	fu5	fú
仆	fəu5	féu
仇	kʰiəu2	ʻkiêu
今	kin1	kīn
介	kiaʔ7	kiă
介	kiai5	kiái
仍	ɻəŋ2	jêm
从	tsʰuŋ2	ʻçûm
仔	tsɯ1	çu̇̄
仔	tsɯ3	çu̇̀
仕	`ʂɨ3`	xì
仕	ʂɨ5	xí
仕	sɯ3	su̇̀
他	tʰa1	ʻtā
他	tʰɔ2	ʻtô
仗	`tʂaŋ3`	chàm
仗	tʂaŋ5	chám
付	fu5	fú
仚	xiɛn1	hiēn
仞	ɻɨn5	jín
仡	nɪʔ7	niė̆
代	tai5	tái
令	liŋ2	lîm
令	liŋ5	lím
以	i3	ì
仲	tʂuŋ5	chúm
仳	pʰi3	ʻpì
仵	u3	ù
仵	ŋu3	gù
件	`kiɛn3`	kièn
价	kiai5	kiái
任	ɻɨn2	jîn
任	ɻɨn5	jín
份	pin1	pīn
企	kʰi3	ʻkì
企	kʰi5	ʻkí
企	kʰuəi3	ʻkuèi
伂	puəi5	poéi
伂	pʰuəi5	ʻpoéi
伈	tsʰin5	ʻçín
伈	sin5	sín
伉	kʰaŋ5	ʻkám
伊	i1	ī
伋	kɪʔ7	kiė̆
伍	u3	ù
伍	ŋu3	gù
伎	kʰi2	ʻkî
伎	ki5	kí
伏	fɔ5	fó
伏	fʊʔ7	fȯ̆
伏	fəu5	féu
伐	faʔ7	fă
休	xiəu1	hiēu
伯	pa5	pá
伯	pɛʔ7	pĕ
估	ku3	kù
伱	ni3	nì
伴	`puɔn3`	puòn
伴	pʰuɔn5	ʻpuón
伶	liŋ2	lîm
伸	ʂɨn1	xīn
伺	sɯ1	su̇̄
伺	sɯ5	su̇́
伻	pəŋ1	pēm
似	sɯ3	su̇̀
伽	kʰia1	ʻkiā
伾	pʰi1	ʻpī
伾	pʰi2	ʻpî
伾	pʰuəi1	ʻpoēi
伾	pʰuəi3	ʻpoèi
佃	tʰiɛn2	ʻtiên
佃	tiɛn5	tién
佅	mai5	mái
但	`tan3`	tàn
但	tan5	tán
佇	`tʂʉ3`	chụ̀
佈	pu5	pú
佊	pi3	pì
佊	pi5	pí
佋	ʂau2	xâo
佋	`ʂau3`	xào
佌	tsʰɯ3	ʻçu̇̀
位	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
位	uəi5	uéi
低	ti1	tī
住	tʂʉ5	chụ́
佐	tsɔ5	çó
佒	iaŋ3	iàm
何	xɔ2	hô
佖	pɪʔ7	piė̆
佗	i2	î
佗	tʰɔ1	ʻtō
佗	tʰɔ2	ʻtô
佗	tʰɔ5	ʻtó
余	ʂɛ2	xê
余	y2	iụ̂
佚	ɪʔ7	iė̆
佛	fʊʔ7	fȯ̆
佛	pɪʔ7	piė̆
佛	fuəʔ7	foĕ
作	tsɔ5	çó
作	tsɔʔ7	çŏ
作	tsu5	çú
佩	puəi5	poéi
佪	xuəi2	hoêi
佯	iaŋ2	iâm
佰	pɛʔ7	pĕ
佳	kiai1	kiāi
佶	kɪʔ7	kiė̆
佸	kuɔʔ7	kuŏ
佸	xuɔʔ7	huŏ
佹	kuəi1	kuēi
佺	tsʰyɛn1	ʻçiuēn
佻	tʰiau1	ʻtiāo
佻	iau2	iâo
佻	tʰiau2	ʻtiâo
佻	`tiau3`	tiào
佼	xiau5	hiáo
佽	tsʰɯ5	ʻçu̇́
佾	ɪʔ7	iė̆
使	ʂɨ3	xì
使	ʂɨ5	xí
使	sɯ3	su̇̀
使	sɯ5	su̇́
侀	xiŋ2	hîm
