#漢字	音標	解釋
㮇	tʰiẽ5	~笔
衆	tʂoŋ5	
優	iəu1	优~
會	kʰuai5	~计
會	xui6	~不会
會	xui6	开~
傘	sã3	
偉	ui3	
傳	tʂʰõ2	~达
傳	tʂõ6	~记
伢	ŋɒ2	
伢	iɒ2	
傷	ʂaŋ1	
倫	nən2	语无~次
僞	ui5	~军。另读ui³³
僞	ui2	另读ui²¹³
伯	pa7	
估	ku3	~计
伴	põ6	
伴	pən6	老~
伶	lin1	
伸	ʂən1	
似	sɿ5	
佃	tiẽ5	
但	tã6	~是
佈	pu5	
位	ui6	单~
低	ti1	~头
住	tʂʯ6	
佐	tso3	辅~
體	tʰi3	
何	xo2	
佘	ʂʯe2	姓
余	ʯ2	
佛	fu7	
佛	fu7	仿~
作	i7	
作	tso7	~坊
你	ni3	
你	n̩3	第二人称
佩	pʰei5	~服
佳	tɕiɒ1	
使	sɿ3	
侄	tʂʅ7	
侈	tʂʰʅ3	奢~
例	li5	~子
侍	ʂʅ6	~卫
供	koŋ1	~给
供	koŋ5	~养
依	i1	
僥	tɕiau3	~幸
偵	tʂən1	
側	tsa7	~屋:正房旁放柴的屋子。另读tsʰa⁵⁴
側	tsʰa7	另读tsa⁵⁴
僑	tɕʰiau2	
儂	noŋ2	
儘	tɕin3	~你吃:你先吃
侮	u3	
侯	xəu2	诸~
侵	tɕʰin1	
便	pʰiẽ2	~宜
便	piẽ6	方~
促	tsʰəu7	
俄	ŋo2	
俊	tɕin5	
俏	tɕʰiau5	
俗	səu7	
俘	fu2	~虏
保	pau3	~护
信	ɕin5	
儉	tɕiẽ3	节~
修	ɕiəu1	~整
俯	fu3	
俱	tʂʯ5	
俸	foŋ6	
倍	pei6	一~
倒	tau5	~水
倒	tau3	打~
倔	tʂʯa7	性格很~:转不过弯
倘	tʰaŋ3	~使
候	xəu6	
倚	i1	
借	tɕie5	
借	tɕiɒ5	
倡	tʂʰaŋ5	提~
倦	tʂõ5	~了:疲劳了
倪	ȵi2	
倭	uo1	
債	tsai5	还~
值	tʂʅ7	
傾	tʂʰʯn1	~斜
假	tɕiɒ3	放~
假	tɕiɒ3	真~
偏	pʰiẽ1	
做	tsəu5	
停	tʰin2	
健	tɕiẽ6	~康
偶	ŋəu3	~然
偶	ŋəu3	配~
偷	tʰəu1	
償	tʂʰaŋ2	
傀	kʰui3	~儡
傅	fu5	
傍	paŋ5	~晚
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋau5	
傻	sɒ3	~子
像	ɕiaŋ5	
僧	tsən1	
僵	tɕiaŋ1	
僻	pʰi7	
儒	ʯ2	~家
儡	lei3	傀~
兒	tɕiəu1	
兒	ɚ2	
允	ʐʯn3	
元	ʐõ2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau6	预~
先	ɕiẽ1	
光	kuaŋ1	
克	kʰa7	
免	miẽ3	~费
兑	tei5	~现
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
入	ʐʯ7	进~
全	tɕʰiẽ2	
八	pɒ7	
公	koŋ1	
六	ləu7	
兮	ɕi1	
蘭	lã2	
共	koŋ5	~产党
共	koŋ6	~一个杯子
關	kuõ1	~门
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
具	tʂʯ5	工~
典	tiẽ3	
兹	tsɿ1	~有
養	iaŋ3	
兼	tɕiẽ1	~并
獸	ʂəu5	野~
冀	tɕi7	警察~
内	nei6	~人
岡	kaŋ1	
冉	ʐẽ3	
册	tsʰa7	
再	tsai5	~来
冒	mau6	感~
冗	ioŋ2	~长~毛
寫	ɕie3	~字
軍	tʂʯn1	~人
農	noŋ2	
冠	kuõ5	~军
冠	kuõ1	衣~
冤	ʐõ1	~枉
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
決	tʂʯa7	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tɕin6	
準	tʂʯn3	
涼	liaŋ2	
凌	lin6	~片儿:冰锥。另读lin³³
凌	lin2	另读lin¹¹
減	tɕiẽ3	
湊	tsʰəu5	~钱
几	tɕi1	~乎
几	tɕi3	~个
几	tɕi1	茶~
凡	fã2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰai3	~旋
凳	tən5	
凶	ɕioŋ1	~恶
凶	ɕioŋ1	吉~
出	tʂʰʯ7	
擊	tɕi7	
凼	taŋ6	
函	xã2	
鑿	tsʰo5	~子
刀	tau1	
刁	tiau1	~难
刃	ʐən3	刀~
分	fən1	
切	tɕʰie7	~开
刊	kʰã1	~物
刎	un3	
刑	ɕin2	
划	xuɒ2	~船
划	xuɒ7	~开
列	lie7	
劉	liəu1	
則	tsa7	
剛	kaŋ1	
創	tsʰaŋ5	~造
初	tsʰəu1	
删	sã1	
判	pʰõ5	
刨	pʰau2	
刨	pau5	
利	li6	胜~
别	pie7	区~
别	pie7	离~
刮	kuɒ7	
到	tau5	
制	tʂʅ5	~造
刷	ʂʯa7	~一下
券	tʂõ5	
刺	tsʰɿ5	长~
刻	kʰa7	时~
刻	kʰa7	用刀~
刴	to5	~肉
劑	tɕi5	一~药
剃	tʰi5	~头
削	ɕio7	
前	tɕʰiẽ2	~面
劍	tɕiẽ5	
剔	tʰi7	挑~
剝	po7	~削
劇	tʂʯ5	~烈
劇	tʂʯ5	戏~
剩	ʂən6	
剩	ɕin6	
剪	tɕiẽ3	
副	fu5	一~
割	ko7	
剿	tɕiau3	
劈	pʰi7	~柴
力	li7	
勸	tʂʰõ5	
辦	pã6	
功	koŋ1	
加	tɕiɒ1	
務	u6	~农
劣	lie7	
動	toŋ6	
助	tsʰəu5	~你:帮助你
努	nəu3	~力
劫	tɕie7	打~
勵	li7	鼓~
勁	tɕʰin5	~敌
勁	tɕin5	有~
勞	lau2	
勢	ʂʅ5	
勃	po7	
勇	ioŋ3	
勉	miẽ3	~励
勳	ʂʯn1	
勒	la7	
勘	kʰã1	~误
募	mo5	
勤	tɕʰin2	
勺	ʂau2	~子
勾	kəu1	
匀	ʐʯn2	
包	pau1	
匆	tsʰoŋ1	
化	xuɒ5	~学
北	pa7	
匙	ʂʅ2	钥~
匠	tɕiaŋ1	~人
匡	kʰuaŋ1	
匣	tɕiɒ7	箱~
匪	fei3	
匹	pʰi5	一~马
區	tʂʰʯ1	区~
醫	i1	
匾	piẽ3	
十	ʂʅ7	
千	tɕʰiẽ1	
升	ʂən1	
午	u3	
半	põ5	
半	pən6	
華	xuɒ2	~山
華	xuɒ2	中~
協	ɕie7	~助
卑	pei1	
卒	tsəu7	兵~
卓	tso7	
單	tã1	~独
單	ʂẽ6	姓
賣	mai6	
南	nã2	
博	po7	
卜	pu7	
占	tʂẽ1	~卜
占	tʂẽ5	~领
盧	ləu2	
卤	ləu3	
卦	kuɒ5	
臥	uo6	~室
衛	ui5	保~
卯	mau3	
印	in5	
危	ui2	~险
即	tɕi7	~使
卻	tɕʰio7	
卵	lõ3	
卷	tʂõ3	~起
卷	tʂõ5	~子
卸	ɕie5	装~
卿	tɕʰin1	
廠	tʂʰaŋ3	
历	li7	日~
历	li7	经~
厲	li6	~害
壓	ŋɒ7	
壓	iɒ7	~倒
厭	iẽ5	
廁	tsʰa7	~所。另读tsʰɿ²⁴
廁	tsʰɿ3	茅~。另读tsʰa⁵⁴
厘	li2	~米
厚	xəu6	
原	ʐõ2	~来
廂	ɕiaŋ1	
厦	ɕiɒ5	~门
廚	tʂʰʯ2	~房
去	tɕʰi5	~哪里。另读tʂʰʯ²¹³
去	tʂʰʯ5	~皮。另读tɕʰi²¹³
縣	ɕiẽ6	
参	tsʰã1	~加
参	sən1	人~
又	iəu6	
叉	tsʰɒ1	
及	tɕi7	~格
友	iəu3	
雙	saŋ1	一~。另读ʂʯaŋ³¹
雙	ʂʯaŋ1	成~成对。另读saŋ³¹
反	fã3	
发	fɒ7	~现
发	fɒ7	头~
叔	ʂəu7	
取	tɕʰi3	
受	ʂəu6	
變	piẽ5	
敍	ʂʯ3	~述
叛	pʰõ5	~徒
叟	səu5	童~无欺
疊	tie7	折~
口	kʰəu3	
古	ku3	
句	tʂʯ5	
另	lin6	
叨	tau1	唠~
叩	kʰəu5	~头
只	tʂʅ1	
只	tʂʅ3	~有
叫	tɕiau5	
召	tʂau1	~唤
可	kʰo3	
台	tʰai2	天~
史	sɿ3	
右	iəu6	
葉	ie7	
號	xau2	~叫
號	xau6	~数
司	sɿ1	
嘆	tʰã5	
吁	ʯ5	呼~
吃	tʂʰʅ7	
吃	tɕʰi7	
各	ko7	
吆	iau1	~喝
合	xo7	
吉	tɕi7	
吊	tiau5	上~
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	li7	~部
吐	tʰəu5	吐~
吐	tʰəu5	呕~
向	ɕiaŋ5	
嚇	xa7	~一跳
嚇	xa7	恐~
呂	ʯ3	
君	tʂʯn1	
吞	tʰən1	
吟	in2	
吟	lin2	~诗
否	fəu3	
含	xã2	
聽	tʰin1	~见
聽	tʰin1	~任
啓	tɕʰi3	~动
吳	u3	
吵	tsau3	
吵	tsʰau3	
吸	ɕi7	
吹	tʂʰʯei1	~灭
吻	un3	
吼	xəu3	
吾	u6	我
呆	ŋai2	~板
呆	tai1	发~
呈	tʂʰən2	
告	kau5	~诉
嘔	ŋəu3	~吐
員	ʐõ2	
周	tʂəu1	
味	ui6	~道
呼	xu1	
命	min6	
和	xo2	~气
和	xo2	~面
咎	tɕiəu6	
詠	ioŋ3	另读ʐʯn²⁴
詠	ʐʯn5	另读ioŋ²⁴
咒	əu5	
咨	tsɿ1	~询
咬	ŋau3	
咬	iau3	
咳	kʰai7	~嗽
咸	ɕiẽ1	
咸	xã2	
咽	iẽ1	~下去
哀	ŋai1	~伤
品	pʰin3	
哄	xoŋ3	~骗
哄	xoŋ6	起~
哈	xɒ1	~腰
啞	ŋɒ3	
哥	ko1	
哪	na3	~个
哭	kʰu7	
哲	tʂa7	~学
哽	kən3	
唆	so1	
脣	tʂʰən2	另读ʂʯm³³
脣	ʂʯn2	嘴~。另读tʂʰən³³
唐	tʰaŋ2	
嘮	lau2	~叨
喚	xuõ6	
售	tʂʰəu2	~票。另读ʂəu¹¹
售	ʂəu6	~票。另读tʂʰəu³³
唯	ui2	~一
唱	tʂʰaŋ5	
啃	kʰən3	
啄	tso1	~东西
商	ʂaŋ1	
嗇	sa7	吝~
囉	lo1	~嗦
喂	ui5	~饭
善	ʂẽ6	~良
喉	xəu2	咽~
喊	xã3	
喘	tʂʰõ3	~气
喜	ɕi3	~欢
喝	xo7	~酒
喝	xo7	吆~
喧	ɕiẽ1	~闹
噴	pʰən1	~头:水龙头。另读pʰən²¹³
噴	pʰən5	~水。另读pʰən³¹
噴	pʰən5	喷香
喻	ʯ6	
嗅	ɕiəu5	用鼻~
嗉	səu5	~食包儿:鸡的胃
嗓	saŋ3	
嗜	ʂʅ5	
嗣	tsɿ6	后~
嗽	səu5	咳~
嘉	tɕiɒ1	
嘘	ʂʯ1	吹~
囑	əu7	
嘴	tsei3	
噎	ie7	~住了
噦	ʐo3	干~:干呕
器	tɕʰi5	
囂	ɕiau1	
嚼	tɕiau6	
囊	naŋ2	
囔	ʐaŋ3	~叫
囚	tɕʰiəu2	~徒
四	sɿ5	
回	xui2	
因	in1	
团	tʰõ2	
囤	tʰən2	~积
園	ʐõ2	
困	kʰun5	
囱	tʂʰoŋ1	烟~
圍	ui2	
固	ku5	
國	kua7	
圖	tʰəu2	
圓	ʐõ2	
圈	tʂʰõ1	圆~
圈	tʂõ6	猪~
土	tʰəu3	
聖	ʂən6	
在	tsai6	~这里
圭	kui1	
地	ti6	土~
場	tʂʰaŋ2	
址	tʂʅ3	
均	tʂʯn1	
坎	kʰã3	
壞	xuai6	好~
坐	tso6	
坑	kʰən1	
塊	kʰuai5	
堅	tɕiẽ1	
坛	tʰã2	
壩	pɒ5	
墳	fən2	
墜	tʂʯei5	~落
坡	po1	山~
坤	kʰun1	
坦	tʰã3	~诚
坪	pʰin2	
坯	pʰi1	土~儿
坳	ŋau3	山~
垂	tʂʰʯei2	
壟	loŋ3	
型	ɕin2	
垒	lei3	堡~
墾	kʰən3	
墊	tiẽ6	~钱
垮	kʰuɒ3	
埂	kən3	田~
埃	ŋai2	
埋	mai2	
城	tʂʰən2	
域	ʯ7	
埠	pu6	
埯	ŋã3	~个坑
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	一~
堡	pau3	~垒
堤	tʰi2	
堪	kʰã1	
堰	iẽ5	土~
堵	təu3	~住了
塌	tʰɒ7	~方
塑	so7	~像
塔	tʰɒ7	宝~
塘	tʰaŋ2	
塞	sa7	
填	tʰiẽ2	
境	tɕin5	
墓	mo5	坟~
牆	tɕʰiaŋ2	
增	tsən1	
墟	ʂʯ1	~市
墨	ma7	
墩	tən1	
壁	pi7	
壅	uŋ5	施肥
壕	xau2	
壤	ʐaŋ3	土~
壩	pɒ5	
士	sɿ6	
壬	ʐən2	
壯	tsaŋ5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	茶~
處	tʂʰʯ5	~所
處	tʂʰʯ5	相~
備	pei5	
复	fu7	
复	fu5	~兴
复	fu7	~原
夏	ɕiɒ5	姓
夏	ɕiɒ6	春~
夕	ɕi7	
外	uai6	~公
多	to1	
夜	ie6	
夜	iɒ6	
够	kəu5	
大	tɒ6	~雨~风。另读tai¹¹
大	tai6	~夫。另读tɒ¹¹
天	tʰiẽ1	
太	tʰai5	
夫	fu1	~人
央	iaŋ1	
夯	xaŋ1	打~
失	ʂa7	~了:掉了。另读ʂʅ⁵⁴
失	ʂʅ7	另读ʂa⁵⁴
頭	tʰəu2	
夷	i2	
夸	kʰuɒ1	
夾	kɒ7	
夾	tɕiɒ7	
奪	to7	
奇	tɕʰi1	~怪
奈	nai5	无~
奉	foŋ6	
奮	fən5	
奎	kʰui2	
奏	tsəu5	
契	tɕʰi5	~约
奔	pən1	
奔	pən5	~起来:挣扎着起
獎	tɕiaŋ3	
套	tʰau5	
奚	ɕi1	
奠	tiẽ5	~基
奧	ŋau5	
女	nʯ2	
奴	nəu1	~隶
奶	nai3	
奸	tɕiẽ1	
好	xau3	~坏
好	xau5	~吃懒做
如	ʯ2	
妃	fei1	
妄	uaŋ5	
婦	fu6	~女
媽	mɒ1	
妓	tɕi5	~女
妖	iau1	~怪
妙	miau5	巧~
妥	tʰo3	~协
妨	faŋ3	~害
妬	təu5	嫉~
妹	mei6	
妻	tɕʰi1	~子
妾	tɕʰie7	
姆	m̩1	~妈
姊	tsɿ3	~妹
始	ʂʅ3	开~
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	ui3	~员
姘	pʰin1	~头
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	~色
威	ui1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娠	ʂən2	妊~
娩	miẽ3	分~
娛	ʯ2	~乐
娶	tɕʰi3	嫁~
婆	pʰo2	
婚	xun1	
嬰	in1	
嬸	ʂən3	
婿	ɕi7	女~
媒	mi2	
媒	mei2	
媳	ɕi7	
嫁	kɒ5	
嫁	tɕiɒ5	
嫂	sau3	
嫌	ɕiẽ2	
嫖	pʰiau2	嫖娼
嫡	ti7	
嫩	nən5	
嬉	ɕi3	~闹
孀	saŋ1	
孀	ʂʯaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	ʐʯn6	
字	tsɿ5	写~
存	tsʰən2	
孫	sən1	
孝	ɕiau5	~子
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕio7	
孩	xai2	~子
孽	ȵie7	
寧	lin2	~可
寧	lin2	安~
宅	tsɒ3	住~
宇	ʯ3	~宙
守	ʂəu3	
安	ŋã1	
宋	soŋ5	
完	uõ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuõ1	
宙	əu5	
定	tin6	
宜	ȵi2	
寶	pau3	
實	ʂʅ7	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰa7	
宣	ɕiẽ1	
室	ʂʅ7	
宦	xuõ5	
宪	ɕiẽ5	~法
宮	koŋ1	
宰	tsai3	~相。另读tsã²⁴
宰	tsã3	另读tsai²⁴
害	xai6	
宴	iẽ5	~会
宵	ɕiau1	元~
家	tɕiɒ1	
家	tɕiɒ1	~具
容	ioŋ2	
寬	kʰuõ1	
賓	pin1	
宿	səu7	
宿	səu7	星~
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
富	fu5	~贵
寒	xã2	~冷
寓	ʯ7	公~
寢	tɕʰin2	~室
寞	mo7	
察	tsʰɒ7	警~
寡	kuɒ3	
寨	tsai5	~子
寸	tsʰən5	
對	tei5	~错
寺	tsɿ6	~庙
尋	tɕʰin2	
尋	ɕin2	
導	tau6	
壽	ʂəu6	
封	foŋ7	
射	ʂe6	另读ʂʯe¹¹
射	ʂʯe6	另读ʂe¹¹
將	tɕiaŋ1	~来
將	tɕiaŋ5	大~
尊	tsən1	
小	ɕiau3	
少	ʂau5	~年
少	ʂau3	多~
尔	ɚ3	
尖	tɕiẽ1	
塵	tʂʰən2	
尚	ʂaŋ6	
嘗	tʂʰaŋ2	
嘗	ʂaŋ2	
尤	iəu2	
堯	iau2	
尬	ko5	尴~
就	tɕiəu6	
尷	kã1	~尬
屍	ʂʅ1	
尹	in3	
尺	tʂʰʅ7	
尼	ȵi2	~姑
尽	tɕin6	
尾	ui3	
尿	ȵiau6	
局	tʂʯ7	
屁	pʰi5	放~
層	tsʰən2	
居	tʂʯ1	
屈	tʂʰʯ7	
屉	tʰi5	抽~
屆	tɕiai5	
屆	kai5	一~两届
屋	u7	
屍	ʂʅ1	
屎	ʂʅ5	
屏	pʰin2	
屐	tɕi1	木~
屑	ɕie7	不~
屑	ɕie7	木~
展	tʂẽ3	
屬	ʂəu7	
屠	tʰəu2	~夫
屢	lei3	~教不改
履	li3	~行
屯	tʰən2	
山	sã1	
歲	ɕi5	
歲	sei5	一~
豈	tɕʰi3	~有此理
岐	tɕʰi1	分~
岔	tsʰɒ5	三~路
崗	kaŋ1	
島	tau3	
巖	ia1	~石
嶺	lin3	
岳	io7	五~
岳	io7	姓
岸	ŋã6	
峽	ɕiɒ7	
峰	foŋ7	
崑	kʰun1	
崔	tsʰei1	
崖	ŋai2	~下
崖	ia1	山~。另读ŋai³³
崩	pən1	
嵌	xã1	
嵩	soŋ1	
川	tʂʰõ1	
州	tʂəu1	
巡	ɕin2	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau1	
巨	tʂʯ5	
鞏	koŋ3	~固
巫	u1	~婆
差	tsʰai1	
差	tsʰɒ1	~别
己	tɕi3	自~
已	i3	
巳	tsʰɿ6	另读tsɿ¹¹
巳	tsɿ6	辰~。另读tsʰɿ¹¹
巴	pɒ1	
巴	tɕiəu1	
巷	xaŋ6	
巷	ɕiaŋ6	
巾	tɕin1	
幣	pei5	
市	ʂʅ5	城~
布	pu5	
帥	ʂʯai5	
帆	fã2	
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰɒ5	
帖	tʰie7	碑~
帘	liẽ2	
帚	tʂəu3	扫~
帝	ti5	
帶	tai5	~来
席	ɕi7	
幫	paŋ1	
常	tʂʰaŋ2	
常	ʂaŋ2	
帽	mau6	~子
幔	mõ6	
幕	mo5	
干	kã1	
干	kã5	
干	kã1	~湿
平	pʰin2	
年	ȵiẽ2	
并	pin5	
并	pin5	合~
幸	ɕin5	
幺	iau1	~二三
幻	xuõ5	~觉
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tsaŋ1	
慶	tɕʰin5	
庇	pi5	~护
牀	tsʰaŋ2	
序	ɕi6	另读ɕi⁵⁴
序	ɕi7	另读ɕi¹¹
廬	li2	~山。另读ləu³³
廬	ləu2	~山。另读li³³
庫	kʰu5	
應	in5	~当
應	in5	~对
底	ti3	~下
店	tiẽ5	
廟	miau6	寺~
庚	kən1	
府	fu3	~上
龐	pʰaŋ2	~大
廢	fei5	~品。另读fəu²¹³
度	təu6	温~
座	tso6	
庭	tʰin2	
庵	ŋã1	尼姑~
康	kʰaŋ1	
庸	ioŋ2	
廉	liẽ2	~洁
廊	laŋ5	走~
廓	ko7	
廖	liau6	姓
延	iẽ1	
廷	tʰin2	
建	tɕiẽ5	
開	kʰai1	
异	i6	
弃	tɕʰi5	放~
弄	loŋ5	~口里。另读noŋ²¹³
弄	noŋ5	另读loŋ²¹³
弊	pi5	~端
式	ʂʅ5	公~
弓	koŋ1	
引	in3	
弘	xoŋ2	
弟	ti6	
張	tʂaŋ1	
弥	mi2	~漫
弦	ɕiẽ2	
彎	uã1	~手指。另读uõ³¹
彎	uõ1	~一下:绕一下。另读uã³¹
弱	io7	另读ȵio⁵⁴
弱	ȵio7	强~。另读io⁵⁴
彈	tʰã2	~琴
彈	tã6	子~
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉~
弼	pi7	~马温
彀	kəu5	往上~
歸	kui1	~还
當	taŋ1	~时
當	taŋ5	~作
录	ləu7	
形	ɕin2	
彩	tsʰai3	~色
彪	piau1	
彬	pin1	
彭	pʰən2	
影	in3	
役	ʯ7	
徹	tʂʰa7	
彼	pi3	~此
往	uaŋ3	
征	tʂən1	~求
徑	tɕin5	
待	tai6	等~
很	xən3	
律	li7	
徐	tɕʰi2	
徒	tʰəu2	
得	ta7	
御	ʯ5	
循	ɕin2	
微	ui2	
德	ta7	
徽	xui1	
心	ɕin1	
必	pi7	~须
憶	i5	
忌	tɕi6	
忍	ʐən3	
志	tʂʅ5	
忘	uaŋ5	
忙	maŋ2	
忠	tʂoŋ1	
憂	iəu1	
快	kʰuai5	~慢
念	ȵiẽ6	
忽	xu7	
忿	fən5	
懷	xuai2	~抱
態	tʰai5	~度
慫	soŋ5	~恿
慪	ŋəu5	~气
怒	nəu5	
怕	pʰɒ5	
怖	pu5	恐~
憐	liẽ2	
思	sɿ1	
怠	tai6	~慢
急	tɕi7	
性	ɕin5	
怨	ʐõ5	
怪	kuai5	
怯	tɕʰie7	畏~
總	tsoŋ3	
戀	liẽ5	~人
恐	kʰoŋ3	
恆	xən2	
恕	ʂʯ5	宽~
恢	xui1	
恤	ɕi7	体~
恨	xən6	
恩	ŋən1	
恭	koŋ1	
息	ɕi7	
恰	kʰɒ7	
恰	tɕʰiɒ7	
懇	kʰən3	
恶	ŋo7	善~
恶	u5	恨,可~
惱	nau3	
悄	tɕʰiau1	静~悄
悉	ɕi1	
悔	xui3	~过
悟	u6	
悠	iəu1	悠~
患	xuõ5	
悦	ʯe6	喜~
懸	ɕiẽ2	
憫	min3	
悲	pei1	~伤
情	tɕʰin2	
驚	tɕin1	
惑	xuo7	
惜	ɕi7	
惟	ui2	
惠	xui5	
懼	tʂʯ5	
慘	tsʰã3	
懲	tʂʰən3	~罚
慚	tsʰã2	
慣	kuõ5	习~
惰	to6	懒~
想	ɕiaŋ3	
惹	ʐʯe3	
愁	tsʰəu2	发~
愈	ʯ6	痊~
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kã3	~动
憤	fən5	
愧	kʰui5	惭~
願	ʐõ6	~意
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂən2	
慎	tʂʰən5	
慕	mo5	羡~
慢	mã6	
慧	xui5	
慨	kʰai5	感~
慰	ui5	
慷	kʰaŋ1	~慨
憋	pie7	
憎	tsən1	
憨	xã1	~宝
憾	xã6	
懂	toŋ3	
懈	ɕie5	松~
懊	ŋau3	
懶	lã3	~惰
懵	moŋ3	
戈	ko1	
戊	u5	
戌	ɕi7	
戎	ʐoŋ2	
戎	ioŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ŋo3	
戒	tɕiai5	
戒	kai5	~烟
或	xua7	
或	xuo7	
戰	tʂẽ5	~斗
戚	tɕʰi7	
戟	tɕi7	
截	tɕie7	
戴	tai5	
戶	xu6	
戽	xu5	~水:用手浇
房	faŋ2	
所	so3	
扁	piẽ3	
扇	ʂẽ1	~子,扇风
手	ʂəu3	
才	tsʰai2	
扎	tsɒ7	
扎	tʂʯa7	~袖子。另读taɒ⁵⁴
扎	tsɒ7	用针~。另读tʂʯa⁵⁴
扑	pʰu3	~灭
扑	pʰu7	~倒
打	tɒ3	
扔	ʐən1	
托	tʰo7	
托	tʰo7	手承物
扛	kʰaŋ2	
扣	kʰəu5	~住
