# ('wuu_th_pl_jt', '金壇話', '金壇', '#0000FF', None, None, '版本：2021-12-17<br>來源：金壇縣志，轉錄者<u>正心修身</u>', '434 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,21 4 2b 陽上 ꜃,55 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,2 8a 4b 陽入 ꜇')
因	Ǿin1
团	dʏ2
囤	dən6
囥	kʰɑŋ5	藏
囫	ɦuəʔ8
园	Ǿʏ2
困	kʰuən5
囱	tsʰoŋ1
围	Ǿuei2
固	ku5
国	kuəʔ7
图	du2
圆	Ǿʏ2
圈	dʑʏ6	〜养
圈	tɕʰʏ1
土	tʰu3
圣	sən5
在	dzɛi6
在	zɛi6
圭	kuei1
地	di6
圹	kʰuɑŋ5
场	dzæ2
圾	səʔ7
址	tsɿ3
均	tɕyn1
坍	tʰæ1
坎	kʰæ3
坏	Ǿua5
坐	zɯ6
坑	kʰən1
块	kuɛi5
坚	tɕiɪ1
坛	dæ2
坝	po5
坟	vən2
坠	tsuei5
坡	pɯ1
坤	kʰuən1
坦	tʰæ3
坨	dɯ6
坪	bin2
坯	pʰɛi1
坷	kʰɯ3
垂	zuei2
垃	ləʔ8
垅	loŋ4
型	ʑin2
垒	luei4
垛	tɯ3
垦	kʰən3
垫	diɪ6
垮	kʰo3	〜台
垮	kʰua3	〜台
埃	Ǿɛi1
埋	ma2
城	dzən2
埔	dʑin6
域	Ǿyəʔ8
埠	bu6
培	bɛi2
基	mɯ5
基	tɕi3	〜础
堂	dɑŋ2
堆	tɛi1
堕	tɯ5
堡	pao3
堤	di2
堪	kʰæ1
堵	tu3
塋	Ǿin2
塌	tʰaʔ1
塑	sɔʔ7
塑	su5	〜像
塔	tʰaʔ1
塘	dɑŋ2
塞	səʔ7
填	diɪ1
塾	zɔʔ8
境	tɕin3
境	tɕin5
墙	tɕʰiɑŋ1
墙	ʑiɛ2
增	tsən1
墟	ɕy1
墨	mɔʔ8
墩	tən1
墮	vi2
壁	piʔ7
壅	Ǿoŋ6
壕	ɦao2
壕	Ǿao2
壤	lɑŋ4
士	zɿ6
壬	zən1
壮	tsɑŋ5
声	sən1
壳	kʰɔʔ8
壶	Ǿu2
壶	ɦu2
壹	Ǿiʔ7
处	tsʰu5
处	tsʰu3	相〜
备	bei6	准〜
备	bi6	〜用
复	fɔʔ7
夏	ʑia6	姓
夏	ɦo6	〜天
夕	ɕiʔ7
夕	ʑiʔ8
外	Ǿua5
多	tɯ1
夜	Ǿia5
够	kei5
大	dɯ6
天	tʰiɪ1
太	da6	～夫，〜黄,〜便
太	tʰa5
夫	fu1
央	Ǿiɑŋ1
央	Ǿiɛ1
夯	xɑŋ1
失	səʔ7
头	dei2
夷	Ǿi1
夸	kʰo1
夹	kaʔ7
夺	dəʔ8
奇	dʑi2
奈	lɛi5
奉	voŋ6
奋	fən5
奏	tsei5
契	tɕʰi1
奔	pən3	〜牛
奕	Ǿiʔ7
奖	tɕiɑŋ3
奖	tɕiɛ3
套	tʰao5
套	zæ2
奚	ɕi1
奠	diɪ6
奢	sa1
奥	Ǿao5
女	ȵy4
奴	lu1
奶	la1
奸	kæ1
