#古韻	攝	等	呼	韻母名稱(平上去入)	高本漢	王力	李榮	邵榮芬	鄭張尚芳	潘悟雲	蒲立本
rang	梗	二	開	庚梗映陌	ɐŋ	ɐŋ	ɐŋ	aŋ	ɣæŋ	ɯaŋ	aɨjŋ
ruang	梗	二	合	庚梗映陌	wɐŋ	wɐŋ	uɐŋ	uaŋ	wɣæŋ	ʷɯaŋ	waɨjŋ
reng	梗	二	開	耕耿諍麥	æŋ	æŋ	ɛŋ	ɐŋ	ɣɛŋ	ɯæŋ	əɨjŋ
rueng	梗	二	合	耕耿諍麥	wæŋ	wæŋ	uɛŋ	uɐŋ	wɣɛŋ	ʷɯæŋ	wəɨjŋ
Ieng	梗	三	開	庚梗映陌	i̯ɐŋ	ĭɐŋ	iɐŋ	iaŋ	ɣiæŋ	ɯiaŋ	iajŋ	#与清韻重韻，只拼幫、見組重紐B類与莊組，用Ieng代替
Yeng	梗	三	合	庚梗映陌	i̯wɐŋ	ĭwɐŋ	iuɐŋ	iuaŋ	wɣiæŋ	ʷɯiaŋ	wiajŋ	#与清韻重韻，只拼幫、見組重紐B類与莊組，用Yeng代替
ieng	梗	三	開	清靜勁昔	i̯ɛŋ	ĭɛŋ	iɛŋ	iæŋ	iᴇŋ	iɛŋ	iajŋ
Aieng	梗	三	開	清靜勁昔	i̯ɛŋ	ĭɛŋ	iɛŋ	jæŋ	iᴇŋ	iɛŋ	iajŋ
yeng	梗	三	合	清靜勁昔	i̯wɛŋ	ĭwɛŋ	iuɛŋ	iuæŋ	wiᴇŋ	ʷiɛŋ	wiajŋ
Ayeng	梗	三	合	清靜勁昔	i̯wɛŋ	ĭwɛŋ	iuɛŋ	juæŋ	wiᴇŋ	ʷiɛŋ	wiajŋ
eng	梗	四	開	青迥徑錫	ieŋ	ieŋ	eŋ	ɛŋ	eŋ	eŋ	ɛjŋ
ueng	梗	四	合	青迥徑錫	iweŋ	iweŋ	ueŋ	uɛŋ	weŋ	ʷeŋ	wɛjŋ
ong	曾	一	開	登等嶝德	əŋ	əŋ	əŋ	əŋ	əŋ	əŋ	əŋ
uong	曾	一	合	登等嶝德	wəŋ	uəŋ	uəŋ	uəŋ	wəŋ	ʷəŋ	wəŋ
ing	曾	三	開	蒸拯證職	i̯əŋ	ĭəŋ	iəŋ	ieŋ	ɨŋ	ɨŋ	iŋ
ung	通	一	開	東董送屋	uŋ	uŋ	uŋ	uŋ	uŋ	uŋ	əwŋ
yng	曾	三	合	蒸拯證職	i̯wək	ĭwək	iuək	iuek	wɨk	ʷɨk	ik	#其實只有入声
uung	通	一	開	冬湩宋沃	uoŋ	uoŋ	oŋ	oŋ	uoŋ	uoŋ	awŋ	#湩韻字少，廣韻中歸腫韻，依韻典網單列
yung	通	三	開	鍾腫用燭	i̯woŋ	ĭwoŋ	ioŋ	ioŋ	ɨoŋ	ioŋ	uawŋ
iung	通	三	開	東董送屋	i̯uŋ	ĭuŋ	iuŋ	iuŋ	ɨuŋ	iuŋ	uwŋ
rung	江	二	開	江講絳覺	ɔŋ	ɔŋ	ɔŋ	ɔŋ	ɣʌŋ	ɯɔŋ	aɨwŋ
an	山	一	開	寒旱翰曷	ɑn	ɑn	ɑn	ɑn	ɑn	ɑn	an
uan	山	一	合	桓緩換末	uɑn	uɑn	uɑn	uɑn	uɑn	ʷɑn	wan
ran	山	二	開	刪潸諫鎋	an	an	an	ɐn	ɣan	ɯan	aɨn
ruan	山	二	合	刪潸諫鎋	wan	wan	uan	uɐn	ɣuan	ʷɯan	waɨn
ren	山	二	開	山産襉黠	ăn	æn	ɛn	æn	ɣɛn	ɯæn	əɨn
ruen	山	二	合	山産襉黠	wăn	wæn	uɛn	uæn	ɣuɛn	ʷɯæn	wəɨn
ian	山	三	開	元阮願月	ɨ̯ɐn	ĭɐn	iɐn	iɐn	ɨɐn	iɐn	ɨan
yan	山	三	合	元阮願月	i̯wɐn	ĭwɐn	iuɐn	iuɐn	ʉɐn	ʷiɐn	uan
ien	山	三	開	仙獮線薛	i̯ɛn	ĭɛn	iɛn	iæn	iᴇn	iɛn	ian
Aien	山	三	開	仙獮線薛	i̯ɛn	ĭɛn	iɛn	jæn	iᴇn	iɛn	ian
Bien	山	三	開	仙獮線薛	i̯ɛn	ĭɛn	jɛn	iæn	ɣiᴇn	ɯiɛn	ian
yen	山	三	合	仙獮線薛	i̯wɛn	ĭwɛn	iuɛn	iuæn	iuᴇn	ʷiɛn	wian
Ayen	山	三	合	仙獮線薛	i̯wɛn	ĭwɛn	iuɛn	juæn	iuᴇn	ʷiɛn	wian
Byen	山	三	合	仙獮線薛	i̯wɛn	ĭwɛn	juɛn	iuæn	ɣiuᴇn	ʷɯiɛn	wian
en	山	四	開	先銑霰屑	ien	ien	en	ɛn	en	en	ɛn
uen	山	四	合	先銑霰屑	iwen	iwen	uen	uɛn	wen	ʷen	wɛn
on	臻	一	開	痕很恨麧	ən	ən	ən	ən	ən	ən	ən	#麧韻字少，廣韻中歸沒韻，依韻典網單列
uon	臻	一	合	魂混慁沒	uən	uən	uən	uən	uən	uon	wən
ion	臻	三	開	欣隱焮迄	i̯ən	ĭən	iən	iən	ɨn	ɨn	ɨn
yon	臻	三	合	文吻問物	i̯uən	ĭuən	iuən	iuən	ɨun	iun	un
in	臻	三	開	眞軫震質	i̯ĕn	ǐĕn	iĕn	ien	iɪn	in	in
Ain	臻	三	開	眞軫震質	i̯ĕn	ĭĕn	iĕn	jen	iɪn	in	in
Bin	臻	三	開	眞軫震質	i̯ĕn	ǐĕn	jĕn	ien	ɣiɪn	ɯin	jin
yn	臻	三	合	諄準稕術	i̯uĕn	ĭuĕn	iuĕn	iuen	iuɪn	ʷin	win
Ayn	臻	三	合	諄準稕術	i̯uĕn	ĭuĕn	iuĕn	juen	iuɪn	ʷin	win
In	臻	三	開	臻齔櫬櫛	i̯æn	ĭen	iĕn	ien	ɪn	ɪn	in	#与眞韻重韻，只拼莊組，用In代替。齔韻字少，廣韻中歸隱韻，韻典網單列作𧤛韻，但此字不在BMP內，以齔字代替。櫬韻字少，廣韻中歸焮韻，依韻典網單列
Yn	臻	三	合	眞軫震質	i̯ĕn	ǐĕn	iuĕn	iuen	iuɪn	ʷin	win	#与諄韻重韻，只拼幫、見組重紐B類，用Yn代替
BYn	臻	三	合	眞軫震質	i̯uĕn	ǐuĕn	juĕn	iuen	ɣiuɪn	ʷɯin	jwin	#与諄韻重韻，只拼幫、見組重紐B類，用Yn代替
am	咸	一	開	談敢闞盍	ɑm	ɑm	ɑm	ɑm	ɑm	ɑm	am
om	咸	一	開	覃感勘合	ăm	ɒm	ᴀm	ɒm	ʌm	əm	əm
ram	咸	二	開	銜檻鑑狎	am	am	am	am	ɣam	ɯam	aɨm
rem	咸	二	開	咸豏陷洽	ăm	ɐm	ɐm	ɐm	ɣɛm	ɯæm	əɨm
iam	咸	三	開	嚴儼釅業	i̯ɐm	ĭɐm	iɐm	iɐm	ɨɐm	iɐm	ɨam
yam	咸	三	合	凡范梵乏	i̯wɐm	ĭwɐm	iɐm	iɐm	ɨɐm	iɐm	uam
iem	咸	三	開	鹽琰豔葉	i̯ɛm	ĭɛm	iɛm	iæm	iᴇm	iɛm	iam
Aiem	咸	三	開	鹽琰豔葉	i̯ɛm	ĭɛm	iɛm	jæm	iᴇm	iɛm	iam
Biem	咸	三	開	鹽琰豔葉	i̯ɛm	ĭɛm	jɛm	iæm	ɣiᴇm	ɯiɛm	jiam
em	咸	四	開	添忝㮇怗	iem	iem	em	ɛm	em	em	ɛm
im	深	三	開	侵寑沁緝	i̯əm	ĭĕm	iəm	iem	iɪm	im	im
Aim	深	三	開	侵寑沁緝	i̯əm	ĭĕm	iəm	jem	iɪm	im	im
Bim	深	三	開	侵寑沁緝	i̯əm	ĭĕm	jəm	iem	ɣiɪm	ɯim	jim
