"#注释"	"主要参考《瑞安话语音研究（陈海芳）》，有一定的修改，转录者落橙"
"tɕʰ"	"［1］窗筐［3］恐［5］［7］沖{泼水}触曲戳{表示很刺}"
"dʑ"	"［2］重{〜复}狂［4］重{轻〜}［6］共状撞［8］局镯浊"
"ȵ"	"［2］浓［8］玉狱"
"ɕ"	"［1］胸凶{〜恶}霜双［5］况□{踢}［7］粟束属缩□{在}"
"ˀ"	"［1］雍［5］壅"
"j"	"［2］床王［4］勇湧往枉［6］诵用［8］赎欲浴俗续"
"#ʉ"	""
"p"	"［1］□{把碗里的饭拨到嘴里}波{宁〜}［3］补谱［5］怖布{〜置}"
"pʰ"	"［1］铺{〜设}［3］谱甫［5］铺{店〜}破"
"b"	"［2］婆［4］□{古时候，用来扫米盛米的}［6］步埠"
"f"	"［1］夫肤麸［3］府腑［5］富副付附傅"
"v"	"［2］为遗维惟违围余符于愉榆巫芙盂［4］委唯伟苇妇与父腐雨宇羽禹纬卫慧惠伪为［6］为芋位胃谓慰誉预豫务喻裕雾"
"ʋ"	"［1］威萎［5］畏"
"#ai"	""
"p"	"［1］杯碑卑悲畀{拿}［5］贝背辈畀{打、贴}"
"pʰ"	"［5］配"
"b"	"［2］ 赔培陪［4］倍［6］佩{〜服}背{〜诵}焙{〜干}"
"f"	"［1］灰挥［3］悔贿［5］废"
"v"	"［2］ 回茴［6］会{〜弗〜}"
"t"	"［1］堆［5］对"
"tʰ"	"［1］推㷟刣{宰杀}台{〜州}［3］腿［5］退"
"d"	"［6］队兑□{成年男性的生殖器}"
"n"	"［6］内"
"l"	"［2］脶{手指纹路}雷［4］磊垒蕾□{抚摸}裸［6］泪擂𨆢"
"ts"	"［3］□{震、晃}［5］醉"
"tsʰ"	"［1］催［5］翠"
"s"	"［3］琐{小}［5］碎琐{小}"
"z"	"［4］罪［6］锐睡"
"k"	"［1］归［5］個会{〜计}桧［7］箇{这}"
"kʰ"	"［1］盔魁恢亏［5］块"
"ŋ"	"［6］饿魏"
"ˀʋ"	"［1］煨［5］畏{借字，表厌倦}"
"#ei"	""
"p"	"［1］屄［3］彼比秕［5］蔽闭臂痹［7］壁憋毕必逼碧璧"
"pʰ"	"［1］批披否{〜扫}［3］□{形容就此作罢，不再追究}［5］譬屁［7］劈辟"
"b"	"［2］皮疲脾琵枇肥{肥拉肉}［4］被婢［6］币弊避备鼻［8］□{追}"
"m"	"［2］迷眉微［4］米美尾［6］媚未味"
"f"	"［1］非飞妃［3］匪［5］废肺费"
"v"	"［2］肥微"
"t"	"［1］爹［3］低抵底［5］帝{上〜}渧［7］的{目〜}滴"
"tʰ"	"［1］梯［3］体［5］剃替屉涕［7］踢剔"
"d"	"［2］题提蹄［4］弟［6］帝{皇〜}第递地［8］笛敌狄"
"n"	"［2］呢"
"l"	"［2］来黎犁离{〜别}璃梨狸［4］礼累{〜积}李里理鲤裸［6］丽隶励厉离{〜开半寸}荔利痢［8］历力"
"ts"	"［1］遮支枝肢猪［3］姐{小〜}纸姊煮［5］借蔗济祭际制［7］绩浙鲫侧织职迹绩只"
"tsʰ"	"［1］妻笡［3］且鼠［5］厕尺［7］戚测尺赤笡"
"dz"	"［2］池［6］箸［8］直值植殖"
"s"	"［1］些赊靦西熙［3］写洗玺［5］泻舍赦赛细婿世势［7］锡析泄薛设悉媳熄息识饰式惜"
"z"	"［2］邪斜蛇齐脐匙徐［4］社芥［6］席谢射{跑}誓逝薯［8］蛰{惊〜}食蚀籍席射石"
"#au"	""
"t"	"［1］兜［3］斗抖［5］斗{〜争}"
"tʰ"	"［1］偷［5］透"
"d"	"［2］投［6］□{形容羊毛衫的头}□{毒死}"
"ˀl"	"［1］挖"
"l"	"［2］楼［4］篓［6］漏陋"
"ˀn"	"［5］冇"
"n"	"［4］冇"
"ts"	"［1］□{形容一个人很烦躁}［3］走［5］奏皱"
"tsʰ"	"［5］凑"
"dz"	"［6］宙"
"s"	"［1］搜［5］嗽"
"z"	"［2］愁"
"k"	"［1］勾钩沟［3］狗苟［5］购够构"
"kʰ"	"［1］抠箍［3］□［5］扣寇"
"ɡ"	"［2］□{磨}［4］厚"
"h"	"［1］𨉣{蜷曲}［3］吼□{许屋：那}"
"ɦ"	"［2］喉猴［4］后{皇〜}［6］候"
"ŋ"	"［2］牛［4］藕偶［6］喉"
"ˀ"	"［1］𨉣{蜷曲}欧瓯［5］呕殴□{语气词表答应}"
"#iau"	""
"tɕ"	"［1］鸠阉纠{〜缠}踞{蹲}［3］九久韭纠{〜正}［5］灸{针〜}救"
"tɕʰ"	"［3］取娶［5］凑{皇〜}"
"dʑ"	"［2］求球［4］舅臼［6］旧"
"ˀȵ"	"［1］扭"
"ȵ"	"［4］纽扭［8］狃{若屋合音，哪}"
"ɕ"	"［1］休［3］朽［5］□{巴掌打}"
"ˀ"	"［1］忧优幽［5］幼"
"j"	"［2］尤邮犹悠由游油［4］有友酉诱［6］又右佑"
"#əu"	""
"t"	"［1］多［5］剁［7］笃督"
"tʰ"	"［1］拖［3］妥［7］秃"
"d"	"［2］头驼［4］舵惰［6］大豆［8］毒独读犊"
"n"	"［2］奴［4］努［6］怒［8］□{努嘴}"
"l"	"［2］螺骡啰流刘留榴硫罗锣算［4］鲁虏［6］溜［8］六陆鹿禄"
"ts"	"［1］周洲州舟［3］左酒帚组阻［5］昼咒做［7］竹筑祝粥"
"tsʰ"	"［1］秋{〜天}抽初［3］丑楚［5］臭［7］促畜"
"dz"	"［2］囚绸稠筹仇酬柔售［4］纣［8］褥轴逐啄"
"s"	"［1］嗦梭靴修羞收 ［3］锁手首守［5］秀绣锈兽数{名词}［7］蓄{储〜}叔速肃宿缩"
"z"	"［2］锄泅［4］受［6］就袖寿授［8］族熟{〜悉}淑辱褥"
"#iəu"	""
"tɕ"	"［7］菊"
"tɕʰ"	"［7］曲"
"ȵ"	"［8］肉"
"j"	"［7］育"
"#əʉ"	""
"t"	"［1］都{〜是}［3］堵赌肚{猪〜}［5］妒"
"tʰ"	"［3］土吐{〜痰}［5］吐{呕〜}"
"d"	"［2］图涂徒途［4］肚{腹〜}杜［6］度渡镀"
"l"	"［2］炉芦庐驴［4］裸橹卤旅吕缕［6］类路露滤虑"
"ts"	"［1］追租株蛛朱珠［3］嘴祖主［5］著驻注蛀"
"tsʰ"	"［1］吹炊粗［3］处{相〜}取娶［5］醋处{〜所}趣"
"dz"	"［2］垂锤除储厨［4］柱［6］穗住"
"s"	"［1］虽苏酥蔬书舒须须{胡〜}需输［3］水暑数{动词}［5］岁税素诉塑恕输"
"z"	"［2］随谁如儒殊［4］序叙绪竖聚乳［6］瑞树"
"#aŋ"	""
"p"	"［1］奔［3］本"
"pʰ"	"［1］喷{〜水}［5］喷{〜香}"
"b"	"［2］塳{〜尘}［4］笨［6］笨"
"ˀm"	"［1］闷"
"m"	"［2］门蚊［6］闷问"
"f"	"［1］分{〜开}芬昏［3］粉［5］粪奋"
"v"	"［2］馄浑焚坟文纹［4］混{〜沌}愤刎［6］份问{一〜}"
"t"	"［1］蹲灯登［3］等［5］顿凳"
"tʰ"	"［1］㖔{让，占}吞{慢〜〜}［3］□{踢}［5］□{有东西从水下浮上来}敦{放}"
"d"	"［2］蚀腾藤疼［4］断{〜绝}盾{矛〜}［6］澄{〜一〜}遁"
"n"	"［2］能［4］暖［6］能{弄}"
"ˀl"	"［1］轮{圆滚滚}"
"l"	"［2］轮［4］卵"
"ts"	"［1］簪针津珍真增曾{姓}征{〜求}［3］枕诊疹［5］浸进晋镇振震"
"tsʰ"	"［1］侵亲［3］寝［5］趁衬"
"dz"	"［2］沉陈尘［6］阵"
"s"	"［1］心森参{人〜}深辛新薪身申伸僧［3］沈审［5］渗信讯迅"
"z"	"［2］寻秦神臣晨辰人仁层［4］甚尽肾［6］任{责〜}慎赠"
"k"	"［1］跟昆［3］滚耿□{盖}［5］滚"
"kʰ"	"［1］坤［3］恳垦緇肯［5］困"
"ɡ"	"［2］□{盖}［6］□{盖}"
"h"	"［3］很"
"ɦ"	"［2］恒痕［6］恨"
"ˀʋ"	"［1］温□{蹲}"
"#iaŋ"	""
"tɕ"	"［1］经巾今金襟斤筋均君军茎京荆惊［3］锦紧谨境景警颈［5］径禁{〜止}劲敬竟镜"
"tɕʰ"	"［1］钦轻{年〜}［5］庆"
"dʑ"	"［2］琴禽擒吟勤芹群裙鲸［4］近［6］妗{舅母}竞"
"ȵ"	"［2］宁{安〜}银迎人［4］忍［6］宁{〜可}刃认"
"ɕ"	"［1］馨掀欣兴{〜旺}□{凶}［5］训兴{高〜}"
"ˀ"	"［1］音阴因姻殷应{〜当}鹰蝇莺鹦樱英婴［3］隐影［5］阴{树〜}印应{〜对}映"
"j"	"［2］形型刑淫寅云赢盈［4］饮{〜酒}引［6］闰运晕孕"
"#əŋ"	""
"p"	"［1］宾冰兵［3］丙秉饼［5］殡鬓柄并{合〜}"
"pʰ"	"［1］拼{〜命}姘拼［3］品［5］聘"
"b"	"［2］萍屏贫频凭平坪评瓶［4］并［6］病"
"m"	"［2］民鸣明盟名［4］悯敏抿皿［6］命"
"t"	"［1］钉{铁〜}丁疔［3］顶鼎［5］钉{〜住}订"
"tʰ"	"［1］听{〜话}厅［3］艇挺［5］听{〜其自然}"
"d"	"［2］亭停庭廷蜓［4］锭［6］定"
"l"	"［2］林淋邻鳞陵凌菱零灵［4］领岭［6］令另外"
"ts"	"［1］蒸精晶睛侦正{〜月}征{〜求}［3］拯井整［5］证症正政"
"tsʰ"	"［1］青蜻称{〜呼}清［3］请［5］称{相〜}秤"
"dz"	"［2］惩橙呈程［6］剩郑"
"s"	"［1］星腥升胜{〜任}声［3］醒［5］胜{〜败}性姓圣"
"z"	"［2］乘绳仍情晴成城诚盛{〜满了}［4］靖静［6］净"
"#oŋ"	""
"p"	"［1］崩［5］迸"
"pʰ"	"［1］□{胀开}［3］捧［5］碰"
"b"	"［2］蓬篷朋棚嘣{爆炸}［6］蓬"
"m"	"［2］蒙［4］懵［6］梦"
"f"	"［1］封蜂锋峰风枫疯丰［5］讽"
"v"	"［2］缝{〜衣服}逢［4］奉［6］缝{一条〜}俸凤"
"t"	"［1］冬东咚［3］懂董［5］冻"
"tʰ"	"［1］通［3］捅［5］统痛"
