"m2"	"毋"
"ka5"	"瘕架𦙺𢱈𢉤幏稼個箇#尬（松江音）"
"kʰa1"	"㤉𣘟䶗𡤫#揩抲"
"kʰa3"	"跒咖（~啡 葡cafe）"
"kʰa5"	"㰤疴𠳌𧩶髂𩩱？下"
"xa1"	"谺颬岈疨蚜呀呵蝦鰕"
"xa2"	"䠍遐瑕碬蕸赮鍜𩋥䫗䪗騢#還"
"xa3"	"㗿覀閜襾"
"xa5"	"㗿唬謑煆㙤嚇罅𧫒丅下暇下芐"
"ʔa1"	"丫𠜲㝞椏䃁鴉鵶錏ㄚ"
"ʔa2"	"而陑耏咡峏䎠洏栭胹𦓒輀𨼏髵𩰴𦠌鴯鮞𨎪誀陾𣚊兒𠒆唲婼？抑牙？乎"
"ʔa3"	"啞瘂𤺘尒𨒛爾邇耳洱䋙鉺駬𪕔也"
"ʔa5"	"覀啞襾亞俹埡䢝婭𣇩㰳氬𦜖稏咡洱珥毦衈餌𩱓刵佴㛅䏪䎶䣵誀𦖢眲二弍貳樲髶下"
"tsa1"	"䅊𤶠䐒觰𧬅𪗭奓咤查査碴浾𦳏抯柤喳渣溠楂樝㪥皻𥡧𤹡齄齇䶥㸙𠌮"
"tsa3"	"觰䋾𥰭厏痄鮓謯槎厏堵赭詐#吒（哪吒）#咱（北語俗字）"
"tsa5"	"䒲奼膪㓃𨶃哆吒䐒灹奓咤𢕮䅊䖳咋（側駕切 咋語聲）笮溠詐榨𨢧蜡齰乍䄍嗻柘蔗樜蟅䗪鷓炙蚱#柞"
"tsʰa1"	"𤵾侘哆㗬叉杈䑡𠞊艖鎈餷靫差䐤車硨扠"
"tsʰa2"	"秅茶𡨀𡝐𡝙䅊搽𤶠𥥸𦛝𨼑𣘻䠧荼梌塗（宅加切 沮洳也）䣝查査猹槎碴㢒苴楂䶥？昨"
"tsʰa3"	"奼姹㨋䰩奲哆鑔"
"tsʰa5"	"侘姹詫𧬮䞣斥厈汊杈衩㣾"
"sa1"	"沙砂紗桬㲚痧硰裟魦𩊮鯊髿猞畲畬"
"sa2"	"闍𥍸鍦鉈荼虵"
"sa3"	"灑䬷𩜉騇"
"sa5"	"嗄沙𦔯𥁹𣝒舍厙？赦涻騇貰"
"pæʔ7"	"法灋八扒玐朳㺴捌哵釟𩡩䤢捌㭭拔𥎱菝"
"pʰæʔ7"	"叭汃𥐙趴𨋐𪗔"
"mæʔ7"	"䀣睰㑻礣䯦𪒜齂𥗥㩢帓帕"
"fæʔ7"	"法灋琺𥎰姂泛颰發𩑛髮𩠖冹㤄坺拔橃伐茷垡栰筏䣹閥罰瞂藅𠲎䑔"
"læʔ7"	"㩉㕇垃拉菈搚𤛊𣤊磖𦒆𪇹摺臈搚邋䗶𦅶臘𥀰蠟𦒦鑞𪇹𪙷䶘擸䋵𢈠剌喇𢃴㻝楋揧辢𥈙瘌辣蝲鬎䶛䓶攋癩糲轢厲癘#藍捺"
"kæʔ7"	"砝蓋䗘䫦𨜴𧪞鉀𪁍嗑閘"
"kəʔ7"	"鴿㠷佮匌㭘𢂷𣭝閤鞈韐鮯鉿蛤浩合㪉頜㧁郃"
"kæʔ7"	"𢂷鞈韐裌筴夾郟䀫袷跲餄䩡鵊㿓䶢梜𨒇甲岬玾胛𥑐鉀𩌍𠩘押挾"
"kəʔ7"	"#𨞛"
"kæʔ7"	"嘎𠜵圿扴恝戛㮖鴶秸鞂稭袺𪃈忦砎骱釓磍楔頡尜𪈟𩮁猰擖#莢？軋"
"kʰæʔ7"	"甲䶢掐㓣帢恰𢂿𣁴㡊𠕣䁍"
"kʰəʔ7"	"趏楬𥴭磍咭劼𠛉葜㓞㓤𢼣𤫶硈䂒𦸉𩮁鬝鬜擖"
"xæʔ7"	"㾑欱𣣹㽺𣣹𩵢㽺"
"xəʔ7"	"蓋盍𨜴熆篕𧪞闔𨶩嗑㧁㭘搿合䢔盒𡇶𦳬詥耠榙𪘁郃"
"xæʔ7"	"呷譀𣢗䛅欱䶎㰰敮䞩洽䨐陜珨峽狹𢈙烚祫陿硤𤲍𪘘匣狎𢘉柙炠𧆥翈笚舺𦾏𠗉霅"
"xəʔ7"	""
"xæʔ7"	"㔠瞎𩮂𪗾𩪲䕸黠䦖砎𡑧𧷎𠢆𢮟𦵯舝𥰶縖轄𤪍鎋𩝛𪗾鶷𧕱"
"tsæʔ7"	"嘁唼帀匝迊𠯗沞咂魳䞙䍼噆𣤶遪㜗䟃䵽𥗭囃䣟𨅔砸韴磼雜䕹雥䪞𢶍劄𧉫𠍹𠗨喋鞢擖霅𤁳偛㞚䙄眨𥀈䛽𥯦𨖷渫牐煠𧼰䮢𤁢𠛱拶㳨䰖𨀨㩵巀囐𡂐囋眣哳𢧖𧶇扎紮札㱜蚻𩿤耫㳐鍘𨰉卡（字彙補 從納切 守~）"
"tsʰæʔ7"	"𥃐扱𤜯臿插㛼鍤疀㷅笈喢攃擦（俗字）䌨礤擦詧察𣘤䕓檫鑔𩴳𪙻𥉻刹䓭剎柵"
"sæʔ7"	"𠦄圾𣬬靸𩎕卅𠦃㚫馺颯𢕬趿鈒霅靸卅𠦃𠎷㪪𠿓𩐅𨆂𢶍萐喢歃箑䈉𧳛霎攃𨐖撒𢴻𠱡摋𦼧薩𥻦䉈躠帴脎殺蔱榝𣻑鎩煞摋榝扱"
"paŋ1"	"㨍幫𨢐鞤縍邦垹𤰫梆"
"paŋ3"	"𣮧榜牓蒡螃䰃氆？紡綁𦂌"
"paŋ5"	"謗舫螃搒傍徬𢗒玤㭋蚌棒棓䎧蜯"
"pʰaŋ1"	"磅鎊雱滂𣂆䨦霶芳𤵸胮𩐨𪐿𪔔"
"pʰaŋ2"	"傍趽房彷旁𨜷膀䅭螃篣䠙髈騯房舽胮𩐨逄"
"pʰaŋ3"	"髈耪䒍#龐"
"pʰaŋ5"	"肨"
"maŋ2"	"䀮邙芒吂汒忙杗𥐞茫𨛌恾朚𡩩蘉尨厖哤㟌狵浝娏牻𥆙痝蛖駹䵨𠈵#盲（此音不正 當呼如萌）"
"maŋ3"	"㟐莽茻壾漭㬒䁳䒎蟒蠎䥈𠈵𪁪"
"maŋ5"	"吂㟐漭"
"faŋ1"	"匚方邡坊汸枋牥䄱蚄趽鈁鴋肪芳淓妨#望"
"faŋ2"	"方坊鴋防肪房魴#妨"
"faŋ3"	"昉瓬倣放仿紡髣䲱鶭彷#訪"
"faŋ5"	"趽舫放𨾔邡妨訪𩦠#犯防"
"taŋ1"	"當噹璫𦡁㼕襠蟷簹𨎴鐺檔儅？凙#唐（松江音 巷~）"
"taŋ3"	"党擋黨䣣攩𧅗灙欓𥤗讜瓽蕩儻"
"taŋ5"	"當擋瓽儅譡闣愓婸𢠽蕩𥯕䑗璗盪簜嵣潒崵𡇈宕菪逿碭𦿆嵣踼"
"tʰaŋ1"	"盪簜𦳝湯蝪羰𧼮薚闛鼞踼鏜倀"
"tʰaŋ2"	"碭闛坣唐堂棠啺傏䧜塘搪蓎䣘溏隚瑭榶𥏬𤚫㼺㲥煻樘磄𤛋膛橖踼螗篖糖赯𨍴醣螳餳糛𨶈䉎鎕餹𩹶鶶𪕹場徜"
"tʰaŋ3"	"惝攩𥯕耥踼帑倘偒㼒儻戃曭𣎲爣矘㿩逿"
"tʰaŋ5"	"蕩盪湯儻燙𨫖鐋"
"laŋ1"	"狼浪穰"
"laŋ2"	"囔囊蠰饢啷郎㟍狼㝗欴琅蓈桹廊瑯榔硠稂𥍫𦵧筤艆䡙螂（蜋俗字）躴閬鋃䯖鎯駺𪁜𩷕浪莨蜋哴踉𨟚獽瀼禳穰瓤䉴躟𩆶鬤攘𣀮儴勷蘘鑲涳𣰊䁸𦗳譨鬞噥𩟊𪆯瀧䮾"
"laŋ3"	"曩灢㝗榔朗朖誏崀俍蠰䖆穰躟壤攘嚷䑋𥗝"
"laŋ5"	"灢儾㚂閬埌浪蒗䕞攘懹讓欀"
"kaŋ1"	"岡牨缸罡剛堈崗㓻𤭛犅堽綱鋼掆苀迒笐魧亢肛矼𧢸釭杠玒江茳豇䜫扛"
"kaŋ3"	"㽘𨟼䴚䟘港傋耩講"
"kaŋ5"	"鋼掆槓虹洚𡲣絳"
"kʰaŋ1"	"康㼹𨻷漮㝩槺𤮊㱂𥉽穅䗧糠躿邟㼹崆涳悾控𤟄椌腔羫𩩝㾤跫鏗"
"kʰaŋ3"	"骯慷㝩䡉𡻚忼懬"
"kʰaŋ5"	"蚢頏亢伉邟抗犺炕砊閌鈧𪎵阬囥"
"xaŋ1"	"夯㰠䐠忼炕舡肛谾啌𨋪"
"xaŋ2"	"肮行苀迒杭蚢航𦐄筕頏𨁈魧沆桁胻邟抗吭缻缸夅洚扛栙䜶跭"
"xaŋ3"	"酐𤰟汻骯蚢沆䟘𡕬吭傋夯𢞡"
"xaŋ5"	"笐吭項缿閧衖巷鬨"
"ʔaŋ1"	"咉㹧姎眏𧲱佒泱殃胦䄃鉠霙胦ㄤ"
"ʔaŋ2"	"？㟅䒢枊昂㭿䩕䭹卬"
"ʔaŋ3"	"䇦盎醠咉泱姎坱軮駚映秧鞅岟炴紻𧵌駚怏柍詇䬬慃䭹"
"ʔaŋ5"	"盎醠怏㿮詇䬬枊䭹𡵙"
"tsaŋ1"	"匨戕样䍧臧贓張粻餦漲章鄣蔁獐彰漳慞嫜璋樟暲蟑𩌬麞𪅂障墇箏"
"tsaŋ3"	"驡髒駔長𤓯仉掌鞝"
"tsaŋ5"	"奘藏奘𨌄臟張漲帳脹痮賬丈仗杖㽴長瓺仗障墇嶂幛㢓瞕瘴葬"
"tsʰaŋ1"	"倉𠥐凔蒼滄艙𩀞鶬傖倀鼚𦳝昌菖猖娼琩裮閶錩鯧倡"
"tsʰaŋ2"	"藏長瓺㙊萇場腸䗅䠆常甞嘗嫦鋿嚐償𪄹𩼝？尚？尙"
"tsʰaŋ3"	"蒼昶鋹惝敞僘廠𢠵氅𪅶䟫#場（俗又音）"
"tsʰaŋ5"	"昶鬯悵𥇔暢畼𥠴䩨𧀄韔廠昌倡唱𪛋淌"
"saŋ1"	"桒桑喪𠸶𦅇𩦌塲𤳈㲽商傷蔏慯殤𧶜熵𥏻螪觴𪄲䵼湯饟禓䵮"
"saŋ2"	"腸償裳"
"saŋ3"	"搡嗓磉𣞙顙𣡆上丄償（集韻又音）晌賞𩞃𩞧饟曏"
"saŋ5"	"喪𠷔𠸶償丄上尙尚緔蠰傷慯𤵼餉饟向珦曏蟓搡"
"paʔ7"	"爆博搏㗘猼愽䙏䗚䍸簙鎛餺𩌏髆𥴮欂襮䶈鑮𪙍溥薄䭦亳鉑箔鑮𩍿𩽛踄簿縛𦢊㿺趵爆剥剝𥭖駁𩐟駮髉䑈𪇰肑嚗#柏（~油又音 源松江）雹"
"pʰaʔ7"	"𦢸胉搏膊𥴮濼粕奤𦥭𦐦蒪𦿍𩔈䪙䨰𩅿颮㩧鞄攴釙謈𧴤𤆝圤㺪墣璞朴𥛟樸㹒窇雹𥭓䈏𦢊𩅟骲瓝瓟㼎䮀𩣡豰㩧懪犦𩺽跑謈泊杷𢷏怕（白各切 通泊 憺怕）#杷"
"maʔ7"	"鄚摸膜莫𠢓塻嗼𡈗𢊗漠寞𣩎瞙瘼鏌幕皃眊瞀𢷕藐邈㦝瞐毣#沬"
"faʔ7"	"縛"
"taʔ7"	"㤞度仛剫喥𩑒𢜬凙𨍏踱𧩧䐾鐸𩍜襗？拓"
"tʰaʔ7"	"魄乇托侂沰託袥飥馲魠𩧐橐庹拓柝𦚈𣔳𨂫𣟄籜蘀矺？喥"
"laʔ7"	"諾鍩袼挌硌鉻䶅駱烙酪轢𤻲㓢洛珞𣧳䀩𤽥落笿絡𤽼𩂣雒𩊚𣛗鮥鵅濼𨏒𧭥𪇱馲𩧐樂躒餎溺（水名）惹叒若鄀弱楉蒻𨀝箬䐞掉搙𧢺𧣺䚥䃕犖𡁆貉"
"kaʔ7"	"咯胳袼擱格（樹枝也）閣各腳梏䮤角較斠玨珏𤤴捔桷䡈傕瑴䁷覺龣搉榷䮸䚫"
"kʰaʔ7"	"恪㤩愙觳毃殼𡇱𡴊埆硞𤿩塙搉愨𣤇碻確㲉燩礐㱿嶨𠕓"
"xaʔ7"	"狢䅂涸貈䶅䮤佫𠗂鶴貉𥉑豿𩌥滈翯嗀謞㕰𦰾𩌊瀥䤕翯㿥确嶨澩𥀣觷鷽郝鄗鰝蠚嗃㕡𧮸𦞦熇壑矐謞隺"
"ʔaʔ7"	"𢙣堊惡蝁噁（噁噁）龏𦯏偓幄渥媉楃腛𠿟䮸𪑱鷽葯箹咢鄂偔堮萼𧊜遌㗁崿湂愕㮙𠟎𧍞噩諤鍔顎𡓐𡾙鶚鰐𡅡齶鑩鱷𧍞𧊜"
"tsaʔ7"	"鑿迮柞作㘀糳𣫞鑿笮砟柞𢂃㸲莋秨筰鈼𦁎䎰岝怍葃酢飵芍着著鐯擆𣃈𥖛櫡𥗁着著焯繳勺妁彴犳㣿𧘑斫酌禚䅵𥯩䶂謶"
"tsʰaʔ7"	"縒剒莡厝逪錯䱜昨𤟭逴辵㲋蠚婼辶繛婥綽磭𦁎"
"saʔ7"	"索（蘇各切 大者謂之索）𢱢𦵫㮦𩌈溹仢勺芍杓妁汋䟏獡爍䁻鑠㜰爚碩灼"
"pɛ3"	"捭擺#廢"
"pɛ5"	"扒拜𢷎庍㠔敗罷矲㔥䥯𢞎𢟡猈䢙敗贁唄稗粺𪐄杷𦩋韛𣡖𢞎𢟡𤸶憊㶔韝棑"
"pʰɛ2"	"俳排牌輫𩑢猈棑牌𥱼犤䱝郫蠯啡"
"pʰɛ5"	"𣎵𣏕𣝁𠂢𣏟派㭛蒎𥿯㵺𣎳湃浿啡"
"mɛ2"	"埋薶㦟霾䁲𩍃"
"mɛ3"	"買蕒嘪鷶㵋"
"mɛ5"	"佅勱邁䜕賣𧱘䀛韎"
"tɛ1"	"懛𪒴呔#嬯袋"
"tɛ3"	"傣等䫂？逮"
"tɛ5"	"迨殆待怠紿軩𠷂𨽿駘䈚詒大汏㐲軑䲦𪐝釱忕逮代甙𤮼岱帒玳埭𡍖袋瑇黛黱靆隶酨𨠾？汰帶𢄔㯂艜蹛摕跢㿃戴##貸（北音）"
"tʰɛ1"	"孡胎𧉟𩬠台邰鮐提？大"
"tʰɛ2"	"苔炱菭跆臺颱駘䈚儓𩿡擡薹嬯檯籉𪒴"
"tʰɛ3"	"㘆紿殆"
"tʰɛ5"	"貸曃儓態大（~斧）太忕汰肽泰酞鈦"
"lɛ1"	"#賴"
"lɛ2"	"㾍能㾢來郲萊逨崍徠猍庲淶棶𤦃𤲓䅘䋱𧳟錸騋鶆麳鯠𪑚𪎂𣮉犛𣀗斄唻"
"lɛ3"	"乃氖迺倷鼐唻𨦂"
"lɛ5"	"耏佴螚耐鼐𣉘能奈柰萘渿㲡錼𩹟㾢萊逨徠勑睞賚䚅誺䓶賴𡂖鵣藾瀨㸊䄤𨇆癩籟䲚犡糲？䐯"
"kɛ1"	"㱯䶣侅郂陔垓荄峐姟晐祴絯豥賅該䬵䐩㨟胲剴荄痎階堦喈街湝𦝨稭蝔𩘅鶛䕸𤭧楷鍇偕薢街"
"kɛ2"	"？賅"
"kɛ3"	"改絠頦解檞薢"
"kɛ5"	"丐匃鈣蓋㧉𠌰摡鈣溉概槩㕢漑槪尬价丯介𠨴戒芥㠹㝏玠砎界疥衸蚧悈䯰𩡺誡䲸魪䁓艐堺解㾏繲薢廨犗𧜅拐箉"
"kʰɛ1"	"侅㱾奒開㚊揩𢔡𥻄𦂄"
"kʰɛ3"	"䐩凱塏輆愷暟闓鎧颽𦝨䒓𡢖蒈楷𥏪𠢲鍇"
"kʰɛ5"	"𨜴𩫀㪡𥎆䳚磕溘愒轄慨闓鎧欬嘅愾劾揩烗𤈪𨛖𡢖隑"
"xɛ1"	"𨸜㾂咍#懈㰨㗨𢓬"
"xɛ2"	"豥㨟孩𧻲䠽䱺頦咳鮭嚡榽慀㥟㨙膎鞋䙎鞵骸䓳湝蝔瑎鞋諧𩤠龤"
"xɛ3"	"海醢橀蟹？䲒"
"xɛ5"	"𤵽餀㺔𦤦𩹄儗侅亥㧡氦𥩲夆害𢞐妎戤㤥劾瀣懈欸譮䜕𢗊𡘌㞒㖑噧齂𦤬䜕謑侅絯駭駴㕢解邂衸㳦䦏𤡧薤韰㒠齘瀣䪥解？𨼬？嶰獬？澥"
"tsɛ1"	"𢦏𡿧𢦒𤆎灾災哉栽烖𦳦渽睵𦸜𢦔災榸𪘨齊齋者"
"tsɛ3"	"者宰載䏁縡#子解（舊音）"
"tsɛ5"	"再𨚵𩛥縡䵧在裁纔栽+載在酨𣿐祭𨝋瘵債㾹眦眥"
"tsʰɛ1"	"䞗猜偲睵扠搋䞗差叉芆𠞊靫差釵㼮𩑐䐤"
"tsʰɛ2"	"才𦬁材財裁䴭纔溨鼒査柴祡𨌅㾹𪗶茈齜㧘豺𡺵儕麡"
"tsʰɛ3"	"采採彩㥒寀睬綵跐䰂"
"tsʰɛ5"	"𣞖蔡𪇭䐆埰菜棌䰂蠆慸杈訍衩差㳗瘥𧪘"
"sɛ1"	"毢揌腮噻䚡顋𪃄鰓愢粞𥳧崽篩籭諰崽"
"sɛ3"	"𩌦躧"
"sɛ5"	"曬塞賽簺𢞝砦寨洒𨢦䵘曬汛𠱡閷鎩𧜁"
"ʔɛ2"	"#冶#言（~話 松江音）"
"ʔɛ3"	"也（亦之誤）亦"
"pɛ̃1"	"扳班般斑頒斒𠔯癍辬鯿朌肦鳻螌䰉斒虨攀（俗音 折也）"
"pɛ̃3"	"板瓪昄版舨鈑蝂闆"
"pɛ̃5"	"湴埿阪昄魬辦瓣釆辨"
"pʰɛ̃1"	"扳眅攀𡴂"
"pʰɛ̃2"	"𨂝"
"pʰɛ̃3"	"眅"
"pʰɛ̃5"	"盼𥌊盻襻"
"mɛ̃1"	"蠻"
"mɛ̃2"	"姏䅼鬘𪑪蠻𪈮獌謾樠"
"mɛ̃3"	"㛧𩛎錽𡕢𢨔𦺖矕𥇅晚"
"mɛ̃5"	"𦱏𦲯㾺慢嫚熳縵謾蔄鬗曼蔓獌澫䡬䝡娩䨲輓㿸卍脕𦂔𨞼蟃贎"
"fɛ̃1"	"䒦𣢲帆颿蕃藩轓籓鱕鐇番幡翻旛轓𤃳飜𤄫繙+反（平反）𤄜"
"fɛ̃2"	"凡柉𦨲𠆩氾番墦蕃藩旛笲𥿋棥煩緐樊㺕璠𢶃薠膰燔𥢌繁襎羳𢐲繙蹯蘩礬𨆌鐇瀿蠜䪤𩐏䮳𧢜𨟄鷭𪖇蟠袢"
"fɛ̃3"	"𦜒釩阪坂橎反返䡊"
"fɛ̃5"	"姂𠆩氾汎䒦泛𥁔䀀犯范軓笵𧍙範帆颿梵畈販汳𣀔㽹奿㤆𡗹𨠒嬎嬔㪻𠠵娩䪻笲飯軬閞𧉤𥹇飯飰𩚳㶗#乏#番"
"tiɛ̃1"	"襌丹單匰鄲㠆殫䐷癉簞"
"kɛ̃1"	"甘苷泔柑疳䇞𤯎咁媣淦蜬䶃䌠弇尲瑊緘䌠𪒹黬玪尷監礛𥌈鑑#咸迀忓玕肝㿻竿𢧀𨝌鳱漧干邗汗奸（犯也）乾𡯋菅葌䔵"
"kɛ̃3"	"䇞𠭖𣪏敢𢽤澉橄感䃭鱤䤗贛𧆐灨贑㔶𥸡灝堿碱𥳒矸仠𤿊秆衦皯𥾍桿笴稈趕䵟擀𦼮簳靬蕑覸覵閒柬揀暕簡𥳑㶕𤄒𧟉僴僩"
"kɛ̃5"	"淦紺贛𧆐灨𪉦㔋𥌈𪉦䫡矸杆旰盰倝𣵼骭幹榦𧹳𢁗覸襇襉𨣇𧙧覵閒鐗澗㵎諫鐧"
"kʰɛ̃1"	"𤬪𤯌𤯎撖𢦟堪嵁戡𩑟龕㪁坩嵁厱鵮𠔺𢽣嵌靬𣓁刊栞看臤豻馯鬜臤掔慳𩋆顅鬝鬜𧢞羥#鉛"
"kʰɛ̃2"	"#鉗#箝"
"kʰɛ̃3"	"坎砍莰埳惂歁輡顑轗竷臽錎䖔𠪚撖𢜩㦿𣓅槏歉䫡䫡侃衎齦？限"
"kʰɛ̃5"	"𪉿闞𣊟瞰嚂勘轗竷崁䘓𧗀磡𪉯歉䫡靬侃偘看衎䳚？艦"
"xɛ̃1"	"蚶𧵊憨歛嬜𣢺谽𡪶𩈣馠𡬖唅㟏𧮰妗𧍧㰹䩂頇鼾羴#獾"
"xɛ̃2"	"𤯎酣魽邯甝䗣炶煔含肣函𠥴圅梒𤭙晗焓涵𠗴筨𣹢蜬䈄鋡䨡䤴䶃𩄙𢎘頷顄𩔞函㮀椷鹹稴鰜咸㮭輱醎諴𩤥啣銜甉虷邗邯寒𦺦韓𩏑𧃙汗翰䮧鶾瞯閑閒蛝憪嫺𥊺癇藖𩦂鷴鷳降"
"xɛ̃3"	"喊㯺嚂𡒓䫲喊闞欦厂罕䍐蔊焊暵熯灘䓍旱𡷛皔䛞限"
