"繁體"	"简体"	"聲韻"	"聲調"		"1：˦˦"	"2：˧˩"
"獺"	"獭"	"tʰa"	323			
"禿"	"秃"	"tʰo"	323			
"脫"	"脱"	"tʰɛ"	323			
"貼"	"贴"	"tʰe"	323			
"跌"	"跌"	"tʰe"	323			
"踢"	"踢"	"tʰe"	323			
"鐵"	"铁"	"tʰe"	323			
"刮"	"刮"	"kua"	323			
"割"	"割"	"kiɛ"	323			
"各"	"各"	"ko"	323			
"國"	"国"	"kø"	323			
"夾"	"夹"	"ka"	323			
"居"	"居"	"kɯ"	323			
"峽"	"峡"	"ka"	323			
"廓"	"廓"	"ko"	323			
"括"	"括"	"kua"	323			
"挾"	"挟"	"ka"	323			
"格"	"格"	"ka"	323			
"橄"	"橄"	"ka"	323			
"甲"	"甲"	"ka"	323			
"穀"	"谷"	"ku"	323			
"胳"	"胳"	"ko"	323			
"葛"	"葛"	"kiɛ"	323			
"虢"	"虢"	"kua"	323			
"虢"	"虢"	"kø"	323			
"覺"	"觉"	"ko"	323			
"角"	"角"	"ko"	323			
"郭"	"郭"	"ko"	323			
"閣"	"阁"	"ko"	323			
"隔"	"隔"	"ka"	323			
"革"	"革"	"kiɛ"	323			
"骨"	"骨"	"kø"	323			
"鴿"	"鸽"	"kiɛ"	323			
"丐"	"丐"	"kʰa"	323			
"克"	"克"	"kʰɛ"	323			
"刻"	"刻"	"kʰɛ"	323			
"咳"	"咳"	"kʰiɛ"	323			
"哭"	"哭"	"kʰu"	323			
"客"	"客"	"kʰa"	323			
"恰"	"恰"	"kʰa"	323			
"掐"	"掐"	"kʰiɛ"	323			
"殼"	"壳"	"kʰo"	323			
"渴"	"渴"	"kʰiɛ"	323			
"確"	"确"	"kʰo"	323			
"窟"	"窟"	"kʰø"	323			
"酷"	"酷"	"kʰu"	323			
"闊"	"阔"	"kʰua"	323			
"域"	"域"	"ʔjiu"	323			
"役"	"役"	"ʔjieu"	323			
"欲"	"欲"	"ʔjieu"	323			
"浴"	"浴"	"ʔjieu"	323			
"疫"	"疫"	"ʔjieu"	323			
"約"	"约"	"ʔjia"	323			
"育"	"育"	"ʔjieu"	323			
"躍"	"跃"	"ʔjia"	323			
"鑰"	"钥"	"ʔjia"	323			
"鬱"	"郁"	"ʔjieu"	323			
"勿"	"勿"	"fɛ"	323			
"幅"	"幅"	"fu"	323			
"弗"	"弗"	"fɛ"	323			
"彿"	"彿"	"fɛ"	323			
"拂"	"拂"	"fɛ"	323			
"沸"	"沸"	"fɛ"	323			
"法"	"法"	"fa"	323			
"發"	"发"	"fa"	323			
"福"	"福"	"fu"	323			
"腹"	"腹"	"fu"	323			
"蝠"	"蝠"	"fu"	323			
"復"	"复"	"fu"	323			
"覆"	"覆"	"fu"	323			
"作"	"作"	"tso"	323			
"則"	"则"	"tsɛ"	323			
"劄"	"札"	"tsa"	323			
"劫"	"劫"	"tse"	323			
"卒"	"卒"	"tsɛ"	323			
"即"	"即"	"tse"	323			
"厥"	"厥"	"tsø"	323			
"吉"	"吉"	"tse"	323			
"哲"	"哲"	"tse"	323			
"急"	"急"	"tse"	323			
"戟"	"戟"	"tse"	323			
"折"	"折"	"tse"	323			
"拙"	"拙"	"tsø"	323			
"摘"	"摘"	"tsa"	323			
"摺"	"摺"	"tse"	323			
"撒"	"撒"	"tsa"	323			
"擊"	"击"	"tse"	323			
"橘"	"橘"	"tse"	323			
"汁"	"汁"	"tsɛ"	323			
"決"	"决"	"tsø"	323			
"浙"	"浙"	"tse"	323			
"潔"	"洁"	"tse"	323			
"激"	"激"	"tse"	323			
"猝"	"猝"	"tsø"	323			
"眨"	"眨"	"tsa"	323			
"節"	"节"	"tse"	323			
"級"	"级"	"tse"	323			
"紮"	"扎"	"tsa"	323			
"結"	"结"	"tse"	323			
"給"	"给"	"tse"	323			
"綴"	"缀"	"tsø"	323			
"訣"	"诀"	"tsø"	323			
"責"	"责"	"tsɛ"	323			
"軋"	"轧"	"tsa"	323			
"輟"	"辍"	"tsø"	323			
"鯽"	"鲫"	"tse"	323			
"七"	"七"	"tsʰɛ"	323			
"側"	"侧"	"tsʰɛ"	323			
"冊"	"册"	"tsʰa"	323			
"出"	"出"	"tsʰø"	323			
"切"	"切"	"tsʰe"	323			
"妾"	"妾"	"tsʰe"	323			
"察"	"察"	"tsʰa"	323			
"屈"	"屈"	"tsʰø"	323			
"廁"	"厕"	"tsʰe"	323			
"徹"	"彻"	"tsʰe"	323			
"拆"	"拆"	"tsʰa"	323			
"插"	"插"	"tsʰa"	323			
"揭"	"揭"	"tsʰe"	323			
"撤"	"撤"	"tsʰe"	323			
"撮"	"撮"	"tsʰɛ"	323			
"擦"	"擦"	"tsʰa"	323			
"泣"	"泣"	"tsʰe"	323			
"測"	"测"	"tsʰɛ"	323			
"漆"	"漆"	"tsʰɛ"	323			
"砌"	"砌"	"tsʰe"	323			
"策"	"策"	"tsʰa"	323			
"缺"	"缺"	"tsʰø"	323			
"闕"	"阙"	"tsʰø"	323			
"刷"	"刷"	"sø"	323			
"吸"	"吸"	"se"	323			
"塞"	"塞"	"sɛ"	323			
"失"	"失"	"sɛ"	323			
"宿"	"宿"	"su"	323			
"恤"	"恤"	"sø"	323			
"戌"	"戌"	"sø"	323			
"旭"	"旭"	"su"	323			
"朔"	"朔"	"su"	323			
"束"	"束"	"su"	323			
"歇"	"歇"	"se"	323			
"殺"	"杀"	"sa"	323			
"涮"	"涮"	"sø"	323			
"澀"	"涩"	"sɛ"	323			
"濕"	"湿"	"sɛ"	323			
"率"	"率"	"sø"	323			
"瑟"	"瑟"	"sɛ"	323			
"畜"	"畜"	"su"	323			
"粟"	"粟"	"su"	323			
"索"	"索"	"so"	323			
"索"	"索"	"su"	323			
"縮"	"缩"	"su"	323			
"肅"	"肃"	"su"	323			
"色"	"色"	"sɛ"	323			
"蓄"	"蓄"	"su"	323			
"薩"	"萨"	"sa"	323			
"蟀"	"蟀"	"sø"	323			
"蠍"	"蝎"	"se"	323			
"血"	"血"	"sø"	323			
"設"	"设"	"se"	323			
"說"	"说"	"sø"	323			
"迄"	"迄"	"se"	323			
"速"	"速"	"su"	323			
"雪"	"雪"	"sø"	323			
"卓"	"卓"	"tɕo"	323			
"即"	"即"	"tɕi"	323			
"囑"	"嘱"	"tɕo"	323			
"執"	"执"	"tɕi"	323			
"姐"	"姐"	"tɕi"	323			
"捉"	"捉"	"tɕo"	323			
"桌"	"桌"	"tɕo"	323			
"燭"	"烛"	"tɕo"	323			
"爵"	"爵"	"tɕa"	323			
"琢"	"琢"	"tɕo"	323			
"祝"	"祝"	"tɕu"	323			
"積"	"积"	"tɕi"	323			
"竹"	"竹"	"tɕu"	323			
"築"	"筑"	"tɕu"	323			
"粥"	"粥"	"tɕu"	323			
"績"	"绩"	"tɕi"	323			
"織"	"织"	"tɕi"	323			
"職"	"职"	"tɕi"	323			
"脊"	"脊"	"tɕi"	323			
"腳"	"脚"	"tɕa"	323			
"芍"	"芍"	"tɕa"	323			
"菊"	"菊"	"tɕu"	323			
"著"	"着"	"tɕa"	323			
"足"	"足"	"tɕo"	323			
"跡"	"迹"	"tɕi"	323			
"酌"	"酌"	"tɕa"	323			
"鯽"	"鲫"	"tɕi"	323			
"乞"	"乞"	"tɕʰi"	323			
"促"	"促"	"tɕʰu"	323			
"卻"	"却"	"tɕʰa"	323			
"尺"	"尺"	"tɕʰi"	323			
"怯"	"怯"	"tɕʰa"	323			
"戚"	"戚"	"tɕʰi"	323			
"戳"	"戳"	"tɕʰo"	323			
"斥"	"斥"	"tɕʰi"	323			
"曲"	"曲"	"tɕʰo"	323			
"曲"	"曲"	"tɕʰu"	323			
"泣"	"泣"	"tɕʰi"	323			
"綽"	"绰"	"tɕʰa"	323			
"緝"	"缉"	"tɕʰi"	323			
"膝"	"膝"	"tɕʰi"	323			
"觸"	"触"	"tɕʰo"	323			
"訖"	"讫"	"tɕʰi"	323			
"赤"	"赤"	"tɕʰi"	323			
"輯"	"辑"	"tɕʰi"	323			
"隙"	"隙"	"tɕʰa"	323			
"雀"	"雀"	"tɕʰa"	323			
"飭"	"饬"	"tɕʰi"	323			
"鵲"	"鹊"	"tɕʰa"	323			
"削"	"削"	"ɕa"	323			
"叔"	"叔"	"ɕu"	323			
"媳"	"媳"	"ɕi"	323			
"室"	"室"	"ɕi"	323			
"屑"	"屑"	"ɕa"	323			
"式"	"式"	"ɕi"	323			
"息"	"息"	"ɕi"	323			
"悉"	"悉"	"ɕi"	323			
"惜"	"惜"	"ɕi"	323			
"攝"	"摄"	"ɕi"	323			
"旭"	"旭"	"ɕu"	323			
"昔"	"昔"	"ɕi"	323			
"析"	"析"	"ɕi"	323			
"泄"	"泄"	"ɕi"	323			
"淑"	"淑"	"ɕu"	323			
"熄"	"熄"	"ɕi"	323			
"薛"	"薛"	"ɕi"	323			
"識"	"识"	"ɕi"	323			
"適"	"适"	"ɕi"	323			
"釋"	"释"	"ɕi"	323			
"錫"	"锡"	"ɕi"	323			
"閃"	"闪"	"ɕa"	323			
"飾"	"饰"	"ɕi"	323			
"疾"	"疾"	"dʑi"	323			
"囑"	"嘱"	"ʑo"	323			
"喝"	"喝"	"ha"	323			
"嚇"	"吓"	"ha"	323			
"嚇"	"吓"	"ho"	323			
"壑"	"壑"	"ho"	323			
"忽"	"忽"	"hø"	323			
"藿"	"藿"	"ho"	323			
"許"	"许"	"hɯ"	323			
"豁"	"豁"	"ha"	323			
"豁"	"豁"	"ho"	323			
"赫"	"赫"	"ha"	323			
"轄"	"辖"	"ha"	323			
"霍"	"霍"	"ho"	323			
"黑"	"黑"	"hɛ"	323			
"墨"	"墨"	"mɛ"	323			
"脈"	"脉"	"ma"	323			
"麥"	"麦"	"ma"	323			
"默"	"默"	"mɛ"	323			
"拿"	"拿"	"na"	323			
"密"	"密"	"ʔmi"	323			
"抹"	"抹"	"ʔmø"	323			
"摸"	"摸"	"ʔmo"	323			
"沫"	"沫"	"ʔmø"	323			
"一"	"一"	"e"	323			
"乙"	"乙"	"e"	323			
"也"	"也"	"a"	323			
"噎"	"噎"	"e"	323			
"噦"	"哕"	"ø"	323			
"壓"	"压"	"a"	323			
"屋"	"屋"	"u"	323			
"惡"	"恶"	"o"	323			
"扼"	"扼"	"a"	323			
"扼"	"扼"	"e"	323			
"抑"	"抑"	"e"	323			
"押"	"押"	"a"	323			
"挖"	"挖"	"ua"	323			
"握"	"握"	"u"	323			
"斡"	"斡"	"ø"	323			
"沃"	"沃"	"u"	323			
"熨"	"熨"	"ø"	323			
"益"	"益"	"e"	323			
"縊"	"缢"	"e"	323			
"藹"	"蔼"	"e"	323			
"謁"	"谒"	"e"	323			
"軛"	"轭"	"a"	323			
"阿"	"阿"	"a"	323			
"鬱"	"郁"	"eu"	323			
"鴨"	"鸭"	"a"	323			
"保"	"保"	"pɔ"	44			
"兵"	"兵"	"peŋ"	44			
"冰"	"冰"	"peŋ"	44			
"包"	"包"	"pɔ"	44			
"卑"	"卑"	"pai"	44			
"奔"	"奔"	"pan"	44			
"崩"	"崩"	"poŋ"	44			
"巴"	"巴"	"pa"	44			
"幫"	"帮"	"po"	44			
"彪"	"彪"	"piɔ"	44			
"彬"	"彬"	"peŋ"	44			
"悲"	"悲"	"pai"	44			
"扳"	"扳"	"pɛ"	44			
"拜"	"拜"	"pa"	44			
"搬"	"搬"	"pø"	44			
"杯"	"杯"	"pai"	44			
"標"	"标"	"piɔ"	44			
"檳"	"槟"	"peŋ"	44			
"波"	"波"	"po"	44			
"爸"	"爸"	"pa"	44			
"玻"	"玻"	"po"	44			
"班"	"班"	"pɛ"	44			
"疤"	"疤"	"po"	44			
"碑"	"碑"	"pai"	44			
"稟"	"禀"	"peŋ"	44			
"編"	"编"	"pe"	44			
"胞"	"胞"	"pɔ"	44			
"般"	"般"	"pø"	44			
"褒"	"褒"	"pɔ"	44			
"變"	"变"	"pe"	44			
"賓"	"宾"	"peŋ"	44			
"邊"	"边"	"pe"	44			
"邦"	"邦"	"po"	44			
"鞭"	"鞭"	"pe"	44			
"頒"	"颁"	"pɛ"	44			
"丕"	"丕"	"pʰi"	44			
"偏"	"偏"	"pʰe"	44			
"噴"	"喷"	"pʰan"	44			
"坡"	"坡"	"pʰu"	44			
"坯"	"坯"	"pʰai"	44			
"批"	"批"	"pʰi"	44			
"披"	"披"	"pʰi"	44			
"拋"	"抛"	"pʰɔ"	44			
"攀"	"攀"	"pʰɛ"	44			
"柚"	"柚"	"pʰa"	44			
"泡"	"泡"	"pʰɔ"	44			
"漂"	"漂"	"pʰiɔ"	44			
"潘"	"潘"	"pʰø"	44			
"烹"	"烹"	"pʰa"	44			
"篇"	"篇"	"pʰe"	44			
"胚"	"胚"	"pʰai"	44			
"鋪"	"铺"	"pʰu"	44			
"頗"	"颇"	"pʰo"	44			
"頗"	"颇"	"pʰu"	44			
"飄"	"飘"	"pʰiɔ"	44			
"丁"	"丁"	"teŋ"	44			
"丟"	"丢"	"tiu"	44			
"丹"	"丹"	"tɛ"	44			
"低"	"低"	"ti"	44			
"兜"	"兜"	"tau"	44			
"冬"	"冬"	"toŋ"	44			
"刀"	"刀"	"tɔ"	44			
"刁"	"刁"	"tiɔ"	44			
"單"	"单"	"tɛ"	44			
"堆"	"堆"	"tai"	44			
"墩"	"墩"	"tø"	44			
"多"	"多"	"tu"	44			
"掂"	"掂"	"te"	44			
"擔"	"担"	"tɛ"	44			
"敦"	"敦"	"tø"	44			
"東"	"东"	"toŋ"	44			
"燈"	"灯"	"tan"	44			
"爹"	"爹"	"ti"	44			
"獃"	"獃"	"tai"	44			
"當"	"当"	"to"	44			
"登"	"登"	"tan"	44			
"端"	"端"	"tø"	44			
"耽"	"耽"	"tɛ"	44			
"貂"	"貂"	"tiɔ"	44			
"蹲"	"蹲"	"tan"	44			
"都"	"都"	"tu"	44			
"釘"	"钉"	"teŋ"	44			
"雕"	"雕"	"tiɔ"	44			
"顛"	"颠"	"te"	44			
"他"	"他"	"tʰa"	44			
"偷"	"偷"	"tʰau"	44			
"叨"	"叨"	"tʰɔ"	44			
"吞"	"吞"	"tʰan"	44			
"坍"	"坍"	"tʰɛ"	44			
"天"	"天"	"tʰe"	44			
"廳"	"厅"	"tʰeŋ"	44			
"挑"	"挑"	"tʰiɔ"	44			
"推"	"推"	"tʰai"	44			
"攤"	"摊"	"tʰɛ"	44			
"梯"	"梯"	"tʰi"	44			
"汀"	"汀"	"tʰeŋ"	44			
"添"	"添"	"tʰe"	44			
"湯"	"汤"	"tʰo"	44			
"滔"	"滔"	"tʰɔ"	44			
"灘"	"滩"	"tʰɛ"	44			
"聽"	"听"	"tʰeŋ"	44			
"胎"	"胎"	"tʰe"	44			
"臺"	"台"	"tʰe"	44			
"苔"	"苔"	"tʰe"	44			
"貪"	"贪"	"tʰø"	44			
"通"	"通"	"tʰoŋ"	44			
"堤"	"堤"	"ti"	44			
"臊"	"臊"	"sɔ"	44			
"騷"	"骚"	"sɔ"	44			
"乖"	"乖"	"ka"	44			
"交"	"交"	"kɔ"	44			
"佳"	"佳"	"ko"	44			
"供"	"供"	"koŋ"	44			
"光"	"光"	"ko"	44			
"公"	"公"	"koŋ"	44			
"冠"	"冠"	"kø"	44			
"剛"	"刚"	"ko"	44			
"功"	"功"	"koŋ"	44			
"加"	"加"	"ko"	44			
"勾"	"勾"	"kau"	44			
"哥"	"哥"	"ko"	44			
"嘉"	"嘉"	"ko"	44			
"圭"	"圭"	"kuai"	44			
"奸"	"奸"	"kɛ"	44			
"姑"	"姑"	"ku"	44			
"孤"	"孤"	"ku"	44			
"官"	"官"	"kø"	44			
"宮"	"宫"	"koŋ"	44			
"家"	"家"	"ko"	44			
"岡"	"冈"	"ko"	44			
"崗"	"岗"	"ko"	44			
"工"	"工"	"koŋ"	44			
"幹"	"干"	"ke"	44			
"庚"	"庚"	"ka"	44			
"弓"	"弓"	"koŋ"	44			
"恭"	"恭"	"koŋ"	44			
"戈"	"戈"	"ku"	44			
"扛"	"扛"	"ko"	44			
"攻"	"攻"	"koŋ"	44			
"更"	"更"	"ka"	44			
"枯"	"枯"	"ku"	44			
"柑"	"柑"	"ke"	44			
"根"	"根"	"kan"	44			
"歌"	"歌"	"ko"	44			
"歸"	"归"	"kuai"	44			
"江"	"江"	"ko"	44			
"泔"	"泔"	"ke"	44			
"溝"	"沟"	"kau"	44			
"瓜"	"瓜"	"kua"	44			
"皆"	"皆"	"ka"	44			
"監"	"监"	"kiɛ"	44			
"竿"	"竿"	"ke"	44			
"糕"	"糕"	"kɔ"	44			
"綱"	"纲"	"ko"	44			
"缸"	"缸"	"ko"	44			
"羔"	"羔"	"kɔ"	44			
"羹"	"羹"	"ka"	44			
"耕"	"耕"	"ka"	44			
"肛"	"肛"	"ko"	44			
"肝"	"肝"	"ke"	44			
"肯"	"肯"	"kan"	44			
"膏"	"膏"	"kɔ"	44			
"膠"	"胶"	"kɔ"	44			
"艱"	"艰"	"kɛ"	44			
"茄"	"茄"	"ko"	44			
"茄"	"茄"	"ku"	44			
"街"	"街"	"ka"	44			
"觀"	"观"	"kø"	44			
"該"	"该"	"ke"	44			
"諧"	"谐"	"ka"	44			
"跟"	"跟"	"kan"	44			
"躬"	"躬"	"koŋ"	44			
"郊"	"郊"	"kɔ"	44			
"鉤"	"钩"	"kau"	44			
"鍋"	"锅"	"ku"	44			
"間"	"间"	"kɛ"	44			
"閨"	"闺"	"kuai"	44			
"關"	"关"	"kuɛ"	44			
"階"	"阶"	"ka"	44			
"高"	"高"	"kɔ"	44			
"鰥"	"鳏"	"kuɛ"	44			
"傀"	"傀"	"kʰuai"	44			
"刊"	"刊"	"kʰiɛ"	44			
"勘"	"勘"	"kʰiɛ"	44			
"坑"	"坑"	"kʰa"	44			
"坤"	"坤"	"kʰuan"	44			
"垮"	"垮"	"kʰua"	44			
"堪"	"堪"	"kʰiɛ"	44			
"奎"	"奎"	"kʰuai"	44			
"寬"	"宽"	"kʰuɛ"	44			
"康"	"康"	"kʰo"	44			
"恢"	"恢"	"kʰuai"	44			
"慷"	"慷"	"kʰo"	44			
"揩"	"揩"	"kʰa"	44			
"摳"	"抠"	"kʰau"	44			
"敲"	"敲"	"kʰɔ"	44			
"昆"	"昆"	"kʰuan"	44			
"棵"	"棵"	"kʰo"	44			
"盔"	"盔"	"kʰuai"	44			
"看"	"看"	"kʰiɛ"	44			
"科"	"科"	"kʰo"	44			
"空"	"空"	"kʰoŋ"	44			
"窠"	"窠"	"kʰu"	44			
"窺"	"窥"	"kʰuai"	44			
"筐"	"筐"	"kʰo"	44			
"箍"	"箍"	"kʰau"	44			
"糠"	"糠"	"kʰo"	44			
"虧"	"亏"	"kʰuai"	44			
"誇"	"夸"	"kʰua"	44			
"跨"	"跨"	"kʰua"	44			
"鉛"	"铅"	"kʰa"	44			
"開"	"开"	"kʰe"	44			
"顆"	"颗"	"kʰu"	44			
"鬮"	"阄"	"kʰau"	44			
"魁"	"魁"	"kʰuai"	44			
"齦"	"龈"	"kʰan"	44			
"龕"	"龛"	"kʰiɛ"	44			
"麼"	"幺"	"ʔjiɔ"	44			
"伊"	"伊"	"ʔji"	44			
"依"	"依"	"ʔji"	44			
"優"	"优"	"ʔjiau"	44			
"因"	"因"	"ʔjian"	44			
"央"	"央"	"ʔjia"	44			
"妖"	"妖"	"ʔjiɔ"	44			
"姻"	"姻"	"ʔjian"	44			
"嬰"	"婴"	"ʔjian"	44			
"幼"	"幼"	"ʔjiau"	44			
"幽"	"幽"	"ʔjiau"	44			
"憂"	"忧"	"ʔjiau"	44			
"擁"	"拥"	"ʔjio"	44			
"殃"	"殃"	"ʔjia"	44			
"殷"	"殷"	"ʔjian"	44			
"秧"	"秧"	"ʔjia"	44			
"纓"	"缨"	"ʔjian"	44			
"腰"	"腰"	"ʔjiɔ"	44			
"英"	"英"	"ʔjian"	44			
"蠅"	"蝇"	"ʔjian"	44			
"衣"	"衣"	"ʔji"	44			
"要"	"要"	"ʔjiɔ"	44			
"邀"	"邀"	"ʔjiɔ"	44			
"醫"	"医"	"ʔji"	44			
"陰"	"阴"	"ʔjian"	44			
"雍"	"雍"	"ʔjioŋ"	44			
"音"	"音"	"ʔjian"	44			
"鶯"	"莺"	"ʔjian"	44			
"鷹"	"鹰"	"ʔjian"	44			
"鸚"	"鹦"	"ʔjian"	44			
"俘"	"俘"	"fu"	44			
"分"	"分"	"fan"	44			
"夫"	"夫"	"fu"	44			
"妃"	"妃"	"fi"	44			
"妨"	"妨"	"fo"	44			
"封"	"封"	"foŋ"	44			
"峰"	"峰"	"foŋ"	44			
"敷"	"敷"	"fu"	44			
"方"	"方"	"fo"	44			
"番"	"番"	"fɛ"	44			
"瘋"	"疯"	"foŋ"	44			
"翻"	"翻"	"fɛ"	44			
"肪"	"肪"	"fo"	44			
"膚"	"肤"	"fu"	44			
"芬"	"芬"	"fan"	44			
"芳"	"芳"	"fo"	44			
"蜂"	"蜂"	"foŋ"	44			
"訃"	"讣"	"fu"	44			
"豐"	"丰"	"foŋ"	44			
"赴"	"赴"	"fu"	44			
"鋒"	"锋"	"foŋ"	44			
"非"	"非"	"fi"	44			
"風"	"风"	"foŋ"	44			
"飛"	"飞"	"fi"	44			
"之"	"之"	"tsɿ"	44			
"偵"	"侦"	"tsan"	44			
"咨"	"咨"	"tsɿ"	44			
"堅"	"坚"	"tse"	44			
"增"	"增"	"tsan"	44			
"姿"	"姿"	"tsɿ"	44			
"宗"	"宗"	"tsoŋ"	44			
"專"	"专"	"tsø"	44			
"尊"	"尊"	"tsø"	44			
"尖"	"尖"	"tse"	44			
"展"	"展"	"tse"	44			
"憎"	"憎"	"tsan"	44			
"抓"	"抓"	"tsɔ"	44			
"捐"	"捐"	"tsø"	44			
"接"	"接"	"tse"	44			
"支"	"支"	"tsɿ"	44			
"斟"	"斟"	"tsan"	44			
"斤"	"斤"	"tsan"	44			
"曾"	"曾"	"tsan"	44			
"村"	"村"	"tsø"	44			
"枝"	"枝"	"tsɿ"	44			
"查"	"查"	"tso"	44			
"栽"	"栽"	"tse"	44			
"棕"	"棕"	"tsoŋ"	44			
"榛"	"榛"	"tsan"	44			
"氈"	"毡"	"tse"	44			
"沉"	"沉"	"tsan"	44			
"沾"	"沾"	"tse"	44			
"津"	"津"	"tsan"	44			
"涓"	"涓"	"tsø"	44			
"渣"	"渣"	"tso"	44			
"滋"	"滋"	"tsɿ"	44			
"災"	"灾"	"tsɛ"	44			
"煎"	"煎"	"tse"	44			
"爭"	"争"	"tsa"	44			
"珍"	"珍"	"tsan"	44			
"睜"	"睁"	"tsa"	44			
"瞻"	"瞻"	"tse"	44			
"知"	"知"	"tsɿ"	44			
"磚"	"砖"	"tsø"	44			
"租"	"租"	"tsu"	44			
"筋"	"筋"	"tsan"	44			
"箋"	"笺"	"tse"	44			
"箏"	"筝"	"tsa"	44			
"簪"	"簪"	"tse"	44			
"糟"	"糟"	"tsɔ"	44			
"終"	"终"	"tsoŋ"	44			
"縱"	"纵"	"tsoŋ"	44			
"肢"	"肢"	"tsɿ"	44			
"肩"	"肩"	"tse"	44			
"脂"	"脂"	"tsɿ"	44			
"臻"	"臻"	"tsan"	44			
"芝"	"芝"	"tsɿ"	44			
"茲"	"兹"	"tsɿ"	44			
"莊"	"庄"	"tso"	44			
"裝"	"装"	"tso"	44			
"豬"	"猪"	"tsɿ"	44			
"貞"	"贞"	"tsan"	44			
"資"	"资"	"tsɿ"	44			
"贓"	"赃"	"tso"	44			
"蹤"	"踪"	"tsoŋ"	44			
"輜"	"辎"	"tsɿ"	44			
"追"	"追"	"tsai"	44			
"遭"	"遭"	"tsɔ"	44			
"遵"	"遵"	"tsø"	44			
"鄒"	"邹"	"tsau"	44			
"針"	"针"	"tsan"	44			
"鑽"	"钻"	"tsø"	44			
"髒"	"脏"	"tso"	44			
"鬃"	"鬃"	"tsoŋ"	44			
"齋"	"斋"	"tsɛ"	44			
"倉"	"仓"	"tsʰo"	44			
"催"	"催"	"tsʰai"	44			
"初"	"初"	"tsʰu"	44			
"剿"	"剿"	"tsʰɔ"	44			
"匆"	"匆"	"tsʰoŋ"	44			
"千"	"千"	"tsʰe"	44			
"參"	"参"	"tsʰɛ"	44			
"叉"	"叉"	"tsʰo"	44			
"嗤"	"嗤"	"tsʰɿ"	44			
"圈"	"圈"	"tsʰø"	44			
"岔"	"岔"	"tsʰa"	44			
"崔"	"崔"	"tsʰai"	44			
"川"	"川"	"tsʰø"	44			
"差"	"差"	"tsʰa"	44			
"差"	"差"	"tsʰo"	44			
"從"	"从"	"tsʰoŋ"	44			
"懺"	"忏"	"tsʰe"	44			
"扯"	"扯"	"tsʰe"	44			
"抄"	"抄"	"tsʰɔ"	44			
"搓"	"搓"	"tsʰo"	44			
"撐"	"撑"	"tsʰa"	44			
"操"	"操"	"tsʰɔ"	44			
"攙"	"搀"	"tsʰɛ"	44			
"杈"	"杈"	"tsʰo"	44			
"殲"	"歼"	"tsʰe"	44			
"牽"	"牵"	"tsʰe"	44			
"犬"	"犬"	"tsʰø"	44			
"猜"	"猜"	"tsʰe"	44			
"疵"	"疵"	"tsʰɿ"	44			
"疹"	"疹"	"tsʰan"	44			
"痊"	"痊"	"tsʰø"	44			
"瘡"	"疮"	"tsʰo"	44			
"癡"	"痴"	"tsʰɿ"	44			
"真"	"真"	"tsʰan"	44			
"穿"	"穿"	"tsʰøn"	44			
"窗"	"窗"	"tsʰo"	44			
"簽"	"签"	"tsʰe"	44			
"粗"	"粗"	"tsʰu"	44			
