"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"鸾"	"鸞"	"lø2"			
"栾"	"欒"	"lø2"			
"銮"	"鑾"	"lø2"			
"旁"	"旁"	"lø2"			
"论"	"論"	"lø2"			
"卵"	"卵"	"lø4"			
"乱"	"亂"	"lø6"			
"论"	"論"	"lø6"			
"粒"	"粒"	"lø8"			
"酸"	"酸"	"sø1"			
"闩"	"閂"	"sø1"			
"拴"	"拴"	"sø1"			
"孙"	"孫"	"sø1"			
"损"	"損"	"sø3"			
"算"	"算"	"sø5"			
"蒜"	"蒜"	"sø5"			
"逊"	"遜"	"sø5"			
"刷"	"刷"	"sø7"			
"涮"	"涮"	"sø7"			
"蚕"	"蠶"	"zø2"			
"存"	"存"	"zø2"			
"凿"	"鑿"	"zø4"			
"凿"	"鑿"	"zø8"			
"砖"	"磚"	"tɕyø1"			
"尊"	"尊"	"tɕyø1"			
"蹲"	"蹲"	"tɕyø1"			
"箸"	"箸"	"tɕyø1"			
"钻"	"鑽"	"tɕyø1"			
"纂"	"纂"	"tɕyø3"			
"攒"	"攢"	"tɕyø3"			
"钻"	"鑽"	"tɕyø5"			
"参"	"參"	"tɕʰyø1"			
"村"	"村"	"tɕʰyø1"			
"惨"	"慘"	"tɕʰyø3"			
"篡"	"篡"	"tɕʰyø3"			
"喘"	"喘"	"tɕʰyø3"			
"纂"	"纂"	"tɕʰyø3"			
"寸"	"寸"	"tɕʰyø5"			
"窜"	"竄"	"tɕʰyø5"			
"撰"	"撰"	"dʑyø4"			
"竿"	"竿"	"kø1"			
"千"	"千"	"kø5"			
"葛"	"葛"	"kø7"			
"刊"	"刊"	"kʰø1"			
"看"	"看"	"kʰø5"			
"鼾"	"鼾"	"hø1"			
"罕"	"罕"	"hø3"			
"汉"	"漢"	"hø5"			
"罕"	"罕"	"hø5"			
"寒"	"寒"	"ɦø2"			
"韩"	"韓"	"ɦø2"			
"寒"	"寒"	"ɦø4"			
"旱"	"旱"	"ɦø4"			
"汗"	"汗"	"ɦø6"			
"岸"	"岸"	"ɦø6"			
"锦"	"錦"	"ɦø6"			
"翰"	"翰"	"ɦø6"			
"安"	"安"	"ø1"			
"桉"	"桉"	"ø1"			
"鞍"	"鞍"	"ø1"			
"案"	"案"	"ø5"			
"按"	"按"	"ø5"			
"哕"	"噦"	"ø7"			
"标"	"標"	"pɤ1"			
"彪"	"彪"	"pɤ1"			
"镖"	"鏢"	"pɤ1"			
"臁"	"臁"	"pɤ1"			
"保"	"保"	"pɤ3"			
"堡"	"堡"	"pɤ3"			
"宝"	"寶"	"pɤ3"			
"表"	"表"	"pɤ3"			
"报"	"報"	"pɤ5"			
"不"	"不"	"pɤ7"			
"北"	"北"	"pɤ7"			
"飘"	"飄"	"pʰɤ1"			
"剖"	"剖"	"pʰɤ3"			
"票"	"票"	"pʰɤ5"			
"漂"	"漂"	"pʰɤ5"			
"朴"	"樸"	"pʰɤ7"			
"扑"	"撲"	"pʰɤ7"			
"仆"	"僕"	"pʰɤ7"			
"醭"	"醭"	"pʰɤ7"			
"袍"	"袍"	"bɤ2"			
"暴"	"暴"	"bɤ2"			
"瓢"	"瓢"	"bɤ2"			
"嫖"	"嫖"	"bɤ2"			
"瓤"	"瓤"	"bɤ2"			
"鳔"	"鰾"	"bɤ2"			
"抱"	"抱"	"bɤ4"			
"暴"	"暴"	"bɤ6"			
"雹"	"雹"	"bɤ8"			
"仆"	"僕"	"bɤ8"			
"毛"	"毛"	"mɤ2"			
"苗"	"苗"	"mɤ2"			
"描"	"描"	"mɤ2"			
"谋"	"謀"	"mɤ2"			
"谬"	"謬"	"mɤ2"			
"秒"	"秒"	"mɤ4"			
"亩"	"畝"	"mɤ4"			
"牡"	"牡"	"mɤ4"			
"渺"	"渺"	"mɤ4"			
"藐"	"藐"	"mɤ4"			
"母"	"母"	"mɤ4"			
"拇"	"拇"	"mɤ4"			
"冒"	"冒"	"mɤ6"			
"帽"	"帽"	"mɤ6"			
"庙"	"廟"	"mɤ6"			
"妙"	"妙"	"mɤ6"			
"戊"	"戊"	"mɤ6"			
"茂"	"茂"	"mɤ6"			
"贸"	"貿"	"mɤ6"			
"没"	"沒"	"mɤ8"			
"墨"	"墨"	"mɤ8"			
"默"	"默"	"mɤ8"			
"木"	"木"	"mɤ8"			
"目"	"目"	"mɤ8"			
"收"	"收"	"mɤ8"			
"穆"	"穆"	"mɤ8"			
"忽"	"忽"	"fɤ7"			
"勿"	"勿"	"fɤ7"			
"沸"	"沸"	"fɤ7"			
"拂"	"拂"	"fɤ7"			
"福"	"福"	"fɤ7"			
"幅"	"幅"	"fɤ7"			
"蝠"	"蝠"	"fɤ7"			
"复"	"複"	"fɤ7"			
"腹"	"腹"	"fɤ7"			
"覆"	"覆"	"fɤ7"			
"复"	"複"	"fɤ7"			
"佛"	"佛"	"vɤ8"			
"物"	"物"	"vɤ8"			
"缚"	"縛"	"vɤ8"			
"服"	"服"	"vɤ8"			
"伏"	"伏"	"vɤ8"			
"袱"	"袱"	"vɤ8"			
"复"	"複"	"vɤ8"			
"刀"	"刀"	"tɤ1"			
"岛"	"島"	"tɤ3"			
"倒"	"倒"	"tɤ3"			
"祷"	"禱"	"tɤ3"			
"到"	"到"	"tɤ5"			
"倒"	"倒"	"tɤ5"			
"得"	"得"	"tɤ7"			
"德"	"德"	"tɤ7"			
"叨"	"叨"	"tʰɤ1"			
"滔"	"滔"	"tʰɤ1"			
"讨"	"討"	"tʰɤ3"			
"讨"	"討"	"tʰɤ5"			
"套"	"套"	"tʰɤ5"			
"忒"	"忒"	"tʰɤ7"			
"桃"	"桃"	"dɤ2"			
"逃"	"逃"	"dɤ2"			
"淘"	"淘"	"dɤ2"			
"陶"	"陶"	"dɤ2"			
"萄"	"萄"	"dɤ2"			
"涛"	"濤"	"dɤ2"			
"道"	"道"	"dɤ4"			
"稻"	"稻"	"dɤ4"			
"盗"	"盜"	"dɤ6"			
"导"	"導"	"dɤ6"			
"特"	"特"	"dɤ8"			
"夺"	"奪"	"dɤ8"			
"脑"	"腦"	"nɤ4"			
"恼"	"惱"	"nɤ4"			
"唠"	"嘮"	"lɤ1"			
"劳"	"勞"	"lɤ2"			
"捞"	"撈"	"lɤ2"			
"牢"	"牢"	"lɤ2"			
"涝"	"澇"	"lɤ2"			
"唠"	"嘮"	"lɤ2"			
"老"	"老"	"lɤ4"			
"箬"	"箬"	"lɤ4"			
"涝"	"澇"	"lɤ6"			
"捋"	"捋"	"lɤ8"			
"骚"	"騷"	"sɤ1"			
"臊"	"臊"	"sɤ1"			
"梢"	"梢"	"sɤ1"			
"稍"	"稍"	"sɤ1"			
"消"	"消"	"sɤ1"			
"宵"	"宵"	"sɤ1"			
"霄"	"霄"	"sɤ1"			
"硝"	"硝"	"sɤ1"			
"捎"	"捎"	"sɤ1"			
"烧"	"燒"	"sɤ1"			
"嫂"	"嫂"	"sɤ3"			
"小"	"小"	"sɤ3"			
"扫"	"掃"	"sɤ5"			
"笑"	"笑"	"sɤ5"			
"硝"	"硝"	"sɤ5"			
"燥"	"燥"	"sɤ5"			
"湿"	"濕"	"sɤ7"			
"涩"	"澀"	"sɤ7"			
"膝"	"膝"	"sɤ7"			
"失"	"失"	"sɤ7"			
"室"	"室"	"sɤ7"			
"塞"	"塞"	"sɤ7"			
"蟀"	"蟀"	"sɤ7"			
"曹"	"曹"	"zɤ2"			
"槽"	"槽"	"zɤ2"			
"樵"	"樵"	"zɤ2"			
"韶"	"韶"	"zɤ2"			
"绍"	"紹"	"zɤ2"			
"邵"	"邵"	"zɤ2"			
"饶"	"饒"	"zɤ2"			
"绕"	"繞"	"zɤ2"			
"造"	"造"	"zɤ4"			
"韶"	"韶"	"zɤ6"			
"绍"	"紹"	"zɤ6"			
"邵"	"邵"	"zɤ6"			
"侥"	"僥"	"zɤ6"			
"扰"	"擾"	"zɤ6"			
"集"	"集"	"zɤ8"			
"习"	"習"	"zɤ8"			
"十"	"十"	"zɤ8"			
"什"	"什"	"zɤ8"			
"拾"	"拾"	"zɤ8"			
"入"	"入"	"zɤ8"			
"实"	"實"	"zɤ8"			
"疾"	"疾"	"zɤ8"			
"日"	"日"	"zɤ8"			
"遭"	"遭"	"tɕiɤ1"			
"糟"	"糟"	"tɕiɤ1"			
"焦"	"焦"	"tɕiɤ1"			
"蕉"	"蕉"	"tɕiɤ1"			
"椒"	"椒"	"tɕiɤ1"			
"朝"	"朝"	"tɕiɤ1"			
"昭"	"昭"	"tɕiɤ1"			
"招"	"招"	"tɕiɤ1"			
"骄"	"驕"	"tɕiɤ1"			
"娇"	"嬌"	"tɕiɤ1"			
"浇"	"澆"	"tɕiɤ1"			
"早"	"早"	"tɕiɤ3"			
"枣"	"棗"	"tɕiɤ3"			
"蚤"	"蚤"	"tɕiɤ3"			
"澡"	"澡"	"tɕiɤ3"			
"缴"	"繳"	"tɕiɤ3"			
"傥"	"儻"	"tɕiɤ3"			
"饺"	"餃"	"tɕiɤ3"			
"憔"	"憔"	"tɕiɤ3"			
"灶"	"灶"	"tɕiɤ5"			
"躁"	"躁"	"tɕiɤ5"			
"叫"	"叫"	"tɕiɤ5"			
"蛩"	"蛩"	"tɕiɤ7"			
"执"	"執"	"tɕiɤ7"			
"汁"	"汁"	"tɕiɤ7"			
"急"	"急"	"tɕiɤ7"			
"级"	"級"	"tɕiɤ7"			
"给"	"給"	"tɕiɤ7"			
"质"	"質"	"tɕiɤ7"			
"吉"	"吉"	"tɕiɤ7"			
"卒"	"卒"	"tɕiɤ7"			
"袺"	"袺"	"tɕiɤ7"			
"则"	"則"	"tɕiɤ7"			
"击"	"擊"	"tɕiɤ7"			
"激"	"激"	"tɕiɤ7"			
"髻"	"髻"	"tɕiɤ7"			
"仄"	"仄"	"tɕiɤ7"			
"戟"	"戟"	"tɕiɤ7"			
"超"	"超"	"tɕʰiɤ1"			
"悄"	"悄"	"tɕʰiɤ1"			
"操"	"操"	"tɕʰiɤ1"			
"糙"	"糙"	"tɕʰiɤ1"			
"草"	"草"	"tɕʰiɤ3"			
"騲"	"騲"	"tɕʰiɤ3"			
"糙"	"糙"	"tɕʰiɤ5"			
"操"	"操"	"tɕʰiɤ5"			
"俏"	"俏"	"tɕʰiɤ5"			
"窍"	"竅"	"tɕʰiɤ5"			
"吃"	"吃"	"tɕʰiɤ7"			
"扯"	"扯"	"tɕʰiɤ7"			
"缉"	"緝"	"tɕʰiɤ7"			
"辑"	"輯"	"tɕʰiɤ7"			
"泣"	"泣"	"tɕʰiɤ7"			
"撮"	"撮"	"tɕʰiɤ7"			
"屈"	"屈"	"tɕʰiɤ7"			
"七"	"七"	"tɕʰiɤ7"			
"漆"	"漆"	"tɕʰiɤ7"			
"讫"	"訖"	"tɕʰiɤ7"			
"乞"	"乞"	"tɕʰiɤ7"			
"猝"	"猝"	"tɕʰiɤ7"			
"倔"	"倔"	"tɕʰiɤ7"			
"侧"	"側"	"tɕʰiɤ7"			
"测"	"測"	"tɕʰiɤ7"			
"朝"	"朝"	"dʑiɤ2"			
"潮"	"潮"	"dʑiɤ2"			
"乔"	"喬"	"dʑiɤ2"			
"侨"	"僑"	"dʑiɤ2"			
"桥"	"橋"	"dʑiɤ2"			
"荞"	"蕎"	"dʑiɤ2"			
"赵"	"趙"	"dʑiɤ4"			
"兆"	"兆"	"dʑiɤ4"			
"召"	"召"	"dʑiɤ6"			
"轿"	"轎"	"dʑiɤ6"			
"及"	"及"	"dʑyø8"			
"橱"	"櫥"	"dʑyø8"			
"娃"	"娃"	"dʑyø8"			
"秩"	"秩"	"dʑyø8"			
"极"	"極"	"dʑyø8"			
"剧"	"劇"	"dʑyø8"			
"屐"	"屐"	"dʑyø8"			
"蛰"	"蟄"	"dʑyø8"			
"袭"	"襲"	"dʑyø8"			
"橛"	"橛"	"dʑyø8"			
"逆"	"逆"	"ȵiɤ8"			
"枵"	"枵"	"ɕiɤ1"			
"嚣"	"囂"	"ɕiɤ1"			
"吸"	"吸"	"ɕiɤ7"			
"妖"	"妖"	"iɤ1"			
"腰"	"腰"	"iɤ1"			
"婴"	"嬰"	"iɤ1"			
"么"	"麼"	"iɤ1"			
"吆"	"吆"	"iɤ1"			
"邀"	"邀"	"iɤ1"			
"舀"	"舀"	"iɤ3"			
"杳"	"杳"	"iɤ3"			
"要"	"要"	"iɤ5"			
"乙"	"乙"	"iɤ7"			
"一"	"一"	"iɤ7"			
"抑"	"抑"	"iɤ7"			
"益"	"益"	"iɤ7"			
"揖"	"揖"	"iɤ7"			
"摇"	"搖"	"jɤ2"			
"谣"	"謠"	"jɤ2"			
"窑"	"窯"	"jɤ2"			
"姚"	"姚"	"jɤ2"			
"耀"	"耀"	"jɤ6"			
"逸"	"逸"	"jɤ8"			
"翼"	"翼"	"jɤ8"			
"亦"	"亦"	"jɤ8"			
"译"	"譯"	"jɤ8"			
"易"	"易"	"jɤ8"			
"液"	"液"	"jɤ8"			
"腋"	"腋"	"jɤ8"			
"高"	"高"	"kɤ1"			
"膏"	"膏"	"kɤ1"			
"篙"	"篙"	"kɤ1"			
"羔"	"羔"	"kɤ1"			
"稿"	"稿"	"kɤ3"			
"搞"	"搞"	"kɤ3"			
"告"	"告"	"kɤ5"			
"烤"	"烤"	"kʰɤ1"			
"考"	"考"	"kʰɤ3"			
"烤"	"烤"	"kʰɤ3"			
"靠"	"靠"	"kʰɤ5"			
"犒"	"犒"	"kʰɤ5"			
"克"	"克"	"kʰɤ7"			
"刻"	"刻"	"kʰɤ7"			
"磕"	"磕"	"kʰɤ7"			
"熬"	"熬"	"ŋɤ2"			
"傲"	"傲"	"mgɤ6"			
"鳌"	"鼇"	"mgɤ6"			
"鳌"	"鼇"	"mgɤ6"			
"蒿"	"蒿"	"hɤ1"			
"好"	"好"	"hɤ3"			
"耗"	"耗"	"hɤ5"			
"黑"	"黑"	"hɤ7"			
"豪"	"豪"	"ɦɤ2"			
"壕"	"壕"	"ɦɤ2"			
"毫"	"毫"	"ɦɤ2"			
"号"	"號"	"ɦɤ6"			
"爊"	"爊"	"ɤ1"			
"袄"	"襖"	"ɤ3"			
"懊"	"懊"	"ɤ3"			
"奥"	"奧"	"ɤ5"			
"懊"	"懊"	"ɤ5"			
"半"	"半"	"puɤ5"			
"钵"	"缽"	"puɤ7"			
"拨"	"撥"	"puɤ7"			
"泼"	"潑"	"puɤ7"			
"潘"	"潘"	"pʰuɤ1"			
"判"	"判"	"pʰuɤ5"			
"般"	"般"	"buɤ2"			
"搬"	"搬"	"buɤ2"			
"盘"	"盤"	"buɤ2"			
"盆"	"盆"	"buɤ2"			
"伴"	"伴"	"buɤ4"			
"拌"	"拌"	"buɤ4"			
"叛"	"叛"	"buɤ4"			
"饽"	"餑"	"buɤ4"			
"饽"	"餑"	"buɤ4"			
"胖"	"胖"	"buɤ4"			
"钹"	"鈸"	"buɤ8"			
"瞒"	"瞞"	"muɤ2"			
"馒"	"饅"	"muɤ2"			
"鳗"	"鰻"	"muɤ2"			
"满"	"滿"	"muɤ4"			
"末"	"末"	"muɤ8"			
"洙"	"洙"	"muɤ8"			
"抹"	"抹"	"muɤ8"			
"设"	"設"	"muɤ8"			
"欢"	"歡"	"fuɤ1"			
"昏"	"昏"	"fuɤ1"			
"婚"	"婚"	"fuɤ1"			
"荤"	"葷"	"fuɤ1"			
"唤"	"喚"	"fuɤ5"			
"焕"	"煥"	"fuɤ5"			
"干"	"幹"	"kuɤ1"			
"肝"	"肝"	"kuɤ1"			
"棺"	"棺"	"kuɤ1"			
"观"	"觀"	"kuɤ1"			
"冠"	"冠"	"kuɤ1"			
"杆"	"杆"	"kuɤ3"			
"秆"	"稈"	"kuɤ3"			
"赶"	"趕"	"kuɤ3"			
"管"	"管"	"kuɤ3"			
"馆"	"館"	"kuɤ3"			
"管"	"管"	"kuɤ3"			
"干"	"幹"	"kuø5"			
"贯"	"貫"	"kuø5"			
"灌"	"灌"	"kuø5"			
"罐"	"罐"	"kuø5"			
"獾"	"獾"	"kuø5"			
"割"	"割"	"kuɤ7"			
"骨"	"骨"	"kuɤ7"			
"渴"	"渴"	"kʰuɤ7"			
"窟"	"窟"	"kʰuɤ7"			
"温"	"溫"	"ʔuɤ1"			
"瘟"	"瘟"	"ʔuɤ1"			
"渊"	"淵"	"ʔuɤ1"			
"碗"	"碗"	"ʔuɤ3"			
"豌"	"豌"	"ʔuɤ3"			
"腕"	"腕"	"ʔuɤ3"			
"稳"	"穩"	"ʔuɤ3"			
"宛"	"宛"	"ʔuɤ3"			
"知"	"知"	"tsɿ1"			
"蜘"	"蜘"	"tsɿ1"			
"姿"	"姿"	"tsɿ1"			
"资"	"資"	"tsɿ1"			
"咨"	"諮"	"tsɿ1"			
"脂"	"脂"	"tsɿ1"			
"梓"	"梓"	"tsɿ1"			
"锱"	"錙"	"tsɿ1"			
"之"	"之"	"tsɿ1"			
"芝"	"芝"	"tsɿ1"			
"兹"	"茲"	"tsɿ1"			
"滋"	"滋"	"tsɿ1"			
"滓"	"滓"	"tsɿ1"			
"紫"	"紫"	"tsɿ3"			
"只"	"只"	"tsɿ3"			
"旨"	"旨"	"tsɿ3"			
"指"	"指"	"tsɿ3"			
"子"	"子"	"tsɿ3"			
"止"	"止"	"tsɿ3"			
"趾"	"趾"	"tsɿ3"			
"姊"	"姊"	"tsɿ3"			
"智"	"智"	"tsɿ5"			
"致"	"致"	"tsɿ5"			
"至"	"至"	"tsɿ5"			
"置"	"置"	"tsɿ5"			
"志"	"志"	"tsɿ5"			
"诘"	"詰"	"tsɿ5"			
"痣"	"痣"	"tsɿ5"			
"雌"	"雌"	"tsʰɿ1"			
"疵"	"疵"	"tsʰɿ1"			
"痴"	"癡"	"tsʰɿ1"			
"哕"	"噦"	"tsʰɿ1"			
"此"	"此"	"tsʰɿ3"			
"眵"	"眵"	"tsʰɿ3"			
"翅"	"翅"	"tsʰɿ3"			
"耻"	"恥"	"tsʰɿ3"			
"齿"	"齒"	"tsʰɿ3"			
"础"	"礎"	"tsʰɿ3"			
"刺"	"刺"	"tsʰɿ5"			
"终"	"終"	"tsʰɿ5"			
"次"	"次"	"tsʰɿ5"			
"眙"	"眙"	"tsʰɿ5"			
"驰"	"馳"	"dzɿ2"			
"迟"	"遲"	"dzɿ2"			
"持"	"持"	"dzɿ2"			
"舐"	"舐"	"dzɿ4"			
"痔"	"痔"	"dzɿ4"			
"峙"	"峙"	"dzɿ4"			
"稚"	"稚"	"dzɿ4"			
"治"	"治"	"dzɿ6"			
"斯"	"斯"	"sɿ1"			
"厮"	"廝"	"sɿ1"			
"撕"	"撕"	"sɿ1"			
"筛"	"篩"	"sɿ1"			
"施"	"施"	"sɿ1"			
"师"	"師"	"sɿ1"			
"狮"	"獅"	"sɿ1"			
"尸"	"屍"	"sɿ1"			
"矢"	"矢"	"sɿ1"			
"司"	"司"	"sɿ1"			
"丝"	"絲"	"sɿ1"			
"思"	"思"	"sɿ1"			
"诗"	"詩"	"sɿ1"			
"梳"	"梳"	"sɿ1"			
"腮"	"腮"	"sɿ1"			
"鳃"	"鰓"	"sɿ1"			
"玺"	"璽"	"sɿ3"			
"徙"	"徙"	"sɿ3"			
"死"	"死"	"sɿ3"			
"史"	"史"	"sɿ3"			
"始"	"始"	"sɿ3"			
"使"	"使"	"sɿ3"			
"矢"	"矢"	"sɿ3"			
"四"	"四"	"sɿ5"			
"肆"	"肆"	"sɿ5"			
"赐"	"賜"	"sɿ5"			
"试"	"試"	"sɿ5"			
"时"	"時"	"zɿ2"			
"而"	"而"	"zɿ2"			
"鲥"	"鰣"	"zɿ2"			
"辞"	"辭"	"zɿ2"			
"词"	"詞"	"zɿ2"			
"祠"	"祠"	"zɿ2"			
"瓷"	"瓷"	"zɿ2"			
"餈"	"餈"	"zɿ2"			
"是"	"是"	"zɿ4"			
"似"	"似"	"zɿ4"			
"已"	"已"	"zɿ4"			
"祀"	"祀"	"zɿ4"			
"士"	"士"	"zɿ4"			
"仕"	"仕"	"zɿ4"			
"柿"	"柿"	"zɿ4"			
"市"	"市"	"zɿ4"			
"恃"	"恃"	"zɿ4"			
"耳"	"耳"	"zɿ4"			
"尔"	"爾"	"zɿ4"			
"豉"	"豉"	"zɿ6"			
"自"	"自"	"zɿ6"			
"示"	"示"	"zɿ6"			
"视"	"視"	"zɿ6"			
"字"	"字"	"zɿ6"			
"寺"	"寺"	"zɿ6"			
"饲"	"飼"	"zɿ6"			
"嗣"	"嗣"	"zɿ6"			
"事"	"事"	"zɿ6"			
"侍"	"侍"	"zɿ6"			
"氏"	"氏"	"zɿ6"			
"嗜"	"嗜"	"zɿ6"			
"蓖"	"蓖"	"pi1"			
"屄"	"屄"	"pi1"			
"比"	"比"	"pi3"			
"彼"	"彼"	"pi3"			
"敝"	"敝"	"pi5"			
"蔽"	"蔽"	"pi5"			
"弊"	"弊"	"pi5"			
"毙"	"斃"	"pi5"			
"闭"	"閉"	"pi5"			
"箅"	"箅"	"pi5"			
"鄙"	"鄙"	"pi5"			
"庇"	"庇"	"pi5"			
"痹"	"痹"	"pi5"			
"笔"	"筆"	"pi7"			
"毕"	"畢"	"pi7"			
"必"	"必"	"pi7"			
"滗"	"潷"	"pi7"			
"逼"	"逼"	"pi7"			
"碧"	"碧"	"pi7"			
"壁"	"壁"	"pi7"			
"璧"	"璧"	"pi7"			
"臂"	"臂"	"pi7"			
"秘"	"秘"	"pi7"			
"必"	"必"	"pi7"			
"批"	"批"	"pʰi1"			
"丕"	"丕"	"pʰi1"			
"胚"	"胚"	"pʰi1"			
"披"	"披"	"pʰi1"			
"瞥"	"瞥"	"pʰi3"			
"屁"	"屁"	"pʰi5"			
"匹"	"匹"	"pʰi7"			
"僻"	"僻"	"pʰi7"			
"阚"	"闞"	"pʰi7"			
"劈"	"劈"	"pʰi7"			
"皮"	"皮"	"bi2"			
"疲"	"疲"	"bi2"			
"脾"	"脾"	"bi2"			
"枇"	"枇"	"bi2"			
"琵"	"琵"	"bi2"			
"肥"	"肥"	"bi2"			
"被"	"被"	"bi4"			
"婢"	"婢"	"bi4"			
"俾"	"俾"	"bi4"			
"避"	"避"	"bi6"			
"备"	"備"	"bi6"			
"篦"	"篦"	"bi6"			
"俾"	"俾"	"bi6"			
"又"	"又"	"bi6"			
"被"	"被"	"bi6"			
"吠"	"吠"	"bi6"			
"鼻"	"鼻"	"bi8"			
"弼"	"弼"	"bi8"			
"迷"	"迷"	"mi2"			
"谜"	"謎"	"mi2"			
"糜"	"糜"	"mi2"			
"眉"	"眉"	"mi2"			
"媚"	"媚"	"mi2"			
"楣"	"楣"	"mi2"			
"弥"	"彌"	"mi2"			
"米"	"米"	"mi4"			
"美"	"美"	"mi4"			
"尾"	"尾"	"mi4"			
"靡"	"靡"	"mi4"			
"觅"	"覓"	"mi4"			
"未"	"未"	"mi6"			
"味"	"味"	"mi6"			
"蜜"	"蜜"	"mi8"			
"密"	"密"	"mi8"			
"飞"	"飛"	"fi1"			
"非"	"非"	"fi1"			
"妃"	"妃"	"fi1"			
"翡"	"翡"	"fi1"			
"匪"	"匪"	"fi3"			
"榧"	"榧"	"fi3"			
"废"	"廢"	"fi5"			
"肺"	"肺"	"fi5"			
"痱"	"痱"	"fi5"			
"费"	"費"	"fi5"			
"肥"	"肥"	"vi2"			
"微"	"微"	"vi2"			
"尾"	"尾"	"vi4"			
"未"	"未"	"vi6"			
"低"	"低"	"ti1"			
"爹"	"爹"	"ti1"			
"底"	"底"	"ti3"			
"抵"	"抵"	"ti3"			
"帝"	"帝"	"ti5"			
"帝"	"帝"	"ti5"			
"蒂"	"蒂"	"ti5"			
"滴"	"滴"	"ti5"			
"的"	"的"	"ti7"			
"嫡"	"嫡"	"ti7"			
"梯"	"梯"	"tʰi1"			
"体"	"體"	"tʰi3"			
"替"	"替"	"tʰi5"			
"涕"	"涕"	"tʰi5"			
"剃"	"剃"	"tʰi5"			
"屉"	"屜"	"tʰi5"			
"踢"	"踢"	"tʰi7"			
"剔"	"剔"	"tʰi7"			
"提"	"提"	"di2"			
"堤"	"堤"	"di2"			
"题"	"題"	"di2"			
"蹄"	"蹄"	"di2"			
"啼"	"啼"	"di2"			
"弟"	"弟"	"di4"			
"第"	"第"	"di4"			
"地"	"地"	"di6"			
"递"	"遞"	"di6"			
"笛"	"笛"	"di8"			
"迪"	"迪"	"di8"			
"敌"	"敵"	"di8"			
"狄"	"狄"	"di8"			
"获"	"獲"	"di8"			
"涤"	"滌"	"di8"			
"离"	"離"	"li2"			
"篙"	"篙"	"li2"			
"璃"	"璃"	"li2"			
"梨"	"梨"	"li2"			
"黎"	"黎"	"li2"			
"犁"	"犁"	"li2"			
"荔"	"荔"	"li2"			
"厘"	"厘"	"li2"			
"狸"	"狸"	"li2"			
"李"	"李"	"li4"			
"礼"	"禮"	"li4"			
"里"	"裡"	"li4"			
"理"	"理"	"li4"			
"浬"	"浬"	"li4"			
"鲤"	"鯉"	"li4"			
"丽"	"麗"	"li6"			
"厉"	"厲"	"li6"			
"励"	"勵"	"li6"			
"隶"	"隸"	"li6"			
"利"	"利"	"li6"			
"痢"	"痢"	"li6"			
"吏"	"吏"	"li6"			
"立"	"立"	"li8"			
"笠"	"笠"	"li8"			
"栗"	"栗"	"li8"			
"律"	"律"	"li8"			
"力"	"力"	"li8"			
"历"	"曆"	"li8"			
"率"	"率"	"li8"			
"奢"	"奢"	"si1"			
"赊"	"賒"	"si1"			
"西"	"西"	"si1"			
"犀"	"犀"	"si1"			
"鳃"	"鰓"	"si1"			
"写"	"寫"	"si3"			
"舍"	"舍"	"si3"			
"舍"	"舍"	"si3"			
"洗"	"洗"	"si3"			
"泻"	"瀉"	"si5"			
"塞"	"塞"	"si5"			
"细"	"細"	"si5"			
"世"	"世"	"si5"			
"婿"	"婿"	"si5"			
"势"	"勢"	"si5"			
"泄"	"泄"	"si5"			
"髓"	"髓"	"si5"			
"息"	"息"	"si7"			
"悉"	"悉"	"si7"			
"熄"	"熄"	"si7"			
"媳"	"媳"	"si7"			
"识"	"識"	"si7"			
"式"	"式"	"si7"			
"饰"	"飾"	"si7"			
"昔"	"昔"	"si7"			
"惜"	"惜"	"si7"			
"适"	"適"	"si7"			
"释"	"釋"	"si7"			
"锡"	"錫"	"si7"			
"析"	"析"	"si7"			
"邪"	"邪"	"zi2"			
"斜"	"斜"	"zi2"			
"蛇"	"蛇"	"zi2"			
"徐"	"徐"	"zi2"			
"齐"	"齊"	"zi2"			
"脐"	"臍"	"zi2"			
"荠"	"薺"	"zi2"			
"匙"	"匙"	"zi2"			
"社"	"社"	"zi4"			
"藉"	"藉"	"zi4"			
"射"	"射"	"zi6"			
"谢"	"謝"	"zi6"			
"麝"	"麝"	"zi6"			
"剂"	"劑"	"zi6"			
"誓"	"誓"	"zi6"			
"逝"	"逝"	"zi6"			
"食"	"食"	"zi8"			
"蚀"	"蝕"	"zi8"			
"席"	"席"	"zi8"			
"夕"	"夕"	"zi8"			
"石"	"石"	"zi8"			
"射"	"射"	"zi8"			
"寂"	"寂"	"zi8"			
"畲"	"佘"	"zi8"			
"惹"	"惹"	"zi8"			
"遮"	"遮"	"tɕi1"			
"鸡"	"雞"	"tɕi1"			
"稽"	"稽"	"tɕi1"			
"支"	"支"	"tɕi1"			
"枝"	"枝"	"tɕi1"			
"肢"	"肢"	"tɕi1"			
"饥"	"饑"	"tɕi1"			
"肌"	"肌"	"tɕi1"			
"几"	"幾"	"tɕi1"			
"基"	"基"	"tɕi1"			
"机"	"機"	"tɕi1"			
"讥"	"譏"	"tɕi1"			
"饥"	"饑"	"tɕi1"			
"只"	"只"	"tɕi1"			
"姐"	"姐"	"tɕi3"			
"纸"	"紙"	"tɕi3"			
"己"	"己"	"tɕi3"			
"纪"	"紀"	"tɕi3"			
"几"	"幾"	"tɕi3"			
