"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"哽"	"哽"	"ka3"			
"埂"	"埂"	"ka3"			
"梗"	"梗"	"ka3"			
"橄"	"橄"	"ka3"			
"校"	"校"	"ka3"			
"镒"	"鎰"	"ka3"			
"教"	"教"	"ka5"			
"更"	"更"	"ka5"			
"校"	"校"	"ka5"			
"甲"	"甲"	"ka7"			
"胛"	"胛"	"ka7"			
"夹"	"夾"	"ka7"			
"袄"	"襖"	"ka7"			
"挟"	"挾"	"ka7"			
"峡"	"峽"	"ka7"			
"敲"	"敲"	"kʰa1"			
"铅"	"鉛"	"kʰa1"			
"坑"	"坑"	"kʰa1"			
"巧"	"巧"	"kʰa3"			
"蚶"	"蚶"	"kʰa5"			
"掐"	"掐"	"kʰa7"			
"茄"	"茄"	"ga2"			
"何"	"何"	"ga2"			
"轧"	"軋"	"ga8"			
"崃"	"崍"	"ga8"			
"咬"	"咬"	"ŋa2"			
"硬"	"硬"	"ŋa6"			
"啮"	"齧"	"ŋa8"			
"呱"	"呱"	"kua1"			
"刮"	"刮"	"kua7"			
"括"	"括"	"kua7"			
"聒"	"聒"	"kua7"			
"阔"	"闊"	"kʰua7"			
"蛙"	"蛙"	"ua1"			
"洼"	"窪"	"ua1"			
"剜"	"剜"	"ʔua7"			
"行"	"行"	"ɦa2"			
"杏"	"杏"	"ɦa4"			
"幸"	"幸"	"ɦa4"			
"效"	"效"	"ɦa4"			
"校"	"校"	"ɦa6"			
"效"	"效"	"ɦa6"			
"行"	"行"	"ɦa6"			
"狭"	"狹"	"ɦa8"			
"匣"	"匣"	"ɦa8"			
"洽"	"洽"	"ɦa8"			
"阿"	"阿"	"ʔa1"			
"莺"	"鶯"	"ʔa1"			
"罂"	"罌"	"ʔa1"			
"鸭"	"鴨"	"ʔa7"			
"押"	"押"	"ʔa7"			
"压"	"壓"	"ʔa7"			
"巴"	"巴"	"pɯʌ1"			
"芭"	"芭"	"pɯʌ1"			
"疤"	"疤"	"pɯʌ1"			
"把"	"把"	"pɯʌ3"			
"霸"	"霸"	"pɯʌ5"			
"坝"	"壩"	"pɯʌ5"			
"八"	"八"	"pɯʌ7"			
"怕"	"怕"	"pʰɯʌ5"			
"爬"	"爬"	"bɯʌ2"			
"琶"	"琶"	"bɯʌ2"			
"杷"	"杷"	"bɯʌ2"			
"耙"	"耙"	"bɯʌ6"			
"拔"	"拔"	"bɯʌ8"			
"钹"	"鈸"	"bɯʌ8"			
