"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"
"馅"	"ã311"	""	""	"ã"	"311"
"餡"	"ã311"	""	""	"ã"	"311"
"□"	"tsã213"	"˭挖"	"ts"	"ã"	"213"
"胆"	"tã53"	""	"t"	"ã"	"53"
"打"	"tã53"	""	"t"	"ã"	"53"
"担"	"tã223"	""	"t"	"ã"	"223"
"罩"	"tã21"	"又"	"t"	"ã"	"21"
"帐"	"tã21"	"蚊~"	"t"	"ã"	"21"
"淡"	"tã213"	""	"t"	"ã"	"213"
"赚"	"tã311"	""	"t"	"ã"	"311"
"膽"	"tã53"	""	"t"	"ã"	"53"
"擔"	"tã223"	""	"t"	"ã"	"223"
"帳"	"tã21"	"蚊~"	"t"	"ã"	"21"
"賺"	"tã311"	""	"t"	"ã"	"311"
"三"	"sã223"	""	"s"	"ã"	"223"
"衫"	"sã223"	""	"s"	"ã"	"223"
"怕"	"pʰã21"	""	"pʰ"	"ã"	"21"
"冇"	"pʰã21"	"~粟，俗字"	"pʰ"	"ã"	"21"
"泛"	"pʰã21"	"~粟"	"pʰ"	"ã"	"21"
"衔"	"kã44"	""	"k"	"ã"	"44"
"敢"	"kã53"	""	"k"	"ã"	"53"
"柑"	"kã223"	""	"k"	"ã"	"223"
"酵"	"kã21"	""	"k"	"ã"	"21"
"橄"	"kã223"	""	"k"	"ã"	"223"
"銜"	"kã44"	""	"k"	"ã"	"44"
"姨"	"ai44"	""	""	"ai"	"44"
"蔼"	"ai53"	""	""	"ai"	"53"
"隘"	"ai53"	""	""	"ai"	"53"
"哀"	"ai223"	""	""	"ai"	"223"
"埃"	"ai223"	""	""	"ai"	"223"
"藹"	"ai53"	""	""	"ai"	"53"
"才"	"tsʰai44"	""	"tsʰ"	"ai"	"44"
"材"	"tsʰai44"	""	"tsʰ"	"ai"	"44"
"财"	"tsʰai44"	""	"tsʰ"	"ai"	"44"
"裁"	"tsʰai44"	""	"tsʰ"	"ai"	"44"
"菜"	"tsʰai21"	""	"tsʰ"	"ai"	"21"
"猜"	"tsʰai223"	""	"tsʰ"	"ai"	"223"
"財"	"tsʰai44"	""	"tsʰ"	"ai"	"44"
"才"	"tsai44"	"秀才"	"ts"	"ai"	"44"
"者"	"tsai53"	"合"	"ts"	"ai"	"53"
"宰"	"tsai53"	""	"ts"	"ai"	"53"
"载"	"tsai53"	""	"ts"	"ai"	"53"
"怎"	"tsai53"	"戏音"	"ts"	"ai"	"53"
"灾"	"tsai223"	""	"ts"	"ai"	"223"
"栽"	"tsai223"	""	"ts"	"ai"	"223"
"知"	"tsai223"	""	"ts"	"ai"	"223"
"载"	"tsai21"	""	"ts"	"ai"	"21"
"再"	"tsai21"	""	"ts"	"ai"	"21"
"在"	"tsai213"	""	"ts"	"ai"	"213"
"載"	"tsai53"	""	"ts"	"ai"	"53"
"災"	"tsai223"	""	"ts"	"ai"	"223"
"載"	"tsai21"	""	"ts"	"ai"	"21"
"台"	"tʰai44"	""	"tʰ"	"ai"	"44"
"抬"	"tʰai44"	""	"tʰ"	"ai"	"44"
"治"	"tʰai44"	"杀"	"tʰ"	"ai"	"44"
"台"	"tʰai223"	""	"tʰ"	"ai"	"223"
"筛"	"tʰai223"	""	"tʰ"	"ai"	"223"
"㛿"	"tʰai53"	"哭闹"	"tʰ"	"ai"	"53"
"态"	"tʰai21"	""	"tʰ"	"ai"	"21"
"太"	"tʰai21"	""	"tʰ"	"ai"	"21"
"泰"	"tʰai21"	""	"tʰ"	"ai"	"21"
"汰"	"tʰai21"	""	"tʰ"	"ai"	"21"
"待"	"tʰai213"	""	"tʰ"	"ai"	"213"
"篩"	"tʰai223"	""	"tʰ"	"ai"	"223"
"態"	"tʰai21"	""	"tʰ"	"ai"	"21"
"埋"	"tai44"	"训"	"t"	"ai"	"44"
"呆"	"tai223"	""	"t"	"ai"	"223"
"贷"	"tai21"	""	"t"	"ai"	"21"
"代"	"tai21"	""	"t"	"ai"	"21"
"带"	"tai21"	"文"	"t"	"ai"	"21"
"舵"	"tai213"	"白"	"t"	"ai"	"213"
"大"	"tai213"	"大家"	"t"	"ai"	"213"
"貸"	"tai21"	""	"t"	"ai"	"21"
"帶"	"tai21"	"文"	"t"	"ai"	"21"
"屎"	"sai53"	""	"s"	"ai"	"53"
"使"	"sai53"	""	"s"	"ai"	"53"
"驶"	"sai53"	""	"s"	"ai"	"53"
"鳃"	"sai223"	""	"s"	"ai"	"223"
"腮"	"sai223"	""	"s"	"ai"	"223"
"西"	"sai223"	""	"s"	"ai"	"223"
"犀"	"sai223"	""	"s"	"ai"	"223"
"私"	"sai223"	""	"s"	"ai"	"223"
"柿"	"sai223"	"又"	"s"	"ai"	"223"
"赛"	"sai21"	""	"s"	"ai"	"21"
"洒"	"sai21"	""	"s"	"ai"	"21"
"晒"	"sai21"	""	"s"	"ai"	"21"
"使"	"sai21"	""	"s"	"ai"	"21"
"塞"	"sai21"	"边~"	"s"	"ai"	"21"
"柿"	"sai213"	""	"s"	"ai"	"213"
"駛"	"sai53"	""	"s"	"ai"	"53"
"鰓"	"sai223"	""	"s"	"ai"	"223"
"賽"	"sai21"	""	"s"	"ai"	"21"
"灑"	"sai21"	""	"s"	"ai"	"21"
"曬"	"sai21"	""	"s"	"ai"	"21"
"沛"	"pʰai21"	""	"pʰ"	"ai"	"21"
"派"	"pʰai21"	""	"pʰ"	"ai"	"21"
"排"	"pai44"	""	"p"	"ai"	"44"
"牌"	"pai44"	""	"p"	"ai"	"44"
"摆"	"pai53"	""	"p"	"ai"	"53"
"拜"	"pai21"	""	"p"	"ai"	"21"
"败"	"pai311"	""	"p"	"ai"	"311"
"擺"	"pai53"	""	"p"	"ai"	"53"
"敗"	"pai311"	""	"p"	"ai"	"311"
"呆"	"ŋai44"	""	"ŋ"	"ai"	"44"
"涯"	"ŋai44"	""	"ŋ"	"ai"	"44"
"崖"	"ŋai44"	""	"ŋ"	"ai"	"44"
"捱"	"ŋai44"	""	"ŋ"	"ai"	"44"
"眼"	"ŋai53"	""	"ŋ"	"ai"	"53"
"研"	"ŋai53"	""	"ŋ"	"ai"	"53"
"艾"	"ŋai213"	""	"ŋ"	"ai"	"213"
"岸"	"ŋai213"	"文"	"ŋ"	"ai"	"213"
"莲"	"nai44"	""	"n"	"ai"	"44"
"奶"	"nai53"	""	"n"	"ai"	"53"
"乃"	"nai53"	""	"n"	"ai"	"53"
"耐"	"nai213"	""	"n"	"ai"	"213"
"奈"	"nai213"	""	"n"	"ai"	"213"
"赖"	"nai213"	""	"n"	"ai"	"213"
"捺"	"nai213"	""	"n"	"ai"	"213"
"荔"	"nai311"	""	"n"	"ai"	"311"
"蓮"	"nai44"	""	"n"	"ai"	"44"
"賴"	"nai213"	""	"n"	"ai"	"213"
"埋"	"mai44"	""	"m"	"ai"	"44"
"跛"	"mai53"	"又"	"m"	"ai"	"53"
"勿"	"mai21"	""	"m"	"ai"	"21"
"迈"	"mai213"	""	"m"	"ai"	"213"
"邁"	"mai213"	""	"m"	"ai"	"213"
"来"	"lai44"	""	"l"	"ai"	"44"
"梨"	"lai44"	""	"l"	"ai"	"44"
"狸"	"lai44"	""	"l"	"ai"	"44"
"内"	"lai213"	"训"	"l"	"ai"	"213"
"里"	"lai213"	""	"l"	"ai"	"213"
"利"	"lai311"	""	"l"	"ai"	"311"
"來"	"lai44"	""	"l"	"ai"	"44"
"內"	"lai213"	"训"	"l"	"ai"	"213"
"裡"	"lai213"	""	"l"	"ai"	"213"
"凯"	"kʰai53"	""	"kʰ"	"ai"	"53"
"楷"	"kʰai53"	""	"kʰ"	"ai"	"53"
"开"	"kʰai223"	""	"kʰ"	"ai"	"223"
"恺"	"kʰai21"	""	"kʰ"	"ai"	"21"
"概"	"kʰai21"	""	"kʰ"	"ai"	"21"
"慨"	"kʰai21"	""	"kʰ"	"ai"	"21"
"铠"	"kʰai213"	""	"kʰ"	"ai"	"213"
"凱"	"kʰai53"	""	"kʰ"	"ai"	"53"
"開"	"kʰai223"	""	"kʰ"	"ai"	"223"
"愷"	"kʰai21"	""	"kʰ"	"ai"	"21"
"鎧"	"kʰai213"	""	"kʰ"	"ai"	"213"
"个"	"kai44"	"白"	"k"	"ai"	"44"
"该"	"kai223"	""	"k"	"ai"	"223"
"皆"	"kai223"	""	"k"	"ai"	"223"
"阶"	"kai223"	""	"k"	"ai"	"223"
"偕"	"kai223"	""	"k"	"ai"	"223"
"盖"	"kai21"	""	"k"	"ai"	"21"
"介"	"kai21"	""	"k"	"ai"	"21"
"界"	"kai21"	""	"k"	"ai"	"21"
"芥"	"kai21"	""	"k"	"ai"	"21"
"尬"	"kai21"	""	"k"	"ai"	"21"
"届"	"kai21"	""	"k"	"ai"	"21"
"戒"	"kai21"	""	"k"	"ai"	"21"
"個"	"kai44"	"白"	"k"	"ai"	"44"
"該"	"kai223"	""	"k"	"ai"	"223"
"階"	"kai223"	""	"k"	"ai"	"223"
"蓋"	"kai21"	""	"k"	"ai"	"21"
"屆"	"kai21"	""	"k"	"ai"	"21"
"孩"	"hai44"	""	"h"	"ai"	"44"
"谐"	"hai44"	""	"h"	"ai"	"44"
"海"	"hai53"	""	"h"	"ai"	"53"
"亥"	"hai213"	""	"h"	"ai"	"213"
"解"	"hai213"	""	"h"	"ai"	"213"
"懈"	"hai213"	""	"h"	"ai"	"213"
"害"	"hai311"	""	"h"	"ai"	"311"
"諧"	"hai44"	""	"h"	"ai"	"44"
"碍"	"gai311"	""	"g"	"ai"	"311"
"礙"	"gai311"	""	"g"	"ai"	"311"
"眉"	"bai44"	""	"b"	"ai"	"44"
"楣"	"bai44"	""	"b"	"ai"	"44"
"跛"	"bai53"	""	"b"	"ai"	"53"
"闲"	"ãi44"	""	""	"ãi"	"44"
"肩"	"ãi223"	""	""	"ãi"	"223"
"爱"	"ãi21"	""	""	"ãi"	"21"
"閑"	"ãi44"	""	""	"ãi"	"44"
"閒"	"ãi44"	""	""	"ãi"	"44"
"愛"	"ãi21"	""	""	"ãi"	"21"
"蚕"	"tsʰãi44"	""	"tsʰ"	"ãi"	"44"
"彩"	"tsʰãi53"	""	"tsʰ"	"ãi"	"53"
"踩"	"tsʰãi53"	""	"tsʰ"	"ãi"	"53"
"睬"	"tsʰãi53"	""	"tsʰ"	"ãi"	"53"
"采"	"tsʰãi53"	""	"tsʰ"	"ãi"	"53"
"筅"	"tsʰãi53"	""	"tsʰ"	"ãi"	"53"
"千"	"tsʰãi223"	""	"tsʰ"	"ãi"	"223"
"蠶"	"tsʰãi44"	""	"tsʰ"	"ãi"	"44"
"脐"	"tsãi44"	""	"ts"	"ãi"	"44"
"前"	"tsãi44"	""	"ts"	"ãi"	"44"
"指"	"tsãi53"	""	"ts"	"ãi"	"53"
"趾"	"tsãi53"	"训"	"ts"	"ãi"	"53"
"臍"	"tsãi44"	""	"ts"	"ãi"	"44"
"殿"	"tãi213"	""	"t"	"ãi"	"213"
"□"	"tãi311"	"坚硬"	"t"	"ãi"	"311"
"先"	"sãi223"	""	"s"	"ãi"	"223"
"爿"	"pãi44"	""	"p"	"ãi"	"44"
"板"	"pãi53"	""	"p"	"ãi"	"53"
"反"	"pãi53"	""	"p"	"ãi"	"53"
"办"	"pãi311"	""	"p"	"ãi"	"311"
"辦"	"pãi311"	""	"p"	"ãi"	"311"
"盖"	"kʰãi21"	""	"kʰ"	"ãi"	"21"
"蓋"	"kʰãi21"	""	"kʰ"	"ãi"	"21"
"拣"	"kãi53"	""	"k"	"ãi"	"53"
"茧"	"kãi53"	""	"k"	"ãi"	"53"
"间"	"kãi223"	"房~"	"k"	"ãi"	"223"
"肩"	"kãi223"	""	"k"	"ãi"	"223"
"间"	"kãi21"	""	"k"	"ãi"	"21"
"揀"	"kãi53"	""	"k"	"ãi"	"53"
"繭"	"kãi53"	""	"k"	"ãi"	"53"
"間"	"kãi223"	"房~"	"k"	"ãi"	"223"
"間"	"kãi21"	""	"k"	"ãi"	"21"
"还"	"hãi44"	""	"h"	"ãi"	"44"
"蚬"	"hãi53"	""	"h"	"ãi"	"53"
"害"	"hãi311"	"让"	"h"	"ãi"	"311"
"苋"	"hãi311"	""	"h"	"ãi"	"311"
"還"	"hãi44"	""	"h"	"ãi"	"44"
"蜆"	"hãi53"	""	"h"	"ãi"	"53"
"莧"	"hãi311"	""	"h"	"ãi"	"311"
"恶"	"ak32"	""	""	"ak"	"32"
"抑"	"ak32"	"训"	""	"ak"	"32"
"沃"	"ak32"	"淋湿"	""	"ak"	"32"
"惡"	"ak32"	""	""	"ak"	"32"
"凿"	"tsʰak54"	""	"tsʰ"	"ak"	"54"
"贼"	"tsʰak54"	""	"tsʰ"	"ak"	"54"
"擦"	"tsʰak32"	""	"tsʰ"	"ak"	"32"
"察"	"tsʰak32"	""	"tsʰ"	"ak"	"32"
"漆"	"tsʰak32"	""	"tsʰ"	"ak"	"32"
"鑿"	"tsʰak54"	""	"tsʰ"	"ak"	"54"
"賊"	"tsʰak54"	""	"tsʰ"	"ak"	"54"
"实"	"tsak54"	""	"ts"	"ak"	"54"
"札"	"tsak32"	""	"ts"	"ak"	"32"
"节"	"tsak32"	""	"ts"	"ak"	"32"
"煠"	"tsak54"	""	"ts"	"ak"	"54"
"作"	"tsak32"	""	"ts"	"ak"	"32"
"實"	"tsak54"	""	"ts"	"ak"	"54"
"劄"	"tsak32"	""	"ts"	"ak"	"32"
"節"	"tsak32"	""	"ts"	"ak"	"32"
"读"	"tʰak54"	""	"tʰ"	"ak"	"54"
"拓"	"tʰak32"	""	"tʰ"	"ak"	"32"
"踢"	"tʰak32"	""	"tʰ"	"ak"	"32"
"讀"	"tʰak54"	""	"tʰ"	"ak"	"54"
"达"	"tak54"	""	"t"	"ak"	"54"
"值"	"tak54"	""	"t"	"ak"	"54"
"毒"	"tak54"	""	"t"	"ak"	"54"
"達"	"tak54"	""	"t"	"ak"	"54"
"萨"	"sak32"	""	"s"	"ak"	"32"
"撒"	"sak32"	""	"s"	"ak"	"32"
"虱"	"sak32"	""	"s"	"ak"	"32"
"塞"	"sak32"	""	"s"	"ak"	"32"
"薩"	"sak32"	""	"s"	"ak"	"32"
"雹"	"pʰak54"	""	"pʰ"	"ak"	"54"
"曝"	"pʰak54"	"晒"	"pʰ"	"ak"	"54"
"博"	"pʰak32"	""	"pʰ"	"ak"	"32"
"瀑"	"pʰak32"	""	"pʰ"	"ak"	"32"
"别"	"pak54"	""	"p"	"ak"	"54"
"扒"	"pak32"	""	"p"	"ak"	"32"
"叭"	"pak32"	"曾经；认识"	"p"	"ak"	"32"
"别"	"pak32"	""	"p"	"ak"	"32"
"缚"	"pak32"	""	"p"	"ak"	"32"
"剥"	"pak32"	""	"p"	"ak"	"32"
"北"	"pak32"	""	"p"	"ak"	"32"
"幅"	"pak32"	""	"p"	"ak"	"32"
"腹"	"pak32"	""	"p"	"ak"	"32"
"別"	"pak54"	""	"p"	"ak"	"54"
"別"	"pak32"	""	"p"	"ak"	"32"
"縛"	"pak32"	""	"p"	"ak"	"32"
"剝"	"pak32"	""	"p"	"ak"	"32"
"鳄"	"ŋak54"	""	"ŋ"	"ak"	"54"
"鄂"	"ŋak54"	""	"ŋ"	"ak"	"54"
"鱷"	"ŋak54"	""	"ŋ"	"ak"	"54"
"目"	"mak54"	""	"m"	"ak"	"54"
"摸"	"mak32"	"训"	"m"	"ak"	"32"
"栗"	"lak54"	""	"l"	"ak"	"54"
"乐"	"lak54"	""	"l"	"ak"	"54"
"力"	"lak54"	""	"l"	"ak"	"54"
"六"	"lak54"	""	"l"	"ak"	"54"
"落"	"lak32"	"*脱落"	"l"	"ak"	"32"
"樂"	"lak54"	""	"l"	"ak"	"54"
"咳"	"kʰak32"	""	"kʰ"	"ak"	"32"
"霍"	"kʰak32"	""	"kʰ"	"ak"	"32"
"藿"	"kʰak32"	""	"kʰ"	"ak"	"32"
"确"	"kʰak32"	""	"kʰ"	"ak"	"32"
"壳"	"kʰak32"	""	"kʰ"	"ak"	"32"
"確"	"kʰak32"	""	"kʰ"	"ak"	"32"
"殼"	"kʰak32"	""	"kʰ"	"ak"	"32"
"结"	"kak32"	""	"k"	"ak"	"32"
"各"	"kak32"	""	"k"	"ak"	"32"
"觉"	"kak32"	""	"k"	"ak"	"32"
"角"	"kak32"	""	"k"	"ak"	"32"
"結"	"kak32"	""	"k"	"ak"	"32"
"覺"	"kak32"	""	"k"	"ak"	"32"
"学"	"hak54"	""	"h"	"ak"	"54"
"喝"	"hak32"	"喝彩"	"h"	"ak"	"32"
"瞎"	"hak32"	""	"h"	"ak"	"32"
"辖"	"hak32"	""	"h"	"ak"	"32"
"郝"	"hak32"	""	"h"	"ak"	"32"
"壑"	"hak32"	""	"h"	"ak"	"32"
"學"	"hak54"	""	"h"	"ak"	"54"
"轄"	"hak32"	""	"h"	"ak"	"32"
"墨"	"bak54"	""	"b"	"ak"	"54"
"木"	"bak54"	""	"b"	"ak"	"54"
"饮"	"am53"	""	""	"am"	"53"
"庵"	"am223"	""	""	"am"	"223"
"鹌"	"am223"	""	""	"am"	"223"
"暗"	"am21"	""	""	"am"	"21"
"含"	"am213"	""	""	"am"	"213"
"飲"	"am53"	""	""	"am"	"53"
"鵪"	"am223"	""	""	"am"	"223"
"惭"	"tsʰam44"	""	"tsʰ"	"am"	"44"
"惨"	"tsʰam53"	""	"tsʰ"	"am"	"53"
"参"	"tsʰam223"	""	"tsʰ"	"am"	"223"
"渗"	"tsʰam223"	""	"tsʰ"	"am"	"223"
"渗"	"tsʰam21"	"又"	"tsʰ"	"am"	"21"
"慚"	"tsʰam44"	""	"tsʰ"	"am"	"44"
"慘"	"tsʰam53"	""	"tsʰ"	"am"	"53"
"參"	"tsʰam223"	""	"tsʰ"	"am"	"223"
"滲"	"tsʰam223"	""	"tsʰ"	"am"	"223"
"滲"	"tsʰam21"	"又"	"tsʰ"	"am"	"21"
"斩"	"tsam53"	""	"ts"	"am"	"53"
"簪"	"tsam223"	""	"ts"	"am"	"223"
"针"	"tsam223"	""	"ts"	"am"	"223"
"渗"	"tsam21"	"~水"	"ts"	"am"	"21"
"站"	"tsam213"	""	"ts"	"am"	"213"
"斬"	"tsam53"	""	"ts"	"am"	"53"
"針"	"tsam223"	""	"ts"	"am"	"223"
"滲"	"tsam21"	"~水"	"ts"	"am"	"21"
"谭"	"tʰam44"	""	"tʰ"	"am"	"44"
"潭"	"tʰam44"	""	"tʰ"	"am"	"44"
"坛"	"tʰam44"	"老~"	"tʰ"	"am"	"44"
"谈"	"tʰam44"	""	"tʰ"	"am"	"44"
"痰"	"tʰam44"	""	"tʰ"	"am"	"44"
"贪"	"tʰam223"	""	"tʰ"	"am"	"223"
"坍"	"tʰam223"	"又"	"tʰ"	"am"	"223"
"探"	"tʰam21"	""	"tʰ"	"am"	"21"
"譚"	"tʰam44"	""	"tʰ"	"am"	"44"
"罈"	"tʰam44"	"老~"	"tʰ"	"am"	"44"
"談"	"tʰam44"	""	"tʰ"	"am"	"44"
"貪"	"tʰam223"	""	"tʰ"	"am"	"223"
"胆"	"tam53"	""	"t"	"am"	"53"
"淫"	"tam44"	"湿"	"t"	"am"	"44"
"耽"	"tam223"	""	"t"	"am"	"223"
"担"	"tam223"	""	"t"	"am"	"223"
"坍"	"tam223"	""	"t"	"am"	"223"
"膽"	"tam53"	""	"t"	"am"	"53"
"擔"	"tam223"	""	"t"	"am"	"223"
"三"	"sam223"	""	"s"	"am"	"223"
"杉"	"sam223"	""	"s"	"am"	"223"
"岩"	"ŋam44"	""	"ŋ"	"am"	"44"
"勘"	"ŋam223"	"估测"	"ŋ"	"am"	"223"
"堪"	"ŋam223"	"刚"	"ŋ"	"am"	"223"
"南"	"nam44"	""	"n"	"am"	"44"
"男"	"nam44"	""	"n"	"am"	"44"
"婪"	"nam44"	""	"n"	"am"	"44"
"蓝"	"nam44"	""	"n"	"am"	"44"
"淋"	"nam44"	"~糖，普宁特产糕点"	"n"	"am"	"44"
"览"	"lam53"	""	"l"	"am"	"53"
"揽"	"lam53"	""	"l"	"am"	"53"
"缆"	"lam53"	""	"l"	"am"	"53"
"舰"	"nam53"	""	"n"	"am"	"53"
"滥"	"nam213"	""	"n"	"am"	"213"
"藍"	"nam44"	""	"n"	"am"	"44"
"覽"	"nam53"	""	"n"	"am"	"53"
"攬"	"nam53"	""	"n"	"am"	"53"
"纜"	"nam53"	""	"n"	"am"	"53"
"艦"	"nam53"	""	"n"	"am"	"53"
"濫"	"nam213"	""	"n"	"am"	"213"
"婪"	"lam44"	""	"l"	"am"	"44"
"嵐"	"lam44"	""	"l"	"am"	"44"
"岚"	"lam44"	""	"l"	"am"	"44"
"淋"	"lam44"	""	"l"	"am"	"44"
"腩"	"lam53"	""	"l"	"am"	"53"
"坎"	"kʰam53"	""	"kʰ"	"am"	"53"
"限"	"kʰam53"	"训"	"kʰ"	"am"	"53"
"堪"	"kʰam223"	""	"kʰ"	"am"	"223"
"勘"	"kʰam223"	""	"kʰ"	"am"	"223"
"坎"	"kʰam21"	""	"kʰ"	"am"	"21"
"槛"	"kʰam21"	""	"kʰ"	"am"	"21"
"檻"	"kʰam21"	""	"kʰ"	"am"	"21"
"含"	"kam44"	""	"k"	"am"	"44"
"感"	"kam53"	""	"k"	"am"	"53"
"㔶"	"kam53"	""	"k"	"am"	"53"
"尴"	"kam53"	""	"k"	"am"	"53"
"甘"	"kam223"	""	"k"	"am"	"223"
"尴"	"kam223"	""	"k"	"am"	"223"
"监"	"kam223"	""	"k"	"am"	"223"
"赣"	"kam21"	""	"k"	"am"	"21"
"监"	"kam21"	""	"k"	"am"	"21"
"鉴"	"kam21"	""	"k"	"am"	"21"
"尷"	"kam53"	""	"k"	"am"	"53"
"尷"	"kam223"	""	"k"	"am"	"223"
