"聲母拼音"	"聲母IPA"	"韻母拼音"	"韻母IPA"	"拼音"	"IPA"	"聲調"	"單字"	"釋義"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𥠃"	"同「稵」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𥣏"	"同「稵」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𥣓"	"同「稵」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"嵫"	"崦～"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鎡"	"～基，田器也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"镃"	"「鎡」之簡體字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨭨"	"同「鎡」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鷀"	"鸕～"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鹚"	"「鷀」之簡體字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"鶿"	"同「鷀」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𮭋"	"同「鶿」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"䲿"	"同「鷀」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪇔"	"同「鷀」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"髭"	"口上鬚也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"頾"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"頿"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𣯃"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨱲"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨲝"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𨲦"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𩑽"	"同「髭」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"齜"	"齒不正也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"龇"	"「齜」之簡體字"
