"#符号说明：-白=文/书*俗?待考"	
"ŋ"	"[1]懊1{~糟：即懊悔}拗1{僵持不下}[2]敖熬鏖遨[3]咬懊2襖[5]傲奧拗2澳"
"x"	"[1]蒿薅□{揍}[2]豪毫嚎壕嗥濠[3]好1[5]好2號浩皓昊灝耗"
"Ø"	"[1]噢[2]兒而□{~誤：因未留神而耽擱了事情}[3]耳爾邇餌媼[5]凹二貳嶴"
	
"#iɔ"	
"p"	"[1]鑣標鏢膘彪飆彪[3]表婊裱錶[5]標鰾□{油炸的曬乾的豬皮}□{黏嘴：~嘴}"
"pʰ"	"[1]漂1飄縹剽[2]瓢嫖樸2[3]瞟□{物體被扭曲變形：自行車的車輪~掉了}[5]票漂"
"m"	"[2]苗描瞄貓={大熊~}[3]秒渺緲藐淼[5]廟妙繆"
"t"	"[1]刁叼貂凋雕[3]屌[5]碉調1掉吊銚釣弔"
"tʰ"	"[1]挑1祧佻[2]條調2迢[3]挑2條*{～子：條幅；樹～子：細長樹枝}[5]眺跳糶"
"n"	"[3]嫋鳥嬲[5]尿2"
"l"	"[2]聊鐐撩嘹燎1療寥遼僚□{驢～子：驢鞭}獠寮[3]了瞭{明~}潦燎2[5]料撂尥嘹瞭{~望}"
"tɕ"	"[1]澆交=郊姣教=椒嬌驕蕉礁膠蛟[3]皎狡餃絞攪=矯僥繳剿佼[5]覺=教=校{~準；學~}較=叫轎噍{回~}"
"tɕʰ"	"[1]敲=蹺鍬劁[2]喬蕎橋僑鞽憔譙瞧翹1[3]巧[5]悄竅翹2俏峭撬"
"ɕ"	"[1]驍肖1消逍宵霄銷器梟瀟蕭簫枵{薄}□{掀開}[2]淆[3]小曉[5]笑效孝肖2嘯□{裂：牆上~開一條縫}"
"Ø"	"[1]要1腰夭妖邀吆幺[2]堯姚肴爻窯謠搖瑤遙[3]杳舀[5]要2耀曜躍1□{~子：用禾草等纖維物擰成的單股繩子}"
	
"#e"	
"p"	"[1]敗1{~}[3]擺[5]敗2拜"
"pʰ"	"[1]□{用腳踩壓物體}[2]排牌俳徘[5]派湃"
"m"	"[1]□{~呆：反應遲鈍}[2]埋霾[3]買[5]賣邁"
