"繁"	"簡"	"IPA"	"IPA無調"	"拼音"	"調值"	"解釋"
"緻"	"致"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	
"峙"	"峙"	"dzz̩²³¹"	"dzz̩"	"dzy4"	231	"對~"
"斯"	"斯"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"司"	"司"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"撕"	"撕"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"廝"	"厮"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"嘶"	"嘶"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"䲉"	"䲉"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"䱀~，黃顙魚"
"私"	"私"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"厶"	"私"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"絲"	"丝"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"弛"	"弛"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"~泰:舒服，本字又作舒"
"噝"	"咝"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"鷥"	"鸶"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"思"	"思"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"鍶"	"锶"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"偲"	"偲"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"人名用字"
"螄"	"蛳"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"螺~"
"鰤"	"𫚕"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"施"	"施"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"師"	"师"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"獅"	"狮"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"~子"
"屍"	"尸"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"~體"
"尸"	"尸"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"~位素餐"
"詩"	"诗"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	
"廁"	"厕"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"茅~"
"史"	"史"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"歷~"
"史"	"史"	"sz̩³³⁴"	"sz̩"	"sy5"	334	"姓氏"
"駛"	"驶"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"駕~"
"駛"	"驶"	"sz̩³³⁴"	"sz̩"	"sy5"	334	"又音"
"豕"	"豕"	"sz̩⁵¹"	"sz̩"	"sy3"	51	
"死"	"死"	"sz̩⁵¹"	"sz̩"	"sy3"	51	
"屎"	"屎"	"sz̩⁵¹"	"sz̩"	"sy3"	51	
"矢"	"矢"	"sz̩⁵¹"	"sz̩"	"sy3"	51	
"始"	"始"	"sz̩⁵¹"	"sz̩"	"sy3"	51	
"齒"	"齿"	"sz̩⁵¹"	"sz̩"	"sy3"	51	"馬~莧"
"弛"	"弛"	"sz̩⁴⁴"	"sz̩"	"sy1"	44	"又音"
"使"	"使"	"sz̩⁵¹"	"sz̩"	"sy3"	51	"~出插"
"使"	"使"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"四"	"四"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"泗"	"泗"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"肆"	"肆"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"駟"	"驷"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"牭"	"牭"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"亖"	"四"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"水"	"水"	"sz̩³³⁴"	"sz̩"	"sy5"	334	"~門汀"
"世"	"世"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"卋"	"世"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"弒"	"弑"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"勢"	"势"	"sz̩³⁴⁴"	"sz̩"	"sy5"	334	
"試"	"试"	"sz̩³³⁴"	"sz̩"	"sy5"	334	
"使"	"使"	"sz̩³³⁴"	"sz̩"	"sy5"	334	"白"
"瓷"	"瓷"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"辭"	"辞"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"辤"	"辞"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"辝"	"辞"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"詞"	"词"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"䛐"	"词"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"祠"	"祠"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"飼"	"饲"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"垐"	"垐"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"~實"
"鶿"	"鹚"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"牸"	"牸"	"zz̩²¹³"	"zz̩"	"zy6"	213	"~牛；下~"
"遲"	"迟"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"又音"
"弛"	"弛"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"文"
"茨"	"茨"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"~菇"
"嗣"	"嗣"	"zz̩²¹³"	"zz̩"	"zy6"	213	"承~"
"豉"	"豉"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"匙"	"匙"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"湯~"
"糍"	"糍"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"𨫞"	"匙"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"鑰~"
"時"	"时"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"旹"	"时"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"鰣"	"鲥"	"zz̩¹¹³"	"zz̩"	"zy2"	113	
"是"	"是"	"zz̩²³¹"	"zz̩"	"zy4"	231	"又音"
"自"	"自"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"字"	"字"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"似"	"似"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"巳"	"巳"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"祀"	"祀"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"禩"	"祀"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"寺"	"寺"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"漬"	"渍"	"zz̩²¹³"	"zz̩"	"zy6"	213	"~腳"
"誓"	"誓"	"zz̩²¹³"	"zz̩"	"zy6"	213	"賭呪罰~"
"逝"	"逝"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"兕"	"兕"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"是"	"是"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"氏"	"氏"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"舐"	"舐"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"稚"	"稚"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"示"	"示"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"視"	"视"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"嗜"	"嗜"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"噬"	"噬"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"士"	"士"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"仕"	"仕"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"市"	"市"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"鈰"	"铈"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"柿"	"柿"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"事"	"事"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"恃"	"恃"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"侍"	"侍"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"伺"	"伺"	"zz̩²¹³"	"zz̩"	"zy6"	213	"~機"
"謚"	"谥"	"zz̩²¹³"	"zz̩"	"zy6"	213	
"剚"	"剚"	"zz̩²¹³"	"zz̩"	"zy6"	213	"碎割零~"
"蒔"	"莳"	"zz̩²¹³"	"zz̩"	"zy6"	213	"~稻"
"屄"	"屄"	"piⱼ⁴⁴"	"piⱼ"	"pi1"	44	"女陰"
"悲"	"悲"	"piⱼ⁴⁴"	"piⱼ"	"pi1"	44	
"彼"	"彼"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	
"俾"	"俾"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	
"鄙"	"鄙"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	"卑~"
"比"	"比"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	
"妣"	"妣"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	"考~"
"匕"	"匕"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	
"秕"	"秕"	"piⱼ⁵¹"	"piⱼ"	"pi3"	51	
"閉"	"闭"	"piⱼ⁵¹"	"piⱼ"	"pi5"	334	
"臂"	"臂"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	
"轡"	"辔"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"白"
"祕"	"秘"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"~密"
"泌"	"泌"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"便~"
"毖"	"毖"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"懲前~後"
"庇"	"庇"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"又音"
"痹"	"痹"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"麻~"
"箅"	"箅"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	
"裨"	"裨"	"piⱼ³³⁴"	"piⱼ"	"pi5"	334	"~益"
"批"	"批"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	
"披"	"披"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	
"砒"	"砒"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	
"紕"	"纰"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	"~謬"
"𠜱"	"𠜱"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	"削"
"丕"	"丕"	"pʰiⱼ⁴⁴"	"pʰi"	"phi1"	44	
"𠜱"	"𠜱"	"pʰiⱼ⁵¹"	"pʰi"	"phi3"	51	"又音"
"庇"	"庇"	"pʰiⱼ⁵¹"	"pʰi"	"phi3"	51	"包~"
"痞"	"痞"	"pʰiⱼ⁵¹"	"pʰi"	"phi3"	51	
"嚭"	"嚭"	"pʰiⱼ⁵¹"	"pʰi"	"phi3"	51	
"屁"	"屁"	"pʰiⱼ³³⁴"	"pʰi"	"phi5"	334	
"譬"	"譬"	"pʰiⱼ³³⁴"	"pʰi"	"phi5"	334	"~如"
"媲"	"媲"	"pʰiⱼ³³⁴"	"pʰi"	"phi5"	334	"~美"
"濞"	"濞"	"pʰiⱼ³³⁴"	"pʰi"	"phi5"	334	
"皮"	"皮"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"疲"	"疲"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"陂"	"陂"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"鮍"	"鲏"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"啤"	"啤"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"脾"	"脾"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"琵"	"琵"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	"~琶"
"毗"	"毗"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"毘"	"毗"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"紕"	"纰"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	"~漏"
"肥"	"肥"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	"~皁"
"比"	"比"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	"量詞，層次"
"羆"	"罴"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"鈹"	"铍"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"貔"	"貔"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"邳"	"邳"	"biⱼ¹¹³"	"biⱼ"	"bi2"	113	
"皮"	"皮"	"biⱼ²³¹"	"biⱼ"	"bi4"	231	"~軑，車輪打滑，破讀"
"坒"	"坒"	"biⱼ²³¹"	"biⱼ"	"bi4"	231	"堆㬪"
"鐾"	"鐾"	"biⱼ²³¹"	"biⱼ"	"bi4"	231	"刀~~快"
"陛"	"陛"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"鐾"	"鐾"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"又音"
"被"	"被"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"婢"	"婢"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"避"	"避"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"辟"	"辟"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"~邪，字又作避"
"否"	"否"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"~極泰來"
"備"	"备"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"蔽"	"蔽"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"敝"	"敝"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"弊"	"弊"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"幣"	"币"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"斃"	"毙"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	
"篦"	"篦"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"~䇫"
"鄙"	"鄙"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"~人"
"痹"	"痹"	"biⱼ²¹³"	"biⱼ"	"bi6"	213	"麻~，又音"
"瞇"	"瞇"	"ʔmiⱼ⁴⁴"	"ʔmiⱼ"	"mi1"	44	
"眯"	"眯"	"ʔmiⱼ⁴⁴"	"ʔmiⱼ"	"mi1"	44	"~細眼"
"渳"	"渳"	"ʔmiⱼ⁴⁴"	"ʔmiⱼ"	"mi1"	44	"~一口酒"
"㝥"	"㝥"	"ʔmiⱼ⁴⁴"	"ʔmiⱼ"	"mi1"	44	"小睡"
"咪"	"咪"	"ʔmiⱼ⁴⁴"	"ʔmiⱼ"	"mi1"	44	"甜~~"
"米"	"米"	"ʔmiⱼ⁵¹"	"ʔmiⱼ"	"mi3"	51	
"芈"	"芈"	"ʔmiⱼ⁵¹"	"ʔmiⱼ"	"mi3"	51	
"迷"	"迷"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"醚"	"醚"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"糜"	"糜"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"靡"	"靡"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"麋"	"麋"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"彌"	"弥"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	"~勒佛"
"瀰"	"弥"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	"~漫"
"獼"	"猕"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"眉"	"眉"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"鎇"	"镅"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"楣"	"楣"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	"門~"
"嵋"	"眉"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"謎"	"谜"	"ʔmiⱼ³³⁴"	"ʔmiⱼ"	"mi5"	334	
"媚"	"媚"	"miⱼ²¹³"	"miⱼ"	"mi6"	213	
"尾"	"尾"	"miⱼ²¹³"	"miⱼ"	"mi6"	213	"~巴"
"味"	"味"	"miⱼ²¹³"	"miⱼ"	"mi6"	213	"~道"
"寐"	"寐"	"miⱼ²¹³"	"miⱼ"	"mi6"	213	
"飛"	"飞"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"非"	"非"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"妃"	"妃"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"緋"	"绯"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	"~紅"
"扉"	"扉"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	"門~"
"𥳊"		"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	"蘆~"
"菲"	"菲"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"霏"	"霏"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"啡"	"啡"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"蜚"	"蜚"	"fiⱼ⁴⁴"	"fiⱼ"	"fi1"	44	
"匪"	"匪"	"fiⱼ⁵¹"	"fiⱼ"	"fi3"	51	
"榧"	"榧"	"fiⱼ⁵¹"	"fiⱼ"	"fi3"	51	
