"繁體"	"简体"	"音標"		"1：˧˧"	"2：˧˩"
"廝"	"厮"	"sɿ1"			
"雖"	"虽"	"sɿ1"			
"綏"	"绥"	"sɿ1"			
"希"	"希"	"sɿ1"			
"稀"	"稀"	"sɿ1"			
"熙"	"熙"	"sɿ1"			
"嘻"	"嘻"	"sɿ1"			
"嬉"	"嬉"	"sɿ1"			
"熹"	"熹"	"sɿ1"			
"犧"	"牺"	"sɿ1"			
"犧"	"牺"	"sɿ1"			
"禧"	"禧"	"sɿ1"			
"蟢"	"蟢"	"sɿ1"			
"胥"	"胥"	"sɿ1"			
"須"	"须"	"sɿ1"			
"需"	"需"	"sɿ1"			
"須"	"须"	"sɿ1"			
"史"	"史"	"sɿ3"			
"矢"	"矢"	"sɿ3"			
"豕"	"豕"	"sɿ3"			
"使"	"使"	"sɿ3"			
"始"	"始"	"sɿ3"			
"屎"	"屎"	"sɿ3"			
"駛"	"驶"	"sɿ3"			
"黍"	"黍"	"sɿ3"			
"數"	"数"	"sɿ3"			
"水"	"水"	"sɿ3"			
"死"	"死"	"sɿ3"			
"徙"	"徙"	"sɿ3"			
"喜"	"喜"	"sɿ3"			
"賜"	"赐"	"sɿ5"			
"試"	"试"	"sɿ5"			
"暑"	"暑"	"sɿ5"			
"戍"	"戍"	"sɿ5"			
"恕"	"恕"	"sɿ5"			
"庶"	"庶"	"sɿ5"			
"稅"	"税"	"sɿ5"			
"說"	"说"	"sɿ5"			
"說"	"说"	"sɿ5"			
"思"	"思"	"sɿ5"			
"四"	"四"	"sɿ5"			
"肆"	"肆"	"sɿ5"			
"祟"	"祟"	"sɿ5"			
"歲"	"岁"	"sɿ5"			
"戲"	"戏"	"sɿ5"			
"絮"	"絮"	"sɿ5"			
"豉"	"豉"	"zɿ2"			
"鋤"	"锄"	"zɿ2"			
"疵"	"疵"	"zɿ2"			
"祠"	"祠"	"zɿ2"			
"瓷"	"瓷"	"zɿ2"			
"詞"	"词"	"zɿ2"			
"慈"	"慈"	"zɿ2"			
"磁"	"磁"	"zɿ2"			
"糍"	"糍"	"zɿ2"			
"辭"	"辞"	"zɿ2"			
"鶿"	"鹚"	"zɿ2"			
"鶿"	"鹚"	"zɿ2"			
"而"	"而"	"zɿ2"			
"如"	"如"	"zɿ2"			
"儒"	"儒"	"zɿ2"			
"蠕"	"蠕"	"zɿ2"			
"時"	"时"	"zɿ2"			
"鰣"	"鲥"	"zɿ2"			
"殊"	"殊"	"zɿ2"			
"誰"	"谁"	"zɿ2"			
"隋"	"隋"	"zɿ2"			
"隨"	"随"	"zɿ2"			
"遂"	"遂"	"zɿ2"			
"茲"	"兹"	"zɿ2"			
"耳"	"耳"	"zɿ3"			
"爾"	"尔"	"zɿ3"			
"爾"	"尔"	"zɿ3"			
"餌"	"饵"	"zɿ3"			
"聚"	"聚"	"zɿ3"			
"汝"	"汝"	"zɿ3"			
"乳"	"乳"	"zɿ3"			
"擩"	"擩"	"zɿ3"			
"蕊"	"蕊"	"zɿ3"			
"士"	"士"	"zɿ3"			
"氏"	"氏"	"zɿ3"			
"市"	"市"	"zɿ3"			
"似"	"似"	"zɿ3"			
"柿"	"柿"	"zɿ3"			
"是"	"是"	"zɿ3"			
"恃"	"恃"	"zɿ3"			
"墅"	"墅"	"zɿ3"			
"豎"	"竖"	"zɿ3"			
"樹"	"树"	"zɿ3"			
"巳"	"巳"	"zɿ3"			
"祀"	"祀"	"zɿ3"			
"序"	"序"	"zɿ3"			
"敘"	"叙"	"zɿ3"			
"緒"	"绪"	"zɿ3"			
"著"	"着"	"zɿ3"			
"瑞"	"瑞"	"zɿ6"			
"食"	"食"	"zɿ6"			
"示"	"示"	"zɿ6"			
"事"	"事"	"zɿ6"			
"侍"	"侍"	"zɿ6"			
"視"	"视"	"zɿ6"			
"嗜"	"嗜"	"zɿ6"			
"樹"	"树"	"zɿ6"			
"寺"	"寺"	"zɿ6"			
"伺"	"伺"	"zɿ6"			
"嗣"	"嗣"	"zɿ6"			
"飼"	"饲"	"zɿ6"			
"隧"	"隧"	"zɿ6"			
"穗"	"穗"	"zɿ6"			
"自"	"自"	"zɿ6"			
"字"	"字"	"zɿ6"			
"牸"	"牸"	"zɿ6"			
"蝙"	"蝙"	"pi1"			
"編"	"编"	"pi1"			
"鞭"	"鞭"	"pi1"			
"邊"	"边"	"pi1"			
"扁"	"扁"	"pi3"			
"匾"	"匾"	"pi3"			
"貶"	"贬"	"pi3"			
"遍"	"遍"	"pi3"			
"變"	"变"	"pi3"			
"逼"	"逼"	"pi7"			
"筆"	"笔"	"pi7"			
"必"	"必"	"pi7"			
"畢"	"毕"	"pi7"			
"碧"	"碧"	"pi7"			
"潷"	"滗"	"pi7"			
"壁"	"壁"	"pi7"			
"臂"	"臂"	"pi7"			
"璧"	"璧"	"pi7"			
"憋"	"憋"	"pi7"			
"鱉"	"鳖"	"pi7"			
"別"	"别"	"pi7"			
"泌"	"泌"	"pi7"			
"秘"	"秘"	"pi7"			
"辟"	"辟"	"pi7"			
"偏"	"偏"	"pʰi1"			
"篇"	"篇"	"pʰi1"			
"翩"	"翩"	"pʰi1"			
"片"	"片"	"pʰi1"			
"騙"	"骗"	"pʰi1"			
"蹩"	"蹩"	"pʰi7"			
"劈"	"劈"	"pʰi7"			
"霹"	"霹"	"pʰi7"			
"匹"	"匹"	"pʰi7"			
"癖"	"癖"	"pʰi7"			
"僻"	"僻"	"pʰi7"			
"辟"	"辟"	"pʰi7"			
"撇"	"撇"	"pʰi7"			
"便"	"便"	"bi2"			
"辨"	"辨"	"bi3"			
"辮"	"辫"	"bi3"			
"辯"	"辩"	"bi3"			
"汴"	"汴"	"bi3"			
"便"	"便"	"bi3"			
"鼻"	"鼻"	"bi7"			
"弼"	"弼"	"bi7"			
"別"	"别"	"bi7"			
"眠"	"眠"	"bi7"			
"棉"	"棉"	"bi7"			
"綿"	"绵"	"bi7"			
"免"	"免"	"mi3"			
"勉"	"勉"	"mi3"			
"娩"	"娩"	"mi3"			
"緬"	"缅"	"mi3"			
"面"	"面"	"mi6"			
"泌"	"泌"	"mi7"			
"秘"	"秘"	"mi7"			
"覓"	"觅"	"mi7"			
"密"	"密"	"mi7"			
"蜜"	"蜜"	"mi7"			
"搣"	"搣"	"mi7"			
"滅"	"灭"	"mi7"			
"蔑"	"蔑"	"mi7"			
"篾"	"篾"	"mi7"			
"掂"	"掂"	"ti1"			
"顛"	"颠"	"ti1"			
"巔"	"巅"	"ti1"			
"典"	"典"	"ti1"			
"碘"	"碘"	"ti1"			
"點"	"点"	"ti1"			
"玷"	"玷"	"ti1"			
"點"	"点"	"ti5"			
"店"	"店"	"ti5"			
"跌"	"跌"	"ti5"			
"梯"	"梯"	"ti5"			
"天"	"天"	"ti5"			
"添"	"添"	"ti5"			
"忝"	"忝"	"tʰi3"			
"腆"	"腆"	"tʰi3"			
"舔"	"舔"	"tʰi3"			
"㮇"	"㮇"	"tʰi3"			
"帖"	"帖"	"tʰi3"			
"貼"	"贴"	"tʰi3"			
"鐵"	"铁"	"tʰi3"			
"滇"	"滇"	"di2"			
"佃"	"佃"	"di2"			
"錢"	"钱"	"di2"			
"田"	"田"	"di2"			
"恬"	"恬"	"di2"			
"甜"	"甜"	"di2"			
"填"	"填"	"di2"			
"墊"	"垫"	"di3"			
"簟"	"簟"	"di3"			
"佃"	"佃"	"di3"			
"甸"	"甸"	"di3"			
"奠"	"奠"	"di3"			
"電"	"电"	"di3"			
"殿"	"殿"	"di3"			
"墊"	"垫"	"di3"			
"澱"	"淀"	"di3"			
"狄"	"狄"	"di7"			
"笛"	"笛"	"di7"			
"滌"	"涤"	"di7"			
"敵"	"敌"	"di7"			
"迭"	"迭"	"di7"			
"牒"	"牒"	"di7"			
"蝶"	"蝶"	"di7"			
"諜"	"谍"	"di7"			
"連"	"连"	"li2"			
"蓮"	"莲"	"li2"			
"廉"	"廉"	"li2"			
"憐"	"怜"	"li2"			
"聯"	"联"	"li2"			
"簾"	"帘"	"li2"			
"鐮"	"镰"	"li2"			
"良"	"良"	"li2"			
"梁"	"梁"	"li2"			
"粱"	"粱"	"li2"			
"糧"	"粮"	"li2"			
"量"	"量"	"li2"			
"斂"	"敛"	"li3"			
"臉"	"脸"	"li3"			
"兩"	"两"	"li3"			
"倆"	"俩"	"li3"			
"輛"	"辆"	"li3"			
"輦"	"辇"	"li3"			
"斂"	"敛"	"li6"			
"楝"	"楝"	"li6"			
"煉"	"炼"	"li6"			
"練"	"练"	"li6"			
"殮"	"殓"	"li6"			
"戀"	"恋"	"li6"			
"亮"	"亮"	"li6"			
"量"	"量"	"li6"			
"諒"	"谅"	"li6"			
"立"	"立"	"li7"			
"例"	"例"	"li7"			
"栗"	"栗"	"li7"			
"笠"	"笠"	"li7"			
"列"	"列"	"li7"			
"烈"	"烈"	"li7"			
"裂"	"裂"	"li7"			
"律"	"律"	"li7"			
"率"	"率"	"li7"			
"尖"	"尖"	"tɕi1"			
"肩"	"肩"	"tɕi1"			
"兼"	"兼"	"tɕi1"			
"堅"	"坚"	"tɕi1"			
"煎"	"煎"	"tɕi1"			
"箋"	"笺"	"tɕi1"			
"殲"	"歼"	"tɕi1"			
"將"	"将"	"tɕi1"			
"僵"	"僵"	"tɕi1"			
"漿"	"浆"	"tɕi1"			
"薑"	"姜"	"tɕi1"			
"疆"	"疆"	"tɕi1"			
"韁"	"缰"	"tɕi1"			
"沾"	"沾"	"tɕi1"			
"詹"	"詹"	"tɕi1"			
"氈"	"毡"	"tɕi1"			
"瞻"	"瞻"	"tɕi1"			
"占"	"占"	"tɕi1"			
"占"	"占"	"tɕi1"			
"章"	"章"	"tɕi1"			
"張"	"张"	"tɕi1"			
"彰"	"彰"	"tɕi1"			
"樟"	"樟"	"tɕi1"			
"障"	"障"	"tɕi1"			
"長"	"长"	"tɕi3"			
"剪"	"剪"	"tɕi3"			
"檢"	"检"	"tɕi3"			
"繭"	"茧"	"tɕi3"			
"蔣"	"蒋"	"tɕi3"			
"槳"	"桨"	"tɕi3"			
"獎"	"奖"	"tɕi3"			
"展"	"展"	"tɕi3"			
"掌"	"掌"	"tɕi3"			
"漲"	"涨"	"tɕi3"			
"顫"	"颤"	"tɕi5"			
"見"	"见"	"tɕi5"			
"建"	"建"	"tɕi5"			
"箭"	"箭"	"tɕi5"			
"劍"	"剑"	"tɕi5"			
"薦"	"荐"	"tɕi5"			
"餞"	"饯"	"tɕi5"			
"濺"	"溅"	"tɕi5"			
"將"	"将"	"tɕi5"			
"醬"	"酱"	"tɕi5"			
"戰"	"战"	"tɕi5"			
"帳"	"帐"	"tɕi5"			
"脹"	"胀"	"tɕi5"			
"障"	"障"	"tɕi5"			
"賬"	"账"	"tɕi5"			
"瘴"	"瘴"	"tɕi5"			
"即"	"即"	"tɕi7"			
"接"	"接"	"tɕi7"			
"揭"	"揭"	"tɕi7"			
"癤"	"疖"	"tɕi7"			
"劫"	"劫"	"tɕi7"			
"結"	"结"	"tɕi7"			
"節"	"节"	"tɕi7"			
"潔"	"洁"	"tɕi7"			
"折"	"折"	"tɕi7"			
"哲"	"哲"	"tɕi7"			
"折"	"折"	"tɕi7"			
"櫛"	"栉"	"tɕi7"			
"昌"	"昌"	"tɕʰi1"			
"菖"	"菖"	"tɕʰi1"			
"猖"	"猖"	"tɕʰi1"			
"鯧"	"鲳"	"tɕʰi1"			
"倡"	"倡"	"tɕʰi1"			
"倡"	"倡"	"tɕʰi1"			
"千"	"千"	"tɕʰi1"			
"阡"	"阡"	"tɕʰi1"			
"牽"	"牵"	"tɕʰi1"			
"遷"	"迁"	"tɕʰi1"			
"謙"	"谦"	"tɕʰi1"			
"簽"	"签"	"tɕʰi1"			
"簽"	"签"	"tɕʰi1"			
"羌"	"羌"	"tɕʰi1"			
"腔"	"腔"	"tɕʰi1"			
"槍"	"枪"	"tɕʰi1"			
"纖"	"纤"	"tɕʰi1"			
"闡"	"阐"	"tɕʰi3"			
"敞"	"敞"	"tɕʰi3"			
"廠"	"厂"	"tɕʰi3"			
"淺"	"浅"	"tɕʰi3"			
"遣"	"遣"	"tɕʰi3"			
"譴"	"谴"	"tɕʰi3"			
"歉"	"歉"	"tɕʰi3"			
"搶"	"抢"	"tɕʰi3"			
"倡"	"倡"	"tɕʰi5"			
"唱"	"唱"	"tɕʰi5"			
"悵"	"怅"	"tɕʰi5"			
"暢"	"畅"	"tɕʰi5"			
"欠"	"欠"	"tɕʰi5"			
"嗆"	"呛"	"tɕʰi5"			
"切"	"切"	"tɕʰi7"			
"妾"	"妾"	"tɕʰi7"			
"怯"	"怯"	"tɕʰi7"			
"纏"	"缠"	"tɕʰi7"			
"長"	"长"	"tɕʰi7"			
"常"	"常"	"tɕʰi7"			
"場"	"场"	"tɕʰi7"			
"腸"	"肠"	"tɕʰi7"			
"虔"	"虔"	"tɕʰi7"			
"幹"	"干"	"tɕʰi7"			
"鉗"	"钳"	"tɕʰi7"			
"黔"	"黔"	"tɕʰi7"			
"錢"	"钱"	"tɕʰi7"			
"強"	"强"	"tɕʰi7"			
"儉"	"俭"	"dʑi3"			
"件"	"件"	"dʑi3"			
"強"	"强"	"dʑi3"			
"像"	"像"	"dʑi3"			
"丈"	"丈"	"dʑi3"			
"仗"	"仗"	"dʑi3"			
"杖"	"杖"	"dʑi3"			
"長"	"长"	"dʑi6"			
"纏"	"缠"	"dʑi6"			
"健"	"健"	"dʑi6"			
"腱"	"腱"	"dʑi6"			
"鍵"	"键"	"dʑi6"			
"撤"	"撤"	"dʑi7"			
"徹"	"彻"	"dʑi7"			
"傑"	"杰"	"dʑi7"			
"碣"	"碣"	"dʑi7"			
"竭"	"竭"	"dʑi7"			
"搩"	"搩"	"dʑi7"			
"轍"	"辙"	"dʑi7"			
"擲"	"掷"	"dʑi7"			
"娘"	"娘"	"ȵi2"			
"粘"	"粘"	"ȵi2"			
"呢"	"呢"	"ȵi2"			
"尼"	"尼"	"ȵi2"			
"泥"	"泥"	"ȵi2"			
"倪"	"倪"	"ȵi2"			
"拈"	"拈"	"ȵi2"			
"年"	"年"	"ȵi2"			
"鯰"	"鲶"	"ȵi2"			
"攆"	"撵"	"ȵi2"			
"娘"	"娘"	"ȵi2"			
"言"	"言"	"ȵi2"			
"研"	"研"	"ȵi2"			
"嚴"	"严"	"ȵi2"			
"釅"	"酽"	"ȵi2"			
"沂"	"沂"	"ȵi2"			
"宜"	"宜"	"ȵi2"			
"疑"	"疑"	"ȵi2"			
"你"	"你"	"ȵi3"			
"擬"	"拟"	"ȵi3"			
"碾"	"碾"	"ȵi3"			
"染"	"染"	"ȵi3"			
"像"	"像"	"ȵi3"			
"儼"	"俨"	"ȵi3"			
"仰"	"仰"	"ȵi3"			
"儀"	"仪"	"ȵi3"			
"蟻"	"蚁"	"ȵi3"			
"誼"	"谊"	"ȵi3"			
"議"	"议"	"ȵi3"			
"膩"	"腻"	"ȵi6"			
"碾"	"碾"	"ȵi6"			
"念"	"念"	"ȵi6"			
"釀"	"酿"	"ȵi6"			
"讓"	"让"	"ȵi6"			
"唁"	"唁"	"ȵi6"			
"硯"	"砚"	"ȵi6"			
"諺"	"谚"	"ȵi6"			
"驗"	"验"	"ȵi6"			
"詣"	"诣"	"ȵi6"			
"義"	"义"	"ȵi6"			
"毅"	"毅"	"ȵi6"			
"藝"	"艺"	"ȵi6"			
"聶"	"聂"	"ȵi7"			
"孽"	"孽"	"ȵi7"			
"鑷"	"镊"	"ȵi7"			
"熱"	"热"	"ȵi7"			
"日"	"日"	"ȵi7"			
"業"	"业"	"ȵi7"			
"瓤"	"瓤"	"ɕi1"			
"苫"	"苫"	"ɕi1"			
"商"	"商"	"ɕi1"			
"傷"	"伤"	"ɕi1"			
"仙"	"仙"	"ɕi1"			
"仙"	"仙"	"ɕi1"			
"先"	"先"	"ɕi1"			
"暹"	"暹"	"ɕi1"			
"鮮"	"鲜"	"ɕi1"			
"纖"	"纤"	"ɕi1"			
"相"	"相"	"ɕi1"			
"香"	"香"	"ɕi1"			
"鄉"	"乡"	"ɕi1"			
"廂"	"厢"	"ɕi1"			
"湘"	"湘"	"ɕi1"			
"箱"	"箱"	"ɕi1"			
"襄"	"襄"	"ɕi1"			
"軒"	"轩"	"ɕi1"			
"沿"	"沿"	"ɕi1"			
"陝"	"陕"	"ɕi3"			
"閃"	"闪"	"ɕi3"			
"賞"	"赏"	"ɕi3"			
"髓"	"髓"	"ɕi3"			
"鮮"	"鲜"	"ɕi3"			
"筅"	"筅"	"ɕi3"			
"險"	"险"	"ɕi3"			
"狝"	"狝"	"ɕi3"			
"顯"	"显"	"ɕi3"			
"享"	"享"	"ɕi3"			
"想"	"想"	"ɕi3"			
"餉"	"饷"	"ɕi3"			
"鯗"	"鲞"	"ɕi3"			
"響"	"响"	"ɕi3"			
"癬"	"癣"	"ɕi3"			
"煽"	"煽"	"ɕi5"			
"扇"	"扇"	"ɕi5"			
"系"	"系"	"ɕi5"			
"莧"	"苋"	"ɕi5"			
"線"	"线"	"ɕi5"			
"憲"	"宪"	"ɕi5"			
"霰"	"霰"	"ɕi5"			
"獻"	"献"	"ɕi5"			
"相"	"相"	"ɕi5"			
"餉"	"饷"	"ɕi5"			
"向"	"向"	"ɕi5"			
"歇"	"歇"	"ɕi7"			
"脅"	"胁"	"ɕi7"			
"屑"	"屑"	"ɕi7"			
"蔫"	"蔫"	"ɕi7"			
"咽"	"咽"	"ɕi7"			
"胭"	"胭"	"ɕi7"			
"焉"	"焉"	"ɕi7"			
"淹"	"淹"	"ɕi7"			
"煙"	"烟"	"ɕi7"			
"醃"	"腌"	"ɕi7"			
"閹"	"阉"	"ɕi7"			
"燕"	"燕"	"ɕi7"			
"央"	"央"	"ɕi7"			
"殃"	"殃"	"ɕi7"			
"秧"	"秧"	"ɕi7"			
"伊"	"伊"	"ɕi7"			
"衣"	"衣"	"ɕi7"			
"依"	"依"	"ɕi7"			
"醫"	"医"	"ɕi7"			
"堙"	"堙"	"ɕi7"			
"掩"	"掩"	"ʔji3"			
"燕"	"燕"	"ʔji3"			
"養"	"养"	"ʔji3"			
"野"	"野"	"ʔji3"			
"倚"	"倚"	"ʔji3"			
"椅"	"椅"	"ʔji3"			
"魘"	"魇"	"ʔji5"			
"宴"	"宴"	"ʔji5"			
"堰"	"堰"	"ʔji5"			
"厭"	"厌"	"ʔji5"			
"燕"	"燕"	"ʔji5"			
"樣"	"样"	"ʔji5"			
"意"	"意"	"ʔji5"			
"億"	"亿"	"ʔji5"			
"瞖"	"瞖"	"ʔji5"			
"憶"	"忆"	"ʔji5"			
"咽"	"咽"	"ʔji7"			
"噎"	"噎"	"ʔji7"			
"頁"	"页"	"ʔji7"			
"靨"	"靥"	"ʔji7"			
"一"	"一"	"ʔji7"			
"禪"	"禅"	"ji2"			
"蟬"	"蝉"	"ji2"			
"蟾"	"蟾"	"ji2"			
"常"	"常"	"ji2"			
"嘗"	"尝"	"ji2"			
"償"	"偿"	"ji2"			
"降"	"降"	"ji2"			
"畦"	"畦"	"ji2"			
"鉛"	"铅"	"ji2"			
"前"	"前"	"ji2"			
"潛"	"潜"	"ji2"			
"牆"	"墙"	"ji2"			
"牆"	"墙"	"ji2"			
"然"	"然"	"ji2"			
"燃"	"燃"	"ji2"			
"裳"	"裳"	"ji2"			
"蛇"	"蛇"	"ji2"			
"兮"	"兮"	"ji2"			
"兮"	"兮"	"ji2"			
"奚"	"奚"	"ji2"			
"弦"	"弦"	"ji2"			
"涎"	"涎"	"ji2"			
"涎"	"涎"	"ji2"			
"嫌"	"嫌"	"ji2"			
"賢"	"贤"	"ji2"			
"祥"	"祥"	"ji2"			
"詳"	"详"	"ji2"			
"焉"	"焉"	"ji2"			
"延"	"延"	"ji2"			
"炎"	"炎"	"ji2"			
"沿"	"沿"	"ji2"			
"蜒"	"蜒"	"ji2"			
"筵"	"筵"	"ji2"			
"閻"	"阎"	"ji2"			
"鹽"	"盐"	"ji2"			
"羊"	"羊"	"ji2"			
"垟"	"垟"	"ji2"			
"洋"	"洋"	"ji2"			
"陽"	"阳"	"ji2"			
"揚"	"扬"	"ji2"			
"楊"	"杨"	"ji2"			
"耶"	"耶"	"ji2"			
"椰"	"椰"	"ji2"			
"爺"	"爷"	"ji2"			
"夷"	"夷"	"ji2"			
"怡"	"怡"	"ji2"			
"宜"	"宜"	"ji2"			
"姨"	"姨"	"ji2"			
"移"	"移"	"ji2"			
"貽"	"贻"	"ji2"			
"懿"	"懿"	"ji2"			
"單"	"单"	"ji3"			
"漸"	"渐"	"ji3"			
"冉"	"冉"	"ji3"			
"善"	"善"	"ji3"			
"膳"	"膳"	"ji3"			
