"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"荷"	"ho3"	"ho˨˩˨"	"薄~"	
"荷"	"ho5"	"ho˥˥"	"~花"	
"苛"	"kho1"	"kʰo˧˧"		
"賀"	"ho7"	"ho˧˩"		
"阿"	"a1"	"a˧˧"		
"阿"	"o1"	"o˧˧"	"又"	
"茄"	"kio5"	"kio˥˥"		
"波"	"po1"	"po˧˧"		
"跛"	"pho2"	"pʰo˥˨"		
"播"	"pua3"	"pua˨˩˨"		
"簸"	"pua3"	"pua˨˩˨"		
"坡"	"po1"	"po˧˧"		
"玻"	"po1"	"po˧˧"		
"頗"	"phuann2"	"pʰua ̃˥˨"	"白"	
"頗"	"pho1"	"pʰo˧˧"	"文"	
"頗"	"pho2"	"pʰo˥˨"	"又文"	
"婆"	"phua5"	"pʰua˥˥"		
"魔"	"mo5"	"mo˥˥"		
"磨"	"bua5"	"bua˥˥"		
"摩"	"mo5"	"mo˥˥"		
"朵"	"to2"	"to˥˨"		
"躲"	"to2"	"to˥˨"		
"剁"	"tok"	"tok"	"訓"	
"剁"	"to3"	"to˨˩˨"	"文"	
"妥"	"tho2"	"tʰo˥˨"		
"唾"	"tho2"	"tʰo˥˨"		
"惰"	"tuann6"	"tua ̃˧˥"		
"墮"	"tui6"	"tui˧˥"	"訓“墜”"	
"囉"	"lo5"	"lo˥˥"		
"糯"	"no3"	"no˨˩˨"		
"糯"	"tsuk8"	"tsuk˥˦"	"訓“秫”"	
"騾"	"lo5"	"lo˥˥"		
"螺"	"lo5"	"lo˥˥"		
"腡"	"lo5"	"lo˥˥"		
"裸"	"lo2"	"lo˥˨"		
"摞"	"loh8"	"loʔ˥˦"		
"銼"	"tsho6"	"tsʰo˧˥"		
"矬"	"tsho5"	"tsʰo˥˥"		
"坐"	"tso6"	"tso˧˥"		
"座"	"tso7"	"tso˧˩"		
"蓑"	"sui1"	"sui˧˧"		
"蓑"	"so1"	"so˧˧"	"文"	
"梭"	"so1"	"so˧˧"		
"唆"	"so1"	"so˧˧"		
"鎖"	"so2"	"so˥˨"		
"瑣"	"so2"	"so˥˨"		
"鍋"	"ue"	"ue"		
"過"	"kue3"	"kue˨˩˨"		
"戈"	"kho1"	"kʰo˧˧"		
"戈"	"ko1"	"ko˧˧"	"新文"	
"果"	"kuainn2"	"kuai ̃˥˨"	"白"	
"果"	"kue2"	"kue˥˨"	"又白"	
"果"	"kuann2"	"kua ̃˥˨"	"文"	
"裹"	"kue2"	"kue˥˨"		
"科"	"khue1"	"kʰue˧˧"		
"棵"	"kho1"	"kʰo˧˧"		
"窠"	"khue1"	"kʰue˧˧"		
"窠"	"kho1"	"kʰo˧˧"	"文"	
"顆"	"kho1"	"kʰo˧˧"		
"課"	"khue3"	"kʰue˨˩˨"		
"訛"	"ho3"	"ho˨˩˨"		
"臥"	"o6"	"o˧˥"		
"火"	"hue2"	"hue˥˨"		
"夥"	"hue2"	"hue˥˨"		
"貨"	"hue3"	"hue˨˩˨"		
"禾"	"ta5"	"ta˥˥"	"訓"	
"禾"	"hua5"	"hua˥˥"	"文"	
"和"	"hue5"	"hue˥˥"	"白"	
"和"	"hua5"	"hua˥˥"	"文"	
"和"	"ho6"	"ho˧˥"	"又"	
"禍"	"hua6"	"hua˧˥"		
"倭"	"o1"	"o˧˧"		
"窩"	"o1"	"o˧˧"		
"涴"	"u3"	"u˨˩˨"		
"瘸"	"khue5"	"kʰue˥˥"		
"靴"	"hia1"	"hia˧˧"		
"巴"	"pa1"	"pa˧˧"		
"疤"	"pa1"	"pa˧˧"		
"芭"	"pa1"	"pa˧˧"		
"把"	"pe2"	"pe˥˨"	"白"	
"把"	"pa2"	"pa˥˨"	"文"	
"爸"	"pa5"	"pa˥˥"		
"爸"	"pa2"	"pa˥˨"	"又"	
"垻"	"pa3"	"pa˨˩˨"		
"霸"	"pa3"	"pa˨˩˨"		
"怕"	"phann3"	"pʰa ̃˨˩˨"		
"琶"	"pe55"	"pe˥˥˥˥"		
"爬"	"pe5"	"pe˥˥"		
"麻"	"mua5"	"mua˥˥"		
"蟆"	"po5"	"po˥˥"	"蛤~"	
"蟆"	"mo5"	"mo˥˥"	"又"	
"媽"	"ma5"	"ma˥˥"	"口"	
"媽"	"ma2"	"ma˥˨"	"奶奶，~祖"	
"媽"	"ma1"	"ma˧˧"	"文"	
"馬"	"be2"	"be˥˨"		
"馬"	"ma2"	"ma˥˨"	"文"	
"碼"	"be2"	"be˥˨"		
"罵"	"me7"	"me˧˩"		
"拿"	"na2"	"na˥˨"		
"詫"	"theh8"	"tʰeʔ˥˦"	"俗"	
"詫"	"tsha3"	"tsʰa˨˩˨"		
"茶"	"te5"	"te˥˥"		
"搽"	"tsha5"	"tsʰa˥˥"		
"查"	"tshe5"	"tsʰe˥˥"		
"渣"	"tsa1"	"tsa˧˧"		
"詐"	"tsa3"	"tsa˨˩˨"		
"榨"	"tsa3"	"tsa˨˩˨"		
"炸"	"tsa3"	"tsa˨˩˨"		
"叉"	"tshe1"	"tsʰe˧˧"		
"杈"	"tshe1"	"tsʰe˧˧"		
"差"	"tsha1"	"tsʰa˧˧"		
"差"	"tshe1"	"tsʰe˧˧"	"欽~"	
"差"	"tshi1"	"tɕʰi˧˧"	"參~"	
"岔"	"tshe1"	"tsʰe˧˧"		
"岔"	"tsha1"	"tsʰa˧˧"	"又"	
"汊"	"tshe1"	"tsʰe˧˧"		
"查"	"tshe5"	"tsʰe˥˥"		
"查"	"tsa1"	"tsa˧˧"	"姓氏"	
"乍"	"tsa3"	"tsa˨˩˨"		
"沙"	"sua1"	"sua˧˧"		
"沙"	"sa1"	"sa˧˧"	"文"	
"紗"	"se1"	"se˧˧"		
"紗"	"sa1"	"sa˧˧"	"文"	
"灑"	"sa3"	"sa˨˩˨"		
"灑"	"sai3"	"sai˨˩˨"	"又"	
"嘉"	"kia1"	"kia˧˧"		
"家"	"ke1"	"ke˧˧"		
"加"	"ke1"	"ke˧˧"	"~減"	
"加"	"kia1"	"kia˧˧"	"文"	
"假"	"ke2"	"ke˥˨"		
"假"	"kiann2"	"kia ̃˥˨"	"文"	
"賈"	"kia2"	"kia˥˨"		
"賈"	"ku2"	"ku˥˨"		
"稼"	"ke3"	"ke˨˩˨"		
"價"	"ke3"	"ke˨˩˨"		
"架"	"ke3"	"ke˨˩˨"		
"駕"	"ke3"	"ke˨˩˨"		
"嫁"	"ke3"	"ke˨˩˨"		
"牙"	"ge5"	"ge˥˥"		
"芽"	"ge5"	"ge˥˥"		
"衙"	"ge5"	"ge˥˥"		
"雅"	"ngia2"	"ŋia˥˨"		
"訝"	"gia3"	"gia˨˩˨"		
"迓"	"gia3"	"gia˨˩˨"		
"蝦"	"he5"	"he˥˥"		
"嚇"	"hennh4"	"he ̃h˨"		
"嚇"	"heh4"	"heʔ˨"	"又"	
"霞"	"hia5"	"hia˥˥"		
"遐"	"hia5"	"hia˥˥"		
"瑕"	"hia5"	"hia˥˥"		
"下"	"ke6"	"ke˧˥"	"懸~"	
"下"	"e6"	"e˧˥"	"白"	
"下"	"hia6"	"hia˧˥"	"文"	
"夏"	"he7"	"he˧˩"		
"廈"	"he7"	"he˧˩"		
"暇"	"hia5"	"hia˥˥"		
"暇"	"hia3"	"hia˨˩˨"	"又"	
"丫"	"a1"	"a˧˧"		
"鴉"	"a1"	"a˧˧"		
"啞"	"e2"	"e˥˨"		
"亞"	"a1"	"a˧˧"		
"嗟"				
"姐"	"tsia2"	"tɕia˥˨"	"小~"	
"姐"	"tse2"	"tse˥˨"	"文"	
"借"	"tsioh4"	"tɕioʔ˨"		
"且"	"tshiann2"	"tɕʰia ̃˥˨"		
"藉"	"tsia6"	"tɕia˧˥"		
"褯"	"tsoih4"	"tsoiʔ˨"		
"褯"	"tsia6"	"tɕia˧˥"	"文"	
"些"	"se1"	"se˧˧"		
"寫"	"sia2"	"ɕia˥˨"		
"瀉"	"sia3"	"ɕia˨˩˨"		
"卸"	"sia3"	"ɕia˨˩˨"		
"邪"	"sia5"	"ɕia˥˥"		
"斜"	"sia5"	"ɕia˥˥"		
"斜"	"sia1"	"ɕia˧˧"	"又"	
"謝"	"tsia7"	"tɕia˧˩"	"白，姓氏"	
"謝"	"sia7"	"ɕia˧˩"		
"爹"	"tia1"	"tia˧˧"		
"遮"	"tsia1"	"tɕia˧˧"		
"者"	"tsia2"	"tɕia˥˨"		
"蔗"	"tsia3"	"tɕia˨˩˨"		
"車"	"kur1"	"kɯ˧˧"		
"車"	"tshia1"	"tɕʰia˧˧"		
"扯"	"tshe2"	"tsʰe˥˨"		
"蛇"	"tsua5"	"tsua˥˥"		
"射"	"sia7"	"ɕia˧˩"		
"奢"	"tshia1"	"tɕʰia˧˧"		
"賒"	"tshia1"	"tɕʰia˧˧"		
"舍"	"sia3"	"ɕia˨˩˨"		
"赦"	"sia3"	"ɕia˨˩˨"		
"社"	"sia"	"ɕia"		
"惹"	"dzia2"	"dzia˥˨"		
"耶"	"ia5"	"ia˥˥"		
"耶"	"ia7"	"ia˧˩"	"又"	
"耶"	"e7"	"e˧˩"	"又"	
"椰"	"ia5"	"ia˥˥"		
"爺"	"ia5"	"ia˥˥"		
"冶"	"ia2"	"ia˥˨"		
"也"	"ia2"	"ia˥˨"		
"野"	"ia2"	"ia˥˨"		
"夜"	"ia7"	"ia˧˩"		
"傻"	"sa6"	"sa˧˥"		
"耍"	"sng2"	"sŋ˥˨"	"俗"	
"瓜"	"kue1"	"kue˧˧"		
"蝸"	"ua1"	"ua˧˧"		
"寡"	"kua2"	"kua˥˨"		
"剮"	"kua2"	"kua˥˨"		
"咵"	"khua1"	"kʰua˧˧"		
"垮"	"khua1"	"kʰua˧˧"		
"跨"	"khua1"	"kʰua˧˧"		
"娃"	"ua1"	"ua˧˧"		
"瓦"	"hia6"	"hia˧˥"	"厝~"	
"瓦"	"hue2"	"hue˥˨"	"~刀"	
"瓦"	"ua1"	"ua˧˧"	"文"	
"瓦"	"ua2"	"ua˥˨"	"文"	
"花"	"hue1"	"hue˧˧"		
"花"	"hua1"	"hua˧˧"	"文"	
"化"	"hue3"	"hue˨˩˨"		
"化"	"hua3"	"hua˨˩˨"	"文"	
"華"	"hua5"	"hua˥˥"		
"華"	"hua1"	"hua˧˧"	"又"	
"蛙"	"ua1"	"ua˧˧"		
"窪"	"ua1"	"ua˧˧"		
"補"	"pou2"	"pou˥˨"		
"譜"	"phou2"	"pʰou˥˨"		
"布"	"pou3"	"pou˨˩˨"		
"布"	"pu3"	"pu˨˩˨"	"文"	
"鋪"	"phou3"	"pʰou˨˩˨"		
"普"	"phou2"	"pʰou˥˨"		
"浦"	"phou2"	"pʰou˥˨"		
"怖"	"pu3"	"pu˨˩˨"		
"菩"	"phu5"	"pʰu˥˥"		
"菩"	"pho5"	"pʰo˥˥"	"又"	
"蒲"	"phu5"	"pʰu˥˥"		
"脯"	"pou2"	"pou˥˨"		
"部"	"pou6"	"pou˧˥"		
"簿"	"phou6"	"pʰou˧˥"		
"步"	"pou7"	"pou˧˩"		
"捕"	"pou2"	"pou˥˨"		
"埠"	"pou1"	"pou˧˧"		
"模"	"mo5"	"mo˥˥"		
"暮"	"mo6"	"mo˧˥"		
"墓"	"mo6"	"mo˧˥"		
"募"	"mo6"	"mo˧˥"		
"慕"	"mo6"	"mo˧˥"		
"都"	"tou1"	"tou˧˧"		
"堵"	"tu2"	"tu˥˨"		
"賭"	"tu2"	"tu˥˨"		
"妒"	"kou3"	"kou˨˩˨"		
"妒"	"tou3"	"tou˨˩˨"		
"蠹"	"tsu3"	"tsu˨˩˨"	"俗"	
"蠹"	"tu3"	"tu˨˩˨"		
"土"	"thou2"	"tʰou˥˨"		
"吐"	"thou3"	"tʰou˨˩˨"		
"兔"	"thou3"	"tʰou˨˩˨"		
"途"	"thu5"	"tʰu˥˥"		
"屠"	"tou5"	"tou˥˥"		
"圖"	"tou5"	"tou˥˥"		
"圖"	"thu5"	"tʰu˥˥"	"文"	
"徒"	"thu5"	"tʰu˥˥"		
"肚"	"tou2"	"tou˥˨"		
"肚"	"tou6"	"tou˧˥"	"牛~"	
"杜"	"tou6"	"tou˧˥"		
"度"	"tou7"	"tou˧˩"		
"渡"	"tou7"	"tou˧˩"		
"鍍"	"tou7"	"tou˧˩"		
"奴"	"nou4"	"nou˨"		
"努"	"no3"	"no˨˩˨"		
"怒"	"no3"	"no˨˩˨"		
"盧"	"lou5"	"lou˥˥"	"白，姓氏"	
"盧"	"lu5"	"lu˥˥"		
"爐"	"lou5"	"lou˥˥"		
"鹵"	"lou2"	"lou˥˨"		
"魯"	"lu2"	"lu˥˨"		
"櫓"	"lou2"	"lou˥˨"		
"櫓"	"lou6"	"lou˧˥"		
"櫓"	"lu2"	"lu˥˨"	"文"	
"虜"	"lu2"	"lu˥˨"		
"露"	"lou3"	"lou˨˩˨"	"又"	
"露"	"lou7"	"lou˧˩"		
"路"	"lou7"	"lou˧˩"		
"賂"	"lu6"	"lu˧˥"		
"租"	"tsou1"	"tsou˧˧"		
"祖"	"tsou2"	"tsou˥˨"		
"組"	"tsu1"	"tsu˧˧"		
"做"	"tso3"	"tso˨˩˨"		
"粗"	"tshou1"	"tsʰou˧˧"		
"醋"	"tshou3"	"tsʰou˨˩˨"		
"錯"	"tsho3"	"tsʰo˨˩˨"		
"措"	"tsho3"	"tsʰo˨˩˨"		
"蘇"	"sou1"	"sou˧˧"		
"酥"	"sou1"	"sou˧˧"		
"素"	"su3"	"su˨˩˨"		
"塑"	"sok4"	"sok˨"		
"訴"	"su3"	"su˨˩˨"		
"嗉"	"su3"	"su˨˩˨"		
"辜"	"kou1"	"kou˧˧"		
"辜"	"ku1"	"ku˧˧"		
"孤"	"kou1"	"kou˧˧"		
"箍"	"khou1"	"kʰou˧˧"		
"姑"	"kou1"	"kou˧˧"		
"估"	"kou2"	"kou˥˨"		
"古"	"kou2"	"kou˥˨"		
"賈"	"kou2"	"kou˥˨"		
"股"	"kou2"	"kou˥˨"		
"鼓"	"kou2"	"kou˥˨"		
"蠱"	"ku2"	"ku˥˨"		
"故"	"ku3"	"ku˨˩˨"		
"顧"	"kou3"	"kou˨˩˨"	"白，姓氏"	
"顧"	"ku3"	"ku˨˩˨"		
"固"	"ku3"	"ku˨˩˨"		
"雇"	"kou3"	"kou˨˩˨"		
"枯"	"kou1"	"kou˧˧"		
"苦"	"khou2"	"kʰou˥˨"		
"庫"	"khou3"	"kʰou˨˩˨"		
"褲"	"khou3"	"kʰou˨˩˨"		
"梧"	"ngo5"	"ŋo˥˥"		
"吾"	"u5"	"u˥˥"		
"吳"	"gou5"	"gou˥˥"		
"五"	"ngou6"	"ŋou˧˥"		
"五"	"ngom6"	"ŋom˧˥"	"又"	
"五"	"ngou2"	"ŋou˥˨"	"文"	
"午"	"ngou2"	"ŋou˥˨"		
"伍"	"ngou2"	"ŋou˥˨"		
"悟"	"ngo6"	"ŋo˧˥"		
"誤"	"gou7"	"gou˧˩"		
"呼"	"khou1"	"kʰou˧˧"		
"呼"	"hu1"	"hu˧˧"	"文"	
"虎"	"hounn2"	"ho ̃u ̃˥˨"		
"滸"	"hu2"	"hu˥˨"		
"戽"	"hou6"	"hou˧˥"		
"乎"	"hu1"	"hu˧˧"		
"壺"	"hu5"	"hu˥˥"		
"瓠"	"pu5"	"pu˥˥"	"俗"	
"瓠"	"hu6"	"hu˧˥"		
"胡"	"ou5"	"ou˥˥"		
"狐"	"hou5"	"hou˥˥"		
"狐"	"hu5"	"hu˥˥"	"文"	
"湖"	"ou5"	"ou˥˥"		
"鈑"	"poinn2"	"po ̃i ̃˥˨"		
"鈑"	"pang2"	"paŋ˥˨"	"文"	
"戶"	"hou6"	"hou˧˥"		
"滬"	"hu6"	"hu˧˥"		
"互"	"hu6"	"hu˧˥"		
"護"	"hu6"	"hu˧˥"		
"烏"	"ou1"	"ou˧˧"		
"汙"	"u1"	"u˧˧"		
"塢"	"u1"	"u˧˧"		
"惡"	"oh4"	"oʔ˨"	"難"	
"惡"	"ak4"	"ak˨"		
"女"	"nng2"	"nŋ˥˨"		
"女"	"ni2"	"ni˥˨"	"文，釣～"	
"廬"	"lou5"	"lou˥˥"		
"廬"	"lu5"	"lu˥˥"	"文"	
"驢"	"lur5"	"lɯ˥˥"		
"呂"	"lur6"	"lɯ˧˥"		
"侶"	"lur6"	"lɯ˧˥"		
"旅"	"li2"	"li˥˨"		
"慮"	"lur6"	"lɯ˧˥"		
"濾"	"lur6"	"lɯ˧˥"		
"蛆"	"tshur1"	"tsʰɯ˧˧"		
"蛆"	"tsu1"	"tsu˧˧"	"文"	
"疽"	"tsu1"	"tsu˧˧"		
"胥"	"su1"	"su˧˧"		
"絮"	"su6"	"su˧˥"		
"徐"	"tshur5"	"tsʰɯ˥˥"		
"序"	"su6"	"su˧˥"		
"緒"	"su6"	"su˧˥"		
"敘"	"su6"	"su˧˥"		
"豬"	"tur1"	"tɯ˧˧"		
"著"	"tu3"	"tu˨˩˨"		
"著"	"tioh8"	"tioʔ˥˦"	"意“對”"	
"著"	"tioh4"	"tioʔ˨"	"又，沉~"	
"著"	"toh8"	"toʔ˥˦"	"～火"	
"褚"	"su2"	"su˥˨"	"姓氏"	
"褚"	"tu2"	"tu˥˨"		
"除"	"tur5"	"tɯ˥˥"		
"儲"	"thu5"	"tʰu˥˥"		
"苧"	"tiu6"	"tiu˧˥"		
"箸"	"tur7"	"tɯ˧˩"		
"阻"	"tso2"	"tso˥˨"		
"初"	"tshiu1"	"tɕʰiu˧˧"		
"初"	"tsho1"	"tsʰo˧˧"	"文"	
"楚"	"tsho2"	"tsʰo˥˨"		
"鋤"	"tur5"	"tɯ˥˥"		
"鋤"	"thur5"	"tʰɯ˥˥"	"又"	
"鋤"	"tsho5"	"tsʰo˥˥"	"文"	
"疏"	"so1"	"so˧˧"		
"蔬"	"so1"	"so˧˧"		
"梳"	"siu1"	"ɕiu˧˧"		
"所"	"so2"	"so˥˨"		
"諸"	"ta1"	"ta˧˧"	"~夫（男性）"	
"諸"	"tsu"	"tsu"		
"煮"	"tsur5"	"tsɯ˥˥"		
"處"	"tshu2"	"tsʰu˥˨"		
"書"	"tsur1"	"tsɯ˧˧"		
"舒"	"tshur1"	"tsʰɯ˧˧"	"~開"	
"舒"	"su"	"su"	"文"	
"鼠"	"tshur5"	"tsʰɯ˥˥"		
"暑"	"su5"	"su˥˥"		
"黍"	"su5"	"su˥˥"		
"庶"	"su3"	"su˨˩˨"		
"恕"	"su3"	"su˨˩˨"		
"墅"	"su2"	"su˥˨"		
"薯"	"tsur5"	"tsɯ˥˥"		
"署"	"su2"	"su˥˨"		
"如"	"dzu5"	"dzu˥˥"		
"汝"	"lur2"	"lɯ˥˨"		
"汝"	"dzur2"	"dzɯ˥˨"	"文"	
"居"	"kur1"	"kɯ˧˧"		
"居"	"kur1"	"kɯ˧˧"		
"車"	"kur1"	"kɯ˧˧"		
"舉"	"kur2"	"kɯ˥˨"		
"鋸"	"kur3"	"kɯ˨˩˨"		
"據"	"kur6"	"kɯ˧˥"		
"墟"	"hur1"	"hɯ˧˧"		
"去"	"khur3"	"kʰɯ˨˩˨"		
"渠"	"khur5"	"kʰɯ˥˥"		
"巨"	"kur6"	"kɯ˧˥"		
"距"	"kur6"	"kɯ˧˥"		
"拒"	"kur6"	"kɯ˧˥"		
"遽"	"kur6"	"kɯ˧˥"		
"魚"	"hur5"	"hɯ˥˥"		
"漁"	"hur5"	"hɯ˥˥"		
"語"	"gur2"	"gɯ˥˨"		
"禦"	"ur6"	"ɯ˧˥"		
"禦"	"gur6"	"gɯ˧˥"	"又"	
"虛"	"hur1"	"hɯ˧˧"		
"噓"	"hur1"	"hɯ˧˧"		
"許"	"khou2"	"kʰou˥˨"	"白，姓氏"	
"許"	"hur2"	"hɯ˥˨"		
"淤"	"ur3"	"ɯ˨˩˨"		
"於"	"i1"	"i˧˧"		
"餘"	"ur5"	"ɯ˥˥"		
"與"	"ur2"	"ɯ˥˨"		
"譽"	"ur6"	"ɯ˧˥"		
"預"	"ur6"	"ɯ˧˥"		
"豫"	"ur6"	"ɯ˧˥"		
"夫"	"pou1"	"pou˧˧"	"諸~"	
"夫"	"hu1"	"hu˧˧"	"文"	
"膚"	"hu1"	"hu˧˧"		
"甫"	"phou2"	"pʰou˥˨"		
"斧"	"pou2"	"pou˥˨"		
"府"	"hu2"	"hu˥˨"		
"腑"	"hu2"	"hu˥˨"		
"俯"	"hu2"	"hu˥˨"		
"賦"	"hu3"	"hu˨˩˨"		
"傅"	"pou3"	"pou˨˩˨"		
"傅"	"hu3"	"hu˨˩˨"	"文"	
"付"	"hu3"	"hu˨˩˨"		
"敷"	"pou1"	"pou˧˧"		
"敷"	"hu1"	"hu˧˧"	"文"	
"俘"	"hu1"	"hu˧˧"		
"撫"	"bu2"	"bu˥˨"		
"赴"	"hu3"	"hu˨˩˨"		
"訃"	"hu3"	"hu˨˩˨"		
"符"	"hu5"	"hu˥˥"		
"扶"	"hu5"	"hu˥˥"		
"釜"	"hu2"	"hu˥˨"		
"腐"	"hu1"	"hu˧˧"		
"腐"	"hu7"	"hu˧˩"	"又"	
"輔"	"hu6"	"hu˧˥"		
"父"	"pe6"	"pe˧˥"		
"父"	"hu6"	"hu˧˥"	"文"	
"父"	"hu2"	"hu˥˨"	"又"	
"附"	"hu3"	"hu˨˩˨"		
"毋"	"bo5"	"bo˥˥"		
"毋"	"m6"	"m˧˥"	"又"	
"巫"	"bu5"	"bu˥˥"		
"誣"	"bu5"	"bu˥˥"		
"無"	"bo5"	"bo˥˥"		
"無"	"bu5"	"bu˥˥"		
"舞"	"bu2"	"bu˥˨"		
"侮"	"bu2"	"bu˥˨"		
"武"	"bu2"	"bu˥˨"		
"鵡"	"bu2"	"bu˥˨"		
"霧"	"bu7"	"bu˧˩"		
"務"	"bu6"	"bu˧˥"		
"務"	"pu6"	"pu˧˥"	"又，任~"	
"縷"	"lu2"	"lu˥˨"		
"屢"	"lu2"	"lu˥˨"		
"趨"	"tshu1"	"tsʰu˧˧"		
"取"	"tshu2"	"tsʰu˥˨"		
"娶"	"tshua7"	"tsʰua˧˩"	"俗"	
"娶"	"tshu2"	"tsʰu˥˨"		
"趣"	"tshu3"	"tsʰu˨˩˨"		
"聚"	"tsu6"	"tsu˧˥"		
"需"	"su1"	"su˧˧"		
"須"	"tshiu1"	"tɕʰiu˧˧"		
"須"	"su1"	"su˧˧"	"文"	
"鎢"	"ou1"	"ou˧˧"		
"續"	"sok8"	"sok˥˦"		
"蛛"	"tu1"	"tu˧˧"		
"株"	"tu1"	"tu˧˧"		
"株"	"tsu1"	"tsu˧˧"	"文"	
"誅"	"tu1"	"tu˧˧"		
"誅"	"tsu1"	"tsu˧˧"	"文"	
"駐"	"tsu3"	"tsu˨˩˨"		
"注"	"tsu3"	"tsu˨˩˨"		
"廚"	"tou5"	"tou˥˥"		
"柱"	"thiau6"	"tʰiau˧˥"		
"住"	"tiu7"	"tiu˧˩"		
"住"	"tsu6"	"tsu˧˥"	"文"	
"芻"	"tshu1"	"tsʰu˧˧"		
"雛"	"tshu1"	"tsʰu˧˧"		
"數"	"siau3"	"ɕiau˨˩˨"		
"數"	"su3"	"su˨˩˨"	"文"	
"珠"	"tsiu1"	"tɕiu˧˧"	"白"	
"珠"	"tsu1"	"tsu˧˧"		
"朱"	"tsu1"	"tsu˧˧"		
"主"	"tsu2"	"tsu˥˨"		
"注"	"tsu3"	"tsu˨˩˨"		
"鑄"	"tsu3"	"tsu˨˩˨"		
"樞"	"khu1"	"kʰu˧˧"		
"輸"	"su1"	"su˧˧"		
"戍"	"sue3"	"sue˨˩˨"		
"殊"	"su5"	"su˥˥"		
"豎"	"su6"	"su˧˥"		
"樹"	"tshiu1"	"tɕʰiu˧˧"		
"樹"	"su6"	"su˧˥"	"文"	
"儒"	"dzu5"	"dzu˥˥"		
"乳"	"dzu2"	"dzu˥˨"		
"拘"	"khu1"	"kʰu˧˧"		
"駒"	"khu1"	"kʰu˧˧"		
"俱"	"ku6"	"ku˧˥"		
"矩"	"kur2"	"kɯ˥˨"		
"句"	"ku3"	"ku˨˩˨"		
"區"	"khu1"	"kʰu˧˧"		
"驅"	"khu1"	"kʰu˧˧"		
"瞿"	"khur5"	"kʰɯ˥˥"	"姓氏"	
"瞿"	"kur6"	"kɯ˧˥"		
"具"	"ku6"	"ku˧˥"		
"懼"	"ku6"	"ku˧˥"		
"虞"	"ngo5"	"ŋo˥˥"		
"愚"	"ngo5"	"ŋo˥˥"		
"娛"	"gu5"	"gu˥˥"		
"遇"	"ngo6"	"ŋo˧˥"		
"寓"	"ngo6"	"ŋo˧˥"		
"籲"	"u1"	"u˧˧"		
"迂"	"u1"	"u˧˧"		
"於"	"u1"	"u˧˧"		
"盂"	"hu5"	"hu˥˥"		
"雨"	"hou6"	"hou˧˥"		
"雨"	"u2"	"u˥˨"	"文"	
"禹"	"u2"	"u˥˨"		
"宇"	"u2"	"u˥˨"		
"羽"	"u2"	"u˥˨"		
"芋"	"ou7"	"ou˧˩"		
"逾"	"dzu5"	"dzu˥˥"		
"榆"	"dzu5"	"dzu˥˥"		
"愉"	"dzu5"	"dzu˥˥"		
"愈"	"dzu2"	"dzu˥˨"		
"喻"	"dzu6"	"dzu˧˥"		
"裕"	"dzu6"	"dzu˧˥"		
"獃"	"tai1"	"tai˧˧"		
"獃"	"ngai5"	"ŋai˥˥"	"又"	
"戴"	"ti3"	"ti˨˩˨"		
"戴"	"to3"	"to˨˩˨"	"又，姓氏"	
"戴"	"tai3"	"tai˨˩˨"	"文"	
"胎"	"tho1"	"tʰo˧˧"		
"臺"	"thai1"	"tʰai˧˧"		
