#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
m	[1]冒-□{“～腔”：对盐城、建湖等地语音的称呼：；“~子”：持这种口音的人}[2]毛矛茅锚猫髦[3]卯铆茆□{~掉了：失去机会}□{猪肉~子：穿挂猪肉的单股草绳子}[5]冒=帽貌瑁袤
t	[1]刀叨鱽□{用手迅速地捞一下}[3]倒1岛捣祷[5]倒2道悼稻盗导蹈捯到
tʰ	[1]掏滔绦韬□{用拳头击：～拳头}[2]逃陶萄淘咷涛[3]讨[5]套
n	[1]孬[2]挠蛲饶1[3]恼脑瑙[5]闹
l	[1]捞=[2]劳牢痨唠捞-涝娆饶2[3]老佬姥挠绕1[5]绕2□{冲洗物体配以用手搅拌的动作：把衣服放在水里~~}
ts	[1]糟遭朝1钊招召诏昭[3]枣早澡沼藻找爪2[5]蚤灶燥噪躁皂唣肇赵棹罩兆照
tsʰ	[1]操抄吵1钞超剿缫[2]曹槽朝2潮嘲晁巢嘈[3]草炒吵2[5]糙耖造
s	[1]臊搔骚瘙烧梢稍艄[2]绍韶[3]嫂扫1少1[5]扫2{把棍子伸到洞里~~}少2哨□{快}
k	[1]高膏篙羔糕皋睾茭教-告1交-[3]搞稿缟搅-[5]告2诰郜觉1跤-{掼~：神跤}酵-窖较-□{量词，形容事物的次数或遍数}
kʰ	[1]敲=[3]考烤烤拷1[5]拷2靠犒
x	[1]懊1{~糟：即懊悔}拗1{僵持不下}[2]敖熬鏖遨[3]咬懊2袄[5]傲奥拗2澳
ŋ	[1]蒿薅□{揍}[2]豪毫嚎壕嗥濠[3]好1[5]好2号浩皓昊灏耗
Ø	[1]噢[2]儿而□{~误：因未留神而耽搁了事情}[3]耳尔迩饵媪[5]凹二贰岙
	
#iɔ	
p	[1]镳标镖膘彪飙彪[3]表婊裱[5]標鳔□{油炸的晒干的猪皮}□{黏嘴：~嘴}
pʰ	[1]漂1飘缥剽[2]瓢嫖朴2[3]瞟□{物体被扭曲变形：自行车的车轮~掉了}[5]票漂
m	[2]苗描瞄猫={大熊~}[3]秒渺缈藐淼[5]庙妙缪
t	[1]刁叼貂凋雕[3]屌[5]碉调1掉吊铫钓
tʰ	[1]挑1祧佻[2]条调2迢[3]挑2条*{～子：条幅；树～子：细长树枝}[5]眺跳粜
n	[3]袅鸟嬲[5]尿2
l	[2]聊镣撩嘹燎1疗寥辽僚□{驴～子：驴鞭}獠寮[3]了1潦燎2[5]料撂尥了2嘹
tɕ	[1]浇交=郊姣教=椒娇骄蕉礁胶蛟[3]皎狡饺绞搅=矫侥缴剿佼[5]觉=教=校{~准；学~}较=叫轿噍{回~}
tɕʰ	[1]敲=跷锹劁[2]乔荞桥侨鞒憔谯瞧翘1[3]巧[5]悄窍翘2俏峭撬
ɕ	[1]骁肖1消逍宵霄销器枭潇萧箫枵{薄}□{掀开}[2]淆[3]小晓[5]笑效孝肖2啸□{裂：墙上~开一条缝}
Ø	[1]要1腰夭妖邀吆[2]尧姚肴爻窑谣摇瑶遥[3]杳舀[5]要2耀曜跃1□{~子：用禾草等纤维物拧成的单股绳子}
	
#e	
p	[1]败1{~}[3]摆[5]败2拜
pʰ	[1]□{用脚踩压物体}[2]排牌俳徘[5]派湃
